location_name,geocode,vio_n,rangea,:@computed_region_92fq_4b7q,postcode,major_n,census_tract
P.S. 084 Lillian Weber,"{'latitude': '39.605645', 'longitude': '-74.210596', 'human_address': '{""address"": ""32 WEST 92 STREET"", ""city"": """", ""stste"": """", ""zip"": """"}'}",0.0,751-1000,,10025.0,1.0,177.0
2055 MAPES AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.845791', 'longitude': '-73.886258', 'human_address': '{""address"": ""2055 MAPES AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,22.0,10460.0,1.0,371.0
Richard R. Green High School of Teaching,"{'latitude': '42.936401', 'longitude': '-74.21444', 'human_address': '{""address"": ""26 BROADWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,751-1000,,10004.0,0.0,9.0
306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.141567', 'longitude': '-75.207516', 'human_address': '{""address"": ""306 FORT WASHINGTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,501-750,,10033.0,0.0,263.0
Renaissance Charter High School for Innovation,"{'latitude': '40.785467', 'longitude': '-73.942065', 'human_address': '{""address"": ""410 EAST 100 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,35.0,10029.0,,162.0
EXCELLENCE GIRLS CHARTER SCHOOL(BN),"{'latitude': '42.103577', 'longitude': '-86.44529', 'human_address': '{""address"": ""794 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11221.0,,385.0
Henry Street School for International Studies,"{'latitude': '30.021328', 'longitude': '-93.83847', 'human_address': '{""address"": ""220 HENRY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10002.0,,201.0
P.S./I.S. 104 The Fort Hamilton School,"{'latitude': '46.62292', 'longitude': '-94. 212971', 'human_address': '{""address"": ""9115 5 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1251-1500,,11209.0,0.0,160.0
P.S. 098 Shorac Kappock,"{'latitude': '42.320507', 'longitude': '-92.600594', 'human_address': '{""address"": ""512 WEST 212 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10034.0,0.0,303.0
High School of Applied Communication,"{'latitude': '40.745129', 'longitude': '-73.936788', 'human_address': '{""address"": ""30 20 THOMSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,33.0,11101.0,0.0,179.0
P.S. 234 Independence School,"{'latitude': '40.716036', 'longitude': '-74.010996', 'human_address': '{""address"": ""292 GREENWICH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,32.0,10007.0,,21.0
Satellite West Middle School,"{'latitude': '40.701328', 'longitude': '-73.981737', 'human_address': '{""address"": ""209 YORK STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,38.0,11201.0,,21.0
QUEENS METROPOLITAN HIGH SCHOOL,"{'latitude': '42.280056', 'longitude': '-71.13141', 'human_address': '{""address"": ""91 30 METROPOLITAN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,,11375.0,0.0,645.0
George Westinghouse Career and Technical Education,"{'latitude': '40.694892', 'longitude': '-73.985278', 'human_address': '{""address"": ""105 TECH PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1251-1500,38.0,11201.0,0.0,13.0
P.S. 251 Paerdegat,"{'latitude': '33.993435', 'longitude': '-118.257518', 'human_address': '{""address"": ""1037 EAST 54 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11234.0,0.0,722.0
P.S. 21 Margaret Emery-Elm Park,"{'latitude': '40.631473', 'longitude': '-74.143984', 'human_address': '{""address"": ""168 HOOKER PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,13.0,10302.0,0.0,213.0
"Math, Engineering, and Science Academy Charter Hig","{'latitude': '33.900142', 'longitude': '-80.346844', 'human_address': '{""address"": ""231 PALMETTO STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,1001-1250,,11221.0,1.0,433.0
P.S. 094 The Henry Longfellow,"{'latitude': '33.997448', 'longitude': '-118.323608', 'human_address': '{""address"": ""5010 6 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1251-1500,,11220.0,0.0,98.0
M.S. 053 Brian Piccolo,"{'latitude': '40.604063', 'longitude': '-73.749254', 'human_address': '{""address"": ""10 45 NAMEOKE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,47.0,11691.0,0.0,103202.0
P.S. M079 - Horan School,"{'human_address': '{""address"": ""55 EAST 120 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10035.0,0.0,198.0
150 ALBANY AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.738834', 'longitude': '-73.353728', 'human_address': '{""address"": ""150 ALBANY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11213.0,,311.0
330 ALABAMA AVENUE CONSOLIDATED LOCATION,"{'latitude': '35.331388', 'longitude': '-84.532301', 'human_address': '{""address"": ""330 ALABAMA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11207.0,,1134.0
P.S. 244 Richard R. Green,"{'latitude': '34.172136', 'longitude': '-118.447355', 'human_address': '{""address"": ""5404 TILDEN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,251-500,,11203.0,1.0,946.0
Urban Action Academy,"{'latitude': '40.640813', 'longitude': '-73.897499', 'human_address': '{""address"": ""1600 ROCKAWAY PARKWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,8.0,11236.0,,990.0
DeWitt Clinton High School,"{'latitude': '40.880901', 'longitude': '-73.886187', 'human_address': '{""address"": ""100 WEST MOSHOLU PARKWAY SOUTH"", ""city"": """", ""state"": """", ""zip"": """"}'}",7.0,2501-3000,40.0,10468.0,3.0,409.0
P.S. 101 The Verrazano,"{'latitude': '40.062408', 'longitude': '-75.045354', 'human_address': '{""address"": ""2360 BENSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,,11214.0,0.0,302.0
528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.686205', 'longitude': '-73.869562', 'human_address': '{""address"": ""528 RIDGEWOOD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,37.0,11208.0,,1184.0
P.S. 161 Pedro Albizu Campos,"{'latitude': '44.183943', 'longitude': '-69.124008', 'human_address': '{""address"": ""499 WEST 133 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,,10027.0,1.0,21303.0
P.S. 031 Samuel F. Dupont,"{'latitude': '40.726673', 'longitude': '-73.953962', 'human_address': '{""address"": ""75 MESEROLE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,38.0,11222.0,0.0,561.0
New Heights Middle School,"{'latitude': '40.662442', 'longitude': '-73.936593', 'human_address': '{""address"": ""790 EAST NEW YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1001-1250,17.0,11203.0,,876.0
Academy for Conservation and the Environment,"{'latitude': '40.633516', 'longitude': '-73.916477', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,8.0,11236.0,,950.0
Medgar Evers College Preparatory School,"{'latitude': '39.125812', 'longitude': '-84.869684', 'human_address': '{""address"": ""1186 CARROLL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,1001-1250,,11225.0,0.0,321.0
P.S. 770 New American Academy,"{'latitude': '40.663934', 'longitude': '-73.92737', 'human_address': '{""address"": ""60 EAST 94 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,17.0,11212.0,,882.0
P.S. 044 Marcus Garvey,"{'latitude': '40.686577', 'longitude': '-73.940932', 'human_address': '{""address"": ""432 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1-250,49.0,11221.0,0.0,277.0
P.S. 397 Foster-Laurie,"{'latitude': '40.658944', 'longitude': '-73.946391', 'human_address': '{""address"": ""490 FENIMORE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,11.0,11203.0,1.0,810.0
51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,"{'latitude': '41.71862', 'longitude': '-73.956572', 'human_address': '{""address"": ""51 CHRISTOPHER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1001-1250,,11212.0,,908.0
P.S. 163 Alfred E. Smith,"{'latitude': '40.794334', 'longitude': '-73.968931', 'human_address': '{""address"": ""163 WEST 97 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,23.0,10025.0,2.0,185.0
P.S. 063 Old South,"{'latitude': '40.676416', 'longitude': '-73.846682', 'human_address': '{""address"": ""90 15 SUTTER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,41.0,11417.0,0.0,54.0
The Children's Lab School,"{'latitude': '40.591318', 'longitude': '-74.763288', 'human_address': '{""address"": ""45 45 42ND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,,11104.0,0.0,18102.0
P.S. 059 William Floyd,"{'latitude': '40.697579', 'longitude': '-73.943814', 'human_address': '{""address"": ""211 THROOP AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,49.0,11206.0,,28502.0
Urban Assembly Gateway School for Technology,"{'latitude': '31.510874', 'longitude': '-100.46673', 'human_address': '{""address"": ""439 WEST 49TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10019.0,,127.0
1137 HERKIMER STREET CONSOLIDATED LOCATION,"{'latitude': '29.791239', 'longitude': '-95.406189', 'human_address': '{""address"": ""1137 HERKIMER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11233.0,,301.0
P.S. 126 Jacob August Riis,"{'latitude': '43.090157', 'longitude': '-73.779261', 'human_address': '{""address"": ""80 CATHERINE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1751-2000,,10038.0,0.0,25.0
P.S. 212 Midtown West,"{'latitude': '27.55681', 'longitude': '-82.566745', 'human_address': '{""address"": ""328 WEST 48 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,,10036.0,0.0,127.0
4200 16 AVENUE CONSOLIDATED LOCATION,"{'latitude': '42.343103', 'longitude': '-83.085748', 'human_address': '{""address"": ""4200 16 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1001-1250,,11204.0,,230.0
Murry Bergtraum High School for Business Careers,"{'latitude': '37.010915', 'longitude': '-86.446631', 'human_address': '{""address"": ""411 PEARL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10038.0,,29.0
OCEAN HILL COLLEGIATE CHARTER SCHOOL(BN),"{'latitude': '29.791239', 'longitude': '-95.406189', 'human_address': '{""address"": ""1137 HERKIMER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,,11233.0,,301.0
"Magnet School of Math, Science and Design Technolo","{'latitude': '40.918179', 'longitude': '-73.803975', 'human_address': '{""address"": ""511 7 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,,11215.0,1.0,149.0
I.S. 072 Rocco Laurie,"{'latitude': '40.956257', 'longitude': '-74.137158', 'human_address': '{""address"": ""33 FERNDALE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,,10314.0,0.0,27706.0
512 CARROLL STREET CONSOLIDATED LOCATION,"{'latitude': '28.558325', 'longitude': '-81.764104', 'human_address': '{""address"": ""512 CARROLL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,11215.0,,119.0
34 WEST 118 STREET,"{'latitude': '42.933492', 'longitude': '-72.279737', 'human_address': '{""address"": ""34 WEST 118 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,,10026.0,0.0,190.0
M.S. 582,"{'latitude': '40.671522', 'longitude': '-73.565986', 'human_address': '{""address"": ""207 BUSHWICK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11206.0,1.0,485.0
P.S. 230 Doris L. Cohen,"{'latitude': '40.416711', 'longitude': '-74.378387', 'human_address': '{""address"": ""1 ALBEMARLE ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,,11218.0,0.0,498.0
Nelson Mandela High School,"{'latitude': '40.679415', 'longitude': '-73.931607', 'human_address': '{""address"": ""1700 FULTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,49.0,11213.0,,271.0
144-176 EAST 128 STREET CONSOLIDATED LOCATION,"{'latitude': '40.021863', 'longitude': '-75.21517', 'human_address': '{""address"": ""144 176 EAST 128 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,,10035.0,,242.0
P.S. 191 Paul Robeson,"{'latitude': '41.670751', 'longitude': '-88.142846', 'human_address': '{""address"": ""1600 PARK PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11233.0,,359.0
Tompkins Square Middle School,"{'latitude': '45.185051', 'longitude': '-89.691868', 'human_address': '{""address"": ""600 EAST 6 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10009.0,,2601.0
P.S. 194 Countee Cullen,"{'''''""W1S""""""""""""",,251-500,,10030.0,,232.0
272 MACDONOUGH STREET CONSOLIDATED LOCATION,"{'latitude': '40.681954', 'longitude': '-73.93554', 'human_address': '{""address"": ""272 MACDONOUGH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,251-500,49.0,11233.0,0.0,273.0
I.S. R002 George L. Egbert,"{'latitude': '40.989587', 'longitude': '-73.670906', 'human_address': '{""address"": ""333 MIDLAND AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,10306.0,0.0,11202.0
P.S. 201 The Discovery School for Inquiry and Rese,"{'latitude': '40.736534', 'longitude': '-73.813364', 'human_address': '{""address"": ""65 11 155 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,24.0,11367.0,0.0,122702.0
I.S. 392,"{'latitude': '38.748514', 'longitude': '-121.281008', 'human_address': '{""address"": ""104 SUTTER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,,11212.0,,900.0
80 UNDERHILL AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.678376', 'longitude': '-73.965492', 'human_address': '{""address"": ""80 UNDERHILL AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,48.0,11238.0,0.0,205.0
COMMUNITY PARTNERSHIP CHARTER SCHOOL(BN),"{'latitude': '40.670201', 'longitude': '-73.687729', 'human_address': '{""address"": ""241 EMERSON PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11205.0,0.0,193.0
Gotham Professional Arts Academy,"{'latitude': '35.507723', 'longitude': '-90.147474', 'human_address': '{""address"": ""265 RALPH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11233.0,,379.0
121 EAST  3 STREET CONSOLIDATED LOCATION,"{'latitude': '40.599846', 'longitude': '-77.573396', 'human_address': '{""address"": ""121 EAST 3 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10009.0,,32.0
6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.817202', 'longitude': '-73.947815', 'human_address': '{""address"": ""6 EDGECOMBE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,36.0,10030.0,,22102.0
1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,"{'latitude': '37.250109', 'longitude': '-77.406116', 'human_address': '{""address"": ""1014 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11221.0,0.0,291.0
500 WEST 138 STREET CONSOLIDATED LOCATION,"{'latitude': '42.42416', 'longitude': '-72.123709', 'human_address': '{""address"": ""500 WEST 138 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,10031.0,1.0,22301.0
P.S. 243K- The Weeksville School,"{'latitude': '40.6761', 'longitude': '-73.935713', 'human_address': '{""address"": ""1580 DEAN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,49.0,11213.0,0.0,309.0
P.S. 139 Alexine A. Fenty,"{'latitude': '43.067377', 'longitude': '-76.126816', 'human_address': '{""address"": ""330 RUGBY ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11226.0,0.0,1522.0
P.S. 188 Michael E. Berdy,"{'latitude': '40.631141', 'longitude': '-73.632288', 'human_address': '{""address"": ""3314 NEPTUNE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,,11224.0,0.0,328.0
P.S. 062 Inocensio Casanova,"{'latitude': '27.438628', 'longitude': '-82.684013', 'human_address': '{""address"": ""660 FOX STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10455.0,0.0,83.0
Brooklyn Academy High School,"{'''''""MA""""""""""""",5.0,751-1000,49.0,11216.0,3.0,249.0
P.S. M169 - Robert F. Kennedy,"{'latitude': '33.957188', 'longitude': '-118.273348', 'human_address': '{""address"": ""110 EAST 88 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,1001-1250,,10128.0,0.0,14802.0
P.S. 041 Francis White,"{'latitude': '40.660364', 'longitude': '-73.907393', 'human_address': '{""address"": ""411 thatford avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,25.0,11212.0,0.0,918.0
P.S. 093 William H. Prescott,"{'latitude': '35.449297', 'longitude': '-89.804433', 'human_address': '{""address"": ""31 NEW YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,,11216.0,0.0,247.0
293 EAST BROADWAY CONSOLIDATED LOCATION,"{'latitude': '46.378574', 'longitude': '-96.122022', 'human_address': '{""address"": ""293 EAST BROADWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,,10002.0,0.0,202.0
Brooklyn Brownstone School,"{'latitude': '40.681954', 'longitude': '-73.93554', 'human_address': '{""address"": ""272 MACDONOUGH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,49.0,11233.0,,273.0
P.S. K231,"{'latitude': '32.818497', 'longitude': '-85.168805', 'human_address': '{""address"": ""5601 16 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,,11204.0,0.0,470.0
P.S. 284 Lew Wallace,"{'latitude': '41.692022', 'longitude': '-71.166289', 'human_address': '{""address"": ""213 OSBORN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,751-1000,,11212.0,0.0,912.0
P.S. 373 - Brooklyn Transition Center,"{'latitude': '42.015123', 'longitude': '-7 1.391496', 'human_address': '{""address"": ""185 ELLERY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11206.0,,257.0
105 TECH PLACE CONSOLIDATED LOCATION,"{'latitude': '40.694892', 'longitude': '-73.985278', 'human_address': '{""address"": ""105 TECH PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,38.0,11201.0,,13.0
P.S. 130 The Parkside,"{'latitude': '38.3884', 'longitude': '-75.172136', 'human_address': '{""address"": ""70 OCEAN PARKWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11218.0,0.0,500.0
P.S. K369  - Coy L. Cox School,"{'latitude': '42.656591', 'longitude': '-73.765505', 'human_address': '{""address"": ""383 STATE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11217.0,0.0,41.0
325 SOUTH  3 STREET CONSOLIDATED LOCATION,"{'latitude': '31.711655', 'longitude': '-110.068987', 'human_address': '{""address"": ""325 SOUTH 3 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11211.0,0.0,527.0
"Urban Assembly School of Design and Construction,","{'latitude': '25.826427', 'longitude': '-80.127267', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,,10019.0,1.0,135.0
27 HUNTINGTON STREET CONSOLIDATED LOCATION,"{'latitude': '41.359242', 'longitude': '-71.842612', 'human_address': '{""address"": ""27 HUNTINGTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11231.0,0.0,59.0
2424 BATCHELDER STREET CONSOLIDATED LOCATION ,"{'latitude': '40.593353', 'longitude': '-73.937627', 'human_address': '{""address"": ""2424 BATCHELDER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,501-750,15.0,11235.0,0.0,596.0
Transit Tech Career and Technical Education High S,"{'latitude': '38.996703', 'longitude': '-84.626848', 'human_address': '{""address"": ""1 WELLS STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,251-500,,,0.0,
Red Hook Neighborhood School,"{'latitude': '41.359242', 'longitude': '-71.842612', 'human_address': '{""address"": ""27 HUNTINGTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11231.0,,59.0
P.S. R037,"{'latitude': '42.39201', 'longitude': '-71.126495', 'human_address': '{""address"": ""15 FAIRFIELD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,501-750,,10308.0,0.0,14605.0
J.H.S. 078 Roy H. Mann,"{'latitude': '33.978425', 'longitude': '-118.248968', 'human_address': '{""address"": ""1420 EAST 68 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,,11234.0,,69602.0
It Takes a Village Academy,"{'latitude': '40.648654', 'longitude': '-73.922313', 'human_address': '{""address"": ""5800 TILDEN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,2001-2500,26.0,11203.0,0.0,936.0
M.S. M245 The Computer School,"{'latitude': '34.8215', 'longitude': '-118.268509', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,501-750,,10024.0,2.0,161.0
New Visions Charter High School for Advanced Math,"{'latitude': '40.594236', 'longitude': '-73.936836', 'human_address': '{""address"": ""3000 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,8.0,11235.0,,626.0
George Washington Carver High School for the Scien,"{'latitude': '32.906697', 'longitude': '-83.72483', 'human_address': '{""address"": ""143 10 SPRINGFIELD BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,3001-4000,,11413.0,2.0,330.0
Professional Pathways High School,"{'latitude': '40.594236', 'longitude': '-73.936836', 'human_address': '{""address"": ""3000 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,8.0,11235.0,,626.0
32 WEST  92 STREET CONSOLIDATED LOCATION,"{'latitude': '39.605645', 'longitude': '-74.210596', 'human_address': '{""address"": ""32 WEST 92 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10025.0,,177.0
FRANK McCOURT HIGH SCHOOL,"{'latitude': '40.785643', 'longitude': '-73.974264', 'human_address': '{""address"": ""145 WEST 84 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,19.0,10024.0,,169.0
P.S. 116 Mary Lindley Murray,"{'latitude': '39.052448', 'longitude': '-84.500231', 'human_address': '{""address"": ""210 EAST 33 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10016.0,0.0,70.0
333 EAST 151 STREET CONSOLIDATED LOCATION,"{'latitude': '41.735727', 'longitude': '-92.717697', 'human_address': '{""address"": ""333 EAST 151 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,10451.0,,67.0
BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL(BN),"{'latitude': '42.232857', 'longitude': '-83.575862', 'human_address': '{""address"": ""800 GATES AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11221.0,,293.0
P.S. 014 Fairview,"#{'latitude': '40.740874', 'longitude': '-73.853945', 'human_address': '{""address"": ""107 01 OTIS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,21.0,11368.0,0.0,439.0
The Academy of the Arts,"{'human_address': '{""address"": ""888 REV J A POLITE AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10459.0,1.0,87.0
Grover Cleveland High School,"{'latitude': '40.711367', 'longitude': '-73.908461', 'human_address': '{""address"": ""21 27 HIMROD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,2001-2500,34.0,11385.0,,595.0
Benjamin Banneker Academy,"{'latitude': '40.642265', 'longitude': '-74.098153', 'human_address': '{""address"": ""71 77 CLINTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,13.0,11205.0,0.0,191.0
P.S. 272 Curtis Estabrook,"{'latitude': '43.511707', 'longitude': '-70.390306', 'human_address': '{""address"": ""101 24 SEAVIEW AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11236.0,,1034.0
PS 503: The School of Discovery,"{'latitude': '40.787083', 'longitude': '-74.014412', 'human_address': '{""address"": ""330 59 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,1001-1250,,,1.0,
Liberty Avenue Middle School,"{'latitude': '33.129835', 'longitude': '-117.053452', 'human_address': '{""address"": ""350 LINWOOD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11208.0,,1170.0
High School for Media and Communications,"{'latitude': '28.010919', 'longitude': '-80.660106', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,2501-3000,,10040.0,4.0,277.0
425 WEST 123 STREET CONSOLIDATED LOCATION,"{'latitude': '41.0348', 'longitude': '-81.736966', 'human_address': '{""address"": ""433 WEST 123 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,,10027.0,,20901.0
P.S. 087 William Sherman,"{'latitude': '32.433719', 'longitude': '-93.758182', 'human_address': '{""address"": ""160 WEST 78 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,,10024.0,0.0,161.0
Boys and Girls High School,"{'latitude': '40.679415', 'longitude': '-73.931607', 'human_address': '{""address"": ""1700 FULTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",7.0,2001-2500,49.0,11213.0,2.0,271.0
Forsyth Satellite Academy,"{'latitude': '35.885188', 'longitude': '-80.087586', 'human_address': '{""address"": ""198 FORSYTH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,,10002.0,,3601.0
P.S. 121 Nelson A. Rockefeller,"{'latitude': '27.969464', 'longitude': '-82.395335', 'human_address': '{""address"": ""5301 20 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11204.0,0.0,464.0
Lower East Side Preparatory High School,"{'latitude': '41.233341', 'longitude': '-75.895469', 'human_address': '{""address"": ""145 STANTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10002.0,,3001.0
P.S. 005 Dr. Ronald Mcnair,"{'latitude': '36.062905', 'longitude': '-78.879762', 'human_address': '{""address"": ""820 HANCOCK STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,,11233.0,1.0,377.0
