latitude,longitude,nta,nocrim_n,school_year,register,schools_in_building,nypd_site_code
40.71925,-73.983056,Lower East Side                                                            ,0.0,2016 - 17,672.0,P.S. 184m Shuang Wen,533.0
40.86079,-73.930672,Washington Heights North                                                   ,4.0,2016 - 17,256.0,P.S. 149 Sojourner Truth,633.0
40.709941,-73.943641,East Williamsburg                                                          ,,2016 - 17,244.0,"Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION",207.0
40.82316,-73.921631,East Concourse-Concourse Village                                           ,,2016 - 17,697.0,South Bronx Preparatory: A College Board School |  M.S. 223 The Laboratory School of Finance and Tech |  360 EAST 145 STREET CONSOLIDATED LOCATION,446.0
40.750007,-73.721607,Glen Oaks-Floral Park-New Hyde Park                                        ,0.0,2016 - 17,516.0,P.S. 184 Flushing Manor,815.0
40.706023,-73.961476,Williamsburg                                                               ,,2016 - 17,232.0,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,56.0
40.674406,-73.960254,Prospect Heights                                                           ,,2016 - 17,164.0,P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION,1383.0
40.826295,-73.946845,Hamilton Heights                                                           ,0.0,2016 - 17,588.0,P.S. 152 Dyckman Valley,1054.0
40.814833,-73.85658,Soundview-Castle Hill-Clason Point-Harding Park                            ,0.0,2016 - 17,276.0,P.S. 170 | 1598 Townsend Avenue,1026.0
40.582533,-73.973132,West Brighton                                                              ,,2016 - 17,503.0,I.S. 303 Herbert S. Eisenberg | Coney Island Preparatory Public Charter School |Rachel Carson High School for Coastal Studies |  521 WEST AVENUE CONSOLIDATED LOCATION,28.0
40.693161,-73.935765,Stuyvesant Heights                                                         ,2.0,2016 - 17,315.0,P.S. 081 Thaddeus Stevens; P.S.004 | 990 DEKALB AVENUE,158.0
40.622596,-74.14497,Port Richmond                                                              ,,2016 - 17,762.0,The Eagle Academy for Young Men of Staten Island |I.S. 49 Berta A. Dreyfus |101 WARREN STREET CONSOLIDATED LOCATION,1003.0
40.634032,-74.078611,Stapleton-Rosebank                                                         ,7.0,2016 - 17,762.0,Ralph R. McKee Career and Technical Education High,979.0
40.864676,-73.824303,Co-op City                                                                 ,,2016 - 17,296.0,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,404.0
40.824495,-73.936997,Central Harlem North-Polo Grounds                                          ,,2016 - 17,468.0,P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION,1335.0
40.829832,-73.944789,Hamilton Heights                                                           ,2.0,2016 - 17,277.0,P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter ,701.0
40.65364,-73.933114,East Flatbush-Farragut                                                     ,0.0,2016 - 17,698.0,P.S. 132 The Conselyea School,231.0
40.69407,-73.94756,Bedford                                                                    ,,2016 - 17,321.0,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,59.0
40.855954,-73.927051,Washington Heights North                                                   ,,2016 - 17,409.0,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,709.0
40.677805,-73.915843,Ocean Hill                                                                 ,,2016 - 17,165.0,Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION,287.0
40.716553,-73.993092,Chinatown                                                                  ,,2016 - 17,457.0,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,1275.0
40.701343,-73.982314,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,6.0,2016 - 17,492.0,P.S. 306 Ethan Allen,123.0
40.579737,-73.956329,Brighton Beach                                                             ,2.0,2016 - 17,976.0,P.S. K225 - The Eileen E. Zaglin |  P.S. K771 |  1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,165.0
40.678296,-73.79562,Baisley Park                                                               ,1.0,2016 - 17,1077.0,P.S. 120 Queens,914.0
40.697781,-73.919777,Bushwick North                                                             ,2.0,2016 - 17,584.0,P.S. 380 John Wayne Elementary,299.0
40.697339,-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,7.0,2016 - 17,598.0,Cobble Hill School of American Studies,279.0
40.712184,-73.939722,Bushwick South                                                             ,,2016 - 17,886.0,"PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION",197.0
40.798511,-73.949251,Central Harlem South                                                       ,0.0,2016 - 17,277.0,Professor Juan Bosch Public School,620.0
40.648215,-73.946374,East Flatbush-Farragut                                                     ,,2016 - 17,333.0,The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION,101.0
40.70644,-74.017818,Battery Park City-Lower Manhattan                                          ,0.0,2016 - 17,613.0,P.S./I.S. 217 Roosevelt Island,546.0
40.642792,-73.908806,Canarsie                                                                   ,1.0,2016 - 17,521.0,P.S. 114 Ryder Elementary,31.0
,,,3.0,2016 - 17,462.0,P.S. 279 Herman Schreiber,37.0
40.635553,-73.91079,Canarsie                                                                   ,2.0,2016 - 17,393.0,I.S. 068 Isaac Bildersee,75.0
40.68007,-74.001377,Carroll Gardens-Columbia Street-Red Hook                                   ,2.0,2016 - 17,1333.0,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie |  610 HENRY STREET CONSOLIDATED LOCATION,234.0
40.719819,-73.948625,Greenpoint                                                                 ,5.0,2016 - 17,1116.0,John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION,227.0
40.716668,-74.013542,Battery Park City-Lower Manhattan                                          ,,2016 - 17,412.0,P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION,589.0
40.810803,-73.907015,Mott Haven-Port Morris                                                     ,22.0,2016 - 17,864.0,School for Tourism and Hospitality |New Visions Charter HS for Advanced Match and Science II |900 TINTON AVENUE CONSOLIDATED LOCATION ,448.0
40.703624,-73.953146,Williamsburg                                                               ,7.0,2016 - 17,596.0,Juan Morel Campos Secondary School,1262.0
40.866053,-73.924835,Marble Hill-Inwood                                                         ,1.0,2016 - 17,247.0,P.S. 050 Vito Marcantonio I NY Center for Autism Charter School |433 East 100 Street,581.0
40.711704,-73.960275,North Side-South Side                                                      ,2.0,2016 - 17,268.0,J.H.S. 050 John D. Wells,19.0
40.839305,-73.936159,Washington Heights South                                                   ,,2016 - 17,423.0,M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION,1069.0
40.665878,-73.911705,Brownsville                                                                ,6.0,2016 - 17,516.0,Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION,1141.0
40.658295,-73.920109,Rugby-Remsen Village                                                       ,1.0,2016 - 17,191.0,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,280.0
40.70069,-73.927481,Bushwick South                                                             ,,2016 - 17,295.0,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",85.0
40.831416,-73.877785,West Farms-Bronx River                                                     ,17.0,2016 - 17,1671.0,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures|Monroe Academy for Visual Arts & Design|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,529.0
40.658893,-73.942458,Prospect Lefferts Gardens-Wingate                                          ,17.0,2016 - 17,1956.0,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",184.0
40.87302,-73.833776,Co-op City                                                                 ,,2016 - 17,875.0,P.S. X176 |  P.S. 178 - Dr. Selman Waksman |  850 BAYCHESTER AVENUE CONSOLIDATED LOCATION,501.0
40.688834,-73.976905,Fort Greene                                                                ,24.0,2016 - 17,3418.0,James Madison High School,13.0
40.678297,-73.965541,Prospect Heights                                                           ,,2016 - 17,346.0,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,52.0
40.649787,-73.95855,Erasmus                                                                    ,22.0,2016 - 17,1919.0,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,138.0
40.688387,-73.910276,Bushwick South                                                             ,4.0,2016 - 17,1222.0,Success Academy C harter School- Cobble Hill | Digital Arts and Cinema Technology High School |Boerum Hill School for International Studies |284 BALTIC STREET CONSOLIDATED LOCATION,26.0
40.802136,-73.947828,Central Harlem South                                                       ,,2016 - 17,182.0,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,632.0
40.683559,-73.98027,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,522.0,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,1226.0
40.657472,-73.97618,Windsor Terrace                                                            ,0.0,2016 - 17,536.0,P.S. 153 Homecrest,1196.0
40.682533,-73.968769,Fort Greene                                                                ,6.0,2016 - 17,240.0,P.S. K753 - School for Career Development,80.0
40.719598,-73.977904,Lower East Side                                                            ,0.0,2016 - 17,567.0,P.S. 183 Robert L. Stevenson,621.0
40.807843,-73.955569,Central Harlem South                                                       ,,2016 - 17,281.0,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,619.0
40.656068,-73.907245,Brownsville                                                                ,,2016 - 17,200.0,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,25.0
40.842495,-73.916082,West Concourse                                                             ,4.0,2016 - 17,615.0,The School of Science and Applied Learning,409.0
40.715344,-73.886215,Middle Village                                                             ,0.0,2016 - 17,388.0,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,1209.0
40.705898,-73.955611,Williamsburg                                                               ,0.0,2016 - 17,285.0,The Maurice Sendak Community School,142.0
40.665965,-73.918107,Brownsville                                                                ,,2016 - 17,294.0,P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION,1040.0
40.64971,-73.966046,Flatbush                                                                   ,0.0,2016 - 17,850.0,P.S. 247 Brooklyn,278.0
40.665565,-73.926246,Brownsville                                                                ,4.0,2016 - 17,486.0,P.S. 188 Michael E. Berdy,1145.0
40.692642,-73.958794,Clinton Hill                                                               ,2.0,2016 - 17,710.0,"Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION",86.0
40.725098,-73.845091,Forest Hills                                                               ,0.0,2016 - 17,753.0,NEW HEIGHTS ACADEMY CHARTER SCHOOL(MN),1106.0
40.669629,-73.979287,Park Slope-Gowanus                                                         ,,2016 - 17,654.0,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,138.0
40.859752,-73.900161,Fordham South                                                              ,,2016 - 17,319.0,The Forward School |  The Young Scholars Academy of The Bronx |  School of Diplomacy |  3710 BARNES AVENUE CONSOLIDATED LOCATION,390.0
40.705204,-73.939407,Bushwick South                                                             ,,2016 - 17,318.0,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,92.0
40.643889,-73.922732,Rugby-Remsen Village                                                       ,0.0,2016 - 17,285.0,BROOKLYN URBAN GARDEN CHARTER SCHOOL (BS),1423.0
40.748818,-73.999646,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,4.0,2016 - 17,1643.0,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,661.0
40.698021,-73.920711,Bushwick North                                                             ,3.0,2016 - 17,258.0,P.S. 371 - Lillian L. Rashkis,1399.0
40.858103,-73.907972,University Heights-Morris Heights                                          ,1.0,2016 - 17,1094.0,The Family School |  Sheridan Academy for Young Leaders |  1116 SHERIDAN AVENUE CONSOLIDATED LOCATION,444.0
40.665058,-73.811701,South Ozone Park                                                           ,0.0,2016 - 17,939.0,P.S. 121 Queens,915.0
40.716553,-73.993092,Chinatown                                                                  ,,2016 - 17,508.0,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,1275.0
40.817512,-73.898212,Longwood                                                                   ,1.0,2016 - 17,671.0,P.S. 035 Franz Siegel,458.0
40.677415,-73.908734,Ocean Hill                                                                 ,0.0,2016 - 17,530.0,The Windsor Terrace School,235.0
40.660134,-73.887023,East New York                                                              ,0.0,2016 - 17,201.0,P.S. 326,1140.0
40.628659,-73.92793,Flatlands                                                                  ,0.0,2016 - 17,562.0,P.S. K134,300.0
40.831227,-73.942143,Washington Heights South                                                   ,3.0,2016 - 17,1046.0,Marta Valle High School |  Lower East Side Preparatory High School |  School for Global Leaders |145 STANTON STREET CONSOLIDATED LOCATION,661.0
40.60754,-73.984661,Bensonhurst East                                                           ,4.0,2016 - 17,1090.0,IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION,304.0
40.621224,-73.91287,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,1.0,2016 - 17,934.0,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,78.0
40.579607,-73.962071,Brighton Beach                                                             ,,2016 - 17,434.0,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,280.0
40.716668,-74.013542,Battery Park City-Lower Manhattan                                          ,,2016 - 17,281.0,P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION,589.0
40.675612,-73.938843,Crown Heights North                                                        ,6.0,2016 - 17,539.0,William E. Grady Career and Technical Education Hi,3.0
40.641474,-73.898254,Canarsie                                                                   ,7.0,2016 - 17,1478.0,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,10.0
40.697339,-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,268.0,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",232.0
40.802917,-73.965613,Morningside Heights                                                        ,,2016 - 17,,M.S. 328 - Manhattan Middle School for Scientific |WHIN Music Community |  401 WEST 164 STREET CONSOLIDATED LOCATION,613.0
40.690765,-73.971376,Fort Greene                                                                ,,2016 - 17,410.0,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,58.0
40.663673,-73.893754,East New York (Pennsylvania Ave)                                           ,1.0,2016 - 17,1352.0,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,55.0
40.711442,-74.000851,Chinatown                                                                  ,,2016 - 17,212.0,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,534.0
40.680445,-73.991949,Carroll Gardens-Columbia Street-Red Hook                                   ,1.0,2016 - 17,518.0,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION ,62.0
40.64726,-73.881114,Starrett City                                                              ,2.0,2016 - 17,639.0,P.S. 345 Patrolman Robert Bolden,128.0
40.697152,-73.946641,Bedford                                                                    ,,2016 - 17,231.0,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,205.0
