school_name,ell_arabic_2,math_l3_l4_1,year,math_level_2_1,ell_korean_1,math_level_1_2,math_level_3_1,grade_4,female_1,ell_other_1,math_level_4_1,other_2,white_2,ell_french_2,other_1,math_level_3_2,white_1,ell_russian_2,female_2,math_level_2_2,ell_russian_1,asian_2,hispanic_2,ela_test_takers,black_2,ela_level_3_1
P.S. 169 Sunset Park,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 084 Jose De Diego,No Data,s,2016-17,s,No Data,75.0%,s,s,10,No Data,s,s,s,No Data,s,s,s,No Data,45.5%,s,No Data,s,95.5%,12,s,s
P.S. 095 Sheila Mencher,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 244 Richard R. Green,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Brooklyn Arbor Elementary School,s,s,2016-17,s,s,75.0%,s,s,6,s,s,s,s,s,s,s,s,s,42.9%,s,s,s,100.0%,7,s,s
P.S. 007 Abraham Lincoln,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Dos Puentes Elementary School,s,s,2016-17,8,s,64.3%,s,No Data,52,s,s,s,s,s,s,s,s,s,53.1%,28.6%,s,s,98.0%,28,s,s
Urban Science Academy,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,6,s,s
P.S. 506: The School of Journalism & Technology,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 043,No Data,s,2016-17,14,No Data,39.4%,s,18,15,No Data,s,s,s,No Data,s,s,s,No Data,45.5%,42.4%,No Data,s,72.7%,33,21.2%,s
P.S. 109 Sedgwick,No Data,s,2016-17,24,No Data,36.6%,s,23,68,No Data,s,s,s,No Data,s,s,s,No Data,55.7%,33.8%,No Data,s,95.9%,64,s,s
P.S. 032 State Street,No Data,s,2016-17,s,No Data,s,s,7,8,No Data,6,s,s,No Data,s,s,s,No Data,38.1%,s,No Data,100.0%,s,11,s,6
P.S. 188 The Island School,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Ralph A. Fabrizio School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,100.0%,s,No Data,s,No Data
P.S. 008 Luis Belliard,No Data,27,2016-17,34,No Data,27.4%,20,25,96,No Data,7,s,s,No Data,s,23.8%,s,No Data,58.2%,40.5%,No Data,s,99.4%,78,s,s
Lucero Elementary School,No Data,s,2016-17,39,No Data,39.5%,s,40,131,No Data,s,s,s,No Data,s,s,s,No Data,50.6%,45.3%,No Data,s,95.0%,84,3.9%,15
P.S. 124 Silas B. Dutcher,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,24,No Data,No Data,s,18.8%,No Data,s,No Data,6,No Data,75.0%,No Data,No Data,s,71.9%,No Data,s,No Data
P.S. 096 Joseph Lanzetta,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,70.0%,6,s,s
P.S. 108 Sal Abbracciamento,s,s,2016-17,14,s,61.1%,s,13,42,s,s,s,s,s,s,s,s,s,50.0%,38.9%,s,s,100.0%,25,s,s
P.S. 043,No Data,s,2016-17,13,No Data,41.9%,s,17,15,No Data,s,s,s,No Data,s,s,s,No Data,48.4%,41.9%,No Data,s,71.0%,31,22.6%,s
Esperanza Preparatory Academy,No Data,s,2016-17,s,No Data,66.7%,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,9,s,s
Grant Avenue Elementary School,No Data,s,2016-17,9,No Data,s,9,No Data,38,No Data,s,s,s,No Data,s,36.0%,s,No Data,55.9%,36.0%,No Data,s,79.4%,24,19.1%,s
The Family School,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,s,s,s
P.S. 214 Michael Friedsam,No Data,s,2016-17,s,No Data,s,s,No Data,39,No Data,s,s,s,No Data,s,s,s,No Data,52.7%,s,No Data,33.8%,56.8%,s,9.5%,s
P.S. 090 Horace Mann,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 319,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 028 Wright Brothers,No Data,54,2016-17,37,No Data,8.1%,27,34,91,No Data,27,s,s,No Data,s,27.3%,s,No Data,51.7%,37.4%,No Data,s,94.3%,99,4.0%,41
Community Math & Science Prep,No Data,s,2016-17,s,No Data,100.0%,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,6,s,s
P.S. 048 P.O. Michael J. Buczek,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,s,s,s
Sunset Park Avenues Elementary School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,6,No Data,No Data,s,s,No Data,s,No Data,s,No Data,50.0%,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 018 Edward Bush,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,83.3%,No Data,s,No Data
P.S. 013 Clement C. Moore,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,75.0%,No Data,s,No Data
P.S. 155 William Paca,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,23,No Data,No Data,s,s,No Data,s,No Data,s,No Data,51.1%,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 105 The Bay School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 103 Hector Fontanez,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
J.H.S. 218 James P. Sinnott,No Data,s,2016-17,s,No Data,80.6%,s,No Data,18,No Data,s,s,s,No Data,s,s,s,No Data,52.9%,s,No Data,s,97.1%,28,s,s
P.S. 024,No Data,42,2016-17,49,No Data,36.4%,34,52,144,No Data,8,s,s,No Data,s,23.8%,s,No Data,54.3%,34.3%,No Data,s,98.5%,142,s,s
P.S. 124 Yung Wing,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 154 Jonathan D. Hyatt,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 049 Willis Avenue,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,10,No Data,No Data,s,s,No Data,s,No Data,s,No Data,52.6%,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 046 Edward C. Blum,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 030 Wilton,No Data,s,2016-17,16,No Data,41.2%,s,15,48,No Data,s,s,s,No Data,s,s,s,No Data,52.2%,31.4%,No Data,s,96.7%,51,s,s
P.S. 206 Jose Celso Barbosa,s,s,2016-17,8,s,50.0%,s,s,8,s,s,s,s,s,s,s,s,s,34.8%,36.4%,s,s,100.0%,22,s,s
P.S. 110,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,90.9%,No Data,s,No Data
P.S. 009 Teunis G. Bergen,No Data,s,2016-17,s,No Data,s,s,s,6,No Data,s,s,30.0%,No Data,s,s,6,No Data,30.0%,s,No Data,s,30.0%,6,40.0%,s
P.S. 094 The Henry Longfellow,No Data,266,2016-17,95,No Data,21.9%,96,159,506,No Data,170,s,0.6%,No Data,s,20.8%,6,No Data,51.3%,20.6%,No Data,63.6%,35.4%,455,s,118
P.S. 043,s,s,2016-17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,6,s,s
P.S. 070 Max Schoenfeld,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,22,No Data,No Data,s,s,No Data,s,No Data,s,No Data,47.8%,No Data,No Data,s,76.1%,No Data,21.7%,No Data
P.S. 380 John Wayne Elementary,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,7,No Data,No Data,s,s,No Data,s,No Data,s,No Data,41.2%,No Data,No Data,s,94.1%,No Data,s,No Data
P.S. 163 Flushing Heights,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,6,s,s
P.S. 249 The Caton,No Data,s,2016-17,s,No Data,s,s,s,11,No Data,s,s,s,No Data,s,s,s,No Data,55.0%,s,No Data,s,100.0%,10,s,s
Brooklyn Arts and Science Elementary School,s,s,2016-17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,92.3%,s,s,s
P.S. 147 Isaac Remsen,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Sunset Park Avenues Elementary School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,61,No Data,No Data,s,s,No Data,s,No Data,s,No Data,53.5%,No Data,No Data,s,93.0%,No Data,s,No Data
P.S. 244 Richard R. Green,s,s,2016-17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Washington Heights Expeditionary Learning School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,80.0%,No Data,s,No Data
Grant Avenue Elementary School,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 018 Edward Bush,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,75.0%,No Data,s,No Data
P.S. 018 Park Terrace,No Data,s,2016-17,s,No Data,66.7%,s,No Data,6,No Data,s,s,s,No Data,s,s,s,No Data,31.6%,s,No Data,s,100.0%,17,s,s
P.S. 155 William Paca,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,19,s,No Data,s,s,s,s,No Data,s,s,48.7%,No Data,s,s,100.0%,No Data,s,No Data
P.S. 003 The Bedford Village,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,11,No Data,No Data,s,s,No Data,s,No Data,s,No Data,36.7%,No Data,No Data,s,s,No Data,76.7%,No Data
P.S. 90 Edna Cohen School,s,s,2016-17,s,s,77.8%,s,No Data,12,s,s,s,s,s,s,s,s,s,46.2%,s,s,s,92.3%,9,s,s
P.S. 209 Clearview Gardens,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 013 Clement C. Moore,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 012 James B. Colgate,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 011 Highbridge,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 155 William Paca,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,6,No Data,No Data,s,s,No Data,s,No Data,s,No Data,42.9%,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 133 William A. Butler,s,s,2016-17,s,s,s,s,s,12,s,s,s,39.1%,69.6%,s,s,9,s,52.2%,s,s,s,39.1%,7,s,s
P.S. 226,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 310 Marble Hill,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 028 Wright Brothers,No Data,s,2016-17,6,No Data,s,s,s,12,No Data,s,s,s,No Data,s,s,s,No Data,63.2%,60.0%,No Data,s,84.2%,10,s,s
M.S. 131,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,6,s,s
M.S. 256 Academic & Athletic Excellence,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 018 Park Terrace,No Data,s,2016-17,20,No Data,66.3%,s,No Data,33,No Data,s,s,s,No Data,s,s,s,No Data,36.7%,22.5%,No Data,s,98.9%,86,s,s
Brighter Choice Community School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,37.5%,No Data,54.2%,No Data
P.S. 110,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,14,s,No Data,s,s,s,s,No Data,s,s,51.9%,No Data,s,s,100.0%,No Data,s,No Data
P.S. 196 Ten Eyck,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,8,No Data,No Data,s,s,No Data,s,No Data,s,No Data,50.0%,No Data,No Data,s,93.8%,No Data,s,No Data
P.S. 319,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 058 The Carroll,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 333 - The Museum School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 028 Wright Brothers,No Data,54,2016-17,37,No Data,8.1%,27,34,91,No Data,27,s,s,No Data,s,27.3%,s,No Data,51.7%,37.4%,No Data,s,94.3%,99,4.0%,41
P.S. 105 The Bay School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S./I.S. 54,No Data,s,2016-17,19,No Data,53.2%,s,27,67,No Data,s,s,s,No Data,s,s,s,No Data,55.4%,40.4%,No Data,s,95.9%,45,s,s
P.S. 229 Emanuel Kaplan,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
I.S. 061 Leonardo Da Vinci,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 018 Park Terrace,s,s,2016-17,8,s,79.6%,s,No Data,17,s,s,s,s,s,s,s,s,s,30.9%,14.8%,s,s,100.0%,51,s,s
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,s,s,2016-17,44,s,66.7%,s,42,137,7,s,s,s,s,s,s,s,s,44.1%,27.2%,s,s,94.9%,175,2.3%,s
P.S. 319,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 096 Joseph Lanzetta,No Data,s,2016-17,12,No Data,s,17,18,25,No Data,s,s,s,No Data,s,42.5%,s,No Data,48.1%,30.0%,No Data,s,80.8%,39,15.4%,14
P.S. 110 The Monitor,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,80.0%,No Data,s,s,8,No Data,s,s,No Data,s,s,s,s,s
M.S. 131,No Data,27,2016-17,s,No Data,s,14,No Data,15,No Data,13,s,s,No Data,s,38.9%,s,No Data,41.7%,s,No Data,94.4%,s,35,s,s
P.S. 208 Alain L. Locke,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 014 Fairview,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 059 William Floyd,No Data,s,2016-17,s,No Data,s,s,No Data,28,No Data,s,s,s,No Data,s,s,s,No Data,48.3%,s,No Data,s,50.0%,s,46.6%,s
P.S. 124 Yung Wing,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 196,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Dos Puentes Elementary School,No Data,s,2016-17,8,No Data,64.3%,s,No Data,53,No Data,s,s,s,No Data,s,s,s,No Data,53.0%,28.6%,No Data,s,97.0%,28,s,s
P.S. 053 Basheer Quisim,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,10,No Data,No Data,s,s,No Data,s,No Data,s,No Data,41.7%,No Data,No Data,s,75.0%,No Data,25.0%,No Data
P.S. 087 William Sherman,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 057 Crescent,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 058 The Carroll,s,s,2016-17,s,s,s,s,s,14,s,s,s,78.4%,91.9%,s,s,29,s,37.8%,s,s,s,s,11,s,s
P.S. 128 Audubon,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,70,No Data,No Data,s,s,No Data,s,No Data,s,No Data,53.4%,No Data,No Data,s,94.7%,No Data,s,No Data
P.S. 008 Luis Belliard,No Data,27,2016-17,36,No Data,26.7%,20,26,97,No Data,7,s,s,No Data,s,23.3%,s,No Data,57.4%,41.9%,No Data,s,99.4%,80,s,s
P.S. 012 James B. Colgate,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 196 Ten Eyck,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,83.3%,No Data,s,No Data
Professor Juan Bosch Public School,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
School for Global Leaders,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 024 Andrew Jackson,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 009 Teunis G. Bergen,No Data,s,2016-17,11,No Data,46.4%,s,9,33,No Data,s,s,s,No Data,s,s,s,No Data,50.0%,39.3%,No Data,s,36.4%,26,57.6%,s
P.S. Q016 The Nancy DeBenedittis School,No Data,122,2016-17,32,No Data,4.3%,68,56,175,No Data,54,s,s,No Data,s,42.2%,s,No Data,53.7%,19.9%,No Data,s,97.2%,161,s,72
P.S. 175 Henry H Garnet,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,No Data,s,2016-17,21,No Data,73.1%,s,16,51,No Data,s,s,s,No Data,s,s,s,No Data,27.4%,19.4%,No Data,s,96.8%,118,s,s
P.S. 226,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Samara Community School,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,21,s,No Data,s,s,s,s,No Data,s,s,61.8%,No Data,s,s,94.1%,No Data,s,No Data
P.S. 345 Patrolman Robert Bolden,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 043,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 179 Kensington,No Data,s,2016-17,7,No Data,46.7%,s,15,8,No Data,s,s,s,No Data,s,s,s,No Data,53.3%,46.7%,No Data,s,93.3%,15,s,s
P.S. 054 Samuel C. Barnes,No Data,s,2016-17,s,No Data,75.0%,s,No Data,29,No Data,s,s,s,No Data,s,s,s,No Data,69.0%,s,No Data,s,52.4%,12,42.9%,s
P.S. 154 Jonathan D. Hyatt,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Urban Scholars Community School,No Data,s,2016-17,11,No Data,57.1%,s,16,38,No Data,s,s,s,No Data,s,s,s,No Data,53.5%,26.2%,No Data,s,78.9%,43,21.1%,s
Lucero Elementary School,No Data,s,2016-17,8,No Data,52.0%,s,10,43,No Data,s,s,s,No Data,s,s,s,No Data,49.4%,32.0%,No Data,s,92.0%,24,6.9%,s
P.S. 124 Yung Wing,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 5 Port Morris,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
Washington Heights Expeditionary Learning School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,100.0%,No Data,s,No Data
J.H.S. 143 Eleanor Roosevelt,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
J.H.S. 218 James P. Sinnott,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Norma Adams Clemons Academy,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,No Data,s,2016-17,15,No Data,46.0%,s,9,37,No Data,s,s,s,No Data,s,s,s,No Data,50.0%,30.0%,No Data,s,90.5%,56,9.5%,s
M.S. 390,No Data,s,2016-17,18,No Data,56.6%,s,No Data,25,No Data,s,s,s,No Data,s,s,s,No Data,47.2%,34.0%,No Data,s,100.0%,52,s,s
P.S. 143 Louis Armstrong,No Data,98,2016-17,54,No Data,11.6%,46,55,170,No Data,52,s,s,No Data,s,26.7%,s,No Data,51.7%,31.4%,No Data,s,99.1%,166,s,61
P.S. 028 Wright Brothers,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,90.9%,s,s,s
P.S. 092 Bronx,No Data,s,2016-17,6,No Data,71.4%,s,22,27,No Data,s,s,s,No Data,s,s,s,No Data,56.3%,28.6%,No Data,s,95.8%,19,s,s
P.S. 096 Joseph Lanzetta,s,s,2016-17,s,s,60.0%,s,s,8,s,s,s,s,s,s,s,s,s,47.1%,s,s,s,94.1%,9,s,s
P.S. 058 The Carroll,No Data,117,2016-17,s,No Data,s,57,47,148,No Data,60,10.9%,74.4%,No Data,32,42.5%,218,No Data,50.5%,s,No Data,2.7%,8.9%,134,3.1%,63
P.S. 001 The Bergen,s,s,2016-17,9,s,s,s,8,31,s,s,s,s,s,s,s,s,s,53.4%,56.3%,s,s,100.0%,16,s,s
P.S. 310 Marble Hill,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 196,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Amistad Dual Language School,No Data,s,2016-17,11,No Data,59.3%,s,s,14,No Data,s,s,s,No Data,s,s,s,No Data,42.4%,40.7%,No Data,s,100.0%,27,s,s
P.S. 013 Clement C. Moore,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,57,No Data,No Data,s,s,No Data,s,No Data,s,No Data,54.8%,No Data,No Data,5.8%,86.5%,No Data,s,No Data
P.S. X088 - S. Silverstein Little Sparrow School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 015 Patrick F. Daly,No Data,s,2016-17,s,No Data,s,s,No Data,31,No Data,s,11.1%,22.2%,No Data,6,s,12,No Data,57.4%,s,No Data,s,59.3%,13,s,8
Samara Community School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,14,No Data,No Data,s,s,No Data,s,No Data,s,No Data,63.6%,No Data,No Data,s,81.8%,No Data,s,No Data
P.S. 084 Lillian Weber,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,50.0%,No Data,s,s,8,No Data,s,s,No Data,s,50.0%,7,s,s
Washington Heights Academy,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S./I.S. 30 Mary White Ovington,88.9%,s,2016-17,s,s,s,s,No Data,s,s,s,s,83.3%,s,s,s,15,s,s,s,s,s,s,10,s,s
P.S. 189 The Bilingual Center,No Data,37,2016-17,26,No Data,18.2%,23,10,42,No Data,14,s,s,No Data,s,29.9%,s,No Data,47.2%,33.8%,No Data,s,66.3%,78,33.7%,19
