maprojid,typecategory,plannedcommit_ccnonexempt,plannedcommit_ccexempt,adopt_total,spent_ccnonexempt,magencyname,spent_citycost,commit_ccnonexempt,the_geom,adopt_noncitycost,allocate_nccstate,ccpversion,adopt_ccnonexempt,commit_nccstate,commit_noncitycost,allocate_noncitycost
850PWDNUAUI,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.1178871996511, 40.63584072323768]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
826PR-135-L,"ITT, Vehicles, and Equipment",0.0,164440000.0,197422000.0,0.0,Department of Environmental Protection,2220420.54,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.07658527562252, 40.643557396459165]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
850LNEA13HGR,Fixed Asset,5424000.0,0.0,7193000.0,1147082.48,Department of Design and Construction,1147082.48,440575.9,"{'type': 'MultiPoint', 'coordinates': [[-73.94800359464743, 40.82569967733934]]}",0.0,0.0,fisa_2026,7193000.0,0.0,0.0,0.0
846P-110FPPP,Fixed Asset,742000.0,0.0,3646000.0,383280.77,Department of Parks and Recreation,383280.77,2520717.23,"{'type': 'MultiPoint', 'coordinates': [[-73.82677773430144, 40.819944674241555]]}",0.0,0.0,fisa_2026,3646000.0,0.0,0.0,0.0
072C138PROB5,"ITT, Vehicles, and Equipment",190000.0,0.0,2180000.0,1477576.05,Department of Correction,1477576.05,70455.04,"{'type': 'MultiPoint', 'coordinates': [[-73.88263961827633, 40.7911176814872]]}",0.0,0.0,fisa_2026,2180000.0,0.0,0.0,0.0
850CO278FA3,"ITT, Vehicles, and Equipment",81360000.0,0.0,90967000.0,3423736.8,Department of Design and Construction,3423736.8,6183055.02,"{'type': 'MultiPoint', 'coordinates': [[-73.98941191904173, 40.693885854378536]]}",0.0,0.0,fisa_2026,90967000.0,0.0,0.0,0.0
126PV112ADA,Fixed Asset,0.0,0.0,0.0,0.0,Department of Cultural Affairs,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9798509888706, 40.57523849973664]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
850C114RMSC,"ITT, Vehicles, and Equipment",0.0,0.0,167788000.0,153577449.17,Department of Design and Construction,153577449.17,12446.37,"{'type': 'MultiPoint', 'coordinates': [[-73.88264305674363, 40.790760730792805]]}",0.0,0.0,fisa_2026,167788000.0,0.0,0.0,0.0
819ACEHHC401,Fixed Asset,274000.0,0.0,9463000.0,9188217.02,Health and Hospitals Corporation,9188217.02,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94276464557066, 40.69947973748775]]}",0.0,0.0,fisa_2026,9463000.0,0.0,0.0,0.0
846P-112SETW,Fixed Asset,181000.0,0.0,1320000.0,1007419.02,Department of Parks and Recreation,1007419.02,131326.27,"{'type': 'MultiPoint', 'coordinates': [[-73.83872762567101, 40.88854466077791]]}",0.0,0.0,fisa_2026,1320000.0,0.0,0.0,0.0
850S195-227S,Fixed Asset,178000.0,0.0,22314000.0,21848095.09,Department of Design and Construction,21848095.09,74159.55,"{'type': 'MultiPoint', 'coordinates': [[-74.01044342615076, 40.72585272767739]]}",0.0,0.0,fisa_2026,22314000.0,0.0,0.0,0.0
057SANDHM265,,173000.0,0.0,1930000.0,19941.13,Fire Department,19941.13,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.78827676231029, 40.591824388407254]]}",1736000.0,0.0,fisa_2026,194000.0,0.0,0.0,1556530.12
846PV510-IRR,Fixed Asset,190000.0,0.0,976000.0,780314.18,Department of Parks and Recreation,780314.18,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.10307916085902, 40.642307036703734]]}",0.0,0.0,fisa_2026,976000.0,0.0,0.0,0.0
072C75GRVCHV,Fixed Asset,0.0,0.0,2820000.0,285263.85,Department of Correction,285263.85,731875.88,"{'type': 'MultiPoint', 'coordinates': [[-73.88263961827633, 40.7911176814872]]}",0.0,0.0,fisa_2026,2820000.0,0.0,0.0,0.0
856PWD99813,"ITT, Vehicles, and Equipment",0.0,0.0,425000.0,417741.2,Department of Citywide Administrative Services,417741.2,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00740772709237, 40.71342340680471]]}",0.0,0.0,fisa_2026,425000.0,0.0,0.0,0.0
850HH115BWFA,Fixed Asset,30000.0,0.0,1926000.0,1606187.89,Department of Design and Construction,1606187.89,44201.37,"{'type': 'MultiPoint', 'coordinates': [[-73.82459618683204, 40.71497676632688]]}",0.0,0.0,fisa_2026,1926000.0,0.0,0.0,0.0
068HRC006KCH,Lump Sum,16000.0,0.0,409000.0,0.0,Administration for Children's Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.945143020532, 40.65622916133895]]}",0.0,0.0,fisa_2026,409000.0,0.0,0.0,0.0
846NDF-DYMAN,Fixed Asset,856000.0,0.0,5837000.0,4560137.11,Department of Parks and Recreation,4560137.11,420567.2,"{'type': 'MultiPoint', 'coordinates': [[-73.92450460050057, 40.86073766901953]]}",0.0,0.0,fisa_2026,5837000.0,0.0,0.0,0.0
037LNCA15MUL,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,New York Public Library,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.99556852983294, 40.72389245639552]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
850LBM15MPRF,Fixed Asset,2295000.0,0.0,7295000.0,4045800.19,Department of Design and Construction,4045800.19,875796.3,"{'type': 'MultiPoint', 'coordinates': [[-73.98946399028885, 40.622989961224974]]}",0.0,0.0,fisa_2026,7295000.0,0.0,0.0,0.0
806MHANYSH,,340000.0,0.0,340000.0,0.0,Housing Preservation and Development,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.92952032935801, 40.6838683745175]]}",0.0,0.0,fisa_2026,340000.0,0.0,0.0,0.0
850HLDNPCARE,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.95871934518746, 40.69967321121721]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
850HLDNICLTL,Lump Sum,0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.01051507812957, 40.70233038373555]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
827S136-264M,Fixed Asset,250000.0,0.0,7873000.0,5715499.03,Department of Sanitation,5715499.03,1904249.38,"{'type': 'MultiPoint', 'coordinates': [[-74.0104279626706, 40.7402331747258]]}",0.0,0.0,fisa_2026,7873000.0,0.0,0.0,0.0
801BAMSOSITE,Fixed Asset,0.0,0.0,6558000.0,6557706.04,Department of Small Business Services,6557706.04,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.97847974657768, 40.68617983157929]]}",0.0,0.0,fisa_2026,6558000.0,0.0,0.0,0.0
8018890PHA3,Fixed Asset,1121000.0,0.0,9685000.0,8318031.95,Department of Small Business Services,8318031.95,245112.75,"{'type': 'MultiPoint', 'coordinates': [[-73.99894442824136, 40.767657170214974]]}",0.0,0.0,fisa_2026,9685000.0,0.0,0.0,0.0
846P-201AMPU,Fixed Asset,5975000.0,0.0,5900000.0,294122.7,Department of Parks and Recreation,294122.7,60877.3,"{'type': 'MultiPoint', 'coordinates': [[-73.95787839709624, 40.728769296201285]]}",0.0,0.0,fisa_2026,5900000.0,0.0,0.0,0.0
850AGDNRIVER,,0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.90872934781125, 40.910205235845915]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
850SANDBROAD,Fixed Asset,0.0,0.0,290000.0,51308.83,Department of Design and Construction,51308.83,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.82006115992114, 40.60072468376948]]}",254000.0,0.0,fisa_2026,36000.0,0.0,0.0,3942.27
850PW195SW2,Fixed Asset,3905000.0,0.0,11713000.0,3831156.12,Department of Design and Construction,3831156.12,4015074.17,"{'type': 'MultiPoint', 'coordinates': [[-74.00117819108993, 40.715095534842796]]}",0.0,0.0,fisa_2026,11713000.0,0.0,0.0,0.0
057FM175WN76,Fixed Asset,0.0,0.0,350000.0,339121.54,Fire Department,339121.54,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.96718259055153, 40.79655468338029]]}",0.0,0.0,fisa_2026,350000.0,0.0,0.0,0.0
057FD175E249,Fixed Asset,0.0,0.0,0.0,0.0,Fire Department,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.95315660307946, 40.66024870915419]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
801HRDMN05D1,Lump Sum,5050000.0,0.0,5050000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.98967502549773, 40.74994942152788]]}",0.0,0.0,fisa_2026,5050000.0,0.0,0.0,0.0
850PWMNPALVN,"ITT, Vehicles, and Equipment",0.0,0.0,87000.0,87000.0,Department of Design and Construction,87000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.99237945829817, 40.73349346510226]]}",0.0,0.0,fisa_2026,87000.0,0.0,0.0,0.0
826PS-316,Fixed Asset,0.0,49197000.0,49697000.0,0.0,Department of Environmental Protection,500000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.20012292486582, 40.586588672186025]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
801BATBEYOND,Fixed Asset,1566000.0,0.0,129903000.0,125492443.0,Department of Small Business Services,125492443.0,3145735.31,"{'type': 'MultiPoint', 'coordinates': [[-74.02542085760484, 40.64428549749715]]}",0.0,0.0,fisa_2026,129903000.0,0.0,0.0,0.0
801NYULHQ,Fixed Asset,8300000.0,0.0,8300000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94400112959156, 40.81611447029671]]}",0.0,0.0,fisa_2026,8300000.0,0.0,0.0,0.0
826GI-NYCHA,Fixed Asset,0.0,8000.0,8802000.0,0.0,Department of Environmental Protection,7092405.09,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.84526830423682, 40.885640067295896]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
850HLDNLENOX,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.96110739601244, 40.773948806453355]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
846P-4BSHIST,Lump Sum,0.0,0.0,443000.0,444313.59,Department of Parks and Recreation,444313.59,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.77778365160609, 40.79215067781048]]}",0.0,0.0,fisa_2026,443000.0,0.0,0.0,0.0
856PW77117SA,,40000.0,0.0,104000.0,0.0,Department of Citywide Administrative Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00088960726613, 40.71718396373573]]}",0.0,0.0,fisa_2026,104000.0,0.0,0.0,0.0
850HLDNCATHO,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94629218896496, 40.801865991984066]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
826WI-285-L,Fixed Asset,0.0,1600000.0,133376000.0,0.0,Department of Environmental Protection,91280288.31,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.92191746406428, 40.787444971672976]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
826TI-5,Lump Sum,0.0,6048000.0,22170000.0,0.0,Department of Environmental Protection,13465221.81,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.83934034440371, 40.79492941743239]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
111PO187-XRD,,346000.0,0.0,995000.0,499696.0,Unknown,499696.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.80370967568531, 40.701966319680594]]}",0.0,0.0,fisa_2026,995000.0,0.0,0.0,0.0
826WI-298-B,Lump Sum,0.0,85552000.0,93972000.0,0.0,Department of Environmental Protection,6759409.68,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.92191746406428, 40.787444971672976]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
126PV274NWRF,Fixed Asset,9886000.0,0.0,9981000.0,0.0,Department of Cultural Affairs,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.85168326541476, 40.74728208321706]]}",0.0,0.0,fisa_2026,9981000.0,0.0,0.0,0.0
056PO79LOCK,Fixed Asset,8004000.0,0.0,62025000.0,49137576.75,Police Department,49137576.75,2557331.17,"{'type': 'MultiPoint', 'coordinates': [[-74.0017824820239, 40.712176920360996]]}",0.0,0.0,fisa_2026,62025000.0,0.0,0.0,0.0
850HL82VILCN,,0.0,0.0,1406000.0,1377887.76,Department of Design and Construction,1377887.76,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00233250754599, 40.715666090459294]]}",0.0,0.0,fisa_2026,1406000.0,0.0,0.0,0.0
850LQASADA,Fixed Asset,3413000.0,0.0,19309000.0,3392036.24,Department of Design and Construction,3392036.24,14565073.36,"{'type': 'MultiPoint', 'coordinates': [[-73.92873788133045, 40.77236908614852]]}",0.0,0.0,fisa_2026,19309000.0,0.0,0.0,0.0
850MED-610,Fixed Asset,55000.0,0.0,36932000.0,328106.59,Department of Design and Construction,10421682.04,757638.94,"{'type': 'MultiPoint', 'coordinates': [[-74.00644712234732, 40.73939709233102], [-74.00633166926299, 40.73962216883193], [-74.00591666127873, 40.73940809979045], [-74.00586260699615, 40.740253486172016], [-74.00538980846511, 40.73940263615983], [-74.00528881569484, 40.74001472014564], [-74.0038633770739, 40.7394109317205]]}",939000.0,0.0,fisa_2026,1173000.0,0.0,937101.68,1898.32
82626-STAB20,Fixed Asset,0.0,0.0,202878000.0,0.0,Department of Environmental Protection,189227845.79,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.87901633622818, 40.65241235914703]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
801BKCRUISE,Fixed Asset,1200000.0,0.0,1200000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.01098440381465, 40.68155089053288]]}",0.0,0.0,fisa_2026,1200000.0,0.0,0.0,0.0
801CYPRESSH,Lump Sum,790000.0,0.0,790000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.88998612184812, 40.67813342401914]]}",0.0,0.0,fisa_2026,790000.0,0.0,0.0,0.0
826DMCCSG,Fixed Asset,0.0,3100000.0,11338000.0,0.0,Department of Environmental Protection,7202539.54,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.74122468976904, 40.74733807530472]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
846NDF-HLDN3,Fixed Asset,0.0,0.0,4333000.0,3800681.27,Department of Parks and Recreation,3800681.27,458421.47,"{'type': 'MultiPoint', 'coordinates': [[-73.88533062386706, 40.684155702000254]]}",0.0,0.0,fisa_2026,4333000.0,0.0,0.0,0.0
850QED-1030,Lump Sum,0.0,0.0,9342000.0,73600.0,Department of Design and Construction,8524721.94,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.84980664069006, 40.58199872111228]]}",0.0,0.0,fisa_2026,74000.0,0.0,0.0,0.0
850HLDNPRIMC,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.955960209432, 40.697115107092856]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
846P-3BELLVU,Fixed Asset,0.0,0.0,5881000.0,4135944.79,Department of Parks and Recreation,4135944.79,490580.89,"{'type': 'MultiPoint', 'coordinates': [[-73.97808358990608, 40.73999069469915]]}",0.0,0.0,fisa_2026,5881000.0,0.0,0.0,0.0
850NORTHSCHO,Fixed Asset,325000.0,0.0,962000.0,637291.0,Department of Design and Construction,637291.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.946446123402, 40.79367583648015]]}",0.0,0.0,fisa_2026,962000.0,0.0,0.0,0.0
801KIPDOME2,Lump Sum,0.0,0.0,384000.0,383887.8,Department of Small Business Services,383887.8,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.85663164027514, 40.81733195291411]]}",0.0,0.0,fisa_2026,384000.0,0.0,0.0,0.0
850HH112PJRC,Fixed Asset,0.0,0.0,611000.0,206424.52,Department of Design and Construction,206424.52,626185.48,"{'type': 'MultiPoint', 'coordinates': [[-73.93725705948795, 40.68511803809534]]}",0.0,0.0,fisa_2026,611000.0,0.0,0.0,0.0
846P-108WDLN,Fixed Asset,7745000.0,0.0,8645000.0,824381.71,Department of Parks and Recreation,824381.71,35798.29,"{'type': 'MultiPoint', 'coordinates': [[-73.87236564391512, 40.900073995378236]]}",0.0,0.0,fisa_2026,8645000.0,0.0,0.0,0.0
806HAM15ICNB,Fixed Asset,14000.0,0.0,2006000.0,1779155.85,Housing Preservation and Development,1779155.85,11890.76,"{'type': 'MultiPoint', 'coordinates': [[-73.9454849229083, 40.78149309554001]]}",0.0,0.0,fisa_2026,2006000.0,0.0,0.0,0.0
81929202602,Fixed Asset,3000000.0,0.0,3000000.0,0.0,Health and Hospitals Corporation,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94493193422427, 40.65662947357177]]}",0.0,0.0,fisa_2026,3000000.0,0.0,0.0,0.0
850HLDNUNCOD,"ITT, Vehicles, and Equipment",111000.0,0.0,111000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.89597144399991, 40.86062876525241]]}",0.0,0.0,fisa_2026,111000.0,0.0,0.0,0.0
850HLXNUNIC,"ITT, Vehicles, and Equipment",300000.0,0.0,300000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.89597144399991, 40.86062876525241]]}",0.0,0.0,fisa_2026,300000.0,0.0,0.0,0.0
850LNCM12NDP,Fixed Asset,2000.0,0.0,333000.0,328998.69,Department of Design and Construction,328998.69,1967.32,"{'type': 'MultiPoint', 'coordinates': [[-74.1119625569128, 40.5719197320011]]}",0.0,0.0,fisa_2026,333000.0,0.0,0.0,0.0
850AGDNMETRC,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00780016730006, 40.7070774905455]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
801HRDNPROM,,2000000.0,0.0,2250000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94386105108931, 40.680711193726665]]}",0.0,0.0,fisa_2026,2250000.0,0.0,0.0,0.0
856PW310FAN,Fixed Asset,0.0,0.0,382000.0,177028.85,Department of Citywide Administrative Services,177028.85,107275.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00424063644073, 40.71358550853907]]}",0.0,0.0,fisa_2026,382000.0,0.0,0.0,0.0
850HHNC002,"ITT, Vehicles, and Equipment",0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.98712958573292, 40.76378169051316]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
071HH112BARS,Fixed Asset,5850000.0,0.0,6750000.0,375713.0,Department of Homeless Services,375713.0,274287.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94951759973944, 40.73989969399194]]}",0.0,0.0,fisa_2026,6750000.0,0.0,0.0,0.0
850HLDNCORNL,,0.0,0.0,271000.0,271140.0,Department of Design and Construction,271140.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.95414150079897, 40.764444934373145]]}",0.0,0.0,fisa_2026,271000.0,0.0,0.0,0.0
850PV235HA3B,Fixed Asset,0.0,0.0,5753000.0,5738263.15,Department of Design and Construction,5738263.15,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.96374767995592, 40.670557274227164]]}",0.0,0.0,fisa_2026,5753000.0,0.0,0.0,0.0
850LNXEA08FN,Fixed Asset,0.0,0.0,1382000.0,1381460.95,Department of Design and Construction,1381460.95,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.90927660550528, 40.85743766929941]]}",0.0,0.0,fisa_2026,1382000.0,0.0,0.0,0.0
801QNSHOUSE1,Fixed Asset,0.0,0.0,4367000.0,4367000.0,Department of Small Business Services,4367000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.84891490978688, 40.737171614902564]]}",0.0,0.0,fisa_2026,4367000.0,0.0,0.0,0.0
801ANNADALE,Fixed Asset,0.0,0.0,0.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.17719191375666, 40.54298656727083]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
841HB1070BR,Fixed Asset,11012000.0,0.0,16758000.0,114305.95,Department of Transportation,114305.95,16582957.42,"{'type': 'MultiPoint', 'coordinates': [[-74.005620723417, 40.65312412103188], [-73.9989418954193, 40.649155467987605], [-73.96014528076054, 40.584627788152126], [-73.86580044492288, 40.65167803439732], [-73.8960407349443, 40.68022848112136], [-73.90787019462533, 40.5965284708423], [-73.98261051497995, 40.58267800534814]]}",0.0,0.0,fisa_2026,16758000.0,0.0,0.0,0.0
846P-200PPPH,Fixed Asset,644000.0,0.0,1000000.0,167610.25,Department of Parks and Recreation,167610.25,28175.1,"{'type': 'MultiPoint', 'coordinates': [[-73.97157202996561, 40.66555990427877]]}",0.0,0.0,fisa_2026,1000000.0,0.0,0.0,0.0
846P-415WRD2,Fixed Asset,36223000.0,0.0,38826000.0,2009174.42,Department of Parks and Recreation,2009174.42,593794.87,"{'type': 'MultiPoint', 'coordinates': [[-73.85472041271893, 40.759992329221916]]}",0.0,0.0,fisa_2026,38826000.0,0.0,0.0,0.0
850HLMTSINAM,"ITT, Vehicles, and Equipment",1217000.0,0.0,1217000.0,0.0,Department of Design and Construction,0.0,1217000.0,"{'type': 'MultiPoint', 'coordinates': [[-73.96144373769575, 40.805684308678494]]}",0.0,0.0,fisa_2026,1217000.0,0.0,0.0,0.0
846P-1HUNTPT,Fixed Asset,159000.0,0.0,831000.0,640293.38,Department of Parks and Recreation,640293.38,32449.36,"{'type': 'MultiPoint', 'coordinates': [[-73.8892256143521, 40.814887676683796]]}",0.0,0.0,fisa_2026,831000.0,0.0,0.0,0.0
846P-104MRPG,Fixed Asset,7749000.0,0.0,8605000.0,657824.68,Department of Parks and Recreation,657824.68,198279.24,"{'type': 'MultiPoint', 'coordinates': [[-73.9269786006743, 40.839698673438136]]}",0.0,0.0,fisa_2026,8605000.0,0.0,0.0,0.0
801P-3CPIRPR,Fixed Asset,4530000.0,0.0,4530000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9416694972951, 40.82165347745334]]}",0.0,0.0,fisa_2026,4530000.0,0.0,0.0,0.0
846P-105GALO,Fixed Asset,1893000.0,0.0,9784000.0,434238.85,Department of Parks and Recreation,434238.85,6334568.9,"{'type': 'MultiPoint', 'coordinates': [[-73.91555660436326, 40.84862867144209]]}",0.0,0.0,fisa_2026,9784000.0,0.0,0.0,0.0
82626W-149,Fixed Asset,0.0,350000.0,10046000.0,0.0,Department of Environmental Protection,7631224.94,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.88168197682519, 40.64823954321321]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
806HAM17WHPL,Fixed Asset,5000.0,0.0,350000.0,344600.54,Housing Preservation and Development,344600.54,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9092633668222, 40.754758210130916]]}",0.0,0.0,fisa_2026,350000.0,0.0,0.0,0.0
072C75NICA/C,Fixed Asset,0.0,0.0,9962000.0,8402047.9,Department of Correction,8402047.9,161200.28,"{'type': 'MultiPoint', 'coordinates': [[-73.88263961827633, 40.7911176814872]]}",0.0,0.0,fisa_2026,9962000.0,0.0,0.0,0.0
071HHCN003,"ITT, Vehicles, and Equipment",250000.0,0.0,250000.0,0.0,Department of Homeless Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.95382260134272, 40.67841870554766]]}",0.0,0.0,fisa_2026,250000.0,0.0,0.0,0.0
071HH112FWBO,Fixed Asset,2248000.0,0.0,18685000.0,10846647.28,Department of Homeless Services,10846647.28,600188.14,"{'type': 'MultiPoint', 'coordinates': [[-73.94129359629409, 40.842117673647664]]}",0.0,0.0,fisa_2026,18685000.0,0.0,0.0,0.0
850LQD122HO1,Fixed Asset,1069000.0,0.0,11615000.0,3778157.93,Department of Design and Construction,3778157.93,5651193.77,"{'type': 'MultiPoint', 'coordinates': [[-73.76231722160831, 40.72015947588726]]}",0.0,0.0,fisa_2026,11615000.0,0.0,0.0,0.0
850HLDNSMARY,Fixed Asset,0.0,0.0,396000.0,396098.0,Department of Design and Construction,396098.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.7688847276904, 40.77633756258812]]}",0.0,0.0,fisa_2026,396000.0,0.0,0.0,0.0
056PO79BMAHY,Fixed Asset,4452000.0,0.0,4589000.0,99000.0,Police Department,99000.0,37500.0,"{'type': 'MultiPoint', 'coordinates': [[-73.95653863928575, 40.81468589574782], [-73.91124811972671, 40.822471649806545], [-73.9001179519959, 40.85395679518497]]}",0.0,0.0,fisa_2026,4589000.0,0.0,0.0,0.0
039LQLARSCAR,"ITT, Vehicles, and Equipment",35000.0,0.0,35000.0,0.0,Queens Borough Public Library,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.73990968194138, 40.659955662216504]]}",0.0,0.0,fisa_2026,35000.0,0.0,0.0,0.0
826PS-278,Fixed Asset,0.0,12157000.0,95738000.0,0.0,Department of Environmental Protection,5330771.77,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.82694176376847, 40.722669679550165]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
826OB-133-L,Fixed Asset,0.0,11383000.0,100403000.0,0.0,Department of Environmental Protection,25289846.5,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.11688255857253, 40.551232355694246]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
806HAM17PHCC,Fixed Asset,200000.0,0.0,200000.0,0.0,Housing Preservation and Development,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.92292082396773, 40.81466309779193]]}",0.0,0.0,fisa_2026,200000.0,0.0,0.0,0.0
806HAM16SURF,Fixed Asset,250000.0,0.0,250000.0,0.0,Housing Preservation and Development,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.99793090812877, 40.57436442685561]]}",0.0,0.0,fisa_2026,250000.0,0.0,0.0,0.0
850SANDSTPCP,Fixed Asset,138000.0,0.0,16661000.0,4058128.57,Department of Design and Construction,4058128.57,214844.62,"{'type': 'MultiPoint', 'coordinates': [[-73.98366338217001, 40.5711450332481]]}",11868000.0,0.0,fisa_2026,4793000.0,0.0,333442.73,2715983.69
846SANDY2-14,Fixed Asset,49000.0,0.0,1542000.0,56582.16,Department of Parks and Recreation,56582.16,49468.22,"{'type': 'MultiPoint', 'coordinates': [[-73.98588264516903, 40.57297578333529]]}",1386000.0,0.0,fisa_2026,156000.0,0.0,292460.04,343899.92
