sp0310b,pr0914,ct2000_09,congressdistrict_14,communitydistrict_14,electiondistrict_14,civilcourtdistrict_08,communitydistrict_15,electiondistrict_15,sp0216,communitydistrict_10,senatedistrict_09,congressdistrict_13,sp0416,communitydistrict_13,sp0909,councildistrict_12,pr0612,senatedistrict_15,pp12,pr10,politicalparty_16,civilcourtdistrict_09,politicalparty_10,borocode_11,sp0517,borocode_12,sp0310a,borocode_17,electiondistrict_13,assemblydistrict_08,pr0918,sp2018,ct2010_10,ct2010_15,communitydistrict_11,senatedistrict_16
,0.0,151.0,11.0,310.0,59.0,6.0,310.0,59.0,,306.0,18.0,11.0,,310.0,,43.0,,22.0,,1.0,DEM,6.0,DEM,3.0,,3.0,,3.0,59.0,44.0,1.0,,15100.0,6800.0,306.0,22.0
,0.0,185.0,10.0,107.0,42.0,5.0,107.0,42.0,,107.0,30.0,10.0,,107.0,,8.0,,30.0,,0.0,DEM,5.0,DEM,1.0,0.0,1.0,,1.0,42.0,69.0,0.0,,18500.0,18500.0,107.0,30.0
,0.0,982.0,8.0,318.0,71.0,4.0,318.0,71.0,,318.0,19.0,8.0,,318.0,,42.0,0.0,19.0,,0.0,DEM,4.0,DEM,3.0,,3.0,,3.0,71.0,40.0,0.0,,98200.0,98200.0,318.0,19.0
,,,,,,,,,,,,,,,,,,,,,BLK,,,,,,,1.0,,,,,,,,26.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,BLK,,,,,,,1.0,,,0.0,,,,,29.0
,,31701.0,10.0,101.0,12.0,1.0,101.0,12.0,,101.0,25.0,10.0,1.0,101.0,,1.0,,26.0,,,DEM,1.0,BLK,1.0,,1.0,,1.0,12.0,64.0,0.0,,31704.0,31704.0,101.0,26.0
,0.0,285.0,16.0,208.0,47.0,2.0,208.0,47.0,,208.0,33.0,16.0,,208.0,,11.0,0.0,34.0,,0.0,DEM,2.0,DEM,2.0,,2.0,,2.0,47.0,81.0,0.0,,28500.0,28500.0,208.0,34.0
,0.0,922.0,8.0,305.0,58.0,4.0,305.0,58.0,,316.0,19.0,8.0,,305.0,,42.0,0.0,19.0,,0.0,DEM,4.0,DEM,3.0,,3.0,,3.0,58.0,40.0,0.0,,92200.0,121400.0,316.0,19.0
,,128.0,,,,6.0,,,,108.0,26.0,,,,,4.0,,,,0.0,,6.0,DEM,1.0,,1.0,,,,65.0,0.0,,12600.0,,108.0,
,0.0,,14.0,210.0,38.0,,210.0,38.0,,,,14.0,,210.0,,13.0,,34.0,,,DEM,,,,,2.0,,2.0,38.0,,0.0,,,26602.0,,34.0
,0.0,239.0,13.0,111.0,47.0,2.0,111.0,47.0,,205.0,33.0,15.0,,205.0,,14.0,,30.0,,0.0,DEM,2.0,DEM,2.0,,2.0,,2.0,24.0,86.0,0.0,0.0,23900.0,16200.0,205.0,34.0
,,199.0,15.0,204.0,6.0,2.0,204.0,6.0,,204.0,28.0,15.0,,204.0,,16.0,0.0,29.0,0.0,0.0,REP,2.0,REP,2.0,,2.0,,2.0,6.0,77.0,,,19900.0,19900.0,204.0,29.0
,0.0,11502.0,15.0,202.0,39.0,1.0,202.0,39.0,0.0,202.0,32.0,15.0,,202.0,,17.0,,32.0,,0.0,DEM,1.0,DEM,2.0,,2.0,,2.0,39.0,85.0,0.0,0.0,11502.0,11502.0,202.0,32.0
,0.0,40301.0,13.0,207.0,23.0,2.0,207.0,23.0,,207.0,33.0,13.0,,207.0,,15.0,0.0,33.0,,0.0,DEM,2.0,DEM,2.0,,2.0,,2.0,23.0,78.0,0.0,,40303.0,40303.0,207.0,33.0
,0.0,112.0,10.0,312.0,14.0,5.0,312.0,14.0,,312.0,20.0,10.0,,312.0,,38.0,,17.0,,0.0,DEM,5.0,DEM,3.0,,3.0,,3.0,14.0,51.0,0.0,,11200.0,11200.0,312.0,17.0
,0.0,764.0,9.0,314.0,36.0,6.0,314.0,36.0,,314.0,27.0,9.0,,314.0,,45.0,0.0,17.0,,0.0,DEM,6.0,DEM,3.0,,3.0,,3.0,36.0,42.0,0.0,,76400.0,76400.0,314.0,17.0
,,,,,,,315.0,69.0,,,,,,,,,,22.0,,,BLK,,,,,,,3.0,,,,,,62000.0,,22.0
,1.0,,13.0,112.0,27.0,,112.0,27.0,,,,13.0,,112.0,,,,31.0,,,DEM,,,,,,,1.0,27.0,,0.0,,,27900.0,,31.0
,,,,,,,,,,,,,,,,,,,,,BLK,,,,,,,5.0,,,0.0,,,,,24.0
,,164.0,15.0,204.0,1.0,,204.0,1.0,,204.0,28.0,15.0,,204.0,,16.0,,29.0,,,BLK,6.0,BLK,2.0,,2.0,,2.0,1.0,,,,19900.0,19900.0,204.0,29.0
,0.0,,8.0,410.0,59.0,,410.0,59.0,,,,8.0,,410.0,,,,15.0,,,DEM,,,,,,,4.0,59.0,,0.0,,,5400.0,,15.0
,,,,,,,,,,,,,,,,,,,,,REP,,,,,,,4.0,,,,,,,,10.0
,0.0,492.0,5.0,413.0,28.0,4.0,413.0,28.0,,413.0,14.0,5.0,,413.0,,23.0,0.0,14.0,,0.0,DEM,4.0,DEM,4.0,,4.0,,4.0,28.0,33.0,0.0,,49200.0,49200.0,413.0,14.0
,,71302.0,6.0,406.0,46.0,2.0,406.0,46.0,,406.0,16.0,6.0,,406.0,,29.0,0.0,15.0,,0.0,REP,2.0,DEM,4.0,,4.0,,4.0,46.0,28.0,0.0,,71306.0,74700.0,406.0,15.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,1.0,,,,,21.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,1.0,,,0.0,,,,,31.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,0.0,,,,,25.0
,,818.0,5.0,410.0,19.0,3.0,410.0,19.0,,410.0,10.0,5.0,,410.0,,28.0,,10.0,,,DEM,3.0,BLK,4.0,,4.0,,4.0,19.0,31.0,0.0,,81800.0,81800.0,410.0,10.0
,,1247.0,6.0,408.0,11.0,6.0,408.0,11.0,,408.0,16.0,6.0,,408.0,,24.0,,11.0,,,BLK,6.0,BLK,4.0,,4.0,,4.0,11.0,25.0,,,124700.0,124700.0,408.0,11.0
,0.0,,12.0,106.0,15.0,,106.0,15.0,,,,12.0,,106.0,,,,27.0,,,DEM,,,,,,,1.0,15.0,,0.0,,,9200.0,,27.0
,0.0,,8.0,305.0,77.0,,305.0,77.0,,,,8.0,,305.0,,42.0,0.0,19.0,,,DEM,,,,,3.0,,3.0,77.0,,0.0,,,105804.0,,19.0
,,,,,,,,,,,,,,,,,,,,,REP,,,,,,,4.0,,,1.0,,,,,15.0
,0.0,263.0,13.0,112.0,10.0,7.0,112.0,10.0,,112.0,31.0,13.0,,112.0,,10.0,,31.0,,,DEM,7.0,BLK,1.0,,1.0,,1.0,10.0,72.0,1.0,,26300.0,26300.0,112.0,31.0
,0.0,163.0,14.0,401.0,60.0,1.0,,,,401.0,12.0,14.0,,401.0,,22.0,,,,0.0,DEM,1.0,DEM,4.0,,4.0,,4.0,60.0,30.0,0.0,,16300.0,,401.0,12.0
,,20803.0,11.0,503.0,11.0,2.0,503.0,11.0,,503.0,24.0,11.0,0.0,503.0,,51.0,0.0,24.0,0.0,0.0,REP,2.0,REP,5.0,,5.0,,5.0,11.0,62.0,0.0,,20803.0,20803.0,503.0,24.0
,0.0,,5.0,412.0,27.0,,412.0,27.0,,,,5.0,,412.0,,27.0,0.0,14.0,,,DEM,,,,,4.0,,4.0,27.0,,0.0,,,37600.0,,14.0
,0.0,,13.0,112.0,14.0,,112.0,14.0,,,,13.0,,112.0,,10.0,,31.0,,,DEM,,,,,1.0,,1.0,14.0,,0.0,,,26300.0,,31.0
,0.0,223.0,11.0,501.0,1.0,1.0,501.0,1.0,,501.0,23.0,11.0,,501.0,,49.0,,23.0,,0.0,DEM,1.0,DEM,5.0,,5.0,,5.0,26.0,61.0,0.0,,22300.0,700.0,501.0,23.0
,0.0,,7.0,307.0,35.0,,307.0,35.0,,,,7.0,,307.0,,38.0,,20.0,,,DEM,,,,,3.0,,3.0,35.0,,0.0,,,7800.0,,20.0
,,504.0,9.0,307.0,50.0,6.0,307.0,50.0,,307.0,20.0,9.0,,307.0,,39.0,0.0,21.0,0.0,1.0,DEM,6.0,REP,3.0,,3.0,,3.0,50.0,44.0,1.0,,50400.0,50400.0,307.0,21.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
,,427.0,7.0,304.0,57.0,3.0,304.0,57.0,,304.0,17.0,7.0,,304.0,,34.0,,18.0,,,BLK,3.0,BLK,3.0,,3.0,,3.0,57.0,53.0,,,42700.0,42700.0,304.0,18.0
,0.0,,15.0,209.0,23.0,,209.0,23.0,,,,15.0,,209.0,,18.0,,33.0,,,DEM,,,,0.0,2.0,,1.0,23.0,,0.0,,,21800.0,,30.0
,0.0,,11.0,502.0,41.0,,502.0,41.0,,502.0,,11.0,,502.0,,50.0,,23.0,,0.0,DEM,,DEM,5.0,,5.0,,5.0,41.0,,0.0,,7000.0,7000.0,502.0,23.0
,0.0,46201.0,16.0,210.0,97.0,1.0,210.0,97.0,,210.0,36.0,16.0,,210.0,,12.0,0.0,36.0,,0.0,DEM,1.0,DEM,2.0,,2.0,,2.0,97.0,82.0,0.0,,46201.0,46201.0,210.0,36.0
,0.0,,7.0,302.0,20.0,,302.0,20.0,,,,10.0,,102.0,,3.0,,26.0,,,DEM,,,,,1.0,,3.0,82.0,,1.0,,,700.0,,25.0
,1.0,257.0,14.0,402.0,51.0,2.0,402.0,51.0,,402.0,12.0,14.0,,402.0,,26.0,,12.0,,1.0,DEM,2.0,DEM,4.0,,4.0,,4.0,51.0,34.0,1.0,,25700.0,25700.0,402.0,12.0
,0.0,786.0,9.0,314.0,56.0,6.0,314.0,56.0,,314.0,21.0,9.0,,314.0,,45.0,0.0,21.0,,0.0,DEM,6.0,DEM,3.0,,3.0,,3.0,56.0,58.0,0.0,,78600.0,78600.0,314.0,21.0
,,225.0,13.0,109.0,2.0,7.0,109.0,2.0,,109.0,30.0,13.0,,109.0,,7.0,,31.0,,,BLK,7.0,BLK,1.0,,1.0,,1.0,2.0,70.0,,,22500.0,22500.0,109.0,31.0
,0.0,954.0,8.0,318.0,14.0,4.0,318.0,14.0,,318.0,19.0,8.0,1.0,318.0,,46.0,0.0,19.0,,0.0,DEM,4.0,DEM,3.0,,3.0,,3.0,14.0,59.0,1.0,,95400.0,95400.0,318.0,19.0
,0.0,85.0,7.0,306.0,73.0,1.0,306.0,73.0,,306.0,18.0,7.0,,306.0,,38.0,0.0,25.0,,0.0,DEM,1.0,DEM,3.0,,3.0,,3.0,73.0,51.0,0.0,,8500.0,8500.0,306.0,25.0
,,,12.0,103.0,36.0,,103.0,36.0,,,,,,,,,,27.0,,,DEM,,,,,,,1.0,,,1.0,0.0,,3400.0,,27.0
,0.0,33.0,10.0,101.0,9.0,1.0,101.0,9.0,,101.0,25.0,10.0,,101.0,,1.0,,26.0,,0.0,DEM,1.0,DEM,1.0,,1.0,,1.0,9.0,66.0,0.0,,3300.0,3300.0,101.0,26.0
,0.0,409.0,13.0,207.0,65.0,2.0,207.0,56.0,,207.0,33.0,13.0,,207.0,,11.0,0.0,36.0,,0.0,DEM,2.0,DEM,2.0,,2.0,,2.0,65.0,80.0,1.0,0.0,40900.0,40900.0,207.0,36.0
,0.0,130.0,12.0,108.0,61.0,9.0,108.0,61.0,,108.0,26.0,12.0,,108.0,,4.0,,28.0,,0.0,DEM,9.0,DEM,1.0,,1.0,,1.0,61.0,73.0,0.0,,13000.0,13000.0,108.0,28.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,1.0,,,0.0,,,,,31.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,,,,,,20.0
,0.0,257.0,14.0,402.0,51.0,2.0,409.0,34.0,,402.0,12.0,14.0,,402.0,,26.0,,10.0,,0.0,DEM,2.0,DEM,4.0,,4.0,,4.0,51.0,34.0,1.0,,25700.0,3200.0,402.0,10.0
,0.0,591.0,7.0,405.0,57.0,3.0,405.0,57.0,,405.0,12.0,7.0,,405.0,,34.0,0.0,12.0,,0.0,CON,3.0,DEM,4.0,,4.0,,4.0,57.0,37.0,,,59100.0,59100.0,405.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,5.0,412.0,31.0,,412.0,31.0,,,,5.0,,412.0,,27.0,,14.0,,,DEM,,,,,4.0,,4.0,31.0,,0.0,,,37600.0,,14.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,403.0,52.0,,,,,,,,,,13.0,,,DEM,,,,,,,4.0,,,1.0,,,35700.0,,13.0
,,22102.0,13.0,110.0,52.0,10.0,110.0,52.0,,110.0,30.0,13.0,,110.0,,9.0,,30.0,,,BLK,10.0,BLK,1.0,0.0,1.0,,1.0,52.0,70.0,,,22102.0,22102.0,110.0,30.0
,,,,,,,414.0,12.0,,,,,,,,,,15.0,,,GRE,,,,,,,4.0,,,,,,93800.0,,15.0
,,255.0,13.0,112.0,63.0,7.0,112.0,63.0,,112.0,31.0,13.0,,112.0,,10.0,0.0,31.0,0.0,0.0,REP,7.0,REP,1.0,,1.0,,1.0,63.0,71.0,,,25500.0,25500.0,112.0,31.0
0.0,0.0,218.0,10.0,312.0,3.0,5.0,312.0,3.0,,312.0,23.0,10.0,,312.0,,44.0,,17.0,,0.0,DEM,5.0,DEM,3.0,,3.0,,3.0,3.0,49.0,0.0,,21800.0,21800.0,312.0,17.0
,0.0,72.0,7.0,307.0,63.0,5.0,307.0,63.0,,307.0,23.0,7.0,,307.0,,38.0,0.0,20.0,,0.0,DEM,5.0,DEM,3.0,,3.0,,3.0,63.0,51.0,0.0,,7200.0,7200.0,307.0,20.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,,,,,,25.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0.0,,,,
,0.0,112.0,7.0,312.0,3.0,5.0,312.0,3.0,,312.0,20.0,7.0,,312.0,,38.0,1.0,17.0,,0.0,DEM,5.0,DEM,3.0,,3.0,,3.0,3.0,51.0,0.0,,11200.0,11200.0,312.0,17.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,4.0,,,0.0,,,,,16.0
,0.0,224.0,13.0,110.0,25.0,10.0,110.0,25.0,,110.0,30.0,13.0,,110.0,,9.0,0.0,30.0,,0.0,DEM,10.0,DEM,1.0,0.0,1.0,,1.0,25.0,70.0,0.0,,22400.0,22400.0,110.0,30.0
,0.0,,7.0,301.0,49.0,,301.0,49.0,,,,8.0,,302.0,,35.0,,18.0,,,DEM,,,,,3.0,,3.0,25.0,,0.0,,,55100.0,,26.0
,0.0,22701.0,13.0,109.0,63.0,10.0,109.0,63.0,,109.0,30.0,13.0,,109.0,,7.0,0.0,30.0,,0.0,DEM,10.0,DEM,1.0,0.0,1.0,,1.0,63.0,70.0,1.0,,22700.0,22700.0,109.0,30.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,2.0,,,0.0,,,,,34.0
,,773.0,6.0,409.0,25.0,4.0,409.0,25.0,,409.0,10.0,6.0,,409.0,,29.0,,14.0,,,IND,4.0,IND,4.0,,4.0,,4.0,25.0,28.0,0.0,,77300.0,77300.0,409.0,14.0
,,711.0,6.0,406.0,36.0,2.0,406.0,36.0,,406.0,16.0,6.0,,406.0,,29.0,,16.0,,,BLK,2.0,BLK,4.0,,4.0,,4.0,36.0,28.0,,,71100.0,71100.0,406.0,16.0
,0.0,1210.0,8.0,305.0,18.0,7.0,305.0,18.0,,305.0,19.0,8.0,,305.0,,42.0,0.0,18.0,,0.0,DEM,7.0,DEM,3.0,,3.0,,3.0,18.0,40.0,0.0,,121000.0,121000.0,305.0,18.0
,0.0,,13.0,111.0,78.0,,111.0,78.0,,111.0,,13.0,,111.0,,8.0,0.0,30.0,,,DEM,,DEM,1.0,0.0,1.0,,1.0,78.0,,0.0,,17800.0,17800.0,111.0,30.0
,,907.0,14.0,407.0,61.0,,407.0,61.0,,407.0,11.0,14.0,,407.0,,19.0,0.0,11.0,0.0,0.0,REP,6.0,REP,4.0,,4.0,,4.0,61.0,,0.0,,90700.0,90700.0,407.0,11.0
,0.0,38.0,14.0,209.0,47.0,1.0,209.0,47.0,,209.0,32.0,14.0,,209.0,,18.0,,32.0,,0.0,DEM,1.0,DEM,2.0,,2.0,,2.0,47.0,76.0,1.0,0.0,3800.0,21001.0,209.0,32.0
,,928.0,5.0,414.0,8.0,5.0,414.0,8.0,,414.0,14.0,5.0,,414.0,,32.0,0.0,15.0,0.0,0.0,BLK,5.0,REP,4.0,,4.0,,3.0,8.0,23.0,,,92800.0,92800.0,414.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,459.0,6.0,404.0,20.0,2.0,404.0,20.0,,404.0,13.0,6.0,,404.0,,25.0,1.0,13.0,,1.0,DEM,2.0,DEM,4.0,,4.0,1.0,4.0,20.0,39.0,1.0,0.0,45900.0,45900.0,404.0,13.0
,0.0,,14.0,403.0,1.0,,404.0,5.0,,403.0,,14.0,,403.0,,21.0,,13.0,,,DEM,,DEM,4.0,,4.0,,4.0,1.0,,,0.0,35700.0,42700.0,403.0,13.0
,0.0,271.0,6.0,404.0,26.0,2.0,404.0,26.0,,404.0,13.0,6.0,,404.0,,21.0,0.0,13.0,,1.0,DEM,2.0,DEM,4.0,,4.0,1.0,4.0,26.0,39.0,1.0,0.0,27100.0,27100.0,404.0,13.0
,0.0,776.0,9.0,318.0,54.0,6.0,,,,318.0,21.0,9.0,,318.0,,45.0,0.0,,,0.0,DEM,6.0,DEM,3.0,,3.0,,3.0,54.0,41.0,0.0,,77600.0,,318.0,21.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,1.0,,,,,26.0
,,148.0,5.0,409.0,19.0,3.0,409.0,19.0,,409.0,10.0,5.0,,409.0,,28.0,0.0,10.0,0.0,0.0,REP,3.0,REP,4.0,,4.0,,4.0,19.0,25.0,,,15200.0,15200.0,409.0,10.0
,0.0,251.0,15.0,205.0,11.0,2.0,205.0,11.0,,205.0,28.0,15.0,,205.0,,14.0,,33.0,,0.0,DEM,2.0,DEM,2.0,,2.0,,2.0,11.0,86.0,0.0,,25100.0,25100.0,205.0,33.0
,0.0,122.0,5.0,409.0,68.0,4.0,409.0,68.0,,409.0,10.0,5.0,,409.0,,29.0,0.0,10.0,,0.0,DEM,4.0,DEM,4.0,,4.0,,4.0,68.0,25.0,0.0,,12200.0,12200.0,409.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,481.0,12.0,103.0,80.0,3.0,103.0,32.0,,103.0,17.0,12.0,1.0,103.0,,1.0,,26.0,,0.0,DEM,3.0,DEM,1.0,,1.0,,1.0,80.0,53.0,0.0,,1402.0,600.0,103.0,26.0
,,326.0,8.0,313.0,15.0,8.0,,,,313.0,23.0,8.0,,313.0,,47.0,,,,,BLK,8.0,BLK,3.0,,3.0,,3.0,15.0,46.0,,,32600.0,,313.0,23.0
