pr0614,nta_18,ge08,nta_09,assemblydistrict_18,civilcourtdistrict_14,pr11,electiondistrict_17,pp08,civilcourtdistrict_17,senatedistrict_13,ct2010_12,ct2010_13,senatedistrict_08,congressdistrict_16,electiondistrict_08,ge14,civilcourtdistrict_15,nta_14,civilcourtdistrict_12,ge16,nta_10,congressdistrict_08,ct2010_18,ge09,assemblydistrict_16,councildistrict_14,nta_15,ge15,sp0209,assemblydistrict_12,borocode_10
,BK78,1.0,MN19,54,7.0,,61.0,,7.0,18.0,,40300.0,26.0,8.0,107.0,0.0,7.0,BK78,,0.0,,14.0,39300,0.0,54.0,37.0,BK78,,,,
,SI28,1.0,SI28,61,1.0,,76.0,0.0,1.0,23.0,21300.0,21300.0,23.0,11.0,66.0,1.0,1.0,SI28,1.0,1.0,SI28,13.0,21300,0.0,61.0,49.0,SI28,,0.0,61.0,5.0
,BK95,,BK95,42,6.0,,43.0,,6.0,21.0,79000.0,79000.0,,9.0,,0.0,6.0,BK95,6.0,1.0,BK95,,79000,,42.0,45.0,BK95,,,42.0,3.0
,QN48,,,26,3.0,,37.0,,6.0,18.0,48500.0,48500.0,,6.0,,0.0,6.0,BK78,3.0,1.0,,,145900,,26.0,34.0,QN48,,,53.0,
,QN27,,,35,,,,,,,,,,,,,,,,,,,35700,,,,,,,,
,BK81,1.0,BK81,55,4.0,,92.0,0.0,4.0,20.0,90000.0,90000.0,19.0,9.0,80.0,0.0,4.0,BK81,4.0,1.0,BK81,11.0,90000,0.0,55.0,41.0,BK81,,,55.0,3.0
,BK31,,,46,,,56.0,,5.0,,,,,11.0,,,5.0,,,0.0,,,6000,,46.0,,BK31,0.0,,,
,BX29,,,81,,,90.0,,2.0,,,,,16.0,,,2.0,,,1.0,,,29302,,81.0,,BX29,,,,
,QN76,,,32,4.0,,39.0,,4.0,10.0,28800.0,28800.0,,5.0,,0.0,4.0,QN76,4.0,0.0,QN76,,28800,,32.0,28.0,QN76,,,32.0,4.0
,QN06,1.0,QN06,24,4.0,,28.0,0.0,4.0,11.0,47600.0,47600.0,11.0,5.0,46.0,0.0,4.0,QN06,4.0,1.0,QN06,5.0,47600,0.0,24.0,23.0,QN06,0.0,,24.0,4.0
,BK37,1.0,BK37,52,1.0,,86.0,1.0,1.0,21.0,13500.0,13500.0,18.0,7.0,43.0,1.0,1.0,BK37,1.0,1.0,BK37,11.0,13500,1.0,52.0,39.0,BK37,,,52.0,3.0
,BX43,,,80,,,,,,,,,,,,,,,,,,,42100,,,,,,,,
,BK42,,,42,6.0,,61.0,,6.0,17.0,76400.0,76400.0,,9.0,,1.0,6.0,BK42,6.0,0.0,,,76400,,42.0,45.0,BK42,,,42.0,
,QN01,1.0,QN01,32,4.0,0.0,81.0,1.0,4.0,14.0,25400.0,25400.0,10.0,5.0,15.0,0.0,4.0,QN01,4.0,1.0,QN01,6.0,25400,0.0,32.0,28.0,QN01,,,32.0,4.0
,BX07,1.0,BX07,80,1.0,,47.0,1.0,1.0,34.0,33202.0,33202.0,32.0,14.0,58.0,0.0,1.0,BX07,1.0,1.0,BX07,7.0,33202,0.0,80.0,15.0,BX07,,,80.0,2.0
,BK88,,,48,,,,,,,,,,,,,,,,,,,46400,,,,,,,,
0.0,BK38,,,57,1.0,,3.0,,1.0,32.0,,8900.0,,8.0,,0.0,1.0,BX27,,0.0,,,2300,,57.0,17.0,BK38,,,,
0.0,BX17,1.0,BX17,79,2.0,,10.0,1.0,2.0,33.0,36700.0,36700.0,36.0,15.0,24.0,1.0,2.0,BX17,2.0,1.0,BX17,16.0,36700,1.0,79.0,17.0,BX17,,,79.0,2.0
,QN07,,,33,,,40.0,,4.0,,,,,5.0,,,4.0,,,1.0,,,50202,,33.0,,QN34,,,,
0.0,BX30,1.0,BX30,78,2.0,,48.0,0.0,2.0,33.0,26100.0,26100.0,33.0,13.0,47.0,1.0,2.0,BX30,2.0,1.0,BX30,16.0,26100,1.0,78.0,14.0,BX30,,,78.0,2.0
,BX31,0.0,BX31,83,1.0,,27.0,,1.0,36.0,34200.0,34200.0,36.0,16.0,27.0,0.0,1.0,BX31,1.0,0.0,BX31,17.0,34200,0.0,83.0,12.0,BX31,,,83.0,2.0
,BX34,,,84,,,46.0,,2.0,,,,,15.0,,,,,,0.0,,,7900,,84.0,,,,,,
,BK82,1.0,BK82,60,7.0,,31.0,0.0,7.0,19.0,121000.0,121000.0,19.0,8.0,32.0,0.0,7.0,BK82,7.0,1.0,BK82,10.0,121000,0.0,60.0,42.0,BK82,0.0,,60.0,3.0
,BX17,,,87,,,,,,,,,,,,,,,,,,,36300,,,,,,,,
,SI54,0.0,SI54,62,2.0,,49.0,0.0,2.0,24.0,14607.0,14607.0,24.0,11.0,94.0,0.0,2.0,SI54,2.0,0.0,SI54,13.0,14607,0.0,62.0,51.0,SI54,0.0,,62.0,5.0
,BK58,,,41,,,31.0,,8.0,,,,,9.0,,,,,,1.0,,,73200,,41.0,,,,,,
,BX39,0.0,BX39,84,2.0,,62.0,,2.0,29.0,2701.0,2701.0,28.0,15.0,86.0,0.0,2.0,BX39,2.0,0.0,BX39,16.0,2701,0.0,84.0,8.0,BX39,,,84.0,2.0
,BK91,,,42,,,,,,,,,,,,,,,,,,,85600,,,,,,,,
,QN34,,,33,4.0,,26.0,,4.0,14.0,,54800.0,,5.0,,0.0,4.0,QN34,,0.0,,,54800,,33.0,23.0,QN34,0.0,,,
,BK95,1.0,BK95,42,6.0,,71.0,0.0,6.0,21.0,82800.0,82800.0,21.0,9.0,51.0,0.0,6.0,BK95,6.0,1.0,BK95,11.0,82800,0.0,42.0,45.0,BK95,,,42.0,3.0
,QN34,,,33,4.0,,25.0,,4.0,14.0,,54800.0,,5.0,,0.0,4.0,QN34,,0.0,,,54800,,33.0,23.0,QN34,0.0,,,
0.0,MN28,1.0,MN28,65,2.0,,44.0,1.0,2.0,26.0,202.0,202.0,25.0,7.0,76.0,1.0,2.0,MN28,2.0,1.0,MN28,14.0,202,1.0,65.0,2.0,MN28,,,65.0,1.0
,QN55,1.0,QN55,31,3.0,,20.0,0.0,3.0,10.0,84602.0,84602.0,15.0,5.0,74.0,0.0,3.0,QN55,3.0,1.0,QN55,6.0,84602,0.0,31.0,28.0,QN55,,,31.0,4.0
,SI01,1.0,SI01,62,2.0,,43.0,0.0,2.0,24.0,17011.0,17011.0,24.0,11.0,56.0,1.0,2.0,SI01,2.0,1.0,SI01,13.0,17011,0.0,62.0,51.0,SI01,0.0,,62.0,5.0
,QN10,,,23,5.0,,19.0,,5.0,10.0,94201.0,94201.0,,5.0,,0.0,5.0,QN10,5.0,1.0,,,94201,,23.0,32.0,QN10,,,23.0,
,BK29,,,47,8.0,,70.0,,8.0,,,,,10.0,,0.0,8.0,BK29,,0.0,,,40800,,47.0,47.0,BK29,,,,
,QN28,,,34,,,,,,,,,,,,,,,,,,,30904,,,,,,,,
,BK96,,,58,,,55.0,,4.0,,,,,9.0,,,,,,0.0,,,88800,,58.0,,,,,,
,BK77,1.0,BK77,53,3.0,,54.0,,3.0,18.0,44500.0,44500.0,17.0,7.0,74.0,1.0,3.0,BK77,3.0,0.0,BK77,12.0,44500,1.0,53.0,34.0,BK77,,,53.0,3.0
,BK96,1.0,BK61,55,4.0,,88.0,0.0,4.0,20.0,88200.0,88200.0,20.0,9.0,37.0,0.0,4.0,BK96,4.0,0.0,BK61,11.0,88200,0.0,55.0,41.0,BK96,,,55.0,3.0
0.0,BX36,1.0,BX63,77,2.0,,34.0,1.0,2.0,29.0,,21700.0,28.0,15.0,34.0,0.0,2.0,BX36,,0.0,,16.0,21700,1.0,77.0,14.0,BX36,,,,
,BK82,1.0,BK82,60,7.0,,36.0,0.0,7.0,19.0,112400.0,112400.0,19.0,8.0,83.0,0.0,7.0,BK82,7.0,1.0,BK82,10.0,112400,0.0,60.0,42.0,BK82,0.0,,60.0,3.0
,MN40,,,73,,,79.0,,9.0,,,,,12.0,,,,,,1.0,,,15001,,73.0,,,,,,
,MN15,,,67,,,109.0,,3.0,,,,,,,,,,,,,,13500,,,,,,,,
,MN17,,,75,,,,,,,,,,,,,,,,,,,10400,,,,,,,,
,BK61,,,56,2.0,,70.0,,2.0,25.0,,34300.0,,9.0,,0.0,2.0,BK61,,0.0,,,34300,,56.0,36.0,BK61,,,,
,MN23,,,66,,,20.0,,2.0,,,,,12.0,,,,,,,,,5502,,66.0,,,,,,
,QN55,,,31,3.0,,7.0,,3.0,10.0,84000.0,84000.0,,5.0,,0.0,3.0,QN55,3.0,1.0,QN55,,84000,,31.0,28.0,QN55,,,31.0,4.0
,BK68,,,57,,,10.0,,1.0,,,,,,,,,,,,,,3100,,,,,,,,
,BK83,,,54,,,45.0,,7.0,,,,,7.0,,,7.0,,,1.0,,,117201,,54.0,,BK83,,,,
,QN35,1.0,QN35,24,4.0,,45.0,0.0,4.0,14.0,22002.0,22002.0,14.0,6.0,45.0,1.0,4.0,QN35,4.0,1.0,QN35,6.0,22002,1.0,24.0,24.0,QN35,,,24.0,4.0
,BX49,1.0,BX49,80,1.0,,17.0,,1.0,34.0,22401.0,22401.0,32.0,14.0,24.0,0.0,1.0,BX49,1.0,0.0,BX49,7.0,22401,0.0,80.0,13.0,BX49,,,80.0,2.0
,QN51,,,26,6.0,,39.0,,6.0,16.0,117500.0,117500.0,,6.0,,0.0,6.0,QN51,6.0,0.0,QN51,,117500,,26.0,19.0,QN51,,,26.0,4.0
,MN09,,,69,2.0,,59.0,,2.0,25.0,30900.0,30900.0,,8.0,,0.0,2.0,BK61,2.0,1.0,BK61,,21100,,56.0,36.0,BK61,,,56.0,3.0
,QN70,1.0,MN13,36,1.0,,2.0,,1.0,28.0,5600.0,5600.0,26.0,12.0,12.0,0.0,1.0,QN70,9.0,1.0,MN13,14.0,5300,0.0,36.0,22.0,QN70,,,75.0,1.0
,BK95,,,42,6.0,,74.0,,6.0,21.0,,82600.0,,9.0,,0.0,6.0,BK95,,1.0,,,82600,,42.0,45.0,BK95,,,,
,BK81,1.0,BK81,55,4.0,,99.0,0.0,4.0,19.0,89400.0,89400.0,19.0,9.0,109.0,0.0,4.0,BK81,4.0,1.0,BK81,11.0,89400,0.0,55.0,42.0,BK81,0.0,,55.0,3.0
,BX37,,,80,,,10.0,,1.0,,,,,14.0,,,,,,0.0,,,23800,,80.0,,,,,,
,BK73,,,50,,,101.0,,3.0,,,,,,,,,,,,,,55500,,,,,,,,
,BX07,,,78,,,40.0,,1.0,,,,,14.0,,,,,,0.0,,,33201,,78.0,,,,,,
,BK38,,,52,,,73.0,,1.0,,,,,10.0,,,,,,1.0,,,2100,,66.0,,,,,,
,BK35,0.0,BK35,56,2.0,,30.0,0.0,2.0,25.0,29300.0,29300.0,18.0,8.0,91.0,0.0,2.0,BK35,2.0,0.0,BK35,10.0,29300,1.0,56.0,36.0,BK35,,,56.0,3.0
,SI24,,,63,1.0,,84.0,,1.0,24.0,,27702.0,,11.0,,0.0,1.0,SI24,,0.0,,,27702,,63.0,51.0,SI24,0.0,,,
,MN21,1.0,MN21,74,4.0,,65.0,,4.0,28.0,6400.0,6400.0,26.0,12.0,82.0,0.0,4.0,MN21,4.0,1.0,MN21,14.0,6400,0.0,74.0,2.0,MN21,,,74.0,1.0
,QN31,1.0,QN31,37,2.0,,28.0,1.0,2.0,12.0,18300.0,18300.0,12.0,14.0,29.0,1.0,2.0,QN31,2.0,1.0,QN31,7.0,18300,1.0,37.0,26.0,QN31,,,37.0,4.0
,QN53,0.0,QN53,38,4.0,,51.0,0.0,4.0,15.0,1400.0,1400.0,15.0,7.0,30.0,0.0,4.0,QN53,4.0,0.0,QN53,9.0,1400,0.0,38.0,32.0,QN53,,,38.0,4.0
,BK27,,,47,,,14.0,,5.0,,,,,11.0,,,,,,1.0,,,28200,,47.0,,,,,,
,BK58,1.0,BK58,59,8.0,,24.0,1.0,8.0,19.0,67200.0,67200.0,19.0,8.0,76.0,0.0,8.0,BK58,8.0,0.0,BK58,10.0,67200,0.0,59.0,46.0,BK58,0.0,,59.0,3.0
,BX31,1.0,BX31,83,1.0,,22.0,1.0,1.0,36.0,34800.0,34800.0,36.0,16.0,22.0,1.0,1.0,BX31,1.0,1.0,BX31,17.0,34800,0.0,83.0,12.0,BX31,,,83.0,2.0
,BK34,1.0,BK34,49,5.0,,66.0,0.0,5.0,20.0,10000.0,10000.0,20.0,7.0,39.0,1.0,5.0,BK34,5.0,1.0,BK34,12.0,10000,1.0,49.0,38.0,BK34,,,49.0,3.0
,QN71,1.0,QN71,37,1.0,,1.0,0.0,1.0,12.0,9100.0,9100.0,12.0,12.0,2.0,0.0,1.0,QN71,1.0,1.0,QN71,14.0,9100,0.0,37.0,22.0,QN71,,,37.0,4.0
0.0,BX36,0.0,BX36,86,2.0,,7.0,,2.0,29.0,24300.0,24300.0,28.0,15.0,23.0,0.0,2.0,BX36,2.0,0.0,BX36,16.0,24300,0.0,86.0,14.0,BX36,,,86.0,2.0
,QN62,,,25,,,,,,,,,,,,,,,,,,,121500,,,,,,,,
,BK17,,,45,,,28.0,,1.0,,,,,,,,,,,,,,60000,,,,,,,,
,BK33,1.0,BK33,52,1.0,,46.0,0.0,1.0,26.0,6700.0,6700.0,25.0,7.0,86.0,1.0,1.0,BK33,1.0,1.0,BK33,11.0,6700,1.0,52.0,39.0,BK33,,,52.0,3.0
,QN01,1.0,QN01,32,4.0,,42.0,1.0,4.0,14.0,26600.0,26600.0,10.0,5.0,26.0,0.0,4.0,QN01,4.0,1.0,QN01,6.0,26600,0.0,32.0,27.0,QN01,,,32.0,4.0
,BK60,0.0,BK60,43,6.0,,8.0,,6.0,21.0,79602.0,79602.0,20.0,9.0,66.0,0.0,6.0,BK60,6.0,0.0,BK60,11.0,79602,0.0,43.0,40.0,BK60,,,43.0,3.0
,SI08,1.0,SI08,61,2.0,,69.0,0.0,2.0,23.0,4000.0,4000.0,23.0,11.0,1.0,0.0,2.0,SI08,2.0,1.0,SI08,13.0,4000,1.0,61.0,49.0,SI08,,0.0,61.0,5.0
,BK60,,,43,,,76.0,,4.0,,,,,,,,,,,,,,87600,,,,,,,,
,BK58,0.0,BK58,41,8.0,,37.0,0.0,8.0,21.0,72200.0,72200.0,21.0,8.0,29.0,0.0,8.0,BK58,8.0,0.0,BK58,10.0,72200,0.0,41.0,46.0,BK58,,,41.0,3.0
0.0,BX43,1.0,BX43,81,2.0,,97.0,,2.0,36.0,43100.0,43100.0,33.0,13.0,8.0,1.0,2.0,BX43,2.0,1.0,BX43,17.0,43100,1.0,81.0,11.0,BX43,,,81.0,2.0
,MN23,1.0,MN23,66,1.0,,101.0,1.0,1.0,,6100.0,,29.0,12.0,71.0,1.0,1.0,MN23,1.0,1.0,MN23,8.0,6100,0.0,66.0,2.0,MN23,,,66.0,1.0
,QN47,1.0,QN47,26,6.0,,25.0,1.0,6.0,11.0,99704.0,99704.0,16.0,3.0,30.0,0.0,6.0,QN47,6.0,1.0,QN47,5.0,99704,1.0,26.0,19.0,QN47,,,26.0,4.0
,QN76,,,32,4.0,,34.0,,4.0,10.0,18600.0,18600.0,,5.0,,0.0,4.0,QN76,4.0,1.0,QN08,,18600,,32.0,28.0,QN76,,,32.0,4.0
,BX36,1.0,BX36,86,2.0,,14.0,,2.0,33.0,25100.0,25100.0,33.0,15.0,37.0,0.0,2.0,BX36,2.0,0.0,BX36,16.0,25100,0.0,86.0,14.0,BX36,,,86.0,2.0
,BX41,,,86,,,36.0,,2.0,,,,,15.0,,,,,,0.0,,,23302,,86.0,,,,,,
1.0,MN11,1.0,MN11,70,10.0,,10.0,1.0,10.0,30.0,21800.0,21800.0,30.0,13.0,6.0,1.0,10.0,MN11,10.0,1.0,MN11,15.0,21800,0.0,70.0,9.0,MN11,,,70.0,1.0
,BK85,1.0,QN06,55,7.0,,49.0,1.0,7.0,20.0,49200.0,86400.0,14.0,8.0,40.0,0.0,7.0,BK85,4.0,1.0,QN06,6.0,114400,1.0,55.0,37.0,BK85,0.0,,24.0,4.0
,BK29,1.0,BK29,47,5.0,,26.0,0.0,5.0,17.0,43400.0,43400.0,22.0,10.0,57.0,0.0,5.0,BK29,5.0,1.0,BK29,13.0,43400,0.0,47.0,44.0,BK29,,,47.0,3.0
,BK68,,BK75,57,3.0,,4.0,,3.0,18.0,25500.0,25500.0,,7.0,,0.0,3.0,BK75,3.0,0.0,BK75,,18501,,56.0,36.0,BK75,,,56.0,3.0
,QN41,,,25,,,16.0,,6.0,,,,,6.0,,,6.0,,,1.0,,,133300,,25.0,,QN41,0.0,,,
