job_filing_number,job_number,bin,gis_longitude,amount_paid,disability_policy,joint_venture_work,disability_expiration_date,general_wiring,amount_due,remove_meters,applicant_last_name,payment_method,house_number,building_use_type,lot,firm_name,filing_fee,state,zip_code
X00621313-P2,X00621313,1064698,-73.909281,40,R67499-000,No,2023-01-12T00:00:00.000,Yes,0,1,SCOTTO,,90,K Commercial,7502,AWESOME ELECTL CONTNG INC,0,NY,10463
M00522852-P2,M00522852,1063181,-73.934609,40,DBL582040,No,2021-12-31T00:00:00.000,No,0,0,DILEO,,219,L Five or more Family,10,HYLAN DATACOM & ELECL LLC,0,NY,10033
B00141921-I1-EL,B00141921,3424477,-73.981228,60,TDI 299797,No,2023-12-31T00:00:00.000,No,0,0,BRAMAN,Credit Card,540,O Office Bldg,18,THYSSENKRUPP ELEVATOR CO,40,NY,11201
B00438458-P1,B00438458,3428600,-73.991949,40,B A44,No,2024-03-24T00:00:00.000,Yes,0,1,MIELE,,317,W School,1,"LITESPEED ELECTRIC, INC",0,NY,11231
M00620778-I1-EL,M00620778,1015450,-73.992321,15,DBL 100110,No,2022-05-29T00:00:00.000,No,0,0,KIVOTIDIS,Credit Card,3,O Office Bldg,36,"KV POWER ELECTRIC, INC.",15,NY,10011
B00650099-I1-EL,B00650099,3098664,-73.876563,15,DBL390171,No,2022-01-01T00:00:00.000,No,0,0,DEOL,Credit Card,982,W School,1,CHARAN ELEC'L ENTERP'S IN,15,NY,11208
B00952594-P1,B00952594,3202876,-73.958108,40,D93505-000,No,2024-05-07T00:00:00.000,No,0,0,WEINSTEIN,,1216,C Three Family,61,JOSEPH WEINSTEIN ELECTRIC,0,NY,11235
M00512243-I1-EL,M00512243,1077832,-73.994049,40,DBL434999,No,2021-12-26T00:00:00.000,Yes,0,0,KRZYS,Credit Card,140,O Office Bldg,7503,V ELECTRIC NY INC,40,NY,10011
B00548431-P1,B00548431,3096513,-73.890953,40,LNY 772902,No,2022-03-31T00:00:00.000,No,0,0,SAMUELS,,708,A One Family,17,AMPERE ELECL SERVICES COR,0,NY,11207
B00512407-I1-EL,B00512407,3140508,-74.007707,40,2020-030076,No,2021-05-26T00:00:00.000,No,0,1,TOREN,Credit Card,822,A One Family,15,A.C. MORGAN ELECTRIC,40,NY,11220
_B00543176-I1-EL,B00543176,3123655,-73.984192,40,DBL 471890,No,2021-09-01T00:00:00.000,No,0,0,BURKE,Credit Card,59,B Two Family,7,"BROOKYLN SOLARWORKS, LLC",40,NY,11218
Q00552599-I1-EL,Q00552599,4183244,-73.862769,40,988436 0000,No,2021-12-31T00:00:00.000,No,0,2,CHEUNG,Credit Card,78-32,B Two Family,14,AL-LECTRIC ELECT'L CONTRG,40,NY,11421
B00830597-P2,B00830597,3122738,-73.978468,40,DBL 471890,No,2023-09-01T00:00:00.000,No,0,0,BURKE,,133,B Two Family,7,"BROOKYLN SOLARWORKS, LLC",0,NY,11218
M00620982-I1-EL,M00620982,1054012,-73.941432,15,LNY777106,No,2021-12-31T00:00:00.000,No,0,0,SANFARDINO,Credit Card,24,L Five or more Family,60,WMS ELECTRICAL CONTNG LTD,15,NY,10035
B00511572-I1-EL,B00511572,3426286,-73.96294,40,DBL587311,No,2021-12-31T00:00:00.000,Yes,0,0,IP,Credit Card,816,O Office Bldg,7502,I.P. ELECTRIC INC,40,NY,11238
M00511036-I1-EL,M00511036,1015235,-73.989544,40,DBL506918,No,2021-05-24T00:00:00.000,Yes,0,0,CASSESE JR.,Credit Card,485,H Hotel,7501,J.M.C. ELECTRICAL CORP.,40,NY,10018
X00532382-P1,X00532382,2048935,-73.862953,40,DBL 595807,No,2021-12-31T00:00:00.000,No,0,0,MARINELLO,,2088,A One Family,23,ISLAND ELECTRIC CORP,0,NY,10462
B01028573-P1,B01028573,3191930,-73.967453,40,D546045,No,2025-12-31T00:00:00.000,Yes,0,0,MALINOWSKI,,2040,A One Family,151,ENTERPRISE ELEC'L SYSTEMS,0,NY,11223
B00757990-P1,B00757990,3225871,-73.909604,40,DBL561204,No,2024-03-19T00:00:00.000,No,0,0,BLAU,,12,C Three Family,22,S&R ELECTRICAL & MECHANIC,0,NY,11236
B00633606-P1,B00633606,3150970,-74.022238,40,DBL 467334,No,2022-06-17T00:00:00.000,Yes,0,2,KANTARIS,,564,B Two Family,35,NYCO ELECTRIC CORP,0,NY,11209
B08051188-I1-EL,B08051188,3395991,-73.985284,15,B346005,No,2023-01-11T00:00:00.000,No,0,0,DEGALTINI,Credit Card,320,Z Other,1,CONSOLIDATED EDISON CO,15,NY,11215
B00833384-I1-EL,B00833384,3009479,-73.99605,15,L72662-000,No,2024-01-10T00:00:00.000,No,0,0,DEONARINE,Check,195,L Five or more Family,67,ELPO ELECTRICAL CONTG INC,15,NY,11232
B00003952-I1-EL,B00003952,3255509,-73.999852,40,2017-053041,No,2018-08-01T00:00:00.000,No,0,0,FRANKLYN,Credit Card,3321,A One Family,46,WESTRISE ELECTRIC LLC,40,NY,11224
M00450246-P1,M00450246,1035768,-73.974699,40,DBL538996,No,2023-08-21T00:00:00.000,Yes,0,0,TRAN,,711,Z Other,1,APOLLO ELECTRIC INSDUS IN,0,NY,10022
M00481509-I1-EL,M00481509,1055870,-73.957623,40,DBL 3205 35 9,No,2021-07-01T00:00:00.000,Yes,0,0,GURUNG,Credit Card,357,L Five or more Family,27,J & Y ELECTRIC AND INTER*,40,NY,10026
B00434237-P1,B00434237,3061677,-73.956039,40,DBL 106613,No,2023-10-19T00:00:00.000,Yes,0,6,MAKSIM,,126,L Five or more Family,20,DENMAR ELECTRIC CORP,0,NY,11249
B00971618-P1,B00971618,3158437,-73.998105,40,DBL216100,No,2024-06-26T00:00:00.000,No,0,0,AU,,1663,A One Family,63,"ERIC & NG ELEC'L, INC.",0,NY,11204
M00511583-I1-EL,M00511583,1082848,-73.974668,40,DBL228543,No,2022-01-31T00:00:00.000,Yes,0,0,ISAACMAN,Credit Card,277,L Five or more Family,1,ELECTRICAL SOLUTIONS LLC,40,NY,10009
B00244049-P1,B00244049,3153550,-74.026833,40,2023-006191,No,2024-03-11T00:00:00.000,Yes,0,0,POTCHIN,,480,Commercial/Residential,38,PLM ELECTRIC LLC,0,NY,11209
B01054992-P2,B01054992,3055663,-73.959899,40,2025-011763,No,2026-02-20T00:00:00.000,Yes,0,0,WALKER,,386A,B Two Family,107,"FLOW STATE ELECTRIC, LLC",0,NY,11238
B00897299-I1-EL,B00897299,3122195,-73.974823,15,DBL210340,No,2024-02-03T00:00:00.000,No,0,0,COICO,Check,651,L Five or more Family,33,S.A.L. ELECTRIC CO INC.,15,NY,11218
M00239477-P1,M00239477,1084587,-74.013181,40,2022-053182,No,2023-08-27T00:00:00.000,Yes,0,0,AHRENS,,301,W School,215,TUXEDO ELEC'L CONTR'G INC,0,NY,10282
Q00552412-I1-EL,Q00552412,4274129,-73.752212,40,L81808-000,No,2021-12-28T00:00:00.000,No,0,0,BERGER,Check,191-27,A One Family,31,BERGER QUALITY ELEC'L CON,40,NY,11413
Q00552109-I1-EL,Q00552109,4271795,-73.752676,40,9878630000,No,2021-10-01T00:00:00.000,Yes,0,0,CHIMENTI,Credit Card,199-19,Z Other,22,ROBERT CHIMENTI,40,NY,11412
B00591419-P1,B00591419,3429035,-73.948217,40,DBL352992,No,2023-01-23T00:00:00.000,Yes,0,0,FUCHS,,494,Commercial/Residential,1,HIVOLTS ELECTRICAL INC,0,NY,11222
B00986941-P2,B00986941,3055701,-73.964509,40,DBL241602,No,2025-10-26T00:00:00.000,Yes,0,2,REYES,,81,B Two Family,3,GOTHAM TECHNICAL SERVICES,0,NY,11238
B00527302-P1,B00527302,3147481,-74.020161,40,00996460 0000,No,2022-08-01T00:00:00.000,Yes,0,2,GAJEWSKI,,564,B Two Family,33,STAN ELECTRIC INC,0,NY,11209
X00508775-P3,X00508775,2028719,-73.864854,40,R07970-000,No,2023-08-05T00:00:00.000,Yes,0,1,TONELLI JR.,,1872,K Commercial,8,IZZO ELECTRIC INC.,0,NY,10460
S00813078-I1-EL,S00813078,5175792,-74.070412,40,DBL422338,No,2023-11-03T00:00:00.000,Yes,0,0,PICARELLO,Credit Card,151,B Two Family,7,RIDGE ELECTRIC CORP.,40,NY,10305
B00715897-I1-EL,B00715897,3019087,-73.974965,15,D94450-000,No,2022-10-25T00:00:00.000,No,0,0,MARTINEZ,Check,98,B Two Family,15,A #1 UNIVERSAL ELEC'L INC,15,NY,11217
M00461144-P1,M00461144,1019523,-73.986595,40,9878630000,No,2022-10-01T00:00:00.000,No,0,0,CHIMENTI,,201,L Five or more Family,1,ROBERT CHIMENTI,0,NY,10003
B00703717-P1,B00703717,3329038,-74.000461,40,Z16142-000,No,2024-02-23T00:00:00.000,Yes,0,0,BROYDO,,7712,I Hospital or Health facility,34,FOREST BROOK ELEC'L CONTR,0,NY,11214
M00552453-I1-EL,M00552453,1030112,-73.979761,40,DBL465925,No,2022-05-21T00:00:00.000,Yes,0,0,FRANCHINO,Check,161,L Five or more Family,7501,L.J.F. & SONS ELECL CONTS,40,NY,10023
B00591754-P1,B00591754,3428966,-73.982274,40,DBL 5251 93 0,No,2023-06-20T00:00:00.000,Yes,0,0,CORPORAN,,288,Z Other,12,JECO ELEC'L SERVICE CORP.,0,NY,11201
B00421212-P2,B00421212,3029665,-73.969069,40,00964547 0000,No,2022-01-01T00:00:00.000,Yes,0,0,MATTEI,,10,Z Other,2,L.E.B. ELECTRIC LTD,0,NY,11238
B00308924-P1,B00308924,3009139,-73.995952,40,D171530,No,2021-10-29T00:00:00.000,Yes,0,2,RAMGARIB,,155,K Commercial,50,INDY ELECTRIC CORP.,0,NY,11232
B00643778-P1,B00643778,3024588,-73.973622,40,DBL 217177,No,2022-06-20T00:00:00.000,Yes,0,0,LI,,907,C Three Family,50,KJK ELECTRIC INC,0,NY,11215
B00869047-P1,B00869047,3155497,-74.030912,40,LNY770428,No,2024-09-30T00:00:00.000,Yes,0,0,TESTA,,9408,Commercial/Residential,35,"TESTA ELECTRIC CO., INC",0,NY,11209
M00620786-I1-EL,M00620786,1008216,-73.994974,40,L72662-000,No,2022-09-15T00:00:00.000,No,0,0,DEONARINE,Check,324,Z Other,28,ELPO ELECTRICAL CONTG INC,40,NY,10012
M00436000-P3,M00436000,1036153,-73.975483,40,R69178-000,No,2023-09-28T00:00:00.000,Yes,0,0,LU,,150,K Commercial,7502,KYL ELECTRIC LLC,0,NY,10017
B00003605-S1-EL,B00003605,3073188,-73.923766,40,DBL 369395,No,2018-11-21T00:00:00.000,No,0,0,BROWN,Check,781,L Five or more Family,41,DUNRITE ELECTRICAL CORP,40,NY,11237
M00486317-P1,M00486317,1007310,-74.001764,40,DBL 622204,No,2021-09-16T00:00:00.000,Yes,0,1,YOUNG,,69,Commercial/Residential,12,Y ELECTRIC INC,0,NY,10012
M00620697-I1-EL,M00620697,1018184,-73.980971,40,D93505-000,No,2022-07-06T00:00:00.000,Yes,0,0,WEINSTEIN,Check,390,K Commercial,51,JOSEPH WEINSTEIN ELECTRIC,40,NY,10016
B00424691-P1,B00424691,3137105,-73.997914,40,DBL571722,No,2023-12-31T00:00:00.000,Yes,0,0,VANELLA,,4723,I Hospital or Health facility,1,COMMUNITY ELEC SER CORP,0,NY,11219
B00857586-P1,B00857586,3161173,-74.0109,40,DBL587311,No,2023-12-31T00:00:00.000,Yes,0,0,IP,,1219,B Two Family,69,I.P. ELECTRIC INC,0,NY,11228
M00726223-P1,M00726223,1056532,-73.970329,40,2021-005230,No,2023-02-22T00:00:00.000,Yes,0,7,CORREA,,862,L Five or more Family,2,LOUIS CORREA,0,NY,10025
X00501132-I1-EL,X00501132,2002642,-73.917133,40,L81808-000,No,2021-12-28T00:00:00.000,No,0,0,BERGER,Check,1106,B Two Family,4,BERGER QUALITY ELEC'L CON,40,NY,10456
B08051505-I1-EL,B08051505,3227839,-73.898872,40,L81808-000,No,2023-06-09T00:00:00.000,No,0,0,BERGER,Check,8714,B Two Family,6,BERGER QUALITY ELEC'L CON,40,NY,11236
M00370916-P1,M00370916,1035360,-73.9786,40,DBL 5816 71-6,No,2022-06-23T00:00:00.000,Yes,0,0,GIRONTA,,335,O Office Bldg,20,AGIR ELEC'L LTD. D/B/A,0,NY,10017
B08025040-I1-EL,B08025040,3245727,-73.955718,40,DBL546045,No,2022-12-31T00:00:00.000,Yes,0,0,LESHCHINSKY,Credit Card,1150,L Five or more Family,474,ENTERPRISE ELEC'L SYSTEMS,40,NY,11235
B08018676-P1,B08018676,3109926,-73.935096,40,DBL 471890,No,2023-09-01T00:00:00.000,No,0,0,BURKE,,451,A One Family,49,"BROOKYLN SOLARWORKS, LLC",0,NY,11203
B00900751-P2,B00900751,3144017,-74.016617,40,2023-024212,No,2024-04-10T00:00:00.000,Yes,0,2,TOREN,,526,E Four Family,18,A.C. MORGAN ELECTRIC,0,NY,11220
Q00093784-I1-EL,Q00093784,4258073,-73.801677,40,DBL498594,No,2021-12-22T00:00:00.000,Yes,0,0,BAPTISTE,Credit Card,145-35,B Two Family,125,WCK ELECTRIC CORP.,40,NY,11435
B00546907-P1,B00546907,3042645,-73.909928,40,DBL 516906,No,2021-11-08T00:00:00.000,Yes,0,0,BANYA,,15,C Three Family,11,TFK ELECTRIC CORP,0,NY,11233
B00003675-I1-EL,B00003675,3064408,-73.957903,40,DBL182518,No,2018-05-30T00:00:00.000,Yes,0,0,SIMKIN,Credit Card,190,Z Other,1,"LENS ELECTRIC, INC",40,NY,11222
Q00958097-P1,Q00958097,4114720,-73.82095,40,DBL528805,No,2024-03-04T00:00:00.000,Yes,0,0,TIRADO,,144-70,L Five or more Family,31,AMP ELECTRIC,0,NY,11355
m00511729-i1-el,M00511729,1003560,-73.991188,40,2021 075397,No,2023-02-02T00:00:00.000,No,0,0,POWELL,Credit Card,127,L Five or more Family,10,RALEIGH POWELL LIC ELEC,40,NY,10002
B00511001-I1-EL,B00511001,3002200,-73.995943,40,L83535-000,No,2022-04-14T00:00:00.000,Yes,0,0,FEDERLIN,Check,60,L Five or more Family,53,REDLINE ELECTRIC INC,40,NY,11201
Q00511215-I1-EL,Q00511215,4027151,-73.900691,40,DBL299111,No,2022-06-29T00:00:00.000,Yes,0,0,HAGGERTY,Credit Card,61-06,O Office Bldg,63,WILLDAN ELECTRICAL OF NY,40,NY,11377
B00076334-P1,B00076334,3219270,-73.935552,40,DBL506816,No,2021-05-24T00:00:00.000,Yes,0,0,SITRUK,,4017,Commercial/Residential,3,"FOSTER ELEC'L SVC., INC.",0,NY,11234
Q00552250-I1-EL,Q00552250,4062046,-73.899101,15,DBL299111,No,2022-06-29T00:00:00.000,No,0,0,HAGGERTY,Credit Card,62-01,K Commercial,62,WILLDAN ELECTRICAL OF NY,15,NY,11379
B00865318-I1-EL,B00865318,3190714,-73.985438,15,2022-009601,No,2024-04-03T00:00:00.000,No,0,0,LAUER,Credit Card,2001,Commercial/Residential,1,LIMITLESS ELECT RESOURCES,15,NY,11223
X00489821-I1-EL,X00489821,2014550,-73.905445,40,L81808-000,No,2021-12-28T00:00:00.000,No,0,1,BERGER,Check,2338,A One Family,36,BERGER QUALITY ELEC'L CON,40,NY,10468
X00513387-I1-EL$,X00513387,2028531,-73.869185,40,DBL505359,No,2022-04-19T00:00:00.000,Yes,0,0,WERZBERGER,Credit Card,1547,Commercial/Residential,28,POWER DIRECT ELECTRIC INC,40,NY,10460
M00780224-I1-EL,M00780224,1012858,-73.997726,15,DBL96482,No,2023-02-28T00:00:00.000,No,0,0,CARRION,Credit Card,433,L Five or more Family,16,"AXCEL ELECTRIC CO., INC.",15,NY,10001
B01062732-P5,B01062732,3013294,-74.012353,40,2024-020001,No,2025-02-09T00:00:00.000,Yes,0,0,WANG,,427,B Two Family,66,NY FOREVER ELECTRIC LLC,0,NY,11220
Q00552188-I1-EL,Q00552188,4541229,-73.74611,40,00921230 0000,No,2022-03-21T00:00:00.000,Yes,0,0,CEN,Check,220-28,Z Other,2,R & T ELECTRICAL CORP,40,NY,11427
B00828890-P2,B00828890,3428762,-73.98449,40,DBL680751,No,2026-01-25T00:00:00.000,Yes,0,0,GU,,236,C Three Family,47,GOODALL ELECTRIC CORP,0,NY,11214
X00552425-I1-EL,X00552425,2093879,-73.833342,40,L71058-000,No,2022-06-04T00:00:00.000,Yes,0,0,CATELLO,Credit Card,3570,K Commercial,70,LIVE WIRE ELECTRIC 1 LLC,40,NY,10475
B00679735-I1-EL,B00679735,3051077,-73.951259,40,DBL609929,No,2023-01-31T00:00:00.000,Yes,0,0,FRIED,Check,197,L Five or more Family,57,FRIED ELECTRIC CO.,40,NY,11216
M00549930-I1-EL,M00549930,1045974,-73.953315,40,DBL269302,No,2022-01-26T00:00:00.000,Yes,0,0,PAPANTONIOU,Credit Card,400,L Five or more Family,45,BOROWIDE ELECT'L CONTR'S,40,NY,10075
B00895138-P1,B00895138,3039593,-73.922256,40,DBL479729,No,2024-12-31T00:00:00.000,Yes,0,0,CASTRO,,1390,C Three Family,18,"POWER SURGE ELECTRIC, INC",0,NY,11233
B00806751-P1,B00806751,3074972,-73.925074,40,DBL41073,No,2023-08-12T00:00:00.000,Yes,0,0,TUDOR,,1059,C Three Family,51,"LINTECH ELECTRIC, INC",0,NY,11221
B00686452-P1,B00686452,3117593,-73.961467,40,2021-009522,No,2022-04-24T00:00:00.000,No,0,0,BRUNCAJ,,146,L Five or more Family,18,FUSED ELECTRIC CONTNG COR,0,NY,11226
B01022514-P1,B01022514,3069390,-73.946092,40,DBL505359,No,2024-04-19T00:00:00.000,No,0,0,WERZBERGER,,659,L Five or more Family,31,POWER DIRECT ELECTRIC INC,0,NY,11211
M00678980-I1-EL,M00678980,1046821,-73.959134,15,DBL575965,No,2022-12-31T00:00:00.000,No,0,0,LEIGH,Credit Card,55,W School,26,LEIGH ELECTRICAL INC,15,NY,10028
B00982998-I1-EL,B00982998,3388494,-73.978629,15,DBL392917,No,2024-12-31T00:00:00.000,No,0,0,MONTGOMERY,Check,562,K Commercial,7501,MONTGOMERY ELEC'L CONTR'G,15,NY,11217
M00401774-P1,M00401774,1040744,-73.960078,40,DBL 6407 67-1,No,2021-10-29T00:00:00.000,Yes,0,0,AMATO,,25,L Five or more Family,62,VMA ELECTRICAL CORP.,0,NY,10022
M00188738-P1,M00188738,1031131,-73.982728,40,DBL 7362 42-0,No,2022-04-05T00:00:00.000,No,0,1,RADZIK,,67,L Five or more Family,95,GLENDALE ELECTL CONTNG IN,0,NY,10024
X00565960-P1-,X00565960,2117695,-73.910261,40,DBL454054,No,2023-10-19T00:00:00.000,Yes,0,0,PINCAY,,780,Commercial/Residential,7501,CROSSWIRE ELECTRICAL INC,0,NY,10456
B08021230-P1,B08021230,3243649,-73.907712,40,CG52830NY,No,2023-12-31T00:00:00.000,No,0,0,MOUNAS,,2457,B Two Family,7,SUNRUN SOLAR ELECTL CORP,0,NY,11234
M00511992-I1-EL,M00511992,1087170,-74.011684,15,DBL96482,No,2022-02-28T00:00:00.000,No,0,0,CARRION,Credit Card,103,L Five or more Family,7501,"AXCEL ELECTRIC CO., INC.",15,NY,10007
M00728743-P2,M00728743,1019524,-73.986076,40,DBL648220,No,2024-04-30T00:00:00.000,Yes,0,0,ARSENIO,,207,L Five or more Family,8,ARSENIO NYC ELECTRICAL IN,0,NY,10003
B00920878-P1,B00920878,3426885,-73.951718,40,DBL505359,No,2026-04-19T00:00:00.000,No,0,0,WERZBERGER,,1084,L Five or more Family,7501,POWER DIRECT ELECTRIC INC,0,NY,11226
B00715876-I1-EL,B00715876,3090565,-73.882599,40,L81808-000,No,2023-06-09T00:00:00.000,No,0,0,BERGER,Check,695,Z Other,12,BERGER QUALITY ELEC'L CON,40,NY,11208
M00508970-P1,M00508970,1057382,-73.964653,40,P01179-000,No,2022-01-28T00:00:00.000,No,0,0,KENNELLY,,610,L Five or more Family,77,ANTHONY G FERRY INC,0,NY,10027
B00675319-P6,B00675319,3224139,-73.916735,40,L87309-000,No,2024-01-10T00:00:00.000,Yes,0,0,HERNANDEZ,,6565,W School,5,M.A.C. ELECTRIC INC,0,NY,11236
B00629026-P1,B00629026,3116569,-73.959219,40,DBL182518,No,2023-05-31T00:00:00.000,Yes,0,4,SIMKIN,,828,Commercial/Residential,17,"LENS ELECTRIC, INC",0,NY,11226
B00564231-I1-EL,B00564231,3388333,-73.971482,15,DB07058012.1,No,2022-08-31T00:00:00.000,No,0,0,RAMDASS,Credit Card,383,L Five or more Family,7501,NGM ELECTRIC INC,15,NY,11238
B00644259-P1,B00644259,3042121,-73.916347,40,DBL482360,No,2022-03-06T00:00:00.000,No,0,0,HARRIS,,230,Z Other,37,OHM PRO ELECTL CONST CORP,0,NY,11233
B0056 4547-P1,B00564547,3002935,-73.996733,40,Z10542-000,No,2022-04-22T00:00:00.000,Yes,0,0,GU,,100,A One Family,17,GOODALL ELECTRIC CORP,0,NY,11201
B00650205-I1-EL,B00650205,3145916,-74.012624,40,DBL 5674 22-2,No,2022-12-08T00:00:00.000,No,0,0,YUNG,Check,892,A One Family,46,"INTELOGIC ELECTRIC, INC.",40,NY,11220
B00749581-I1-EL,B00749581,3039419,-73.915974,15,DBL537914,No,2022-07-24T00:00:00.000,No,0,0,SINGH,Check,1586,Z Other,45,AUJLA ELECTRIC CORP,15,NY,11233
M00511755-I1-EL,M00511755,1010199,-74.003179,40,DBL525715,No,2022-01-23T00:00:00.000,Yes,0,0,MARTINEZ,Credit Card,61,K Commercial,51,MARTINEZ ELECTRICAL CONT,40,NY,10014
B00739687-P1,B00739687,3429143,-74.00526,40,DBL545695,No,2025-12-31T00:00:00.000,Yes,0,0,LUNGER,,26A,A One Family,120,EQUAL ELECTRICAL CONT INC,0,NY,11231
B00361384-P1,B00361384,3092997,-73.868315,40,L81808-000,No,2025-05-08T00:00:00.000,No,0,0,BERGER,,316,A One Family,155,BERGER QUALITY ELEC'L CON,0,NY,11208
B00552134-I1-EL,B00552134,3326144,-73.91837,0,DBL531123,No,2021-12-31T00:00:00.000,No,0,0,QUACH,,105,L Five or more Family,1,MODERN TREND ELECL CONTRG,0,NY,11221
