project_id,_3_br_units,total_units,census_tract,_5_br_units,project_name,borough,reporting_construction_type,middle_income_units,building_completion_date,extended_affordability_status
76262,,8,36501.0,,258 ROCKAWAY AVENUE APARTMENTS,Brooklyn,New Construction,7.0,2025-02-12T00:00:00.000,No
77005,,2,,,CONFIDENTIAL,Brooklyn,Preservation,,,No
74737,1.0,107,123.0,,WEST FARMS.HUDMF.FY25,Bronx,Preservation,,2024-09-19T00:00:00.000,Yes
74345,,46,123.0,,LOUIS NINE RESIDENCE.YR15.FY25,Bronx,Preservation,,,Yes
74488,5.0,19,189.0,2.0,MORNINGSIDE HEIGHTS III. HPO.FY25,Manhattan,Preservation,3.0,,Yes
74487,10.0,26,193.0,,MORNINGSIDE HEIGHTS II.HPO.FY25,Manhattan,Preservation,10.0,,Yes
75539,6.0,29,24301.0,,MCKENNA SQUARE APARTMENTS.HUDMF.FY25,Manhattan,Preservation,,,No
76229,,6,39.0,,34-31 9TH STREET,Queens,New Construction,2.0,2025-04-16T00:00:00.000,No
76299,,16,33401.0,,177-44 129 AVENUE,Queens,New Construction,16.0,2025-04-16T00:00:00.000,No
77147,,8,40502.0,,361 B EAST 194TH STREET,Bronx,New Construction,,,No
76351,,43,1192.0,,22 MILFORD STREET,Brooklyn,New Construction,,,No
75173,,12,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
68208,,6,429.0,,TBK1001A - LOS SURES,Brooklyn,Preservation,,,No
76782,,6,826.0,,239 EAST 28 STREET,Brooklyn,New Construction,,,No
76614,,1,,,CONFIDENTIAL,Bronx,New Construction,,2025-03-12T00:00:00.000,No
69582,,1,11203.0,,URBAN ECOSPACES,Staten Island,New Construction,,,No
76371,2.0,499,101.0,,JASPER HUNTER'S POINT,Queens,New Construction,150.0,,No
76300,,32,240.0,,89-10 150TH STREET,Queens,New Construction,31.0,,No
77146,,8,40502.0,,361 A EAST 194TH STREET,Bronx,New Construction,,,No
76486,,1,,,CONFIDENTIAL,Queens,New Construction,,2025-01-24T00:00:00.000,No
75173,,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
74394,23.0,48,87.0,,LINDEN SIMPSON.HUDMF.FY25,Bronx,Preservation,,,Yes
69582,2.0,2,11203.0,,URBAN ECOSPACES,Staten Island,New Construction,,,No
75173,,8,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
67035,,47,196.0,,LAS RAICES,Manhattan,New Construction,,,No
76329,1.0,19,26702.0,,2783 WEBB AVE APARTMENTS,Bronx,New Construction,18.0,2025-05-14T00:00:00.000,No
76755,,21,143.0,,25-51 38TH ST APARTMENTS,Queens,New Construction,7.0,2025-01-30T00:00:00.000,No
76395,,61,26602.0,,1616 CROSBY AVENUE,Bronx,New Construction,60.0,,No
69431,1.0,17,523.0,,LOS SURES SIP HDFC.GHPP.FY24,Brooklyn,Preservation,,,No
77135,,8,687.0,,86-15 60 ROAD APARTMENTS,Queens,New Construction,3.0,,No
75173,,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
75173,4.0,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
75173,,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
75173,,12,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76340,,42,232.0,,143-26 84TH ROAD APARTMENTS,Queens,New Construction,13.0,,No
76308,,15,367.0,,845 CROTONA PARK NORTH APARTMENTS_HPS,Bronx,New Construction,11.0,,No
75421,,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
76401,1.0,6,856.0,,236 EAST 35 STREET,Brooklyn,New Construction,2.0,2025-05-02T00:00:00.000,No
69431,6.0,18,523.0,,LOS SURES SIP HDFC.GHPP.FY24,Brooklyn,Preservation,,,No
75173,4.0,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76479,,1,,,CONFIDENTIAL,Queens,New Construction,,2025-01-24T00:00:00.000,No
76281,11.0,12,39901.0,,368 EAST 194TH STREET APARTMENTS,Bronx,New Construction,12.0,2025-03-20T00:00:00.000,No
77171,,295,263.0,,KITTAY HOUSE,Bronx,Preservation,,,No
77050,,39,123.0,,1429 LONGFELLOW AVENUE APARTMENTS_HPS,Bronx,New Construction,38.0,,No
77096,,1,,,CONFIDENTIAL,Queens,Preservation,,,No
75173,,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
74483,4.0,15,165.0,,CROTONA PARK WEST HDFC.HPO.FY24,Bronx,Preservation,,2024-06-28T00:00:00.000,Yes
71989,,6,391.0,,B&R.YR15.FY25,Brooklyn,Preservation,,,No
69816,23.0,277,397.0,,2868 WEBSTER AVE,Bronx,New Construction,,,No
73920,8.0,30,103201.0,,WFHA ROCKAWAY HOLDINGS L.P. (DIX AVENUE).PLP.FY25,Queens,Preservation,,,No
74483,4.0,15,165.0,,CROTONA PARK WEST HDFC.HPO.FY24,Bronx,Preservation,,2024-06-28T00:00:00.000,Yes
76729,,8,149.0,,1318 FRANKLIN AVENUE,Bronx,New Construction,8.0,,No
76445,1.0,3,303.0,,MOTHER GASTON-HINSDALE (FY25 SUBSIDY INCREASE),Brooklyn,New Construction,,,No
76038,,1,,,CONFIDENTIAL,Queens,New Construction,,2024-10-21T00:00:00.000,No
76435,,57,327.0,,1730 BEDFORD AVENUE,Brooklyn,New Construction,18.0,,No
75173,,13,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,1.0,,Yes
76387,,8,309.0,,88 MARBLE HILL AVENUE,Manhattan,New Construction,3.0,,No
76282,,10,422.0,,767 EAST 232ND STREET,Bronx,New Construction,9.0,2025-06-27T00:00:00.000,No
76133,,1,,,CONFIDENTIAL,Queens,New Construction,,2024-11-25T00:00:00.000,No
76425,4.0,8,10602.0,,829 EAST 55TH STREET APARTMENTS,Brooklyn,New Construction,8.0,,No
76661,,1,,,CONFIDENTIAL,Bronx,New Construction,,2025-03-20T00:00:00.000,No
76370,,10,63.0,,30-67 31 STREET,Queens,New Construction,3.0,,No
73332,1.0,5,120802.0,,LINDEN PLAZA.YR15.FY25,Brooklyn,Preservation,,,No
76402,,10,856.0,,3421 SNYDER AVENUE,Brooklyn,New Construction,3.0,2025-05-02T00:00:00.000,No
76743,,98,3101.0,,89 DEKALB AVE A/K/A 75 DEKALB AVE,Brooklyn,New Construction,98.0,,No
77089,1.0,1,,,CONFIDENTIAL,Bronx,New Construction,,2025-06-30T00:00:00.000,No
76057,,1,,,CONFIDENTIAL,Queens,New Construction,,2024-10-29T00:00:00.000,No
75173,,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76406,,49,21302.0,,1436 JESUP AVENUE,Bronx,New Construction,48.0,,No
76731,,59,702.0,,46-06 11 STREET,Queens,New Construction,18.0,,No
76391,,9,21.0,,56 BEACH STREET,Staten Island,New Construction,9.0,,No
76429,,6,53.0,,34-38 30TH STREET,Queens,New Construction,2.0,,No
69431,11.0,24,523.0,,LOS SURES SIP HDFC.GHPP.FY24,Brooklyn,Preservation,,,No
75988,,50,240.0,,IMMACULATA HALL.YR15.FY25,Queens,Preservation,,,No
76968,,1,,,CONFIDENTIAL,Brooklyn,New Construction,,2025-05-30T00:00:00.000,No
75173,,14,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
75241,1.0,55,25301.0,,43-12 50TH STREET,Queens,New Construction,,,No
75173,4.0,12,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76343,,38,33202.0,,2428 BRONX PARK EAST APARTMENTS,Bronx,New Construction,12.0,,No
74482,1.0,86,193.0,,ANDERSON AVENUE HDFC.HPO.FY24,Bronx,Preservation,,2024-06-28T00:00:00.000,Yes
73316,,11,17701.0,,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,Bronx,Preservation,,2025-06-27T00:00:00.000,No
75450,12.0,91,164.0,,METROCOURT.HUDMF.FY25,Manhattan,Preservation,3.0,2024-08-29T00:00:00.000,Yes
76201,,1,,,CONFIDENTIAL,Queens,New Construction,,2024-12-12T00:00:00.000,No
74483,,20,169.0,,CROTONA PARK WEST HDFC.HPO.FY24,Bronx,Preservation,,2024-06-28T00:00:00.000,Yes
75421,2.0,122,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
76286,,36,116301.0,,35-15 146TH STREET APARTMENTS,Queens,New Construction,16.0,,No
69582,1.0,1,11203.0,,URBAN ECOSPACES,Staten Island,New Construction,,,No
76046,,2,,,CONFIDENTIAL,Bronx,Preservation,,,No
63768,11.0,85,201.0,,UPS. 1415 OGDEN AVENUE,Bronx,New Construction,,,No
76296,,15,1123.0,,214-33 41ST,Queens,New Construction,5.0,,No
74483,,48,167.0,,CROTONA PARK WEST HDFC.HPO.FY24,Bronx,Preservation,,2024-06-28T00:00:00.000,Yes
74483,4.0,15,165.0,,CROTONA PARK WEST HDFC.HPO.FY24,Bronx,Preservation,,2024-06-28T00:00:00.000,Yes
75934,1.0,1,,,CONFIDENTIAL,Staten Island,New Construction,,2024-09-13T00:00:00.000,No
77074,,18,394.0,,3815 CARPENTER AVENUE,Bronx,New Construction,,,No
75724,,1,,,CONFIDENTIAL,Brooklyn,Preservation,,,No
75173,,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76291,,8,425.0,,3052 HULL AVENUE,Bronx,New Construction,6.0,,No
76400,1.0,6,856.0,,232 EAST 35 STREET,Brooklyn,New Construction,2.0,2025-05-02T00:00:00.000,No
76270,,34,21502.0,,86 WEST 174 STREET,Bronx,New Construction,33.0,,No
74117,24.0,40,97202.0,,ARVERNE PRESERVATION.HRP.FY25,Queens,Preservation,5.0,,No
77027,,62,906.0,,398 AKA 402 MOTHER GASTEN BOULEVARD _HPS,Brooklyn,New Construction,61.0,,No
75421,,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
76361,48.0,118,159.0,,LOCUST WESTCHESTER.HUDMF.FY25,Bronx,Preservation,,,No
76318,,811,,,2-21 MALT DRIVE APARTMENTS,Queens,New Construction,244.0,,No
75421,,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
72588,3.0,16,217.0,,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE I),Brooklyn,Preservation,,,No
65412,1.0,4,1132.0,,NEW PENN DEVELOPMENT,Brooklyn,New Construction,,,No
76311,,24,381.0,,2071 RYER AVENUE,Bronx,New Construction,23.0,,No
75051,4.0,12,216.0,,CATHEDRAL PARKWAY & MID-HARLEM.YR15.FY25,Manhattan,Preservation,,2024-12-18T00:00:00.000,Yes
75628,,2,,,CONFIDENTIAL,Bronx,Preservation,,2024-08-26T00:00:00.000,No
75173,,8,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76259,,8,118.0,,822 60TH STREET,Brooklyn,New Construction,4.0,,No
75173,9.0,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76361,24.0,59,159.0,,LOCUST WESTCHESTER.HUDMF.FY25,Bronx,Preservation,,,No
75374,32.0,134,182.0,,UPACA / 1900 LEXINGTON.YR15.FY25,Manhattan,Preservation,1.0,2024-12-11T00:00:00.000,Yes
75057,,299,91.0,,25-02 9TH STREET,Queens,New Construction,15.0,,No
75729,2.0,6,143.0,,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),Brooklyn,Preservation,,,No
68208,1.0,6,557.0,,TBK1001A - LOS SURES,Brooklyn,Preservation,,,No
76310,1.0,10,49302.0,,195 HUMBOLDT STREET - APARTMENTS,Brooklyn,New Construction,3.0,,No
77025,,15,195.0,,1058 WALTON AVENUE APARTMENTS_HPS,Bronx,New Construction,14.0,,No
76335,,7,421.0,,65 STANHOPE,Brooklyn,New Construction,3.0,2025-06-16T00:00:00.000,No
68577,1.0,30,359.0,,TBX1006-JGV/BRONXPRO,Bronx,Preservation,,,No
47863,9.0,22,131.0,,TIMPSON PLACE HDFC.GHPP.FY25,Bronx,Preservation,,,No
69582,,2,11203.0,,URBAN ECOSPACES,Staten Island,New Construction,,,No
76410,,38,818.0,,320 LINDEN BLVD APARTMENTS,Brooklyn,New Construction,37.0,,No
74424,5.0,44,161.0,,CROTONA VI.HUDMF.FY25,Bronx,Preservation,,,No
