dbn,school_name,q9_how_much_do_you_agree_disagree_b_my_child_s_is_clean,teacher_engagement_score,q3_how_often_c_been_invited_to_a_w_kshop_program_perf_mance_other_event_at_y,change_in_teacher_academic_expectations_score_2007_2008,change_in_parent_safety_and_respect_score_2007_2008,q9_how_much_do_you_agree_disagree_c_discipline_is_enf_ced_fairly_at_my_child_s,change_in_teacher_communication_score_2007_2008,student_horizon_safety_and_respect_score,q1_number_4th_grade,parent_horizon_communication_score,q2a_number_agree,student_engagement_score,change_in_safety_and_respect_score_2007_2008,engagement_score,parent_communication_score,q2c_number_strongly_agree,q2_how_much_do_you_agree_disagree_c_my_childs_makes_it_easy_f_parents_to_atten,q3_how_often_b_received_inf_mation_on_services_f_your_child_f_you_such_as_t,q5_how_much_do_you_agree_disagree_e_answer_this_question_only_if_you_are_a_high,q2b_number_does_not_apply,q13_how_satisfied_are_you_with_c_how_well_your_child_s_communicates_with_you,total_parents,students_received_surveys,teacher_communication_score,q2_how_much_do_you_agree_disagree_a_i_feel_welcome_in_my_child_s_school,change_in_student_safety_and_respect_score_2007_2008,hor_type,q2b_number_strongly_disagree,q2_how_much_do_you_agree_disagree_b_i_am_satisfied_with_the_response_i_get_when,q2c_number_agree,principal,q2b_number_agree,parent_horizon_safety_and_respect_score,q1_number_10th_grade,q1_number_8th_grade,student_horizon_communication_score,q2c_number_disagree,q2e_number_strongly_disagree,q1_number_1st_grade,parent_horizon_academic_expectations_score,q1_number_pre_kindergarten,q2_how_much_do_you_agree_disagree_e_the_contacts_me_when_my_child_breaks_rules
15K821,Sunset Park Prep,8.2,3.9,7.7,-2.2,0.4,8.0,-3.1,70,0,67.9,39,6.8,-0.5,6.1,7.5,37,7.7,6.6,.,0,7.7,437,1,3.1,8.2,0.1,5,2,8.0,55,Lola Padin,44,73.3,0,28,59.1,4,1,0,69.0,0,8.5
09X126,P.S. 126 Dr Marjorie H Dunbar,8.0,5.2,8.3,0.1,0.5,7.4,0.1,.,29,52.6,74,.,0.3,6.2,7.6,61,7.5,7.3,.,1,7.4,623,1,5.6,7.7,.,2,4,7.4,75,Nadine Kee-Foster,81,42.1,0,0,.,15,5,16,45.0,2,8.1
02M630,Art and Design High School,7.1,4.4,6.6,0.4,0.3,6.9,-0.9,33.3,0,30.0,112,5.6,0.3,5.5,6.3,54,7.0,5.1,6.1,5,6.7,1281,1,4.1,7.6,0.1,7,12,6.9,120,Scott M. Feltzin,105,48.5,58,2,20.8,24,2,0,35.7,0,7.7
06M173,P.S. 173,7.9,3.1,8.6,0.3,0.5,7.3,-0.8,.,22,36.8,61,.,0.5,5.0,7.3,38,7.1,7.7,.,0,7.6,634,0,3.3,7.3,.,2,6,7.2,55,Dawn Boursiquot,61,52.6,0,0,.,9,4,11,40.0,8,7.6
01M020,P.S. 020 Anna Silver,8.8,6.4,8.4,0.6,0.3,7.9,0.8,.,23,68.4,61,.,0.5,6.9,7.9,79,7.8,7.0,.,2,8.0,485,0,5.6,8.6,.,2,5,8.2,76,Felix Gil,76,68.4,0,0,.,12,2,32,85.0,16,8.0
22K254,P.S. 254 Dag Hammarskjold,8.6,8.1,8.8,1.5,0.6,8.3,2,.,41,57.9,130,.,0.9,7.7,7.7,147,8.2,7.1,.,3,7.9,463,0,7.7,8.3,.,2,4,8.0,141,Linda Alhonote,154,78.9,0,0,.,9,2,45,65.0,29,8.2
20K220,J.H.S. 220 John J. Pershing,6.8,6.2,6.5,0.4,0.1,6.9,0.5,46.7,0,32.1,225,5.7,0.1,6.0,6.5,73,7.0,5.6,.,13,6.7,1166,1,6.0,7.2,0.1,5,8,7.0,223,Loretta Witek,213,40.0,0,93,9.1,22,7,0,34.5,0,7.4
05M172,Powell M.S. for Law & Social Justicice,6.1,4.7,4.3,-1.3,0.8,5.9,-1.2,36.7,0,14.3,13,6.3,0.4,5.6,6.0,4,5.9,5.1,.,0,6.3,256,1,4.6,6.2,0.6,5,2,6.0,15,Winston Riley,15,13.3,0,14,40.9,4,0,0,6.9,0,7.8
22K207,P.S. 207 Elizabeth G. Leary,8.6,8.1,7.5,0.7,0.4,8.2,0.6,70.6,54,68.2,189,7.5,0.5,7.6,7.7,216,8.1,5.9,.,0,7.8,809,1,7.9,8.3,-0.2,3,4,8.2,202,Mary Bosco,202,80.8,1,0,79.2,26,0,54,79.2,18,8.2
15K520,Pacific High School,8.7,6.6,8.3,2.1,0.2,8.8,2.7,29.6,0,33.3,7,6.8,0.2,6.9,7.4,14,8.1,5.8,.,0,7.4,210,1,6.6,9.1,0.1,8,0,8.9,11,Michael Courtney,7,65.0,5,0,37,2,1,0,43.5,0,8.6
16K455,Boys and Girls High School,7.0,7.6,4.0,1.1,0.4,6.4,1.6,23.3,1,0.0,185,5.9,0.6,6.3,5.4,54,5.7,3.8,5.7,5,5.4,3368,1,7.5,6.2,0.4,7,55,5.6,175,Spencer Holder,169,15.2,65,0,29.2,64,26,1,14.3,0,6.9
20K223,J.H.S. 223 The Montauk,7.9,6.6,5.3,-0.6,0.9,7.4,-0.5,53.3,0,46.4,66,6.5,0.5,6.5,6.9,49,7.7,5.6,.,2,7.2,656,1,6.5,7.6,0.3,5,5,7.2,59,Mrs. Gertrude Adduci,67,60.0,1,31,36.4,7,2,0,48.3,1,8.0
10X495,University Heights Secondary School at Bronx Community College,8.5,6.5,8.5,-0.8,0.6,8.3,0.3,73.3,0,83.3,31,6.4,0.2,6.7,7.9,51,8.4,7.1,7.4,1,8.0,397,1,6.9,8.7,0.1,7,2,8.4,39,Brenda Bravo,37,87.9,24,0,54.2,2,0,0,78.6,0,8.8
03M163,P.S. 163 Alfred E. Smith,7.9,7.0,8.7,1.4,0.5,7.3,1.2,.,28,47.4,89,.,1.1,7.2,7.5,85,8.0,7.3,.,2,7.1,544,0,6.3,8.0,.,2,4,7.3,96,Virginia Pepe,98,42.1,0,0,.,9,0,24,60.0,5,8.3
20K069,P.S. 69 Vincent D. Grippo School,8.5,6.2,8.2,-1.1,0.4,8.1,-1.6,.,84,31.6,357,.,-0.1,6.7,7.2,188,7.6,6.5,.,5,7.2,660,0,5.7,7.8,.,2,2,7.6,343,Jaynemarie Capetanakis,351,78.9,0,0,.,21,2,107,30.0,4,7.6
05M285,Harlem Renaissance High School,8.2,6.5,7.6,-0.3,0.1,7.8,0.8,37,0,41.7,7,7,0.2,6.8,7.6,6,7.0,7.2,.,0,7.9,203,1,5.9,8.6,0.2,8,0,8.0,10,Mary Rice,8,45.0,5,0,37,2,1,0,34.8,0,8.1
22K240,Andries Hudde,6.1,5.0,6.5,0.7,0.1,6.3,0,13.3,0,21.4,190,5.4,0.2,5.5,6.2,71,6.7,4.7,.,8,6.2,1358,1,5.0,7.0,-0.1,5,14,6.7,158,Elena S. O'Sullivan,165,26.7,0,116,13.6,46,5,0,34.5,0,7.6
05M154,P.S. 154 Harriet Tubman,8.3,6.5,8.6,1,0.6,7.7,1,.,24,47.4,103,.,1,7.0,7.5,71,7.6,7.3,.,3,7.6,346,0,6.5,8.0,.,2,3,7.4,117,Elizabeth Jarrett,122,52.6,0,0,.,9,3,41,50.0,20,7.5
17K092,P.S. 092 Adrian Hegeman,8.1,7.1,8.2,1.1,1,7.8,1.2,.,48,52.6,131,.,0.9,7.1,7.6,102,7.6,6.9,.,2,7.7,609,0,7.0,8.2,.,2,6,7.7,165,Ms. Diana Rahmaan,147,52.6,0,0,.,19,1,49,65.0,16,8.1
04M206,P.S. 206 Jose Celso Babosa,8.2,6.1,9.1,1.1,0.6,8.2,1.3,.,75,63.2,105,.,1,6.9,7.8,92,7.9,7.4,.,2,8.0,234,0,6.1,8.2,.,2,0,8.0,99,Myrna Rodriguez,112,63.2,1,0,.,11,0,0,55.0,0,8.3
22K315,P.S. K315,8.1,6.5,8.1,-0.2,0.7,7.7,-0.2,.,113,57.9,202,.,0.1,7.0,7.7,176,7.8,6.7,.,5,7.7,682,0,6.2,8.1,.,2,11,7.6,238,Beverly Ffolkes-Bryant,239,52.6,0,0,.,22,3,63,65.0,16,8.2
03M256,M.S. 256 Academic & Athletic Excellence,8.6,7.8,8.3,1,1.3,8.8,0.3,43.3,0,96.4,13,5.9,0.8,7.1,8.3,22,8.5,7.4,.,0,8.5,169,1,6.6,8.6,-0.2,5,0,8.6,19,Cheryl Rosen,17,73.3,0,11,36.4,0,0,0,82.8,0,9.0
17K316,P.S. 316 Elijah Stroud,8.0,4.1,8.2,-0.4,0.4,7.5,-1.3,.,30,26.3,75,.,0.3,5.4,7.1,47,7.2,6.8,.,3,7.1,287,0,4.1,7.3,.,2,4,6.9,79,Tracey Collins,71,52.6,0,0,.,15,3,21,45.0,17,7.7
19K290,P.S. 290 Juan Morel Campos,8.1,6.9,8.7,0.5,0.3,8.0,0.8,.,42,68.4,123,.,0.6,7.0,7.9,115,8.0,7.5,.,1,8.0,436,0,7.1,8.3,.,2,2,7.9,143,Willena George,137,63.2,0,0,.,6,1,42,75.0,0,8.0
01M345,"Collaborative Academy of Science, Technology, & Law",7.6,7.1,7.4,0.2,0.8,7.5,0.2,50,0,57.1,48,6.1,0.6,6.7,7.2,20,7.1,6.0,.,1,7.2,261,1,6.5,7.8,0.6,5,1,7.5,55,Mauriciere Degovia,49,66.7,0,26,36.4,8,0,0,62.1,0,7.8
02M439,Manhattan Village Academy,9.0,6.0,6.7,0.6,0,8.1,-0.2,93.3,0,76.7,34,6.9,0.2,6.6,7.7,37,7.9,6.2,7,0,7.8,377,1,5.7,8.6,-0.1,7,0,8.2,40,Hector Geager,41,90.9,26,0,70.8,2,0,0,82.1,0,8.5
08X201,M.S. X201,7.9,4.1,5.5,0.2,0.2,6.4,0.5,26.7,0,28.6,24,6.2,0.2,5.5,6.4,16,7.2,5.9,.,1,6.4,375,1,4.7,6.4,-0.6,5,5,6.8,21,John Hughes,21,26.7,0,10,27.3,1,4,0,31.0,0,7.3
10X244,The New School for Leadership and Journalism,8.3,6.5,7.7,-1,1.6,8.2,-0.3,90,0,75.0,103,7.7,0.5,7.2,7.7,99,8.0,6.8,.,1,7.9,671,1,6.2,8.2,0.7,5,6,7.9,115,Dolores Peterson,103,80.0,0,83,104.5,7,1,0,82.8,0,8.1
20K204,P.S. 204 Vince Lombardi,8.6,9.3,7.6,0.7,0.4,8.2,1.2,.,60,47.4,184,.,0.5,8.2,7.5,213,8.2,5.5,.,3,7.9,789,0,8.4,8.3,.,2,5,8.1,182,Mrs. Marie Reilly,212,78.9,0,0,.,17,1,57,70.0,21,7.9
22K535,Leon M. Goldstein High School for the Sciences,9.1,7.4,6.8,-0.1,0.3,8.1,1,86.7,0,40.0,131,6.9,0.3,7.1,6.6,83,7.4,4.7,7.2,11,7.0,965,1,7.3,8.1,0.4,7,6,7.6,129,Joseph Zaza,136,78.8,78,0,66.7,21,0,0,57.1,0,8.1
19K615,Transit Tech Career and Technical Education High School,7.5,6.2,5.9,-0.5,0.5,7.2,0.6,30,0,36.7,242,5.5,0.1,6.0,6.5,96,7.1,5.1,6.4,7,6.6,1540,1,6.5,7.7,0.5,7,8,7.2,247,Larry Kalvar,239,48.5,115,1,25,33,7,0,50.0,0,7.5
22K381,I. S. 381,7.9,7.4,6.8,0.2,0.9,7.4,0.3,43.3,0,50.0,51,6.1,0.4,6.8,7.0,25,7.1,6.0,.,0,6.8,391,1,7.1,7.8,-0.1,5,2,7.4,51,Mary Harrington,54,66.7,0,17,13.6,11,0,0,51.7,0,7.8
14K478,"Enterprise, Business and  Technology High School",7.8,6.8,7.3,2.5,0.5,7.3,1.3,50,0,43.3,44,6.2,1.1,6.6,6.7,26,7.4,5.2,7.2,0,6.9,773,1,6.4,7.7,0.8,7,3,7.2,42,Juan S. Mendez,44,48.5,23,1,45.8,6,3,0,57.1,0,7.7
12X217,School of Performing Arts,7.6,6.6,7.6,0.8,0.7,6.9,0.9,70,0,50.0,22,6.8,0.6,6.8,7.0,18,7.6,7.8,.,0,7.2,324,1,7.3,8.0,0.4,5,1,7.5,23,Marvin Reid,22,46.7,0,11,50,5,0,0,58.6,0,7.8
04M435,Manhattan Center for Science and Mathematics,7.6,4.4,7.1,-0.7,0.6,7.6,-1.3,66.7,0,46.7,116,6.6,0.4,6.0,6.8,64,7.3,5.8,6.8,4,6.9,1514,1,3.4,8.0,0.3,7,5,7.2,127,Jose David Jimenez,128,63.6,52,0,41.7,18,4,0,57.1,0,7.8
02M690,School for the Physical City High School,8.0,4.8,5.6,2.3,1.3,7.8,1.6,40,0,10.0,3,5.1,1.1,5.1,5.7,1,5.9,4.8,5.8,0,6.3,190,1,5.0,5.9,0.5,7,0,6.7,5,Junior Miller,3,57.6,2,0,29.2,3,0,0,-10.7,0,6.7
08X650,Jane Addams High School for Academic Careers,7.3,6.0,6.0,1.6,0.1,6.4,1.5,13.3,0,26.7,120,5.5,0.4,5.9,6.2,54,6.9,5.1,6.2,4,6.5,1593,1,5.5,7.3,-0.4,7,15,6.6,134,Sharron Smalls,123,27.3,58,1,20.8,25,15,0,28.6,0,7.0
19K507,Performing Arts and Technology High School,8.4,8.6,8.0,2.2,1.4,7.8,2.9,33.3,0,73.3,15,5.8,1.1,7.2,7.6,11,7.7,6.0,7.6,0,7.8,369,1,7.7,8.0,0.2,7,0,7.9,16,Lottie Almonte,16,75.8,8,0,58.3,2,0,0,78.6,0,8.7
10X095,P.S. 095 Sheila Mencher,7.9,5.9,7.5,0.8,0.9,7.8,0.7,50,43,59.1,256,6.5,1.1,6.5,7.5,186,7.8,6.6,.,9,7.5,936,1,5.8,7.9,0.9,3,8,7.5,266,Serge Marshall Davis,288,61.5,0,48,50,21,2,33,70.8,9,7.9
15K592,Khalil Gibran International Academy,7.5,6.7,3.8,.,.,4.1,.,20,0,17.9,4,6,.,6.1,6.1,3,6.7,3.1,.,0,5.4,55,1,5.5,7.1,.,5,2,5.4,2,Holly Anne Reichert,3,33.3,0,0,68.2,1,1,0,20.7,0,7.6
11X180,I.S. 180 Daniel Hale Williams,7.8,7.0,6.7,1,0.4,7.5,0.7,56.7,0,42.9,96,6.5,0.5,6.8,6.8,54,7.3,5.1,.,0,7.0,724,1,6.7,7.9,0.5,5,5,7.1,103,Frank Uzzo,98,56.7,0,64,36.4,14,3,0,48.3,0,7.9
21K400,Lafayette High School,7.2,6.1,6.5,1.5,1.1,6.9,1.8,53.3,0,46.7,20,6.1,0.8,6.1,6.8,7,6.8,6.1,7,2,7.6,688,1,5.9,7.2,0.2,7,3,6.8,19,Doris Unger,18,57.6,6,0,37.5,4,0,0,32.1,0,8.1
02M198,P.S. 198 Isador E. Ida Straus,7.9,5.3,7.9,0.5,0.8,7.4,-1,.,65,42.1,236,.,0.8,6.1,7.4,124,7.3,6.6,.,2,7.5,446,0,4.7,7.5,.,2,5,7.3,228,Sharon Jeffrey Roebuck,245,42.1,0,0,.,32,4,70,55.0,41,7.6
13K307,P.S. 307 Daniel Hale Williams,8.6,6.0,9.1,1.4,1,8.5,0.4,.,15,78.9,32,.,1,6.9,8.1,37,7.7,7.8,.,1,7.9,214,0,5.4,8.9,.,2,0,8.3,57,Roberta Davenport,42,68.4,0,0,.,5,0,7,85.0,3,8.3
11X322,Aspire Preparatory School,6.7,4.9,6.8,-0.9,-0.1,6.7,-1.1,36.7,0,35.7,36,5.9,-0.4,5.7,6.6,19,7.3,5.8,.,1,6.8,307,1,4.6,7.5,-0.1,5,6,6.7,32,Steven Cobb,29,43.3,0,0,45.5,4,3,0,31.0,0,7.6
02M041,P.S. 041 Greenwich Village,9.1,8.7,9.3,0.7,0.3,8.5,1,.,52,89.5,79,.,0.5,8.5,8.3,157,8.3,7.9,.,3,8.6,647,0,8.1,8.7,.,2,1,8.5,122,Kelly Shannon,90,84.2,0,0,.,11,0,46,85.0,8,8.6
04M146,P.S. 146 Ann M. Short,8.6,5.9,8.9,0.5,1,8.0,-0.3,.,36,68.4,109,.,0.8,6.7,7.9,130,7.9,7.4,.,3,8.1,393,0,5.1,8.4,.,2,5,8.0,132,Laura Silver,135,68.4,0,0,.,16,3,40,75.0,25,8.0
08X375,The Bronx Mathematics Preparatory School,8.6,7.2,7.3,.,.,8.1,.,56.7,0,53.6,8,6.7,.,6.9,7.1,9,7.2,4.6,.,0,7.2,120,1,6.7,8.2,.,5,3,7.2,12,Mark D. Clarke,9,70.0,0,0,45.5,1,1,0,37.9,0,8.6
19K013,P.S. 013 Roberto Clemente,8.0,6.1,9.1,1.2,0.6,7.1,1,.,48,52.6,121,.,0.7,6.7,7.6,84,7.5,7.7,.,1,7.7,485,0,6.4,7.6,.,2,1,7.5,112,Barbara Ashby,124,36.8,0,0,.,21,1,34,70.0,12,7.9
10X094,P.S. 094 Kings College School,8.3,5.9,7.9,0.3,0.9,7.9,0.3,.,77,52.6,196,.,0.6,6.4,7.6,180,7.8,7.6,.,2,7.7,876,0,6.1,8.0,.,2,6,7.7,197,Diane Daprocida,222,63.2,0,0,.,24,6,72,60.0,4,7.9
12X684,Wings Academy,8.6,6.3,6.8,0.7,0.9,7.5,0.7,53.3,0,50.0,76,6,0.8,6.3,6.9,60,7.6,4.9,7.2,3,6.9,488,1,5.8,8.3,0.6,7,2,8.0,93,Wayne Cox,77,63.6,34,0,41.7,9,3,0,60.7,0,8.2
12X248,"Metropolitan High School, The",7.9,8.0,3.8,1,0.3,7.6,0,60,0,20.0,18,6.5,1,6.8,6.0,5,6.5,3.8,6.3,1,6.2,293,1,6.8,7.2,0.9,7,1,7.0,21,Carla Theodorou,19,48.5,10,0,70.8,7,2,0,42.9,0,6.7
14K297,P.S. 297 Abraham Stockton,8.3,5.3,8.5,0.4,0.4,7.7,-0.2,.,15,52.6,75,.,0.6,6.1,7.6,61,7.6,6.8,.,0,7.9,310,0,5.5,8.4,.,2,1,8.0,99,Maureen Garrity,85,52.6,0,0,.,11,1,23,65.0,6,7.9
02M544,Independence High School,9.8,7.3,9.5,0.5,1.7,9.8,1.4,85.2,0,125.0,7,8,1.1,8.2,9.6,113,9.8,9.3,.,0,9.7,369,1,7.5,9.8,0.8,8,0,9.8,9,Ron Smolkin,8,115.0,10,0,81.5,0,0,0,117.4,0,9.8
14K380,P.S. 380 John Wayne Elementary,9.6,8.1,9.1,0,0.7,9.3,0.3,.,48,115.8,87,.,0.4,8.2,8.8,278,8.7,8.1,.,2,9.0,424,0,8.4,9.3,.,2,1,9.1,118,Josephine Viars,105,110.5,0,0,.,14,2,72,115.0,40,9.0
11X142,J.H.S. 142 John Philip Sousa,6.8,4.3,6.5,-2.1,0.3,6.8,-2.1,43.3,0,35.7,215,6.6,-0.3,5.9,6.6,109,7.1,5.7,.,7,6.5,978,1,4.4,7.2,0.5,5,13,7.0,203,Casimiro Cibelli,208,33.3,0,110,31.8,41,7,0,44.8,1,7.6
05M194,P.S. 194 Countee Cullen,7.3,5.3,7.5,1.1,1.3,6.5,0.7,.,41,31.6,77,.,1.2,6.3,7.2,62,7.4,6.6,.,1,7.2,236,0,5.1,7.5,.,2,14,6.7,97,Daryle Young,98,21.1,0,0,.,11,6,33,50.0,0,7.7
14K016,P.S. 016 Leonard Dunkly,7.8,6.1,8.2,1,0.4,6.8,0.9,.,33,26.3,88,.,0.7,6.4,7.1,57,7.0,6.9,.,0,7.3,317,0,5.8,7.5,.,2,7,6.9,96,Virginia Berrios,109,36.8,0,0,.,25,4,21,45.0,6,7.5
06M366,Washington Heights Academy,8.7,7.4,9.5,.,.,8.5,.,.,0,57.1,12,.,.,7.7,8.2,44,9.0,7.2,.,0,8.5,100,0,7.8,9.4,.,1,0,8.7,17,Crystal Felix,20,73.3,0,0,.,1,0,11,38.1,1,8.4
06M132,P.S. 132 Juan Pablo Duarte,8.3,6.9,8.6,1.5,1,8.2,1.1,.,68,78.9,181,.,1.2,7.2,8.1,193,8.1,7.8,.,6,8.1,724,0,6.8,8.3,.,2,2,8.1,184,Xiomara Nova,186,78.9,0,2,.,10,3,65,75.0,1,8.2
20K048,P.S. 048 Mapleton,8.2,6.6,7.0,-0.7,0.5,7.9,-0.9,.,65,26.3,273,.,0.1,6.7,7.1,170,7.7,5.3,.,5,7.2,515,0,6.3,7.8,.,2,1,7.6,272,Diane Picucci,295,68.4,0,0,.,23,2,82,30.0,23,7.7
20K229,P.S. 229 Dyker,8.6,8.6,7.5,0.7,0.2,8.4,1.1,.,64,36.8,119,.,0.3,8.0,7.3,120,7.8,6.1,.,4,7.5,441,0,8.4,8.3,.,2,3,7.8,138,Mr. James J. Harrigan,151,78.9,0,0,.,18,2,44,45.0,0,7.7
08X101,M.S. X101 Edward R. Byrne,8.4,7.3,8.2,0.1,0.1,8.0,-0.3,73.3,0,82.1,106,7.1,0.1,7.3,7.9,96,7.7,6.9,.,3,7.8,436,1,6.9,8.5,0.3,5,0,8.1,121,Kim Hampton Hewitt,123,76.7,0,56,72.7,19,0,0,82.8,0,8.6
08X452,Bronx Guild,7.9,7.6,6.6,1.6,0.3,6.9,0.7,60,0,46.7,17,5.9,0.2,6.5,6.8,12,7.1,5.3,6.2,0,6.4,287,1,6.7,7.6,-0.2,7,3,7.2,19,Sam Decker,17,45.5,12,0,58.3,5,3,0,28.6,0,7.4
20K179,P.S. 179 Kensington,7.7,5.8,7.9,0.1,0.4,7.5,0.1,.,54,31.6,196,.,0.5,6.3,7.2,122,7.7,6.2,.,5,7.3,759,0,5.7,7.6,.,2,5,7.3,190,Valerie Joseph,207,52.6,0,0,.,8,1,50,35.0,29,7.8
12X316,Kappa III,8.0,7.2,8.8,1.7,0.2,8.3,0.9,70,0,75.0,36,7.2,0.2,7.5,7.7,52,7.8,7.1,.,2,7.5,244,1,6.1,8.6,-0.1,5,2,8.4,36,Elisa Alvarez,38,80.0,0,34,54.5,11,2,0,86.2,0,8.4
04M057,James Weldon Johnson,8.7,8.3,8.3,1.2,0.5,8.3,1,91.2,51,86.4,108,7.5,0.7,7.7,8.1,149,8.2,7.1,.,1,8.1,534,1,7.7,8.7,0.3,3,1,8.1,132,Israel Soto,144,80.8,1,7,62.5,10,1,30,91.7,15,8.3
02M347,The 47 American Sign Language & English Lower School,10.0,5.6,10.0,0.2,0.6,10.0,-0.6,.,0,152.6,0,.,0.2,6.8,9.5,3,10.0,10.0,.,0,7.8,162,1,4.9,10.0,.,2,0,10.0,0,Rebecca Marshall,0,105.3,0,0,.,0,0,0,160.0,0,10.0
08X093,P.S. 093 Albert G. Oliver,8.4,5.7,9.2,1.3,0.7,7.9,0.9,.,22,63.2,67,.,1.1,6.7,7.8,84,7.9,7.9,.,0,7.9,352,0,6.4,8.6,.,2,6,7.9,94,Donald Mattson,78,63.2,0,0,.,10,3,32,65.0,38,7.8
21K121,P.S. 121 Nelson A. Rockefeller,9.1,7.6,8.7,0.4,0.8,8.4,0.6,85.3,13,86.4,59,7.4,0.4,7.6,8.1,92,8.2,7.1,.,1,8.5,200,1,7.2,8.8,0,3,0,8.5,81,Lillian Catalano,68,92.3,0,19,66.7,7,1,17,91.7,22,8.5
20K227,J.H.S. 227 Edward B. Shallow,6.9,4.3,6.0,0.4,0.3,6.9,-0.5,50,0,28.6,181,6,0.2,5.5,6.4,51,6.9,5.5,.,9,6.6,1237,1,4.0,7.0,0.2,5,9,6.8,167,Brenda Champion,185,50.0,0,74,22.7,22,0,0,24.1,0,7.3
07X018,P.S. 018 John Peter Zenger,8.3,6.4,7.7,-0.1,1.2,7.6,-0.6,.,42,52.6,131,.,0.7,6.6,7.6,107,7.7,7.2,.,6,7.8,396,0,5.7,8.1,.,2,5,7.8,137,Jeanene Worrell-Breeden,138,52.6,0,0,.,15,8,36,50.0,13,7.9
11X178,P.S. 178 - Dr. Selman Waxman,7.5,5.8,7.9,0.9,0.4,6.9,0.1,.,25,31.6,103,.,0.7,6.4,7.2,59,7.3,6.4,.,1,7.5,421,0,5.4,7.3,.,2,5,7.2,101,Evelyn Fulton,113,31.6,0,0,.,15,0,24,45.0,0,7.5
17K334,Middle School for Academic and Social Excellence,7.5,6.4,6.9,0.3,-0.2,7.3,0.2,30,0,67.9,19,6.4,-0.2,6.5,7.5,23,7.7,6.6,.,1,7.8,236,1,5.7,8.0,-0.2,5,1,7.5,19,Kathleen Clarke-Glover,24,50.0,0,19,50,4,1,0,44.8,0,8.3
22K052,P.S. 052 Sheepshead Bay,8.5,7.1,8.6,0.3,0.4,7.9,0,.,69,52.6,198,.,0.2,7.2,7.6,216,8.1,7.1,.,5,7.8,579,0,7.3,8.3,.,2,6,7.9,224,Ilene Altschul,225,68.4,0,0,.,13,3,72,65.0,16,8.2
03M180,P.S. 180 Hugo Newman,9.4,8.2,9.2,0.6,0.2,8.4,1.3,79.4,19,95.5,38,7.3,0.3,7.9,8.3,64,8.1,7.4,.,0,8.5,422,1,8.5,9.0,.,3,0,8.3,48,Peter Mcfarlane,53,92.3,0,0,87.5,7,0,11,83.3,13,8.6
07X520,Foreign Language Academy of Global Studies,7.8,6.4,6.5,0.5,0.4,7.7,1.1,53.3,0,70.0,40,6.2,0.6,6.4,7.5,22,7.4,6.1,6.8,1,7.6,451,1,6.8,7.9,0.3,7,1,7.7,40,Leba Collins Augone,32,57.6,21,0,45.8,5,0,0,64.3,0,8.5
02M442,"Ballet Tech, NYC Public School for Dance",8.3,7.3,8.2,1,0,8.1,0.7,79.4,12,63.6,19,7.2,0.5,7.4,7.6,23,7.9,6.7,.,1,7.9,154,1,6.0,8.5,0.3,5,1,8.2,19,John Treadwell,21,84.6,1,10,70.8,5,0,0,70.8,0,8.5
13K044,P.S. 044 Marcus Garvey,7.9,7.1,8.6,0.5,1,7.5,2.7,.,29,42.1,61,.,0.7,7.1,7.4,50,7.5,6.5,.,1,7.8,431,0,6.9,8.2,.,2,0,7.7,70,Valerie Taylor,73,42.1,0,0,.,13,2,23,70.0,5,7.9
01M315,The East Village Community School,7.1,8.2,9.3,0.5,-0.1,7.9,-0.1,.,7,68.4,19,.,0.2,8.2,7.9,33,8.4,7.6,.,1,7.7,138,0,6.6,8.5,.,2,1,8.0,29,Robin Williams,27,47.4,0,0,.,0,1,9,55.0,9,7.9
13K527,Urban Assembly Institute of Math and Science for Young Women,7.9,8.0,8.2,-0.6,0.3,7.5,-1.2,83.3,0,67.9,23,7.5,0.4,7.7,7.5,17,7.3,6.7,.,0,7.6,145,1,6.8,8.5,0.9,5,0,7.9,29,Kelly Demonaco,28,76.7,0,0,109.1,5,0,0,65.5,0,7.9
03M494,High School of Arts and Technology,7.7,5.0,6.5,0.3,0.4,7.9,-0.3,56.7,0,43.3,34,6.4,0.4,6.0,6.7,25,7.3,5.2,7.3,3,6.6,570,1,4.2,8.0,0.7,7,3,7.4,36,Anne Geiger,32,66.7,20,0,50,6,2,0,64.3,0,7.7
08X062,P.S. 062 Inocensio Casanova,9.0,7.0,9.0,1.3,1,8.7,0.7,.,53,100.0,139,.,1,7.4,8.5,245,8.3,7.6,.,1,8.6,543,0,6.7,8.8,.,2,1,8.5,152,Lourdes Estrella,169,89.5,0,0,.,26,4,65,105.0,24,8.6
12X543,High School for Violin and Dance,8.6,7.3,8.2,0.7,1.2,8.0,1.6,66.7,0,80.0,11,6.8,0.7,7.1,7.8,16,7.7,7.3,7.8,1,8.1,197,1,6.6,8.0,0.5,7,2,7.7,13,Tanya John,12,66.7,10,0,62.5,2,2,0,71.4,0,8.3
17K533,School for Democracy and  Leadership,6.8,4.8,6.6,-0.3,0.7,6.8,-0.7,33.3,0,53.3,27,6.1,0.3,5.9,7.0,23,7.6,5.6,.,1,6.8,434,1,4.5,8.3,0.1,7,2,7.7,31,Nancy Gannon,32,42.4,8,9,70.8,4,1,0,46.4,0,7.9
