manhattan_cooperatives_comparable_properties_address,community_board,comparable_rental_2_distance_from_coop_in_miles,manhattan_cooperatives_comparable_properties_estimated_expense,bbl,census_tract,comparable_rental_1_expense_per_sqft,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_3_market_value_per_sqft,comparable_rental_2_estimated_expense,comparable_rental_1_market_value_per_sqft,comparable_rental_3_neighborhood,manhattan_cooperatives_comparable_properties_total_units,comparable_rental_2_neighborhood,comparable_rental_2_net_operating_income,manhattan_cooperatives_comparable_properties_full_market_value,comparable_rental_3_building_classification,postcode,comparable_rental_1_net_operating_income,comparable_rental_3_net_operating_income,comparable_rental_1_estimated_gross_income,comparable_rental_3_gross_sqft,manhattan_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_2_gross_income_per_sqft
"{'latitude': '40.800363417339', 'longitude': '-73.944556982402', 'human_address': '{""address"": ""1775 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",11.0,0.05,74552,1016220053.0,184.0,8.74,14.55,40,145852.0,40.13,HARLEM-CENTRAL,19,HARLEM-EAST,109553.0,342000,C4-WALK-UP,10035.0,77598,"80,940",194330,"10,375",124112,13.13
"{'latitude': '40.777826407285', 'longitude': '-73.982184616108', 'human_address': '{""address"": ""2039 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7.0,0.42,6920398,1011620029.0,159.0,10.95,42.47,154.96,4611320.0,250.78,MIDTOWN WEST,396,UPPER WEST SIDE (59-79),9361100.0,82747000,D6-ELEVATOR,10023.0,18919537,"7,882,695",25139281,"380,441",17888576,46.42
"{'latitude': '40.659965955391', 'longitude': '-73.997233402873', 'human_address': '{""address"": ""326 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.14,92560,,,14.0,32.93,149.44,67502.0,142.49,GRAMERCY,19,GRAMERCY,162253.0,1080000,C4-WALK-UP,,120729,"189,286",208854,"9,415",237755,28.16
"{'latitude': '40.779903841173', 'longitude': '-73.957237423015', 'human_address': '{""address"": ""1035 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.18,713259,1015140069.0,14801.0,11.19,36.25,209.56,873472.0,155.12,UPPER EAST SIDE (79-96),32,UPPER EAST SIDE (79-96),2531959.0,15001000,D7-ELEVATOR,10028.0,1898844,"1,835,073",2919965,"64,344",2747678,42.38
"{'latitude': '40.670675200583', 'longitude': '-73.994577628084', 'human_address': '{""address"": ""101 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.8,4795529,,,9.77,38.04,188.38,2365821.0,262.42,GREENWICH VILLAGE-CENTRAL,425,GRAMERCY,5116366.0,68702000,D6-ELEVATOR,,14933029,"5,450,186",19115775,"218,985",13872389,25.63
"{'latitude': '40.776434272218', 'longitude': '-73.946144096182', 'human_address': '{""address"": ""519 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,69789,,,6.62,33.77, ,78844.0,195.36, ,20,UPPER EAST SIDE (79-96),230658.0,1748000, ,,238012, ,297969, ,305281,34.64
"{'latitude': '40.646538287835', 'longitude': '-74.018790159873', 'human_address': '{""address"": ""220 54 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.2,1076587,,,13.05,32.74,164.77,1084425.0,163.56,MIDTOWN EAST,148,MIDTOWN EAST,2708789.0,20003000,D6-ELEVATOR,,1135219,"1,864,733",1805341,"84,000",3765755,32.74
"{'latitude': '40.634723017233', 'longitude': '-74.026144644203', 'human_address': '{""address"": ""310 70 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.15,915110,,,7.69,29.99,139.69,1393762.0,167.05,UPPER EAST SIDE (59-79),136,UPPER EAST SIDE (59-79),2355507.0,19878000,D6-ELEVATOR,,3654742,"3,083,004",4914187,"165,527",3568810,30.93
"{'latitude': '40.799437115649', 'longitude': '-73.972193148362', 'human_address': '{""address"": ""293 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7.0,0.15,94074,1018890043.0,187.0,9.72,24.91, ,67809.0,87.66, ,15,UPPER WEST SIDE (96-116),125996.0,1057000, ,10025.0,114386, ,207304, ,239609,28.14
"{'latitude': '40.646806590839', 'longitude': '-74.019124467961', 'human_address': '{""address"": ""203 54 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.22,749238,,,11.16,31.43, ,645794.0,156.43, ,80,MIDTOWN WEST,1010752.0,9598000, ,,1015242, ,1554795, ,2035313,30.7
"{'latitude': '40.732780347892', 'longitude': '-73.990056531778', 'human_address': '{""address"": ""120 4 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.18,1867347,1005640054.0,61.0,12.34,38.05,239.03,818227.0,176.58,GREENWICH VILLAGE-CENTRAL,182,GREENWICH VILLAGE-CENTRAL,1437977.0,24836000,D9-ELEVATOR,10003.0,3796194,"4,183,429",5752146,"132,420",5148736,38.05
"{'latitude': '40.624160775659', 'longitude': '-74.040675590394', 'human_address': '{""address"": ""4 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.2,645954,,,11.86,32.0,162.26,1021121.0,219.61,UPPER EAST SIDE (79-96),37,UPPER EAST SIDE (79-96),1898844.0,7315000,D6-ELEVATOR,,2548315,"10,272,519",3587951,"472,600",1847232,32.0
"{'latitude': '40.770020292071', 'longitude': '-73.964746761959', 'human_address': '{""address"": ""720 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.34,2484613,1013850032.0,130.0,12.21,42.29,191.61,3256989.0,226.97,UPPER EAST SIDE (59-79),32,UPPER EAST SIDE (59-79),7271060.0,46050000,D6-ELEVATOR,10021.0,6485224,"4,292,040",9117276,"166,432",8605592,43.18
"{'latitude': '40.626226440445', 'longitude': '-74.029380275561', 'human_address': '{""address"": ""316 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.17,111272,,,9.39,30.65,168.45,107965.0,158.9,UPPER WEST SIDE (79-96),11,UPPER WEST SIDE (79-96),295600.0,1883000,C7-WALK-UP,,164133,"241,798",236671,"10,638",363203,36.02
"{'latitude': '40.854844345874', 'longitude': '-73.937982938367', 'human_address': '{""address"": ""198 PINEHURST AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12.0,0.19,327272,1021790158.0,273.0,6.14,13.92, ,378236.0,51.58, ,60,WASHINGTON HEIGHTS UPPER,454647.0,2668000, ,10033.0,444447, ,792549, ,732415,13.86
"{'latitude': '40.753174491696', 'longitude': '-73.993808615646', 'human_address': '{""address"": ""320 35 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.15,311400,,,10.77,34.81, ,948901.0,186.9, ,51,MURRAY HILL,2237513.0,5424000, ,,532080, ,758160, ,1044300,33.52
"{'latitude': '40.858882301786', 'longitude': '-73.929826087562', 'human_address': '{""address"": ""4 BOGARDUS PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12.0,0.23,207036,1021710120.0,283.0,6.68,13.7,43.24,221082.0,46.93,WASHINGTON HEIGHTS UPPER,35,WASHINGTON HEIGHTS UPPER,213966.0,1719000,D7-ELEVATOR,10040.0,339009,"291,590",657136,"44,911",467280,13.21
"{'latitude': '40.734182309203', 'longitude': '-73.98654632795', 'human_address': '{""address"": ""147 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6.0,0.05,680340,1008970001.0,48.0,11.29,36.32,176.58,141869.0,174.85,GRAMERCY,55,GRAMERCY,481571.0,10515000,D6-ELEVATOR,10003.0,687259,"3,796,194",1015754,"158,505",2106560,45.22
"{'latitude': '40.704855592723', 'longitude': '-74.009847023241', 'human_address': '{""address"": ""3 HANOVER SQUARE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1.0,0.84,2647069,1000280001.0,7.0,9.45,32.95,418.62,194770.0,394.45,CIVIC CENTER,211,TRIBECA,355058.0,38899000,D9-ELEVATOR,10004.0,442055,"606,002",631094,"18,095",7879037,27.15
"{'latitude': '40.645165949361', 'longitude': '-74.011860444539', 'human_address': '{""address"": ""455 51 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.16,522969,,,13.05,30.79,161.14,553680.0,163.56,MIDTOWN EAST,38,MIDTOWN EAST,985646.0,6962000,D7-ELEVATOR,,1135219,"843,288",1805341,"38,934",1454581,30.79
"{'latitude': '40.616068414418', 'longitude': '-74.037480358845', 'human_address': '{""address"": ""41 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.35,626965,,,9.09,17.97, ,844049.0,79.41, ,61,MANHATTAN VALLEY,978222.0,7637000, ,,1066560, ,1939200, ,1686610,15.74
"{'latitude': '40.634725237986', 'longitude': '-74.026006691834', 'human_address': '{""address"": ""315 70 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.11,1137650,,,6.39,29.99, ,1778511.0,178.77, ,125,UPPER EAST SIDE (59-79),3083004.0,21299000, ,,1200387, ,1517442, ,3981113,29.37
"{'latitude': '40.620965099431', 'longitude': '-74.025294061468', 'human_address': '{""address"": ""535 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.15,3468892,,,10.91,32.22, ,2207926.0,173.47, ,143,UPPER EAST SIDE (79-96),3994949.0,51086000, ,,5665520, ,8305726, ,10329732,30.12
"{'latitude': '40.603496473552', 'longitude': '-74.004150175789', 'human_address': '{""address"": ""147 20 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.52,515574,,,10.53,28.09, ,746441.0,275.51, ,61,CHELSEA,1717547.0,7936000, ,,2503016, ,3221669, ,1618153,42.2
"{'latitude': '40.770110224273', 'longitude': '-73.960349077236', 'human_address': '{""address"": ""1250 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.19,2888838,1014070033.0,128.0,7.49,31.87, ,1259445.0,191.61, ,190,UPPER EAST SIDE (59-79),3654742.0,55943000, ,10021.0,4292040, ,5538468, ,10391341,29.99
"{'latitude': '40.631658459452', 'longitude': '-74.038125383157', 'human_address': '{""address"": ""7 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.15,114934,,,8.74,36.73, ,136775.0,228.04, ,12,UPPER EAST SIDE (59-79),332702.0,2458000, ,,1244653, ,1605662, ,448620,34.57
"{'latitude': '40.833785627223', 'longitude': '-73.94236671467', 'human_address': '{""address"": ""526 158 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,129322,,,7.65,15.35,41.39,167739.0,56.6,WASHINGTON HEIGHTS LOWER,30,WASHINGTON HEIGHTS LOWER,161519.0,1188000,C7-WALK-UP,,175333,"100,549",337131,"15,558",326495,15.35
"{'latitude': '40.624378522198', 'longitude': '-74.038446585266', 'human_address': '{""address"": ""56 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.11,322997,,,11.29,31.42,51.6,1462338.0,158.55,UPPER EAST SIDE (79-96),33,UPPER EAST SIDE (79-96),3288499.0,5422000,D7-ELEVATOR,,1126197,"382,393",1722738,"49,616",1049491,31.42
"{'latitude': '40.80279219272', 'longitude': '-73.945586192848', 'human_address': '{""address"": ""16 119 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,121705,,,8.74,14.36,40.13,76370.0,35.6,HARLEM-EAST,20,HARLEM-CENTRAL,71566.0,542000,C1-WALK-UP,,62828,"77,598",160519,"13,355",199963,13.76
"{'latitude': '40.61940708266', 'longitude': '-74.036127290982', 'human_address': '{""address"": ""177 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,64638,,,6.53,35.09,245.72,121240.0,211.3,UPPER EAST SIDE (79-96),16,UPPER EAST SIDE (79-96),418257.0,2056000,C7-WALK-UP,,499613,"318,258",613763,"9,755",342619,30.84
"{'latitude': '40.781918322518', 'longitude': '-73.958037819621', 'human_address': '{""address"": ""1217 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.2,1482480,1014990051.0,15002.0,10.56,27.02,104.09,630812.0,152.4,UPPER EAST SIDE (79-96),93,UPPER EAST SIDE (79-96),1725104.0,21230000,D3-ELEVATOR,10128.0,2613846,"923,425",3966689,"64,272",4890917,27.02
"{'latitude': '40.642195506965', 'longitude': '-74.0252305043', 'human_address': '{""address"": ""125 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,626312,,,6.11,33.67,206.27,177842.0,195.37,UPPER EAST SIDE (59-79),38,UPPER EAST SIDE (59-79),402912.0,10535000,D9-ELEVATOR,,952044,"1,139,026",1173708,"41,692",2045385,33.67
"{'latitude': '40.628482844002', 'longitude': '-74.028795410888', 'human_address': '{""address"": ""308 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.29,2445180,,,15.52,33.66,240.45,919472.0,111.97,UPPER EAST SIDE (59-79),195,UPPER EAST SIDE (59-79),1707290.0,30928000,D3-ELEVATOR,,4918738,"8,234,631",7342962,"257,244",6610824,34.63
"{'latitude': '40.843588239657', 'longitude': '-73.934266886872', 'human_address': '{""address"": ""500 174 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.76,136667,,,7.77,13.02, ,118173.0,31.36, ,30,WASHINGTON HEIGHTS LOWER,85407.0,902000, ,,180669, ,384119, ,305215,11.37
"{'latitude': '40.777331780169', 'longitude': '-73.959117006056', 'human_address': '{""address"": ""951 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.05,768646,1015100072.0,140.0,13.63,41.42, ,456276.0,233.76, ,38,UPPER EAST SIDE (79-96),885028.0,15690000, ,10028.0,1623468, ,2335704, ,2846838,41.42
"{'latitude': '40.645991076944', 'longitude': '-74.01475707207', 'human_address': '{""address"": ""345 52 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.15,1461030,,,9.36,31.42,156.91,770471.0,173.91,MIDTOWN EAST,100,MIDTOWN EAST,1647104.0,10904000,D3-ELEVATOR,,2708789,"1,495,610",3793214,"71,137",2922060,24.47
"{'latitude': '40.833625486471', 'longitude': '-73.943923541675', 'human_address': '{""address"": ""544 157 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.94,294000,,,5.72,12.93, ,376441.0,21.23, ,40,HARLEM-CENTRAL,377642.0,1661000, ,,75498, ,196462, ,543060,16.56
"{'latitude': '40.799289264847', 'longitude': '-73.959178985362', 'human_address': '{""address"": ""477 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",64.0,2.2,110825,1011110001.0,143.0,8.96,20.11, ,223277.0,42.11, ,31,UPPER EAST SIDE (59-79),972430.0,1778000, ,10000.0,299194, ,556558, ,359466,20.84
"{'latitude': '40.630878085552', 'longitude': '-74.032125333133', 'human_address': '{""address"": ""160 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.16,574875,,,7.03,32.7,141.51,820130.0,193.42,UPPER WEST SIDE (59-79),45,UPPER WEST SIDE (79-96),1671133.0,8720000,D1-ELEVATOR,,700148,"510,748",889231,"27,100",1747063,32.7
"{'latitude': '40.781684498791', 'longitude': '-73.958208690806', 'human_address': '{""address"": ""1211 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.2,951596,1014990020.0,15002.0,10.56,27.02,104.09,630812.0,152.4,UPPER EAST SIDE (79-96),62,UPPER EAST SIDE (79-96),1725104.0,15795000,D3-ELEVATOR,10128.0,2613846,"923,425",3966689,"64,272",3139454,27.02
"{'latitude': '40.833674349878', 'longitude': '-73.942102754455', 'human_address': '{""address"": ""516 158 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.99,215105,,,3.95,8.93, ,383041.0,13.73, ,47,HARLEM-CENTRAL,289331.0,1027000, ,,65060, ,165395, ,387276,11.48
"{'latitude': '40.606896672346', 'longitude': '-74.009351088944', 'human_address': '{""address"": ""136 13 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.19,67810,,,5.06,37.38,219.58,82331.0,71.62,CHELSEA,12,GREENWICH VILLAGE-CENTRAL,177847.0,1077000,C4-WALK-UP,,103978,"146,015",154300,"5,005",214262,37.38
"{'latitude': '40.723129641463', 'longitude': '-73.999838307543', 'human_address': '{""address"": ""91 MERCER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.47,267575,1004850022.0,49.0,9.17,28.6, ,277544.0,152.8, ,11,CHINATOWN,468007.0,3898000, ,10012.0,792450, ,1149094, ,786500,27.65
"{'latitude': '40.623518800666', 'longitude': '-74.024878944861', 'human_address': '{""address"": ""505 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,86478,,,9.27,33.48, ,87746.0,181.43, ,16,UPPER EAST SIDE (79-96),217781.0,1643000, ,,230336, ,317723, ,307681,33.25
"{'latitude': '40.822252915532', 'longitude': '-73.953631141677', 'human_address': '{""address"": ""3405 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9.0,0.21,88911,1020870031.0,225.0,5.85,10.76,50.57,83588.0,25.89,HARLEM-WEST,18,HARLEM-WEST,78388.0,449000,C1-WALK-UP,10031.0,64323,"107,726",155172,"13,170",172375,10.76
"{'latitude': '40.627499358985', 'longitude': '-74.03478390264', 'human_address': '{""address"": ""134 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,100713,,,8.3,30.08, ,820130.0,138.1, ,20,UPPER WEST SIDE (79-96),1671133.0,1627000, ,,957198, ,1371767, ,317885,32.7
"{'latitude': '40.770047271731', 'longitude': '-73.968784717871', 'human_address': '{""address"": ""870 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.3,2735906,1013830001.0,122.0,12.21,42.31,224.73,3234383.0,226.97,UPPER EAST SIDE (59-79),102,UPPER EAST SIDE (59-79),8542855.0,54523000,D6-ELEVATOR,10065.0,6485224,"7,271,060",9117276,"243,802",9961805,42.31
"{'latitude': '40.748067841335', 'longitude': '-73.980475904252', 'human_address': '{""address"": ""35 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6.0,0.05,1583038,1008910003.0,80.0,10.3,33.15,161.71,1419523.0,169.83,MURRAY HILL,150,MURRAY HILL,2636256.0,26099000,D6-ELEVATOR,10016.0,3505356,"5,146,299",5085102,"236,315",5094923,35.2
"{'latitude': '40.648277483169', 'longitude': '-74.009585954994', 'human_address': '{""address"": ""426 46 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,69978,,,9.23,28.85, ,93523.0,200.08, ,20,CLINTON,294400.0,1245000, ,,259703, ,348039, ,235849,30.53
"{'latitude': '40.820872872026', 'longitude': '-73.954727579266', 'human_address': '{""address"": ""601 136 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.54,219216,,,6.63,9.59, ,86131.0,32.09, ,43,HARLEM-WEST,67689.0,1298000, ,,337423, ,783954, ,449205,7.51
"{'latitude': '40.736637026614', 'longitude': '-73.978429334088', 'human_address': '{""address"": ""400 23 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,227869,,,7.55,28.08,142.98,660262.0,302.07,CHELSEA,19,CHELSEA,1064651.0,3970000,D7-ELEVATOR,,1226672,"373,970",1456924,"18,828",779360,26.97
"{'latitude': '40.600727587795', 'longitude': '-73.992607932661', 'human_address': '{""address"": ""11 32 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,497500,,,12.46,38.67,167.58,307371.0,252.01,MURRAY HILL,83,MURRAY HILL,997853.0,9670000,D7-ELEVATOR,,1331744,"475,302",1827000,"21,095",1775629,37.78
"{'latitude': '40.72825577703', 'longitude': '-73.998795093989', 'human_address': '{""address"": ""520 LA GUARDIA PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.19,290846,1005370033.0,65.0,9.53,43.72,231.5,370847.0,167.48,GREENWICH VILLAGE-WEST,14,GREENWICH VILLAGE-CENTRAL,948328.0,5183000,D1-ELEVATOR,10012.0,468957,"1,491,908",667901,"48,544",978891,50.0
"{'latitude': '40.60296794623', 'longitude': '-74.011968508787', 'human_address': '{""address"": ""331 14 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.19,98238,,,10.22,29.66,210.16,183859.0,118.53,CHELSEA,24,CHELSEA,568264.0,2276000,D1-ELEVATOR,,464308,"530,287",753839,"19,100",401893,29.66
"{'latitude': '40.829326227955', 'longitude': '-73.945488296922', 'human_address': '{""address"": ""523 151 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,92823,,,5.28,9.91, ,79992.0,29.53, ,24,HARLEM-UPPER,49132.0,468000, ,,68375, ,140592, ,171939,9.54
"{'latitude': '40.71812941098', 'longitude': '-74.008588710888', 'human_address': '{""address"": ""1 WORTH STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1.0,0.0,189186,1001790011.0,33.0,10.15,31.31, ,501776.0,162.66, ,11,TRIBECA,1120529.0,2869000, ,10013.0,582828, ,853854, ,603813,30.65
"{'latitude': '40.781828390315', 'longitude': '-73.953855972185', 'human_address': '{""address"": ""1349 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.05,1056541,1015180049.0,14802.0,9.4,30.93,237.74,630812.0,160.88,UPPER EAST SIDE (79-96),71,UPPER EAST SIDE (79-96),1725104.0,18079000,D6-ELEVATOR,10128.0,2475085,"2,531,959",3555222,"80,351",3476470,27.02
"{'latitude': '40.868639945804', 'longitude': '-73.923611772339', 'human_address': '{""address"": ""109 SEAMAN AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12.0,0.11,266945,1022400001.0,295.0,4.94,13.03, ,277543.0,23.7, ,41,INWOOD,320908.0,1925000, ,10034.0,169316, ,332305, ,562831,15.98
"{'latitude': '40.591583393922', 'longitude': '-73.992733660577', 'human_address': '{""address"": ""305 40 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.28,4466411,,,13.86,32.64,196.41,3549838.0,228.55,MURRAY HILL,306,MIDTOWN CBD,9416340.0,56552000,D6-ELEVATOR,,11115393,"9,348,652",16189751,"351,560",12068183,36.76
"{'latitude': '40.734802841403', 'longitude': '-74.003777338031', 'human_address': '{""address"": ""78 CHARLES STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.08,126225,1006200058.0,73.0,13.59,38.28, ,116424.0,137.35, ,15,GREENWICH VILLAGE-WEST,236333.0,1913000, ,10014.0,175911, ,305613, ,378972,44.54
"{'latitude': '40.622597083182', 'longitude': '-74.034067949918', 'human_address': '{""address"": ""230 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.61,985275,,,8.36,16.45,51.88,86923.0,89.86,MANHATTAN VALLEY,108,HARLEM-EAST,102131.0,8410000,D7-ELEVATOR,,288127,"2,700,363",485080,"303,585",2146725,19.39
"{'latitude': '40.539313773957', 'longitude': '-74.169162062729', 'human_address': '{""address"": ""40 19 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,1.09,399013,,,12.14,32.19, ,127237.0,166.69, ,15,LOWER EAST SIDE,305593.0,6103000, ,,1076547, ,1656890, ,1218617,35.41
"{'latitude': '40.597851031403', 'longitude': '-73.988522284321', 'human_address': '{""address"": ""26 38 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.6,178755,,,5.38,33.06,103.96,217833.0,210.86,MURRAY HILL,11,MIDTOWN WEST,363946.0,2220000,C7-WALK-UP,,232254,"108,567",276238,"7,455",477353,33.06
"{'latitude': '40.784184614032', 'longitude': '-73.956383067087', 'human_address': '{""address"": ""1274 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.2,906242,1015030014.0,16001.0,11.92,27.79, ,183334.0,164.13, ,42,UPPER EAST SIDE (79-96),344700.0,16064000, ,10128.0,1058779, ,1628817, ,3136296,25.92
"{'latitude': '40.820984871471', 'longitude': '-73.957911914537', 'human_address': '{""address"": ""575 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9.0,0.13,240351,1020010060.0,22302.0,6.58,10.7, ,267174.0,14.73, ,42,HARLEM-WEST,287754.0,1852000, ,10031.0,302437, ,643781, ,539152,8.98
"{'latitude': '40.800525295304', 'longitude': '-73.971329799214', 'human_address': '{""address"": ""310 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7.0,0.05,1245180,1018900040.0,191.0,6.41,18.76,84.15,1293872.0,45.9,UPPER WEST SIDE (96-116),325,UPPER WEST SIDE (96-116),1400139.0,18617000,D3-ELEVATOR,10025.0,355499,"1,454,224",684819,"126,785",3835726,18.76
"{'latitude': '40.725171102469', 'longitude': '-73.993965734691', 'human_address': '{""address"": ""308 MOTT STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.11,215566,1005210030.0,5502.0,10.35,36.95, ,402723.0,184.36, ,40,LITTLE ITALY,699373.0,3207000, ,10012.0,504285, ,713719, ,651281,38.61
"{'latitude': '40.653255180379', 'longitude': '-74.007156444426', 'human_address': '{""address"": ""347 39 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.3,679942,,,8.92,30.79, ,952063.0,189.64, ,33,JAVITS CENTER,1696528.0,11688000, ,,2275742, ,3068183, ,2243883,27.06
"{'latitude': '40.717320021154', 'longitude': '-74.008390860041', 'human_address': '{""address"": ""84 THOMAS STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1.0,0.09,336705,1001440023.0,33.0,7.01,30.99, ,501776.0,262.08, ,16,TRIBECA,1120529.0,6272000, ,10013.0,1562576, ,1877892, ,1176380,30.65
"{'latitude': '40.807893098771', 'longitude': '-73.955582441458', 'human_address': '{""address"": ""371 120 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.31,126479,,,8.69,13.44, ,147091.0,33.43, ,15,HARLEM-WEST,97715.0,698000, ,,47174, ,124619, ,231907,12.9
"{'latitude': '40.717688743186', 'longitude': '-74.008984412581', 'human_address': '{""address"": ""55 HUDSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1.0,0.63,901588,1001430004.0,39.0,8.06,30.22, ,1906410.0,154.48, ,63,FINANCIAL,3540930.0,16725000, ,10013.0,639862, ,890618, ,3135325,34.26
"{'latitude': '40.735989946482', 'longitude': '-74.005926717681', 'human_address': '{""address"": ""571 HUDSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.14,209253,1006340065.0,75.0,14.68,35.5, ,237694.0,234.95, ,17,GREENWICH VILLAGE-WEST,642806.0,4402000, ,10014.0,580210, ,852757, ,804821,37.03
