schooldbn,name,selectioncriteria1_prog12,code_prog11,selectioncriteria6_prog3,longitude,tophs2,selectioncriteria4_prog1,selectioncriteria1_prog11,acceleratedclasses,admissionsmethod_prog14,selectioncriteria1_prog10,tophs1,selectioncriteria2_prog9,geseats_prog11,code_prog4,priority2_prog8,priority5_prog2,priority1_prog9,elaprof,swdappsperseat_prog12,subway,geapps_prog12,admissionsmethod_prog2,geappsperseat_prog10,code_prog13,selectioncriteria2_prog10,selectioncriteria5_prog3,swdapps_prog1,swdapps_prog8,geseats_prog14,selectioncriteria5_prog2,swdseats_prog7,gefilled_prog10,priority1_prog2,selectioncriteria5_prog9,swdappsperseat_prog1,swdseats_prog12,swdapps_prog11,admissionsmethod_prog4,selectioncriteria1_prog14,gefilled_prog14,selectioncriteria5_prog1,swdappsperseat_prog10,swdfilled_prog3,swdfilled_prog9,selectioncriteria3_prog2,priority2_prog1,gefilled_prog4,geappsperseat_prog5,selectioncriteria4_prog8,selectioncriteria6_prog2,selectioncriteria4_prog3,priority1_prog8,code_prog6,Fully Accessible with code_prog1,Not Accessible with code_prog1,Partially Accessible with code_prog1
13K113,M.S. 113 Ronald Edmonds Learning Center (13K113),,,On-Site Assessment,-73.971009,Brooklyn Community Arts & Media High School (BCAM),ELL Status,,"Earth Science,English",,,Bedford Academy High School,,,K113T,,,,24.0,,"G to Clinton-Washington; C to Lafayette Ave; 2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave - Barclays Center",,Screened,,,,Lateness,15.0,,,Lateness,,,,,3.0,,,Screened,,,Final 4th Grade Report Card,,0.0,,Attendance,,0.0,,,Math and English Assessment - Multiple choice and Essay,Final 4th Grade Report Card,,,,,K113M
23K184,P.S. 184 Newport (23K184),,,,-73.904901,,,,,,,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,,,,,,,11.0,,L to New Lots Ave; 3 to Junius St,,,,,,,28.0,,,,,,,,2.0,,,,,,,,,,,Then to District 23 students and residents,,,,,,,,,K184U,
30Q230,I.S. 230 (30Q230),,,,-73.893193,Long Island City High School,,,"Algebra I,Living Environment",,,William Cullen Bryant High School,,,,,,,56.0,,"M, R to 65th St; 7, E, F to Jackson Hts-Roosevelt Ave",,Zoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q230Y,,
09X128,Mott Hall III (09X128),,,,-73.900751,Knowledge and Power Preparatory Academy International High School (Kappa),Final 4th Grade Report Card,,"Algebra I,Living Environment",,,Manhattan Center for Science and Mathematics,,,,,,,61.0,,,,,,,,,150.0,,,,,,,,6.0,,,,,,Lateness,,,,,Then to Bronx students and residents,,,,,,,,,X128S,
24Q125,I.S. 125 Thom J. McCann Woodside (24Q125),,,,-73.918945,Queens Technical High School,,,"Algebra I,Earth Science,English,French,Living Environment,US History",,,William Cullen Bryant High School,,,,,,,49.0,,7 to 46th St,,,,,,,51.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Q125Z,,
10X447,Creston Academy (10X447),,,,-73.903458,,Home Language,,"Algebra I,Living Environment",,,Bronx Collaborative High School,,,,,,,34.0,,"B, D to 182nd-183rd Sts; 4 to 183rd St",,Open,,,,,20.0,,,,,,Priority to students residing in the zone,,10.0,,,,,,Lateness,,,,,Then to Bronx students and residents,,,,,,,,X447M,,
07X029,P.S./M.S. 029 Melrose School (07X029),,,,-73.917279,,,,,,,University Prep Charter High School,,,,,,,18.0,,"2, 5 to 3rd Ave-149th St",,,,,,,34.0,,,,,,,,2.0,,,,,,,,,,,Then to District 7 students and residents,,,,,,,,,X029U,
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School (25Q250),,,,-73.810216,John Bowne High School,,,"Algebra I,Living Environment",,,Robert F. Kennedy Community High School,,,,,,,44.0,,,,,,,,,60.0,,,,,,,,3.0,,,,,,,,,,,Then to students attending or zoned to PS 165,,,,,,,,Q250U,,
11X144,J.H.S. 144 Michelangelo (11X144),,,,-73.83607,"Celia Cruz Bronx High School of Music, The",,,"Algebra I,Living Environment",,,Harry S Truman High School,,,X144Y,,,,33.0,,,,Open,,,,,12.0,,,,,,Priority to residents of the middle school zone,,2.0,,,ASD/ACES Program,,,,,1.0,,,Then to District 11 students and residents,0.0,1.0,,,,,,,,X144U
19K663,School of the Future Brooklyn (19K663),,,,-73.897723,Spring Creek Community School,,,Living Environment,,,High School for Public Service: Heroes of Tomorrow,,,,,,,11.0,,L to Livonia Ave; 3 to Pennsylvania Ave,,,,,,,43.0,,,,,,,,3.0,,,,,,,,,,,Then to District 19 students and residents,,,,,,,,,K663L,
30Q204,I.S. 204 Oliver W. Holmes (30Q204),,,,-73.932664,Information Technology High School,ELL Status,,"Algebra I,Earth Science",,,Long Island City High School,,,Q204Y,,,,36.0,,"N, Q to 36 Ave-Washington Ave; M, R to 36th St; F to 21st St - Queensbridge; E to Queens Plaza",,Open,,,,,21.0,,,,,,,,1.0,,,ASD/ACES Program,,,Final 4th Grade Report Card,,0.0,,,,0.0,1.0,,,,,,,Q204M,
09X241,"Urban Assembly School for Applied Math and Science, The (09X241)",,,,-73.901316,South Bronx Community Charter School,,,"Algebra I,Spanish",,,"Urban Assembly School for Applied Math and Science, The",,,,,,,30.0,,,,,,,,,121.0,,,,,,,,8.0,,,,,,,,,,,Then to District 9 students and residents,,,,,,,,X241L,,
17K246,M.S. 246 Walt Whitman (17K246),,,,-73.952821,Edward R. Murrow High School,Final 4th Grade Report Card: 40%,,"Algebra I,Living Environment,Spanish,US History",,,John Dewey High School,,,,,,,26.0,,"2, 5 to Church Ave",,Open,,,,,21.0,,,,,,Priority to residents of the middle school zone,,4.0,,,,,,,,,,,,,,,,,,,,,K246A
03M243,M.S. 243 Center School (03M243),,,,-73.97343,Beacon High School,,,"Algebra I,Latin",,,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,,,,,95.0,,"B, C to 81st St-Museum of Nat Hist; 1, B, C to 86th St",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M243M
05M517,Teachers College Community School (05M517),,,,-73.953315,,,,,,,,,,,,,,,,"1, A, B, C, D to 125th St",,,,,,,64.0,,,,,,,,5.0,,,,,,,,,,,Then to District 5 and 6 students and residents,,,,,,,,,M517U,
21K228,I.S. 228 David A. Boody (21K228),Students who apply to these programs will be selected based on their score on the District 21 Talent Tests,K228SC,,-73.976953,Edward R. Murrow High School,,Students who apply to these programs will be selected based on their score on the District 21 Talent Tests,"Algebra I,Earth Science,Living Environment",Talent Test,On-Site Assessment,James Madison High School,Academic and Personal Behavior Scores,26.0,K228DA,,,,57.0,2.0,N to Ave U; F to Kings Highway,58.0,Talent Test,4.0,K228VO,we do not test for this program anymore,,46.0,11.0,16.0,,10.0,1.0,,Lateness,6.0,4.0,27.0,Talent Test,Students who apply to these programs will be selected based on their score on the District 21 Talent Tests,0.0,,2.0,0.0,1.0,,,1.0,18.0,Final 4th Grade Report Card,,,,K228JO,,,K228AR
03M860,Frederick Douglass Academy II Secondary School (03M860),,,,-73.954142,Murray Hill Academy,Final 4th Grade Report Card,,"Algebra I,Living Environment",,,Frederick Douglass Academy II Secondary School,,,,,,,25.0,,"2, 3, B, C to 116th St",,,,,,,73.0,,,,,,,,6.0,,,,,,Lateness,,,,,Then to Manhattan students and residents,,,,,,,,,,M860S
11X287,North Bronx School of Empowerment (11X287),,,,-73.860904,,,,"Algebra I,Living Environment",,,Harry S Truman High School,,,,,,,19.0,,"2, 5 to 219th St",,,,,,,56.0,,,,,,,,2.0,,,,,,,,,,,Then to District 11 students and residents,,,,,,,,,,X287U
23K518,Kappa V (Knowledge and Power Preparatory Academy) (23K518),,,,-73.907245,Abraham Lincoln High School,Lateness,,Algebra I,,,Transit Tech Career and Technical Education High School,,,,,,,22.0,,L to New Lots Ave; 3 to Rockaway Ave,,,,,,,60.0,,,,,,,,3.0,,,,,,,,,,,Then to Brooklyn students and residents,,,,,,,,K518S,,
21K225,P.S. K225 - The Eileen E. Zaglin (21K225),,,,-73.956329,Edward R. Murrow High School,,,"Algebra I,Living Environment",,,Franklin Delano Roosevelt High School,,,,,,,36.0,,"B, Q to Brighton Beach",,Zoned,,,,,,,,,,,Priority to continuing students,,,,,,,,,,,,,,,,,,,,,,,K225E
16K267,"M.S. 267 Math, Science & Technology (16K267)",,,,-73.932275,,Attendance: 5%,,"Algebra I,Living Environment",,,Abraham Lincoln High School,,,,,,,30.0,,Z to Gates Ave; J to Kosciusko St,,Open,,,,,7.0,,,,,,,,1.0,,,,,,Final 4th Grade Report Card: 45%,,,,,,,,,,,,,,,K267A
20K030,P.S./I.S. 30 Mary White Ovington (20K030),,,,-74.023948,High School of Telecommunication Arts and Technology,Final 4th Grade Report Card: 45%,,"Algebra I,English,Living Environment,Spanish,US History",,,Fort Hamilton High School,,,,,,,57.0,,R to Bay Ridge Ave,,Zoned,,,,,109.0,,,,,,,,22.0,,,,,,Punctuality: 5%,,,,,,,,,,,,,K030A,,
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership (06M210),,,,-73.94475,,,,"Algebra I,Living Environment,Spanish",,,Stephen T. Mather Building Arts & Craftsmanship High School,,,,,,,39.0,,"C to 155th St; A, B, D to 145th St; 1 to 157th St",,,,,,,35.0,,,,,,,,3.0,,,,,,,,,,,Then to District 6 students and residents,,,,,,,,M210M,,
01M332,University Neighborhood Middle School (01M332),,,,-73.986336,,,,,,,Pace High School,,,,,,,24.0,,"J, M, Z to Delancey St-Essex St; F to East Broadway; B, D to Grand St",,Screened,,,,,37.0,,,,,,,,5.0,,,,,,,,0.0,,Final 4th Grade Report Card,,,,,,,,,,,M332R
15K442,M.S. 442 School for Innovation (15K442),,,,-73.983115,High School of Telecommunication Arts and Technology,,,"Algebra I,Earth Science",,,Edward R. Murrow High School,,,,,,,51.0,,"F, G to 15th St-Prospect Park",,ASD/ACES Program,,,,,299.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,K442S
29Q059,I.S. 059 Springfield Gardens (29Q059),,,,-73.753429,Institute for Health Professions at Cambria Heights,,,"Algebra I,English,Living Environment,Spanish,US History",,,Hillcrest High School,,,,,,,35.0,,,,,,,,,61.0,,,,,,,,2.0,,,,,,,,,,,Then to District 29 students and residents,,,,,,,,Q059U,,
10X342,International School for Liberal Arts (10X342),,,,-73.898309,Fordham Leadership Academy,Home Language,,Living Environment,,,International School for Liberal Arts,,,,,,,21.0,,"4, B, D to Kingsbridge Rd",,,,,,,27.0,,,,,,,,2.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,X342M,,
30Q580,Baccalaureate School for Global Education (30Q580),,,,-73.927169,Stuyvesant High School,Final 4th Grade Report Card,,"Algebra I,Living Environment",,,Baccalaureate School for Global Education,,,,,,,99.0,,"M, N, W",,,,,,,,,,,,,,,,,,,,,Punctuality,,,,,,,,,,,,,Q580M,,
17K394,M.S. K394 (17K394),,,,-73.927973,,Final 4th Grade Report Card: 40%,,"Algebra I,Living Environment",,,High School for Public Service: Heroes of Tomorrow,,,,,,,38.0,,"A, C to Utica Ave; 3, 4 to Crown Hts-Utica Ave",,Screened,,,,,8.0,,,,,,Priority to continuing students,,1.0,,,,,,,,,,Attendance,,,,,,,,,,K394A,
02M397,Spruce Street School (02M397),,,,-74.005277,Brooklyn Technical High School,,,"Algebra I,Living Environment",,,Millennium High School,,,,,Then to District 2 students and residents,,77.0,,"R to City Hall; E to Park Place; 4, 5, 6, J, Z to Brooklyn Bridge - City Hall; 2, 3, A, C to Fulton St-Broadway-Nassau; 1 to Chambers St",,Limited Unscreened,,,,,,,,,,,Priority to continuing students,,,,,,,,,,,,,,,,,,,,,M397E,,
01M839,Tompkins Square Middle School (01M839),,,,-73.981521,High School for Health Professions and Human Services,On-Site Assessment,,Algebra I,,,Millennium High School,,,,,,,56.0,,"L to 1st Ave; J, M, Z to Delancey St-Essex St; F to Lower East Side-2 Ave",,,,,,,126.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,M839M,
02M442,"Ballet Tech, NYC Public School for Dance (02M442)",,,,-73.989911,,,,Algebra I,,,Professional Performing Arts High School,,,,,,,82.0,,"6, N, R to 23rd St; 4, 5, L, Q to 14th St-Union Square; 1, 2, 3, F, M to 14th St - 6th Ave",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,M442C,
05M286,Urban Assembly Academy for Future Leaders (05M286),,,,-73.955325,,,,"Algebra I,US History",,,Business Of Sports School,,,,,,,22.0,,"1, A, B, C, D to 125th St",,,,,,,52.0,,,,,,,,2.0,,,,,,,,,,,Then to District 5 students and residents,,,,,,,,,M286L,
27Q105,P.S. 105 The Bay School (27Q105),,,,-73.781876,Rockaway Collegiate High School,,,,,,Rockaway Park High School for Environmental Sustainability,,,,,,,23.0,,A to Beach 44th St-Frank Ave,,,,,,,7.0,,,,,,,,0.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,Q105Z,
21K288,P.S. 288 The Shirley Tanyhill (21K288),,,,-73.99194,William E. Grady Career and Technical Education High School,,,,,,Abraham Lincoln High School,,,,,,,23.0,,,,Zoned,,,,,12.0,,,,,,Priority to continuing students,,4.0,,,,,,,,,,,,,,,,,,,,K288U,
30Q286,"Young Women's Leadership School, Astoria (30Q286)",,,,-73.924591,,Lateness,,"Algebra I,Earth Science,Living Environment,US History",,,"Young Women's Leadership School, Astoria",,,,,,,73.0,,"N, Q to 30 Ave-Grand Ave",,,,,,,48.0,,,,,,,,3.0,,,,,,On-Site Assessment,,,,,,,,,,,,,,,Q286M
