omppropid,descriptio,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype,nan with global_id,DOT with global_id,Other with global_id
BZ419,GREENSTREET,59,NYCPARKS,,,,11234,1284.78111267,,S,,{FB8A93FE-4684-42AC-8809-A97A50AE8A3D},
QZ544,Greenstreet,29,NYCPARKS,Type 2,,,11413,1954.79397583,,S,,{6B6F9FCA-DA7A-42A8-8620-BC3D23FDBDAA},
QZ785,B147 btw Dead End (beach entrance) to Newport,23,NYCPARKS,,,,11694,4069.42396545,,S,,{FA20DC23-FFF0-4F83-A288-06181E958C78},
QZ872,Greenstreet,27,NYCPARKS,,,,11356,6838.67056274,,S,,{7D4BD8CA-69F4-435D-B1D7-9C63CE95EC25},
MZ205,GREENSTREET,71,NYCPARKS,Type 1,,,10039,1066.81712341,,S,,{D38ABD95-5F50-4AAC-99D1-E21048AC7E49},
XZ348,Greenstreet-East Tremont Ave & Lane Ave & Westcheste,82,NYCPARKS,Type 1,,,10461,2470.98219299,,S,{ABD0AF38-3BE8-4933-A0BE-00EAF5D79908},,
QZ389,Greenstreet,24,NYCPARKS,Type 1,,,11432,471.714935303,,S,,{96AD5B23-DD56-41DA-AFDF-47323D875D85},
QZ962,Nothern Blvd. Btw. 103 & 104,35,NYCPARKS,,,,11368,352.448150635,,S,,{5AFE2465-F046-4D72-9C8B-E8916F9A4966},
QZ728,Capt. Manheim Triangle,26,NYCPARKS,,,,11358,1092.98812866,,S,,{2CF4A112-454E-46BC-8E57-42C127FC07B5},
QZ370,Greenstreet,25,NYCPARKS,Type 2,,,11364,3038.60282898,,S,,{2F797851-E102-428A-A374-CB2C6D657941},
MZ378,9th Avenue - 23rd st to 31 st,75,NYCPARKS,,,,10001,274.705474854,,S,,{50421325-A4B5-43D7-8678-679F200442CB},
MZ390,Riverside Dr. & W 104 St,69,NYCPARKS,,,,10025,1319.03282166,,S,{1BC0A4AB-C9AD-45AD-847D-B730990DD65D},,
QZ999,Jackson Avenue Medians,37,NYCPARKS,,,,11101,1309.6741333,,S,,{2EE8A1F0-A548-4759-B9B2-EE6AE8AA98FF},
QZ114,Greenstreet,35,NYCPARKS,Type 1,,,11369,3383.61790466,,S,,{3ECE85C0-23BC-4BEB-9E8F-8515F5214648},
QZ907,Greenstreet,25,NYCPARKS,,,,11365,929.138473511,,S,,{C8E77A5C-82C1-4378-B475-2E22921DFA0E},
QZ239,Greenstreet,35,NYCPARKS,Type 2 Greenstreet,,,11369,1391.81155396,,S,,{53F25638-8C67-43EC-A436-6D5C9A75A8C7},
XZ404,Chatterton Triangle,87,NYCPARKS,Type 1,,,10462,5610.46513367,,S,,{CAEA64D3-9CE7-48BB-A9CB-F175D87B9F04},
QZ371,Greenstreet,25,NYCPARKS,Type 2,,,11364,3081.4460907,,S,,{3205F3FF-3F92-411E-A919-AF476B13CB7C},
MZ128,Greenstreet-Schiff Malls,65,NYCPARKS,Type 1 Greenstreet,,,10002,1295.21087646,,S,,{F03DC295-35F7-4D1F-8A16-C1EF62C16A1D},
QZ789,B147 btw Dead End (beach entrance) to Newport,23,NYCPARKS,,,,11694,4361.78521729,,S,,{B5B167C2-1EE4-4311-85E5-D4277C8D45F7},
QZ622,Greenstreet,26,NYCPARKS,Type 1,,,11040,4570.33308411,,S,,{AE5987A7-0D08-4857-BF3B-35EDB3F093E2},
QZ778,Greenstreet,25,NYCPARKS,Type 1 Greenstreet,,,11365,2235.05056763,,S,,{0A6C6645-E51F-40A5-A422-52F461327AB6},
QZ297,Greenstreet,38,NYCPARKS,Type 1,,,11385,1532.90692139,,S,,{270B98FE-2FC3-499F-AFBF-1C0FA31E8202},
MZ162,Greenstreet,70,NYCPARKS,Type 2 Greenstreet,,,10026,1109.12522888,,S,{99D8B83C-7F00-43D2-A705-3F9AF00FC2B0},,
