unique_key,location,incident_address,intersection_street_1,borough,x_coordinate_state_plane,due_date
53921574,"{'type': 'Point', 'coordinates': [-73.985294014663, 40.727594000864]}",EAST    8 STREET,EAST    8 STREET,MANHATTAN,988326.0,
53917923,"{'type': 'Point', 'coordinates': [-73.982146781167, 40.731718923528]}",240 1 AVENUE,,MANHATTAN,989198.0,
53921698,"{'type': 'Point', 'coordinates': [-73.994827460697, 40.664950995049]}",145 18 STREET,3 AVENUE,BROOKLYN,985685.0,
53918712,"{'type': 'Point', 'coordinates': [-73.903926764784, 40.82077718438]}",861 TINTON AVENUE,EAST  160 STREET,BRONX,1010841.0,
53918749,"{'type': 'Point', 'coordinates': [-74.014906471867, 40.623849740943]}",981 76 STREET,FT HAMILTON PARKWAY,BROOKLYN,980112.0,
53923194,"{'type': 'Point', 'coordinates': [-73.949171198018, 40.680376502763]}",1297 FULTON STREET,NOSTRAND AVENUE,BROOKLYN,998348.0,
53919792,"{'type': 'Point', 'coordinates': [-73.98422486572, 40.671685712729]}",364 5 AVENUE,,BROOKLYN,988626.0,
53924321,"{'type': 'Point', 'coordinates': [-73.946788559964, 40.779123499644]}",424 EAST   90 STREET,,MANHATTAN,998987.0,
53923440,"{'type': 'Point', 'coordinates': [-73.962434418594, 40.758980523916]}",1 AVENUE,1 AVENUE,MANHATTAN,994657.0,
53916679,"{'type': 'Point', 'coordinates': [-73.740894175668, 40.720389337671]}",93-06 216 STREET,93 AVENUE,QUEENS,1056073.0,
53917970,"{'type': 'Point', 'coordinates': [-73.8531080436, 40.885454799228]}",960 EAST  225 STREET,,BRONX,1024867.0,
53920221,"{'type': 'Point', 'coordinates': [-73.803637392701, 40.768005970685]}",161-16 33 AVENUE,,QUEENS,1038642.0,
53923212,"{'type': 'Point', 'coordinates': [-73.918490351888, 40.688376340853]}",1103 PUTNAM AVENUE,BROADWAY,BROOKLYN,1006855.0,
53918629,"{'type': 'Point', 'coordinates': [-73.958013449092, 40.717552447982]}",191 BEDFORD AVENUE,,BROOKLYN,995889.0,
53924381,"{'type': 'Point', 'coordinates': [-73.901777755098, 40.702789798649]}",58-11 68 ROAD,WOODWARD AVENUE,QUEENS,1011484.0,
53917830,"{'type': 'Point', 'coordinates': [-73.893402981054, 40.745792728711]}",40-51 72 STREET,FLUSHING LINE,QUEENS,1013787.0,
53921096,"{'type': 'Point', 'coordinates': [-73.948533492737, 40.6517646509]}",307 MARTENSE STREET,FAIRVIEW PLACE,BROOKLYN,998531.0,
53923701,"{'type': 'Point', 'coordinates': [-73.984999418418, 40.577761840165]}",2850 WEST   17 STREET,CROPSEY AVENUE,BROOKLYN,988417.0,
53922658,"{'type': 'Point', 'coordinates': [-73.988765877879, 40.721544946525]}",82 STANTON STREET,ALLEN STREET,MANHATTAN,987364.0,
53924187,"{'type': 'Point', 'coordinates': [-73.935659980165, 40.697206165985]}",,,BROOKLYN,1002091.0,
53919849,"{'type': 'Point', 'coordinates': [-74.140142081756, 40.632567841874]}",133 BLACKFORD AVENUE,TREADWELL AVENUE,STATEN ISLAND,945352.0,
53920095,"{'type': 'Point', 'coordinates': [-73.848621212073, 40.680010928801]}",90-04 LIBERTY AVENUE,90 STREET,QUEENS,1026237.0,
53923158,"{'type': 'Point', 'coordinates': [-74.008718780504, 40.742762117331]}",15 11 AVENUE,JOE DIMAGGIO HIGHWAY,MANHATTAN,981834.0,
53919679,"{'type': 'Point', 'coordinates': [-73.851908711784, 40.691647564041]}",91-48 88 ROAD,,QUEENS,1025318.0,
53928932,"{'type': 'Point', 'coordinates': [-73.89945082632, 40.815618782761]}",730 BECK STREET,,BRONX,1012082.0,
53916387,"{'type': 'Point', 'coordinates': [-73.943367758853, 40.670423982261]}",1001 LINCOLN PLACE,,BROOKLYN,999960.0,
53917379,"{'type': 'Point', 'coordinates': [-73.987118943662, 40.768501949904]}",448 WEST   57 STREET,,MANHATTAN,987818.0,
53921510,"{'type': 'Point', 'coordinates': [-74.035824355647, 40.635614781966]}",42 72 STREET,72 COURT,BROOKLYN,974307.0,
53916867,"{'type': 'Point', 'coordinates': [-73.967611143908, 40.787659122774]}",295 CENTRAL PARK WEST,,MANHATTAN,993219.0,
53918706,"{'type': 'Point', 'coordinates': [-73.976409303453, 40.784060169649]}",173 WEST   81 STREET,COLUMBUS AVENUE,MANHATTAN,990783.0,
53919223,"{'type': 'Point', 'coordinates': [-73.930701509472, 40.703958158785]}",1041 FLUSHING AVENUE,MORGAN AVENUE,BROOKLYN,1003464.0,
53916260,"{'type': 'Point', 'coordinates': [-73.991551172528, 40.691402186219]}",80 COURT STREET,LIVINGSTON STREET,BROOKLYN,986593.0,
53922545,"{'type': 'Point', 'coordinates': [-73.876292560078, 40.757704304284]}",32-42 92 STREET,32 AVENUE,QUEENS,1018522.0,
53923352,"{'type': 'Point', 'coordinates': [-73.986762262671, 40.601389296465]}",2417 82 STREET,24 AVENUE,BROOKLYN,987926.0,
53921017,"{'type': 'Point', 'coordinates': [-73.963427231464, 40.646928553451]}",1701 ALBEMARLE ROAD,EAST   17 STREET,BROOKLYN,994399.0,
53923705,"{'type': 'Point', 'coordinates': [-73.91952109186, 40.865074995613]}",515 WEST  207 STREET,WALTHER DELGADO WAY,MANHATTAN,1006510.0,
53918295,"{'type': 'Point', 'coordinates': [-73.946093182758, 40.812957452602]}",200 WEST  131 STREET,ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN,999172.0,
53919162,"{'type': 'Point', 'coordinates': [-73.823768373903, 40.826358620808]}",720 REVERE AVENUE,BILL TWOMEY PLACE,BRONX,1033023.0,
53920264,"{'type': 'Point', 'coordinates': [-73.923789984736, 40.824848716254]}",780 GRAND CONCOURSE,EAST  156 STREET,BRONX,1005342.0,
53916277,"{'type': 'Point', 'coordinates': [-73.92897158905, 40.831387191332]}",951 WOODYCREST AVENUE,WEST  162 STREET,BRONX,1003906.0,
53919199,"{'type': 'Point', 'coordinates': [-73.879254112544, 40.834425424267]}",BRONX RIVER AVENUE,BRONX RIVER AVENUE,BRONX,1017663.0,
53922694,"{'type': 'Point', 'coordinates': [-73.863629748255, 40.660931518566]}",12720 FLATLANDS AVENUE,CRESCENT STREET,BROOKLYN,1022085.0,
53918822,"{'type': 'Point', 'coordinates': [-73.92214949332, 40.679771266614]}",272 RALPH AVENUE,MARION STREET,BROOKLYN,1005843.0,
53917210,"{'type': 'Point', 'coordinates': [-73.825073117709, 40.734140069231]}",144-18 MELBOURNE AVENUE,MAIN STREET,QUEENS,1032729.0,
53923539,"{'type': 'Point', 'coordinates': [-73.930814934902, 40.73715060646]}",,GREENPOINT AVENUE,QUEENS,1003423.0,
53921639,"{'type': 'Point', 'coordinates': [-73.918413610612, 40.783512205171]}",21-31 SHORE BOULEVARD,21 ROAD,QUEENS,1006844.0,
53920564,"{'type': 'Point', 'coordinates': [-73.920692372118, 40.843947082354]}",115 WEST  172 STREET,SHAKESPEARE AVENUE,BRONX,1006193.0,
53916700,"{'type': 'Point', 'coordinates': [-73.877760576225, 40.874340090571]}",WHALEN PLAYGROUND,WHALEN PLAYGROUND,BRONX,1018056.0,
