school_name,q24_how_satisfied_are_you,q11_i_trust_the_principal_1,q8_i_feel_respected_by_my_1,q21_since_the_beginning_of,q18_the_principal_school,q2_teachers_work_closely,q19_the_principal_school_1,q13_my_child_s_teachers_think,q9_my_child_s_race_ethnicity_1,q4_i_feel_respected_by_my_1,q7_my_child_s_school,q22_since_the_beginning_of,q29_during_the_school_year_1,q26_how_satisfied_are_you,q40_if_you_are_a_parent_1,q37_if_you_are_a_parent_1,q6_my_child_s_school_1,q20_the_principal_school_1,q33_if_you_are_a_parent_1,q8_i_feel_respected_by_my,q35_if_you_are_a_parent_1,q32_if_you_are_a_parent_1,q19_the_principal_school,q1_school_staff_regularly,q32_if_you_are_a_parent,q28_how_satisfied_are_you_1,q42_if_you_are_a_parent,q42_if_you_are_a_parent_1
Brooklyn Arbor Elementary School,97%,4%,3%,95%,93%,95%,3%,97%,2%,2%,99%,94%,19%,98%,0%,7%,1%,3%,4%,97%,0%,7%,97%,94%,93%,,100%,0%
M.S. 255 Salk School Of Science,95%,1%,3%,84%,96%,88%,2%,95%,2%,2%,98%,86%,11%,97%,0%,23%,1%,2%,0%,97%,0%,0%,98%,92%,0%,,0%,0%
P.S. 180 Hugo Newman,91%,4%,4%,94%,86%,85%,5%,92%,5%,7%,99%,93%,12%,92%,22%,7%,3%,6%,12%,96%,0%,12%,95%,83%,88%,,78%,22%
Bronx Leadership Academy High School,100%,0%,0%,80%,,100%,0%,100%,0%,0%,100%,100%,0%,,0%,,0%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
Bronx School Of Law And Finance,86%,12%,12%,86%,100%,88%,0%,,0%,12%,100%,86%,43%,83%,0%,,0%,,0%,88%,14%,0%,100%,88%,0%,,0%,0%
The Highbridge Green School,100%,2%,1%,92%,98%,95%,2%,96%,1%,1%,99%,89%,32%,100%,0%,0%,2%,3%,0%,99%,0%,0%,98%,95%,0%,,0%,0%
Fordham Leadership Academy,98%,5%,3%,89%,95%,94%,5%,97%,4%,2%,98%,82%,42%,98%,0%,6%,3%,4%,0%,97%,9%,0%,95%,96%,0%,,0%,0%
P.S. 033 Chelsea Prep,95%,6%,6%,86%,91%,86%,1%,90%,5%,4%,99%,93%,16%,92%,,,0%,3%,10%,94%,0%,21%,99%,84%,79%,,,
Madiba Prep Middle School,,,,,,,,,,,,,,,0%,,,,0%,,0%,0%,,,0%,,0%,0%
Brooklyn High School For Leadership And Community Service,100%,0%,0%,94%,100%,94%,0%,92%,0%,0%,100%,81%,29%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
Manhattan Center For Science And Mathematics,96%,9%,6%,64%,91%,85%,6%,95%,2%,2%,97%,82%,51%,97%,0%,3%,4%,8%,0%,94%,7%,0%,94%,87%,0%,,0%,0%
The Christa Mcauliffe School\I.S. 187,97%,1%,2%,77%,98%,88%,2%,95%,3%,3%,99%,90%,31%,95%,0%,17%,2%,3%,0%,98%,0%,0%,98%,91%,0%,,0%,0%
Chelsea Career And Technical Education High School,93%,7%,3%,80%,95%,84%,4%,96%,3%,4%,97%,83%,39%,90%,0%,0%,2%,7%,0%,97%,7%,0%,96%,85%,0%,,0%,0%
P.S. 041 Greenwich Village,90%,6%,8%,93%,86%,91%,8%,90%,6%,6%,97%,93%,11%,92%,,0%,2%,9%,9%,92%,0%,8%,92%,95%,92%,,,
P.S. 261 Philip Livingston,94%,6%,4%,87%,87%,85%,4%,94%,2%,3%,96%,91%,15%,95%,0%,15%,2%,5%,7%,96%,0%,26%,96%,84%,74%,,100%,0%
P.S. 169 Sunset Park,98%,3%,2%,89%,98%,96%,2%,98%,3%,1%,99%,86%,58%,98%,0%,3%,1%,1%,3%,98%,0%,9%,98%,96%,91%,,0%,0%
The Urban Assembly School For Collaborative Healthcare,100%,6%,6%,81%,89%,84%,7%,89%,6%,3%,94%,81%,25%,100%,0%,,6%,10%,0%,94%,3%,0%,93%,94%,0%,,0%,0%
P.S. 092 Adrian Hegeman,100%,0%,0%,100%,100%,86%,0%,100%,0%,0%,100%,100%,0%,71%,,,0%,0%,0%,100%,0%,0%,100%,100%,100%,,,
P.S. 306,100%,0%,7%,93%,100%,93%,0%,87%,0%,0%,100%,93%,27%,93%,0%,0%,0%,0%,8%,93%,0%,0%,100%,93%,100%,,0%,0%
Bronx Early College Academy For Teaching & Learning,100%,7%,3%,84%,90%,99%,6%,99%,0%,1%,99%,81%,36%,100%,0%,0%,1%,7%,0%,97%,10%,0%,94%,94%,0%,,0%,0%
Richard R. Green High School Of Teaching,100%,3%,0%,79%,90%,95%,5%,100%,8%,0%,100%,82%,54%,100%,0%,0%,0%,8%,0%,100%,3%,0%,95%,95%,0%,,0%,0%
P.S. 071 Rose E. Scala,94%,7%,6%,95%,95%,93%,4%,96%,6%,3%,96%,96%,31%,93%,0%,12%,4%,6%,7%,94%,0%,5%,96%,91%,95%,,0%,0%
Young Voices Academy Of The Bronx,97%,4%,4%,94%,95%,92%,3%,97%,2%,2%,97%,95%,19%,96%,0%,5%,3%,5%,5%,96%,0%,6%,97%,93%,94%,,95%,5%
The School For Future Leaders,98%,1%,1%,91%,98%,97%,1%,99%,2%,1%,99%,94%,21%,99%,0%,5%,1%,2%,1%,99%,0%,2%,99%,98%,98%,,0%,0%
P.S. 140 Nathan Straus,85%,7%,7%,93%,87%,93%,23%,82%,0%,11%,93%,93%,37%,96%,0%,0%,4%,22%,56%,93%,0%,22%,77%,89%,78%,,0%,0%
"School Of Math, Science, And Healthy Living",97%,2%,2%,93%,97%,97%,3%,98%,1%,1%,98%,92%,16%,97%,0%,2%,2%,3%,2%,98%,0%,3%,97%,96%,97%,,0%,0%
P.S. 153 Homecrest,96%,4%,3%,89%,94%,94%,6%,96%,3%,2%,97%,89%,19%,96%,0%,0%,3%,8%,7%,97%,0%,9%,94%,94%,91%,,88%,12%
"Elementary School For Math, Science, And Technology",96%,5%,6%,88%,93%,91%,9%,92%,7%,6%,94%,81%,23%,95%,0%,13%,6%,8%,4%,94%,0%,11%,91%,91%,89%,,0%,0%
Archer Elementary School,96%,4%,4%,95%,95%,91%,5%,96%,4%,3%,96%,87%,30%,96%,,6%,5%,5%,6%,96%,0%,5%,95%,92%,95%,,,
P.S. 189,99%,1%,1%,97%,98%,96%,1%,99%,2%,2%,98%,97%,10%,96%,0%,9%,1%,2%,4%,99%,0%,3%,99%,97%,97%,,100%,0%
P.S. 038 The Pacific,96%,2%,2%,95%,98%,94%,0%,96%,2%,2%,97%,89%,11%,97%,0%,0%,3%,0%,4%,98%,0%,7%,100%,92%,93%,,100%,0%
P.S. 185 Walter Kassenbrock,94%,7%,7%,93%,91%,90%,6%,94%,5%,4%,95%,95%,23%,95%,0%,15%,5%,6%,4%,93%,0%,4%,94%,90%,96%,,0%,0%
Paula Hedbavny School,95%,5%,2%,98%,94%,93%,4%,91%,3%,3%,95%,92%,11%,93%,0%,17%,5%,4%,9%,98%,0%,7%,96%,92%,93%,,0%,0%
Academy For Conservation And The Environment,100%,0%,0%,73%,100%,100%,0%,100%,0%,0%,100%,78%,26%,100%,0%,5%,0%,0%,0%,100%,1%,0%,100%,100%,0%,,0%,0%
Academy Of Applied Mathematics And Technology,98%,4%,4%,95%,100%,91%,0%,94%,0%,0%,95%,87%,20%,95%,0%,0%,4%,6%,0%,96%,0%,0%,100%,89%,0%,,0%,0%
High School Of Telecommunication Arts And Technology,94%,3%,3%,62%,93%,79%,3%,92%,4%,4%,91%,80%,36%,94%,0%,15%,7%,9%,0%,97%,13%,0%,97%,88%,0%,,0%,0%
Nelson Mandela High School,93%,7%,7%,93%,93%,93%,7%,93%,7%,7%,93%,100%,40%,100%,0%,20%,7%,8%,0%,93%,13%,0%,93%,93%,0%,,0%,0%
P.S. 179,95%,5%,5%,100%,89%,90%,5%,94%,10%,10%,95%,95%,14%,100%,0%,0%,5%,5%,8%,95%,0%,0%,95%,95%,100%,,100%,0%
