name_prog1,swdseats_prog10,bbl,geappsperseat_prog2,code_prog6,priority3_prog1,priority2_prog2,geappsperseat_prog3,name_prog4,othersports,priority4_prog2,bus,gefilled_prog14,geseats_prog1,swdapps_prog2,swdappsperseat_prog3,url,priority2_prog1,swdseats_prog12,community_board,geapps_prog7,swdapps_prog5,priority3_prog2,geseats_prog11,admissionsmethod_prog14,gefilled_prog1,geapps_prog10,swdappsperseat_prog10,geappsperseat_prog7,swdappsperseat_prog11,priority2_prog7,geappsperseat_prog10,priority1_prog8,code_prog13,geseats_prog14,admissionsmethod_prog9,nta,swdseats_prog15,swdseats_prog3,geseats_prog12,geseats_prog8,swdfilled_prog15,priority2_prog6
Elijah Stroud Middle School,,3011670018.0,,,Then to District 17 students and residents,,,,"Basketball, Cheerleading, Dance, Fitness Club, Track and Field, Yoga",,"B25, B41, B44-SBS, B45, B48, B49, B65, B69",,82.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10890'},Then to residents of the middle school zone,,308.0,,,,,,N,,,,,,,,,,,Prospect Heights,,,,,,
Rockwood Park (P.S. 207),,4140090060.0,,,,,,,Basketball,,"Q21, Q41, Q52, Q53, QM15, QM16, QM17",,48.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12171'},Then to residents of the elementary school zone,,410.0,,,,,,Y,,,,,,,,,,,Lindenwood-Howard Beach,,,,,,
Juniper Valley (P.S. 128),,4030270037.0,,,,,,,Basketball,,"Q38, Q54, Q67, QM24, QM25, QM34",,97.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11750'},Then to residents of the middle school zone,,405.0,,,,,,N,,,,,,,,,,,Middle Village,,,,,,
Washington Heights Academy,,1022260041.0,,,,,,,"Basketball, Dance, Track and Field, Volleyball",,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100",,49.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9519'},Then to District 6 students and residents,,112.0,,,,,,Y,,,,,,,,,,,Marble Hill-Inwood,,,,,,
P.S./I.S. 127 Spanish Dual Language Program,,4011090016.0,1.0,,,Then to residents of the elementary school zone,,,Basketball,,"M60-SBS, Q19, Q23, Q33, Q48, Q49, Q72",,25.0,24.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12610'},Then to Queens students and residents,,403.0,,,,,,Y,,,,,,,,,,,East Elmhurst,,,,,,
Academy of Medical Technology,,4157360001.0,,,,,,,"Basketball, Double Dutch, Soccer, Swimming, Track and Field",,"Q114, Q22, QM17",,73.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12202'},,,414.0,,,,,,Y,,,,,,,,,,,Far Rockaway-Bayswater,,,,,,
"Archimedes Academy for Math, Science and Technology Applications",,2034780018.0,,,,,,,"Dance, Running Club",,"Bx22, Bx27, Bx36, Bx39, Bx5",,75.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9755'},Then to Bronx students and residents,,209.0,,,,,,Y,,,,,,,,,,,Soundview-Castle Hill-Clason Point-Harding Park,,,,,,
The Lab School (P.S. 315),,2032500073.0,,,Then to Bronx students and residents,,,,"Basketball, Fitness Club, Volleyball",,"Bx1, Bx12, Bx12-SBS, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx42, BxM3, BxM4",,24.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10112'},Then to District 10 students and residents,,208.0,,,,,,Y,,,,,,,,,,,Van Cortlandt Village,,,,,,
Spanish Dual Language Program,,5001000100.0,5.0,,,,1.0,,"Basketball, Cheerleading, Dance, Step",,"S42, S44, S46, S48, S94, S96, S98, X30",,22.0,106.0,1.0,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12837'},,,501.0,,,,,,N,,,,,,,,,,,New Brighton-Silver Lake,,54.0,,,,
Spanish Dual Language Program,,1020840129.0,,,,,,,Basketball,,"Bx19, Bx6, M10, M100, M101, M11, M2, M3, M4, M5",,49.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9496'},Then to District 6 students and residents,,109.0,,,,,,N,,,,,,,,,,,Hamilton Heights,,,,,,
