ela_l3_l4_2,ell_russian_2,black_1,ela_level_4_1,math_level_4_1,ela_test_takers,math_level_1_2,grade_7,male_1,school_name,other_1,ell_urdu_1,math_level_3_1,ell_urdu_2,grade_2,ell_arabic_2
,,s,,,,,,s,P.S. 028 Wright Brothers,s,,,,s,
,,s,,,,,,s,P.S. 111 Adolph S. Ochs,s,,,,,
s,,s,s,s,40,0.375,7,33,P.S. 161 Pedro Albizu Campos,s,,s,,17,
s,,s,s,s,s,s,,s,P.S. 098 Shorac Kappock,s,,s,,s,
s,,s,s,s,8,s,,32,P.S. 089 Elmhurst,s,,s,,11,
0.8210526315789474,,37,43,61,95,s,,63,P.S. 182,s,,22,,28,
s,,s,s,s,s,s,,s,P.S. 024,s,,s,,s,
s,,s,s,s,28,0.8666666666666667,18,13,I.S. 051 Edwin Markham,s,,s,,,
s,,s,s,s,21,0.7142857142857143,,35,P.S. 197 The Ocean School,s,,s,,11,
s,,s,s,s,48,0.75,,74,Lucero Elementary School,s,,s,,27,
s,,s,s,s,s,s,,s,P.S. 046 Edward C. Blum,s,,s,,s,
s,,s,s,s,7,0.8571428571428571,,12,P.S. 024,s,,s,,s,
s,,s,s,s,s,s,,s,P.S. 163 Flushing Heights,s,,s,,s,
s,s,s,s,s,12,s,,22,P.S. 022 Graniteville,s,s,s,s,,s
0.9285714285714286,,s,s,13,14,s,,38,P.S. 164 Caesar Rodney,s,,s,,19,
s,,s,s,s,s,s,,s,P.S. 020 Anna Silver,s,,s,,,
s,,s,s,s,s,s,,s,P.S. 204 Morris Heights,s,,s,,s,
s,,s,s,s,s,s,,s,P.S. 249 The Caton,s,,s,,s,
,,s,,,,,,s,P.S. 112 Jose Celso Barbosa,s,,,,s,
s,s,s,s,s,s,s,,s,P.S. 011 William T. Harris,s,s,s,s,,s
s,,s,s,s,s,s,,13,P.S. 133 William A. Butler,s,,s,,s,
s,,s,s,s,6,s,,s,P.S. 084 Jose De Diego,s,,s,,,
,,s,,,,,,6,The Bilingual Bicultural School,s,,,,,
s,,s,s,s,s,s,,s,J.H.S. 218 James P. Sinnott,s,,s,,,
s,,s,s,s,s,s,,s,P.S. 282 Park Slope,s,,s,,,
,,s,,,,,,s,P.S. 038 The Pacific,s,,,,,
