address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
61-15 43 Ave,Multifamily Housing,8997555.8,Not Available,Not Applicable: Standalone Property,No,244,Not Available,3435.8,Not Available,Not Available,Not Available,-10.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,249.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,Not Available,Not Available,Not Available,9.8,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,102.68,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,85568,Not Available,Not Available,Ok
8901 Shore Road,Multifamily Housing,11783126.3,2016-03-30,Not Applicable: Standalone Property,No,501,No,3999.8,Not Available,Not Available,Not Available,55.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.82882,52,Not Available,Not Available,6940183.4,Not Available,Not Available,7.3,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,52,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,62740,3999.8,Not Available,Ok
125 Maiden Lane,"Office, Other, Retail Store",Not Available,2016-03-02,Not Applicable: Standalone Property,No,1520.1,Not Available,4086.4,Not Available,Not Available,Not Available,-37.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1502.0,1.84125,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.1,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,2010,2015-12-31T00:00:00.000,No,100,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,316008,4086.4,Not Available,Ok
160 Central Park South,Hotel,149631256.4,Not Available,Not Applicable: Standalone Property,No,5059,Not Available,52037,Not Available,Not Available,Not Available,926.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42444599.7,Not Available,Not Available,13.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Hotel,Not Available,Not Available,100,723209,52132,Not Available,Ok
130-136 W 142nd St,Multifamily Housing,7617683,2016-03-23,Not Applicable: Standalone Property,No,310.3,Not Available,4093.4,Not Available,Not Available,Not Available,-6.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,230.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.10622,0,Not Available,Not Available,4333310.7,Not Available,Not Available,5,Not Available,Not Available,Not Available,No,Not Available,1.10622,Not Available,61,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,55143,4093.4,Not Available,Ok
65-24 162nd Street,"Multifamily Housing, Parking",40870825.9,Not Available,4442836,No,1096.4,Not Available,Not Available,Not Available,Not Available,Not Available,-5.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122701.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.6304,184,Not Available,Not Available,484484.7,Not Available,Not Available,12.9,Not Available,30000,Not Available,No,Not Available,0,0,184,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Fifth Housing Company Inc,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,291876,Not Available,Not Available,Ok
3155 Grace Avenue,"Parking, Senior Care Community",48985620.3,2016-03-21,Not Applicable: Standalone Property,No,1625.4,No,19227.9,Not Available,Not Available,Not Available,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,46202.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13064900.5,Not Available,Not Available,14.2,Not Available,15200,Not Available,No,Not Available,Not Available,9600,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Senior Care Community,Not Available,Not Available,Not Available,232000,Not Available,Not Available,Ok
"560 W. 42nd,","Distribution Center, Office",11350115.5,Not Available,Not Applicable: Standalone Property,No,349.6,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,0.87943,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1934758.1,Not Available,Not Available,9.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,80193,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Distribution Center,Not Available,Not Available,Not Available,91564,Not Available,Not Available,Ok
320 E176th Street,Multifamily Housing,9400261.6,2016-03-27,Not Applicable: Standalone Property,No,512.6,Not Available,10924.1,Not Available,Not Available,Not Available,-15.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5247512.8,Not Available,Not Available,Not Available,231.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.94319,0,Not Available,Not Available,418320.8,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,No,Not Available,0.94319,Not Available,75,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,79517,10924.1,Not Available,Ok
1024 Montgomery street,Multifamily Housing,23105157.9,2016-03-27,Not Applicable: Standalone Property,No,899.8,No,0,Not Available,Not Available,Not Available,18.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,355.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.67022,0,Not Available,Not Available,2756436.9,Not Available,Not Available,9.5,Not Available,Not Available,Not Available,No,Not Available,0.67022,Not Available,104,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,155172,0,Not Available,Ok
31-74 29th Street,Multifamily Housing,9905090.9,Not Available,Not Applicable: Standalone Property,No,416,Not Available,2868,Not Available,Not Available,Not Available,-23.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.96846,0,Not Available,Not Available,6201373.2,Not Available,Not Available,3.2,Not Available,Not Available,Not Available,Yes,Not Available,0.96846,Not Available,91,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,93964,2868,Not Available,Ok
58-31 251 Street,"Multifamily Housing, Parking",7994318.8,2016-03-22,Not Applicable: Standalone Property,No,327.1,Not Available,Not Available,Not Available,Not Available,Not Available,21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,152902.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.18496,0,Not Available,Not Available,4635848,Not Available,Not Available,5.8,Not Available,3748,Not Available,No,Not Available,0,3748,58,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,48947,283727,Not Available,Ok
395 Ocean Ave,Multifamily Housing,10831586.8,2016-03-03,Not Applicable: Standalone Property,No,447.3,Not Available,6223.5,Not Available,Not Available,Not Available,-25.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50803.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.83852,0,Not Available,Not Available,6285192.4,Not Available,Not Available,3.3,Not Available,Not Available,Not Available,Yes,Not Available,0.83852,Not Available,98,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,116873,6223.5,Not Available,Ok
961 Eastern Pkwy,Multifamily Housing,9723345.7,Not Available,Not Applicable: Standalone Property,No,380.8,Not Available,7360.8,Not Available,Not Available,Not Available,-14.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,353.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.96023,0,Not Available,Not Available,4872624.7,Not Available,Not Available,4.7,Not Available,Not Available,Not Available,No,Not Available,0.96023,Not Available,86,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,89562,7360.8,Not Available,Ok
246-25 57 Drive,Multifamily Housing,7675592.2,2016-03-24,Not Applicable: Standalone Property,No,409.7,No,345714.2,Not Available,Not Available,Not Available,9.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,152901.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.11995,0,Not Available,Not Available,Not Available,Not Available,Not Available,6.1,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,60,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,53574,345714.2,Not Available,Ok
128-148 Seaman Avenue,Multifamily Housing,9993373.9,Not Available,Not Applicable: Standalone Property,No,472.6,Not Available,Not Available,Not Available,Not Available,Not Available,-41.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,295.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.36211,0,Not Available,Not Available,Not Available,Not Available,Not Available,5.1,Not Available,Not Available,Not Available,Yes,Not Available,1.36211,Not Available,142,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,104250,Not Available,Not Available,Ok
208 East Broadway,"Multifamily Housing, Retail Store, Supermarket/Grocery Store",173422557.6,2016-03-31,Not Applicable: Standalone Property,No,6629,Not Available,Not Available,Not Available,Not Available,Not Available,-19.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1401.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,0.85478,864,13000,Not Available,80165271.9,Not Available,Not Available,7.8,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,864,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,6,No,0.06444,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,1070347,Not Available,Not Available,Ok
1349 Stratford Avenue,Multifamily Housing,6162593.6,Not Available,Not Applicable: Standalone Property,No,298.6,No,8542.9,Not Available,Not Available,Not Available,-30.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.03004,0,Not Available,Not Available,362600,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,Yes,Not Available,0.34335,Not Available,72,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,69900,8542.9,Not Available,Ok
1047 Amsterdam Avenue,Worship Facility,46329236.9,2016-03-24,Not Applicable: Standalone Property,No,2307.9,Not Available,Not Available,Not Available,Not Available,Not Available,118.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19701.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1418853.3,Not Available,Not Available,8.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Worship Facility,Not Available,Not Available,Not Available,241550,Not Available,Not Available,Ok
95 Horatio Street,Multifamily Housing,48895380.7,2016-03-24,Not Applicable: Standalone Property,No,1700.1,Not Available,15175,Not Available,Not Available,Not Available,14.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.73898,265,Not Available,Not Available,12486123.5,Not Available,Not Available,8.8,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,265,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,358600,15175,Not Available,Ok
65-52 160th Street,"Multifamily Housing, Parking",68973233.2,Not Available,4440047,No,2049.9,Not Available,Not Available,Not Available,Not Available,Not Available,-36.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122701.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.07755,0,Not Available,Not Available,6179974.9,Not Available,Not Available,7.9,Not Available,199400,Not Available,No,Not Available,1.02857,0,792,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Third Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,735000,Not Available,Not Available,Ok
5461 kings highway,Multifamily Housing,Not Available,Not Available,Not Applicable: Standalone Property,No,284.7,No,34410.4,Not Available,Not Available,Not Available,-26.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,946.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.91426,0,Not Available,Not Available,4056616.9,Not Available,Not Available,0.9,Not Available,Not Available,Not Available,No,Not Available,0.91426,Not Available,54,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,59064,34410.4,Not Available,Ok
120 WEST 86 STREET,Multifamily Housing,Not Available,2016-03-16,Not Applicable: Standalone Property,No,231.8,Not Available,2005.3,Not Available,Not Available,Not Available,-21.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,169.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.84775,49,Not Available,Not Available,2889383.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,49,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,57800,2005.3,Not Available,Ok
114  West  47th  st,"Financial Office, Office",86150059,Not Available,Not Applicable: Standalone Property,No,2767.6,Not Available,Not Available,Not Available,Not Available,Not Available,-39.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,125.0,1.24887,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11.8,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,84,"2015, 2010, 2008, 2006, 2005, 2003, 2002, 2001",2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Financial Office,Not Available,Not Available,Not Available,554498,Not Available,Not Available,Ok
45-40 Center Blvd,"Multifamily Housing, Restaurant",48183454.1,2016-03-24,Not Applicable: Standalone Property,No,1808.1,Not Available,Not Available,Not Available,Not Available,Not Available,17.3,Not Available,Not Available,Not Available,Not Available,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.11204,345,Not Available,Not Available,18141848.2,Not Available,Not Available,8.3,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,345,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,314525,Not Available,Not Available,Ok
159-21 / 159-25 71st  Ave.,Multifamily Housing,Not Available,Not Available,4442227,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.11429,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,39,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,First Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,35000,Not Available,Not Available,Ok
2387 Ocean Avenue,Multifamily Housing,9279658,2016-03-15,Not Applicable: Standalone Property,No,367.2,Not Available,4706.2,Not Available,Not Available,Not Available,2.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,560.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.92437,0,Not Available,Not Available,5046799.9,Not Available,Not Available,4.8,Not Available,Not Available,Not Available,No,Not Available,0.92437,Not Available,66,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,71400,4706.2,Not Available,Ok
10-20 Post Avenue,Multifamily Housing,8551645.3,Not Available,Not Applicable: Standalone Property,No,380.8,Not Available,0.7,Not Available,Not Available,Not Available,-31.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,291.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.05336,0,Not Available,Not Available,6145253.7,Not Available,Not Available,2.1,Not Available,Not Available,Not Available,Yes,Not Available,1.05336,Not Available,95,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,90188,Not Available,Not Available,Ok
60-22 Little Neck Parkway,"Multifamily Housing, Parking",5748464.7,2016-03-14,Not Applicable: Standalone Property,No,233.2,Not Available,Not Available,Not Available,Not Available,Not Available,31.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,152902.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.21788,0,Not Available,Not Available,3256465.5,Not Available,Not Available,6.3,Not Available,1520,Not Available,No,Not Available,0,1520,40,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,32844,Not Available,Not Available,Ok
151 East 50th Street,Hotel,9290017.4,2016-03-23,Not Applicable: Standalone Property,No,360.3,Not Available,Not Available,Not Available,Not Available,Not Available,-29.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1025999.9,Not Available,Not Available,Not Available,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1144540.2,Not Available,Not Available,16.5,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Hotel,Not Available,Not Available,100,36000,Not Available,Not Available,Ok
100 Woodruff Ave,Multifamily Housing,12213489.5,Not Available,Not Applicable: Standalone Property,No,526.7,Not Available,5221.1,Not Available,Not Available,Not Available,-8.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50804.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.82912,0,Not Available,Not Available,7907586.1,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,No,Not Available,0.82912,Not Available,90,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,108549,5221.1,Not Available,Ok
440-442 JACKSON AVENUE,Multifamily Housing,6963795.3,Not Available,Not Applicable: Standalone Property,No,286.8,Not Available,8274.4,Not Available,Not Available,Not Available,-18.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.76986,0,Not Available,Not Available,4097800.2,Not Available,Not Available,3.8,Not Available,Not Available,Not Available,No,Not Available,0.76986,Not Available,49,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,63648,8274.4,Not Available,Ok
15-29 159th St,"Multifamily Housing, Parking",4837343.5,2016-03-29,Not Applicable: Standalone Property,Yes,182.2,Not Available,Not Available,Not Available,Not Available,Not Available,21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1029.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.32558,0,Not Available,Not Available,2063337.4,Not Available,Not Available,12.1,Not Available,5713,Not Available,No,Not Available,0,3724,48,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,20640,Not Available,Not Available,Ok
116 w 32nd Street,"Office, Other",52299064.3,2016-03-23,Not Applicable: Standalone Property,No,1966.9,Not Available,Not Available,Not Available,Not Available,Not Available,-9.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,101.0,2.53221,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5401666.8,Not Available,Not Available,16.9,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,204417,Not Available,Not Available,Ok
474 Brooklyn Avenue,Multifamily Housing,7177220.2,2016-03-27,Not Applicable: Standalone Property,No,367,No,0,Not Available,Not Available,Not Available,-4.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,329.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.99163,0,Not Available,Not Available,1730135.3,Not Available,Not Available,4.3,Not Available,Not Available,Not Available,No,Not Available,0.99163,Not Available,54,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,54456,0,Not Available,Ok
15 West 39th Street,Multifamily Housing,8511589.1,Not Available,Not Applicable: Standalone Property,No,386.5,Not Available,6186.2,Not Available,Not Available,Not Available,14.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.03175,0,Not Available,Not Available,1326866.6,Not Available,Not Available,8.5,Not Available,Not Available,Not Available,No,Not Available,1.03175,Not Available,52,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,50400,6186.2,Not Available,Ok
