permitnumber,createdon,permitseriesshortdesc,applicationtypeshortdesc,permitpurposecomments,specificstipulations
M032025192A31,2025-07-11T07:53:53.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B012020296B28,2020-10-22T15:46:20.000,STREET OPENING PERMIT,Emergency,Gas Leak Repair,DP
B152025192A49,2025-07-11T09:33:56.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B042025191A14,2025-07-10T10:03:13.000,SIDEWALK CONSTRUCTION PERMIT,New,,IL.
B162025196A48,2025-07-15T11:36:12.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025196A44,2025-07-15T10:52:17.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025196A72,2025-07-15T17:26:34.000,MANHOLE EMBARGO PERMIT,New,759,
B162025192A64,2025-07-11T12:09:15.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A08,2025-07-11T08:26:19.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M162025191A36,2025-07-10T13:07:46.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025193A04,2025-07-12T14:25:48.000,MANHOLE EMBARGO PERMIT,New,759,
B162025192A99,2025-07-11T14:05:26.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A41,2025-07-10T10:40:17.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025192A04,2025-07-11T07:40:43.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B152025192B34,2025-07-11T10:18:19.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B022025191A42,2025-07-10T10:09:01.000,BUILDING OPERATION PERMIT,New,,JG--BNEC-24-284--USE STIP 011 DURING WORKING HOURS AND STIP 014 ALL OTHER TIMES.
B012025190C96,2025-07-09T16:00:23.000,STREET OPENING PERMIT,New,INSTALL ELECTRICAL CONDUIT AND POLE FOUNDATIONS E-711K,DP
M032025192A29,2025-07-11T07:51:45.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B012025193A00,2025-07-12T01:46:44.000,STREET OPENING PERMIT,Emergency,REPAIR LEAK,
B162025190A06,2025-07-09T09:01:16.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A77,2025-07-11T12:44:47.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025195A80,2025-07-14T15:41:22.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M012025191A18,2025-07-10T07:43:06.000,STREET OPENING PERMIT,Emergency,INVESTIGATING STREET LEAK,
B162025192A49,2025-07-11T10:39:14.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A26,2025-07-10T10:04:18.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025195A68,2025-07-14T13:50:20.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A02,2025-07-12T01:46:13.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A32,2025-07-12T17:38:10.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A63,2025-07-10T13:48:42.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
