property_name,data_center_it_site_energy,district_steam_use_kbtu,alert_energy_meter_has,estimated_data_flag_1,wastewater_treatment_plant,estimated_data_flag_fuel_2,direct_ghg_emissions_metric,address_1,data_center_pdu_output_meter,food_sales_gross_floor_area,primary_property_type,number_of_active_energy_meters_2,hospital_general_medical_9,longitude,percent_of_total_electricity,green_power_onsite_and_offsite,egrid_output_emissions_rate,electricity_use_grid_purchase_1,distribution_center_gross,generation_date,college_university_gross,community_board,reason_s_for_no_score,energy_star_certification_2,latitude,wholesale_club_supercenter,alert_energy_meter_has_gaps,office_percent_that_can_be_1,council_district,default_values,nta,data_center_ups_system,weather_normalized_site,natural_gas_use_therms,supermarket_grocery_number_1,indirect_ghg_emissions,medical_office_weekly,third_party_certification_1,multifamily_housing_number_3,electricity_use_grid_purchase_2,national_median_source_eui,weather_normalized_site_3,multifamily_housing_number_5,construction_status,largest_property_use_type_1,last_modified_date_electric,target_energy_star_score,automobile_dealership_gross,property_notes,ambulatory_surgical_center,manufacturing_industrial,data_center_pue,estimated_data_flag_natural,weather_normalized_site_1,office_number_of_computers,avoided_emissions_offsite,data_center_national_median,postal_code,parking_completely_enclosed,annual_maximum_demand_kw,estimated_data_flag,census_tract,movie_theater_gross_floor,hotel_gym_fitness_center,supermarket_grocery_number,diesel_2_use_kbtu,social_meeting_hall_gross,electricity_use_generated_1,restaurant_gross_floor_area,financial_office_gross_floor,multifamily_housing_number_1,financial_office_number_of_1,office_weekly_operating_hours,_2nd_largest_property_use,outpatient_rehabilitation,municipally_supplied_potable_3
DEPM 1000 - 1035 Fifth Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,604.8,1035 Fifth Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.961075,Not Available,0,84.5,884175.2,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.780612,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,3.5,113869.0274,Not Available,1.0,Not Available,Not Available,Not Available,884175.3,124.9,866475.8,0.32992,Existing,248545.0,03/01/2022 08:56 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10028,Not Available,Not Available,No,15001.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.98976,Not Available,Not Available,Not Available,Not Available,Not Available
Progressive - 2270 Kimball Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,2270 Kimball Street,Not Available,Not Available,Office,0,Not Available,-73.923653,Not Available,0,84.5,659403,Not Available,2022-09-22T00:00:00.000,Not Available,318.0,Not Available,Not Available,40.60728,Not Available,Ok,100,46.0,No,Georgetown-Marine Park-Bergen Beach-Mill Basin,Not Available,18,Not Available,Not Available,5.3,Not Available,Not Available,Not Available,659403,161.2,648578.1,Not Available,Existing,36000.0,03/03/2022 04:52 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72,0,Not Available,11234,Not Available,Not Available,No,662.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84,Not Available,Not Available,Not Available
Renaissance Realty - 493 Lincoln Place,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,493 Lincoln Place,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.959931,Not Available,0,84.5,136647.6,Not Available,2022-09-23T00:00:00.000,Not Available,308.0,Not Available,Not Available,40.67202,Not Available,Ok,Not Available,35.0,No,Crown Heights North,Not Available,5,Not Available,Not Available,1.5,Not Available,Not Available,Not Available,136647.6,114.7,132174.4,0,Existing,26640.0,03/03/2022 11:34 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,11238,Not Available,Not Available,No,217.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.87688,Not Available,Not Available,Not Available,Not Available,Not Available
320 East 35th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,109.9,320 East 35th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.974359,Not Available,0,84.5,151289.8,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.745002,Not Available,Ok,Not Available,2.0,Yes,Murray Hill-Kips Bay,Not Available,4.9,20693.65842,Not Available,1.5,Not Available,Not Available,6,151289.8,145.3,145606.4,0,Existing,30000.0,03/02/2022 03:22 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,10016,Not Available,Not Available,No,78.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.73333,Not Available,Not Available,Not Available,Not Available,Not Available
Muller Army,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,555 Nereid Avenue,Not Available,Not Available,Multifamily Housing,1,Not Available,-73.857923,Not Available,0,84.5,525263.9,Not Available,2022-09-23T00:00:00.000,Not Available,212.0,Not Available,Not Available,40.899871,Not Available,Ok,Not Available,11.0,Yes,Woodlawn-Wakefield,Not Available,11.2,Not Available,Not Available,3.0,Not Available,Not Available,Not Available,525263.9,129.2,570142.1,0,Existing,51070.0,05/27/2022 08:37 AM EDT,Not Available,Not Available,"""Number of Active Energy Meters – Total is greater than Number of Active Energy Meters - Used to Compute Metrics because owner accounts that represent a subset of aggregated accounts are also tracked in Portfolio Manager. Including these meters in metrics would double count energy use from this site.""",Not Available,Not Available,Not Available,No,Not Available,Not Available,0,Not Available,10470,Not Available,Not Available,No,414.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.76229,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 2584 - 40 East 80th St,Not Available,2465679.2,Ok,Not Available,Not Available,Not Available,5.8,40 East 80th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.961309,Not Available,0,84.5,1194641.4,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.77686,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,10.7,1093.675525,Not Available,4.6,Not Available,Not Available,8,1194642,119.6,1194641.4,0.36818,Existing,111360.0,03/07/2022 08:18 PM EST,Not Available,Not Available,1-01491-0048,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10075,Not Available,Not Available,No,142.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.98779,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 75-05 210 Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,605.5,75-05 210 Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.76257,Not Available,0,84.5,989083.6,Not Available,2022-09-22T00:00:00.000,Not Available,411.0,Not Available,Not Available,40.737045,Not Available,Ok,Not Available,23.0,No,Oakland Gardens,Not Available,4,113995.2682,Not Available,1.2,Not Available,Not Available,0,989083.7,117.2,964825.1,0,Existing,243396.0,05/14/2022 07:27 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,11364,Not Available,Not Available,No,129103.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.1093,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 2576 - 129 Lafayette Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,172.8,129 Lafayette Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-74.000094,Not Available,0,84.5,561652.8,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.718897,Not Available,Ok,Not Available,1.0,No,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,8.8,32532.97785,Not Available,2.6,Not Available,Not Available,0,561652.8,129.9,543520.3,0.43725,Existing,61750.0,03/07/2022 03:34 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10013,Not Available,Not Available,No,45.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.31174,Not Available,Not Available,Not Available,Not Available,Not Available
Progressive - 2271 Washington Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,296.3,2271 Washington Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.893398,Not Available,0,84.5,698002.8,Not Available,2022-09-22T00:00:00.000,Not Available,206.0,Not Available,Not Available,40.854954,Not Available,Ok,Not Available,15.0,No,Claremont-Bathgate,Not Available,6,55782.82975,Not Available,1.8,Not Available,Not Available,Not Available,698002.9,127.2,674318.2,1.08106,Existing,111927.0,03/03/2022 04:51 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10457,Not Available,Not Available,No,385.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.63499,Not Available,Not Available,Not Available,Not Available,Not Available
1150 Metropolitan Ave,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,3.6,1150 Metropolitan Ave,Not Available,Not Available,Non-Refrigerated Warehouse,0,Not Available,-73.930474,Not Available,0,84.5,5676.9,Not Available,2022-09-23T00:00:00.000,Not Available,301.0,Not Available,Not Available,40.71443,Not Available,Ok,Not Available,34.0,No,East Williamsburg,Not Available,0.1,686.0000069,Not Available,0.0,Not Available,Not Available,Not Available,5676.9,60.8,5676.9,Not Available,Existing,83600.0,05/13/2022 11:19 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,11237,Not Available,Not Available,No,449.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Astoria Blvd Property,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,56.4,36-16 Astoria Blvd.,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.913633,Not Available,0,84.5,176982.1,Not Available,2022-09-26T00:00:00.000,Not Available,401.0,Not Available,Not Available,40.769272,Not Available,Ok,Not Available,22.0,Yes,Astoria,Not Available,7,10625.27867,Not Available,2.0,Not Available,Not Available,6,176982.1,128.1,173893.6,0,Existing,25000.0,05/25/2022 05:12 PM EDT,75,Not Available,"There are gaps on 2 meters. I have emailed Con Edison. I am still waiting on them to fix it. 

Thank you",Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,11103,9146,Not Available,No,6502.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,Not Available,Not Available,Parking,Not Available,Not Available
AKAM - 46-20 11th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,72,46-20 11th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.950467,Not Available,0,84.5,418176.6,Not Available,2022-09-22T00:00:00.000,Not Available,402.0,Not Available,Not Available,40.745963,Not Available,Ok,Not Available,26.0,No,Hunters Point-Sunnyside-West Maspeth,Not Available,6.7,13563.77421,Not Available,1.9,Not Available,Not Available,Not Available,418176.7,137.6,426736.6,0,Existing,64168.0,03/01/2022 01:36 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.2,Not Available,0,Not Available,11101,Not Available,Not Available,No,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.9636,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - TV3 440 Neptune Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,600.5,440 Neptune Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.969188,Not Available,0,84.5,2432530.9,Not Available,2022-09-22T00:00:00.000,Not Available,313.0,Not Available,Not Available,40.580062,Not Available,Ok,Not Available,48.0,No,West Brighton,Not Available,3.7,113053.9964,Not Available,1.1,Not Available,Not Available,20,2432531,121.8,2288374.6,0.91548,Existing,624806.0,03/03/2022 01:24 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.2,Not Available,0,Not Available,11224,Not Available,Not Available,No,35602.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.37323,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 230 Ashland Place,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1184,230 Ashland Place,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.978437,Not Available,0,84.5,1104146.7,Not Available,2022-09-22T00:00:00.000,Not Available,302.0,Not Available,Not Available,40.688425,Not Available,Ok,Not Available,35.0,No,Fort Greene,Not Available,8.5,222906.0016,Not Available,2.5,Not Available,Not Available,0,1104147,123.5,1066425.8,0.85956,Existing,125646.0,03/07/2022 11:31 PM EST,Not Available,Not Available,3-02095-7502,Not Available,Not Available,Not Available,No,1.9,Not Available,0,Not Available,11217,Not Available,Not Available,No,33.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.55994,Not Available,Not Available,Not Available,Not Available,Not Available
Hendrik Hudson House L.P.,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,260.5,2675 Henry Hudson Pkwy.,Not Available,Not Available,Multifamily Housing,3,Not Available,-73.917882,Not Available,0,84.5,281646.2,Not Available,2022-09-23T00:00:00.000,Not Available,208.0,Not Available,Not Available,40.881081,Not Available,Ok,Not Available,11.0,No,Spuyten Duyvil-Kingsbridge,Not Available,2.9,49042.08591,Not Available,0.9,Not Available,Not Available,4,281646.3,116.6,268076.3,0,Existing,92782.0,04/07/2022 08:47 AM EDT,Not Available,Not Available,Number of Active Energy Meters - Total is greater than Number of Active Energy Meters - Used to Compute Metrics because owner accounts that represent a subset of aggregated accounts are also tracked in Portfolio Manager. Including these meters in metrics would double count energy use from this site.,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10463,11700,Not Available,No,301.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.14246,Not Available,Not Available,Parking,Not Available,Not Available
614 W 56th Associates LLC,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,49.8,614 W. 56th Street,Not Available,Not Available,Office,0,Not Available,-73.99248,Not Available,0,84.5,269864.1,Not Available,2022-09-21T00:00:00.000,Not Available,104.0,Not Available,Not Available,40.769875,Not Available,Ok,100,6.0,No,Clinton,Not Available,6.9,9385.117801,Not Available,2.0,Not Available,Not Available,Not Available,269864.1,156.1,264651.7,Not Available,Existing,38600.0,03/08/2022 03:24 PM EST,100,Not Available,"Natural Gas Meter ""56STRE_W_614/G/912"" had no consumption from January 23, 2018 through December 21, 2018. Confirmed by Con Edison on 03/17/2020.",Not Available,Not Available,Not Available,No,0.3,77,0,Not Available,10019,Not Available,Not Available,No,135.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available
UNION SQ 14,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,850 BROADWAY,Not Available,Not Available,Movie Theater,0,Not Available,-73.990838,Not Available,0,84.5,1894278.6,Not Available,2022-09-23T00:00:00.000,Not Available,102.0,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country),Not Available,40.734407,Not Available,Ok,Not Available,2.0,No,West Village,Not Available,11.8,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,1894279,112,1894278.6,Not Available,Existing,161077.5,06/18/2022 08:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,10003,Not Available,375.4,No,61.0,161077.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Dermot - 250 East Houston Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,319.8,250 East Houston St,Not Available,Not Available,Multifamily Housing,3,Not Available,-73.985321,Not Available,0,84.5,1223075.2,Not Available,2022-09-22T00:00:00.000,Not Available,103.0,Not Available,Not Available,40.721937,Not Available,Ok,Not Available,2.0,No,East Village,Not Available,6.9,60212.57507,Not Available,2.1,Not Available,Not Available,0,1223075,107.9,1174799.7,0.7802,Existing,166624.0,07/13/2022 12:40 AM EDT,75,Not Available,,Not Available,Not Available,Not Available,No,0.4,Not Available,0,Not Available,10002,Not Available,Not Available,No,3002.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.99626,Not Available,Not Available,Fitness Center/Health Club/Gym,Not Available,Not Available
DEPM 1888 - 108 East 82nd St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,274.2,108 East 82nd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.958539,Not Available,0,84.5,260785.4,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.777353,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,3.9,898.768298,Not Available,1.1,Not Available,Not Available,5,260785.5,139.3,260785.4,0.56255,Existing,67549.0,03/07/2022 07:18 PM EST,Not Available,Not Available,1-01510-0065,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10028,Not Available,Not Available,No,140.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.77649,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1578 - 750 Park Avenue,Not Available,Not Available,Ok,Not Available,Not Available,No,191,750 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.964013,Not Available,0,84.5,282118.2,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.770863,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,3.7,35954.81571,Not Available,1.1,Not Available,Not Available,0,282118.2,110.2,282118.2,0.93418,Existing,77073.0,03/07/2022 01:25 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10021,Not Available,Not Available,No,130.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.98608,Not Available,Not Available,Not Available,Not Available,Not Available
URA Group - 569 Broadway,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,520.4,569-575 Broadway,Not Available,Not Available,Office,0,Not Available,-73.997651,Not Available,0,84.5,3067916.7,Not Available,2022-09-21T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.724406,Not Available,Ok,100,1.0,No,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,19.2,95081.27404,Not Available,5.5,Not Available,Not Available,Not Available,3067917,207.1,3067916.7,Not Available,Existing,120000.0,03/08/2022 03:28 PM EST,Not Available,Not Available,1-00512-0023,Not Available,Not Available,Not Available,No,0.6,400,0,Not Available,10012,Not Available,Not Available,No,49.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5000,Not Available,Not Available,Not Available,60,Retail Store,Not Available,Not Available
DEPM 1288 - 911 Park Ave,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,339.5,911 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.960233,Not Available,0,84.5,946105.5,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.776003,Not Available,Ok,Not Available,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,7.3,63916.48836,Not Available,2.1,65,Not Available,7,946105.6,141.3,932486.2,0.33685,Existing,121715.0,03/07/2022 07:31 PM EST,Not Available,Not Available,1-01508-0072,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10075,Not Available,Not Available,No,140.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.23239,Not Available,Not Available,Medical Office,Not Available,Not Available
DEPM 2472 - 184 Thompson St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,501.2,184 Thompson Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-74.000032,Not Available,0,84.5,584746.6,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.727988,Not Available,Ok,Not Available,1.0,Yes,West Village,Not Available,5.8,81074.7251,Not Available,1.7,Not Available,Not Available,16,584746.7,140.1,571134.7,0,Existing,89634.0,05/20/2022 07:16 PM EDT,Not Available,Not Available,1-00525-7506,Not Available,Not Available,Not Available,No,0.9,Not Available,0,Not Available,10012,Not Available,Not Available,No,65.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.64,Not Available,Not Available,Retail Store,Not Available,Not Available
AKAM - 350 East 30th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,374.9,350 East 30th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.976219,Not Available,0,84.5,448314.9,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.741635,Not Available,Ok,Not Available,2.0,No,Murray Hill-Kips Bay,Not Available,3.4,70574.38832,Not Available,1.0,Not Available,Not Available,Not Available,448314.9,123.5,430005.3,0,Existing,127034.0,05/25/2022 02:41 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10016,Not Available,Not Available,No,70.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.51141,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1164 - 1111 Park Ave,Not Available,Not Available,Ok,Not Available,Not Available,No,418.4,1111 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.955513,Not Available,0,84.5,832552.2,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.782473,Not Available,Ok,Not Available,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,4,78781.57302,Not Available,1.2,65,Not Available,7,832552.3,120.1,832552.2,0.40103,Existing,196992.0,03/07/2022 01:11 PM EST,Not Available,Not Available,1-01518-0069,Not Available,Not Available,Not Available,No,0.4,Not Available,0,Not Available,10128,Not Available,Not Available,No,14802.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.00512,Not Available,Not Available,Medical Office,Not Available,Not Available
AKAM - 77 West 55th Street,Not Available,10578652.2,Ok,Not Available,Not Available,Not Available,8.6,77 West 55th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.977146,Not Available,0,84.5,1567228.8,Not Available,2022-09-22T00:00:00.000,Not Available,105.0,Not Available,Not Available,40.762616,Not Available,Ok,Not Available,4.0,No,Midtown-Midtown South,Not Available,8.6,1615.299444,Not Available,6.4,Not Available,Not Available,Not Available,1567229,124,1544441.2,1.01667,Existing,180000.0,03/01/2022 08:54 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10019,Not Available,Not Available,No,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.52778,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - WVH 726 Washington Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,726 Washington Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-74.00835,Not Available,0,84.5,1217180,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.735843,Not Available,Ok,Not Available,3.0,No,West Village,Not Available,10.3,Not Available,Not Available,3.0,Not Available,Not Available,0,1217180,115.8,1217180,0,Existing,118350.0,05/09/2022 04:57 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,10014,Not Available,Not Available,No,75.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.26743,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1736 - 169 East 69th St,Not Available,8451441.3,Ok,Not Available,Not Available,Not Available,7.6,169 East 69th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.962743,Not Available,0,84.5,858180.2,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.768129,Not Available,Ok,Not Available,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,3.2,1433.015164,Not Available,3.0,Not Available,Not Available,10,858180.3,95.1,858180.2,0.22556,Existing,266000.0,05/23/2022 03:02 PM EDT,Not Available,Not Available,1-01404-0033,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10021,Not Available,Not Available,No,120.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.41353,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 2744 - 14 Prince St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,135.2,14 Prince Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.994033,Not Available,0,84.5,372763.9,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.722665,Not Available,Ok,Not Available,1.0,No,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,7.5,25462.00782,Not Available,2.2,Not Available,Not Available,3,372764,120.9,365615.8,0,Existing,48800.0,03/07/2022 03:39 PM EST,Not Available,Not Available,1-00492-7501,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10012,Not Available,Not Available,No,43.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.45492,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 212 East 48th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,169.6,212 East 48th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.971154,Not Available,0,84.5,218827.9,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.754339,Not Available,Ok,Not Available,4.0,Yes,Turtle Bay-East Midtown,Not Available,4.1,31933.18055,Not Available,1.2,Not Available,Not Available,Not Available,218827.9,118,212213.6,0,Existing,51576.0,05/21/2022 07:05 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10017,Not Available,Not Available,No,90.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.33783,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 25 West 13th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,347.8,25 West 13th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.99515,Not Available,0,84.5,626845.7,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.735755,Not Available,Ok,Not Available,3.0,No,West Village,Not Available,3.5,61627.70596,Not Available,1.0,Not Available,Not Available,0,626845.8,121.8,611400.4,0,Existing,151600.0,05/20/2022 07:11 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.4,Not Available,0,Not Available,10011,Not Available,Not Available,No,63.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.20053,Not Available,Not Available,Retail Store,Not Available,Not Available
317 West 87th Street,Not Available,Not Available,Ok,Not Available,Not Available,No,231.9,317 West 87th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.978018,Not Available,0,84.5,207562.5,Not Available,2022-09-23T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.789844,Not Available,Ok,Not Available,6.0,No,Upper West Side,Not Available,4.5,621.9204963,Not Available,1.4,Not Available,Not Available,0,207562.5,114.4,200519.1,0,Existing,44256.0,04/20/2022 08:31 PM EDT,Not Available,Not Available,Number of Active Energy Meters – Total is greater than Number of Active Energy Meters - Used to Compute Metrics because owner accounts that represent a subset of aggregated accounts are also tracked in Portfolio Manager. Including these meters in metrics would double count energy use from this site.,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10024,Not Available,Not Available,No,175.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.062,Not Available,Not Available,Not Available,Not Available,Not Available
