address_1,senior_care_community_gross,performing_arts_gross_floor,estimated_data_flag,annual_maximum_demand_kw,estimated_data_flag_fuel_1,nyc_borough_block_and_lot,multifamily_housing_number_5,difference_from_national_1,supermarket_grocery_gross,estimated_values_energy,convenience_store_with_gas,medical_office_gross_floor,fuel_oil_2_use_kbtu,site_eui_kbtu_ft,electricity_use_generated,office_weekly_operating_hours,last_modified_date_gas_meters,default_values,office_gross_floor_area_ft,annual_maximum_demand_mm,weather_normalized_site_3,financial_office_number_of,indoor_water_use_all_water,postcode,weather_normalized_site_2,district_chilled_water_use,last_modified_date_property,address_2,source_energy_use_adjusted,retail_store_number_of_walk,property_gfa_calculated,other_weekly_operating_hours,source_energy_use_kbtu,multifamily_housing_gross,multifamily_housing_number_1,_2nd_largest_property_use,retail_store_gross_floor,outdoor_water_use_all_water,other_number_of_computers,_2nd_largest_property_use_1,multifamily_housing_percent,ambulatory_surgical_center,other_gross_floor_area_ft,automobile_dealership_gross,electricity_use_generated_2,fuel_oil_5_6_use_kbtu,pre_school_daycare_gross,multifamily_housing_number_6,alert_gross_floor_area_is,college_university_number,food_service_gross_floor,hotel_percent_that_can_be,third_party_certification_2,k_12_school_gross_floor_area,outpatient_rehabilitation
154 West 93rd Street,Not Available,Not Available,No,336,No,1012230005,Not Available,-5.1,Not Available,No,Not Available,Not Available,Not Available,82.6,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,843692,Not Available,Not Available,10025,4983.7,Not Available,04/09/2019 04:47 PM EDT,Not Available,19165236.9,Not Available,168175.0,Not Available,19165236.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,168175,Not Available
100 Trinity Place!,Not Available,Not Available,No,316,Not Available,1000520001,Not Available,80.5,Not Available,No,Not Available,Not Available,Not Available,136.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1307599.8,Not Available,Not Available,10006,467,Not Available,04/09/2019 04:46 PM EDT,Not Available,26066757.7,Not Available,115125.0,Not Available,26066757.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,115125,Not Available
1633 East 8th Street,Not Available,Not Available,No,264,Not Available,3066400013,Not Available,-14.2,Not Available,No,Not Available,Not Available,393300.1,71.1,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,07/2018,632639.9,Not Available,Not Available,11223,48732.8,Not Available,04/11/2019 11:57 AM EDT,Not Available,11642187.5,Not Available,105600.0,Not Available,11642187.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,105600,Not Available
85-52 85th Street,Not Available,Not Available,No,172,Not Available,4088550020,Not Available,9.8,Not Available,No,Not Available,Not Available,703938.1,63.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,495279.1,Not Available,Not Available,11421,33199.9,Not Available,04/11/2019 11:57 AM EDT,Not Available,8970508.8,Not Available,90665.0,Not Available,8970508.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,90665,Not Available
499 West 133rd Street,Not Available,Not Available,No,240,Not Available,1019710001,Not Available,-41.7,Not Available,No,Not Available,Not Available,3493607.7,47.5,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,534799.9,Not Available,Not Available,10027,1017,Not Available,04/09/2019 04:47 PM EDT,Not Available,8744594.1,Not Available,114125.0,Not Available,8744594.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,114125,Not Available
2475 Southern Boulevard,Not Available,Not Available,No,168,No,2031150021,Not Available,-14.7,Not Available,No,Not Available,Not Available,Not Available,49,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,371200,Not Available,Not Available,10458,31.1,Not Available,04/09/2019 02:10 PM EDT,Not Available,5540805.3,Not Available,66080.0,Not Available,5540805.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,66080,Not Available
1111 Pugsley Avehue,Not Available,Not Available,No,228,No,2037900040,Not Available,-34.5,Not Available,No,Not Available,Not Available,Not Available,56.4,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,550799.9,Not Available,Not Available,10472,800,Not Available,04/09/2019 02:10 PM EDT,Not Available,13347302.9,Not Available,175325.0,Not Available,13347302.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,175325,Not Available
145 Stanton Street,Not Available,Not Available,No,537.4,Not Available,1003540080,Not Available,-38,Not Available,No,Not Available,Not Available,4950612.1,47.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1200848.1,Not Available,Not Available,10002,546.1,Not Available,04/09/2019 04:47 PM EDT,Not Available,16604685.5,Not Available,190975.0,Not Available,16604685.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,190975,Not Available
101 Walton Street,Not Available,Not Available,No,432,No,3022460001,Not Available,-20.1,Not Available,No,Not Available,Not Available,Not Available,73.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,711999.9,Not Available,Not Available,11206,523,Not Available,04/09/2019 04:47 PM EDT,Not Available,17852581.5,Not Available,181200.0,Not Available,17852581.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,181200,Not Available
36-41 28th Street,Not Available,Not Available,No,200,Not Available,4003430001,Not Available,-54.4,Not Available,No,Not Available,Not Available,785220,38.1,460987.5,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,444399.9,Not Available,Not Available,11106,43349.6,Not Available,04/15/2019 02:43 PM EDT,Not Available,9940129.2,Not Available,183725.0,Not Available,9940129.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,183725,Not Available
800 Gates Avenue,Not Available,Not Available,No,571.2,Not Available,3016360001,Not Available,-15.2,Not Available,No,Not Available,Not Available,4620101.9,51,431187.7,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1578026,Not Available,Not Available,11221,6,Not Available,04/16/2019 01:13 PM EDT,Not Available,20246308.7,Not Available,205200.0,Not Available,20246308.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,205200,Not Available
265 Ralph Avenue,Not Available,Not Available,No,216,No,3015180001,Not Available,-30.8,Not Available,No,Not Available,Not Available,Not Available,61.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,06/2018,482999.9,Not Available,Not Available,11233,5282,Not Available,04/09/2019 04:47 PM EDT,Not Available,10524716.6,Not Available,121200.0,Not Available,10524716.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,121200,Not Available
355 37th Street,Not Available,Not Available,No,107,No,3006960031,Not Available,-42.7,Not Available,No,Not Available,Not Available,Not Available,59.4,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,11/2018,366948.2,Not Available,Not Available,11232,304,Not Available,04/09/2019 04:47 PM EDT,360 36th Street,8673435.5,Not Available,106800.0,Not Available,8673435.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,106800,Not Available
170-45 84th Avenue,Not Available,Not Available,No,112.8,Not Available,4098750001,Not Available,13.6,Not Available,No,Not Available,Not Available,3413568,74.7,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,06/2018,399394.3,Not Available,Not Available,11432,6997,Not Available,04/11/2019 11:58 AM EDT,Not Available,7993216.5,Not Available,73232.0,Not Available,7993216.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,73232,Not Available
640 West 42nd Street,Not Available,Not Available,Yes,Not Available,Not Available,1-01089-0001,1.13105,-17.3,Not Available,Yes,Not Available,Not Available,3598280.7,80.3,Not Available,Not Available,03/08/2019 08:36 PM EST,No,Not Available,Not Available,5250906.9,Not Available,32133.8,10036,506304.1,Not Available,03/08/2019 08:36 PM EST,Not Available,107571705.9,Not Available,927469.0,Not Available,107571705.9,814289,0,Parking,Not Available,Not Available,Not Available,39590,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1122 East 180th Street,Not Available,Not Available,No,275.3,Not Available,2040060003,Not Available,7.5,Not Available,No,Not Available,Not Available,Not Available,77.4,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,862848.6,Not Available,Not Available,10460,23858.3,Not Available,04/09/2019 02:09 PM EDT,Not Available,10811050.6,Not Available,69080.0,Not Available,10811050.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,69080,Not Available
120-45 235th Street,Not Available,Not Available,No,372,No,4128200001,Not Available,56.2,Not Available,No,Not Available,Not Available,Not Available,76.2,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,11/2018,1185199.9,Not Available,Not Available,11411,16472,Not Available,04/11/2019 11:58 AM EDT,Not Available,17279846.4,Not Available,129600.0,Not Available,17279846.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,129600,Not Available
1180 Tinton Avenue,Not Available,Not Available,No,360,Not Available,2026720001,Not Available,-26.6,Not Available,No,Not Available,Not Available,4692138.1,60.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,783999.9,Not Available,Not Available,10456,538,Not Available,04/09/2019 02:10 PM EDT,Not Available,12285572,Not Available,122400.0,Not Available,12285572,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,122400,Not Available
1328 Putnam Avenue,Not Available,Not Available,No,183.6,Not Available,3033770001,Not Available,-29,Not Available,No,Not Available,Not Available,1054872,63.9,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,07/2018,400403.2,Not Available,Not Available,11221,40458.7,Not Available,04/09/2019 04:47 PM EDT,Not Available,9049610.8,Not Available,99600.0,Not Available,9049610.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,99600,Not Available
977 Fox Street,Not Available,Not Available,No,594.2,Not Available,2027140004,Not Available,-20,Not Available,No,Not Available,Not Available,Not Available,52.1,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1644168.8,Not Available,Not Available,10459,53171.3,Not Available,04/09/2019 02:09 PM EDT,Not Available,21330170.3,Not Available,208800.0,Not Available,21330170.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,208800,Not Available
144-39 Gravett Road,Not Available,Not Available,No,296,No,4065070001,Not Available,22.7,Not Available,No,Not Available,Not Available,Not Available,80.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,626799.9,Not Available,Not Available,11367,537,Not Available,04/09/2019 02:10 PM EDT,Not Available,13199113,Not Available,115450.0,Not Available,13199113,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,115450,Not Available
1245 washington avenue,Not Available,Not Available,No,129.6,No,2023900001,Not Available,-10.2,Not Available,No,Not Available,Not Available,Not Available,71.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,462879.9,Not Available,Not Available,10456,588,Not Available,04/09/2019 02:10 PM EDT,Not Available,11297462,Not Available,117725.0,Not Available,11297462,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,117725,Not Available
46-35 Oceania Street,Not Available,Not Available,No,219.2,No,4073120001,Not Available,-40,Not Available,No,Not Available,Not Available,Not Available,43.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,506239.9,Not Available,Not Available,11361,1815.8,Not Available,04/09/2019 02:10 PM EDT,Not Available,10287569.8,Not Available,164525.0,Not Available,10287569.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,164525,Not Available
201-15 115th Avenue,Not Available,Not Available,No,108.8,Not Available,4110180021,Not Available,-13.6,Not Available,No,Not Available,Not Available,884028.2,58.7,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,06/2018,253644.4,Not Available,Not Available,11412,32110.5,Not Available,04/11/2019 11:58 AM EDT,Not Available,6739232.8,Not Available,85300.0,Not Available,6739232.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,85300,Not Available
1601 80th Street,Not Available,Not Available,No,712.8,Not Available,3062710001,Not Available,-21.7,Not Available,No,Not Available,Not Available,1043970,72.6,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,2097441.9,Not Available,Not Available,11214,129047.8,Not Available,04/11/2019 11:57 AM EDT,Not Available,34364334,Not Available,286800.0,Not Available,34364334,Not Available,Not Available,Swimming Pool,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,286800,Not Available
39-20 48th Avenue,Not Available,Not Available,No,132,No,4002060003,Not Available,-18.2,Not Available,No,Not Available,Not Available,Not Available,67.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,425939.9,Not Available,Not Available,11104,190,Not Available,04/09/2019 02:10 PM EDT,Not Available,8508026.4,Not Available,86518.0,Not Available,8508026.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,86518,Not Available
116-01 116 Avenue,Not Available,Not Available,No,111.6,Not Available,4123410031,Not Available,-14.2,Not Available,No,Not Available,Not Available,938123.9,77.1,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,321600,Not Available,Not Available,11434,48625.5,Not Available,04/11/2019 11:57 AM EDT,Not Available,9204632.6,Not Available,90480.0,Not Available,9204632.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,90480,Not Available
1007 Evergreen Avenue,Not Available,Not Available,No,288,No,2037110001,Not Available,-18.5,Not Available,No,Not Available,Not Available,Not Available,72.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,485599.9,Not Available,Not Available,10472,841,Not Available,04/09/2019 02:10 PM EDT,Not Available,10940833.9,Not Available,109200.0,Not Available,10940833.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,109200,Not Available
1691 Weeks Avenue,Not Available,Not Available,No,472,Not Available,2027930028,Not Available,0.1,Not Available,No,Not Available,Not Available,6371183.9,62.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,01/2018,957599.8,Not Available,Not Available,10457,12135.8,Not Available,04/09/2019 02:10 PM EDT,Not Available,16805202.6,Not Available,173789.0,Not Available,16805202.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,173789,Not Available
1537 Washington Avenue,Not Available,Not Available,No,179.2,Not Available,2029030023,Not Available,-32.9,Not Available,No,Not Available,Not Available,0,42.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,318874.6,Not Available,Not Available,10457,22416.7,Not Available,04/09/2019 02:10 PM EDT,Not Available,5403093.2,Not Available,78175.0,Not Available,5403093.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,78175,Not Available
21-27 Himrod Street,Not Available,Not Available,No,280,Not Available,4033630001,Not Available,-30.7,Not Available,No,Not Available,Not Available,1728587.9,64.4,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1041599.8,Not Available,Not Available,11385,148596.2,Not Available,04/09/2019 02:10 PM EDT,Not Available,26933033.1,Not Available,307200.0,Not Available,26933033.1,Not Available,Not Available,Swimming Pool,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,307200,Not Available
650 Hollywood Avenue,Not Available,Not Available,No,320,No,2054380001,Not Available,-18,Not Available,No,Not Available,Not Available,Not Available,71.5,443614.9,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,855999.9,Not Available,Not Available,10465,556,Not Available,04/15/2019 02:43 PM EDT,Not Available,17890579.1,Not Available,175325.0,Not Available,17890579.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,175325,Not Available
4125 Carpenter Avenue,Not Available,Not Available,No,236.8,Not Available,2048230001,Not Available,12.4,Not Available,No,Not Available,Not Available,841938,78.9,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,01/2018,516966.3,Not Available,Not Available,10466,56934.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,11578015.3,Not Available,103280.0,Not Available,11578015.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,103280,Not Available
250 Hudson Street,Not Available,Not Available,No,Not Available,Not Available,1005780047,Not Available,-38.2,Not Available,No,Not Available,Not Available,0,81.2,Not Available,118.9,02/08/2019 03:00 PM EST,No,323600,Not Available,4789977.9,Not Available,4443.6,10013,Not Available,Not Available,04/12/2019 02:22 PM EDT,Not Available,57329497.1,Not Available,332960.0,84,57329497.1,Not Available,Not Available,Other,Not Available,Not Available,10,9360,Not Available,Not Available,9360,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,05/16/2016,Not Available,Not Available
525 East 68th Street,Not Available,Not Available,No,Not Available,Not Available,1014800001; 1014820040,Not Available,6.5,Not Available,No,Not Available,Not Available,41558500.9,379.9,Not Available,Not Available,02/08/2019 03:34 PM EST,No,Not Available,Not Available,27919188.6,Not Available,99433.3,10021,15585923.5,Not Available,05/01/2019 09:41 AM EDT,Not Available,1402080928,Not Available,3274756.0,Not Available,1402080928,Not Available,Not Available,Other,Not Available,Not Available,Not Available,302882,Not Available,Not Available,302882,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
141 Macon Street,Not Available,Not Available,No,372.8,No,3018450001,Not Available,-20.2,Not Available,No,Not Available,Not Available,Not Available,71,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,821737,Not Available,Not Available,11216,4482,Not Available,04/09/2019 04:47 PM EDT,Not Available,17281141.5,Not Available,170400.0,Not Available,17281141.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,170400,Not Available
529 Fifth Avenue,Not Available,Not Available,Yes,Not Available,Not Available,1-01278-0069,Not Available,-25.9,Not Available,Yes,Not Available,Not Available,Not Available,75.5,Not Available,60,Not Available,No,242426,Not Available,4789467.5,Not Available,4444.2,10036,Not Available,Not Available,03/08/2019 08:15 PM EST,Not Available,50844230.1,0,271266.0,Not Available,50844230.1,Not Available,Not Available,Retail Store,28840,Not Available,Not Available,28840,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450 Buel Avenue,Not Available,Not Available,No,260,Not Available,5037050001,Not Available,-10.8,Not Available,No,Not Available,Not Available,Not Available,56.6,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,605999.9,Not Available,Not Available,10305,27534,Not Available,04/11/2019 11:56 AM EDT,Not Available,8680551.6,Not Available,85200.0,Not Available,8680551.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,85200,Not Available
1560 Purdy Street,Not Available,Not Available,No,298,No,2039480055,Not Available,-12.5,Not Available,No,Not Available,Not Available,Not Available,78.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,658559.9,Not Available,Not Available,10462,4686,Not Available,04/09/2019 02:10 PM EDT,Not Available,16240420.6,Not Available,153725.0,Not Available,16240420.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,153725,Not Available
666 Third Avenue,Not Available,Not Available,No,Not Available,Not Available,1-01297-0033,Not Available,-16.9,Not Available,No,Not Available,Not Available,Not Available,72.2,Not Available,61.69,Not Available,No,759638,Not Available,9657622.9,18,Not Available,10017,Not Available,Not Available,04/24/2019 06:05 PM EDT,Not Available,119472584.6,Not Available,769421.0,0,119472584.6,Not Available,Not Available,Other,Not Available,Not Available,0,5097,Not Available,Not Available,5097,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
869 Cypress Avenue,Not Available,Not Available,No,80.8,Not Available,4035600004,Not Available,52.2,Not Available,No,Not Available,Not Available,Not Available,112.9,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,184927.2,Not Available,Not Available,11385,11579.8,Not Available,04/09/2019 02:09 PM EDT,Not Available,3101837.7,Not Available,16160.0,Not Available,3101837.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,16160,Not Available
641 Lexington Avenue,Not Available,Not Available,No,Not Available,Not Available,1013090023,Not Available,43,Not Available,No,Not Available,Not Available,Not Available,154.2,Not Available,55.92,Not Available,No,420888,Not Available,5112718,Not Available,4433.3,10022,Not Available,Not Available,04/29/2019 03:20 PM EDT,Not Available,107595540.2,0,429866.0,Not Available,107595540.2,Not Available,Not Available,Retail Store,8978,Not Available,Not Available,8978,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
427 38th Street,Not Available,Not Available,No,492,Not Available,3007010001,Not Available,-2.6,Not Available,No,Not Available,Not Available,1357243.9,68.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,08/2018,945053.9,Not Available,Not Available,11232,29800,Not Available,04/09/2019 04:47 PM EDT,Not Available,13707439.9,Not Available,110400.0,Not Available,13707439.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,110400,Not Available
442 East Houston Street,Not Available,Not Available,No,353.6,Not Available,1003560100,Not Available,-26.2,Not Available,No,Not Available,Not Available,648875.9,52.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,737556.4,Not Available,Not Available,10002,51008.1,Not Available,04/09/2019 04:47 PM EDT,Not Available,12990243.5,Not Available,155375.0,Not Available,12990243.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,155375,Not Available
160-05 Highland Avenue,Not Available,Not Available,No,708.8,No,4097740001,Not Available,-52.2,Not Available,No,Not Available,Not Available,Not Available,36,1262518.1,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,1757453.8,Not Available,Not Available,11432,1822,Not Available,04/16/2019 03:24 PM EDT,87-41 Parsons Boulevard,32362029,Not Available,595200.0,Not Available,32362029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32854.1,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,595200,Not Available
421 East 106th Street,Not Available,Not Available,No,251.2,Not Available,1017000001,Not Available,-39.1,Not Available,No,Not Available,Not Available,0,43.4,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,436480,Not Available,Not Available,10029,32513,Not Available,04/09/2019 04:47 PM EDT,Not Available,7583820.5,Not Available,109300.0,Not Available,7583820.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,109300,Not Available
