bronx_cooperatives_comparable_properties_address,nta,comparable_rental_3_gross_sqft,comparable_rental_1_address,comparable_rental_3_net_operating_income,comparable_rental_1_year_built,comparable_rental_3_total_units,comparable_rental_1_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_3_expense_per_sqft,comparable_rental_1_estimated_expense,comparable_rental_2_gross_sqft,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_year_built,comparable_rental_1_boro_block_lot,bronx_cooperatives_comparable_properties_estimated_expense,comparable_rental_1_full_market_value,bbl,comparable_rental_2_expense_per_sqft,community_board,comparable_rental_2_year_built,comparable_rental_2_neighborhood,comparable_rental_1_estimated_gross_income,comparable_rental_3_market_value_per_sqft,postcode
"{'latitude': '40.842731167269', 'longitude': '-73.883089744057', 'human_address': '{""address"": ""2000 DALY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Tremont                                                               ,"19,250","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""966 181 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","123,782",1915,18,44.67,EAST TREMONT,7.23,333032,42426,13.66,1915,2-03133-0013,206843,2010000,2031270001.0,5.81,6.0,1924,EAST TREMONT,634253,40.21,10460.0
"{'latitude': '40.836895907503', 'longitude': '-73.923360139285', 'human_address': '{""address"": ""1201 SHAKESPEARE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Highbridge                                                                 , ,"{'latitude': '40.835642548854', 'longitude': '-73.925650004979', 'human_address': '{""address"": ""1140 WOODYCREST AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1923, ,32.7,HIGHBRIDGE/MORRIS HEIGHTS, ,299884,58000, , ,2-02509-0048,404044,1377000,2025100074.0,7.0,4.0,1925,HIGHBRIDGE/MORRIS HEIGHTS,517026, ,10452.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6645 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        ,"151,500","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6555 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","965,877",1961,127,46.06,RIVERDALE,5.18,334594,237000,11.55,1939,2-05864-0516,340376,2882000,2058811088.0,6.23,8.0,1959,RIVERDALE,923960,26.72,10471.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1015 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"48,369","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1035 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","247,923",1939,61,31.62,MELROSE/CONCOURSE,7.69,278617,70961,12.81,1928,2-02471-0024,448500,1474000,,7.08,,1926,MELROSE/CONCOURSE,525679,34.24,
"{'latitude': '40.840901476535', 'longitude': '-73.884417621199', 'human_address': '{""address"": ""1898 DALY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Tremont                                                               ,"7,550","{'latitude': '40.856473248628', 'longitude': '-73.885857632554', 'human_address': '{""address"": ""2463 HUGHES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","95,688",2004,15,87.06,BELMONT,10.44,74546,15712,23.11,1980,2-03077-0050,133821,1177000,2029920018.0,8.64,6.0,2005,KINGSBRIDGE HTS/UNIV HTS,237761,85.17,10460.0
"{'latitude': '40.84434329928', 'longitude': '-73.887537986259', 'human_address': '{""address"": ""1961 MAPES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Tremont                                                               ,"20,785","{'latitude': '40.846768928149', 'longitude': '-73.88384038006', 'human_address': '{""address"": ""2125 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","79,888",1931,30,22.25,EAST TREMONT,6.1,198350,19668,9.94,1924,2-03111-0010,143655,694000,2031060044.0,6.04,6.0,1931,EAST TREMONT,312306,24.01,10460.0
"{'latitude': '40.87263207619', 'longitude': '-73.869353823905', 'human_address': '{""address"": ""3231 BARKER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Williamsbridge-Olinville                                                   ,"17,000","{'latitude': '40.872549095387', 'longitude': '-73.870368459139', 'human_address': '{""address"": ""3224 BRONX BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","159,564",1920,20,62.18,BRONXDALE,10.11,88424,5292,19.49,1911,2-04593-0010,209633,773000,2045930036.0,10.34,12.0,1920,BRONXDALE,201944,67.29,10467.0
"{'latitude': '40.859037775738', 'longitude': '-73.898140069093', 'human_address': '{""address"": ""254 184 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",, ,"{'latitude': '40.857705441772', 'longitude': '-73.89878862036', 'human_address': '{""address"": ""2322 RYER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1916, ,28.92,FORDHAM, ,111714,30590, , ,2-03151-0010,142284,505000,,7.18,,1922,FORDHAM,193466, ,
"{'latitude': '40.823874993351', 'longitude': '-73.898223278622', 'human_address': '{""address"": ""883 165 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",, ,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2769 UNIVERSITY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1923, ,41.13,KINGSBRIDGE/JEROME PARK, ,230260,32780, , ,2-03249-0108,212676,1311000,,7.17,,1931,WILLIAMSBRIDGE,428092, ,
"{'latitude': '40.856241412775', 'longitude': '-73.88375597556', 'human_address': '{""address"": ""684 189 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",, ,"{'latitude': '40.855734886043', 'longitude': '-73.882753743629', 'human_address': '{""address"": ""2465 CROTONA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1926, ,33.75,BELMONT, ,169313,15562, , ,2-03105-0034,221103,886000,,7.0,,1926,BELMONT,307913, ,
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2711 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Spuyten Duyvil-Kingsbridge                                                 , ,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1954, ,37.76,RIVERDALE, ,505762,108955, , ,2-05787-0137,418574,3795000,2057470590.0,4.96,8.0,1955,RIVERDALE,1312394, ,10463.0
"{'latitude': '40.880352956203', 'longitude': '-73.920833635135', 'human_address': '{""address"": ""2550 INDEPENDENCE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Spuyten Duyvil-Kingsbridge                                                 , ,"{'latitude': '40.88632086694', 'longitude': '-73.908793797665', 'human_address': '{""address"": ""3555 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1960, ,38.21,RIVERDALE, ,335602,108955, , ,2-05793-0467,997564,2772000,2057430203.0,4.96,8.0,1955,RIVERDALE,888992, ,10463.0
"{'latitude': '40.861731752566', 'longitude': '-73.902956656266', 'human_address': '{""address"": ""2410 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Kingsbridge Heights                                                        ,"17,460","{'latitude': '40.859846069142', 'longitude': '-73.901860846266', 'human_address': '{""address"": ""2356 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","113,141",1921,26,30.74,FORDHAM,7.62,175264,30590,14.1,1916,2-03183-0037,287200,815000,2031990066.0,7.18,7.0,1922,FORDHAM,302006,39.4,10468.0
"{'latitude': '40.83087134911', 'longitude': '-73.899770981003', 'human_address': '{""address"": ""757 169 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",, ,"{'latitude': '40.861611275826', 'longitude': '-73.90851272444', 'human_address': '{""address"": ""2333 LORING PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1927, ,30.95,KINGSBRIDGE HTS/UNIV HTS, ,152081,24750, , ,2-03225-0169,188384,822000,,6.31,,1931,CROTONA PARK,284646, ,
"{'latitude': '40.848656948405', 'longitude': '-73.886944818843', 'human_address': '{""address"": ""2131 CLINTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Tremont                                                               , ,"{'latitude': '40.850058089353', 'longitude': '-73.885969751409', 'human_address': '{""address"": ""743 182 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1913, ,25.11,BELMONT, ,135607,31190, , ,2-03099-0006,195952,496000,2030980050.0,6.36,6.0,1931,EAST TREMONT,215772, ,10457.0
"{'latitude': '40.821907385804', 'longitude': '-73.927117568424', 'human_address': '{""address"": ""660 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",West Concourse                                                             ,"141,508","{'latitude': '40.823015984209', 'longitude': '-73.926628781823', 'human_address': '{""address"": ""695 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","486,500",1937,107,14.99,MELROSE/CONCOURSE,6.39,637123,98438,9.82,1927,2-02473-0055,465504,1628000,2024670001.0,6.43,4.0,1936,MELROSE/CONCOURSE,923401,20.35,10451.0
"{'latitude': '40.82174562159', 'longitude': '-73.872897107374', 'human_address': '{""address"": ""875 MORRISON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Soundview-Castle Hill-Clason Point-Harding Park                            ,"148,828","{'latitude': '40.82071632393', 'longitude': '-73.893925401209', 'human_address': '{""address"": ""931 FOX STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","579,702",1929,104,24.9,MORRISANIA/LONGWOOD,6.87,299130,32994,10.76,1982,2-02712-0028,1763873,1191000,2036270020.0,7.03,9.0,1913,MORRISANIA/LONGWOOD,490399,24.14,10473.0
"{'latitude': '40.884610770733', 'longitude': '-73.892471923253', 'human_address': '{""address"": ""120 GALE PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Van Cortlandt Village                                                      ,"352,866","{'latitude': '40.824675513051', 'longitude': '-73.855564651268', 'human_address': '{""address"": ""2001 STORY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","1,559,668",1973,317,37.68,CASTLE HILL/UNIONPORT,6.11,2897993,423500,10.53,1968,2-03681-0001,1876997,15895000,2032520340.0,5.65,8.0,1924,MOUNT HOPE/MOUNT EDEN,5268694,27.45,10463.0
"{'latitude': '40.881759500512', 'longitude': '-73.919771950111', 'human_address': '{""address"": ""750 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Spuyten Duyvil-Kingsbridge                                                 ,"108,955","{'latitude': '40.88632086694', 'longitude': '-73.908793797665', 'human_address': '{""address"": ""3555 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","689,838",1960,78,38.21,RIVERDALE,4.96,335602,60792,11.29,1955,2-05793-0467,1032806,2772000,2057440048.0,4.92,8.0,1939,RIVERDALE,888992,31.5,10463.0
"{'latitude': '40.880464017369', 'longitude': '-73.896718715689', 'human_address': '{""address"": ""3355 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Van Cortlandt Village                                                      ,"115,429","{'latitude': '40.880290223866', 'longitude': '-73.897697492522', 'human_address': '{""address"": ""3435 GILES PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","712,197",1959,139,30.41,KINGSBRIDGE/JEROME PARK,6.97,515080,58000,13.14,1928,2-03258-0228,715145,2402000,2032550065.0,6.87,8.0,1963,KINGSBRIDGE/JEROME PARK,887960,41.03,10463.0
"{'latitude': '40.853992209629', 'longitude': '-73.859820173488', 'human_address': '{""address"": ""2121 PAULDING AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Pelham Parkway                                                             , ,"{'latitude': '40.855254343311', 'longitude': '-73.859569523353', 'human_address': '{""address"": ""1025 ESPLANADE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1954, ,36.6,PELHAM PARKWAY SOUTH, ,255353,51600, , ,2-04328-0023,675200,2057000,2043250021.0,6.69,11.0,1956,PELHAM PARKWAY SOUTH,701930, ,10462.0
"{'latitude': '40.825799600355', 'longitude': '-73.925029194073', 'human_address': '{""address"": ""825 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",West Concourse                                                             ,"68,800","{'latitude': '40.826439249036', 'longitude': '-73.924593942722', 'human_address': '{""address"": ""853 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","219,343",1927,60,36.66,MELROSE/CONCOURSE,5.24,167011,84000,8.43,1929,2-02474-0049,232153,804000,2024740015.0,5.45,4.0,1926,MELROSE/CONCOURSE,287936,19.07,10451.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6035 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        ,"90,000","{'latitude': '40.896252862234', 'longitude': '-73.89906520725', 'human_address': '{""address"": ""244 FIELDSTON TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","395,038",1961,86,38.05,FIELDSTON,5.81,354657,134703,10.19,1962,2-05827-1620,640381,2406000,2058021294.0,5.95,8.0,1928,RIVERDALE,729831,25.91,10471.0
"{'latitude': '40.87262510974', 'longitude': '-73.880651163616', 'human_address': '{""address"": ""306 MOSHOLU PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"38,627","{'latitude': '40.87194311163', 'longitude': '-73.884412497999', 'human_address': '{""address"": ""275 201 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","201,721",1940,37,26.51,BEDFORD PARK/NORWOOD,5.17,314913,47145,10.4,1938,2-03299-0041,336412,1804000,,4.89,,1932,BEDFORD PARK/NORWOOD,712495,25.69,
"{'latitude': '40.880634043032', 'longitude': '-73.876625256241', 'human_address': '{""address"": ""3520 TRYON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Norwood                                                                    ,"53,664","{'latitude': '40.884844172927', 'longitude': '-73.915640740809', 'human_address': '{""address"": ""667 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","312,657",1929,64,31.96,WILLIAMSBRIDGE,6.62,327506,59700,12.45,1928,2-04835-0018,354420,1628000,2033440086.0,5.87,7.0,1938,HIGHBRIDGE/MORRIS HEIGHTS,595418,31.57,10467.0
"{'latitude': '40.853641056481', 'longitude': '-73.863863209565', 'human_address': '{""address"": ""2080 BARNES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Pelham Parkway                                                             ,"178,126","{'latitude': '40.854201470271', 'longitude': '-73.864786369012', 'human_address': '{""address"": ""2132 WALLACE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","985,037",1929,187,32.1,PELHAM PARKWAY SOUTH,6.49,839386,129000,12.02,1929,2-04292-0024,995680,5643000,2042930010.0,6.1,11.0,1928,PELHAM PARKWAY SOUTH,2117376,29.09,10462.0
"{'latitude': '40.869715436196', 'longitude': '-73.870483087816', 'human_address': '{""address"": ""3000 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",park-cemetery-etc-Bronx                                                    ,"54,948","{'latitude': '40.843235160415', 'longitude': '-73.879194673825', 'human_address': '{""address"": ""999 180 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","251,589",1974,95,33.42,EAST TREMONT,7.52,2141678,56160,12.1,2003,2-03138-0001,2406619,9228000,,6.83,27.0,1907,FORDHAM,3521878,29.12,10467.0
"{'latitude': '40.883820162051', 'longitude': '-73.911561927026', 'human_address': '{""address"": ""3200 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Spuyten Duyvil-Kingsbridge                                                 , ,"{'latitude': '40.88038240123', 'longitude': '-73.904333150882', 'human_address': '{""address"": ""225 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1929, ,24.64,KINGSBRIDGE/JEROME PARK, ,466325,60792, , ,2-05754-0090,465352,2156000,2057870130.0,4.92,8.0,1939,RIVERDALE,1031120, ,10463.0
"{'latitude': '40.905626896972', 'longitude': '-73.89939068438', 'human_address': '{""address"": ""5730 MOSHOLU AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        , ,"{'latitude': '40.890261642548', 'longitude': '-73.911362719053', 'human_address': '{""address"": ""3950 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1959, ,45.4,RIVERDALE, ,1477491,151500, , ,2-05909-0163,188430,10760000,2058552239.0,5.18,8.0,1939,RIVERDALE,3092924, ,10471.0
"{'latitude': '40.864337623241', 'longitude': '-73.901029548299', 'human_address': '{""address"": ""2506 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Kingsbridge Heights                                                        , ,"{'latitude': '40.863818748432', 'longitude': '-73.901496787781', 'human_address': '{""address"": ""2487 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1931, ,33.77,KINGSBRIDGE HTS/UNIV HTS, ,240452,32976, , ,2-03203-0038,241610,1241000,2032010003.0,5.08,7.0,1931,KINGSBRIDGE HTS/UNIV HTS,434839, ,10468.0
"{'latitude': '40.830092764815', 'longitude': '-73.901609478295', 'human_address': '{""address"": ""1230 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Morrisania-Melrose                                                         , ,"{'latitude': '40.830256400068', 'longitude': '-73.904802152731', 'human_address': '{""address"": ""1203 FULTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1911, ,26.51,MORRISANIA/LONGWOOD, ,152888,19255, , ,2-02609-0035,145985,552000,2026630011.0,6.23,3.0,1911,MORRISANIA/LONGWOOD,238878, ,10456.0
"{'latitude': '40.821755548015', 'longitude': '-73.906401029473', 'human_address': '{""address"": ""872 TRINITY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Morrisania-Melrose                                                         ,"276,550","{'latitude': '40.822078429909', 'longitude': '-73.892911569022', 'human_address': '{""address"": ""975 SIMPSON STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","1,704,508",1981,301,24.6,MORRISANIA/LONGWOOD,8.87,2511711,148828,15.03,1923,2-02724-0005,2286360,7891000,2026380001.0,6.87,3.0,1982,MORRISANIA/LONGWOOD,3744149,42.41,10456.0
"{'latitude': '40.879381097671', 'longitude': '-73.877965561603', 'human_address': '{""address"": ""3388 WAYNE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Norwood                                                                    ,"115,000","{'latitude': '40.840428613926', 'longitude': '-73.878408419305', 'human_address': '{""address"": ""2070 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","626,750",1928,104,24.29,PELHAM PARKWAY SOUTH,6.83,786900,132000,12.28,1957,2-04286-0004,902800,3133000,2033430260.0,6.13,7.0,1929,PELHAM PARKWAY SOUTH,1288710,26.33,10467.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2471 UNIVERSITY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Kingsbridge Heights                                                        ,"17,460","{'latitude': '40.859846069142', 'longitude': '-73.901860846266', 'human_address': '{""address"": ""2356 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","113,141",1921,26,30.74,FORDHAM,7.62,175264,30590,14.1,1916,2-03183-0037,109646,815000,2032190201.0,7.18,7.0,1922,FORDHAM,302006,39.4,10468.0
"{'latitude': '40.831842942174', 'longitude': '-73.910960055095', 'human_address': '{""address"": ""1187 CLAY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Concourse-Concourse Village                                           ,"10,980","{'latitude': '40.831679681588', 'longitude': '-73.911052733284', 'human_address': '{""address"": ""1179 CLAY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","35,117",1913,13,18.26,MELROSE/CONCOURSE,5.94,65216,11500,9.14,1929,2-02430-0039,65205,210000,2024300035.0,5.67,4.0,1913,MELROSE/CONCOURSE,100339,19.03,10456.0
"{'latitude': '40.818768553987', 'longitude': '-73.915960896417', 'human_address': '{""address"": ""425 153 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"10,829","{'latitude': '40.81941481173', 'longitude': '-73.915660009353', 'human_address': '{""address"": ""415 154 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","42,575",1912,14,18.78,MORRISANIA/LONGWOOD,7.42,103921,17520,11.35,1914,2-02376-0032,104525,334000,,6.07,,1910,MORRISANIA/LONGWOOD,159879,25.3,
"{'latitude': '40.831436826517', 'longitude': '-73.916266117711', 'human_address': '{""address"": ""1113 GRANT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Concourse-Concourse Village                                           ,"45,500","{'latitude': '40.831388066877', 'longitude': '-73.918309339088', 'human_address': '{""address"": ""200 166 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","135,790",1916,45,17.26,MELROSE/CONCOURSE,5.54,110155,18936,8.53,1924,2-02456-0042,316223,349000,2024520029.0,5.88,4.0,1914,MELROSE/CONCOURSE,169477,17.85,10456.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""401 145 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"15,398","{'latitude': '40.809904619543', 'longitude': '-73.920675358185', 'human_address': '{""address"": ""461 140 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","45,889",1905,16,37.25,MOTT HAVEN/PORT MORRIS,5.53,104499,13235,8.51,1915,2-02285-0064,85233,493000,,7.84,,1902,MOTT HAVEN/PORT MORRIS,179005,17.79,
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3201 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"64,876","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3155 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","356,169",1936,68,26.6,BEDFORD PARK/NORWOOD,6.46,373058,76890,11.95,1930,2-03311-0087,403620,2288000,,4.47,,1965,BEDFORD PARK/NORWOOD,908434,23.57,
