school_name,grade_4,grade_7,grade_11,students_with_disabilities_1,asian_1,female_1,poverty_2,female_2,white_2,other_1,hispanic_1,other_2
Pre-K Center District 09,0.0,0.0,0.0,,0.0,49.0,100.0,61.3,17.5,0.0,57.0,0.0
P.S. 138 Samuel Randall,154.0,0.0,0.0,132.0,19.0,414.0,89.0,52.8,,12.0,546.0,1.5
Madiba Prep Middle School,0.0,46.0,0.0,50.0,,75.0,84.4,43.4,,,36.0,
P.S. 044 Marcus Garvey,26.0,0.0,0.0,33.0,,112.0,96.9,50.2,,,24.0,
Fannie Lou Hamer Freedom High School,0.0,0.0,105.0,140.0,,223.0,100.0,45.3,,,341.0,
P.S. 124 Yung Wing,141.0,0.0,0.0,74.0,767.0,373.0,100.0,46.0,1.5,,22.0,
Pelham Preparatory Academy,0.0,0.0,103.0,104.0,23.0,257.0,70.6,52.4,6.7,14.0,249.0,2.9
Bronx Bridges High School,0.0,0.0,82.0,39.0,28.0,130.0,100.0,41.3,,,258.0,
International School for Liberal Arts,0.0,63.0,94.0,57.0,0.0,259.0,93.1,47.3,,0.0,545.0,0.0
Spruce Street School,66.0,0.0,0.0,62.0,61.0,217.0,10.6,49.0,58.2,57.0,55.0,12.9
J.H.S. 118 William W. Niles,0.0,377.0,0.0,220.0,168.0,583.0,91.9,50.4,3.4,,697.0,
P.S. 115 Alexander Humboldt,82.0,0.0,0.0,76.0,,281.0,97.3,50.9,2.2,0.0,532.0,0.0
I.S. 206 Ann Mersereau,0.0,77.0,0.0,73.0,,112.0,100.0,47.3,,0.0,186.0,0.0
Tompkins Square Middle School,0.0,124.0,0.0,87.0,87.0,195.0,69.3,52.6,20.2,12.0,138.0,3.2
"Elementary School for Math, Science, and Technology",47.0,0.0,0.0,33.0,,143.0,96.1,51.3,0.0,,210.0,
Institute for Collaborative Education,0.0,64.0,61.0,34.0,33.0,237.0,17.6,49.0,54.8,33.0,77.0,6.8
Academy for Social Action: A College Board School,0.0,0.0,34.0,44.0,,77.0,78.8,45.3,,,79.0,
P.S. 100 Isaac Clason,88.0,0.0,0.0,151.0,,295.0,100.0,48.2,,,389.0,
P.S. 249 The Caton,141.0,0.0,0.0,139.0,57.0,438.0,100.0,49.0,3.8,,445.0,
P.S. 309 The George E. Wibecan Preparatory Academy,36.0,0.0,0.0,63.0,11.0,118.0,78.9,49.8,,,74.0,
Edward A. Reynolds West Side High School,0.0,0.0,179.0,136.0,,254.0,93.5,47.5,,,373.0,
The Urban Assembly School for Green Careers,0.0,0.0,71.0,91.0,,133.0,92.8,39.9,,,219.0,
I.S. 117 Joseph H. Wade,0.0,220.0,0.0,155.0,12.0,254.0,85.7,44.2,,,461.0,
Vista Academy,0.0,113.0,0.0,64.0,14.0,165.0,91.2,48.2,,,225.0,
Young Voices Academy of the Bronx,0.0,0.0,0.0,29.0,29.0,106.0,81.8,44.9,12.3,,150.0,
Emolior Academy,0.0,84.0,0.0,65.0,,121.0,81.1,49.8,,12.0,155.0,4.9
M.S. 256 Academic & Athletic Excellence,0.0,57.0,0.0,40.0,,55.0,82.6,39.9,,,52.0,
P.S. 046 Edward C. Blum,48.0,0.0,0.0,84.0,,184.0,88.9,51.0,,,162.0,
Middle School of Marketing and Legal Studies,0.0,63.0,0.0,27.0,,99.0,71.1,55.0,,,13.0,
Millennium Art Academy,0.0,0.0,115.0,135.0,,245.0,100.0,53.6,,,310.0,
Dr. Jacqueline Peek-Davis School,25.0,0.0,0.0,57.0,,106.0,94.0,45.3,,,44.0,
The STAR Academy - P.S.63,19.0,0.0,0.0,64.0,,100.0,84.2,49.3,10.3,,131.0,
P.S. 001 Courtlandt School,107.0,0.0,0.0,121.0,,339.0,98.8,49.4,2.3,,508.0,
P.S. 295,77.0,0.0,0.0,123.0,54.0,232.0,100.0,47.4,31.7,24.0,229.0,4.9
International Community High School,0.0,0.0,100.0,14.0,25.0,203.0,89.8,43.2,,,373.0,
P.S. 108 Assemblyman Angelo Del Toro Educational C,54.0,93.0,0.0,164.0,32.0,283.0,100.0,47.6,,,378.0,
Manhattan / Hunter Science High School,0.0,0.0,127.0,52.0,113.0,247.0,59.8,55.8,15.3,29.0,168.0,6.5
I.S. 211 John Wilson,0.0,189.0,0.0,143.0,,299.0,78.5,50.7,,,63.0,
Bronx Alliance Middle School,0.0,105.0,0.0,80.0,16.0,140.0,100.0,41.3,,,105.0,
47 The American Sign Language and English Secondar,0.0,0.0,52.0,45.0,,121.0,83.3,65.1,6.5,,118.0,
P.S. 321 William Penn,255.0,0.0,0.0,192.0,96.0,724.0,7.5,49.6,75.3,85.0,116.0,5.8
P.S. 107 John W. Kimball,99.0,0.0,0.0,66.0,39.0,312.0,7.7,54.5,76.9,13.0,59.0,2.3
The Urban Assembly Unison School,0.0,46.0,0.0,31.0,22.0,63.0,87.2,42.6,,,21.0,
P.S. 056 Norwood Heights,128.0,0.0,0.0,127.0,150.0,338.0,100.0,48.9,6.2,,434.0,
P.S. 035 Franz Siegel,123.0,0.0,0.0,159.0,,322.0,95.5,46.3,,,474.0,
Hudson High School of Learning Technologies,0.0,0.0,120.0,109.0,31.0,169.0,81.8,33.7,3.2,11.0,303.0,2.2
"East Side Elementary School, PS 267",48.0,0.0,0.0,66.0,39.0,187.0,6.6,51.2,78.1,,27.0,
Brooklyn Science and Engineering Academy,0.0,71.0,0.0,25.0,0.0,51.0,78.5,34.2,,,,
J.H.S. 125 Henry Hudson,0.0,116.0,0.0,70.0,74.0,185.0,96.0,49.6,7.0,,200.0,
Juan Morel Campos Secondary School,0.0,80.0,81.0,208.0,,287.0,100.0,46.1,4.8,,485.0,
M.S. 324 - Patria Mirabal,0.0,161.0,0.0,104.0,,220.0,83.7,49.0,2.7,,380.0,
P.S. 023 The New Children's School,81.0,0.0,0.0,153.0,,270.0,100.0,49.3,,,339.0,
M.S. 839,0.0,0.0,0.0,25.0,15.0,45.0,42.5,42.5,35.8,,35.0,
P.S. 233 Langston Hughes,88.0,0.0,0.0,83.0,,285.0,86.3,55.8,,,25.0,
Victory Collegiate High School,0.0,0.0,74.0,74.0,,129.0,66.4,38.1,,13.0,21.0,3.8
Bronx Aerospace High School,0.0,0.0,82.0,113.0,12.0,88.0,100.0,22.3,,,232.0,
P.S. 018 Edward Bush,33.0,0.0,0.0,50.0,,83.0,91.7,43.2,,,154.0,
Pelham Academy of Academics and Community Engageme,0.0,125.0,0.0,64.0,26.0,179.0,74.7,50.9,9.7,,226.0,
P.S. 017 Henry D. Woodworth,57.0,0.0,0.0,90.0,,156.0,100.0,53.4,10.6,,233.0,
P.S. 076 A. Philip Randolph,49.0,49.0,0.0,93.0,,265.0,90.7,52.7,3.0,,82.0,
The Bilingual Bicultural School,46.0,0.0,0.0,82.0,,186.0,95.2,52.8,,,321.0,
J.H.S. 098 Herman Ridder,0.0,87.0,0.0,47.0,,117.0,93.0,58.8,,,134.0,
P.S. 083 Donald Hertz,174.0,220.0,0.0,316.0,166.0,868.0,100.0,50.4,31.9,12.0,844.0,0.7
"School of Business, Finance and Entrepreneurship",0.0,22.0,0.0,19.0,,25.0,100.0,41.7,,,,
Brooklyn Lab School,0.0,0.0,46.0,74.0,22.0,125.0,74.8,37.9,,,170.0,
The Bronxwood Preparatory Academy,0.0,0.0,95.0,91.0,16.0,195.0,69.6,46.3,5.0,,108.0,
P.S. 198 Isador E. Ida Straus,69.0,0.0,0.0,89.0,80.0,235.0,42.4,47.2,45.4,,133.0,
P.S. 208 Elsa Ebeling,79.0,0.0,0.0,89.0,,217.0,83.8,48.8,,,15.0,
Grant Avenue Elementary School,70.0,0.0,0.0,121.0,24.0,221.0,95.7,48.0,,,287.0,
P.S. 126 Dr Marjorie H Dunbar,101.0,0.0,0.0,95.0,,383.0,96.0,53.3,1.9,,507.0,
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.0,0.0,651.0,57.0,518.0,1999.0,29.7,73.7,44.1,158.0,528.0,5.8
Elijah Stroud Middle School,0.0,62.0,0.0,51.0,,82.0,84.2,41.8,,0.0,27.0,0.0
Bronx High School for Law and Community Service,0.0,0.0,78.0,103.0,,208.0,88.0,53.1,,,279.0,
Brooklyn Preparatory High School,0.0,0.0,119.0,82.0,11.0,269.0,79.7,52.4,,,220.0,
P.S. 025 Bilingual School,66.0,0.0,0.0,129.0,,231.0,97.6,45.7,,,438.0,
P.S. 024,121.0,0.0,0.0,112.0,33.0,343.0,96.1,50.9,3.7,,611.0,
Urban Action Academy,0.0,0.0,75.0,66.0,,98.0,71.7,33.4,4.8,,32.0,
P.S. 095 Sheila Mencher,134.0,154.0,0.0,249.0,91.0,624.0,100.0,47.7,4.1,19.0,917.0,1.5
Sunset Park Avenues Elementary School,0.0,0.0,0.0,33.0,79.0,134.0,91.5,47.7,,,195.0,
Brooklyn Academy High School,0.0,0.0,68.0,36.0,0.0,78.0,81.6,47.9,,,23.0,
Validus Preparatory Academy: An Expeditionary Lear,0.0,0.0,85.0,98.0,,219.0,83.2,55.6,,,277.0,
I.S. 313 School of Leadership Development,0.0,104.0,0.0,75.0,,146.0,100.0,47.2,0.0,0.0,206.0,0.0
