avoided_emissions_onsite,data_center_ups_output_meter,multifamily_housing_number_4,financial_office_number_of_1,energy_power_station_gross,fuel_oil_2_use_kbtu,third_party_certification_1,data_center_it_site_energy,hotel_percent_that_can_be,non_refrigerated_warehouse,convenience_store_with_gas,water_use_all_water_sources,courthouse_gross_floor_area,count_of_buildings,data_quality_checker_run,national_median_energy_star,office_number_of_workers,temporary_values,mailing_center_post_office,senior_care_community_living,supermarket_grocery_number,wholesale_club_supercenter,latitude,data_center_pdu_input_meter,multifamily_housing_number_5,avoided_emissions_offsite,retail_store_open_or_closed,address_2,water_current_date,percent_of_recs_retained,energy_star_certification,retail_store_walk_in,alert_property_has_no_uses,multifamily_housing_number_6,office_computer_density_number,electricity_use_generated,third_party_certification_2,municipally_supplied_potable,hospital_general_medical_10,_3rd_largest_property_use_1,convenience_store_with_gas_1,retail_store_gross_floor,source_energy_use_adjusted,restaurant_weekly_operating,laboratory_gross_floor_area,hotel_room_density_number,office_number_of_computers,repair_services_vehicle_shoe,financial_office_number_of,city,multifamily_housing_gross,estimated_data_flag_1,property_gfa_calculated_2,leed_us_project_id,multifamily_housing_number_1,multifamily_housing_percent_1,_2nd_largest_property_use,propane_use_kbtu,multifamily_housing_number_3,estimated_values_water,green_power_offsite_kwh,weather_normalized_site_energy,third_party_certification,alert_individual_monthly,nyc_building_identification,hospital_general_medical_9,borough,default_values,primary_property_type_self,data_center_ups_system,alert_meter_has_less_than,hospital_general_medical_4,financial_office_gross_floor,property_name-hospital_general_medical_17
Not Available,Not Available,0,Not Available,Not Available,276000,Not Available,Not Available,Not Available,Not Available,Not Available,1889.6,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.636663,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5801358.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,50000,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.4,No,0,Not Available,Not Available,Ok,3126788,Not Available,BROOKLYN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,490 Ocean Parkway-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4748.8,Not Available,,Yes,50,703,No,Not Available,Not Available,Not Available,Not Available,40.763117,Not Available,Not Available,0,0.44352,Not Available,02/28/2017,Not Available,2016,0.14784,Ok,Not Available,3.36889,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6764,39499359.9,Not Available,Not Available,Not Available,740,Not Available,Not Available,New york,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,Not Available,Not Available,No,0,14858920.7,Not Available,Ok,1041900,Not Available,MANHATTAN,No,Office,Not Available,Ok,Not Available,Not Available,CW Glorious Sun 505 Park Avenue-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1916545.9,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.732131,Not Available,Not Available,0,Not Available,Not Available,01/31/2017,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,262.54,Not Available,Not Available,Not Available,112632617.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,new York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Other,Not Available,Not Available,No,0,61664090.6,Not Available,Ok,1006511;1006510,91.49,MANHATTAN,Yes,Hospital (General Medical & Surgical),Not Available,Ok,137.24,Not Available,New York Eye & Ear Infirmary-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8035.6,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.703934,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8727438,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,57716,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1.4,No,0,6592312.9,Not Available,Ok,4088137,Not Available,QUEENS,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,69-01 LLC-Not Available
Not Available,Not Available,2091,Not Available,Not Available,31602,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.834848,Not Available,0.98868,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,398833445,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,2114950,Not Available,Not Available,Not Available,0,90,Not Available,Not Available,2.23977,Unable to Check (not enough data),0,Not Available,Not Available,Possible Issue,2092079;2092082;2092083;2092084;2092085;2092095;2092098;2092099;2092100;2092101;2092075;2092093;2092094;2092109;2092112;2092113;2092114;2091182;2091183,Not Available,BRONX,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,MORRIS I/MORRIS II/MORRISANIA CAMPUS-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2565.8,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.743326,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5214077.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Manhattan,50000,Not Available,Not Available,Not Available,25,100,Not Available,Not Available,1,No,0,3046745.3,Not Available,Ok,1020002,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,250 East 31st Street-Not Available
Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.697916,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,1047,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,213085310.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,1000518,Not Available,Not Available,Not Available,0,90,Not Available,Not Available,1.99397,Unable to Check (not enough data),0,163318225.5,Not Available,Ok,4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473;4215754;4215773;4435245;4435246;4435247;4435248;4435249;4451835;4451836;4451837;4451838;4451839;4457478;4457479;4457481;4457482,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.860915,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15123333.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),0,5282091.1,Not Available,Not Available,2013469,Not Available,BRONX,Yes,Medical Office,Not Available,Not Available,Not Available,Not Available,STB00260E 260 E 188th Street-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Yes,50,0,No,Not Available,Not Available,Not Available,Not Available,40.762647,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),0,Not Available,Not Available,Not Available,1041926,Not Available,MANHATTAN,No,Office,Not Available,Not Available,Not Available,Not Available,Parkview Tower Owner LLC-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6032.9,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.767347,Not Available,0,0,Not Available,Not Available,01/31/2017,Not Available,Not Available,Not Available,Ok,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,55636,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.07844,No,0,8105982.6,Not Available,Not Available,1086230,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,The School and The Flats-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.83228,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,237,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,273132,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0.86771,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,2128557,Not Available,BRONX,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Compass One A & One B-Not Available
Not Available,Not Available,480,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.847771,Not Available,0.9348,0,0,260 Audobon Avenue,Not Available,Not Available,Not Available,0,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,14600,Not Available,15728,105865480.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,513478,Not Available,14600,Not Available,0,100,Retail Store,Not Available,1.6359,Unable to Check (not enough data),0,78760385.2,Not Available,Ok,1079909;1079908,Not Available,MANHATTAN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Clipper - 1370 St. Nicholas Ave-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,336,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41799341.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,343440,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,2.09644,Unable to Check (not enough data),0,27587320.2,Not Available,Ok,3327402;3327403;3327404;3327405;3327406;3327407;3327408;3327409,Not Available,,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Clipper - 1402 New York Ave-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6195.7,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.703215,Not Available,0,0,Not Available,Not Available,03/31/2017,Not Available,Not Available,Not Available,Ok,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11826409.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jamaica,98748,Not Available,Not Available,Not Available,0,10,Not Available,Not Available,1.23547,No,0,8759058,Not Available,Ok,4206805,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,ZARA - 90-10 149 Street-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,444.7,Not Available,,No,50,153.38,No,Not Available,Not Available,Not Available,Not Available,40.587998,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,2.00006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3585607.4,Not Available,Not Available,Not Available,133.38,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,1205361.7,Not Available,Ok,3195026,Not Available,BROOKLYN,Yes,Office,Not Available,Ok,Not Available,Not Available,325 Avenue Y-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.784224,Not Available,0,0,Not Available,Not Available,12/31/2015,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14877473,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,60812,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4,No,0,5704247.6,Not Available,Ok,4800761;4446238;4446239;4446240;4446246;4446265;4446266,Not Available,QUEENS,Yes,Multifamily Housing,Not Available,Possible Issue,Not Available,Not Available,Bay Terrace 3-3-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3379.9,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.85637,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9672320.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,87354,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,0.77844,No,0,7231054,Not Available,Ok,2049372,Not Available,BRONX,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,2190 Boston Owners Inc.-Not Available
Not Available,Not Available,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41142.8,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.707482,Not Available,0.1444,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,40,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7415907.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,83100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.95066,Yes,0,6353882.5,Not Available,Not Available,4208959,Not Available,QUEENS,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Prime Property Management of NY LLC  88-34 161 Street-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,54040,Not Available,Not Available,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.680345,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9678820.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),0,2978883.3,Not Available,Not Available,3255165,Not Available,BROOKLYN,No,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,Not Available,345 Butler Street-Not Available
Not Available,Not Available,287,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29455.3,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.692048,Not Available,1.05515,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,14744.1,Not Available,Not Available,Not Available,Not Available,23335347.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,272000,Not Available,Not Available,Not Available,0,80,Not Available,Not Available,1.4,No,0,22315598.5,Not Available,Not Available,3054896,Not Available,BROOKLYN,Yes,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,195 Willoughby Avenue-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.756011,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,3144,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,214438364.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,2533600,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,2.01216,Unable to Check (not enough data),0,75390157.3,Not Available,Ok,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4441787;4441791;4441792;4441793;4441798;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH-Not Available
Not Available,Not Available,29,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.712991,Not Available,0.35802,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4208269.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,81000,Not Available,Not Available,Not Available,29,100,Not Available,Not Available,0.58025,Unable to Check (not enough data),0,1431438.7,Not Available,Not Available,3396771,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Sun Sun Group : 467 Keap Street-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6353.9,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.837161,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13097646.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,55000,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1.4,No,0,Not Available,Not Available,Possible Issue,2008053,Not Available,BRONX,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Concourse Green-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.720027,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,75,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11557906.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,80000,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.875,Unable to Check (not enough data),0,9075251.5,Not Available,Not Available,4145164,Not Available,QUEENS,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Leiter - 150-15 79th Avenue-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.798387,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10850839.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NY,108000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4,Unable to Check (not enough data),0,10370499,Not Available,Ok,1056493,Not Available,MANHATTAN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,838 West End Ave Owner LLC-Not Available
Not Available,Not Available,84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.770068,Not Available,0.87684,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9474391.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,95798,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.75369,Unable to Check (not enough data),0,6662001.4,Not Available,Not Available,1043992,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Rudd - 235 East 73rd Street-Not Available
Not Available,Not Available,79,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.762421,Not Available,0.87959,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,12000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,89815,Not Available,12000,Not Available,1,100,Restaurant,Not Available,0.97979,Unable to Check (not enough data),0,15757432.3,Not Available,Ok,1034818,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,57 West 55th Street-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.770949,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,38,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9225409.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,ASTORIA,84000,Not Available,13260,Not Available,0,100,Parking,Not Available,0.70238,Unable to Check (not enough data),0,3968546.6,Not Available,Ok,4864150,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,30 VERNON LLC-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,4478996.7,Not Available,Not Available,Not Available,Not Available,Not Available,2969,Not Available,,Yes,50,700,No,Not Available,Not Available,Not Available,Not Available,40.739279,Not Available,Not Available,0,0.08696,Not Available,12/31/2016,Not Available,2014,0,Ok,Not Available,2.69876,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,45997,47418731.6,Not Available,Not Available,Not Available,800,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,Not Available,Not Available,No,0,17841322.3,Not Available,Ok,1016201,Not Available,MANHATTAN,No,Office,Not Available,Ok,Not Available,Not Available,Newmark_Rosen Portfolio - 902 Broadway (BBL): 1-00849-0016 (BIN): 1016201-Not Available
Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.675027,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,2528,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,163478472.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,2397300,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,1.78117,Unable to Check (not enough data),Not Available,Not Available,Not Available,Possible Issue,3332069;3332216;3332217;3332218;3332219;3332220;3332221;3332224;3332225;3332226;3332227;3332228;3332230;3334251;3339411;3339412;3339413;3398223,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,RED HOOK EAST-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4832.6,Not Available,,Yes,50,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,40.863602,Not Available,0,0,Not Available,Not Available,01/31/2017,Not Available,Not Available,Not Available,Ok,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9110948.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,66832,Not Available,Not Available,Not Available,0,10,Not Available,Not Available,1.5711,No,0,6801899.7,Not Available,Ok,2087904,Not Available,BRONX,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,BETHCO - 2505 Barker Avenue-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.746756,Not Available,Not Available,0,Not Available,Not Available,06/30/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,140678966.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,44860154.6,Not Available,Ok,10219225,Not Available,MANHATTAN,No,Medical Office,Not Available,Possible Issue,Not Available,Not Available,333 E. 38th St-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.839561,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3717856.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,87413,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.39567,Unable to Check (not enough data),0,1697823.5,Not Available,Ok,2009658,Not Available,BRONX,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,1625-1631 Fulton Avenue-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,1500,No,Not Available,Not Available,Not Available,Not Available,40.842733,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,10.71429,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,245039145.3,Not Available,Not Available,Not Available,3000,Not Available,Not Available,Bronx,Not Available,Not Available,20000,Not Available,Not Available,Not Available,Parking,Not Available,Not Available,Unable to Check (not enough data),0,86169471.5,Not Available,Ok,2087151,Not Available,BRONX,Yes,Office,Not Available,Ok,Not Available,Not Available,Simone: 1200 Waters Place-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.727758,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5378896.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Rego Park,300000,Not Available,20000,Not Available,Not Available,100,Parking,Not Available,1.4,Unable to Check (not enough data),0,1713024.4,Not Available,Not Available,Not Available,Not Available,QUEENS,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Howard-Not Available
