descriptor,:@computed_region_sbqj_enih,open_data_channel_type,cross_street_1,status,:@computed_region_92fq_4b7q,created_date-bridge_highway_name
Blocked Sidewalk,38.0,ONLINE,AVENUE H,Closed,8.0,2022-04-15T23:11:07.000-nan
Commercial Overnight Parking,71.0,PHONE,116 AVENUE,Closed,46.0,2022-04-14T20:37:19.000-nan
For One Address,11.0,MOBILE,EAST   71 STREET,Closed,51.0,2022-04-15T11:30:24.000-nan
Retail Store,61.0,PHONE,161 STREET,Closed,24.0,2022-04-15T13:27:50.000-nan
With License Plate,77.0,MOBILE,CRABTREE AVENUE,Closed,9.0,2022-04-15T10:29:48.000-nan
Loud Music/Party,27.0,ONLINE,ELLIOT PLACE,Closed,42.0,2022-04-15T22:32:39.000-nan
Loud Music/Party,16.0,ONLINE,ALFREDO CHOCOLATE ARMENTEROS WAY,Closed,35.0,2022-04-14T16:51:45.000-nan
Loud Music/Party,16.0,ONLINE,ALFREDO CHOCOLATE ARMENTEROS WAY,Closed,35.0,2022-04-14T14:46:45.000-nan
Blocked Hydrant,19.0,ONLINE,BROADWAY,Closed,23.0,2022-04-15T21:07:33.000-nan
Loud Music/Party,75.0,MOBILE,WATCHOGUE ROAD,Closed,14.0,2022-04-16T18:43:12.000-nan
,5.0,ONLINE,AVENUE A,Closed,50.0,2022-04-14T14:03:45.000-nan
Double Parked Blocking Traffic,33.0,MOBILE,WEST  197 STREET,Closed,29.0,2022-04-14T21:39:48.000-nan
Trash or Recycling,21.0,PHONE,WEST  163 STREET,Closed,39.0,2022-04-15T12:18:55.000-nan
Car/Truck Music,18.0,MOBILE,ADAM CLAYTON POWELL JR BOULEVARD,Closed,36.0,2022-04-15T21:23:59.000-nan
Food Temperature,62.0,MOBILE,ELIOT AVENUE,Closed,34.0,2022-04-15T15:22:50.000-nan
Derelict Vehicles,68.0,PHONE,54 AVENUE,Closed,21.0,2022-04-15T22:37:00.000-nan
Elevator - Multiple Devices On Property,14.0,UNKNOWN,,Open,36.0,2022-04-14T13:42:03.000-nan
Lead Kit Request (Residential) (L10),66.0,ONLINE,48 AVE,Closed,33.0,2022-04-14T08:03:00.000-nan
Loud Music/Party,4.0,ONLINE,ALLEN STREET,Closed,32.0,2022-04-15T22:40:24.000-nan
ENTIRE BUILDING,20.0,PHONE,,Closed,36.0,2022-04-14T23:06:00.000-nan
Mobile Food Vendor,6.0,ONLINE,WEST   33 STREET,Closed,10.0,2022-04-15T07:25:50.000-nan
Loud Music/Party,7.0,MOBILE,EAST   21 STREET,Closed,50.0,2022-04-16T01:38:31.000-nan
Branch Cracked and Will Fall,71.0,ONLINE,120 AVENUE,Closed,46.0,2022-04-14T16:15:22.000-nan
Illegal Conversion Of Residential Building/Space,70.0,UNKNOWN,,Closed,28.0,2022-04-15T10:27:01.000-nan
Dog Off Leash,72.0,ONLINE,DITMARS BOULEVARD,Closed,4.0,2022-04-14T17:12:10.000-nan
In Public,66.0,ONLINE,UNNAMED STREET,Closed,33.0,2022-04-15T16:02:57.000-nan
"Noise, Ice Cream Truck (NR4)",62.0,ONLINE,85 ST,Closed,28.0,2022-04-15T19:33:00.000-nan
Blocked Sidewalk,48.0,MOBILE,OTSEGO STREET,Closed,7.0,2022-04-14T07:49:45.000-nan
Blocked Hydrant,45.0,MOBILE,GOWANUS EXPRESSWAY EXIT   21 EB,Closed,7.0,2022-04-15T01:04:57.000-nan
Graffiti,53.0,UNKNOWN,,Closed,30.0,2022-04-14T11:07:55.000-nan
APARTMENT ONLY,8.0,ONLINE,,Closed,50.0,2022-04-15T11:27:52.000-nan
Engine Idling,43.0,ONLINE,FOSTER AVENUE,Closed,11.0,2022-04-14T20:58:55.000-nan
Failed Street Repair,75.0,PHONE,EVANS STREET,Closed,14.0,2022-04-15T15:15:19.000-nan
Posted Parking Sign Violation,55.0,ONLINE,ASHLAND PLACE,Closed,48.0,2022-04-15T10:42:55.000-nan
With License Plate,32.0,MOBILE,COLDEN AVENUE,Closed,12.0,2022-04-15T06:09:36.000-nan
Trees and Sidewalks Program,36.0,UNKNOWN,AVENUE X,Closed,15.0,2022-04-15T15:03:21.000-nan
,59.0,ONLINE,PINSON STREET,Closed,47.0,2022-04-14T14:07:12.000-nan
Loud Music/Party,22.0,MOBILE,WEST  204 STREET,Closed,39.0,2022-04-15T13:07:52.000-nan
No Access,39.0,PHONE,10 AVENUE,Closed,27.0,2022-04-14T23:45:26.000-nan
Loud Music/Party,30.0,ONLINE,229 DRIVE NORTH,Closed,2.0,2022-04-15T12:35:23.000-nan
Car/Truck Music,47.0,ONLINE,FLATLANDS AVENUE,Closed,25.0,2022-04-15T21:22:26.000-nan
After Hours Work - Illegal,33.0,UNKNOWN,,Closed,40.0,2022-04-15T12:24:55.000-nan
Electrical Wiring Defective/Exposed,1.0,UNKNOWN,,Closed,10.0,2022-04-14T10:20:37.000-nan
Loud Talking,36.0,ONLINE,AVENUE Z,Closed,15.0,2022-04-14T23:30:11.000-nan
Sewer Backup (Use Comments) (SA),44.0,PHONE,RUTLAND RD,Closed,17.0,2022-04-14T13:42:00.000-nan
Blocked Hydrant,22.0,ONLINE,MERLIN GERMAN WAY,Closed,39.0,2022-04-14T13:38:40.000-nan
PESTS,71.0,ONLINE,,Closed,46.0,2022-04-14T22:59:48.000-nan
Street Light Out,63.0,UNKNOWN,89 AVE,Closed,16.0,2022-04-15T21:20:00.000-nan
WATER SUPPLY,49.0,ONLINE,,Closed,48.0,2022-04-14T20:26:52.000-nan
,8.0,ONLINE,,Closed,10.0,2022-04-14T18:36:06.000-C
Loud Music/Party,38.0,MOBILE,AVENUE N,Closed,8.0,2022-04-15T20:24:28.000-nan
Loud Music/Party,27.0,ONLINE,EAST  170 STREET,Closed,29.0,2022-04-15T03:46:10.000-nan
No Access,62.0,MOBILE,SUMMERFIELD STREET,Closed,30.0,2022-04-14T08:29:47.000-nan
TOILET,25.0,PHONE,,Closed,42.0,2022-04-14T09:31:33.000-nan
Banging/Pounding,10.0,ONLINE,5 AVENUE,Closed,51.0,2022-04-14T23:58:57.000-nan
PESTS,52.0,ONLINE,,Closed,17.0,2022-04-14T11:03:02.000-nan
ENTIRE BUILDING,70.0,ONLINE,,Closed,28.0,2022-04-16T20:43:58.000-nan
Newspaper Box Complaint,1.0,ONLINE,BROADWAY,Closed,32.0,2022-04-14T10:27:34.000-nan
Loud Music/Party,36.0,ONLINE,NOSTRAND AVENUE,Closed,8.0,2022-04-14T21:57:40.000-nan
Loud Music/Party,31.0,MOBILE,EAST  181 STREET,Closed,22.0,2022-04-15T11:12:21.000-nan
Derelict Vehicles,62.0,PHONE,ELIOT AVENUE,Closed,34.0,2022-04-14T16:55:00.000-nan
Loud Music/Party,30.0,MOBILE,CARPENTER AVENUE,Closed,2.0,2022-04-14T15:26:09.000-nan
APARTMENT ONLY,29.0,ONLINE,,Closed,22.0,2022-04-14T08:30:36.000-nan
Illegal Hotel Rooms In Residential Building,32.0,UNKNOWN,,Closed,22.0,2022-04-15T15:30:40.000-nan
Chemical Vapors/Gases/Odors,62.0,ONLINE,JUNIPER VALLEY ROAD,Closed,34.0,2022-04-15T19:34:18.000-nan
Blocked Hydrant,12.0,MOBILE,CENTRAL PARK WEST,Closed,19.0,2022-04-14T10:58:51.000-nan
Dead Branches in Tree,44.0,PHONE,BEDFORD AVENUE,Closed,48.0,2022-04-14T11:26:15.000-nan
Water Meter Broken/Leaking - Other (CMO),26.0,PHONE,VIRGINIA AVE,Closed,31.0,2022-04-15T11:48:00.000-nan
ENTIRE BUILDING,62.0,ONLINE,,Closed,34.0,2022-04-14T08:42:35.000-nan
BASIN/SINK,22.0,ONLINE,,Closed,39.0,2022-04-14T07:34:57.000-nan
Commercial Overnight Parking,69.0,MOBILE,193 STREET,Closed,20.0,2022-04-14T21:18:25.000-nan
Garbage or Litter,56.0,PHONE,SOUTH    9 STREET,Closed,38.0,2022-04-14T13:29:47.000-nan
Loud Music/Party,49.0,MOBILE,TROY AVENUE,Closed,48.0,2022-04-14T12:35:44.000-nan
Failed Street Repair,39.0,PHONE,AVENUE L,Closed,18.0,2022-04-14T15:15:25.000-nan
,1.0,MOBILE,CANAL STREET,Closed,32.0,2022-04-15T23:51:36.000-nan
Posted Parking Sign Violation,54.0,ONLINE,CLINTON STREET,Closed,38.0,2022-04-14T10:00:43.000-nan
Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,11.0,UNKNOWN,,Closed,51.0,2022-04-14T09:19:29.000-nan
Commercial Overnight Parking,49.0,PHONE,NEW YORK AVENUE,Closed,48.0,2022-04-14T22:36:19.000-nan
