unique_key,created_date,closed_date,intersection_street_2,y_coordinate_state_plane,community_board,vehicle_type,:@computed_region_yeji_bk3q,longitude
53916515,2022-04-14T11:26:52.000,2022-04-15T04:53:41.000,,,0 Unspecified,,,
53919985,2022-04-14T13:19:59.000,2022-04-25T11:22:19.000,ROCKAWAY BOULEVARD,186644.0,10 QUEENS,,3.0,-73.83410884789996
53917803,2022-04-14T12:30:25.000,2022-04-14T12:35:00.000,85 STREET,211765.0,03 QUEENS,,3.0,-73.88183989577927
53924060,2022-04-16T01:40:21.000,2022-04-16T02:13:46.000,EAST   14 STREET,206954.0,02 MANHATTAN,,4.0,-73.99210497163173
53919354,2022-04-14T09:40:00.000,2022-04-14T12:44:00.000,95 PLACE,185083.0,10 QUEENS,,3.0,-73.84117823391242
53930501,2022-04-16T17:29:23.000,2022-04-16T19:20:44.000,ADRIAN AVENUE,258102.0,08 BRONX,,4.0,-73.91231686911047
53931470,2022-04-16T09:34:24.000,2022-05-03T13:53:45.000,,245911.0,06 BRONX,,5.0,-73.88513576164543
53916074,2022-04-14T01:30:00.000,2022-04-14T02:30:00.000,FOREST AVENUE,168707.0,01 STATEN ISLAND,,1.0,-74.1112247128707
53921850,2022-04-15T13:25:14.000,2022-04-15T16:41:11.000,72 AVENUE,205265.0,08 QUEENS,,3.0,-73.81092607497038
53924462,2022-04-15T17:41:15.000,2022-05-16T00:00:00.000,,218056.0,01 QUEENS,,3.0,-73.92929490830328
53922558,2022-04-15T22:42:58.000,2022-04-15T22:50:17.000,VIELE AVENUE,232841.0,02 BRONX,,5.0,-73.88512542504412
53916319,2022-04-14T17:11:51.000,2022-04-16T18:16:46.000,,199560.0,01 BROOKLYN,,2.0,-73.95497813640428
53917123,2022-04-14T12:25:57.000,2022-04-14T12:25:57.000,,262220.0,08 BRONX,,5.0,-73.89409258253914
53917843,2022-04-14T08:01:23.000,2022-04-29T12:09:22.000,NOSTRAND AVENUE,191892.0,03 BROOKLYN,,2.0,-73.95255462963156
