location,park_facility_name,landmark,:@computed_region_f5dn_yrer,taxi_pick_up_location,latitude,park_borough,complaint_type,bridge_highway_segment,agency_name,street_name
"{'type': 'Point', 'coordinates': [-73.92676745128, 40.696649152823]}",Unspecified,,42.0,,40.69664915282313,BROOKLYN,Graffiti,,Department of Sanitation,DEKALB AVENUE
"{'type': 'Point', 'coordinates': [-73.819509267292, 40.816671394533]}",Unspecified,,43.0,,40.81667139453327,BRONX,Water Conservation,,Department of Environmental Protection,LAWTON AVE
"{'type': 'Point', 'coordinates': [-73.933809120949, 40.665346530125]}",Unspecified,,17.0,,40.665346530124594,BROOKLYN,HEAT/HOT WATER,,Department of Housing Preservation and Development,CROWN STREET
"{'type': 'Point', 'coordinates': [-73.982825294691, 40.74502833038]}",Unspecified,PARK AVENUE SOUTH,11.0,"457 PARK AVENUE SOUTH, MANHATTAN (NEW YORK), NY, 10016",40.74502833037993,MANHATTAN,Lost Property,,Taxi and Limousine Commission,PARK AVENUE SOUTH
"{'type': 'Point', 'coordinates': [-73.920220506208, 40.664802676876]}",Unspecified,TAPSCOTT STREET,55.0,,40.66480267687595,BROOKLYN,Noise - Vehicle,,New York City Police Department,TAPSCOTT STREET
"{'type': 'Point', 'coordinates': [-73.956582420257, 40.771225505669]}",Unspecified,2 AVENUE,23.0,"1452 2 AVENUE, MANHATTAN (NEW YORK), NY, 10021",40.771225505669456,MANHATTAN,Lost Property,,Taxi and Limousine Commission,2 AVENUE
"{'type': 'Point', 'coordinates': [-73.896266086202, 40.858578939552]}",Unspecified,TIEBOUT AVENUE,6.0,,40.85857893955208,BRONX,Noise - Residential,,New York City Police Department,TIEBOUT AVENUE
"{'type': 'Point', 'coordinates': [-73.960972514721, 40.666566654961]}",Unspecified,,17.0,,40.66656665496076,BROOKLYN,Water System,,Department of Environmental Protection,MONTGOMERY STREET
"{'type': 'Point', 'coordinates': [-73.882203042672, 40.685361348456]}",Unspecified,,45.0,,40.68536134845638,BROOKLYN,Panhandling,,New York City Police Department,JAMAICA AVENUE
"{'type': 'Point', 'coordinates': [-73.92379011362, 40.824736182945]}",Unspecified,GRAND CONCOURSE,50.0,,40.82473618294532,BRONX,Noise - Vehicle,,New York City Police Department,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-73.982305936589, 40.716639249737]}",Unspecified,DELANCEY ST SOUTH,70.0,,40.71663924973662,MANHATTAN,Sidewalk Condition,,Department of Transportation,DELANCEY ST SOUTH
"{'type': 'Point', 'coordinates': [-73.854566440129, 40.896597333096]}",Unspecified,FURMAN AVENUE,29.0,,40.89659733309558,BRONX,Illegal Parking,,New York City Police Department,FURMAN AVENUE
"{'type': 'Point', 'coordinates': [-73.88959351236, 40.749203610076]}",Unspecified,37 AVENUE,65.0,,40.74920361007611,QUEENS,Consumer Complaint,,Department of Consumer and Worker Protection,37 AVENUE
"{'type': 'Point', 'coordinates': [-73.906059113172, 40.70512367928]}",Unspecified,,54.0,,40.70512367927955,QUEENS,Water System,,Department of Environmental Protection,WOODWARD AVENUE
"{'type': 'Point', 'coordinates': [-73.78535109179, 40.71228492539]}",Unspecified,,25.0,,40.71228492539034,QUEENS,Street Condition,,Department of Transportation,178 STREET
"{'type': 'Point', 'coordinates': [-73.796018596076, 40.591654366986]}",Unspecified,,51.0,,40.59165436698576,QUEENS,PAINT/PLASTER,,Department of Housing Preservation and Development,BEACH   67 STREET
"{'type': 'Point', 'coordinates': [-73.972692401705, 40.751712580887]}",Unspecified,,71.0,,40.75171258088681,MANHATTAN,ELEVATOR,,Department of Housing Preservation and Development,EAST   44 STREET
"{'type': 'Point', 'coordinates': [-73.936378551474, 40.586649343357]}",Unspecified,BATCHELDER STREET,32.0,,40.58664934335699,BROOKLYN,Illegal Dumping,,Department of Sanitation,BATCHELDER STREET
"{'type': 'Point', 'coordinates': [-73.793075774218, 40.676839310478]}",Unspecified,146 STREET,41.0,,40.67683931047816,QUEENS,Damaged Tree,,Department of Parks and Recreation,146 STREET
"{'type': 'Point', 'coordinates': [-73.947358898068, 40.7838913669]}",Unspecified,2 AVENUE,23.0,,40.78389136690008,MANHATTAN,Noise - Residential,,New York City Police Department,2 AVENUE
"{'type': 'Point', 'coordinates': [-73.992619502313, 40.682750742078]}",Unspecified,DEGRAW STREET,14.0,,40.68275074207765,BROOKLYN,Illegal Parking,,New York City Police Department,DEGRAW STREET
"Point', 'coordinates': [-73.967230022457, 40.63019",Unspecified,EAST   10 STREET,60.0,,40.63019748096328,BROOKLYN,Noise - Vehicle,,New York City Police Department,EAST   10 STREET
"{'type': 'Point', 'coordinates': [-73.858386903636, 40.687401318996]}",Unspecified,84 STREET,46.0,,40.68740131899599,QUEENS,Illegal Parking,,New York City Police Department,84 STREET
,Unspecified,,,,,QUEENS,Street Condition,,Department of Transportation,139 AVENUE
"{'type': 'Point', 'coordinates': [-73.936621085918, 40.801501644186]}",Unspecified,EAST  122 STREET,7.0,,40.80150164418587,MANHATTAN,Noise - Vehicle,,New York City Police Department,EAST  122 STREET
"{'type': 'Point', 'coordinates': [-73.898423365801, 40.854439102414]}",Unspecified,,6.0,,40.85443910241399,BRONX,DOOR/WINDOW,,Department of Housing Preservation and Development,TIEBOUT AVENUE
"{'type': 'Point', 'coordinates': [-73.944252729122, 40.754551375188]}",Unspecified,12 STREET,39.0,,40.754551375187845,QUEENS,Noise - Residential,,New York City Police Department,12 STREET
"{'type': 'Point', 'coordinates': [-73.999039968963, 40.749638040013]}",Unspecified,,12.0,,40.74963804001317,MANHATTAN,Graffiti,,New York City Police Department,9 AVENUE
"{'type': 'Point', 'coordinates': [-73.856137734524, 40.752194143398]}",Unspecified,111 STREET,65.0,,40.75219414339786,QUEENS,Blocked Driveway,,New York City Police Department,111 STREET
"{'type': 'Point', 'coordinates': [-73.99218577798, 40.691813946449]}",Unspecified,LIVINGSTON STREET,68.0,,40.69181394644889,BROOKLYN,Illegal Parking,,New York City Police Department,LIVINGSTON STREET
"{'type': 'Point', 'coordinates': [-73.978873564266, 40.779158551223]}",Unspecified,WEST   74 STREET,20.0,,40.77915855122264,MANHATTAN,Noise - Helicopter,,Economic Development Corporation,WEST   74 STREET
"{'type': 'Point', 'coordinates': [-73.946618511412, 40.820088479959]}",Unspecified,ST NICHOLAS AVENUE,18.0,,40.82008847995872,MANHATTAN,Noise - Residential,,New York City Police Department,ST NICHOLAS AVENUE
"{'type': 'Point', 'coordinates': [-73.982638597659, 40.699778218486]}",Unspecified,SANDS STREET,68.0,,40.69977821848639,BROOKLYN,Noise - Residential,,New York City Police Department,SANDS STREET
"{'type': 'Point', 'coordinates': [-73.899867707636, 40.819478223237]}",Unspecified,,8.0,,40.81947822323704,BRONX,Street Light Condition,,Department of Transportation,
"{'type': 'Point', 'coordinates': [-73.923327896357, 40.623803182025]}",Unspecified,AVENUE L,5.0,,40.623803182025206,BROOKLYN,Blocked Driveway,,New York City Police Department,AVENUE L
"{'type': 'Point', 'coordinates': [-73.912948887678, 40.806613347555]}",Unspecified,,49.0,,40.80661334755493,BRONX,FLOORING/STAIRS,,Department of Housing Preservation and Development,EAST  140 STREET
"{'type': 'Point', 'coordinates': [-73.935403034818, 40.847013862188]}",Unspecified,ST NICHOLAS AVENUE,47.0,,40.84701386218844,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,ST NICHOLAS AVENUE
"{'type': 'Point', 'coordinates': [-73.992697817762, 40.69193749469]}",Unspecified,LIVINGSTON STREET,68.0,,40.691937494690364,BROOKLYN,Illegal Parking,,New York City Police Department,LIVINGSTON STREET
"{'type': 'Point', 'coordinates': [-73.906956212788, 40.67998231057]}",Unspecified,,55.0,,40.67998231056959,BROOKLYN,HEAT/HOT WATER,,Department of Housing Preservation and Development,HULL STREET
"{'type': 'Point', 'coordinates': [-73.859570349551, 40.892497479006]}",Unspecified,EAST  231 STREET,29.0,,40.89249747900574,BRONX,Noise - Residential,,New York City Police Department,EAST  231 STREET
"{'type': 'Point', 'coordinates': [-73.898794059327, 40.815126902907]}",Unspecified,,8.0,,40.81512690290694,BRONX,FLOORING/STAIRS,,Department of Housing Preservation and Development,FOX STREET
"{'type': 'Point', 'coordinates': [-73.929419923974, 40.684669886935]}",Unspecified,MALCOLM X BOULEVARD,69.0,,40.68466988693499,BROOKLYN,Noise - Commercial,,New York City Police Department,MALCOM X BOULEVARD
"{'type': 'Point', 'coordinates': [-73.952472829545, 40.727178907351]}",Unspecified,MESEROLE AVENUE,36.0,,40.72717890735117,BROOKLYN,Illegal Parking,,New York City Police Department,MESEROLE AVENUE
"{'type': 'Point', 'coordinates': [-73.927167414375, 40.862011502431]}",Unspecified,,47.0,,40.86201150243065,MANHATTAN,PAINT/PLASTER,,Department of Housing Preservation and Development,ARDEN STREET
"{'type': 'Point', 'coordinates': [-73.921432018527, 40.866448661416]}",Unspecified,VERMILYEA AVENUE,47.0,,40.86644866141602,MANHATTAN,Noise - Residential,,New York City Police Department,VERMILYEA AVENUE
"{'type': 'Point', 'coordinates': [-73.94057434372, 40.678127158771]}",Unspecified,ALICE COURT,69.0,,40.67812715877105,BROOKLYN,Panhandling,,New York City Police Department,ALICE COURT
"{'type': 'Point', 'coordinates': [-73.993076840289, 40.618714994034]}",Unspecified,67 STREET,1.0,,40.61871499403436,BROOKLYN,Blocked Driveway,,New York City Police Department,67 STREET
"{'type': 'Point', 'coordinates': [-73.931148256017, 40.686962818743]}",Unspecified,,69.0,,40.68696281874314,BROOKLYN,FLOORING/STAIRS,,Department of Housing Preservation and Development,MADISON STREET
"{'type': 'Point', 'coordinates': [-73.920450185706, 40.777480698338]}",Unspecified,21 STREET,39.0,,40.77748069833785,QUEENS,Noise - Residential,,New York City Police Department,21 STREET
"{'type': 'Point', 'coordinates': [-73.810114621414, 40.674085484288]}",Unspecified,128 STREET,62.0,,40.67408548428756,QUEENS,Missed Collection,,Department of Sanitation,128 STREET
"{'type': 'Point', 'coordinates': [-73.908722774889, 40.880223162264]}",Unspecified,TIBBETT AVENUE,48.0,,40.88022316226421,BRONX,Noise - Vehicle,,New York City Police Department,TIBBETT AVENUE
"{'type': 'Point', 'coordinates': [-73.898423365801, 40.854439102414]}",Unspecified,,6.0,,40.85443910241399,BRONX,HEAT/HOT WATER,,Department of Housing Preservation and Development,TIEBOUT AVENUE
"{'type': 'Point', 'coordinates': [-73.888942735587, 40.868955321543]}",Unspecified,,24.0,,40.86895532154261,BRONX,HEAT/HOT WATER,,Department of Housing Preservation and Development,EAST  198 STREET
"{'type': 'Point', 'coordinates': [-73.946953618869, 40.816682437959]}",Unspecified,WEST  135 STREET,18.0,,40.8166824379588,MANHATTAN,Noise - Residential,,New York City Police Department,WEST  135 STREET
"{'type': 'Point', 'coordinates': [-74.119500051491, 40.563309643577]}",Unspecified,CLAWSON STREET,15.0,,40.56330964357731,STATEN ISLAND,Dirty Condition,,Department of Sanitation,CLAWSON STREET
"{'type': 'Point', 'coordinates': [-73.84015690731, 40.835978034099]}",Unspecified,COMMERCE AVENUE,43.0,,40.8359780340985,BRONX,Noise - Commercial,,New York City Police Department,COMMERCE AVENUE
"{'type': 'Point', 'coordinates': [-73.88084594003, 40.680076259668]}",Unspecified,HIGHLAND PLACE,45.0,,40.68007625966784,BROOKLYN,Noise - Residential,,New York City Police Department,HIGHLAND PLACE
"{'type': 'Point', 'coordinates': [-73.94505047671, 40.802598371724]}",Unspecified,,7.0,,40.802598371723896,MANHATTAN,Street Condition,,Department of Transportation,
"{'type': 'Point', 'coordinates': [-74.109045268296, 40.563635697903]}",Unspecified,,15.0,,40.56363569790251,STATEN ISLAND,UNSANITARY CONDITION,,Department of Housing Preservation and Development,EBBITTS STREET
"{'type': 'Point', 'coordinates': [-73.896190020439, 40.884151200431]}",Unspecified,ORLOFF AVENUE,48.0,,40.88415120043051,BRONX,Illegal Parking,,New York City Police Department,ORLOFF AVENUE
"{'type': 'Poing', 'coordinates': [-74.153990607211, 40.59011279986]}",Unspecified,BRAISTED AVENUE,30.0,,40.59011279985978,STATEN ISLAND,Blocked Driveway,,New York City Police Department,BRAISTED AVENUE
"{'type': 'Point', 'coordinates': [-73.978088903922, 40.716753804313]}",Unspecified,,70.0,,40.71675380431316,MANHATTAN,Noise,,Department of Environmental Protection,BARUCH DRIVE
"{'type': 'Point', 'coordinates': [-73.976818064637, 40.750884571404]}",Unspecified,EAST   41 STREET,11.0,"122 EAST   41 STREET, MANHATTAN (NEW YORK), NY, 10017",40.7508845714036,MANHATTAN,Taxi Complaint,,Taxi and Limousine Commission,EAST   41 STREET
"{'type': 'Point', 'coordinates': [-73.894461719789, 40.867977899609]}",Unspecified,,24.0,,40.86797789960916,BRONX,PLUMBING,,Department of Housing Preservation and Development,CRESTON AVENUE
"{'type': 'Point', 'coordinates': [-73.964364768475, 40.686277982275]}",Unspecified,,68.0,,40.686277982275215,BROOKLYN,PAINT/PLASTER,,Department of Housing Preservation and Development,ST JAMES PLACE
"{'type': 'Point', 'coordinates': [-74.01589883199, 40.706673280072]}",Unspecified,,56.0,,40.70667328007242,MANHATTAN,Noise,,Department of Environmental Protection,MORRIS STREET
"{'type': 'Point', 'coordinates': [-73.740775121641, 40.760273226815]}",Unspecified,REDFIELD STREET,26.0,,40.76027322681477,QUEENS,Curb Condition,,Department of Transportation,REDFIELD STREET
"{'type': 'Point', 'coordinates': [-73.995175921079, 40.731130084166]}",Unspecified,UNIVERSITY PLACE,57.0,,40.73113008416571,MANHATTAN,Smoking,,Department of Health and Mental Hygiene,UNIVERSITY PLACE
"{'type': 'Point', 'coordinates': [-73.998554249838, 40.679844255329]}",Unspecified,2 PLACE,14.0,,40.67984425532854,BROOKLYN,Abandoned Vehicle,,New York City Police Department,SECOND PLACE
"{'type': 'Point', 'coordinates': [-73.94946429764, 40.807431107551]}",Unspecified,,18.0,,40.80743110755101,MANHATTAN,DOOR/WINDOW,,Department of Housing Preservation and Development,ADAM C POWELL BOULEVARD
"{'type': 'Point', 'coordinates': [-73.870557687088, 40.673732944532]}",Unspecified,PINE STREET,45.0,,40.67373294453163,BROOKLYN,Blocked Driveway,,New York City Police Department,PINE STREET
"{'type': 'Point', 'coordinates': [-73.959114264886, 40.651955544135]}",Unspecified,FLATBUSH AVENUE,60.0,,40.65195554413505,BROOKLYN,Illegal Dumping,,Department of Sanitation,FLATBUSH AVENUE
"{'type': 'Point', 'coordinates': [-73.863634499316, 40.757344177486]}",Unspecified,105 STREET,65.0,,40.75734417748634,QUEENS,Blocked Driveway,,New York City Police Department,105 STREET
"{'type': 'Point', 'coordinates': [-73.920823607381, 40.864260721383]}",Unspecified,POST AVENUE,47.0,,40.86426072138255,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,POST AVENUE
"{'type': 'Point', 'coordinates': [-73.945456812116, 40.804821792642]}",Marcus Garvey Park,MT MORRIS PARK WEST,7.0,,40.80482179264163,MANHATTAN,Animal in a Park,,Department of Parks and Recreation,MT MORRIS PARK WEST
"{'type': 'Point', 'coordinates': [-73.987711439761, 40.727042588192]}",Unspecified,EAST    6 STREET,70.0,,40.727042588191566,MANHATTAN,Indoor Air Quality,,Department of Health and Mental Hygiene,EAST    6 STREET
"{'type': 'Point', 'coordinates': [-73.831219856205, 40.850243296273]}",Unspecified,HOBART AVENUE,43.0,,40.8502432962728,BRONX,Illegal Parking,,New York City Police Department,HOBART AVENUE
"{'type': 'Point', 'coordinates': [-73.795108989138, 40.685093758992]}",Unspecified,148 STREET,41.0,,40.68509375899232,QUEENS,Sanitation Worker or Vehicle Complaint,,Department of Sanitation,148 STREET
"{'type': 'Point', 'coordinates': [-73.949065110576, 40.823992575095]}",Unspecified,,37.0,,40.82399257509468,MANHATTAN,DOOR/WINDOW,,Department of Housing Preservation and Development,HAMILTON PLACE
"{'type': 'Point', 'coordinates': [-73.969532563596, 40.787088742366]}",Unspecified,WEST   88 STREET,20.0,,40.787088742366095,MANHATTAN,Illegal Parking,,New York City Police Department,WEST   88 STREET
"{'type': 'Point', 'coordinates': [-73.930562025762, 40.685515971673]}",Unspecified,JEFFERSON AVENUE,69.0,,40.68551597167343,BROOKLYN,Noise - Residential,,New York City Police Department,JEFFERSON AVENUE
"{'type': 'Point', 'coordinates': [-74.10147105211, 40.607521058711]}",Unspecified,OCEAN TERRACE,30.0,,40.60752105871104,STATEN ISLAND,Abandoned Vehicle,,New York City Police Department,OCEAN TERRACE
"{'type': 'Point', 'coordinates': [-73.884490841759, 40.877895912363]}",Unspecified,EAST MOSHOLU PARKWAY SOUTH,24.0,,40.877895912362646,BRONX,Illegal Parking,,New York City Police Department,EAST MOSHOLU PARKWAY SOUTH
"{'type': 'Point', 'coordinates': [-73.938041854958, 40.590583552235]}",Unspecified,BROWN STREET,32.0,,40.59058355223519,BROOKLYN,Root/Sewer/Sidewalk Condition,,Department of Parks and Recreation,BROWN STREET
"{'type': 'Point', 'coordinates': [-73.91231686911, 40.875071417247]}",Unspecified,WEST  225 STREET,48.0,,40.875071417247405,BRONX,Noise - Residential,,New York City Police Department,WEST  225 STREET
"{'type': 'Point', 'coordinates': [-73.907206874379, 40.771901718991]}",Ditmars Playground,STEINWAY STREET,39.0,,40.7719017189908,QUEENS,Animal in a Park,,Department of Parks and Recreation,STEINWAY STREET
"{'type': 'Point', 'coordinates': [-73.807985761662, 40.758631747658]}",Unspecified,,22.0,,40.75863174765811,QUEENS,WATER LEAK,,Department of Housing Preservation and Development,158 STREET
"{'type': 'Point', 'coordinates': [-73.883664964085, 40.649293684837]}",Unspecified,,45.0,,40.64929368483707,BROOKLYN,UNSANITARY CONDITION,,Department of Housing Preservation and Development,CROTON LOOP
"{'type': 'Point', 'coordinates': [-73.792304693156, 40.675542383947]}",Unspecified,123 AVENUE,41.0,,40.67554238394682,QUEENS,Illegal Parking,,New York City Police Department,123 AVENUE
"{'type': 'Point', 'coordinates': [-73.989848996816, 40.597642961938]}",Unspecified,BAY   37 STREET,1.0,,40.59764296193768,BROOKLYN,Blocked Driveway,,New York City Police Department,BAY   37 STREET
"{'type': 'Point', 'coordinates': [-73.902910618339, 40.84862968066]}",Unspecified,EAST TREMONT AVENUE,6.0,,40.84862968065965,BRONX,Abandoned Vehicle,,New York City Police Department,EAST TREMONT AVENUE
"{'type': 'Point', 'coordinates': [-73.88625653011, 40.875180419543]}",Unspecified,GRAND CONCOURSE,24.0,,40.8751804195428,BRONX,Noise - Residential,,New York City Police Department,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-73.850649769877, 40.830294068408]}",Unspecified,,58.0,,40.83029406840751,BRONX,Street Light Condition,,Department of Transportation,CROSS BRONX EXPY
"{'type': 'Point', 'coordinates': [-73.957139003075, 40.680547177819]}",Unspecified,LEFFERTS PLACE,69.0,,40.68054717781922,BROOKLYN,Rodent,,Department of Health and Mental Hygiene,LEFFERTS PLACE
"{'type': 'Point', 'coordinates': [-73.988138034639, 40.722206370339]}",Unspecified,ORCHARD STREET,70.0,,40.72220637033883,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,ORCHARD STREET
"{'type': 'Point', 'coordinates': [-73.828538563233, 40.756004508849]}",Unspecified,MAIN STREET,22.0,,40.75600450884858,QUEENS,Consumer Complaint,,Department of Consumer and Worker Protection,MAIN STREET
