school_name,forcible_sex_offenses_without,intimidation_harassment,criminal_mischief_with_weapon,weapon_possession_under_other,alcohol_possession,assault_with_serious_physical,riot_without_weapon_s,drug_possession,homicide_with_weapon_s,weapon_possessionthrough,minor_altercations_with_weapon,other_sex_offenses_with_weapon,minor_altercations_without,reckless_endangerment_with,riot_with_weapon_s,reckless_endangerment_without,larceny_or_other_theft_without
Jhs 167 Robert F Wagner,0,2,0,5,1,0,0,0,0,0,0,0,32,0,0,8,2
Is 131,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,1,3
Ps 99 Isaac Asimov,0,1,0,2,0,0,0,0,0,0,1,0,25,0,0,1,3
River East Elementary,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1
Jhs 57 Whitelaw Reid,0,0,0,1,1,0,0,1,0,1,2,0,3,1,0,1,1
Aspire Preparatory Middle School,0,1,0,3,0,0,0,1,0,0,0,0,14,0,0,1,1
Ps 20 Clinton Hill,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps 157 Grove Hill,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
High School Of Fashion Industries,0,0,0,0,1,0,0,2,0,0,0,0,8,0,0,0,3
Ps 58 The Carroll,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps 134 Henrietta Szold,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ps 184 Shuang Wen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
The Richard H Hungerford School,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps/Is 224,0,1,0,2,0,0,0,0,0,0,0,0,11,1,0,3,0
Is 285 Meyer Levin,0,1,0,12,1,0,0,3,0,0,0,0,19,0,0,0,3
Repertory Company High School For Theatre Arts,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,1
Ps 112 Jose Celso Barbosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 142 Amalia Castro,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Jill Chaifetz Transfer High School,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Ps 64 Robert Simon,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1
Ps 183 Robert L Stevenson,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Jhs 143 Eleanor Roosevelt,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,3
Herbert H Lehman High School,0,1,0,18,5,0,0,4,0,8,0,0,79,3,0,1,8
Cultural Academy For The Arts And Sciences,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Ps 721 Manhattan Occupational Training Center,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1
Bayard Rustin Educational Complex,0,2,0,7,2,0,0,2,0,0,1,0,56,0,0,1,6
Ps 130 Hernando Desoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens Transition Center,0,0,0,1,0,0,0,5,0,4,1,0,11,0,0,3,1
Ps 24 Spuyten Duyvil,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0
Riverdale/Kingsbridge Academy,0,0,1,2,1,0,0,1,0,0,0,0,67,2,0,3,8
Ps 230 Dr Roland N Patterson,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
Franklin K Lane High School,0,0,0,2,0,0,0,5,0,14,0,0,24,0,0,1,2
Ps 236 Langston Hughes,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
Ps 290 Manhattan New School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 43 Jonas Bronck,0,2,0,2,1,0,0,0,0,0,0,0,51,0,0,0,0
Jhs 127 Castle Hill,0,0,0,5,0,0,0,1,0,0,1,0,69,0,0,0,4
Ps 214,0,2,0,6,0,0,0,0,0,0,1,0,18,2,0,5,0
Ps/Is 72 Annette P Goldman,0,3,0,2,0,0,0,0,0,0,1,0,35,3,0,1,1
Knowledge And Power Prep Academy International High School,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
High School For Innovation In Advertising And Media,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,1
Urban Assembly School For Applied Math And Science,0,1,0,4,1,0,0,0,0,0,0,0,6,0,0,0,0
Bronx Guild High School,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0
School Of Diplomacy,0,0,1,1,0,0,0,0,0,0,3,0,14,1,0,2,0
Ps 179,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0
