dbn,phone_number,code1,grade9geapplicantsperseat1,transfer,requirement6_4,grade9swdfilledflag6,requirement6_5,requirement3_2,requirement1_4,requirement3_7,common_audition6,grade9gefilledflag5,interest3,admissionspriority38,program1,appperseat1specialized,admissionspriority23,requirement3_4,academicopportunities2,method1,shared_space,grade9geapplicants8,interest8,code5,requirement3_1,requirement1_5,grade9geapplicants9,pbat,admissionspriority56,admissionspriority72,admissionspriority27,requirement7_5,seats4specialized,grade9geapplicants4,requirement1_8,seats9ge1,grade9gefilledflag10,admissionspriority31,grade9swdfilledflag3,interest2,seats9swd8,prgdesc10,advancedplacement_courses,admissionspriority21,requirement7_2,grade9swdapplicantsperseat7,grade9geapplicants10,academicopportunities1,admissionspriority11,program8,seats9swd1,academicopportunities5,eligibility4,requirement3_6,admissionspriority34,grade9swdapplicants8,admissionspriority33
02M533,212-253-3110,A33A,11.0,,,,,,,,,,,,Pharmacy Technician,,,,Advisory Rounds: iMentor program (for last two years of high school and first year of college); Peer Group Connection for freshmen,Limited Unscreened,Yes,,,,,,,,,,,,,,,45.0,,Then to Manhattan students or residents,,Health Professions,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"CTE program(s) in: Health Sciences, Dental Lab Technician, Pharmacy Technician; Advanced Placement: Biology, English, U. S. History",Priority to Manhattan students or residents who signed in at a fair or at an information session,,9.0,Partnerships with the Vineyard Theater; Battery Dance Company; Student-Led school dances; School Spirit weeks; New York City Mentorship program,,,,,
08X367,718-617-5046,Y37A,5.0,,,,,,,,,,,,"Archimedes Academy for Math, Science and Technology for New Students",,,,"SUPA courses include Biology, Statistics & Probability, Psychology, College Writing and Forensic Science. We are adding Computer Science & US History",Ed. Opt.,Yes,,,,,,,,,,,,,,,76.0,,Then to New York City residents,,Science & Math,,,,Then to Bronx students or residents,,,,Syracuse University Project Advance (SUPA) partnership offers Grade 11 & 12 students college credit in a variety college courses.,Priority to continuing 8th graders,,20.0,Integrated use of technology in all disciplines,,,,,
09X543,718-842-0687,X41A,2.0,,,,,,,,,,,,Violin and Dance,,,,CUNY College Now,Limited Unscreened,Yes,,,,,,,,,,,,,,,85.0,,Then to Bronx students or residents,,,,,,Then to New York City residents who signed in at a fair or at an information session,,,,Our students are required to take four years of violin and/or dance,Priority to Bronx students or residents who signed in at a fair or at an information session,,23.0,,,,,,
14K478,718-387-2800,K88A,9.0,,,,,,,,,,Science & Math,,Computer Science/Networking,,,,"Students may major in music; Performing arts department consists of concert bands, jazz bands, choral ensembles, dance ensembles, and chamber groups",Ed. Opt.,Yes,,,,,,,,,,,,,77.0,,79.0,,,N,"Hospitality, Travel, & Tourism",,,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Statistics, AP U.S. History, AP World History",,,,,"CTE program(s) in: Hospitality and Tourism, Information Technology",Open to New York City residents,,17.0,All musical ensembles compete annually at the New York State Music Association festival,,,,,
04M,212-860-5929,M86A,52.0,,,,,,,,,,,,Central Park East,,,,"Mount Sinai Hospital Internships and MedDocs Program, Seminar Classes for Grades Nine through Twelve, Computer Coding, Data Analytics",Screened,Yes,,,,"Course Grades: English (89-100), Math (89-100), Science (90-100), Social Studies (90-100)",,,,,,,,,,,96.0,,,,,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Statistics, AP U.S. History",,,,,"Advanced Regents Honors, College Bound Initiative, CUNY College Now (11th and 12th grades), Think CUNY College Now (9th and 10th grades)",Open to New York City residents,,19.0,,,,,,
05M362,212-666-1278,A15A,38.0,,,,,,,,,,,,Columbia Secondary School,,,,"Students take Philosophy, Engineering, Spanish, Creative Arts, and an Elective; Math, Science, and Engineering Program",Screened,Yes,,,,Course Grades: Average (92-100),,,,,,,,,,,80.0,,,,,,,,Then to New York City residents,,,,CTE program(s) in: Scientific Research and Engineering,Priority to continuing 8th graders,,16.0,,,,,,
23K644,718-495-0863,L65A,6.0,,,,,,,,,,,,Eagle Academy for Young Men II,,,,All core classes are Regents-level and Common Core-aligned.,Limited Unscreened,Yes,,,,,,,,,,,,,,,67.0,,Then to New York City residents who signed in at a fair or at an information session,,,,,"AP English Literature and Composition, AP U.S. Government and Politics, AP U.S. History",Then to Brooklyn students or residents who signed in at a fair or at an information session,,,,Small school with individualized programs to meet the needs of all scholars,Priority to continuing 8th graders,,14.0,,,,,,
14K614,718-387-5641,L66A,4.0,,,,,,,,,,,,The Young Women's Leadership School of Brooklyn,,,,Collaborative groupwork and project-based instruction,Screened,Yes,,,,Course Grades: Average (64-100),,,,,,,,,,,67.0,,Then to New York City residents,,,,,"AP Biology, AP Calculus AB, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Psychology",Then to Brooklyn students or residents,,,,"Early college counseling; Small, interdisciplinary learning environment; Tutoring for students who want extra support",Priority to continuing 8th graders,,14.0,Computer Science & STEM opportunities,,,,,
10X268,718-329-8580,X86R,4.0,,,,,,,,,,,,Kingsbridge International High School,,,,School Health Program,Screened: Language,Yes,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,Performance-Based Assessments (including Academic Portfolios),,,23.0,,,,,,
27Q314,718-845-1290,Q66A,3.0,,,,,,,,,,,,Epic High School - South,,,,"Real-world problem-based learning, student choice on elective courses, grade-level advisory program focused on personal and social development",Limited Unscreened,Yes,,,,,,,,,,,,,,,68.0,,Then to Queens students or residents,,,,,,Then to New York City residents who signed in at a fair or at an information session,,,,Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources,Priority to Queens students or residents who signed in at a fair or at an information session,,13.0,9th Grade Summer Bridge Program,,,,,
29Q259,718-454-4957,Q09A,,,,,,,,,,,,,Continuing Eighth Grade Program,,,,"Student Support: IVY Keys SAT Prep, Blended Learning; iLearn NYC: APEX and Edgenuity, IVY Keys SAT Prep, AVID, Advisory, PBIS, Regents Prep, Tutoring",For Continuing 8th Graders,Yes,,,,,,,,,,,,,,,,,,,Humanities & Interdisciplinary,,,"AP Calculus AB, AP English Literature and Composition, AP Macroeconomics, AP U.S. History",,,,,"Courses at Adelphi University: College Writing, Pre-Calculus, English Literature.",,,,Restorative Justice School--advisory program based on restorative practices,,,,,
24Q520,718-392-3330,Q30J,15.0,,,,,,,,,,,,Middle College High School at LaGuardia Community College,,,,The focus in 9th and 10th grades is academic and literacy skill development to prepare students for college course work.,Screened,Yes,,,,"Course Grades: English (66-100), Math (66-100), Science (65-100), Social Studies (65-100)",,,1.0,,,,,,,,82.0,,Then to New York City residents,,,,,,Then to Queens students or residents,,,,Performance/Portfolio-based assessment tasks (PBATs) required in sophomore (Gateway) and senior (Oral Defense) year.,Priority to Districts 24 and 30 students or residents,,15.0,All students enroll in college classes and receive extra support through seminar classes.,,,,,
21K468,718-333-7850,L55A,16.0,,,,,,,,,,,,Kingsborough Early College,,,,"Associate Degree, Advisory, Enrichment Clusters",Screened,Yes,,,,"Course Grades: English (77-100), Math (75-100), Science (75-100), Social Studies (72-100)",,,,,,,,,,,75.0,,,,,,,"AP Calculus AB, AP Statistics",Then to New York City residents,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Priority to continuing 8th graders,,15.0,,,,,,
02M422,212-488-3645,A25A,7.0,,,,,,,,,,,,Quest to Learn Upper School,,,,"Advisory, Game Design & Media Arts, Electives, National Honor Society, Student Government",Ed. Opt.,Yes,,,,,,,,,,,,,,,74.0,,Then to New York City residents,,Humanities & Interdisciplinary,,,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP U.S. History",Then to Manhattan students or residents,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Priority to District 2 students or residents,,9.0,"College Now Partnership with Baruch College Affiliation with Hudson Guild for PSAT/SAT Prep, employment opportunities, and community service offerings",,,,,
30Q286,718-267-2839,Q56A,8.0,,,,,,,,,,,,"The Young Women's Leadership School, Astoria",,,,Twenty-first century skills are embedded into a mastery based approach to grading with technology infused courses and a project based mindset.,Screened,No,,,,Standardized Test Scores: Average (2.8-4.5),,,,,,,,,,,68.0,,Then to New York City residents,,,,,"AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP Studio Art: 2-D Design",Then to Queens students or residents,,,,"Students engage in an academically rigorous college prep course of study, with the opportunity to take Advanced Placement and College Now courses.",Priority to continuing 8th graders,,13.0,"Electives include Filmmaking with Tribeca Film Institute, Drama, Musical Theater, Game Design, 3-D Design, Mobile App Development, and Music.",,,,,
26Q315,718-217-3613,Q58A,8.0,,,,,,,,,,,,Business Technology Early College High School,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Limited Unscreened,Yes,,,,,,,,,,,,,,,91.0,,Then to Queens students or residents,,,,,,Then to New York City residents who signed in at a fair or at an information session,,,,"CTE program(s) in: Business, Management & Administration",Priority to Queens students or residents who signed in at a fair or at an information session,,17.0,"Collaborative group project-based learning, college courses starting in the ninth grade",,,,,
21K690,718-266-5032,K90H,9.0,,,,,,,,,,Humanities & Interdisciplinary,,Instrumental Music for New Students,,,,Instructional Program in Instrumental Music: Performance music sequence aligned to NYC Blueprint for the Arts,Ed. Opt.,Yes,,,,,,,,,,,,,,,25.0,,Then to New York City residents,N/A - continuing program,Humanities & Interdisciplinary,,,"AP Computer Science, AP U.S. History",Then to Brooklyn students or residents,,,,CTE program(s) in: Digital Media and Communications,Priority to District 21 students or residents,,5.0,Advisory/Guidance support program grades 9-12 addressing social/emotional needs and college- and career-readiness.,,,,,
02M507,212-246-1041,A23A,14.0,,,,,,,,,,,,UA Gateway,,,,"Industry Certifications: Adobe Photoshop & Illustrator, Strata, A+ and Net+; Tech competitions: SkillsUSA, Hackathons, Robotics",Limited Unscreened,Yes,,,,,,,,,,,,,,,90.0,,Then to Manhattan students or residents,,,,,"AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"CTE programs in: Digital Design & Animation, Information Technology & Systems, Software Engineering (Interdisciplinary Tech Projects & ePortfolios).",Priority to Manhattan students or residents who signed in at a fair or at an information session,,18.0,Four-year College Plus & Regents curriculum and ongoing academic advisement; Daily small group tutoring to support various learners (ask us about *GOLD*),,,,,
21K 337,718-333-7860,K38R,3.0,,,,,,,,,,,,International High School,,,,"CUNY College Now, Career Internships, Integrated Arts Program, Advisory, Online Courses (Advanced Mathematics, Chemistry)",Screened: Language,Yes,,,,,,,1.0,,,,,,,,75.0,,,,,,,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,15.0,,,,,,
13K265,718-834-6760,K42A,4.0,,Writing Exercise,,Writing Exercise,"Course Grades: English (65-100), Math (55-100), Science (55-100), Social Studies (65-100)",Attendance,,,N,Performing Arts,,Visual Arts,,Then to District 13 students or residents,"Course Grades: English, Math, Science, Social Studies","Visual Arts, Vocal and Instrumental Music, Dance, Drama; Marching, Concert, and Jazz Bands; Technical Theater",Audition,Yes,,,K42E,"Course Grades: English (62-100), Math (55-100), Science (58-100), Social Studies (60-100)",Attendance,,,,,,,,18.0,,19.0,,Then to New York City residents,Y,Performing Arts,,,AP English Literature and Composition,Then to District 13 students or residents,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Priority to continuing 8th graders,,4.0,,,,Then to New York City residents,,Then to New York City residents
12X372,718-823-4130,Y38A,5.0,,,,,,,,,,,,Urban Assembly School for Wildlife Conservation,,,,Qualifying students participate in CUNY College Now courses to earn college credit system,Limited Unscreened,Yes,,,,,,,,,,,,,,,64.0,,Then to New York City residents who signed in at a fair or at an information session,,,,,AP English Literature and Composition,Then to Bronx students or residents who signed in at a fair or at an information session,,,,We offer an accelerated program,Priority to continuing 8th graders,,17.0,,,,,,
19K683,718-277-1069,L53A,3.0,,,,,,,,,,,,Theater Skills,,,,"Through advisory, advisors meet with their students in order to engage them in activities that promote social, emotional, and academic growth.",Ed. Opt.,Yes,,,,,,,,,,,,,,,90.0,,,,,,,"AP English Language and Composition, AP Environmental Science",,,,,"Theater: Acting, movement, improvisation, etc.; Teaching artists collaborate with our teachers so that our students have a vibrant drama experience.",Open to New York City residents,,18.0,A resident college advisor ascertains that each student takes all the steps necessary to be admitted into college.,,,,,
15K519,718-403-9544,K91A,4.0,,,,,,,,,,,,Biomedical Sciences/Health Careers,,,,"Gilder Lehrman Affiliate School; CTE: Four-year Pre-Law Institute: Family & Civil Law, Constitutional Rights, Financial Literacy, Criminal Law",Ed. Opt.,Yes,,,,,,,,,,,,,,,83.0,,,,Law & Government,,,"AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics, AP U.S. History, AP World History",Then to New York City residents,,,,Four-year sequence in biomedical sciences (STEM) through Project Lead the Way; Two-semester sequence in engineering; Health Occupations Students of America,Priority to Brooklyn students or residents,,17.0,"Classroom Inc., Castle Learning, SAT; Counseling in Schools: Stepping Stones, Five AP Courses, Experiential Learning opportunities such as Model Senate",,,,,
27Q400,718-528-2920,Q50A,1.0,,,,,,,,,,,,Aerospace and Technology Academy,,,,Advanced courses in Culinary Arts allow students an opportunity to serve in internships and graduate with licensing in food service.,Unscreened,Yes,,,,,,,,,,,,,,,168.0,,,,Culinary Arts,,,AP English Language and Composition,,,,,Advanced courses in aviation allow students to sit for the Federal Aviation Administration (FAA) exams toward the Private Pilot License.,Open to New York City residents,,32.0,"Communication Arts Academy offers Career Development and Arts Administration Workshops, Internships, and Summer College Bridge Program",,,,,
01M539,212-677-5190,M29A,24.0,,,,,,,,,,,,New Explorations into Science Technology and Math,,,,"Wide array of Advanced Placement College-Level courses in Math, Science, and the Humanities",Screened,No,,,,Standardized Test Scores: Average (3.3-4.5),,,,,,,,,,,133.0,,,,,,,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP Spanish, AP U.S. History, AP World History",Then to New York City residents,,,,"Minds Matter, SEO Scholars, POSSE Scholarship, CUNY College Now, Computer Science Partnership with Harvard University and Microsoft--CS50 Curriculum",Priority to continuing 8th graders,,27.0,"Music and Arts program including: Studio Art, Theater, Beginning Band, Wind Ensemble and Jazz Ensemble with bi-annual music concerts and art shows.",,,,,
06M463,212-927-1841,M30A,3.0,,,,,,,,,,,,Media & Communications,,,,"Additional courses include: Leadership, Writing for College, Creative Writing, SAT Preparation, and online courses available in all subject areas.",Ed. Opt.,Yes,,,,,,,,,,,,,,,125.0,,Then to New York City residents,,,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",Then to Manhattan students or residents,,,,"Media courses include: Introduction to Media, Media Production, Video Editing, History of Film and Television, Journalism, Graphic Design, and more.",Priority to District 6 students or residents,,25.0,"Advanced Placement: English Language & Composition, English Literature & Composition, US History, Biology, Spanish Language & Composition, Calculus BC",,,,,
13K439,718-643-9315,K53A,9.0,,,,,,,,,,,,Brooklyn International High School,,,,College Course offerings: CUNY College Now; St. Joseph's College Bridge Program,Screened: Language,Yes,,,,,,,1.0,,,,,,,,67.0,,,,,,,,,,,,Our school requires an Academic Portfolio of Performance-Based Assessment Tasks (PBATs) for graduation,,,14.0,,,,,,
32K168,718-381-7100,L68A,4.0,,,,,,,,,,,,"Mathematics, Science & Humanities",,,,Financial research paper capstone project aligned to college-level research writing.,Limited Unscreened,Yes,,,,,,,,,,,,,,,89.0,,Then to Brooklyn students or residents,,,,,"AP Biology, AP Statistics, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"Advisory program, three periods of math daily.",Priority to Brooklyn students or residents who signed in at a fair or at an information session,,19.0,,,,,,
06M468,212-927-1841,M33A,5.0,,,,,,,,,,,,Health Careers & Sciences,,,,"Elective courses are offered in Pre-Calculus, Hydroponics, Aquaponics, Journalism, Art, Drama, Robotics, and a campus-based ROTC program.",Ed. Opt.,Yes,,,,,,,,,,,,,,,146.0,,Then to New York City residents,,,,,"AP English Literature and Composition, AP Environmental Science, AP Spanish",Then to Manhattan students or residents,,,,"Advanced Placement courses in English, Spanish, History, and Biology",Priority to District 6 students or residents,,29.0,"Our students attend CUNY College Now to earn college credits. We offer Advisory, and College and Career preparation.",,,,,
02M418,212-825-9008,M25A,45.0,,,,,,,,,,,,Millennium High School,,,,"History: Economics, Global 9, Global 10, Government, United States History",Screened,Yes,,,,"Standardized Test Scores: English Language Arts (3.0-4.5), Math (3.3-4.5)",,,,,,,,,,,133.0,,Then to New York City residents,,,,,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP U.S. History, AP World History",Then to Manhattan students or residents,,,,"Art: AP Studio Art, Art 9, Art 10, Graphic Design, Mixed Media, Photography",Priority to students who live or attend school south of East Houston or West Houston Street,,27.0,"Electives: Psychology, Yearbook",,,,,
03M415,212-749-5800,M26A,2.0,,,N,,Course Grades: Average,Attendance,,,N,Visual Art & Design,,Drama,,"Then to Districts 3, 5, and 6 students or residents",Course Grades: Average,"College For Every Student (CFES), CUNY College Now, Saturday Academy, Financial Literacy, Literary Media Program",Audition,Yes,,,M26R,Course Grades: Average (49-100),Attendance,,,Then to New York City residents,,,,,16.0,,27.0,,Then to New York City residents,N,Performing Arts,,,"AP English Literature and Composition, AP Spanish, AP U.S. History","Then to Districts 3, 5, and 6 students or residents",,,,"PM School and After-School Prep Classes, Saturday Academy, Business/Financial Literacy, Mission Society, 21st Century Leadership",Priority to continuing 8th graders,,5.0,We also offer an introductory Italian class.,,,Then to New York City residents,,Then to New York City residents
28Q687,718-657-3181,NO CODE,,,,,,,,,,,,,Queens High School for the Sciences at York College,158.0,,,"Students have the opportunity to enter science, mathematics, and technology competitions at the city, state, and national levels",Test,No,,,,,,,,,,,,,,,,,,,,,,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Physics, AP Spanish, AP Statistics",,,,,"AP courses: Biology, Calculus AB and BC, Chemistry, Chinese, Literature, Environmental Science, Physics, Spanish, US and World History",Open to New York City residents who take the Specialized High Schools Admissions Test (SHSAT),,,,,,,,
17K528,718-230-6300,K32A,5.0,,,,,,Attendance,,,,Computer Science & Technology,,Engineering,,,Course Grades: Average,"Engineering, Biomedical Science, Computer Science, College Summit, CUNY College Now, Kaplan SAT Prep",Ed. Opt.,Yes,,,,,,,,,,,,,38.0,,19.0,,,N,Health Professions,,,"AP Computer Science, AP World History",,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Open to New York City residents,,4.0,"Elective art courses (Visual Arts, Drama, Photography)",,,,,
05M692,212-281-6490,NO CODE,,,,,,,,,,,,,Pre-Engineering,158.0,,,"Project Lead The Way Pre-Engineering: Design & Drafting, Digital Electronics, Principles of Engineering, Civil Engineering & Architecture",Test,No,,,,,,,,,,,,,,,,,,,,,,"AP Calculus BC, AP Chemistry, AP Computer Science, AP English Literature and Composition, AP Environmental Science, AP German, AP Statistics, AP World History",,,,,CTE program(s) in: Scientific Research and Engineering,Open to New York City residents who take the Specialized High Schools Admissions Test (SHSAT),,,CCNY College Now Program: eligible students can enroll in college-credit bearing classes on weekends and after-school,,,,,
30Q301,718-609-3330,Q01A,12.0,,,,,,,,,,,,Academy for Careers in Television and Film,,,,CTE endorsement in Film/Video; comprehensive sequence of production courses; opportunity to select area of production specialization in 11th grade,Limited Unscreened,Yes,,,,,,,,,,,,,,,114.0,,,,,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP U.S. History",Then to New York City residents,,,,"CTE program(s) in: Arts, A/V Technology & Communication",Priority to New York City residents who signed in at a fair or at an information session,,21.0,"Four-year advisory system, College Advisement, SAT Prep, National Honor Society",,,,,
10X237,718-432-6491,X62X,5.0,,,,,,,,,,,,"Marie Curie High School for Nursing, Medicine, & Allied Health Professions",,,,Experiential learning opportunities in local Bronx Nursing Homes and other health-related settings,Limited Unscreened,Yes,,,,,,,,,,,,,,,107.0,,Then to Bronx students or residents,,,,,"AP Biology, AP English Language and Composition, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"CUNY College Now, College Center, Internships",Priority to Bronx students or residents who signed in at a fair or at an information session,,28.0,,,,,,
27Q650,718-846-6280,Q83A,17.0,,,,,,,,,,Engineering,,Construction Trades & Management,,,,"Students may receive CTE endorsement in the following areas: Construction Technology, Architecture, and Engineering",Screened,Yes,,,,,,,,,,,,,,,71.0,,,Y,Architecture,,,"AP Biology, AP Calculus AB, AP Calculus BC, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Statistics, AP U.S. History, AP World History",,,,,"CTE program(s) in: Architecture and Construction, Manufacturing Production, Scientific Research and Engineering",Open to New York City residents,,13.0,Studio Art,,,,,
07X259,718-585-8013,X37A,10.0,,,,,,,,,,,,"HERO High (Health, Education, and Research Occupations High School)",,,,Free two-year Associates degree in Applied Science in Nursing or Community Health Work,Limited Unscreened,Yes,,,,,,,,,,,,,,,85.0,,Then to Bronx students or residents,,,,,,Then to New York City residents who signed in at a fair or at an information session,,,,CTE program(s) in: Nursing,Priority to Bronx students or residents who signed in at a fair or at an information session,,23.0,"Lots of electives, including Dance, Music, Visual Art, Food Studies, Hip-Hop, Honors Humanities, and Spanish Native Language Arts.",,,,,
02M419,212-647-7410,M91A,4.0,,,,,,,,,,,,Landmark High School,,,,"College Opportunities: College Now courses, Upward Bound, College Trips, Full-Time College Counselor; Partnerships with Baruch and John Jay Colleges",Ed. Opt.,Yes,,,,,,,1.0,,,,,,,,83.0,,,,,,,,Then to New York City residents,,,,Performance-based assessments required for graduation in all core subject areas,Priority to Manhattan students or residents,,17.0,"After-school clubs and activities for all students, including: PSAL Sports, Dance Team, Poetry Club, LGBT Club, and Coed Teacher-Student Softball",,,,,
24Q296,718-271-3602,Q03A,2.0,,,,,,,,,,,,Pan American International High School,,,,"Before- and After-School Activities, Saturday Academy, CUNY LINCT, University of Albany College Now, and College Prep classes.",Screened: Language,Yes,,,,,,,1.0,,,,,,,,91.0,,,,,,,AP Spanish,,,,,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,,17.0,,,,,,
