location,latitude,longitude,closed_date,cross_street_1,:@computed_region_yeji_bk3q,street_name,:@computed_region_f5dn_yrer
"{'type': 'Point', 'coordinates': [-73.941513, 40.688756]}",40.688756,-73.941513,2025-12-21T15:26:30.000,THROOP AVENUE,2,LEXINGTON AVENUE,69
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-18T09:55:42.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-73.943155, 40.590106]}",40.590106,-73.943155,2025-12-16T03:37:32.000,AVENUE Y,2,EAST 27 STREET,32
"{'type': 'Point', 'coordinates': [-73.875687, 40.685621]}",40.685621,-73.875687,2025-12-22T07:00:02.000,ETNA STREET,2,CHESTNUT STREET,45
"{'type': 'Point', 'coordinates': [-73.981468, 40.655286]}",40.655286,-73.981468,2025-12-16T18:11:29.000,10 AVENUE,2,20 STREET,9
"{'type': 'Point', 'coordinates': [-73.913959, 40.687841]}",40.687841,-73.913959,2025-12-14T12:57:48.000,BUSHWICK AVENUE,2,WEIRFIELD STREET,42
"{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}",40.672731,-73.90056,2025-12-20T21:05:36.000,HINSDALE STREET,2,GLENMORE AVENUE,45
"{'type': 'Point', 'coordinates': [-73.951848, 40.742489]}",40.742489,-73.951848,2025-12-10T14:52:43.000,JACKSON AVENUE,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.960385, 40.774916]}",40.774916,-73.960385,2025-12-20T18:28:14.000,PARK AVENUE,4,EAST 78 STREET,23
"{'type': 'Point', 'coordinates': [-73.987291, 40.71759]}",40.71759,-73.987291,2025-12-21T20:46:12.000,SUFFOLK STREET,4,BROOME STREET,70
"{'type': 'Point', 'coordinates': [-73.982477, 40.75205]}",40.75205,-73.982477,2025-12-23T12:59:23.000,EAST 39 STREET,4,5 AVENUE,11
"{'type': 'Point', 'coordinates': [-73.974074, 40.680426]}",40.680426,-73.974074,2025-12-13T13:41:14.000,6 AVENUE,2,BERGEN STREET,16
"{'type': 'Point', 'coordinates': [-74.083733, 40.635738]}",40.635738,-74.083733,2025-12-18T08:36:07.000,JERSEY STREET,1,JERSEY STREET,4
"{'type': 'Point', 'coordinates': [-73.908876, 40.636392]}",40.636392,-73.908876,2025-12-13T00:46:21.000,FLATLANDS AVENUE,2,EAST 84 STREET,5
"{'type': 'Point', 'coordinates': [-73.989366, 40.690002]}",40.690002,-73.989366,2025-12-16T17:31:34.000,BOERUM PLACE,2,SCHERMERHORN STREET,68
"{'type': 'Point', 'coordinates': [-73.937722, 40.755517]}",40.755517,-73.937722,2025-12-12T21:39:44.000,23 STREET,3,39 AVENUE,39
"{'type': 'Point', 'coordinates': [-73.998647, 40.723923]}",40.723923,-73.998647,2025-12-23T16:15:09.000,SPRING STREET,4,BROADWAY,57
"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",40.729931,-73.810428,2025-12-20T09:21:21.000,71 AVENUE,3,PARSONS BOULEVARD,25
"{'type': 'Point', 'coordinates': [-73.816631, 40.710028]}",40.710028,-73.816631,2025-12-13T08:11:32.000,BURDEN CRESCENT,3,84 DRIVE,25
"{'type': 'Point', 'coordinates': [-73.999831, 40.644453]}",40.644453,-73.999831,2025-12-12T20:56:32.000,8 AVENUE,2,44 STREET,2
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-15T17:19:39.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-73.987573, 40.755857]}",40.755857,-73.987573,2025-12-19T10:52:10.000,WEST 41 STREET,4,TIMES SQUARE,11
"{'type': 'Point', 'coordinates': [-73.819696, 40.835679]}",40.835679,-73.819696,2025-12-13T19:57:55.000,LAYTON AVENUE,5,WILCOX AVENUE,43
"{'type': 'Point', 'coordinates': [-73.951638, 40.773206]}",40.773206,-73.951638,2025-12-13T17:19:56.000,1 AVENUE,4,EAST 80 STREET,23
"{'type': 'Point', 'coordinates': [-74.001704, 40.751985]}",40.751985,-74.001704,2025-12-23T16:59:31.000,HIGH LINE,4,WEST 30 STREET,12
"{'type': 'Point', 'coordinates': [-73.852326, 40.700135]}",40.700135,-73.852326,2025-12-19T18:56:06.000,WOODHAVEN BOULEVARD,3,98 STREET,46
"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",40.729931,-73.810428,2025-12-21T13:57:31.000,71 AVENUE,3,PARSONS BOULEVARD,25
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-10T13:58:02.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates':  [-73.90236, 40.874268]}",40.874268,-73.90236,2025-12-16T17:27:23.000,WEST 229 STREET,5,KINGSBRIDGE TERRACE,48
{''[4,40.754603,-73.866813,2025-12-21T03:19:45.000,101 STREET,3,35 AVENUE,65
"{'type': 'Point', 'coordinates': [-73.953678, 40.680947]}",40.680947,-73.953678,2025-12-11T13:13:16.000,HALSEY STREET,2,BEDFORD AVENUE,69
"{'type': 'Point', 'coordinates': [-73.880338, 40.744092]}",40.744092,-73.880338,2025-12-23T14:39:04.000,BROADWAY,3,VIETOR AVENUE,66
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-20T13:49:24.000,5 STREET,3,50 AVENUE,53
"{'type':  'Point', 'coordinates': [-73.975425, 40.65181]}",40.65181,-73.975425,2025-12-10T16:24:50.000,GREENWOOD AVENUE PEDESTRIAN OVPS,2,GREENWOOD AVENUE,9
"{'type': 'Point', 'coordinates': [-73.867132, 40.755614]}",40.755614,-73.867132,2025-12-16T21:52:17.000,34 AVENUE,3,34 AVENUE,65
"{'type': 'Point', 'coordinates': [-73.789739, 40.853455]}",40.853455,-73.789739,2025-12-13T20:41:04.000,CROSS STREET,5,CITY ISLAND AVENUE,43
"{'type': 'Point', 'coordinates': [-73.887098, 40.826559]}",40.826559,-73.887098,2025-12-22T13:10:24.000,EAST 167 STREET,5,WESTCHESTER AVENUE,8
"{'type': 'Point', 'coordinates': [-73.986329, 40.695217]}",40.695217,-73.986329,2025-12-11T20:36:24.000,JAY STREET,2,JOHNSON STREET,68
"{'type': 'Point', 'coordinates': [-73.932661, 40.795733]}",40.795733,-73.932661,2025-12-18T20:35:59.000,EAST 117 STREET,4,EAST 117 STREET,7
"{'type': 'Point', 'coordinates': [-73.794918, 40.719052]}",40.719052,-73.794918,2025-12-15T20:50:19.000,GRAND CENTRAL PKWY WB EN 172 ST,3,GRAND CENTRAL PARKWAY,25
"{'type': 'Point', 'coordinates': [-73.820222, 40.718694]}",40.718694,-73.820222,2025-12-15T08:41:00.000,78 ROAD,3,141 STREET,25
"{'type': 'Point', 'coordinates': [-73.973753, 40.680824]}",40.680824,-73.973753,2025-12-15T08:23:16.000,6 AVENUE,2,BERGEN STREET,16
"{'type': 'Point', 'coordinates': [-73.988385, 40.691597]}",40.691597,-73.988385,2025-12-18T16:51:52.000,BEND,2,RED HOOK LANE,68
"{'type': 'Point', 'coordinates': [-74.012681, 40.702936]}",40.702936,-74.012681,2025-12-23T17:03:34.000,STATE STREET,4,WATER STREET,56
"{'type': 'Point', 'coordinates': [-74.028922, 40.629471]}",40.629471,-74.028922,2025-12-20T13:15:50.000,RIDGE BOULEVARD,2,78 STREET,10
"{'type': 'Point', 'coordinates': [-73.953889, 40.604403]}",40.604403,-73.953889,2025-12-18T13:50:19.000,AVENUE R,2,EAST 19 STREET,32
"{'type': 'Point', 'coordinates': [-73.971878, 40.646563]}",40.646563,-73.971878,2025-12-20T11:54:20.000,FRIEL PLACE,2,EAST 8 STREET,2
"{'type': 'Point', 'coordinates': [-73.86692, 40.841642]}",40.841642,-73.86692,2025-12-12T20:01:43.000,GARFIELD STREET,5,BAKER AVENUE,59
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-23T04:44:43.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.867374, 40.704817]}",40.704817,-73.867374,2025-12-13T19:22:23.000,78 AVENUE,3,81 STREET,54
"{'type': 'Point', 'coordinates': [-74.149146, 40.629694]}",40.629694,-74.149146,2025-12-23T22:12:56.000,DAVID PLACE,1,GRANITE AVENUE,4
"{'type': 'Point', 'coordinates': [-73.914811, 40.700821]}",40.700821,-73.914811,2025-12-22T20:41:20.000,IRVING AVENUE,2,MENAHAN STREET,42
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-22T06:06:23.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.801942, 40.686371]}",40.686371,-73.801942,2025-12-15T02:57:08.000,111 AVENUE,3,110 AVENUE,41
"{'type': 'Point', 'coordinates': [-73.816631, 40.710028]}",40.710028,-73.816631,2025-12-10T18:16:57.000,BURDEN CRESCENT,3,84 DRIVE,25
"{'type': 'Point', 'coordinates': [-73.901361, 40.871994]}",40.871994,-73.901361,2025-12-14T01:56:37.000,WEST 195 STREET,5,WEBB AVENUE,48
"{'type': 'Point', 'coordinates': [-73.874191, 40.68742]}",40.68742,-73.874191,2025-12-19T23:00:30.000,CRESCENT STREET,2,COX PLACE,45
"{'type': 'Point', 'coordinates': [-73.949472, 40.782981]}",40.782981,-73.949472,2025-12-22T22:44:55.000,3 AVENUE,4,EAST 93 STREET,23
"{'type': 'Point', 'coordinates': [-73.967905, 40.589775]}",40.589775,-73.967905,2025-12-19T22:11:06.000,AVENUE X,2,EAST SECOND STREET,32
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-15T09:52:41.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-73.99275, 40.641085]}",40.641085,-73.99275,2025-12-17T11:47:36.000,FORT HAMILTON PARKWAY,2,43 STREET,2
"{'type': 'Point', 'coordinates': [-73.957674, 40.717536]}",40.717536,-73.957674,2025-12-20T17:55:58.000,NORTH 7 STREET,2,BEDFORD AVENUE,36
"{'type': 'Point', 'coordinates': [-73.867865, 40.731966]}",40.731966,-73.867865,2025-12-20T19:16:58.000,ELIOT AVENUE,3,QUEENS BOULEVARD,40
"{'type': 'Point', 'coordinates': [-73.946891, 40.704535]}",40.704535,-73.946891,2025-12-22T01:37:08.000,MOORE STREET,2,LEONARD STREET,36
"{'type': 'Point', 'coordinates': [-74.001187, 40.715096]}",40.715096,-74.001187,2025-12-11T07:14:24.000,CENTRE STREET,4,WORTH STREET,56
"{'type': 'Point', 'coordinates': [-73.870378, 40.749527]}",40.749527,-73.870378,2025-12-11T04:14:52.000,37 AVENUE,3,WARREN STREET,65
"{'type': 'Point', 'coordinates': [-73.870843, 40.751545]}",40.751545,-73.870843,2025-12-21T17:15:39.000,37 AVENUE,3,37 AVENUE,65
