boro_block_lot,address,building_classification,estimated_gross_income_2,gross_sqft_1,address_3,market_value_per_sqft_2,total_units_1,total_units_2,estimated_gross_income_3,market_value_per_sqft_3,market_value_per_sqft_1,boro_block_lot_1,full_market_value_3,year_built,gross_income_per_sqft,net_operating_income_1,estimated_gross_income
1-01119-0036,2 WEST 67 STREET,D4  -ELEVATOR,5841514,217281,920 PARK AVENUE,536.97,71,47,9287532.0,261.98,377.56,1-01126-0029,40749000.0,1918,59.71,8239295,7556718
1-00876-0026,38 GRAMERCY PARK NORTH,D4  -ELEVATOR,1645336,24894,,314.19,47,37,,,294.57,1-00877-0057,,1930,53.45,902905,1140570
1-01121-0029,80 CENTRAL PARK WEST,D4  -ELEVATOR,5229018,65000,145 WEST 67 STREET,189.76,46,76,27695729.0,291.51,203.26,1-01120-0051,165578000.0,1968,48.76,2262650,10997916
1-00868-0028,27 EAST 38 STREET,D4  -ELEVATOR,366815,39740,213 EAST 37 STREET,256.64,77,12,1089459.0,380.88,358.53,1-00862-0009,7720000.0,1925,51.81,1325726,515924
1-00626-0054,51 JANE STREET,C6  -WALK-UP,449468,6656,47 JANE STREET,336.43,18,19,519638.0,362.86,463.49,1-00629-0017,3322000.0,1915,58.5,313364,447525
1-00760-0007,361 WEST 36 STREET,D0  -ELEVATOR,3509555,279392,214 WEST 30 STREET,359.58,253,108,1218347.0,104.12,270.49,1-00757-0066,3161000.0,1925,40.13,7317277,2267867
1-00586-0011,22 LEROY STREET,C6  -WALK-UP,397719,8815,7 MORTON STREET,336.0,22,20,400644.0,333.54,374.36,1-00586-0080,2710000.0,1910,49.31,295831,698525
1-00531-0045,48 GREAT JONES STREET,D0  -ELEVATOR,1111130,489709,752 BROADWAY,348.13,486,24,7240877.0,420.42,370.06,1-00548-0070,62127000.0,1920,52.3,15479702,1903197
1-00889-0015,139 EAST 33 STREET,D4  -ELEVATOR,1388194,71115,141 EAST 33 STREET,318.16,102,42,4694929.0,255.42,372.51,1-00890-0005,26177000.0,1957,45.81,1958507,6861697
1-00769-0031,205 WEST 19 STREET,D0  -ELEVATOR,6313052,128350,120 WEST 21 STREET,307.64,119,266,7627445.0,504.64,260.32,1-00765-0035,88120000.0,1913,42.65,3892856,2997101
1-01138-0053,130 WEST 67 STREET,D4  -ELEVATOR,2141729,14025,115 WEST 71 STREET,287.33,16,96,1785109.0,223.33,244.78,1-01184-0025,8121000.0,1975,49.09,474185,9166919
1-01118-0036,55 CENTRAL PARK WEST,D4  -ELEVATOR,5679249,217281,920 PARK AVENUE,536.97,71,47,9038662.0,261.98,377.56,1-01126-0029,40749000.0,1930,58.11,8467441,13466005
1-01183-0029,243 WEST END AVENUE,D4  -ELEVATOR,1434048,36258,225 WEST 71 STREET,253.66,66,25,2138517.0,141.51,381.07,1-01147-0030,6955000.0,1925,43.51,991656,4611886
1-00877-0030,44 GRAMERCY PARK NORTH,D4  -ELEVATOR,3042046,27585,,298.24,13,67,,,259.02,1-00874-0073,,1930,49.31,879962,4329073
1-00561-0037,47 EAST 9 STREET,D4  -ELEVATOR,1332087,20797,63 EAST 11 STREET,269.96,27,35,1120243.0,297.01,250.28,1-00573-0011,6936000.0,1964,49.14,658225,6858273
1-00786-0020,241 WEST 36 STREET,D0  -ELEVATOR,14332512,324212,177 EAST 75 STREET,219.41,167,181,8038090.0,236.61,236.52,1-01332-0029,44200000.0,1925,42.29,7826477,3133689
1-00764-0062,244 WEST 15 STREET,D4  -ELEVATOR,2012329,32736,220 WEST 21 STREET,354.3,41,51,1179086.0,243.54,191.07,1-00791-0050,6278000.0,1930,47.31,986336,2119488
1-00931-0009,311 EAST 25 STREET,D4  -ELEVATOR,2354103,9415,73 LEXINGTON AVENUE,429.17,22,74,494188.0,458.87,449.6,1-00906-0010,4245000.0,1930,51.8,375093,1181662
1-00376-0018,250 EAST 7 STREET,C6  -WALK-UP,731379,18062,220 AVENUE A,344.74,20,21,637379.0,232.17,277.65,1-00372-0056,3477000.0,1928,42.56,518199,502293
1-00517-0009,149 SULLIVAN STREET,C6  -WALK-UP,726337,17494,98 THOMPSON STREET,546.3,27,24,1237708.0,441.86,258.77,1-00503-0045,9363000.0,1900,58.41,730725,1314984
1-00331-0001,504 GRAND STREET,D4  -ELEVATOR,496775,33860,169 BOWERY,270.97,35,14,489093.0,230.74,275.13,1-00309-0006,3424000.0,1929,32.44,857335,7013528
1-00717-0073,458 WEST 20 STREET,D4  -ELEVATOR,401068,21000,313 WEST 21 STREET,420.25,40,19,1047756.0,228.87,347.0,1-00716-0055,4691000.0,1900,51.34,761880,342951
1-00146-0021,134 DUANE STREET,D0  -ELEVATOR,1299478,29165,81 FRANKLIN STREET,276.82,25,20,1175712.0,427.42,357.38,1-00150-0015,11001000.0,1920,41.92,860951,1750412
1-00740-0045,324 WEST 17 STREET,C6  -WALK-UP,835040,10230,208 WEST 17 STREET,213.12,12,36,353666.0,263.61,198.53,1-00738-0022,2866000.0,1910,32.53,207158,351324
1-00623-0055,281 WEST 11 STREET,C6  -WALK-UP,387110,9050,72 CHARLES STREET,378.13,17,13,512853.0,242.22,542.98,1-00622-0067,2312000.0,1910,56.43,333311,654137
1-00642-0048,82 HORATIO STREET,C6  -WALK-UP,337855,14680,81 PERRY STREET,378.13,49,13,459469.0,542.98,365.26,1-00641-0044,4914000.0,1915,50.12,511892,298715
1-00404-0021,534 EAST 11 STREET,C6  -WALK-UP,680591,43871,181 EAST 2 STREET,227.97,35,17,844946.0,75.28,203.44,1-00392-0048,1973000.0,1920,32.61,949368,517325
1-00608-0021,138 WEST 13 STREET,C6  -WALK-UP,543036,6860,81 PERRY STREET,405.12,13,27,412318.0,542.98,378.13,1-00614-0025,4914000.0,1880,45.56,180898,261150
1-01183-0053,342 WEST 72 STREET,D4  -ELEVATOR,3175128,33600,160 WEST 71 STREET,246.86,25,74,10258732.0,207.47,253.66,1-01163-0011,48838000.0,1904,43.36,1049328,8650407
1-01046-0023,315 WEST 55 STREET,D4  -ELEVATOR,3292107,38542,134 WEST 58 STREET,294.65,62,102,3244028.0,312.41,203.49,1-01045-0050,19304000.0,1945,49.76,1332397,1398156
1-01185-0082,314 WEST 77 STREET,D4  -ELEVATOR,485687,11700,317 WEST 74 STREET,210.71,14,12,321301.0,265.66,215.38,1-01185-0030,2044000.0,1924,41.89,355095,1267801
1-00515-0001,451 WEST BROADWAY,D4  -ELEVATOR,1161034,21598,202 AVENUE OF THE AMERICAS,499.66,14,28,1207440.0,392.87,283.54,1-00488-0037,8541000.0,1880,55.54,716622,1455148
1-01058-0025,411 WEST 48 STREET,C6  -WALK-UP,466620,10050,403 WEST 48 STREET,344.62,20,20,606760.0,255.87,313.83,1-01058-0046,3151000.0,1901,49.27,339188,502554
1-01124-0042,12 WEST 72 STREET,D4  -ELEVATOR,1605946,106519,115 WEST 73 STREET,360.45,76,28,2571811.0,149.57,189.76,1-01121-0017,8228000.0,1927,46.88,3664254,9026416
1-00161-0001,196 PARK ROW,D4  -ELEVATOR,514876,26300,160 MOTT STREET,220.21,35,24,558859.0,222.53,394.79,1-00309-0022,2663000.0,1965,47.74,809777,14649592
1-01138-0001,141 AMSTERDAM AVENUE,D4  -ELEVATOR,17654400,461229,60 WEST 66 STREET,371.12,340,302,17117870.0,321.34,323.08,1-01132-0035,96723000.0,1962,56.87,18347689,22000160
1-00404-0010,512 EAST 11 STREET,C6  -WALK-UP,1395975,20599,181 EAST 2 STREET,203.44,17,35,824504.0,75.28,227.97,1-00392-0022,1973000.0,1929,31.82,396943,196489
1-00214-0025,135 HUDSON STREET,C6  -WALK-UP,375696,9110,366 BROOME STREET,181.78,13,12,595893.0,314.96,190.34,1-00489-0005,4685000.0,1915,41.24,245423,922250
1-00229-0022,75 GRAND STREET,D4  -ELEVATOR,1219530,21598,202 AVENUE OF THE AMERICAS,499.66,14,28,1268746.0,392.87,283.54,1-00488-0037,8541000.0,1915,58.36,874935,4464073
1-01156-0001,110 WEST END AVENUE,D4  -ELEVATOR,17955313,978985,554 WEST 53 STREET,324.74,982,359,2758944.0,70.76,196.84,1-01171-0063,3998000.0,1976,48.94,35351148,19732608
1-00738-0056,328 WEST 15 STREET,C6  -WALK-UP,1097466,9645,217 WEST 16 STREET,317.11,22,34,995436.0,338.94,337.58,1-00765-0015,6111000.0,1900,51.89,400846,271073
1-00389-0020,204 EAST 7 STREET,C6  -WALK-UP,309536,6750,382 EAST 10 STREET,392.05,18,18,375887.0,375.65,221.48,1-00401-0051,3409000.0,1900,41.66,167062,449928
1-01122-0029,91 CENTRAL PARK WEST,D4  -ELEVATOR,4991412,217281,920 PARK AVENUE,536.97,71,47,7990295.0,261.98,377.56,1-01126-0029,40749000.0,1929,51.37,7417973,10754566
1-00801-0030,107 WEST 25 STREET,D0  -ELEVATOR,1467402,25144,229 7 AVENUE,174.36,18,13,11306742.0,396.33,276.25,1-00802-0001,84075000.0,1905,54.59,1024367,2240483
1-00568-0026,15 EAST 10 STREET,D4  -ELEVATOR,1769503,46137,107 UNIVERSITY PLACE,214.44,50,47,1837778.0,212.7,359.17,1-00572-0026,9230000.0,1910,44.48,1464389,1617560
1-00816-0062,36 WEST 15 STREET,D0  -ELEVATOR,3244982,310000,31 WEST 17 STREET,376.78,245,74,1397893.0,300.09,176.11,1-00816-0007,8330000.0,1909,50.36,10133900,1574858
1-00890-0020,132 EAST 35 STREET,D4  -ELEVATOR,5017875,97414,80 MADISON AVENUE,257.5,100,119,2484947.0,335.4,405.55,1-00887-0023,20161000.0,1969,42.95,2543479,8804750
1-00374-0006,64 AVENUE C,C6  -WALK-UP,252760,27000,129 RIVINGTON STREET,154.74,18,12,310961.0,82.78,203.33,1-00395-0001,1200000.0,1910,23.02,354780,388393
1-00841-0069,30 WEST 40 STREET,D4  -ELEVATOR,13313029,160126,20 PARK AVENUE,270.49,173,253,4871806.0,259.3,236.65,1-00835-0015,26269000.0,1907,47.65,5274551,3331926
1-01162-0016,235 WEST 70 STREET,D4  -ELEVATOR,2368792,37716,,209.98,49,43,,,219.03,1-01117-0047,,1965,52.49,1442259,2360738
1-01184-0028,5 RIVERSIDE DRIVE,D4  -ELEVATOR,529776,44838,317 WEST 74 STREET,215.38,43,14,347384.0,265.66,209.98,1-01182-0029,2044000.0,1936,45.15,1338863,5769357
1-01121-0043,24 WEST 69 STREET,D4  -ELEVATOR,2336355,24370,,307.02,46,83,,,287.2,1-01139-0057,,1922,53.24,861724,1499664
1-00573-0062,35 WEST 9 STREET,D4  -ELEVATOR,1180282,20797,63 EAST 11 STREET,269.96,27,35,989467.0,297.01,250.28,1-00573-0011,6936000.0,1926,43.54,570877,1803078
1-00796-0007,147 WEST 20 STREET,D4  -ELEVATOR,3350256,26250,,327.05,13,69,,,230.29,1-00770-0031,,1938,45.64,744450,2629138
1-01145-0049,140 WEST 74 STREET,D4  -ELEVATOR,1085897,7694,,250.96,19,42,,,265.66,1-01184-0067,,1910,41.99,251594,805788
1-00376-0016,248 EAST 7 STREET,C6  -WALK-UP,764983,18062,220 AVENUE A,344.74,20,21,665384.0,232.17,277.65,1-00372-0056,3477000.0,1928,44.43,518921,524363
1-01196-0013,35 WEST 82 STREET,D4  -ELEVATOR,1386317,37251,,213.51,37,36,,,170.49,1-01211-0052,,1912,33.8,1012109,1118848
1-01164-0002,269 WEST 72 STREET,D4  -ELEVATOR,3519989,21960,200 WEST 70 STREET,249.16,29,92,6336340.0,286.12,250.64,1-01183-0022,45794000.0,1924,40.07,605217,1976533
1-00550-0023,4 EAST 8 STREET,C6  -WALK-UP,518895,17780,58 WEST 8 STREET,290.26,17,12,1327000.0,504.88,177.28,1-00526-0025,12065000.0,1930,53.22,636346,615330
1-01009-0029,1381 AVENUE OF THE AMERICAS,D4  -ELEVATOR,13475632,122813,139 WEST 55 STREET,269.21,111,250,4932337.0,165.35,219.6,1-01011-0013,17599000.0,1962,44.84,3754393,18748232
1-00763-9008,347 WEST 39 STREET,D0  -ELEVATOR,917476,25657,327 WEST 30 STREET,307.15,37,37,1397759.0,202.02,325.21,1-00754-0016,8084000.0,1929,37.27,661437,2390759
1-01200-0031,261 CENTRAL PARK WEST,D4  -ELEVATOR,5004684,128194,135 CENTRAL PARK WEST,236.24,71,55,15783292.0,377.56,239.26,1-01199-0029,82036000.0,1927,47.69,3776596,11376354
1-00833-0022,31 WEST 31 STREET,D4  -ELEVATOR,2957165,160126,214 WEST 30 STREET,467.07,173,75,1379558.0,104.12,236.65,1-00835-0015,3161000.0,1905,45.44,4789369,1455534
1-01120-0061,74 WEST 68 STREET,D4  -ELEVATOR,1758927,30712,312 WEST 73 STREET,223.33,36,38,652724.0,244.78,247.69,1-01143-0020,3433000.0,1924,46.54,1097032,2393459
1-00377-0067,241 EAST 7 STREET,C6  -WALK-UP,423440,15996,620 EAST 11 STREET,375.65,24,20,507040.0,341.47,393.91,1-00379-0057,3694000.0,1900,46.87,485639,374304
1-00343-0062,63 PITT STREET,C6  -WALK-UP,308543,6750,165 ATTORNEY STREET,315.11,18,18,304425.0,309.33,323.41,1-00350-0066,2088000.0,1920,45.71,219847,460300
1-00379-0012,406 EAST 10 STREET,C6  -WALK-UP,292698,7665,205 AVENUE B,492.06,19,18,292592.0,275.65,273.84,1-00393-0034,1773000.0,1930,45.95,252715,673305
1-00882-0052,150 EAST 27 STREET,D4  -ELEVATOR,2204980,30777,145 EAST 22 STREET,334.65,42,70,1480168.0,228.0,187.19,1-00882-0056,7435000.0,1960,45.67,894072,2146490
1-00584-0045,51 MORTON STREET,C6  -WALK-UP,839197,23692,5 CORNELIA STREET,483.63,38,33,369264.0,395.8,288.28,1-00582-0026,3109000.0,1900,46.56,765251,470489
1-00494-0033,213 MOTT STREET,C6  -WALK-UP,344229,26208,104 EAST 4 STREET,415.58,50,22,485304.0,310.16,75.28,1-00397-0022,5743000.0,1900,25.66,407010,199609
1-00608-0060,137 WEST 12 STREET,D4  -ELEVATOR,668909,14944,33 GROVE STREET,486.22,28,27,1437093.0,565.51,490.36,1-00611-0051,17791000.0,1900,44.1,426502,2302020
1-00531-0027,28 EAST 4 STREET,D4  -ELEVATOR,1180360,489709,752 BROADWAY,348.13,486,24,7685674.0,420.42,370.06,1-00548-0070,62127000.0,1902,52.01,17600141,1651630
1-00172-0001,364 BROADWAY,D0  -ELEVATOR,802292,29575,249 GRAND STREET,277.17,12,14,1298232.0,100.55,211.29,1-00172-0030,2671000.0,1920,49.77,1046068,4647423
1-01056-0037,406 WEST 47 STREET,C6  -WALK-UP,476370,12315,408 WEST 51 STREET,265.17,22,20,473156.0,244.59,255.87,1-01058-0028,2293000.0,1901,49.5,395312,520740
1-00896-0014,229 EAST 14 STREET,C6  -WALK-UP,580714,21162,,223.31,30,25,,,152.02,1-00905-0057,,1900,40.73,540901,486113
1-00529-0027,35 BOND STREET,D0  -ELEVATOR,1189100,489709,25 EAST 10 STREET,348.13,486,24,2621480.0,293.7,370.06,1-00548-0070,13362000.0,1910,57.62,22316039,2478812
1-00420-0046,152 FORSYTH STREET,C6  -WALK-UP,486342,26208,627 EAST 9 STREET,227.97,50,17,1016930.0,203.44,75.28,1-00397-0022,8925000.0,1915,23.18,372153,278160
1-01046-0021,321 WEST 55 STREET,D4  -ELEVATOR,1283239,37030,306 WEST 51 STREET,177.58,48,30,1029982.0,286.28,306.1,1-01043-0005,7295000.0,1912,39.46,728751,1706369
1-00564-0001,31 EAST 12 STREET,D4  -ELEVATOR,1323256,42000,127 4 AVENUE,375.59,62,27,2020114.0,459.02,438.43,1-00557-0022,17121000.0,1929,54.85,1656060,3616041
1-00447-0024,336 EAST 6 STREET,C6  -WALK-UP,438357,8100,338 EAST 5 STREET,366.47,23,20,433566.0,347.85,369.51,1-00447-0049,3242000.0,1929,46.52,275643,389372
1-01035-0008,347 WEST 44 STREET,C6  -WALK-UP,641605,10110,328 WEST 44 STREET,549.21,20,20,973220.0,226.64,461.13,1-01037-0048,4211000.0,1930,52.38,357389,555228
1-01143-0007,167 WEST 71 STREET,D4  -ELEVATOR,404172,11316,146 WEST 79 STREET,268.2,20,16,614358.0,291.55,390.6,1-01124-0019,4280000.0,1920,41.2,317980,462429
1-00573-0054,23 WEST 9 STREET,C6  -WALK-UP,2018127,9190,,324.53,19,60,,,354.19,1-00542-0061,,1870,57.35,400868,724445
1-00406-0050,527 EAST 12 STREET,C6  -WALK-UP,437174,15996,,328.07,24,30,,,393.91,1-00379-0057,,1901,29.31,297366,679171
1-01199-0036,257 CENTRAL PARK WEST,D4  -ELEVATOR,5054862,128194,575 WEST END AVENUE,131.16,71,44,4606954.0,236.24,239.26,1-01199-0029,24791000.0,1925,45.66,4047085,6775031
1-00521-0071,10 BLEECKER STREET,D0  -ELEVATOR,455217,49408,115 EAST 12 STREET,277.07,54,16,1880003.0,322.37,292.81,1-00570-0008,13459000.0,1900,44.52,1580067,1807824
1-01169-0036,204 WEST 78 STREET,C6  -WALK-UP,366735,8611,246 WEST 73 STREET,362.65,12,12,370015.0,182.42,271.75,1-01185-0063,1569000.0,1920,44.01,285627,616800
1-01122-0040,18 WEST 70 STREET,D4  -ELEVATOR,1560016,20700,34 WEST 65 STREET,223.33,29,38,1669310.0,219.03,238.74,1-01124-0013,8261000.0,1926,44.11,626382,2659833
1-00377-0026,390 EAST 8 STREET,D4  -ELEVATOR,3618732,98052,174 FORSYTH STREET,72.08,128,156,1002715.0,49.72,228.48,1-00336-0005,1933000.0,1900,26.24,1678650,787672
1-01067-0033,400 WEST 58 STREET,D4  -ELEVATOR,1690723,37000,,269.32,40,46,,,377.84,1-01086-0034,,1957,43.74,1156250,1771995
1-00552-0062,32 WASHINGTON SQUARE WEST,D4  -ELEVATOR,3241539,26712,575 WEST END AVENUE,162.43,14,38,4873506.0,236.24,267.03,1-00220-0027,24791000.0,1925,46.44,743662,2813475
1-00259-0071,35 MONTGOMERY STREET,D4  -ELEVATOR,2063199,137909,191 MADISON STREET,165.93,156,109,222626.0,131.96,72.08,1-00346-0001,1187000.0,1964,24.59,1865909,7061633
1-00885-0074,126 EAST 30 STREET,C6  -WALK-UP,559920,9445,147 EAST 30 STREET,247.75,20,20,448237.0,182.37,202.22,1-00909-0011,1769000.0,1900,46.66,312724,321021
1-00915-0046,222 EAST 35 STREET,D4  -ELEVATOR,516086,62188,210 EAST 35 STREET,335.39,71,12,413103.0,284.41,254.47,1-00888-0031,2657000.0,1942,45.55,1940887,2313758
1-00745-0018,331 WEST 21 STREET,C6  -WALK-UP,1647288,8503,,237.18,12,60,,,309.18,1-00770-0064,,1900,39.79,207898,417795
1-00373-0040,327 EAST 3 STREET,C6  -WALK-UP,642578,27000,112 ELDRIDGE STREET,164.91,18,40,311160.0,187.42,203.33,1-00395-0001,2249000.0,1920,27.53,420120,484803
1-00765-0052,214 WEST 16 STREET,C6  -WALK-UP,524512,10872,,90.54,22,16,,,263.61,1-00766-0050,,1901,45.02,335402,510077
1-00401-0057,513 EAST 5 STREET,C6  -WALK-UP,446596,7244,518 EAST 5 STREET,435.1,18,18,365270.0,388.18,392.05,1-00401-0055,2784000.0,1929,50.74,283168,348584
1-00866-0064,220 MADISON AVENUE,D4  -ELEVATOR,5788854,101306,35 EAST 35 STREET,193.66,102,119,5916498.0,215.67,259.3,1-00865-0032,28674000.0,1941,45.33,3026010,9605880
1-00839-0062,26 WEST 38 STREET,D0  -ELEVATOR,12365890,160126,488 7 AVENUE,270.49,173,253,3817052.0,359.58,236.65,1-00835-0015,31957000.0,1910,43.03,4814989,621310
1-00498-0018,541 BROADWAY,D4  -ELEVATOR,11635584,21598,423 WEST BROADWAY,143.33,14,61,1987834.0,499.66,283.54,1-00488-0037,10328000.0,1909,93.21,1526115,3330859
1-00904-0039,222 EAST 24 STREET,D4  -ELEVATOR,2152777,74120,339 EAST 28 STREET,429.17,72,74,5288875.0,252.63,192.34,1-00901-0021,27824000.0,1900,48.02,2315509,656674
1-00232-0009,452 BROADWAY,D4  -ELEVATOR,6285545,21598,423 WEST BROADWAY,143.33,14,61,1105018.0,499.66,283.54,1-00488-0037,10328000.0,1900,50.49,789191,2126184
1-00912-0043,240 EAST 32 STREET,D4  -ELEVATOR,2457424,26280,217 EAST 33 STREET,328.23,48,79,834211.0,357.2,210.08,1-00888-0055,5617000.0,1930,51.31,924268,527210
1-00894-0006,105 EAST 38 STREET,D4  -ELEVATOR,1851750,62188,249 EAST 30 STREET,183.35,71,39,517743.0,335.39,254.47,1-00888-0031,3704000.0,1924,45.7,1805940,1094241
1-00588-0043,104 BEDFORD STREET,D4  -ELEVATOR,1216788,31460,26 GROVE STREET,563.55,65,42,1057798.0,312.7,565.51,1-00588-0071,7002000.0,1890,48.63,1136021,696771
1-00521-0030,308 MOTT STREET,C6  -WALK-UP,700833,20227,224 SULLIVAN STREET,384.53,48,42,1245784.0,483.46,339.99,1-00521-0026,12872000.0,1900,43.82,772267,772371
1-00449-0015,52 ST MARKS PLACE,D4  -ELEVATOR,611226,11214,214 EAST 11 STREET,409.09,28,23,695770.0,345.54,447.83,1-00452-0039,4756000.0,1920,50.55,342363,484522
1-01056-0018,433 WEST 46 STREET,C6  -WALK-UP,398390,9925,,183.94,20,20,,,264.99,1-01058-0051,,1910,44.45,323853,417386
1-00640-0044,354 WEST 12 STREET,C6  -WALK-UP,443010,14680,81 PERRY STREET,362.86,49,20,454763.0,542.98,365.26,1-00641-0044,4914000.0,1915,49.59,545802,1176275
1-00766-0039,100 7 AVENUE,D4  -ELEVATOR,2918448,141491,78 7 AVENUE,327.05,180,69,5995229.0,260.32,171.31,1-00765-0041,33412000.0,1930,46.71,4206528,4728033
1-00606-0047,126 WEST 11 STREET,D4  -ELEVATOR,1118205,14944,92 GROVE STREET,247.82,28,37,663630.0,348.61,490.36,1-00611-0051,5752000.0,1930,40.22,456240,1191477
1-00561-0001,41 UNIVERSITY PLACE,D4  -ELEVATOR,493459,23353,115 EAST 12 STREET,277.07,42,16,2036148.0,322.37,297.01,1-00563-0043,13459000.0,1923,48.26,736321,1878038
1-00555-0001,772 BROADWAY,D4  -ELEVATOR,1456333,63600,,276.82,30,20,,,290.41,1-00175-0033,,1960,47.2,1670136,33899984
1-00905-0035,242 EAST 25 STREET,D4  -ELEVATOR,1658545,30777,,228.0,42,48,,,187.19,1-00882-0056,,2004,51.0,1061499,2449020
1-00906-0001,201 EAST 25 STREET,D4  -ELEVATOR,43374536,175110,,290.12,177,902,,,237.35,1-00883-0044,,1965,46.65,5116715,7934232
1-00593-0003,141 WAVERLY PLACE,C6  -WALK-UP,1139537,9093,19 CHRISTOPHER STREET,414.8,13,34,819551.0,375.91,444.85,1-00610-0054,5556000.0,1900,55.13,372540,347319
1-01030-0039,210 CENTRAL PARK SOUTH,D4  -ELEVATOR,12327966,387428,145 WEST 58 STREET,322.54,321,325,5568341.0,219.6,284.95,1-01030-0058,26970000.0,1968,45.77,12773501,5587190
1-01043-0017,327 WEST 52 STREET,D4  -ELEVATOR,1105409,37030,352 WEST 46 STREET,286.28,48,38,1379498.0,177.58,306.1,1-01043-0005,5775000.0,1910,42.42,802069,1777398
1-00576-0016,42 WEST 13 STREET,D4  -ELEVATOR,1393622,20797,136 WEST 4 STREET,269.96,27,35,1047875.0,220.9,250.28,1-00573-0011,4611000.0,1960,51.41,747861,1621471
1-00630-0043,511 HUDSON STREET,C6  -WALK-UP,455034,9320,11 JONES STREET,542.98,20,17,491210.0,434.65,545.6,1-00588-0040,4227000.0,1911,50.28,331885,2027290
1-00556-0052,126 EAST 12 STREET,C6  -WALK-UP,2018127,28050,58 WEST 8 STREET,324.53,26,60,1779371.0,504.88,279.89,1-00572-0054,12065000.0,1900,53.11,966884,1238313
1-00150-0010,74 READE STREET,D4  -ELEVATOR,1643846,11967,,273.28,35,60,,,222.53,1-00470-0005,,1915,42.28,379234,878917
1-00615-0067,20 JANE STREET,C6  -WALK-UP,482676,9155,244 WAVERLY PLACE,538.76,20,18,330721.0,378.13,362.86,1-00626-0052,2594000.0,1946,48.21,310537,347112
1-01034-0020,323 WEST 43 STREET,C6  -WALK-UP,454226,9685,330 WEST 43 STREET,263.62,20,20,461837.0,236.97,258.03,1-01036-0009,2250000.0,1900,49.48,307692,471792
1-00908-0047,208 EAST 28 STREET,D4  -ELEVATOR,1547775,47820,327 EAST 34 STREET,187.19,70,42,1072260.0,270.67,334.65,1-00935-0053,5684000.0,1940,50.74,1574235,2537000
1-01166-0058,250 WEST 75 STREET,D4  -ELEVATOR,514917,134183,317 WEST 74 STREET,215.38,114,14,337536.0,265.66,214.57,1-01186-0083,2044000.0,1922,44.01,4640048,1684571
1-01143-0024,119 WEST 71 STREET,D4  -ELEVATOR,3247271,36364,312 WEST 73 STREET,373.7,38,86,609106.0,244.78,223.33,1-01143-0027,3433000.0,1913,45.17,1183285,2501605
1-01183-0037,310 WEST 72 STREET,D4  -ELEVATOR,1772841,33600,244 WEST 74 STREET,141.51,25,37,1458221.0,176.13,253.66,1-01163-0011,7054000.0,1925,36.07,796320,5177993
1-00642-0046,86 HORATIO STREET,C6  -WALK-UP,541845,14680,81 PERRY STREET,538.76,49,18,509787.0,542.98,365.26,1-00641-0044,4914000.0,1915,56.33,585291,457681
1-00622-0041,268 WEST 11 STREET,D4  -ELEVATOR,972823,34140,,309.81,72,31,,,392.65,1-00622-0056,,1915,51.09,1487480,1518650
1-00613-0040,41 PERRY STREET,C6  -WALK-UP,489893,11790,228 WEST 4 STREET,426.72,24,16,552848.0,402.89,306.62,1-00614-0042,4205000.0,1910,52.97,429274,556185
1-00817-0057,4 WEST 16 STREET,D0  -ELEVATOR,16290500,63255,31 WEST 17 STREET,176.11,74,245,1494768.0,300.09,376.78,1-00843-0003,8330000.0,1902,53.85,2669993,1781358
1-00773-0022,241 WEST 23 STREET,D0  -ELEVATOR,1092255,26027,215 WEST 20 STREET,276.25,13,18,1204350.0,230.29,174.36,1-00801-0049,6045000.0,1898,45.23,712359,1188192
1-00545-0011,718 BROADWAY,D0  -ELEVATOR,1122924,489709,1 UNIVERSITY PLACE,299.34,486,21,9620011.0,285.67,370.06,1-00548-0070,62558000.0,1908,43.44,15670688,3265168
1-01038-0012,341 WEST 47 STREET,D4  -ELEVATOR,2134639,25482,355 WEST 51 STREET,341.16,38,90,1272218.0,274.55,286.28,1-01041-0038,6822000.0,1910,51.06,822304,417620
1-00883-0058,140 EAST 28 STREET,D4  -ELEVATOR,2507709,110139,150 EAST 30 STREET,245.43,123,77,1165844.0,385.96,252.63,1-00934-0020,7974000.0,1931,48.44,3426424,4764510
1-00886-0031,133 EAST 30 STREET,D4  -ELEVATOR,593706,21236,150 EAST 39 STREET,306.23,34,23,3362227.0,251.17,122.48,1-00886-0058,22824000.0,1900,39.45,544491,591356
1-00722-0047,410 WEST 25 STREET,C6  -WALK-UP,258793,9750,304 WEST 30 STREET,467.17,22,12,350448.0,184.12,227.18,1-00722-0050,1282000.0,1910,51.8,343102,413986
1-00910-0039,244 EAST 30 STREET,D4  -ELEVATOR,425808,35508,249 EAST 30 STREET,284.41,45,11,531216.0,335.39,292.5,1-00914-0011,3704000.0,1900,47.95,1043936,359385
1-00555-0028,30 3 AVENUE,D4  -ELEVATOR,6371972,25850,70 EAST 12 STREET,420.42,21,180,1890000.0,438.43,299.34,1-00558-0013,18414000.0,1965,43.98,821513,11520121
1-01196-0035,227 CENTRAL PARK WEST,D4  -ELEVATOR,7910985,253749,158 WEST 81 STREET,201.66,140,136,2021984.0,170.49,178.32,1-01198-0029,6351000.0,1910,58.75,11177643,1657103
1-00406-0013,514F EAST 13 STREET,C6  -WALK-UP,310135,9309,517 EAST 12 STREET,345.02,22,14,258111.0,201.66,441.29,1-00406-0057,1458000.0,1900,36.48,205822,293846
