address,net_operating_income_2,net_operating_income,estimated_expense_2,estimated_gross_income_1,full_market_value,distance_from_co_op_in_miles_2,net_operating_income_3,distance_from_co_op_in_miles_1,neighborhood_2,neighborhood_1,estimated_expense_3,expense_per_sqft,year_built_2,expense_per_sqft_2,distance_from_co_op_in_miles,gross_sqft_3,gross_income_per_sqft_2,building_classification_2,report_year,building_classification_3,address_2,neighborhood_3
114 WEST 70 STREET,2134414,1218300,836081,1505470,9894000,0.36,425799.0,0.24,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),129311.0,11.63,1941,11.63,0.1,14025.0,41.32,D1  -ELEVATOR,2019,D1  -ELEVATOR,10 WEST 74 STREET,UPPER WEST SIDE (59-79)
326 EAST 25 STREET,241634,210319,147319,294165,1708000,0.24,269564.0,0.15,GRAMERCY,KIPS BAY,174719.0,17.76,1910,17.76,0.1,9475.0,46.89,C4  -WALK-UP,2019,C5  -WALK-UP,234 EAST 24 STREET,GRAMERCY
35 EAST 12 STREET,1146331,2206200,466628,1162101,17918000,0.25,1186856.0,0.13,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,642770.0,13.95,1928,13.95,0.11,37810.0,48.22,D7  -ELEVATOR,2019,D5  -ELEVATOR,80 4 AVENUE,GREENWICH VILLAGE-CENTRAL
454 WEST 46 STREET,572625,1428600,337500,2564234,11602000,0.3,500010.0,0.17,CLINTON,CLINTON,327180.0,15.58,1999,15.0,0.05,21000.0,40.45,D3  -ELEVATOR,2019,D1  -ELEVATOR,530 WEST 47 STREET,CLINTON
208 FORSYTH STREET,402180,136478,299703,342480,1105000,0.28,229488.0,0.5,LOWER EAST SIDE,LOWER EAST SIDE,173384.0,13.11,1900,13.19,0.32,14497.0,30.89,C7  -WALK-UP,2019,C7  -WALK-UP,58 HESTER STREET,LOWER EAST SIDE
28 WEST 40 STREET,738988,299566,266967,586679,2433000,0.73,433676.0,0.53,FASHION,FASHION,114962.0,12.72,1901,12.72,0.53,12230.0,47.93,C7  -WALK-UP,2019,C7  -WALK-UP,492 9 AVENUE,MURRAY HILL
167 WEST 73 STREET,451849,440326,104291,417360,3576000,0.18,235279.0,0.0,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),122396.0,8.72,1920,8.72,0.05,8063.0,46.5,C5  -WALK-UP,2019,C5  -WALK-UP,156 WEST 74 STREET,UPPER WEST SIDE (59-79)
257 WEST END AVENUE,1162896,1127207,331296,4046375,9155000,0.14,1681913.0,0.14,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),544582.0,11.08,1920,9.86,0.14,49150.0,44.47,D7  -ELEVATOR,2019,D7  -ELEVATOR,251 WEST 71 STREET,UPPER WEST SIDE (59-79)
39 GRAMERCY PARK NORTH,4823927,3324473,2401792,2609778,27001000,0.14,1807773.0,0.11,GRAMERCY,GRAMERCY,991158.0,16.53,1900,16.53,0.13,56670.0,49.73,D6  -ELEVATOR,2019,D6  -ELEVATOR,295 PARK AVENUE SOUTH,GRAMERCY
621 COLUMBUS AVENUE,3777162,3890794,3143347,10118661,31599000,,,0.17,UPPER WEST SIDE (79-96),MANHATTAN VALLEY,,12.61,1974,13.44,0.31,,29.59,D6  -ELEVATOR,2019,,175 WEST 90 STREET,
60 RIVERSIDE DRIVE,1131412,5079376,481001,7823227,41245000,0.18,3622164.0,0.28,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),1476475.0,12.81,1922,12.01,0.05,131476.0,40.26,D6  -ELEVATOR,2019,D6  -ELEVATOR,244 WEST 74 STREET,UPPER WEST SIDE (59-79)
145 EAST 29 STREET,451390,499968,247607,992358,4060000,0.45,2846989.0,0.32,MURRAY HILL,MURRAY HILL,1176779.0,14.18,1982,17.12,0.05,90871.0,48.33,D7  -ELEVATOR,2019,D7  -ELEVATOR,655 2 AVENUE,MURRAY HILL
304 WEST 55 STREET,703813,1492125,483903,1681532,12118000,0.0,1970280.0,0.2,MIDTOWN WEST,MIDTOWN WEST,1498020.0,19.73,1945,18.99,0.1,75926.0,46.61,D3  -ELEVATOR,2019,D3  -ELEVATOR,306 WEST 51 STREET,MIDTOWN WEST
13 WHITE STREET,3824904,1417080,2236549,1453501,11510000,0.37,847203.0,0.22,CIVIC CENTER,CIVIC CENTER,524193.0,15.32,1999,16.01,0.0,30999.0,43.39,D6  -ELEVATOR,2019,D6  -ELEVATOR,336 BROADWAY,CIVIC CENTER
81 IRVING PLACE,955260,2201855,438597,1531692,17882000,0.35,950701.0,0.17,GRAMERCY,GRAMERCY,503512.0,16.6,1910,14.72,0.17,30777.0,46.78,D1  -ELEVATOR,2019,D1  -ELEVATOR,140 EAST 17 STREET,GRAMERCY
105 EAST 15 STREET,489311,1539676,169017,826914,12504000,0.39,713834.0,0.17,GRAMERCY,GRAMERCY,213116.0,12.16,1910,13.53,0.2,17526.0,52.7,D1  -ELEVATOR,2019,D2  -ELEVATOR,76 IRVING PLACE,GRAMERCY
200 MERCER STREET,533539,1329120,311023,1099074,10794000,0.6,1332533.0,0.36,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,608707.0,14.9,1929,14.9,0.1,49408.0,40.46,D1  -ELEVATOR,2019,D5  -ELEVATOR,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL
121 EAST 10 STREET,311449,404560,159928,659020,3286000,0.28,372458.0,0.09,EAST VILLAGE,EAST VILLAGE,195733.0,15.98,1950,15.98,0.0,12264.0,47.1,D1  -ELEVATOR,2019,D3  -ELEVATOR,205 2 AVENUE,EAST VILLAGE
257 EAST 7 STREET,301273,308291,107840,417146,2504000,0.24,660527.0,0.37,ALPHABET CITY,ALPHABET CITY,221079.0,12.75,1900,12.75,0.09,18062.0,48.37,C1  -WALK-UP,2019,C1  -WALK-UP,509 EAST 12 STREET,ALPHABET CITY
565 BROADWAY,654826,1481149,319765,954200,12029000,0.35,3822172.0,0.14,SOHO,SOHO,1673140.0,15.24,1910,15.47,0.21,125235.0,47.15,D7  -ELEVATOR,2019,D5  -ELEVATOR,423 WEST BROADWAY,SOHO
78 CHRISTOPHER STREET,452370,527249,138310,1062575,4282000,0.18,775947.0,0.23,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,276239.0,16.31,1910,13.52,0.14,16968.0,57.74,C4  -WALK-UP,2019,C1  -WALK-UP,661 WASHINGTON STREET,GREENWICH VILLAGE-WEST
411 2 AVENUE,432219,798185,200484,710832,6482000,0.05,400041.0,0.05,GRAMERCY,GRAMERCY,201543.0,14.63,1920,15.14,0.05,13242.0,47.78,C7  -WALK-UP,2019,C7  -WALK-UP,235 EAST 24 STREET,GRAMERCY
33 WEST 67 STREET,4621213,1986024,1790311,9060618,16129000,,,1.01,UPPER EAST SIDE (79-96),UPPER WEST SIDE (59-79),,11.51,1962,11.51,0.3,,41.22,D9  -ELEVATOR,2019,,920 PARK AVENUE,
134 WEST 20 STREET,358443,264499,96966,513188,2148000,,,0.17,CHELSEA,CHELSEA,,22.35,1901,10.58,0.17,,49.69,C7  -WALK-UP,2019,,231 WEST 19 STREET,
151 WEST 28 STREET,873467,1215707,288639,1302140,9872000,0.42,904575.0,0.14,CHELSEA,FASHION,284550.0,13.85,1907,11.09,0.18,26250.0,44.65,D5  -ELEVATOR,2019,D9  -ELEVATOR,110 WEST 26 STREET,CHELSEA
55 EAST 11 STREET,1326585,993664,749866,1234596,8070000,0.2,4555842.0,0.05,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,2373234.0,15.05,1940,17.28,0.18,147773.0,47.85,D8  -ELEVATOR,2019,D5  -ELEVATOR,107 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL
367 EAST 10 STREET,180583,151373,93028,219041,1193000,,,0.17,ALPHABET CITY,ALPHABET CITY,,9.41,1900,7.99,0.17,,23.5,C7  -WALK-UP,2019,,208 AVENUE A,
260 WEST END AVENUE,1629322,3366381,499856,1427664,27340000,0.06,7182690.0,0.0,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),2291370.0,10.47,1920,10.17,0.0,218851.0,43.32,D7  -ELEVATOR,2019,D6  -ELEVATOR,225 WEST 71 STREET,UPPER WEST SIDE (59-79)
320 WEST END AVENUE,2763596,2154683,1664484,10066629,17499000,1.33,1831487.0,1.07,UPPER EAST SIDE (79-96),UPPER WEST SIDE (59-79),1051894.0,16.07,1969,16.31,0.39,65457.0,43.39,D6  -ELEVATOR,2019,D9  -ELEVATOR,985 5 AVENUE,UPPER EAST SIDE (79-96)
546 AVENUE OF THE AMERICAS,5905800,721820,2932200,15047400,5862000,0.16,2251245.0,0.0,FLATIRON,FLATIRON,961476.0,16.29,1962,16.29,0.0,63255.0,49.1,D6  -ELEVATOR,2019,D6  -ELEVATOR,96 5 AVENUE,FLATIRON
53 MORTON STREET,577336,1319110,257007,1061833,10714000,,,0.25,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,,14.63,1926,14.53,0.1,,47.17,D1  -ELEVATOR,2019,,125 WEST WASHINGTON PLACE,
171 WEST 71 STREET,3087104,4234413,1881857,11220391,34390000,1.04,5050514.0,0.93,UPPER EAST SIDE (79-96),UPPER WEST SIDE (59-79),2905562.0,18.68,1969,18.44,0.19,155544.0,48.69,D6  -ELEVATOR,2019,D9  -ELEVATOR,985 5 AVENUE,UPPER EAST SIDE (79-96)
55 WEST 95 STREET,2823504,1901130,952453,2000996,15440000,0.4,4662576.0,0.4,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1818900.0,10.41,1925,10.41,0.2,154800.0,41.27,D3  -ELEVATOR,2019,D3  -ELEVATOR,698 WEST END AVENUE,UPPER WEST SIDE (79-96)
296 LEXINGTON AVENUE,3653658,2403467,2262940,5298304,19520000,0.41,530750.0,0.05,MURRAY HILL,MURRAY HILL,257403.0,20.37,1950,19.64,0.14,14364.0,51.35,D6  -ELEVATOR,2019,D6  -ELEVATOR,41 PARK AVENUE,MURRAY HILL
726 GREENWICH STREET,1560204,4531772,721849,26090540,36805000,0.2,2499325.0,0.35,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,1054080.0,14.87,1920,14.87,0.16,76549.0,47.01,D1  -ELEVATOR,2019,D1  -ELEVATOR,12 JONES STREET,GREENWICH VILLAGE-WEST
15 WAVERLY PLACE,1456782,3186210,766153,6966019,25877000,0.3,1164847.0,0.15,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,609466.0,16.34,1929,16.84,0.11,37299.0,48.86,D6  -ELEVATOR,2019,D5  -ELEVATOR,25 EAST 10 STREET,GREENWICH VILLAGE-CENTRAL
316 WEST 36 STREET,207837,261147,123423,2184693,2121000,0.19,231811.0,0.26,FASHION,FASHION,146019.0,11.84,1910,13.32,0.0,9575.0,35.75,C7  -WALK-UP,2019,C7  -WALK-UP,606 8 AVENUE,FASHION
128 CENTRAL PARK SOUTH,7458769,2923440,3664812,5698523,23743000,0.15,3117836.0,0.15,MIDTOWN WEST,MIDTOWN WEST,1543381.0,14.07,1925,15.04,0.0,94166.0,45.65,D6  -ELEVATOR,2019,D6  -ELEVATOR,1361 AVENUE OF THE AMERICAS,MIDTOWN WEST
170 NORFOLK STREET,194467,289335,93083,283163,2350000,0.09,191970.0,0.09,LOWER EAST SIDE,LOWER EAST SIDE,87075.0,14.68,1910,13.79,0.09,6750.0,42.6,C1  -WALK-UP,2019,C1  -WALK-UP,163 ATTORNEY STREET,LOWER EAST SIDE
319 WEST 54 STREET,831478,736786,457147,1260291,5984000,0.44,1229484.0,0.2,MIDTOWN WEST,MIDTOWN WEST,884381.0,17.94,1945,17.94,0.15,42396.0,50.57,D3  -ELEVATOR,2019,D3  -ELEVATOR,306 WEST 51 STREET,MIDTOWN WEST
128 ELDRIDGE STREET,561460,281416,245398,397920,2286000,0.2,331257.0,0.24,LOWER EAST SIDE,LOWER EAST SIDE,138591.0,10.71,1900,10.8,0.06,14497.0,35.51,C7  -WALK-UP,2019,C7  -WALK-UP,58 HESTER STREET,LOWER EAST SIDE
161 PERRY STREET,15681707,1454055,6527168,29026970,11809000,0.15,2800163.0,0.27,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,1159717.0,15.15,1930,15.03,0.2,76549.0,51.14,D5  -ELEVATOR,2019,D1  -ELEVATOR,521 WEST STREET,GREENWICH VILLAGE-WEST
33 EAST 22 STREET,1832442,934849,1088833,445604,7592000,0.35,1191092.0,0.35,FLATIRON,FLATIRON,604219.0,14.63,1911,17.0,0.05,41300.0,45.61,D9  -ELEVATOR,2019,D5  -ELEVATOR,43 WEST 16 STREET,FLATIRON
13 JONES STREET,1089863,1048395,471179,653540,8515000,0.08,524370.0,0.08,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,164010.0,12.33,1924,12.33,0.08,16500.0,40.85,D3  -ELEVATOR,2019,D1  -ELEVATOR,129 WEST WASHINGTON PLACE,GREENWICH VILLAGE-WEST
29 WEST 15 STREET,858834,760368,307541,1297446,6174000,,,0.55,CHELSEA,CHELSEA,,14.75,1920,12.68,0.5,,48.09,D5  -ELEVATOR,2019,,165 WEST 26 STREET,
652 BROADWAY,807463,1459895,458858,596363,11855000,,,0.61,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,,20.48,1900,19.02,0.06,,52.49,D9  -ELEVATOR,2019,,18 EAST 14 STREET,
125 WEST 12 STREET,1427820,1058974,606886,2643970,8600000,0.17,488370.0,0.31,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,232678.0,14.46,1910,14.46,0.44,14944.0,48.48,D3  -ELEVATOR,2019,D1  -ELEVATOR,30 HORATIO STREET,GREENWICH VILLAGE-WEST
315 WEST 23 STREET,4398113,3464689,2259232,5762915,28138000,0.36,6612217.0,0.19,CHELSEA,CHELSEA,2458633.0,14.83,1927,14.83,0.41,212134.0,43.7,D6  -ELEVATOR,2019,D9  -ELEVATOR,208 WEST 23 STREET,CHELSEA
39A GRAMERCY PARK NORTH,1813720,260568,1215035,1093790,2116000,0.32,1102022.0,0.25,GRAMERCY,GRAMERCY,701602.0,18.57,1963,18.57,0.0,38465.0,46.29,D8  -ELEVATOR,2019,D3  -ELEVATOR,36 UNION SQUARE,GRAMERCY
524 EAST 13 STREET,306466,341492,165758,495841,2773000,0.15,318945.0,0.05,ALPHABET CITY,ALPHABET CITY,164526.0,16.93,1920,16.94,0.05,9718.0,48.26,C4  -WALK-UP,2019,C4  -WALK-UP,517 EAST 13 STREET,ALPHABET CITY
38 WEST 15 STREET,1241891,814145,628586,3037844,6612000,0.39,313573.0,0.1,FLATIRON,FLATIRON,151163.0,15.22,1907,15.22,0.1,10512.0,45.29,D5  -ELEVATOR,2019,D3  -ELEVATOR,27 WEST 16 STREET,FLATIRON
661 10 AVENUE,390163,478020,136181,497165,3882000,0.0,288545.0,0.23,CLINTON,CLINTON,103352.0,11.2,1900,10.52,0.2,8925.0,40.66,C7  -WALK-UP,2019,C7  -WALK-UP,442 WEST 50 STREET,CLINTON
143 WEST 27 STREET,793824,592369,448445,1155115,4811000,0.05,717433.0,0.1,CHELSEA,CHELSEA,397281.0,16.38,1907,17.23,0.05,24254.0,47.73,D5  -ELEVATOR,2019,D5  -ELEVATOR,110 WEST 26 STREET,CHELSEA
172 FORSYTH STREET,433309,204389,267665,342000,1655000,0.24,249349.0,0.42,LOWER EAST SIDE,LOWER EAST SIDE,152943.0,11.7,1900,11.78,0.24,14497.0,30.85,C7  -WALK-UP,2019,C7  -WALK-UP,58 HESTER STREET,LOWER EAST SIDE
333 WEST 22 STREET,490039,310387,200402,412013,2521000,,,0.17,CHELSEA,CHELSEA,,19.5,1920,13.43,0.19,,46.27,D9  -ELEVATOR,2019,,255 WEST 22 STREET,
338 WEST 19 STREET,354960,439756,120870,534037,3571000,0.14,192246.0,0.09,CHELSEA,CHELSEA,63599.0,13.43,1910,13.43,0.05,4996.0,52.87,C4  -WALK-UP,2019,C1  -WALK-UP,340 WEST 17 STREET,CHELSEA
24 AVENUE A,315129,326826,326476,683896,2654000,0.28,330013.0,0.3,ALPHABET CITY,ALPHABET CITY,286730.0,16.76,1900,18.99,0.05,17108.0,37.32,C7  -WALK-UP,2019,C7  -WALK-UP,41 AVENUE D,ALPHABET CITY
652 HUDSON STREET,1660859,1873873,700830,1372194,15219000,,,0.45,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,,16.52,1900,16.25,0.57,,54.76,D7  -ELEVATOR,2019,,317 BLEECKER STREET,
71 WEST 83 STREET,317811,313830,150828,842356,2549000,0.23,409976.0,0.05,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),172153.0,11.98,1900,13.07,0.05,14370.0,40.61,C5  -WALK-UP,2019,C1  -WALK-UP,42 WEST 83 STREET,UPPER WEST SIDE (79-96)
531 WEST 48 STREET,269863,270981,127451,363352,2201000,0.05,252373.0,0.05,CLINTON,CLINTON,125676.0,13.44,1901,13.29,0.0,9275.0,41.43,C4  -WALK-UP,2019,C4  -WALK-UP,548 WEST 50 STREET,CLINTON
123 WEST 74 STREET,445294,1681583,125804,3052449,13657000,0.18,270346.0,0.31,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),91499.0,11.38,1920,8.97,0.18,8303.0,40.72,D1  -ELEVATOR,2019,D1  -ELEVATOR,312 WEST 73 STREET,UPPER WEST SIDE (59-79)
222 CENTRAL PARK SOUTH,6072933,2019020,3332548,16084157,16397000,1.16,3225895.0,1.14,UPPER EAST SIDE (59-79),MIDTOWN EAST,1832872.0,17.46,1962,17.84,0.88,102053.0,50.35,D6  -ELEVATOR,2019,D6  -ELEVATOR,177 EAST 75 STREET,UPPER EAST SIDE (79-96)
626 EAST 14 STREET,200594,1571416,128284,1298083,12762000,0.15,261883.0,0.0,ALPHABET CITY,ALPHABET CITY,115967.0,10.61,1900,11.78,0.15,10930.0,30.2,C7  -WALK-UP,2019,C7  -WALK-UP,642 EAST 14 STREET,ALPHABET CITY
500 GRAND STREET,276985,5499004,219945,1099096,44665000,0.67,235940.0,0.49,LOWER EAST SIDE,LOWER EAST SIDE,253302.0,14.2,1900,14.19,0.45,14839.0,32.06,D7  -ELEVATOR,2019,D7  -ELEVATOR,55 ORCHARD STREET,LOWER EAST SIDE
170 2 AVENUE,3024802,3208052,1547015,1952810,26054000,0.19,1137612.0,0.17,EAST VILLAGE,EAST VILLAGE,621101.0,16.76,1930,16.76,0.05,35819.0,49.53,D7  -ELEVATOR,2019,D9  -ELEVATOR,87 3 AVENUE,EAST VILLAGE
215 EAST 29 STREET,994331,326749,462006,2389402,2654000,0.2,577422.0,0.12,MURRAY HILL,MURRAY HILL,234460.0,16.36,1945,16.36,0.05,15725.0,51.57,D3  -ELEVATOR,2019,D1  -ELEVATOR,151 LEXINGTON AVENUE,MURRAY HILL
147 WEST 15 STREET,771700,1407655,323516,1437960,11432000,,,0.47,CHELSEA,CHELSEA,,17.17,1907,12.43,0.05,,42.08,D5  -ELEVATOR,2019,,110 WEST 26 STREET,
313 8 AVENUE,10661639,5156365,2624654,12623707,41886000,0.64,4413871.0,0.68,MURRAY HILL,CHELSEA,2624700.0,10.43,1998,6.44,0.39,218725.0,32.6,D8  -ELEVATOR,2019,D8  -ELEVATOR,7 EAST 28 STREET,FASHION
38 DOWNING STREET,180253,196813,61939,350502,1598000,0.15,191590.0,0.25,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,56202.0,5.87,1875,7.68,0.11,9305.0,30.03,C5  -WALK-UP,2019,C4  -WALK-UP,23 BARROW STREET,GREENWICH VILLAGE-WEST
224 EAST 11 STREET,464353,514923,206513,477426,4182000,0.14,459522.0,0.14,EAST VILLAGE,EAST VILLAGE,211344.0,14.0,1920,13.68,0.14,15096.0,44.44,C4  -WALK-UP,2019,C4  -WALK-UP,235 EAST 13 STREET,EAST VILLAGE
10 WEST 93 STREET,1581120,468547,931680,5227618,3805000,0.56,365904.0,0.34,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),218018.0,12.87,1914,12.94,0.2,16940.0,34.9,D3  -ELEVATOR,2019,D1  -ELEVATOR,166 WEST 87 STREET,MANHATTAN VALLEY
350 BLEECKER STREET,756677,4540162,261355,1679626,36873000,0.21,1058369.0,0.14,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,295485.0,13.63,1930,15.65,0.24,21679.0,60.96,D8  -ELEVATOR,2019,D7  -ELEVATOR,581 HUDSON STREET,GREENWICH VILLAGE-WEST
49 5 AVENUE,1276843,4411482,663566,6942781,35828000,0.18,1401122.0,0.18,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,709711.0,16.01,1906,17.55,0.21,39782.0,51.32,D5  -ELEVATOR,2019,D7  -ELEVATOR,58 WEST 14 STREET,GREENWICH VILLAGE-CENTRAL
337 WEST 20 STREET,288323,226941,111185,228567,1843000,0.14,361911.0,0.05,CHELSEA,CHELSEA,118269.0,12.86,1900,12.02,0.05,9864.0,43.19,C4  -WALK-UP,2019,C1  -WALK-UP,309 WEST 21 STREET,CHELSEA
1200 BROADWAY,5173671,3203897,2470744,3135609,26020000,0.39,955429.0,0.2,FASHION,FASHION,510655.0,16.82,2002,15.43,0.15,30360.0,47.74,D8  -ELEVATOR,2019,D5  -ELEVATOR,35 WEST 33 STREET,FASHION
530 CANAL STREET,847483,997074,313656,1530114,8097000,,,0.57,GREENWICH VILLAGE-WEST,SOHO,,13.77,1998,12.28,0.38,,45.46,D7  -ELEVATOR,2019,,29 7 AVENUE SOUTH,
239 CENTRAL PARK WEST,3309536,6334274,1634460,5723862,51444000,,,0.41,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),,13.48,1911,14.89,0.1,,45.04,D6  -ELEVATOR,2019,,315 CENTRAL PARK WEST,
445 WEST 37 STREET,137825,152933,97817,307614,1239000,0.44,184630.0,0.54,CLINTON,CLINTON,119797.0,11.98,1901,11.98,0.44,10390.0,28.86,C4  -WALK-UP,2019,C4  -WALK-UP,439 WEST 48 STREET,CLINTON
215 MOTT STREET,255958,143558,151053,721506,1166000,0.42,383651.0,0.14,LITTLE ITALY,ALPHABET CITY,188308.0,11.53,1900,11.26,0.56,18516.0,30.34,C4  -WALK-UP,2019,C1  -WALK-UP,362 BROOME STREET,EAST VILLAGE
125 WEST 56 STREET,592116,260124,382082,1609694,2113000,0.45,729805.0,0.52,UPPER EAST SIDE (59-79),MIDTOWN WEST,408476.0,17.1,1915,17.1,0.39,25482.0,43.6,D3  -ELEVATOR,2019,D3  -ELEVATOR,4 EAST 65 STREET,MIDTOWN WEST
320 WEST 76 STREET,986160,2290078,391104,1688508,18599000,0.25,1423875.0,0.25,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),631578.0,12.85,1920,11.64,0.15,49150.0,40.99,D7  -ELEVATOR,2019,D7  -ELEVATOR,251 WEST 71 STREET,UPPER WEST SIDE (59-79)
430 COLUMBUS AVENUE,497276,398161,194498,400009,3234000,0.05,489851.0,0.05,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),206473.0,13.29,1900,12.52,0.05,15536.0,44.53,C7  -WALK-UP,2019,C7  -WALK-UP,167 WEST 81 STREET,UPPER WEST SIDE (79-96)
322 WEST 17 STREET,528990,233496,306050,335851,1896000,0.17,235052.0,0.1,CHELSEA,CHELSEA,118614.0,10.91,1900,10.9,0.1,10872.0,29.74,C1  -WALK-UP,2019,C4  -WALK-UP,312 WEST 15 STREET,CHELSEA
108 WEST 69 STREET,354882,273923,157889,373185,2225000,0.23,285028.0,0.27,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),125096.0,13.28,1900,14.98,0.23,8580.0,48.65,C5  -WALK-UP,2019,C5  -WALK-UP,102 WEST 74 STREET,UPPER WEST SIDE (59-79)
234 WEST 21 STREET,2041476,1044359,799450,1035276,8482000,0.05,955902.0,0.34,CHELSEA,CHELSEA,372701.0,12.5,1930,12.5,0.09,30375.0,44.42,D1  -ELEVATOR,2019,D1  -ELEVATOR,433 WEST 21 STREET,CHELSEA
321 EAST 12 STREET,251730,501707,140582,351611,4075000,0.15,346453.0,0.15,EAST VILLAGE,EAST VILLAGE,203343.0,13.23,1900,13.23,0.1,15096.0,36.92,C1  -WALK-UP,2019,C4  -WALK-UP,241 EAST 13 STREET,EAST VILLAGE
11 EAST 32 STREET,591826,1941039,224321,1164582,15764000,0.44,532960.0,0.44,MURRAY HILL,MURRAY HILL,198010.0,12.57,1982,15.51,0.3,13334.0,56.43,D7  -ELEVATOR,2019,D6  -ELEVATOR,655 2 AVENUE,MURRAY HILL
285 CENTRAL PARK WEST,4755997,6591891,2113919,5925331,53536000,0.5,3742231.0,0.16,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1697962.0,16.49,1925,16.49,0.15,104942.0,53.59,D7  -ELEVATOR,2019,D6  -ELEVATOR,251 CENTRAL PARK WEST,UPPER WEST SIDE (79-96)
427 EAST 6 STREET,230760,224079,124532,364735,1820000,0.15,227448.0,0.14,EAST VILLAGE,EAST VILLAGE,109674.0,13.54,1900,14.56,0.0,8100.0,41.54,C1  -WALK-UP,2019,C1  -WALK-UP,270 EAST 10 STREET,EAST VILLAGE
258 BROADWAY,1736543,2928691,642444,1533831,23785000,,,1.82,FLATIRON,CIVIC CENTER,,14.84,1900,12.56,0.0,,46.51,D6  -ELEVATOR,2019,,33 UNION SQUARE,
151 CHARLES STREET,645975,542685,225347,543111,4407000,0.39,749811.0,0.16,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,232943.0,14.39,1900,14.39,0.1,17166.0,55.64,C4  -WALK-UP,2019,C1  -WALK-UP,113 PERRY STREET,GREENWICH VILLAGE-WEST
125 WEST 76 STREET,349971,1239191,233559,2771360,10064000,0.23,215380.0,0.1,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),114083.0,13.74,1926,15.91,0.23,8303.0,39.75,D1  -ELEVATOR,2019,D1  -ELEVATOR,146 WEST 79 STREET,UPPER WEST SIDE (59-79)
324 EAST 35 STREET,628264,388945,331067,356844,3159000,0.46,273789.0,0.46,GRAMERCY,KIPS BAY,138965.0,14.76,1920,14.76,0.06,9415.0,42.77,D3  -ELEVATOR,2019,D3  -ELEVATOR,219 EAST 25 STREET,GRAMERCY
15 WEST 84 STREET,1294795,2488568,772006,4104258,20211000,0.17,1601033.0,0.05,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),958307.0,16.58,1913,16.48,0.05,57799.0,44.12,D6  -ELEVATOR,2019,D3  -ELEVATOR,41 WEST 83 STREET,UPPER WEST SIDE (79-96)
136 WEST 16 STREET,346701,523419,167434,436289,4251000,0.0,297440.0,0.17,CHELSEA,CHELSEA,142771.0,17.12,1901,17.12,0.28,8320.0,52.57,C4  -WALK-UP,2019,C5  -WALK-UP,224 WEST 16 STREET,CHELSEA
560 3 AVENUE,9863619,10125272,4554114,7947368,82232000,,,0.22,MURRAY HILL,MURRAY HILL,,16.06,1962,14.65,0.13,,46.38,D6  -ELEVATOR,2019,,120 EAST 34 STREET,
230 CENTRAL PARK WEST,1228276,3912127,771537,5635408,31772000,0.1,2303466.0,0.0,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1668218.0,18.12,1913,16.47,0.1,92065.0,42.69,D6  -ELEVATOR,2019,D6  -ELEVATOR,41 WEST 83 STREET,UPPER WEST SIDE (79-96)
