location_name,_11_expulsions,_13_expulsions,_9_expulsions,_13_superintendent,_16_principal,_5_principal,location_category,_14_principal,_17_principal,_19_principal,_7_removals,_14_superintendent,_20_superintendent,_10_removals,_14_removals,_17_removals,_22_expulsions,_9_removals,_22_principal,_5_removals,_15_expulsions,_6_superintendent,_6_principal,_19_removals
J.H.S. 131 Albert Einstein,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 197 John B. Russwurm,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
NYC iSchool,R,R,R,R,6,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 167 Robert F. Wagner,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly School for the Performing Arts,R,R,R,R,6,R,High school,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Middle School 322,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Side Community School,R,R,R,R,R,R,Secondary School,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 184m Shuang Wen,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Monroe Academy for Visual Arts & Design,R,R,R,R,31,R,High school,16,19,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 527 - East Side School for Social Action,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. X014 Senator John Calandra,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Herbert H. Lehman High School,R,R,R,R,18,R,High school,9,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Union Square Academy for Health Sciences,R,R,R,R,9,R,High school,12,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 095 Sheila Mencher,R,R,R,R,R,R,K-8,R,R,R,R,R,R,13,R,R,R,15,R,6,R,R,R,R
The School of Integrated Learning,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan Bridges High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bedford Stuyvesant Preparatory High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Validus Preparatory Academy,R,R,R,R,19,R,High school,12,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Jacqueline Kennedy Onassis High School,R,R,R,R,11,R,High school,8,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bedford Academy High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pre-K Center at Bishop Ford School Site,R,R,R,R,R,R,District Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The School of Science and Applied Learning,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 151 Lou Gehrig,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 194 Countee Cullen,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Harlem Renaissance High School,R,R,R,R,R,R,High school,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 211,R,R,R,R,R,R,K-8,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R
High School for Contemporary Arts,R,R,R,R,R,R,High school,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 181 Brooklyn,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 044 Marcus Garvey,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 399 Stanley Eugene Clark,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 164 Caesar Rodney,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pelham Lab High School,R,R,R,R,8,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 218 James P. Sinnott,R,R,R,10,R,R,Junior High-Intermediate-Middle,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R
Concourse Village Elementary School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Samara Community School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 183 Robert L. Stevenson,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 112 Jose Celso Barbosa,R,R,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
West Prep Academy,R,R,R,R,R,R,Junior High-Intermediate-Middle,7,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
Cornerstone Academy for Social Action Middle Schoo,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Stevenson Yabc,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Harvest Collegiate High School,R,R,R,R,7,R,High school,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PROGRESS High School for Professional Careers,R,R,R,R,19,R,High school,10,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
47 The American Sign Language and English Secondar,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Leadership Academy II High School,R,R,R,R,16,R,High school,R,16,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Cultural Academy for the Arts and Sciences,R,R,R,R,17,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Fordham Leadership Academy for Business and Techno,R,R,R,R,13,R,High school,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
It Takes a Village Academy,R,R,R,R,7,R,High school,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Arturo A. Schomburg Satellite Academy Bronx,R,R,R,R,R,R,High school,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 023 Carter G. Woodson,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 192 Jacob H. Schiff,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Lower East Side Preparatory High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 130 Hernando De Soto,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Spring Creek Community School,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. K266 - Park Place Community Middle School,R,R,R,6,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Learning through Play Pre-K Center,R,R,R,R,R,R,District Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 111 Adolph S. Ochs,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Community Math & Science Prep,R,R,R,8,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 158 Warwick,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 149 Sojourner Truth,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 044 David C. Farragut,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Metropolitan High School, The",R,R,R,R,53,R,High school,10,20,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
School of the Future Brooklyn,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Excellence and Innovation,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx International High School,R,R,R,R,15,R,High school,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 041 Gun Hill Road,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Design Middle School,R,R,R,7,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 243 Center School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./I.S. 157 The Benjamin Franklin Health & Scien,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The River School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 041 Greenwich Village,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Mott Hall III,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bedford Park Elementary School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 188 The Island School,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 273 Wortman,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Wadleigh Secondary School for the Performing & Vis,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
MANHATTAN BUSINESS ACADEMY,R,R,R,R,24,R,High school,8,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 025 Eubie Blake School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 276 Louis Marshall,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 023 The New Children's School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Technology, Arts, and Sciences Studio",R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Writing Academy,R,R,R,R,R,R,Junior High-Intermediate-Middle,7,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 285 Meyer Levin,R,R,R,7,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R
P.S. 021 Crispus Attucks,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School of American Studies at Lehman College,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Satellite East Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 024,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 268 Emma Lazarus,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Health Professions and Human Servi,R,R,R,R,28,R,High school,13,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Hunts Point School,R,R,R,6,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R
P.S. 316 Elijah Stroud,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Innovation in Advertising and Medi,R,R,R,R,27,R,High school,11,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Innovation Diploma Plus,R,R,R,R,R,R,High school,R,6,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Women's Academy of Excellence,R,R,R,R,8,R,High school,7,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 38 Roberto Clemente,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Cinema School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 110 Theodore Schoenfeld,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 282 Park Slope,R,R,R,10,R,R,K-8,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R
P.S. 191 Paul Robeson,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Central Park East I,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 241 Emma L. Johnston,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Yorkville East Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School of World Cultures,R,R,R,R,6,R,High school,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Engineering and Technology Academy,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 204 Morris Heights,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 123 James M. Kieran,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn High School of the Arts,R,R,R,R,6,R,High school,14,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"The Brooklyn New School, P.S. 146",R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 033 Timothy Dwight,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Leaders of Tomorrow,R,R,R,6,R,R,Junior High-Intermediate-Middle,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 144 Michelangelo,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Compass High School,R,R,R,R,16,R,High school,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R
Fairmont Neighborhood School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Academy of Science and the Environment,R,R,R,R,19,R,High school,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan Village Academy,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 171 Abraham Lincoln,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 129 Academy for Independent Learning and Lead,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 261 Philip Livingston,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 008 Robert Fulton,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"New Explorations into Science, Technology and Math",R,R,R,R,R,R,K-12 all grades,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Leadership Academy High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"School for Human Rights, The",R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Fannie Lou Hamer Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 076 A. Philip Randolph,R,R,R,10,R,R,K-8,6,R,R,R,8,R,R,7,R,R,R,R,R,R,R,R,R
"High School for Mathematics, Science and Engineeri",R,R,R,R,7,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Schuylerville Preparatory High School,R,R,R,R,8,R,High school,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Luisa Pineiro Fuentes School of Science and Discov,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 536,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
One World Middle School at Edenwald,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 013 Roberto Clemente,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 160 William T. Sampson,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
