address,:@computed_region_sbqj_enih,longitude,sidewalk_condition,latitude,cb_original,segmentid,wires,:@computed_region_yeji_bk3q,spc_latin,diameter,censustract_2010,site
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,GINKGO BILOBA,6,21,Front
254 BOWERY,2.0,-73.993051,Good,40.723052,103,164302,,4.0,PLANTING SITE,0,43,Front
295 GREENWICH ST,1.0,-74.01102,Good,40.716033,101,23244,,4.0,GLEDITSIA TRIACANTHOS,6,21,Front
72-074 THOMPSON ST,,1.0,Good,1.0,0,32105,,,PYRUS CALLERYANA,3,47,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,ACER PLATANOIDES,7,39,Side
75 PARK PL,1.0,-74.011514,Good,40.714287,101,23247,,4.0,GLEDITSIA TRIACANTHOS,5,21,Front
29 KING ST,1.0,-74.003949,Good,40.727734,102,32148,,4.0,ZELKOVA SERRATA,7,37,Front
40 STUYVESANT ST,5.0,-73.988014,Good,40.729923,101,164376,,4.0,GINKGO BILOBA,6,40,Front
200 SPRING ST,1.0,-74.003366,Good,40.725245,102,32132,,4.0,SOPHORA JAPONICA,13,47,Side
323A GREENWICH ST,1.0,-74.010694,Good,40.717461,101,31538,,4.0,GLEDITSIA TRIACANTHOS,11,39,Across
356 WEST ST,3.0,-74.010561,Good,40.730075,102,31668,,4.0,AILANTHUS ALTISSIMA,18,69,Adjacent
388 GREENWICH ST,1.0,-74.010132,Good,40.720544,101,31568,,4.0,GLEDITSIA TRIACANTHOS,5,39,Side
105 DUANE ST,1.0,-74.006097,Good,40.715544,101,23406,,4.0,OSTRYA VIRGINIANA,4,33,Front
32 WATTS ST,1.0,-74.004604,Good,40.723592,102,32100,,4.0,UNKNOWN DEAD TREES ,0,47,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,ACER PLATANOIDES,7,39,Front
301 E 14 ST,7.0,-73.984904,Good,40.732333,103,33129,,4.0,GINKGO BILOBA,8,48,Front
107 E 9 ST,5.0,-73.989987,Good,40.730398,102,32776,,4.0,GLEDITSIA TRIACANTHOS,4,42,Across
193 2 AV,5.0,-73.985903,Good,40.731029,103,33115,,4.0,GLEDITSIA TRIACANTHOS,7,40,Front
131 Avenue of the Amer,1.0,-74.004569,Good,40.724183,102,105041,,4.0,CORNUS MAS,11,37,Front
110 Avenue of the Amer,1.0,-74.004784,Good,40.723634,102,31878,,4.0,ULMUS AMERICANA,8,47,Front
211/2 KING ST,,1.0,Good,1.0,0,32148,,,PLATANUS ACERIFOLIA,13,37,Front
165 1 AV,5.0,-73.984382,Good,40.728872,103,33110,,4.0,QUERCUS RUBRA,6,40,Front
137 1 AV,5.0,-73.985162,Good,40.727801,103,33106,,4.0,QUERCUS RUBRA,9,38,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,SOPHORA JAPONICA,6,39,Side
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Front
19 VAN DAM ST,1.0,-74.004541,Good,40.726338,102,32127,,4.0,GLEDITSIA TRIACANTHOS,6,37,Front
335 GREENWICH ST,1.0,-74.010556,Good,40.718,101,31539,,4.0,PYRUS CALLERYANA,2,39,Front
17 THOMPSON ST,1.0,-74.004543,Good,40.722606,102,110917,,4.0,PLATANUS ACERIFOLIA,16,47,Adjacent
76 Avenue of the Amer,1.0,-74.005173,Good,40.72257,102,110915,,4.0,UNKNOWN DEAD TREES ,0,47,Across
233 E 10 ST,5.0,-73.98503,Good,40.729025,103,32937,,4.0,GINKGO BILOBA,6,40,Across
40 STUYVESANT ST,5.0,-73.988014,Good,40.729923,101,164376,,4.0,PYRUS CALLERYANA,8,40,Front
160 Avenue of the Amer,1.0,-74.004066,Good,40.725374,102,32124,,4.0,ULMUS AMERICANA,9,47,Across
130 BAXTER ST,2.0,-73.99881,Good,40.718351,102,32316,,4.0,UNKNOWN SHAFT ,0,41,Front
160 Avenue of the Amer,1.0,-74.004066,Good,40.725374,102,32124,,4.0,ULMUS AMERICANA,5,47,Across
25 CHARLTON ST,1.0,-74.004241,Good,40.727033,102,32142,,4.0,PLATANUS ACERIFOLIA,14,37,Front
323A GREENWICH ST,1.0,-74.010694,Good,40.717461,101,31538,,4.0,GLEDITSIA TRIACANTHOS,10,39,Across
310 E 14 ST,7.0,-73.984668,Good,40.732236,102,33129,,4.0,PYRUS CALLERYANA,5,40,Side
83 MURRAY ST,1.0,-74.011115,Good,40.714808,101,23249,,4.0,GLEDITSIA TRIACANTHOS,6,21,Across
345 HUDSON ST,1.0,-74.007296,Good,40.727479,102,31914,,4.0,PYRUS CALLERYANA,6,37,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,ACER PLATANOIDES,7,39,Side
275 GREENWICH ST,1.0,-74.011244,Good,40.715203,101,23242,,4.0,GLEDITSIA TRIACANTHOS,3,21,Front
97 KENMARE ST,2.0,-73.996988,Good,40.721311,102,32516,,4.0,GLEDITSIA TRIACANTHOS,5,41,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,ACER PLATANOIDES,8,39,Front
305 E 9 ST,5.0,-73.987109,Good,40.729137,102,32914,,4.0,TILIA CORDATA,8,40,Front
506 CANAL ST,1.0,-74.0095,Good,40.724817,101,31636,,4.0,ACER SACCHARINUM,14,39,Front
36 STUYVESANT ST,5.0,-73.988209,Good,40.729919,101,164376,,4.0,PYRUS CALLERYANA,5,40,Front
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,GINKGO BILOBA,5,21,Across
63 SULLIVAN ST,1.0,-74.004109,Good,40.724377,102,32120,,4.0,GINKGO BILOBA,4,47,Across
30 W BROADWAY,1.0,-74.010674,Good,40.713713,101,23246,,4.0,GINKGO BILOBA,7,21,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,102,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Front
76 Avenue of the Amer,1.0,-74.005173,Good,40.72257,102,110915,,4.0,ULMUS AMERICANA,11,47,Across
330 HUDSON ST,1.0,-74.007398,Good,40.726824,102,31890,,4.0,PLATANUS ACERIFOLIA,8,37,Front
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,QUERCUS PALUSTRIS,8,21,Front
240 E 14 ST,7.0,-73.98626,Good,40.732904,103,32953,,4.0,GLEDITSIA TRIACANTHOS,12,40,Front
222 E 14 ST,7.0,-73.986659,Good,40.733073,103,32953,,4.0,GLEDITSIA TRIACANTHOS,11,40,Front
105 E 9 ST,5.0,-73.990002,Good,40.730406,102,32776,,4.0,PYRUS CALLERYANA,0,42,Front
26 KING ST,1.0,-74.003647,Good,40.727704,102,32148,,4.0,ZELKOVA SERRATA,4,37,Front
23 VAN DAM ST,1.0,-74.004722,Good,40.726354,102,32127,,4.0,TILIA CORDATA,4,37,Front
60 WATTS ST,1.0,-74.005641,Good,40.723703,102,31877,,4.0,ZELKOVA SERRATA,5,37,Front
11 VAN DAM ST,1.0,-74.004177,Good,40.726306,102,32127,,4.0,GINKGO BILOBA,8,37,Front
106 E 14 ST,7.0,-73.989091,Good,40.734111,103,32943,,4.0,PLATANUS ACERIFOLIA,3,42,Front
229 W HOUSTON ST,3.0,-74.004963,Good,40.728571,102,32151,,4.0,PYRUS CALLERYANA,5,37,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,ACER PLATANOIDES,7,39,Side
199 CHAMBERS ST,1.0,-74.012281,Good,40.71692,101,31478,,4.0,QUERCUS PALUSTRIS,4,39,Adjacent
175 VARICK ST,1.0,-74.005515,Good,40.727341,102,31920,,4.0,PLATANUS ACERIFOLIA,9,37,Side
326 SPRING ST,1.0,-74.00937,Good,40.726017,102,31640,,4.0,GLEDITSIA TRIACANTHOS,11,37,Front
40 CHARLTON ST,1.0,-74.004911,Good,40.727096,102,32142,,4.0,GLEDITSIA TRIACANTHOS,8,37,Front
375 HUDSON ST,1.0,-74.007141,Good,40.728443,102,31916,,4.0,PYRUS CALLERYANA,6,37,Front
321 E 9 ST,5.0,-73.986735,Good,40.728979,0,32914,,4.0,PLATANUS ACERIFOLIA,12,40,Front
232 E 14 ST,7.0,-73.986436,Good,40.732979,103,32953,,4.0,GLEDITSIA TRIACANTHOS,12,40,Front
402-404 W BROADWAY,1.0,-74.002006,Good,40.724465,102,32110,,4.0,ZELKOVA SERRATA,5,47,Front
427 WASHINGTON ST,1.0,-74.01045,Good,40.72287,101,31591,,4.0,UNKNOWN DEAD TREES ,0,39,Front
106 E 14 ST,7.0,-73.989091,Good,40.734111,103,32943,,4.0,PYRUS CALLERYANA,8,42,Front
146 SPRING ST,1.0,-74.001225,Good,40.724214,102,32140,,4.0,GINKGO BILOBA,6,47,Front
215 HESTER ST,2.0,-73.999152,Good,40.718585,102,32338,,4.0,MALUS PUMILA,2,41,Front
304 HUDSON ST,1.0,-74.007544,Good,40.725926,102,31888,,4.0,PLANTING SITE,0,37,Front
138-140 WATTS ST,1.0,-74.010018,Good,40.724149,101,31632,,4.0,PLANTING SITE,0,39,Front
690 GREENWICH ST,3.0,-74.007459,Good,40.733294,101,31954,,4.0,GLEDITSIA TRIACANTHOS,6,75,Side
333 HUDSON ST,1.0,-74.007363,Good,40.727053,102,31890,,4.0,PLANTING SITE,0,37,Front
340-344 HUDSON ST,1.0,-74.007344,Good,40.727176,102,31890,,4.0,PLANTING SITE,0,37,Front
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,QUERCUS PALUSTRIS,7,21,Front
76 Avenue of the Amer,1.0,-74.005173,Good,40.72257,102,110915,,4.0,PYRUS CALLERYANA,5,47,Across
12 SPRING ST,2.0,-73.99469,Good,40.721304,101,275212,,4.0,UNKNOWN LIVE TREES ,9,41,Side
30 W BROADWAY,1.0,-74.010674,Good,40.713713,101,23246,,4.0,GINKGO BILOBA,8,21,Front
388 GREENWICH ST,1.0,-74.010132,Good,40.720544,101,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Side
166 CHAMBERS ST,1.0,-74.010836,Good,40.716244,101,23255,,4.0,GLEDITSIA TRIACANTHOS,5,21,Front
83 SULLIVAN ST,1.0,-74.003597,Good,40.724988,102,32120,,4.0,GINKGO BILOBA,4,47,Across
157 HUDSON ST,1.0,-74.008269,Good,40.721651,103,31606,,4.0,PYRUS CALLERYANA,11,39,Front
323 E 9 ST,5.0,-73.986689,Good,40.72896,0,32914,,4.0,PLATANUS ACERIFOLIA,13,40,Front
50 KING ST,1.0,-74.004693,Good,40.727806,102,32148,,4.0,UNKNOWN DEAD TREES ,0,37,Front
80 VARICK ST,1.0,-74.006232,Good,40.72313,102,31858,,4.0,PLATANUS ACERIFOLIA,8,37,Front
41 CHARLTON ST,1.0,-74.004919,Good,40.727097,102,32142,,4.0,GINKGO BILOBA,4,37,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,102,31568,,4.0,GLEDITSIA TRIACANTHOS,7,39,Front
134 READE ST,1.0,-74.009513,Good,40.716327,101,31543,,4.0,PYRUS CALLERYANA,11,39,Front
214 LAFAYETTE ST,2.0,-73.997576,Good,40.721788,102,32365,,4.0,PLATANUS ACERIFOLIA,11,45,Across
200 SPRING ST,1.0,-74.003366,Good,40.725245,102,32132,,4.0,GLEDITSIA TRIACANTHOS,8,47,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Front
130 BAXTER ST,2.0,-73.99881,Good,40.718351,102,32316,,4.0,SOPHORA JAPONICA,4,41,Front
