location_name,community_district,location_category_description,x_coordinate,field_support_center_name,geographical_district_code,grades_final_text,borough_block_lot,primary_building_code
Bronx Writing Academy,204,Junior High-Intermediate-Middle,1007952.0,Field Support Center - Bronx,9,"06,07,08",2024380050,X022
P.S./I.S. 54,207,Elementary,1015245.0,Field Support Center - Bronx,10,"PK,0K,01,02,03,04,05",2032780014,X054
P.S. 078 Anne Hutchinson,212,Elementary,1025575.0,Field Support Center - Bronx,11,"0K,01,02,03,04,05",2047190001,X078
Success Academy Charter School - Bronx 2,203,K-8,1010546.0,,9,"0K,01,02,03,04,05,06,07,08",2029020001,X055
Brooklyn Technical High School,302,High school,990785.0,Field Support Center - Brooklyn North,13,"09,10,11,12",3020980013,K430
P.S. 229 Dyker,311,K-8,980478.0,Field Support Center - Brooklyn South,20,"0K,01,02,03,04,05,06,07,08",3063910024,K229
P.S. 028 Mount Hope,205,Elementary,1010859.0,Field Support Center - Bronx,9,"PK,0K,01,02,03,04,05",2028040031,X028
Hellenic Classical Charter School,307,K-8,986399.0,,15,"0K,01,02,03,04,05,06,07,08",3006340034,KAWR
W. H. Maxwell Career and Technical Education High,305,High school,1013105.0,Field Support Center - Brooklyn North,19,"09,10,11,12",3037040001,K660
Bronx Charter School for the Arts,202,Elementary,1015670.0,,8,"0K,01,02,03,04,05,06,07,08",2027550125,XAFM
Central Park East II,111,K-8,1000611.0,Field Support Center - Manhattan,4,"0K,01,02,03,04,05,06,07,08,SE",1016940001,M050
P.S. 102 The Bayview,310,Elementary,976268.0,Field Support Center - Brooklyn South,20,"0K,01,02,03,04,05",3058900001,K102
J.H.S. 292 Margaret S. Douglas,305,Junior High-Intermediate-Middle,1013843.0,Field Support Center - Brooklyn North,19,"06,07,08",3037400001,K292
The Clinton School,105,Secondary School,986370.0,Field Support Center - Manhattan,2,"06,07,08,09,10,11,12",1008420034,M868
