bronx_cooperatives_comparable_properties_boro_block_lot,bronx_cooperatives_comparable_properties_address,latitude,longitude,postcode,comparable_rental_1_boro_block_lot,comparable_rental_2_gross_income_per_sqft,borough,comparable_rental_2_address,comparable_rental_2_year_built,comparable_rental_2_total_units,bronx_cooperatives_comparable_properties_full_market_value,nta,bronx_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_2_gross_sqft
2-05745-0001,"{'latitude': '40.88178886635', 'longitude': '-73.921407259442', 'human_address': '{""address"": ""2621 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.881995,-73.921164,10463.0,2-05796-0129,11.79,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6629 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962.0,84.0,9170000,Spuyten Duyvil-Kingsbridge                                                 ,39.7,76009.0
2-03090-0049,"{'latitude': '40.856241412775', 'longitude': '-73.88375597556', 'human_address': '{""address"": ""684 189 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03123-0056,11.94,2,"{'latitude': '40.853494083432', 'longitude': '-73.900659263953', 'human_address': '{""address"": ""2115 RYER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927.0,69.0,1320000,,38.8,59520.0
2-03352-0001,"{'latitude': '40.876777514533', 'longitude': '-73.874358177783', 'human_address': '{""address"": ""333 209 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02785-0020,11.18,2,"{'latitude': '40.873094702037', 'longitude': '-73.88591391916', 'human_address': '{""address"": ""225 202 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927.0,43.0,1140000,,31.7,36200.0
2-03788-0021,"{'latitude': '40.827774511927', 'longitude': '-73.856422614038', 'human_address': '{""address"": ""1041 PUGSLEY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.827716,-73.856386,10472.0,2-03143-0036,9.45,2,"{'latitude': '40.822360690355', 'longitude': '-73.879594415772', 'human_address': '{""address"": ""950 EVERGREEN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1964.0,213.0,4480000,Soundview-Bruckner                                                         ,29.6,174671.0
2-05723-0042,"{'latitude': '40.878673153128', 'longitude': '-73.918193455082', 'human_address': '{""address"": ""60 KNOLLS CRESCENT"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.878891,-73.918231,10463.0,2-05909-0163,11.7,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3240 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1938.0,108.0,9640000,Spuyten Duyvil-Kingsbridge                                                 ,40.5,163197.0
2-03398-0087,"{'latitude': '40.899338135469', 'longitude': '-73.862118183111', 'human_address': '{""address"": ""4315 WEBSTER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.899615,-73.861997,10470.0,2-03256-0053,9.84,2,"{'latitude': '40.887213196001', 'longitude': '-73.915117362614', 'human_address': '{""address"": ""730 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929.0,78.0,2240000,Woodlawn-Wakefield                                                         ,36.2,60968.0
2-03226-0053,"{'latitude': '40.863688860176', 'longitude': '-73.908011730998', 'human_address': '{""address"": ""4 FORDHAM HILL OVAL"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02882-0229,9.73,2,"{'latitude': '40.821617860617', 'longitude': '-73.861075568077', 'human_address': '{""address"": ""1850 LAFAYETTE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1977.0,955.0,35500000,,28.8,1021752.0
2-04293-0010,"{'latitude': '40.853641056481', 'longitude': '-73.863863209565', 'human_address': '{""address"": ""2080 BARNES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.853081,-73.863894,10462.0,2-04222-0028,10.98,2,"{'latitude': '40.855823864137', 'longitude': '-73.841490693618', 'human_address': '{""address"": ""1545 RHINELANDER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962.0,106.0,3200000,Pelham Parkway                                                             ,25.2,112339.0
2-03931-0001,"{'latitude': '40.834090529726', 'longitude': '-73.860785705163', 'human_address': '{""address"": ""1332 METROPOLITAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834131,-73.860919,10462.0,2-03295-0016,10.69,2,"{'latitude': '40.855254343311', 'longitude': '-73.859569523353', 'human_address': '{""address"": ""1025 ESPLANADE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,48.0,2360000,Parkchester                                                                ,34.8,56200.0
2-03175-0010,"{'latitude': '40.86302792518', 'longitude': '-73.898419606109', 'human_address': '{""address"": ""55 190 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03170-0015,8.84,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2385 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961.0,51.0,1590000,,28.7,50000.0
2-02461-0045,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""940 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02456-0218,7.22,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""774 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927.0,86.0,3360000,,23.06,92950.0
2-03035-0048,"{'latitude': '40.84850500829', 'longitude': '-73.89783092579', 'human_address': '{""address"": ""463 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03046-0003,,2,,,,667000,,20.71,
2-03173-0013,"{'latitude': '40.86117304681', 'longitude': '-73.90010446152', 'human_address': '{""address"": ""2420 MORRIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.861182,-73.900159,10468.0,2-03142-0018,9.84,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2230 DR"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1951.0,84.0,2290000,Fordham South                                                              ,30.5,75085.0
2-02508-0041,"{'latitude': '40.832546713584', 'longitude': '-73.926988212131', 'human_address': '{""address"": ""1015 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.832599,-73.926947,10452.0,2-02452-0051,,2,,,,515000,Highbridge                                                                 ,21.64,
2-04289-0015,"{'latitude': '40.852347163045', 'longitude': '-73.865311010733', 'human_address': '{""address"": ""762 BRADY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.851946,-73.864897,10462.0,2-04287-0050,9.36,2,"{'latitude': '40.853158654271', 'longitude': '-73.866768643077', 'human_address': '{""address"": ""2095 CRUGER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1939.0,42.0,2080000,Pelham Parkway                                                             ,38.4,53400.0
2-05787-0177,"{'latitude': '40.883724655146', 'longitude': '-73.910419745906', 'human_address': '{""address"": ""3225 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.884292,-73.910424,10463.0,2-05746-0567,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,2410000,Spuyten Duyvil-Kingsbridge                                                 ,39.6,100498.0
2-03045-0019,"{'latitude': '40.850309435894', 'longitude': '-73.895187165955', 'human_address': '{""address"": ""2068 BATHGATE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.850385,-73.895169,10457.0,2-03031-0069,9.31,2,"{'latitude': '40.856207283747', 'longitude': '-73.893616279698', 'human_address': '{""address"": ""450 184 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926.0,47.0,842000,Claremont-Bathgate                                                         ,25.7,40715.0
2-05792-0445,"{'latitude': '40.885373867506', 'longitude': '-73.908342239828', 'human_address': '{""address"": ""525 235 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-05907-0352,13.94,2,"{'latitude': '40.888932645311', 'longitude': '-73.911592854676', 'human_address': '{""address"": ""3725 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1968.0,42.0,2210000,,47.0,41803.0
2-03263-0067,"{'latitude': '40.883969053695', 'longitude': '-73.894470813664', 'human_address': '{""address"": ""3915 ORLOFF AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.883914,-73.894426,10463.0,2-02840-0038,10.05,2,"{'latitude': '40.840428613926', 'longitude': '-73.878408419305', 'human_address': '{""address"": ""2070 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928.0,104.0,3260000,Van Cortlandt Village                                                      ,28.3,129000.0
2-05725-0776,"{'latitude': '40.879560248533', 'longitude': '-73.916760987196', 'human_address': '{""address"": ""629 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.880145,-73.917398,10463.0,2-05780-0940,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,5060000,Spuyten Duyvil-Kingsbridge                                                 ,38.8,100498.0
2-03316-0050,"{'latitude': '40.867471440749', 'longitude': '-73.894874165406', 'human_address': '{""address"": ""2685 CRESTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.867449,-73.894842,10468.0,2-03320-0044,8.77,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2940 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1923.0,66.0,2340000,Van Cortlandt Village                                                      ,30.1,75121.0
2-05953-0230,"{'latitude': '40.907101259343', 'longitude': '-73.90684826109', 'human_address': '{""address"": ""5800 ARLINGTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.907828,-73.906568,10471.0,2-05909-0163,18.46,2,"{'latitude': '40.892626839154', 'longitude': '-73.909948914284', 'human_address': '{""address"": ""600 246 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1958.0,403.0,21900000,North Riverdale-Fieldston-Riverdale                                        ,55.0,443283.0
2-04550-0012,"{'latitude': '40.86829311291', 'longitude': '-73.863399171709', 'human_address': '{""address"": ""2922 BARNES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.868308,-73.863418,10467.0,2-04633-0001,6.58,2,"{'latitude': '40.858845897175', 'longitude': '-73.869087756', 'human_address': '{""address"": ""660 THWAITES PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,108.0,4900000,Bronxdale                                                                  ,38.4,137350.0
2-02609-0051,"{'latitude': '40.829458029583', 'longitude': '-73.905345422588', 'human_address': '{""address"": ""1165 FULTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.829553,-73.90524,10456.0,2-02433-0057,10.77,2,"{'latitude': '40.82329417536', 'longitude': '-73.917997001021', 'human_address': '{""address"": ""299 158 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,15.0,898000,Claremont-Bathgate                                                         ,24.56,11815.0
2-03368-0010,"{'latitude': '40.898839039722', 'longitude': '-73.874093107846', 'human_address': '{""address"": ""4320 VAN CORTLANDT PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.895865,-73.892294,10471.0,2-04286-0013,6.58,2,"{'latitude': '40.858845897175', 'longitude': '-73.869087756', 'human_address': '{""address"": ""660 THWAITES PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,108.0,3760000,park-cemetery-etc-Bronx                                                    ,24.77,137350.0
2-02683-0041,"{'latitude': '40.81245139545', 'longitude': '-73.903133881487', 'human_address': '{""address"": ""571 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.812457,-73.903039,10455.0,2-02669-0042,16.45,2,"{'latitude': '40.818355612785', 'longitude': '-73.916780988583', 'human_address': '{""address"": ""645 MELROSE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1906.0,14.0,879000,Longwood                                                                   ,33.9,11409.0
2-03105-0005,"{'latitude': '40.854741382788', 'longitude': '-73.884114476924', 'human_address': '{""address"": ""2420 BEAUMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.854709,-73.884166,10458.0,2-03122-0008,8.94,2,"{'latitude': '40.855738572086', 'longitude': '-73.898601323177', 'human_address': '{""address"": ""2238 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925.0,16.0,360000,Belmont                                                                    ,31.1,11180.0
2-02447-0001,"{'latitude': '40.829403500935', 'longitude': '-73.918417270353', 'human_address': '{""address"": ""1010 SHERMAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.829448,-73.918419,10456.0,2-02378-0001,9.46,2,"{'latitude': '40.840637426348', 'longitude': '-73.926167808052', 'human_address': '{""address"": ""1314 MERRIAM AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",2001.0,98.0,1970000,East Concourse-Concourse Village                                           ,24.62,96073.0
2-03144-0018,"{'latitude': '40.853458694566', 'longitude': '-73.899556698315', 'human_address': '{""address"": ""2122 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.853422,-73.899596,10457.0,2-03088-0003,9.22,2,"{'latitude': '40.857625634167', 'longitude': '-73.897888799293', 'human_address': '{""address"": ""2327 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1915.0,26.0,551000,Mount Hope                                                                 ,27.9,18750.0
2-05909-0970,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4555 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.892797,-73.908499,10471.0,2-05909-0163,13.47,2,"{'latitude': '40.889952051174', 'longitude': '-73.915197373288', 'human_address': '{""address"": ""699 239 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962.0,132.0,9320000,North Riverdale-Fieldston-Riverdale                                        ,42.9,160000.0
2-02966-0017,"{'latitude': '40.834951561901', 'longitude': '-73.894045951257', 'human_address': '{""address"": ""1500 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834973,-73.894052,10460.0,2-02683-0043,9.91,2,"{'latitude': '40.837896997441', 'longitude': '-73.845761558019', 'human_address': '{""address"": ""1410 ROWLAND STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928.0,39.0,998000,Crotona Park East                                                          ,33.3,32000.0
2-04289-0035,"{'latitude': '40.852356385184', 'longitude': '-73.865627637506', 'human_address': '{""address"": ""754 BRADY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.852358,-73.865413,10462.0,2-04284-0001,,2,,,,2150000,Pelham Parkway                                                             ,28.6,
2-03179-0052,"{'latitude': '40.854089037396', 'longitude': '-73.905914577293', 'human_address': '{""address"": ""2075 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.854089,-73.905903,10453.0,2-03179-0047,7.21,2,"{'latitude': '40.85637380926', 'longitude': '-73.904055094665', 'human_address': '{""address"": ""2195 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929.0,43.0,1290000,Mount Hope                                                                 ,23.93,44928.0
2-02293-0041,"{'latitude': '40.815586003475', 'longitude': '-73.916589132247', 'human_address': '{""address"": ""426 149 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02283-0062,15.82,2,"{'latitude': '40.807550472504', 'longitude': '-73.919278537814', 'human_address': '{""address"": ""231 BROOK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1920.0,37.0,368000,,33.9,25460.0
2-05901-0001,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3333 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.885555,-73.91375,10463.0,2-03142-0001,17.12,2,"{'latitude': '40.87884073942', 'longitude': '-73.916759477415', 'human_address': '{""address"": ""2600 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1975.0,608.0,30800000,North Riverdale-Fieldston-Riverdale                                        ,42.9,844578.0
2-03311-0044,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3201 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03308-0051,10.83,2,"{'latitude': '40.870190987252', 'longitude': '-73.885584709637', 'human_address': '{""address"": ""2929 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1955.0,55.0,3350000,,36.0,59085.0
2-05724-0685,"{'latitude': '40.878878228329', 'longitude': '-73.916730465982', 'human_address': '{""address"": ""601 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.878975,-73.916687,10463.0,2-05746-0567,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,5120000,Spuyten Duyvil-Kingsbridge                                                 ,39.5,100498.0
2-05767-0798,"{'latitude': '40.885798995058', 'longitude': '-73.902150290235', 'human_address': '{""address"": ""288 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-05773-0290,9.77,2,"{'latitude': '40.840783040315', 'longitude': '-73.786457638424', 'human_address': '{""address"": ""30 PILOT STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1964.0,79.0,2710000,,38.8,63000.0
2-05864-0526,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6535 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.906601,-73.896517,10471.0,2-05791-0388,12.67,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6555 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961.0,73.0,2860000,North Riverdale-Fieldston-Riverdale                                        ,47.0,62570.0
2-03737-0037,"{'latitude': '40.827294328068', 'longitude': '-73.881698144106', 'human_address': '{""address"": ""1160 COLGATE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.827218,-73.881706,10472.0,2-03080-0038,9.31,2,"{'latitude': '40.84920347243', 'longitude': '-73.889371930938', 'human_address': '{""address"": ""2120 BELMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1914.0,25.0,361000,Soundview-Bruckner                                                         ,26.8,18113.0
2-05799-0032,"{'latitude': '40.887731482178', 'longitude': '-73.909460472942', 'human_address': '{""address"": ""3635 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.887566,-73.909469,10463.0,2-05760-0112,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,4230000,Spuyten Duyvil-Kingsbridge                                                 ,39.6,100498.0
2-03258-0073,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3400 FT"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02269-0001,11.14,2,"{'latitude': '40.842123449388', 'longitude': '-73.878441701991', 'human_address': '{""address"": ""2082 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1974.0,169.0,6040000,,25.9,200529.0
2-05743-0198,"{'latitude': '40.879982832359', 'longitude': '-73.921938115916', 'human_address': '{""address"": ""2390 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879395,-73.920791,10463.0,2-05793-0467,10.96,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2675 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1951.0,78.0,3250000,Spuyten Duyvil-Kingsbridge                                                 ,40.5,92782.0
2-03794-0013,"{'latitude': '40.832264974093', 'longitude': '-73.859379379985', 'human_address': '{""address"": ""1966 NEWBOLD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.832295,-73.859314,10472.0,2-03115-0005,9.45,2,"{'latitude': '40.822360690355', 'longitude': '-73.879594415772', 'human_address': '{""address"": ""950 EVERGREEN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1964.0,213.0,4400000,Soundview-Bruckner                                                         ,30.5,174671.0
2-05891-1601,"{'latitude': '40.912422945281', 'longitude': '-73.902569228577', 'human_address': '{""address"": ""6300 RIVERDALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.912869,-73.902473,10471.0,2-05787-0137,9.55,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6255 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1958.0,50.0,3170000,North Riverdale-Fieldston-Riverdale                                        ,39.6,55400.0
2-05919-0460,"{'latitude': '40.88950048477', 'longitude': '-73.915455780798', 'human_address': '{""address"": ""3850 HUDSON MANOR TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.889264,-73.915513,10463.0,2-05787-0137,11.37,2,"{'latitude': '40.890261642548', 'longitude': '-73.911362719053', 'human_address': '{""address"": ""3950 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959.0,176.0,7360000,North Riverdale-Fieldston-Riverdale                                        ,39.1,237000.0
2-02521-0001,"{'latitude': '40.839486520667', 'longitude': '-73.915647120165', 'human_address': '{""address"": ""127 170 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02450-0048,10.08,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1049 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1917.0,37.0,1380000,,35.0,29400.0
2-02504-0036,"{'latitude': '40.83024922701', 'longitude': '-73.928498515152', 'human_address': '{""address"": ""941 JEROME AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.830182,-73.928481,10452.0,2-02457-0050,8.29,2,"{'latitude': '40.841492586084', 'longitude': '-73.922633495587', 'human_address': '{""address"": ""1372 NELSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1936.0,25.0,3520000,Highbridge                                                                 ,30.6,21600.0
2-03282-0046,"{'latitude': '40.864217439386', 'longitude': '-73.889522844095', 'human_address': '{""address"": ""2665 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.864167,-73.889489,10458.0,2-03282-0019,9.51,2,"{'latitude': '40.865475149577', 'longitude': '-73.888059019446', 'human_address': '{""address"": ""2726 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1915.0,31.0,648000,Bedford Park-Fordham North                                                 ,27.0,24080.0
