bronx_cooperatives_comparable_properties_address,comparable_rental_1_year_built,census_tract,comparable_rental_1_dist_from_coop_in_miles,community_board,comparable_rental_2_boro_block_lot,bronx_cooperatives_comparable_properties_est_gross_income,comparable_rental_2_full_market_value,bbl,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,bronx_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.829927670252', 'longitude': '-73.901905456962', 'human_address': '{""address"": ""1225 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1905,149.0,0.45,3.0,2-02399-0006,206919,1400000.0,2026150055.0,561000,1.15,24930,26.9
"{'latitude': '40.812800747734', 'longitude': '-73.888954900755', 'human_address': '{""address"": ""645 BARRETTO STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,93.0,1.75,2.0,2-02427-0001,355062,395000.0,2027650146.0,392000,1.75,38720,30.2
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1966 DR"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1914,,0.0,,,152190,,,1320000,,17100,77.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1591 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1970,48.0,2.1,9.0,2-03136-0001,1149739,6620000.0,2037170001.0,3750000,1.15,117922,30.0
"{'latitude': '40.876445887368', 'longitude': '-73.899824192972', 'human_address': '{""address"": ""3065 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,273.0,1.35,8.0,2-04319-0045,763700,2440000.0,2032530221.0,2590000,2.3,75390,34.2
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""785 181 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1913,,0.4,,2-03186-0030,185468,613000.0,,734000,1.15,19523,40.3
"{'latitude': '40.883256535347', 'longitude': '-73.914327313991', 'human_address': '{""address"": ""3103 FAIRFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,297.0,0.2,8.0,2-05814-1195,1028800,2680000.0,2057420120.0,4070000,1.1,108700,40.5
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1760 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1968,42.0,0.2,9.0,2-03649-0001,3180777,3810000.0,2036630002.0,9270000,0.75,361452,26.3
"{'latitude': '40.89007411865', 'longitude': '-73.911456723422', 'human_address': '{""address"": ""3935 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,30701.0,0.4,8.0,2-05798-0086,1845000,3620000.0,2059080210.0,4070000,0.25,180000,40.5
"{'latitude': '40.819362809884', 'longitude': '-73.851298673366', 'human_address': '{""address"": ""633 OLMSTEAD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1974,74.0,2.1,9.0,2-03681-0001,6583258,14800000.0,2035670001.0,12600000,0.4,598478,31.3
