property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
1995 Broadway,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,13,Not Available,Not Available,Not Available,Not Available,41449148.2,Not Available,Ok,Not Available,Ok,Not Available,23040678.9,Not Available,Not Available,Ok,0,6.0,Not Available,0,100,14768689.1,Not Available,2479191.2,52385,Lincoln Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,372,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1260 Avenue of the Americas (Bld 18) (Radio City),Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95371606.2,Not Available,Ok,Not Available,Ok,Not Available,55057139.6,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,31814080.2,Not Available,5121447.2,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Public Assembly,145.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1710 Broadway LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,9175,62,Not Available,Not Available,Not Available,Not Available,12294853.3,Not Available,Ok,Not Available,Ok,Not Available,6065306.2,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,7008904.3,Not Available,825728.9,3229764.7,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,168.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Stuyvesant Park Residence,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,Not Available,Not Available,Not Available,Not Available,6978130709,Not Available,Possible Issue,Not Available,Ok,Not Available,5794565182,Not Available,Not Available,Ok,Not Available,2.0,Not Available,0,Not Available,15975368.7,Not Available,1055861.5,210000,Gramercy,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Dormitory,62356.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
CBS-530,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,348050032.8,Not Available,Ok,Not Available,Ok,Not Available,133413578.6,Not Available,Not Available,Ok,216893.7,6.0,Not Available,0,100,26449179,Not Available,28448194.7,Not Available,Clinton,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,745.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1160 Park Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,90,20154331.9,100,Possible Issue,Not Available,Possible Issue,No,13353539.3,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,29144674.6,Not Available,909872,195465.6,Upper East Side-Carnegie Hill,Not Available,No specific resident population,Not Applicable: Standalone Property,55,Not Available,Not Available,CBECS - Other,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Westleigh Company LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,31,0,Not Available,Not Available,100,10922519.9,Not Available,Ok,Not Available,Ok,Not Available,8256803.9,Not Available,Not Available,Ok,Not Available,25.0,Not Available,0,Not Available,7312233,Not Available,315998.3,7178872.9,Jackson Heights,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,130.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
41 Park Row,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,23352352.4,Not Available,Ok,Not Available,Ok,Not Available,9693854.6,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,Not Available,14014915.9,Not Available,1756276.6,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Pace University NYC Campus,Not Available,Not Available,Not Available,CBECS - College/University,178.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,3614751,Not Available,Not Available,Not Available,Not Available,Not Available
285 MILL RD HLS,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,97,1.08853,Not Available,Not Available,Not Available,9796011,Not Available,Possible Issue,Not Available,Ok,Not Available,6354381,Not Available,Not Available,Ok,0,,Not Available,0,Not Available,10391884.4,Not Available,438709.1,4859686.8,,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,81.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
148 W 23 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,80,0,Not Available,Not Available,100,13543814,Not Available,Ok,Not Available,Ok,No,7361946.1,Not Available,Not Available,Ok,0,3.0,Not Available,0,Not Available,9141800.1,Not Available,810547.8,4580237.7,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,No specific resident population,Not Applicable: Standalone Property,114,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,106.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Oceanview Associates, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,1.30806,Not Available,Not Available,90,Not Available,Not Available,Possible Issue,Not Available,Ok,No,Not Available,Not Available,Not Available,Ok,Not Available,31.0,Not Available,0,Not Available,5606032.2,Not Available,Not Available,619100,Far Rockaway-Bayswater,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Walter & Samuels 419 Park Ave South,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,78,Not Available,Not Available,Not Available,Not Available,36134450.4,Not Available,Ok,Not Available,Ok,Not Available,17326325.6,Not Available,Not Available,Ok,176832,2.0,Not Available,0,100,24135312.7,Not Available,2539671.5,2642079.5,Murray Hill-Kips Bay,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,200.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2012,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Kimmel,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,11093,10,Not Available,Not Available,Not Available,Not Available,19201873.2,100,Ok,98093.97,Ok,Not Available,7811233.1,Not Available,Not Available,Ok,236418,5.0,Not Available,0,100,4926134.6,Not Available,1491860.6,Not Available,Lenox Hill-Roosevelt Island,Not Available,Not Available,Memorial Sloan Kettering Cancer Center 1,Not Available,Not Available,Not Available,CBECS - Medical Office,317.1,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,3615313,Not Available,Not Available,Not Available,Not Available,Not Available
1600 Sedgwick Riverview,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,58,0,Not Available,Not Available,60,50939768.2,Not Available,Possible Issue,Not Available,Ok,100% Yes,33500130,Not Available,Not Available,Ok,Not Available,16.0,Not Available,0,Not Available,35390664.9,Not Available,2343004.1,2238353.3,University Heights-Morris Heights,Not Available,No specific resident population,Not Applicable: Standalone Property,383,16946,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
NY3-011 Teleport A,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,416636422,Not Available,Possible Issue,Not Available,Ok,Not Available,133446883.5,Not Available,Not Available,Ok,Not Available,50.0,Not Available,0,Not Available,Not Available,Not Available,38782622.4,Not Available,New Springville-Bloomfield-Travis,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,36000,Not Available,EPA - Data Center,3109.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,133983,No,None of the Above,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
650 Fifth Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,72,Not Available,Not Available,Not Available,Not Available,77891689.3,Not Available,Ok,391082.25,Ok,Not Available,32522572.7,Not Available,2200,Ok,546293.05,4.0,Not Available,0,100,42696332.3,Not Available,5877661.5,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,197,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
AB Building,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Yes,Not Available,15,Not Available,Not Available,Not Available,Not Available,177795351.5,Not Available,Ok,Not Available,Ok,Not Available,79844520.9,Not Available,Not Available,Ok,Not Available,29.0,Not Available,0,Not Available,64553158.2,Not Available,13175927.5,34888250.8,Richmond Hill,Not Available,Not Available,Jamaica Hospital Medical Center Campus,Not Available,Not Available,Not Available,CBECS - Inpatient Healthcare,684.8,Not Available,0.00385,Not Available,0.68981,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,4393741,Not Available,Not Available,Not Available,100,Not Available
"ELMHURST, NY-2814",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,80,Not Available,Not Available,Not Available,Not Available,36574416.8,Not Available,Ok,Not Available,Ok,Not Available,12894219.1,Not Available,Not Available,Ok,715855.15,25.0,Not Available,0,Not Available,20387584.2,Not Available,3242978.2,1872455.1,Elmhurst,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Retail Store,178.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2013,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
80 Pine LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,15402,57,Not Available,Not Available,28670,Not Available,269310469.6,Not Available,Ok,Not Available,Ok,Not Available,127146729.6,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,138225820.6,Not Available,17377507,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,252.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"STATEN ISLAND, NY-2463",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,76,Not Available,Not Available,Not Available,Not Available,26908585.3,Not Available,Ok,Not Available,Ok,Not Available,9539549.6,Not Available,Not Available,Ok,545392.91,51.0,Not Available,0,Not Available,13983797.3,Not Available,2371028.8,1457225,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Retail Store,149.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2013,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
224-30 67 AVENUE,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,1282350.3,Not Available,Ok,Not Available,Ok,Not Available,1221286,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,1324991.3,Not Available,Not Available,1221286,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,115.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
224-35 67 AVENUE,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,93,0,Not Available,Not Available,Not Available,2526181.8,Not Available,Possible Issue,Not Available,Ok,Not Available,1850134.8,Not Available,Not Available,Ok,0,23.0,Not Available,0,Not Available,2756318,Not Available,81830.5,1570929,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,89.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
330 Madison,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,82,Not Available,Not Available,Not Available,Not Available,180719407.6,Not Available,Ok,606111.01,Ok,Not Available,67114239.3,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,102589787.1,Not Available,15127805,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,4045,CBECS - Office & Bank/Financial,207.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2013, 2008",2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
355 Lexington LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,88,Not Available,Not Available,Not Available,Not Available,40922636.2,Not Available,Ok,Not Available,Ok,Not Available,15851937.1,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,27612319.5,Not Available,3323179.8,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,157.1,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
63 West 17th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,8889,Not Available,0,Not Available,Not Available,100,12934911.7,Not Available,Possible Issue,Not Available,Ok,No,7012445.6,Not Available,Not Available,Ok,Not Available,3.0,Not Available,0,Not Available,5418097.8,Not Available,781432.8,4346491.7,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,No specific resident population,Not Applicable: Standalone Property,17,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,163.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1071,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,37,Not Available,Not Available,Not Available,Not Available,37665693.5,Not Available,Ok,Not Available,Ok,Not Available,12236193.2,Not Available,Not Available,Ok,620674.84,4.0,Not Available,0,100,10705082.1,Not Available,3480214.5,361700,Upper East Side-Carnegie Hill,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,300.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
770 Broadway,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,86,Not Available,Not Available,Not Available,Not Available,209468444.1,Not Available,Ok,637467.44,Ok,Not Available,79202506.6,Not Available,Not Available,Ok,Not Available,2.0,Not Available,0,100,133565631.7,Not Available,17373860.1,2781983.6,West Village,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,11707,CBECS - Office & Bank/Financial,178.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2008,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Total Realty: Jerome Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0.74783,Not Available,Not Available,0,Not Available,Not Available,Possible Issue,Not Available,Possible Issue,No,Not Available,Not Available,Not Available,Ok,Not Available,8.0,Not Available,0,Not Available,6856109.6,Not Available,Not Available,Not Available,Highbridge,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
888 Seventh Ave,Not Available,Not Available,0,No,3.89822,Not Available,Ok,Ok,No,Not Available,64,Not Available,Not Available,Not Available,Not Available,234396774.9,Not Available,Ok,1078971.46,Ok,Not Available,96014997.6,Not Available,Not Available,Ok,1714579.32,4.0,Not Available,0,100,113507710.9,Not Available,17923293.5,21466.5,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,272.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Park55,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,52,Not Available,Not Available,Not Available,Not Available,18896703.7,Not Available,Ok,Not Available,Possible Issue,Not Available,6951859,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,7154896.2,Not Available,Not Available,1402934.8,Turtle Bay-East Midtown,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Noonan Towers Co., LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,80,0.85526,Not Available,Not Available,90,19410524.9,Not Available,Ok,Not Available,Ok,No,15584112.8,Not Available,Not Available,Ok,Not Available,8.0,Not Available,0,Not Available,19504659.3,Not Available,502938.7,385826.5,Highbridge,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,94.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Parker Jewish Institute For Health Care & Rehabilitation,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,5,Not Available,Not Available,Not Available,Not Available,125446577.3,Not Available,Ok,Not Available,Possible Issue,Not Available,79116486,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,51575584.3,Not Available,5961549.4,55171967.5,Glen Oaks-Floral Park-New Hyde Park,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Nursing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
105 Norfolk St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,2690,12,0,Not Available,Not Available,100,7746642.4,Not Available,Possible Issue,Not Available,Ok,No,3987626.5,Not Available,Not Available,Ok,0,1.0,Not Available,0,Not Available,3013686.3,Not Available,495179.3,2284452.1,Chinatown,Not Available,No specific resident population,Not Applicable: Standalone Property,32,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,149.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
44 Wall Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,66,Not Available,Not Available,Not Available,Not Available,69558407.2,Not Available,Possible Issue,Not Available,Ok,Not Available,33406576.1,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,40548465.1,Not Available,4412842.4,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,197.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
201 W 16 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,5000,84,0,Not Available,Not Available,100,10676850.6,Not Available,Ok,Not Available,Ok,No,6890325.9,Not Available,Not Available,Ok,0,3.0,Not Available,0,Not Available,8908118.6,Not Available,485420,5243432,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,No specific resident population,Not Applicable: Standalone Property,115,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,105.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
MMS402 - West 29th street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,Not Available,Not Available,215814,Not Available,15249803.6,Not Available,Ok,Not Available,Ok,Not Available,7593027.7,Not Available,Not Available,Ok,184476.59,3.0,Not Available,0,Not Available,5113800.7,Not Available,1022202.9,4111150,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Unrefrgerated Warehouse & Storage,67.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
47-05 CENTER LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,28,0,Not Available,Not Available,100,93588211.7,Not Available,Ok,Not Available,Ok,Not Available,49364357,Not Available,Not Available,Ok,Not Available,26.0,Not Available,0,Not Available,42420904.6,Not Available,5843907.2,26034245.7,Hunters Point-Sunnyside-West Maspeth,Not Available,Not Available,Not Applicable: Standalone Property,0,0,Not Available,Fannie Mae Industry Survey - Multifamily,180.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,8,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Van Courtlandt Assets LLC (171),Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,26,0,Not Available,Not Available,100,2805233.1,Not Available,Ok,Not Available,Ok,Not Available,2347315.5,Not Available,Not Available,Ok,Not Available,11.0,Not Available,0,Not Available,2004607.7,Not Available,59308,85500,Norwood,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,140.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
