address,zip_code,fire_comp,date_created,zone_dist_2,irr_lot_code,zone_dist_1,exempt_tot,year_alter_1,bldg_depth,council_district,current_uses,storage_floor_area,land_use_category,health_area,num_floors,pluto_version,lot_depth,garage_floor_area,commercial_floor_area
6 EAST 3 STREET,10003.0,E028,2025-03-14T00:00:00.000,,Y,R8B,2655000,,59.0,2.0,TRANSL HSG - ADULT,0,8.0,6500.0,7.0,24v31,66.83,0,55000
206 WATER STREET,10038.0,E006,2025-03-14T00:00:00.000,,Y,C6-2A,591300,,0.0,1.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT;PUBLIC PLACE/PLAZA;FINAL COMMITMNT-DISP;PUBLIC PLACE/PLAZA;LONG-TERM AGREEMENT,0,9.0,7700.0,0.0,24v31,65.0,0,0
253 WEST 13 STREET,10011.0,Q018,2025-03-14T00:00:00.000,,Y,C1-6,0,,0.0,3.0,TRANSIT SUBSTATION,0,7.0,6100.0,0.0,24v31,103.25,0,0
198 AVENUE B,10009.0,L011,2025-03-14T00:00:00.000,,N,R7A,403650,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6200.0,0.0,24v31,60.0,0,0
MADISON STREET,10002.0,E015,2025-03-14T00:00:00.000,,N,PARK,410400,,125.0,1.0,PLAYGROUND,0,9.0,7800.0,4.0,24v31,130.0,0,17300
EAST 52 STREET,10022.0,E008,2025-03-14T00:00:00.000,,Y,PARK,4950,,0.0,4.0,PARK,0,9.0,5000.0,0.0,24v31,20.0,0,0
450 7 AVENUE,10123.0,E026,2025-03-14T00:00:00.000,M1-6,Y,C6-4,0,1987.0,126.0,3.0,AGCY OFFICE,0,5.0,5200.0,46.0,24v31,60.0,0,491253
253 BROADWAY,10007.0,L010,2025-03-14T00:00:00.000,,N,C5-3,19516673,,0.0,1.0,AGCY OFFICE,11000,5.0,7700.0,15.0,24v31,155.48,0,267438
2121 5 AVENUE,10037.0,L030,2025-03-14T00:00:00.000,,N,R7-2,3522600,1986.0,226.0,9.0,ELEMENTARY SCHOOL,0,8.0,1600.0,4.0,24v31,253.08,0,70800
311 EAST 8 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,551250,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,69.83,0,0
49 BEEKMAN STREET,10038.0,E006,2025-03-14T00:00:00.000,,Y,C6-4,395550,,81.0,1.0,FIREHOUSE,0,8.0,7700.0,4.0,24v31,81.33,0,5926
22 EAST 128 STREET,10035.0,L030,2025-03-14T00:00:00.000,R7A,Y,R7B,2166300,2011.0,93.0,9.0,ALTERNTV HIGH SCHOOL,0,8.0,1600.0,5.0,24v31,199.83,0,51500
