property_name,green_power_onsite_kwh,electricity_use_grid_purchase,number_of_active_energy_meters_2,parking_gross_floor_area,energy_power_station_gross,estimated_data_flag_2,alert_property_has_no_uses,electricity_use_generated,laboratory_gross_floor_area,property_gfa_calculated_1,estimated_data_flag_fuel_3,indirect_location_based_ghg_1,propane_use_kbtu,indirect_location_based_ghg,self_storage_facility_gross,medical_office_number_of,other_gross_floor_area_ft,indoor_water_use_all_water,alert_data_center_issue_with,hospital_general_medical_3,annual_maximum_demand_meter,multifamily_housing_government,last_modified_date_non,food_sales_gross_floor_area,hospital_general_medical_5,nyc_borough_block_and_lot,metered_areas_water,third_party_certification_2,data_center_energy_estimates,municipally_supplied_potable_1,primary_property_type_self,total_location_based_ghg_1,multifamily_housing_total,number_of_active_energy_meters,fitness_center_health_club,supermarket_grocery_number,automobile_dealership_gross,hospital_general_medical_4,financial_office_number_of,estimated_data_flag_district,outpatient_rehabilitation,percent_of_total_electricity,data_center_it_equipment,manufacturing_industrial,supermarket_grocery_gross,medical_office_weekly,outdoor_water_use_all_water,estimated_data_flag_diesel,data_center_pdu_output_meter,data_center_gross_floor_area,alert_energy_meter_has,mailing_center_post_office,hospital_general_medical_10
Living - 68 Richardson St,Not Available,852467.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,32532,Not Available,2.2,Not Available,72.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3027320005,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,2.6,25,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Central Building,Not Available,1395451.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,35196,Not Available,3.4,Not Available,118,Not Available,Not Available,Not Available,484,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4157040040,Whole Property,Not Available,Not Available,484,Mixed Use Property,4.6,Not Available,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2471 Grand Avenue,Not Available,689065.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,43000,Not Available,1.4,Not Available,58.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2-03213-0033,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,5,48,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Delta Management- 155 East 91 Street,Not Available,501001,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,37854,Not Available,1.1,Not Available,42.4,Not Available,Not Available,Not Available,1250.7,Ok,Not Available,Not Available,No,,Not Available,Not Available,1-01520-0025,Whole Property,Not Available,Not Available,1250.7,Multifamily Housing,4.1,43,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
724 5th Avenue,Not Available,4138557.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,62648,Not Available,6.8,Not Available,424.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-03-01T00:00:00.000,Not Available,Not Available,1012727502,Not Available,Not Available,Not Available,Not Available,Office,6.8,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Pelican: 146 BEACH 24 STREET,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,94032,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,8175.6,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-15815-0071,Whole Property,Not Available,Not Available,8175.6,Multifamily Housing,2.5,122,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Tenere: 83-75 118th Street,Not Available,1747070.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,155526,Not Available,0.9,Not Available,147.7,Not Available,Not Available,Not Available,6894.6,Ok,Not Available,Not Available,No,2022-08-26T00:00:00.000,Not Available,Not Available,4-03322-0156,Whole Property,Not Available,Not Available,6894.6,Multifamily Housing,4.4,150,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Point Realty- 171 Meserole Street,Not Available,293309.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,33000,Not Available,0.8,Not Available,24.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2022-03-23T00:00:00.000,Not Available,Not Available,3-03044-0026,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,5.7,39,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
M&&L: 1849 Sedgwick Ave,Not Available,2750194.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,184843,Not Available,1.3,Not Available,232.5,Not Available,Not Available,Not Available,21752.6,Ok,Not Available,Not Available,No,2023-04-13T00:00:00.000,Not Available,Not Available,2-02881-0084,Whole Property,Not Available,Not Available,21752.6,Multifamily Housing,5,147,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
M&&L: 164-30 Hillside Ave,Not Available,2567495.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,146880,Not Available,1.5,Not Available,217.1,Not Available,Not Available,Not Available,6703.3,Ok,Not Available,Not Available,No,2023-04-02T00:00:00.000,Not Available,Not Available,4-09814-0026,Whole Property,Not Available,Not Available,6703.3,Multifamily Housing,5.8,158,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
B&R: 425 West 205th Street,Not Available,1092536,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,83425,Not Available,1.1,Not Available,92.4,Not Available,Not Available,Not Available,4476.3,Ok,Not Available,Not Available,No,2023-04-10T00:00:00.000,Not Available,Not Available,1-02202-0033,Whole Property,Not Available,Not Available,4476.3,Multifamily Housing,5.3,72,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
275-277 Realty LLC,Not Available,851126.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,79318,Not Available,0.9,Not Available,72,Not Available,Not Available,Not Available,6409.3,Ok,Not Available,Not Available,No,,Not Available,Not Available,3046520069,Whole Property,Not Available,Not Available,6409.3,Multifamily Housing,3.9,78,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
10 Westminster Road LLC,Not Available,352121.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,25990,Not Available,2.2,Not Available,56.8,Not Available,Not Available,Not Available,1512.3,Ok,Not Available,Not Available,No,2023-04-13T00:00:00.000,Not Available,Not Available,3050720006,Whole Property,Not Available,Not Available,1512.3,Multifamily Housing,5.7,21,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1111 Ward Ave LLC,Not Available,1973313.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,43200,Not Available,3.9,Not Available,166.8,Not Available,Not Available,Not Available,6376.9,Ok,Not Available,Not Available,No,2023-04-12T00:00:00.000,Not Available,Not Available,2037410001,Whole Property,Not Available,Not Available,6376.9,Multifamily Housing,19.5,51,19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Bonita Management Corp.,Not Available,1199550.1,0,7000,Not Available,Not Available,Ok,Not Available,Not Available,33500,Not Available,3,Not Available,101.4,Not Available,Not Available,Not Available,84.5,Ok,Not Available,Not Available,No,,Not Available,Not Available,3019940007,Whole Property,Not Available,Not Available,84.5,Multifamily Housing,3.8,38,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Benjamin Baum: 590 Flatbush Ave,Not Available,4721146.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,346072,Not Available,1.2,Not Available,399.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,,Not Available,Not Available,3-05026-0132,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,4.2,272,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
275 West 140th,Not Available,2748246.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,71363,Not Available,3.3,Not Available,232.3,Not Available,Not Available,Not Available,6382.8,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1020267501,Whole Property,Not Available,Not Available,6382.8,Multifamily Housing,5.2,54,5,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16009,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
102-23 Horace Harding Expressway,Not Available,535431.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,30786,Not Available,1.5,Not Available,45.3,Not Available,Not Available,Not Available,2112.6,Ok,Not Available,Not Available,No,,Not Available,Not Available,4019560001,Whole Property,Not Available,Not Available,2112.6,Multifamily Housing,5,21,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Michael Young: 147-30 38th Avenue,Not Available,774401.2,0,0,Not Available,Not Available,Ok,Not Available,Not Available,61445,Not Available,1.1,Not Available,65.5,Not Available,Not Available,Not Available,4232.8,Ok,Not Available,Not Available,No,2023-04-11T00:00:00.000,Not Available,Not Available,4-05026-0024,Whole Property,Not Available,Not Available,4232.8,Multifamily Housing,5.4,72,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Delta Management- 64-11 99 Street,Not Available,1752120,0,8750,Not Available,Not Available,Ok,Not Available,Not Available,131340,Not Available,1.1,Not Available,148.1,Not Available,Not Available,Not Available,8147.8,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4-02113-0001,Whole Property,Not Available,Not Available,8147.8,Multifamily Housing,5.3,119,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
123 West 43 Street,Not Available,1576047.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,67424,Not Available,5,Not Available,334,Not Available,Not Available,Not Available,833.3,Ok,Not Available,Not Available,Not Available,2023-03-01T00:00:00.000,Not Available,Not Available,1009960021,Whole Property,Not Available,Not Available,833.3,Performing Arts,5.5,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Werber: 91-30 Van Wyck Expressway,Not Available,1456333.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,53555,Not Available,2.3,Not Available,123.1,Not Available,46.97,Not Available,18.5,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4-09375-0174,Whole Property,Not Available,Not Available,18.5,Retail Store,3.5,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
41-45 TIEMANN PLACE,Not Available,775871.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,57996,Not Available,1.1,Not Available,65.6,Not Available,Not Available,Not Available,2834.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1019950016,Whole Property,Not Available,Not Available,2834.1,Multifamily Housing,5.8,99,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Superior: 64-85 Saunders Street,Not Available,736780.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,74900,Not Available,0.8,Not Available,62.3,Not Available,Not Available,Not Available,2829.1,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-03084-0039,Whole Property,Not Available,Not Available,2829.1,Multifamily Housing,4.2,61,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CQ- 41-42 66 Street,Not Available,452055.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,27425,Not Available,1.4,Not Available,38.2,Not Available,Not Available,Not Available,2131.1,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-01298-0079,Whole Property,Not Available,Not Available,2131.1,Multifamily Housing,6.5,35,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
43-01 22nd Street Owners LLC,Not Available,2872334.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,196260,Not Available,1.2,Not Available,242.8,Not Available,Not Available,Not Available,1772.5,Ok,Not Available,Not Available,Not Available,2023-02-08T00:00:00.000,Not Available,Not Available,4004400008,Whole Property,Not Available,Not Available,1772.5,Office,3.4,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Coda Hotel,Not Available,6174529.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,25059,Not Available,20.8,Not Available,522,Not Available,Not Available,Not Available,2701.4,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3-02290-0010,Whole Property,Not Available,Not Available,2701.4,Hotel,25.1,Not Available,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CQ- 90-05 153rd Street,Not Available,890398.9,0,2125,Not Available,Not Available,Ok,Not Available,Not Available,57144,Not Available,1.3,Not Available,75.3,Not Available,Not Available,Not Available,6231.3,Ok,Not Available,Not Available,Not Available,2022-03-01T00:00:00.000,Not Available,Not Available,4-09753-0015,Whole Property,Not Available,Not Available,6231.3,Multifamily Housing,5,61,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2180 Bronx Park East,Not Available,1069907.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,75133,Not Available,1.2,Not Available,90.5,Not Available,Not Available,Not Available,6232.8,Ok,Not Available,Not Available,Not Available,2020-04-23T00:00:00.000,Not Available,Not Available,2043170019,Whole Property,Not Available,Not Available,6232.8,Multifamily Housing,4.1,71,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM - 104 Ross Street,Not Available,3254798.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,93542,Not Available,2.9,Not Available,275.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3021860001,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,7,81,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
M&&L: 3530 Rochambeau Ave,Not Available,902146.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,81900,Not Available,0.9,Not Available,76.3,Not Available,Not Available,Not Available,6228.2,Ok,Not Available,Not Available,No,2023-04-14T00:00:00.000,Not Available,Not Available,2-03328-0075,Whole Property,Not Available,Not Available,6228.2,Multifamily Housing,5.1,67,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
36-14 Bud Pl,Not Available,593019.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,25670,Not Available,2,Not Available,50.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4049680024,Whole Property,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,2.1,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2345 University Ave,Not Available,1782524.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,70523,Not Available,2.1,Not Available,150.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2032180035,Not Available,Not Available,Not Available,Not Available,Worship Facility,2.7,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CQ- 62-29 84th Street,Not Available,3520856.6,0,11000,Not Available,Not Available,Ok,Not Available,Not Available,292651,Not Available,1,Not Available,297.7,Not Available,Not Available,Not Available,23164.2,Ok,Not Available,Not Available,Not Available,2022-03-01T00:00:00.000,Not Available,Not Available,4-02974-0060,Whole Property,Not Available,Not Available,23164.2,Multifamily Housing,4.3,384,19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
EM Holding: 93 Rapelye Street,Not Available,1752843.4,0,7599,Not Available,Not Available,Ok,Not Available,Not Available,58560,Not Available,2.5,Not Available,148.2,Not Available,Not Available,Not Available,2429,Ok,Not Available,Not Available,No,,Not Available,Not Available,3-00364-7501,Whole Property,Not Available,Not Available,2429,Multifamily Housing,4.3,41,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
M&&L: 41-08 42 St,Not Available,680284.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,75255,Not Available,0.8,Not Available,57.5,Not Available,Not Available,Not Available,2691.5,Ok,Not Available,Not Available,No,2023-04-18T00:00:00.000,Not Available,Not Available,4-00184-0023,Whole Property,Not Available,Not Available,2691.5,Multifamily Housing,4,60,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Poly Prep Country Day School,Not Available,8756719.5,0,0,Not Available,Not Available,Ok,Not Available,Not Available,152440,Not Available,4.9,Not Available,740.3,Not Available,Not Available,Not Available,1559.6,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3061430001,Whole Property,Not Available,Not Available,1559.6,K-12 School,8,Not Available,16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
45 Bowne Street,Not Available,543456.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,32000,Not Available,1.4,Not Available,45.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3005080010,Whole Property,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,1.9,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Quartz: 260 West 36th Street,Not Available,1780460.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,87071,Not Available,1.7,Not Available,150.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-04-18T00:00:00.000,Not Available,Not Available,1-00785-0075,Whole Property,Not Available,Not Available,Not Available,Office,4.1,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM - 80 Ross Street,Not Available,6309142.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,93538,Not Available,5.7,Not Available,533.4,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3021860001,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,9.6,81,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
860 Pennsylvania Ave,Not Available,1227361.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31387,Not Available,3.3,Not Available,103.8,Not Available,Not Available,Not Available,2898.8,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3043680001,Whole Property,Not Available,Not Available,2898.8,Hotel,5.4,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
224 Centre Street,Not Available,163868.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,44034,Not Available,0.3,Not Available,13.9,Not Available,Not Available,Not Available,166.4,Ok,Not Available,Not Available,Not Available,2023-04-25T00:00:00.000,Not Available,Not Available,1002350013,Whole Property,Not Available,Not Available,166.4,Office,2.4,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
280 Crown Street LLC,Not Available,1028178.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,61894,Not Available,1.4,Not Available,86.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,,Not Available,Not Available,3012960039,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,4.4,70,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
106 West 117 St,Not Available,1401663.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,96482,Not Available,1.2,Not Available,118.5,Not Available,Not Available,Not Available,1739,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1019017501,Whole Property,Not Available,Not Available,1739,Multifamily Housing,2.6,28,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
148 East 33 Street,Not Available,780658.8,0,27800,Not Available,Not Available,Ok,Not Available,Not Available,27800,Not Available,2.4,Not Available,66,Not Available,Not Available,Not Available,34.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1008880051,Whole Property,Not Available,Not Available,34.9,Parking,2.5,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 3750 Bronx Blvd,Not Available,529034,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,43085,Not Available,1,Not Available,44.7,Not Available,Not Available,Not Available,3971.4,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2046490021,Whole Property,Not Available,Not Available,3971.4,Multifamily Housing,1.2,42,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
39 West 29ST Owners COrp,Not Available,659266.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,61675,Not Available,0.9,Not Available,55.7,Not Available,Not Available,Not Available,769,Ok,Not Available,Not Available,Not Available,2023-04-25T00:00:00.000,Not Available,Not Available,1008310010,Whole Property,Not Available,Not Available,769,Office,3.3,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Resolution -  347 West 36th Street,Not Available,1794800.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,98454,Not Available,1.5,Not Available,151.7,Not Available,Not Available,Not Available,874.5,Ok,Not Available,Not Available,Not Available,2023-03-16T00:00:00.000,Not Available,Not Available,1007600012,Whole Property,Not Available,Not Available,874.5,Office,4.5,Not Available,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
"RCGT 2988-14, LLC",Not Available,484449.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,32272,Not Available,1.3,Not Available,41,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3029880014,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,2.4,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Vitti Props Corp,Not Available,800970.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,30132,Not Available,2.2,Not Available,67.7,Not Available,Not Available,Not Available,3209.9,Ok,Not Available,Not Available,100.0% Yes,2021-05-04T00:00:00.000,Not Available,Not Available,4006540067,Whole Property,Not Available,Not Available,3209.9,Multifamily Housing,2.8,40,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
