property_id,property_name,nyc_building_identification,address_1,year_built,office_percent_that_can_be,largest_property_use_type_1,retail_store_number_of_open,multifamily_housing_percent_1,municipally_supplied_potable_3,parent_property_id,non_refrigerated_warehouse,convention_center_gross_floor,hospital_general_medical_8,medical_office_gross_floor,district_steam_use_kbtu,fuel_oil_2_use_kbtu,net_emissions_metric_tons,year_ending,estimated_values_water,site_eui_kbtu_ft,report_submission_date,report_generation_date,temporary_values,worship_facility_gross_floor,multifamily_housing_number_7,property_gfa_calculated,direct_ghg_emissions_metric,electricity_use_generated_2,leed_us_project_id,diesel_2_use_kbtu,list_of_all_property_use,estimated_data_flag_fuel_2,alert_energy_meter_has_single,direct_ghg_emissions_intensity,weather_normalized_site_eui,total_location_based_ghg,postal_code,electricity_use_grid_purchase_2,reason_s_for_no_score,third_party_certification_1,multifamily_housing_number_5,courthouse_gross_floor_area,last_modified_date_property,energy_star_certification_1,last_modified_date_water,national_median_site_eui,number_of_active_it_meters,hotel_gym_fitness_center,multifamily_housing_total_1,site_energy_use_kbtu,office_gross_floor_area_ft,movie_theater_gross_floor,alert_energy_no_meters,default_values,natural_gas_use_kbtu,social_meeting_hall_gross,medical_office_percent_that,third_party_certification,estimated_data_flag_fuel,fuel_oil_4_use_kbtu
2794263,SUPERIOR: 745 East 31st Street,3205937,745 E 31 St,1963,Not Available,88211,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,371,2022-12-31T00:00:00.000,No,73.1,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,1.02028,88211,293.7,Not Available,Not Available,Not Available,Multifamily Housing (88211.0),Not Available,Ok,3.3,73.8,371,11210,268007,Not Available,Not Available,0,Not Available,2023-04-11T00:00:00.000,Not Available,2023-04-11T00:00:00.000,88.5,0,Not Available,1.02028,6444739.7,Not Available,Not Available,Ok,False,5530299.8,Not Available,Not Available,Not Available,Not Available,Not Available
6319661,99-44 62nd Avenue,4050542,99-44 62nd Ave,1950,Not Available,55300,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2022-12-31T00:00:00.000,No,Not Available,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,1.12116,55300,Not Available,Not Available,Not Available,Not Available,Multifamily Housing (55300.0),Not Available,Ok,Not Available,Not Available,Not Available,11374,Not Available,There is not 12 full months of meter data.,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,2023-02-24T00:00:00.000,59.6,0,Not Available,1.12116,Not Available,Not Available,Not Available,Ok,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2657497,200 West Street,1087239,200 West Street,2009,Not Available,1894604,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,78270280,Not Available,16413,2022-12-31T00:00:00.000,No,104.3,2023-04-19T14:58:00.000,2023-04-19T14:08:00.000,False,Not Available,Not Available,2049289,109.2,Not Available,Not Available,Not Available,"Pre-school/Daycare (6120.0), Data Center (43458.0), Financial Office (1894604.0), Food Service (47496.0), Parking (18907.0), Fitness Center/Health Club/Gym (38704.0)",Not Available,Ok,0.1,105.2,16413,10282,38504670,Not Available,Not Available,Not Available,Not Available,2023-03-15T00:00:00.000,Not Available,2023-03-15T00:00:00.000,135.2,0,Not Available,Not Available,211704467.6,Not Available,Not Available,Ok,False,2056254.8,Not Available,Not Available,Not Available,Not Available,Not Available
6789787,3340 For Independence Street,2015810,3340 Fort Independence Street,1927,Not Available,79800,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,532.1,2022-12-31T00:00:00.000,Unable to Check (not enough data),117.3,2023-04-25T10:40:00.000,2023-04-25T10:39:00.000,False,Not Available,0.25063,79800,438.1,Not Available,Not Available,Not Available,Multifamily Housing (79800.0),Not Available,Possible Issue,5.5,Not Available,532.1,10463,325668.2,Not Available,Not Available,0,Not Available,2023-04-21T00:00:00.000,Not Available,,87,0,Not Available,1.00251,9360160.8,Not Available,Not Available,Ok,True,8248981.1,Not Available,Not Available,Not Available,Not Available,Not Available
2815319,Michael Young: 89-14 34th Avenue,4035680,8904 34 AVE,1928,Not Available,104229,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,573,2022-12-31T00:00:00.000,No,96.5,2023-05-01T23:51:00.000,2023-05-01T23:48:00.000,False,Not Available,1.03618,104229,468.3,Not Available,Not Available,Not Available,Multifamily Housing (104229.0),Not Available,Ok,4.5,98.8,573,11372,363041,Not Available,Not Available,0,Not Available,2023-04-11T00:00:00.000,Not Available,2023-04-11T00:00:00.000,92,0,Not Available,1.03618,10054596,Not Available,Not Available,Ok,False,8815900.2,Not Available,Not Available,Not Available,Not Available,Not Available
8718679,220 Park Avenue South,1016132,220 Park Ave South,1987,Not Available,33638,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,698555.9,204,2022-12-31T00:00:00.000,No,78.5,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,0.53511,33638,72.1,Not Available,Not Available,Not Available,Multifamily Housing (33638.0),Not Available,Ok,2.1,78.5,204,10003,457369,Not Available,Not Available,0,Not Available,2023-04-26T00:00:00.000,Not Available,2023-02-24T00:00:00.000,59.3,0,Not Available,1.09995,2640098.9,Not Available,Not Available,Ok,False,381000,Not Available,Not Available,Not Available,Not Available,Not Available
6800127,Albest Metal Stamping Corp,3819938;3831846;3061521;,1 Kent Ave,1965,Not Available,111300,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,312.1,2022-12-31T00:00:00.000,Unable to Check (not enough data),47.4,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,Not Available,111300,226.3,Not Available,Not Available,Not Available,Manufacturing/Industrial Plant (111300.0),Not Available,Ok,2,49.4,312.1,11249,297550,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-04-07T00:00:00.000,Not Available,,Not Available,0,Not Available,Not Available,5275140.7,Not Available,Not Available,Ok,False,4259900.1,Not Available,Not Available,Not Available,Not Available,Not Available
18100729,144-38 35 Avenue,4596999 ; 4113187,144-38 35 Avenue,2016,Not Available,34455,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,97.1,2022-12-31T00:00:00.000,Unable to Check (not enough data),40.3,2023-04-28T14:23:00.000,2023-04-28T14:22:00.000,False,Not Available,0.81265,34455,34.3,Not Available,Not Available,Not Available,Multifamily Housing (34455.0),Not Available,Ok,1,40.3,97.1,11354,217584,Not Available,Not Available,0,Not Available,2023-04-26T00:00:00.000,Not Available,,57.3,0,Not Available,0.81265,1387996.6,Not Available,Not Available,Ok,False,645600,Not Available,Not Available,Not Available,Not Available,Not Available
8717793,529 Empire Boulevard,3034654,529 Empire Boulevard,1935,Not Available,17000,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,203,2022-12-31T00:00:00.000,No,73.6,2023-06-22T09:06:00.000,2023-06-22T09:03:00.000,False,Not Available,Not Available,36000,35.6,Not Available,Not Available,Not Available,"Supermarket/Grocery Store (13000.0), Hospital (General Medical & Surgical) (6000.0), Other (17000.0)",Not Available,Ok,1,73.8,203,11225,580283,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-04-07T00:00:00.000,Not Available,2022-03-01T00:00:00.000,37.9,0,Not Available,Not Available,2651025.6,Not Available,Not Available,Ok,True,671100,Not Available,Not Available,Not Available,Not Available,Not Available
3114991,Payson Dyckman Partnership LLc,1065057,37 Payson Ave.,1925,Not Available,68190,Not Available,90,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,305.2,2022-12-31T00:00:00.000,No,76.4,2023-07-05T10:38:00.000,2023-07-05T10:36:00.000,False,Not Available,0.85056,68190,203.1,52219,Not Available,Not Available,Multifamily Housing (68190.0),Not Available,Ok,3,77.7,305.2,10034,405990,Not Available,Not Available,0,Not Available,2023-03-08T00:00:00.000,Not Available,2022-03-01T00:00:00.000,78.3,0,Not Available,0.85056,5209437.8,Not Available,Not Available,Ok,False,3824199.9,Not Available,Not Available,Not Available,Not Available,Not Available
19509004,CFF Consulting - 3750 Broadway,1062678,3750 Broadway,1906,Not Available,47163,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,308.9,2022-12-31T00:00:00.000,No,110.1,2023-03-17T18:33:00.000,2023-03-17T18:32:00.000,False,Not Available,0.76331,47163,220.1,Not Available,Not Available,Not Available,Multifamily Housing (47163.0),Not Available,Ok,4.7,113,308.9,10032,307920,Not Available,Not Available,0,Not Available,2023-03-03T00:00:00.000,Not Available,2023-02-24T00:00:00.000,86.9,0,Not Available,0.76331,5194223.1,Not Available,Not Available,Ok,False,4143600,Not Available,Not Available,Not Available,Not Available,Not Available
3762131,197-HIEChelsea,1080553,232 W 29th Street,2006,Not Available,71541,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,356.7,2022-12-31T00:00:00.000,No,73.4,2023-04-04T09:15:00.000,2023-04-04T09:14:00.000,False,Not Available,Not Available,71541,147.9,Not Available,Not Available,Not Available,Hotel (71541.0),Not Available,Ok,2.1,74,356.7,10001,723675,Not Available,Not Available,Not Available,Not Available,2023-02-15T00:00:00.000,8/21/2018,2023-02-15T00:00:00.000,114.7,0,300,Not Available,5254579.1,Not Available,Not Available,Ok,False,2785400,Not Available,Not Available,Not Available,Not Available,Not Available
17370073,2800 East 29 Street,3378455,2800 East 29 Street,2004,Not Available,26532,Not Available,100,Not Available,17367634,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62.4,2022-12-31T00:00:00.000,Unable to Check (not enough data),39,2023-03-11T14:56:00.000,2023-03-11T14:55:00.000,False,Not Available,0,26532,42.3,Not Available,Not Available,Not Available,Multifamily Housing (26532.0),Not Available,Ok,1.6,39.2,62.4,11235,69547,{1} is too small.,Not Available,0,Not Available,2023-03-09T00:00:00.000,Not Available,,81.4,0,Not Available,0.45228,1034094.3,Not Available,Not Available,Ok,False,796800,Not Available,Not Available,Not Available,Not Available,Not Available
9637002,2675 Morris Avenue,2017484,2675 Morris Avenue,1950,Not Available,52500,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,333.8,2022-12-31T00:00:00.000,Unable to Check (not enough data),100.4,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,0.19048,52500,188.9,Not Available,Not Available,Not Available,Multifamily Housing (52500.0),Not Available,Ok,3.6,99.9,333.8,10468,502096,Not Available,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,,68.5,0,Not Available,0.95238,5270351.8,Not Available,Not Available,Ok,False,3557200.2,Not Available,Not Available,Not Available,Not Available,Not Available
2734720,Katz: 3033 Brighton 14th Street,3245654,3033 Brighton 14th Street,1932,Not Available,58659,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,209.7,2022-12-31T00:00:00.000,No,61.4,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,1.00581,58659,160.4,Not Available,Not Available,Not Available,Multifamily Housing (58659.0),Not Available,Ok,2.7,62.1,209.7,11235,170815,Not Available,Not Available,0,Not Available,2023-04-14T00:00:00.000,Not Available,2023-04-14T00:00:00.000,85.7,0,Not Available,1.00581,3603320.6,Not Available,Not Available,Ok,False,3020499.8,Not Available,Not Available,Not Available,Not Available,Not Available
27957163,183-02 Union Turnpike,4155927,183-02 Union Turnpike,1955,Not Available,26000,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,273.3,2022-12-31T00:00:00.000,No,131.3,2023-06-23T13:08:00.000,2023-06-23T13:08:00.000,False,26000,Not Available,34200,180,Not Available,Not Available,Not Available,"Worship Facility (26000.0), K-12 School (8200.0)",Not Available,Ok,5.3,134.6,273.3,11366,323298,Not Available,Not Available,Not Available,Not Available,2023-06-23T00:00:00.000,Not Available,2023-06-21T00:00:00.000,60.8,0,Not Available,Not Available,4491992.9,Not Available,Not Available,Ok,False,3388900.1,Not Available,Not Available,Not Available,Not Available,Not Available
2804035,G-Holdings: 214 West 39th St,1080567;1080568;1080569,214 West 39th Street,1910,100,190341,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,695.5,2022-12-31T00:00:00.000,No,51.3,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,Not Available,202341,307.8,Not Available,Not Available,Not Available,"Office (190341.0), Retail Store (12000.0)",Not Available,Ok,1.5,52.1,695.5,10018,1343815,Not Available,Not Available,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,,103.8,0,Not Available,Not Available,10380996.6,190341,Not Available,Ok,False,5795900.1,Not Available,Not Available,Not Available,Not Available,Not Available
2715844,MKI: 10 PLAZA ST E,3029306,10 Plaza Street,1959,Not Available,167810,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,6600,Not Available,Not Available,696.2,2022-12-31T00:00:00.000,No,68,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,0,186410,518.5,Not Available,Not Available,Not Available,"Multifamily Housing (167810.0), Medical Office (6600.0), Parking (12000.0)",Not Available,Ok,3,69.6,696.2,11238,616136,Not Available,Not Available,0.84024,Not Available,2023-04-07T00:00:00.000,Not Available,2023-02-24T00:00:00.000,91.8,0,Not Available,0.84024,11864355.8,Not Available,Not Available,Ok,True,9762099.8,Not Available,100,Not Available,Not Available,Not Available
2773111,CQ- 88-02 37 avenue,4036294,88-02 37 avenue,1929,Not Available,76844,0,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,462.8,2022-12-31T00:00:00.000,No,93.3,2023-03-16T06:17:00.000,2023-03-16T06:17:00.000,False,Not Available,0.31232,83844,335.4,Not Available,Not Available,Not Available,"Multifamily Housing (76844.0), Retail Store (7000.0)",Not Available,Ok,4,94.6,462.8,11372,441899,Not Available,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,2021-02-26T00:00:00.000,89.8,0,Not Available,0.96299,7822059.1,Not Available,Not Available,Ok,True,6314299.7,Not Available,Not Available,Not Available,Not Available,Not Available
23846734,77 Clarkson Ave,3426820,77 Clarkson Ave,2018,Not Available,42168,Not Available,80,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.6,2022-12-31T00:00:00.000,Unable to Check (not enough data),15.5,2023-04-27T18:04:00.000,2023-04-27T18:03:00.000,False,Not Available,1.04344,42168,24.6,Not Available,Not Available,Not Available,Multifamily Housing (42168.0),Not Available,Ok,0.6,15.7,40.6,11226,55321.4,Not Available,Not Available,0,Not Available,2023-04-24T00:00:00.000,Not Available,,77.9,0,Not Available,1.04344,652456.5,Not Available,Not Available,Ok,False,463700,Not Available,Not Available,Not Available,Not Available,Not Available
6814671,Purves Street Realty,4003537,47-57 48th Avenue,1932,Not Available,29250,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,98.7,2022-12-31T00:00:00.000,No,53.3,2023-03-24T12:22:00.000,2023-03-24T12:20:00.000,False,Not Available,Not Available,29250,55.8,Not Available,Not Available,Not Available,Manufacturing/Industrial Plant (29250.0),Not Available,Ok,1.9,54.5,98.7,11101,148900,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-03-11T00:00:00.000,Not Available,2023-02-27T00:00:00.000,Not Available,0,Not Available,Not Available,1558346.8,Not Available,Not Available,Ok,False,1050300,Not Available,Not Available,Not Available,Not Available,Not Available
2800169,Dawning: 175 Zoe St,5091251,175 Zoe St,1986,Not Available,84426,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,342.6,2022-12-31T00:00:00.000,No,65.9,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,1.18447,93126,216.3,Not Available,Not Available,Not Available,"Multifamily Housing (84426.0), Parking (8700.0)",Not Available,Ok,2.6,66.8,342.6,10305,437851,Not Available,Not Available,0,Not Available,2023-04-14T00:00:00.000,Not Available,2023-02-27T00:00:00.000,84.1,0,Not Available,1.18447,5565947.5,Not Available,Not Available,Ok,False,4071999.9,Not Available,Not Available,Not Available,Not Available,Not Available
15306290,KM 996 Aldus Street,2006081,996 Aldus Street,1923,Not Available,46068,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,3277030.6,328.2,2022-12-31T00:00:00.000,Unable to Check (not enough data),95.4,2023-04-27T13:29:00.000,2023-04-27T13:27:00.000,False,Not Available,1.10706,46068,258.9,Not Available,Not Available,Not Available,Multifamily Housing (46068.0),Not Available,Ok,5.6,97.4,328.2,10459,240285,Not Available,Not Available,0,Not Available,2023-04-18T00:00:00.000,Not Available,,93.1,0,Not Available,1.10706,4392683.1,Not Available,Not Available,Ok,False,295800,Not Available,Not Available,Not Available,Not Available,Not Available
6248903,2471 Grand Avenue,2014634,2471 Grand Avenue,1928,Not Available,43000,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,212.9,2022-12-31T00:00:00.000,Unable to Check (not enough data),83.7,2023-04-21T12:19:00.000,2023-04-21T12:19:00.000,False,Not Available,0.32558,43000,154.6,Not Available,Not Available,Not Available,Multifamily Housing (43000.0),Not Available,Possible Issue,3.6,Not Available,212.9,10452,201953.6,Not Available,Not Available,0,Not Available,2023-04-21T00:00:00.000,Not Available,,81.3,0,Not Available,1.11628,3600241.1,Not Available,Not Available,Ok,True,2911175.5,Not Available,Not Available,Not Available,Not Available,Not Available
6041144,Lower East Side I Associates-384,1004772,384 East 10th Street,1900,Not Available,49799,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,256.3,2022-12-31T00:00:00.000,No,88.2,2023-03-13T15:00:00.000,2023-03-13T14:58:00.000,False,Not Available,0.90363,49799,194.4,Not Available,Not Available,Not Available,Multifamily Housing (49799.0),Not Available,Ok,3.9,90.3,256.3,10009,214530,Not Available,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,2023-02-24T00:00:00.000,98.3,0,Not Available,0.90363,4391876.4,Not Available,Not Available,Ok,False,3659900,Not Available,Not Available,Not Available,Not Available,Not Available
2847650,Landau: 5520 15th Ave,3139816,5520 15th Ave,1939,Not Available,61920,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,246.8,2022-12-31T00:00:00.000,No,69.4,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,0.83979,61920,197.1,Not Available,Not Available,Not Available,Multifamily Housing (61920.0),Not Available,Ok,3.2,72,246.8,11219,172186,Not Available,Not Available,0,Not Available,2023-04-14T00:00:00.000,Not Available,2023-02-27T00:00:00.000,85.9,0,Not Available,0.83979,4298899,Not Available,Not Available,Ok,False,3711400.3,Not Available,Not Available,Not Available,Not Available,Not Available
24233361,Ravel - 42-22 9 Street,4005313,42-22 9 Street,2007,Not Available,5000,Not Available,Not Available,Not Available,24233567,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.5,2022-12-31T00:00:00.000,Unable to Check (not enough data),36.7,2023-03-24T16:19:00.000,2023-03-24T16:19:00.000,False,Not Available,Not Available,5000,0,Not Available,Not Available,Not Available,Parking (5000.0),Not Available,Ok,0,36.5,15.5,11101,53824,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,,Not Available,0,Not Available,Not Available,183647.5,Not Available,Not Available,Ok,False,0,Not Available,Not Available,Not Available,Not Available,Not Available
6263117,3520 Dekalb Avenue,2017820,3520 Dekalb Avenue,1927,Not Available,52001,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,287.8,2022-12-31T00:00:00.000,No,95.1,2023-04-25T10:40:00.000,2023-04-25T10:39:00.000,False,Not Available,0.30769,52001,219.8,Not Available,Not Available,Not Available,Multifamily Housing (52001.0),Not Available,Possible Issue,4.2,Not Available,287.8,10467,235642.4,Not Available,Not Available,0,Not Available,2023-04-21T00:00:00.000,Not Available,2023-02-24T00:00:00.000,82.5,0,Not Available,0.92306,4942781.1,Not Available,Not Available,Ok,True,4138769.4,Not Available,Not Available,Not Available,Not Available,Not Available
20324153,Lester - 1122 Coney Island Avenue,3170242; 3170241,1122 Coney Island Avenue,1950,100,38000,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,158.6,2022-12-31T00:00:00.000,No,55,2023-04-03T16:12:00.000,2023-04-03T16:11:00.000,False,Not Available,Not Available,38000,30.6,Not Available,Not Available,Not Available,Office (38000.0),Not Available,Ok,0.8,54.9,158.6,11230,443863,Not Available,Not Available,Not Available,Not Available,2023-03-29T00:00:00.000,Not Available,2023-02-24T00:00:00.000,68.1,0,Not Available,Not Available,2089960.5,38000,Not Available,Ok,False,575500,Not Available,Not Available,Not Available,Not Available,Not Available
6768068,141 West 28th street,1015101,141 west 28th street,1909,0,63791,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2237670,246.2,2022-12-31T00:00:00.000,No,50,2023-06-02T10:17:00.000,2023-06-02T10:17:00.000,False,Not Available,Not Available,63791,166.2,Not Available,Not Available,Not Available,Office (63791.0),Not Available,Possible Issue,2.6,Not Available,246.2,10001,277072.7,Not Available,Not Available,Not Available,Not Available,2023-06-02T00:00:00.000,Not Available,2023-02-27T00:00:00.000,88.4,0,Not Available,Not Available,3186562,63791,Not Available,Ok,True,3519.9,Not Available,Not Available,Not Available,Not Available,Not Available
10177418,Central Building,4300145,2011 Mott Ave,1941,0,17598,12,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,163.1,2022-12-31T00:00:00.000,No,63.8,2023-04-14T15:47:00.000,2023-04-14T15:47:00.000,False,Not Available,Not Available,35196,45.1,Not Available,Not Available,Not Available,"Office (17598.0), Retail Store (17598.0)",Not Available,Ok,1.3,64.1,163.1,11691,408983.3,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,2023-02-24T00:00:00.000,41.8,0,Not Available,Not Available,2244816.6,17598,Not Available,Ok,False,849365.4,Not Available,Not Available,Not Available,Not Available,Not Available
2795652,M&&L: 2280 Andrews Ave,2014737,2280 Andrews Ave,1931,Not Available,81144,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,502609.8,304,2022-12-31T00:00:00.000,No,62.2,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,0.65316,81144,236.3,Not Available,Not Available,Not Available,Multifamily Housing (81144.0),Not Available,Ok,2.9,62.9,304,10468,234754,Not Available,Not Available,0,Not Available,2023-04-18T00:00:00.000,Not Available,2023-02-24T00:00:00.000,79.7,0,Not Available,0.65316,5049890.6,Not Available,Not Available,Ok,False,3746300.1,Not Available,Not Available,Not Available,Not Available,Not Available
25312200,FOUND Study - 525 Lexington,1036232,525 Lexington Ave,1923,Not Available,406261,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1114.5,2022-12-31T00:00:00.000,No,44.6,2023-03-20T14:10:00.000,2023-03-20T14:10:00.000,False,Not Available,Not Available,406261,707.4,Not Available,Not Available,Not Available,Hotel (406261.0),Not Available,Ok,1.7,44.6,1114.5,10017,1411100,Not Available,Not Available,Not Available,Not Available,2023-03-11T00:00:00.000,Not Available,2023-03-09T00:00:00.000,90.3,0,Not Available,Not Available,18133873.7,Not Available,Not Available,Ok,False,13319200.5,Not Available,Not Available,Not Available,Not Available,Not Available
24127141,23-23 Borden Avenue,4000753,23-23 Borden Avenue,1936,100,20401,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,184.5,2022-12-31T00:00:00.000,Unable to Check (not enough data),47.8,2023-04-28T14:23:00.000,2023-04-28T14:22:00.000,False,Not Available,Not Available,51000,36.8,Not Available,Not Available,Not Available,"Office (10200.0), Manufacturing/Industrial Plant (20399.0), Refrigerated Warehouse (20401.0)",Not Available,Ok,0.7,47.9,184.5,11101,511863,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-03-07T00:00:00.000,Not Available,,38.8,0,Not Available,Not Available,2440076.6,10200,Not Available,Ok,False,693600,Not Available,Not Available,Not Available,Not Available,Not Available
15288693,KM 409 Hewes Street,3063218,409 Hewes Street,1915,Not Available,27774,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,175.7,2022-12-31T00:00:00.000,No,108.2,2023-04-27T13:29:00.000,2023-04-27T13:27:00.000,False,Not Available,1.26017,27774,132.3,Not Available,Not Available,Not Available,Multifamily Housing (27774.0),Not Available,Ok,4.8,110.6,175.7,11211,150599,Not Available,Not Available,0,Not Available,2023-04-19T00:00:00.000,Not Available,2023-04-19T00:00:00.000,109.5,0,Not Available,1.26017,3004443.9,Not Available,Not Available,Ok,False,2490600.1,Not Available,Not Available,Not Available,Not Available,Not Available
22740715,Storage Garage,4610290,127-92 Garage Willets Point Boulevard,1939,Not Available,2000,Not Available,Not Available,Not Available,22739732,2000,Not Available,Not Available,Not Available,Not Available,Not Available,191.5,2022-12-31T00:00:00.000,Unable to Check (not enough data),1132.6,2023-03-15T15:23:00.000,2023-03-15T15:22:00.000,False,Not Available,Not Available,2000,0,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse (2000.0),Not Available,Ok,0,1133.7,191.5,11368,663880,Not Available,Not Available,Not Available,Not Available,2023-03-04T00:00:00.000,Not Available,,33.9,0,Not Available,Not Available,2265158.5,Not Available,Not Available,Ok,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2715746,Maxwell: 14 E 75th St.,1041667,14 East 75th Street,1929,Not Available,135824,0,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,2385,Not Available,Not Available,508,2022-12-31T00:00:00.000,No,55.1,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,0,145136,284.6,Not Available,Not Available,Not Available,"Multifamily Housing (135824.0), Medical Office (2385.0), Retail Store (6927.0)",Not Available,Ok,2,56.6,508,10021,774478,{1} is too small. {1} is marked as No.,Not Available,0.36076,Not Available,2023-04-13T00:00:00.000,Not Available,2023-02-24T00:00:00.000,72.5,0,Not Available,0.36076,8000218.9,Not Available,Not Available,Ok,True,5357700,Not Available,100,Not Available,Not Available,Not Available
