nyc_building_identification,fuel_oil_1_use_kbtu,national_median_energy_star,district_chilled_water_use,restaurant_worker_density,refrigerated_warehouse_gross,annual_maximum_demand_mm,data_center_pue,green_power_offsite_kwh,_2nd_largest_property_use_1,electricity_use_generated_3,parent_property_name,parking_open_parking_lot,latitude,restaurant_weekly_operating,fuel_oil_5_6_use_kbtu,property_gfa_self_reported,office_number_of_workers,barracks_gross_floor_area,retail_store_number_of_walk,avoided_emissions_onsite_1,hotel_gross_floor_area_ft,hospital_general_medical_9,restaurant_gross_floor_area,alert_gross_floor_area_is,electricity_use_grid_purchase_1,wastewater_treatment_plant,weather_normalized_source_1,_3rd_largest_property_use,ct2020,office_percent_that_can_be_1,electricity_use_generated_1,weather_normalized_site_energy,energy_star_score,property_notes,estimated_data_flag,construction_status,office_weekly_operating_hours,medical_office_number_of_2,longitude,source_eui_kbtu_ft,hospital_general_medical_6,ambulatory_surgical_center
3425101,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.666916,Not Available,Not Available,116530,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1389000.8,Not Available,17029439.8,Not Available,14101.0,Not Available,Not Available,8319728.7,13,Not Available,No,Existing,Not Available,Not Available,-73.991572,144.7,Not Available,Not Available
3150894,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,5000,Not Available,Not Applicable: Standalone Property,Not Available,40.627809,Not Available,Not Available,142190,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,504719.9,Not Available,13651883,Not Available,136.0,Not Available,Not Available,10243979.8,87,3-05980-0001,No,Existing,Not Available,14,-74.026299,94.2,Not Available,Not Available
4004428,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,,Not Available,Not Available,57755,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,122862,Not Available,2093656.5,Not Available,,Not Available,Not Available,1295670.8,Not Available,Not Available,No,Existing,Not Available,Not Available,,35.5,Not Available,Not Available
2049377,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.855085,Not Available,Not Available,32424,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,118465,Not Available,1276359.9,Not Available,22401.0,Not Available,Not Available,563217.8,100,Not Available,No,Existing,Not Available,Not Available,-73.86869,40.5,Not Available,Not Available
1054347,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,7091,Not Available,Not Applicable: Standalone Property,Not Available,40.800096,Not Available,Not Available,216867,11,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,2736815.8,Not Available,38644028.9,Office,182.0,100,Not Available,21322509.6,9,Not Available,No,Existing,65,15.6,-73.941036,177.4,Not Available,Not Available
2065676,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.881703,Not Available,Not Available,80844,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,Ok,1671375.2,Not Available,Not Available,Not Available,460.0,Not Available,Not Available,Not Available,100,2-04894-0011,No,Existing,Not Available,Not Available,-73.838998,322.2,240,Not Available
1017011,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,4500,Not Available,Not Applicable: Standalone Property,Not Available,40.746758,Not Available,Not Available,49500,207,Not Available,Not Available,0,Not Available,Not Available,4500,Ok,512186.9,Not Available,8243027.2,Not Available,74.0,100,Not Available,5063236.3,66,Not Available,No,Existing,49.5,Not Available,-73.984539,165,Not Available,Not Available
2013921,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.863108,Not Available,Not Available,25420,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,148877,Not Available,1559098.9,Not Available,401.0,Not Available,Not Available,662446,100,Not Available,No,Existing,Not Available,Not Available,-73.899357,62.9,Not Available,Not Available
4540364,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,16000,Not Available,Not Applicable: Standalone Property,0,40.762775,Not Available,Not Available,67219,36,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,520489,Not Available,6873372.5,Parking,61.0,100,Not Available,3635708.2,88,Not Available,No,Existing,65,Not Available,-73.924745,102.5,Not Available,Not Available
385,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,12000,Not Available,Not Applicable: Standalone Property,0,40.693044,Not Available,Not Available,76923,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,438828.9,Not Available,6368855.9,Parking,241.0,Not Available,Not Available,3651648.6,83,Not Available,No,Existing,Not Available,Not Available,-73.955303,83.7,Not Available,Not Available
2007655,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.850656,Not Available,Not Available,37960,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,127494,Not Available,5151627.4,Not Available,241.0,Not Available,Not Available,4183070.4,54,Not Available,No,Existing,Not Available,Not Available,-73.906743,132.8,Not Available,Not Available
2007500,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.846214,Not Available,Not Available,38000,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,178216,Not Available,5467463.8,Not Available,22901.0,Not Available,Not Available,4220652.9,43,Not Available,No,Existing,Not Available,Not Available,-73.905618,142.3,Not Available,Not Available
1032791,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.786902,Not Available,Not Available,41284,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1949356.6,Not Available,21652205.6,Not Available,171.0,Not Available,Not Available,9535805.5,1,Not Available,No,Existing,Not Available,91,-73.977708,524.5,Not Available,Not Available
4231514;4451927,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,,Not Available,Not Available,79709,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,344726.9,Not Available,8811821.2,Not Available,,Not Available,Not Available,6474479.3,72,4-10821-0060,No,Existing,Not Available,Not Available,,110.1,Not Available,Not Available
4038701,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.739359,Not Available,Not Available,115861,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,397120.9,Not Available,12243334.3,Not Available,485.0,Not Available,Not Available,9464197.4,71,Not Available,No,Existing,Not Available,Not Available,-73.879571,103.4,Not Available,Not Available
3165294,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.602299,Not Available,Not Available,53928,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,142755,Not Available,6351864.6,Not Available,296.0,Not Available,Not Available,5272996.5,47,Not Available,No,Existing,Not Available,Not Available,-73.991289,114.7,Not Available,Not Available
1090719,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.756209,Not Available,Not Available,114917,Not Available,Not Available,Not Available,0,114917,Not Available,Not Available,Ok,1737972.7,Not Available,20771873.4,Not Available,115.0,Not Available,Not Available,9899463.8,47,Not Available,No,Existing,Not Available,Not Available,-73.991359,180.8,Not Available,Not Available
1055765,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.80149,Not Available,Not Available,37822,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,147171,Not Available,3313328.8,Not Available,19702.0,Not Available,Not Available,2334544.7,96,Not Available,No,Existing,Not Available,Not Available,-73.95752,86.5,Not Available,Not Available
3426041 ; 3197032,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.602281,Not Available,Not Available,95238,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1051385.9,Not Available,10855646.3,Not Available,560.0,Not Available,Not Available,4359829,60,Not Available,No,Existing,Not Available,Not Available,-73.951968,114,Not Available,Not Available
3425443,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.666491,Not Available,Not Available,103430,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,291258.9,Not Available,5697109.2,Not Available,14102.0,Not Available,Not Available,3760522.9,100,Not Available,No,Existing,Not Available,Not Available,-73.991468,53.9,Not Available,Not Available
4113177,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.765599,Not Available,Not Available,40572,Not Available,Not Available,Not Available,0,Not Available,0,Not Available,Ok,0,Not Available,0,Not Available,1161.0,Not Available,Not Available,0,Not Available,Vacant Property with no Energy Usage,No,Existing,Not Available,Not Available,-73.823691,0,0,Not Available
4057186,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.735928,Not Available,Not Available,116530,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,400806,Not Available,10270846.7,Not Available,479.0,Not Available,Not Available,7597778.4,88,4-02473-0031,No,Existing,Not Available,Not Available,-73.882121,87.7,Not Available,Not Available
4437277,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Fodera Enterprises,Not Available,40.761766,Not Available,Not Available,72065,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,474436.9,Not Available,5006308,Not Available,38301.0,Not Available,Not Available,2101529.6,73,Not Available,No,Existing,Not Available,Not Available,-73.839869,70.2,Not Available,Not Available
3026086,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.664071,Not Available,Not Available,35298,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,184877,Not Available,4328878.2,Not Available,167.0,Not Available,Not Available,3071407.3,78,Not Available,No,Existing,Not Available,Not Available,-73.977306,120.2,Not Available,Not Available
3213393,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,,Not Available,Not Available,116178,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1401416.7,Not Available,22725937.4,Not Available,,Not Available,Not Available,13842201.7,4,Not Available,No,Existing,Not Available,Not Available,,194.7,Not Available,Not Available
4440253;4440246;4440247;4440248;4440249;4840108;4440250;4440251;4440252;4440254;4440255;4832143;4440256;4440257;4832146;4440258,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,60545,Not Available,Not Applicable: Standalone Property,0,,Not Available,Not Available,507000,23,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,133675,Not Available,27180708.4,Office,,100,Not Available,25126223.6,100,Not Available,No,Existing,65,Not Available,,53.6,Not Available,Not Available
4431637;4431638;4850439;4431636,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,5750,Not Available,Not Applicable: Standalone Property,0,40.738722,Not Available,Not Available,225240,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,991584.9,Not Available,24811396.3,Not Available,44302.0,Not Available,Not Available,18170902,83,4-01908-0001,Yes,Existing,Not Available,Not Available,-73.861724,109.3,Not Available,Not Available
3326262; 3326259; 3326260; 3326261,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,8778,Not Available,Not Applicable: Standalone Property,Not Available,40.705019,Not Available,Not Available,26334,15,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,183314,Not Available,2143773.5,Not Available,447.0,100,Not Available,999243.5,Not Available,Property has less than 20 units and is ineligible for a score,No,Existing,60,Not Available,-73.923238,80.6,Not Available,Not Available
1080095,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9 East 4th Street,Not Available,40.728169,Not Available,Not Available,31016,28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,57.0,100,Not Available,Not Available,Not Available,This is 3 buildings all next to each other on 1 lot with shared usage. All Energy Data is on parent level.,Not Available,Existing,70,Not Available,-73.993737,Not Available,Not Available,Not Available
4437500 ; 4437501,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,3000,Not Available,Not Applicable: Standalone Property,Not Available,40.71342,Not Available,Not Available,41300,4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,5364,Not Available,507284.4,Not Available,53501.0,100,Not Available,452624.7,99,Not Available,No,Existing,55.5,Not Available,-73.914261,11.7,Not Available,Not Available
2120270,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.834156,Not Available,Not Available,35298,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,684938.9,Not Available,7770982.1,Not Available,222.0,Not Available,Not Available,3505915.6,10,Not Available,No,Existing,Not Available,Not Available,-73.8593,218.6,Not Available,Not Available
3414096,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.722513,Not Available,Not Available,59696,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,360138,Not Available,6177768,Not Available,499.0,Not Available,Not Available,3901467.4,42,Not Available,No,Existing,Not Available,Not Available,-73.946805,103.6,Not Available,Not Available
3154594,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,8750,Not Available,Not Applicable: Standalone Property,0,40.621503,Not Available,Not Available,208634,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,732925.9,Not Available,21920264,Not Available,5201.0,Not Available,Not Available,16931610.4,73,3-06083-0001,No,Existing,Not Available,Not Available,-74.040211,103.5,Not Available,Not Available
3197097,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.603244,Not Available,Not Available,71400,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,218255,Not Available,7010147.9,Not Available,560.0,Not Available,Not Available,5435187.8,73,Not Available,No,Existing,Not Available,Not Available,-73.952133,97,Not Available,Not Available
1017592,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.750652,Not Available,Not Available,39964,Not Available,Not Available,Not Available,0,39964,Not Available,Not Available,Ok,511206.9,Not Available,5939408.4,Not Available,82.0,Not Available,Not Available,2814612.6,43,Not Available,No,Existing,Not Available,Not Available,-73.980052,150.8,Not Available,Not Available
1085016,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.756667,Not Available,Not Available,471985,Not Available,Not Available,Not Available,0,471985,Not Available,Not Available,Ok,5355804.3,Not Available,105321059.8,Not Available,119.0,Not Available,Not Available,70203917.5,25,Not Available,No,Existing,Not Available,Not Available,-73.984396,226.1,Not Available,Not Available
1016148,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,6000,Not Available,Not Applicable: Standalone Property,Not Available,40.737652,Not Available,Not Available,71745,150,Not Available,0,0,Not Available,Not Available,Not Available,Ok,396456,Not Available,6763414.4,Not Available,52.0,100,Not Available,4361232.9,86,1-00847-0029,No,Existing,65,Not Available,-73.989759,93.1,Not Available,Not Available
3002538,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.692909,Not Available,Not Available,67080,157.58,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,474337.9,Not Available,7991549,Not Available,7.0,100,Not Available,4956985.6,76,Not Available,No,Existing,65,Not Available,-73.99357,118.3,Not Available,Not Available
2014127,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,,Not Available,Not Available,28448,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,132750,Not Available,3668504.2,Not Available,,Not Available,Not Available,2749794.1,49,Not Available,No,Existing,Not Available,Not Available,,127.7,Not Available,Not Available
2001145,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.823861,Not Available,Not Available,52000,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,115452,Not Available,2032438.1,Not Available,6301.0,Not Available,Not Available,1279118.3,80,Not Available,No,Existing,Not Available,Not Available,-73.928008,38.1,Not Available,Not Available
3029653;3813981,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.671131,Not Available,Not Available,74990,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,215297,Not Available,9556458.2,Not Available,217.0,Not Available,Not Available,7912048.9,55,3-01181-0018,No,Existing,Not Available,Not Available,-73.960202,124.8,Not Available,Not Available
4079257,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,8384,Not Available,Not Applicable: Standalone Property,0,40.706718,Not Available,Not Available,78087,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,262501,Not Available,7122148.1,Not Available,134.0,Not Available,Not Available,5332205.2,85,Not Available,No,Existing,Not Available,Not Available,-73.834829,90.1,Not Available,Not Available
4115400,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,22547,Not Available,Not Applicable: Standalone Property,Not Available,40.75487,Not Available,Not Available,155290,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Ok,480670.9,Not Available,16747053.3,Not Available,853.0,Not Available,Not Available,13692865.3,57,Not Available,No,Existing,Not Available,Not Available,-73.829668,109,Not Available,Not Available
2068245,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.895226,Not Available,Not Available,65236,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,217622,Not Available,2290468.8,Not Available,434.0,Not Available,Not Available,984935.3,100,2-04999-0068,No,Existing,Not Available,Not Available,-73.854938,36.1,Not Available,Not Available
1014958,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.743808,Not Available,Not Available,55525,Not Available,Not Available,Not Available,0,55525,Not Available,Not Available,Ok,770959.9,Not Available,9068103.4,Not Available,91.0,Not Available,Not Available,4245545.8,78,Not Available,No,Existing,Not Available,Not Available,-73.992912,163.1,Not Available,Not Available
3034798,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.663846,Not Available,Not Available,80899,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,253235,Not Available,7305038.1,Not Available,329.0,Not Available,Not Available,5564630.5,87,3-01315-0027,No,Existing,Not Available,Not Available,-73.951826,89.6,Not Available,Not Available
4003812,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.766275,Not Available,Not Available,27400,63,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,426984.9,Not Available,5373223.3,Not Available,39.0,100,Not Available,2741671.5,29,Not Available,No,Existing,65,Not Available,-73.939777,197.1,Not Available,Not Available
1007005,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - Trenkmann,Not Available,40.720234,Not Available,Not Available,26065,46,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,184252,Not Available,1755861.8,Not Available,45.0,100,Not Available,633468.5,88,Oil is consumed and entered at the parent level.,No,Existing,50,Not Available,-73.998167,67.9,Not Available,Not Available
1060035,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,5000,Not Available,Not Applicable: Standalone Property,Not Available,40.81638,Not Available,Not Available,66367,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Ok,523285.9,Not Available,9699062.3,Not Available,230.0,Not Available,Not Available,6319131.8,40,Not Available,Yes,Existing,Not Available,Not Available,-73.939212,145.3,Not Available,Not Available
4207734,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.711038,Not Available,Not Available,71690,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,272911,Not Available,3394543,Not Available,232.0,Not Available,Not Available,1741762.3,100,Not Available,No,Existing,Not Available,Not Available,-73.814439,48,Not Available,Not Available
5110064,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.641656,Not Available,Not Available,183970,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,682665.9,Not Available,13584964.1,Not Available,3.0,Not Available,Not Available,9279870.8,93,"Block and Lot Number
3-00001-0216
10 Bay Street Landing
20 Bay Street Landing",No,Existing,Not Available,Not Available,-74.076048,73.2,Not Available,Not Available
2013613,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.862836,Not Available,Not Available,51285,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,205161,Not Available,7082201.8,Not Available,39901.0,Not Available,Not Available,5793550.7,44,"square footage, provided by client",No,Existing,Not Available,Not Available,-73.89546,139.1,Not Available,Not Available
1090760,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.746236,Not Available,Not Available,73221,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,573745.9,Not Available,7925582.6,Not Available,74.0,Not Available,Not Available,4343762.7,56,Not Available,No,Existing,Not Available,Not Available,-73.984059,108.2,Not Available,Not Available
3321898; 3321899,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.684945,Not Available,Not Available,29542,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,92840,Not Available,2869349.9,Not Available,199.0,Not Available,Not Available,2217731.8,86,Not Available,No,Existing,Not Available,Not Available,-73.967171,94.9,Not Available,Not Available
2014737,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.861059,Not Available,Not Available,81144,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,234754,Not Available,6695700.1,Not Available,255.0,Not Available,Not Available,5107187.9,82,Not Available,No,Existing,Not Available,Not Available,-73.907686,82.4,Not Available,Not Available
4300914,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,3125,Not Available,Not Applicable: Standalone Property,0,40.602223,Not Available,Not Available,78600,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,400656.9,Not Available,9459251,Not Available,100803.0,Not Available,Not Available,6730407.7,52,4-15753-0072,No,Existing,Not Available,Not Available,-73.758048,119.3,Not Available,Not Available
1044023,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.770889,Not Available,Not Available,134807,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,744820.9,Not Available,15591367.4,Not Available,134.0,Not Available,Not Available,10613372.6,47,"Block and Lot Number
1-01429-0005",No,Existing,Not Available,Not Available,-73.959207,115.4,Not Available,Not Available
4444358;4444360;4444365;4444366;4452865;4452873;4452881;4452882;4452884;4452885;4452887;4452889;4452890;4452891;4452893;4452902;4452903;4452904;4452905;4452906;4452907;4452908;4452909;4452911;4452912;4452913;4460134;4460136;4460138;4460139;4444362;4444357;4806216;4444364;4452872;4452867;4452876;4444363;4444359;4444361;4452866;4452868;4452869;4452870;4452871;4452874;4452875;4452877;4452878;4452879;4452880;4452886;4452892;4452894;4452895;4452896;4452897;4452899;4452900;4452901;4452910;4452914;4460133;4460135;4460137;4460140;4460141;4556551;4452883,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,6125,Not Available,Not Applicable: Standalone Property,9625,40.747403,Not Available,Not Available,107988,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,702286.9,Not Available,21469109.4,Not Available,1377.0,Not Available,Not Available,16559321,5,4-07656-0002,No,Existing,Not Available,Not Available,-73.755518,195.9,Not Available,Not Available
4005312,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - Ravel Management Group,Not Available,40.754084,Not Available,Not Available,34251,Not Available,Not Available,Not Available,0,34251,Not Available,Not Available,Ok,939133,Not Available,10092316.4,Not Available,1903.0,Not Available,Not Available,4299461.2,81,Not Available,No,Existing,Not Available,Not Available,-73.948815,296,Not Available,Not Available
1064502,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.863241,Not Available,Not Available,83425,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,317174,Not Available,7980005.7,Not Available,299.0,Not Available,Not Available,6035323.9,70,Not Available,No,Existing,Not Available,Not Available,-73.918106,94.8,Not Available,Not Available
3147141,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.634311,Not Available,Not Available,119989,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,376113.9,Not Available,11064463.8,Not Available,38.0,Not Available,Not Available,8532317.4,77,3-05904-0001,No,Existing,Not Available,Not Available,-74.036584,91.2,Not Available,Not Available
1007048,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,20358,Not Available,Not Applicable: Standalone Property,Not Available,40.721543,Not Available,Not Available,55415,96.12,Not Available,0,0,Not Available,Not Available,Not Available,Ok,598015.9,Not Available,6683728.1,Not Available,47.0,100,Not Available,3054566.7,70,Not Available,No,Existing,65,Not Available,-74.000076,121.4,Not Available,Not Available
2000747;2804644,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.81167,Not Available,Not Available,25386,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,96514,Not Available,2401836.2,Not Available,39.0,Not Available,Not Available,1738620.1,77,Not Available,No,Existing,Not Available,Not Available,-73.924903,92.7,Not Available,Not Available
1086046;1802992;1802990;1800294;1800292;1800290; 1800288;1800285;1051627,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,11030,Not Available,Not Applicable: Standalone Property,0,40.797706,Not Available,Not Available,101287,5,Not Available,0,0,Not Available,Not Available,Not Available,Ok,931121.9,Not Available,16080657.1,Senior Living Community,17402.0,100,Not Available,10064152.6,Not Available,Property Manager has confirmed the space type and SQFT.,No,Existing,65,Not Available,-73.948608,157,Not Available,Not Available
