violationid,censustract,lowhousenumber,originalcorrectbydate,zip,inspectiondate,violationstatus,block,streetname,housenumber,novissueddate,currentstatus,communityboard,rentimpairing,newcorrectbydate
10077926,394.0,676,2014-04-04T00:00:00.000,10466,2013-12-03T00:00:00.000,Open,4826,EAST 225 STREET,678,2013-12-30T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,12.0,N,
10020935,22902.0,1654,2013-12-05T00:00:00.000,10457,2013-10-28T00:00:00.000,Close,2791,MONROE AVENUE,1654,2013-10-31T00:00:00.000,VIOLATION DISMISSED,4.0,N,
10021446,22302.0,3333D,2013-12-06T00:00:00.000,10031,2013-10-29T00:00:00.000,Close,2001,BROADWAY,3333D,2013-11-01T00:00:00.000,VIOLATION CLOSED,9.0,N,
10476063,216.0,40,2015-01-12T00:00:00.000,10026,2014-12-10T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-12-15T00:00:00.000,VIOLATION CLOSED,10.0,N,2015-01-26T00:00:00.000
10118580,231.0,1812,2014-05-10T00:00:00.000,10457,2014-01-31T00:00:00.000,Close,2891,CLAY AVENUE,1812,2014-02-04T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10221136,28501.0,308,2014-06-03T00:00:00.000,11206,2014-04-25T00:00:00.000,Close,1579,ELLERY STREET,308,2014-04-29T00:00:00.000,VIOLATION CLOSED,3.0,N,
10467930,21.0,101,2014-12-17T00:00:00.000,10304,2014-12-05T00:00:00.000,Close,521,WRIGHT STREET,101,2014-12-09T00:00:00.000,VIOLATION CLOSED,1.0,N,
10037597,79602.0,49,2013-12-24T00:00:00.000,11226,2013-11-15T00:00:00.000,Close,5064,LENOX ROAD,55,2013-11-19T00:00:00.000,VIOLATION CLOSED,14.0,N,
10262014,1126.0,565,2014-07-07T00:00:00.000,11207,2014-05-31T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2014-06-02T00:00:00.000,VIOLATION CLOSED,5.0,N,
10017306,420.0,1601,2013-12-02T00:00:00.000,11223,2013-10-24T00:00:00.000,Close,6638,OCEAN PARKWAY,1601,2013-10-28T00:00:00.000,VIOLATION DISMISSED,15.0,N,
10617666,255.0,273,2015-04-13T00:00:00.000,10032,2015-03-06T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2015-03-09T00:00:00.000,VIOLATION CLOSED,12.0,N,
10267602,20502.0,226,2014-07-14T00:00:00.000,10453,2014-06-05T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2014-06-09T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10277393,101004.0,120,2014-07-22T00:00:00.000,11691,2014-06-13T00:00:00.000,Close,15638,BEACH 19 STREET,120,2014-06-17T00:00:00.000,VIOLATION DISMISSED,14.0,N,
10258991,50804.0,15,2014-07-04T00:00:00.000,11226,2014-05-28T00:00:00.000,Close,5058,CROOKE AVENUE,15,2014-05-30T00:00:00.000,VIOLATION DISMISSED,14.0,N,
10179620,255.0,273,2014-04-25T00:00:00.000,10032,2014-03-19T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-21T00:00:00.000,VIOLATION CLOSED,12.0,N,
10257992,22302.0,3333C,2014-07-04T00:00:00.000,10031,2014-05-28T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-30T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10183461,391.0,2350,2014-04-29T00:00:00.000,10458,2014-03-21T00:00:00.000,Close,3103,BEAUMONT AVENUE,2350,2014-03-25T00:00:00.000,VIOLATION CLOSED,6.0,N,
10121549,231.0,1812,2014-03-04T00:00:00.000,10457,2014-01-31T00:00:00.000,Close,2891,CLAY AVENUE,1812,2014-02-04T00:00:00.000,VIOLATION CLOSED,5.0,N,2014-03-18T00:00:00.000
10033310,22302.0,3333D,2013-11-22T00:00:00.000,10031,2013-11-12T00:00:00.000,Close,2001,BROADWAY,3333D,2013-11-14T00:00:00.000,VIOLATION CLOSED,9.0,N,
10088414,291.0,570,2014-02-10T00:00:00.000,10034,2014-01-07T00:00:00.000,Close,2221,WEST 204 STREET,570,2014-01-13T00:00:00.000,VIOLATION DISMISSED,12.0,N,
10227108,7.0,8,2017-04-09T00:00:00.000,11201,2014-04-30T00:00:00.000,Close,258,COLUMBIA PLACE,8,2017-01-04T00:00:00.000,VIOLATION DISMISSED,2.0,N,
10179563,255.0,273,2014-06-24T00:00:00.000,10032,2014-03-19T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-21T00:00:00.000,VIOLATION CLOSED,12.0,N,
10257863,22302.0,3333C,2014-07-04T00:00:00.000,10031,2014-05-28T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-30T00:00:00.000,VIOLATION CLOSED,9.0,N,
10130614,182.0,125,2014-03-19T00:00:00.000,10035,2014-02-07T00:00:00.000,Close,1767,EAST 118 STREET,125,2014-02-12T00:00:00.000,VIOLATION CLOSED,11.0,N,
10179600,255.0,273,2014-04-25T00:00:00.000,10032,2014-03-19T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-21T00:00:00.000,VIOLATION CLOSED,12.0,N,
10251100,269.0,2545,2014-06-26T00:00:00.000,10468,2014-05-21T00:00:00.000,Close,3237,SEDGWICK AVENUE,2545,2014-05-22T00:00:00.000,VIOLATION CLOSED,7.0,N,
10037522,229.0,520,2013-12-24T00:00:00.000,10031,2013-11-15T00:00:00.000,Close,2076,WEST 145 STREET,520,2013-11-19T00:00:00.000,VIOLATION CLOSED,9.0,N,
10589631,20502.0,226,2015-04-03T00:00:00.000,10453,2015-02-25T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2015-02-27T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10032125,28501.0,308,2014-02-17T00:00:00.000,11206,2013-11-10T00:00:00.000,Close,1579,ELLERY STREET,308,2013-11-14T00:00:00.000,VIOLATION CLOSED,3.0,N,
10263732,39.0,513,2014-07-09T00:00:00.000,10454,2014-06-02T00:00:00.000,Open,2266,EAST 138 STREET,513,2014-06-04T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,1.0,N,
10050702,1126.0,565,2013-12-13T00:00:00.000,11207,2013-11-29T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2013-12-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10299686,,22 FRON,2014-08-12T00:00:00.000,11206,2014-07-02T00:00:00.000,Open,3031,STAGG STREET,22 FRONT,2014-07-08T00:00:00.000,NOT COMPLIED WITH,,N,
10084672,5902.0,750,2014-01-14T00:00:00.000,10451,2014-01-04T00:00:00.000,Close,2458,GRAND CONCOURSE,750,2014-01-06T00:00:00.000,VIOLATION CLOSED,4.0,N,
10542484,48401.0,3817,2015-03-13T00:00:00.000,10466,2015-02-04T00:00:00.000,Close,4947,DYRE AVENUE,3817,2015-02-06T00:00:00.000,VIOLATION CLOSED,12.0,N,
10200175,7.0,28,2014-07-13T00:00:00.000,11201,2014-04-07T00:00:00.000,Close,258,COLUMBIA PLACE,28,2014-04-09T00:00:00.000,VIOLATION DISMISSED,2.0,N,
10026323,175.0,1076,2013-12-13T00:00:00.000,10456,2013-11-02T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2013-11-08T00:00:00.000,VIOLATION CLOSED,4.0,N,
10148484,371.0,147,2014-05-31T00:00:00.000,11233,2014-02-20T00:00:00.000,Close,1533,HULL STREET,147,2014-02-25T00:00:00.000,VIOLATION CLOSED,16.0,N,
10263735,39.0,513,2014-07-09T00:00:00.000,10454,2014-06-02T00:00:00.000,Open,2266,EAST 138 STREET,513,2014-06-04T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,1.0,N,
10386334,51602.0,2201,2014-12-23T00:00:00.000,11226,2014-09-17T00:00:00.000,Close,5186,DITMAS AVENUE,2211,2014-09-19T00:00:00.000,VIOLATION DISMISSED,14.0,N,
10111627,389.0,34,2014-01-27T00:00:00.000,11206,2014-01-26T00:00:00.000,Close,3160,MELROSE STREET,34,2014-01-28T00:00:00.000,VIOLATION DISMISSED,4.0,N,
10513899,255.0,273,2015-02-27T00:00:00.000,10032,2015-01-21T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2015-01-23T00:00:00.000,VIOLATION CLOSED,12.0,N,
10116838,371.0,62,2014-02-11T00:00:00.000,11233,2014-01-30T00:00:00.000,Close,1521,ROCKAWAY AVENUE,62,2014-02-03T00:00:00.000,VIOLATION CLOSED,16.0,N,
10032653,1175.0,36-29,2014-02-16T00:00:00.000,11358,2013-11-08T00:00:00.000,Close,5296,169 STREET,36-29,2013-11-13T00:00:00.000,VIOLATION CLOSED,7.0,N,
13097974,376.0,3331,2019-09-06T00:00:00.000,10467,2019-05-30T00:00:00.000,Close,4623,OLINVILLE AVENUE,3331,2019-06-03T00:00:00.000,VIOLATION CLOSED,12.0,N,
10084922,387.0,2366,2014-02-10T00:00:00.000,10458,2014-01-04T00:00:00.000,Close,3054,LORILLARD PLACE,2366,2014-01-06T00:00:00.000,VIOLATION CLOSED,6.0,N,
10094389,389.0,34,2016-05-17T00:00:00.000,11206,2014-01-12T00:00:00.000,Close,3160,MELROSE STREET,34,2016-05-11T00:00:00.000,VIOLATION CLOSED,4.0,N,
14431778,35.0,520,2021-07-19T00:00:00.000,10455,2021-07-09T00:00:00.000,Close,2580,CONCORD AVENUE,520,2021-07-13T00:00:00.000,VIOLATION CLOSED,1.0,N,
10182822,7.0,28,2014-04-29T00:00:00.000,11201,2014-03-23T00:00:00.000,Close,258,COLUMBIA PLACE,28,2014-03-25T00:00:00.000,VIOLATION CLOSED,2.0,N,
10258109,22302.0,3333C,2014-09-02T00:00:00.000,10031,2014-05-28T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-30T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10018836,37504.0,2105,2014-01-31T00:00:00.000,10457,2013-10-23T00:00:00.000,Close,3062,MONTEREY AVENUE,2105,2013-10-28T00:00:00.000,VIOLATION CLOSED,6.0,N,
10014967,391.0,2236,2013-12-04T00:00:00.000,10457,2013-10-10T00:00:00.000,Close,3071,ADAMS PLACE,2238,2013-10-30T00:00:00.000,VIOLATION CLOSED,6.0,N,
10267622,20502.0,226,2014-06-18T00:00:00.000,10453,2014-06-05T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2014-06-10T00:00:00.000,VIOLATION CLOSED,5.0,N,
5698850,,22 FRON,2006-07-21T00:00:00.000,11206,2005-09-05T00:00:00.000,Close,3031,STAGG STREET,22 FRONT,2006-07-03T00:00:00.000,VIOLATION CLOSED,,N,
10489163,22301.0,520,2015-01-26T00:00:00.000,10031,2014-12-27T00:00:00.000,Open,1988,WEST 136 STREET,520,2014-12-29T00:00:00.000,DEFECT LETTER ISSUED,9.0,N,2015-02-09T00:00:00.000
10171809,255.0,273,2014-04-14T00:00:00.000,10032,2014-03-12T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-17T00:00:00.000,VIOLATION CLOSED,12.0,N,
10013220,22902.0,1654,2014-01-28T00:00:00.000,10457,2013-10-21T00:00:00.000,Close,2791,MONROE AVENUE,1654,2013-10-25T00:00:00.000,VIOLATION CLOSED,4.0,N,
10056164,231.0,1812,2014-01-03T00:00:00.000,10457,2013-11-29T00:00:00.000,Close,2891,CLAY AVENUE,1812,2013-12-06T00:00:00.000,VIOLATION CLOSED,5.0,N,
10227127,7.0,8,2017-02-08T00:00:00.000,11201,2014-04-30T00:00:00.000,Close,258,COLUMBIA PLACE,8,2017-01-04T00:00:00.000,VIOLATION DISMISSED,2.0,N,
10482289,216.0,40,2015-01-27T00:00:00.000,10026,2014-12-19T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-12-23T00:00:00.000,VIOLATION CLOSED,10.0,N,
10121331,20502.0,226,2014-03-12T00:00:00.000,10453,2014-02-03T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2014-02-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
11991002,,22 FRON,2017-12-31T00:00:00.000,11206,2017-09-25T00:00:00.000,Open,3031,STAGG STREET,22 FRONT,2017-09-27T00:00:00.000,NOV SENT OUT,,N,
10033045,420.0,654,2013-12-19T00:00:00.000,10466,2013-11-12T00:00:00.000,Close,4835,EAST 233 STREET,654,2013-11-14T00:00:00.000,VIOLATION CLOSED,12.0,N,
10476009,216.0,40,2015-03-20T00:00:00.000,10026,2014-12-10T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-12-15T00:00:00.000,VIOLATION DISMISSED,10.0,N,
10072449,27.0,73,2014-01-30T00:00:00.000,10304,2013-12-19T00:00:00.000,Close,524,THOMPSON STREET,75,2013-12-26T00:00:00.000,VIOLATION CLOSED,1.0,N,
10021399,916.0,774,2013-12-05T00:00:00.000,11212,2013-10-29T00:00:00.000,Close,3602,ROCKAWAY AVENUE,774,2013-10-31T00:00:00.000,VIOLATION CLOSED,16.0,N,
10250924,22302.0,3333C,2014-06-27T00:00:00.000,10031,2014-05-20T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-23T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10154464,175.0,1076,2014-03-28T00:00:00.000,10456,2014-02-27T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2014-02-28T00:00:00.000,VIOLATION CLOSED,4.0,N,
10209100,28501.0,308,2014-05-15T00:00:00.000,11206,2014-04-15T00:00:00.000,Close,1579,ELLERY STREET,308,2014-04-17T00:00:00.000,VIOLATION CLOSED,3.0,N,
10041545,361.0,1677,2013-12-27T00:00:00.000,11233,2013-11-20T00:00:00.000,Close,1470,ST JOHNS PLACE,1677,2013-11-22T00:00:00.000,VIOLATION CLOSED,16.0,N,
10094394,389.0,34,2016-06-15T00:00:00.000,11206,2014-01-12T00:00:00.000,Close,3160,MELROSE STREET,34,2016-05-11T00:00:00.000,VIOLATION CLOSED,4.0,N,
10227120,7.0,8,2017-02-08T00:00:00.000,11201,2014-04-30T00:00:00.000,Close,258,COLUMBIA PLACE,8,2017-01-04T00:00:00.000,VIOLATION DISMISSED,2.0,N,
10272236,22302.0,3333A,2014-07-09T00:00:00.000,10031,2014-05-15T00:00:00.000,Close,2001,BROADWAY,3333A,2014-06-11T00:00:00.000,VIOLATION CLOSED,9.0,N,
10113737,20502.0,226,2014-03-06T00:00:00.000,10453,2014-01-28T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2014-01-30T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10555098,22902.0,1654,2015-03-24T00:00:00.000,10457,2015-02-12T00:00:00.000,Close,2791,MONROE AVENUE,1654,2015-02-17T00:00:00.000,VIOLATION CLOSED,4.0,N,
11737818,25401.0,106-45,2017-05-23T00:00:00.000,11433,2017-04-14T00:00:00.000,Close,10124,156 STREET,106-45,2017-04-18T00:00:00.000,VIOLATION CLOSED,12.0,N,
10221137,28501.0,308,2014-08-02T00:00:00.000,11206,2014-04-25T00:00:00.000,Open,1579,ELLERY STREET,308,2014-04-29T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,3.0,N,
10050699,1126.0,565,2014-03-10T00:00:00.000,11207,2013-11-29T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2013-12-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10130538,138.0,1555,2024-08-21T00:00:00.000,10028,2014-02-07T00:00:00.000,Close,1526,2 AVENUE,1555,2024-07-17T00:00:00.000,VIOLATION DISMISSED,8.0,N,
10026325,175.0,1076,2013-12-13T00:00:00.000,10456,2013-11-02T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2013-11-08T00:00:00.000,VIOLATION CLOSED,4.0,N,
10026236,223.0,1423,2014-02-15T00:00:00.000,10452,2013-11-03T00:00:00.000,Close,2843,WYTHE PLACE,1425,2013-11-12T00:00:00.000,VIOLATION CLOSED,4.0,Y,
10112995,255.0,273,2014-02-07T00:00:00.000,10032,2014-01-28T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-01-30T00:00:00.000,VIOLATION CLOSED,12.0,N,
10027264,22302.0,3333A,2013-12-12T00:00:00.000,10031,2013-11-01T00:00:00.000,Close,2001,BROADWAY,3333A,2013-11-07T00:00:00.000,VIOLATION CLOSED,9.0,N,
10360442,1126.0,565,2014-10-03T00:00:00.000,11207,2014-08-26T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2014-08-29T00:00:00.000,VIOLATION CLOSED,5.0,N,
10033047,420.0,654,2013-11-22T00:00:00.000,10466,2013-11-12T00:00:00.000,Close,4835,EAST 233 STREET,654,2013-11-14T00:00:00.000,VIOLATION CLOSED,12.0,N,
10259526,22302.0,3333D,2014-07-09T00:00:00.000,10031,2014-05-29T00:00:00.000,Close,2001,BROADWAY,3333D,2014-06-04T00:00:00.000,VIOLATION CLOSED,9.0,N,
10555100,22902.0,1654,2015-03-24T00:00:00.000,10457,2015-02-12T00:00:00.000,Close,2791,MONROE AVENUE,1654,2015-02-17T00:00:00.000,VIOLATION CLOSED,4.0,N,
10241459,7.0,8,2017-04-09T00:00:00.000,11201,2014-05-12T00:00:00.000,Close,258,COLUMBIA PLACE,8,2017-01-04T00:00:00.000,VIOLATION DISMISSED,2.0,N,
10230329,22302.0,3333C,2014-06-10T00:00:00.000,10031,2014-05-04T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-06T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10842512,,22 FRON,2015-12-06T00:00:00.000,11206,2015-08-31T00:00:00.000,Open,3031,STAGG STREET,22 FRONT,2015-09-02T00:00:00.000,NOV SENT OUT,,N,
10513883,255.0,273,2015-04-28T00:00:00.000,10032,2015-01-21T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2015-01-23T00:00:00.000,VIOLATION CLOSED,12.0,N,
10139426,91.0,25-37,2014-03-25T00:00:00.000,11102,2014-02-16T00:00:00.000,Open,899,14 STREET,25-37,2014-02-18T00:00:00.000,NOV SENT OUT,1.0,N,
10020244,343.0,6653,2013-12-04T00:00:00.000,10471,2013-10-28T00:00:00.000,Close,5881,BROADWAY,6653,2013-10-30T00:00:00.000,VIOLATION CLOSED,8.0,N,
10293810,233.0,718,2014-07-29T00:00:00.000,10031,2014-06-27T00:00:00.000,Close,2096,RIVERSIDE DRIVE,720,2014-07-01T00:00:00.000,VIOLATION CLOSED,9.0,N,2014-08-12T00:00:00.000
10286403,39901.0,2567,2014-07-31T00:00:00.000,10458,2014-06-23T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-06-26T00:00:00.000,VIOLATION CLOSED,7.0,N,
10548688,231.0,1812,2015-03-16T00:00:00.000,10457,2015-02-07T00:00:00.000,Close,2891,CLAY AVENUE,1812,2015-02-09T00:00:00.000,VIOLATION CLOSED,5.0,N,
10250922,22302.0,3333C,2014-06-27T00:00:00.000,10031,2014-05-20T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-23T00:00:00.000,VIOLATION CLOSED,9.0,N,
10292043,233.0,718,2014-10-04T00:00:00.000,10031,2014-06-27T00:00:00.000,Close,2096,RIVERSIDE DRIVE,720,2014-07-01T00:00:00.000,VIOLATION CLOSED,9.0,N,
10030147,420.0,654,2013-12-17T00:00:00.000,10466,2013-10-23T00:00:00.000,Close,4835,EAST 233 STREET,654,2013-11-12T00:00:00.000,VIOLATION CLOSED,12.0,N,
10467933,21.0,101,2015-03-14T00:00:00.000,10304,2014-12-05T00:00:00.000,Close,521,WRIGHT STREET,101,2014-12-09T00:00:00.000,VIOLATION CLOSED,1.0,N,
10440597,163.0,314,2024-11-12T00:00:00.000,10024,2014-11-06T00:00:00.000,Open,1185,WEST 77 STREET,314,2024-11-06T00:00:00.000,NOV SENT OUT,7.0,N,
10333283,22302.0,3333D,2014-09-12T00:00:00.000,10031,2014-08-04T00:00:00.000,Close,2001,BROADWAY,3333D,2014-08-08T00:00:00.000,VIOLATION DISMISSED,9.0,N,
12211908,17701.0,1208,2018-02-26T00:00:00.000,10456,2018-01-26T00:00:00.000,Close,2426,CLAY AVENUE,1208,2018-01-29T00:00:00.000,VIOLATION WILL BE REINSPECTED,4.0,N,
10050700,1126.0,565,2014-03-10T00:00:00.000,11207,2013-11-29T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2013-12-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10616504,20502.0,226,2015-03-06T00:00:00.000,10453,2015-03-05T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2015-03-09T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10262008,1126.0,565,2014-06-10T00:00:00.000,11207,2014-05-31T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2014-06-02T00:00:00.000,VIOLATION CLOSED,5.0,Y,
10151061,175.0,1076,2014-04-04T00:00:00.000,10456,2014-02-25T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2014-02-28T00:00:00.000,VIOLATION CLOSED,4.0,N,
12200019,101004.0,120,2018-02-26T00:00:00.000,11691,2018-01-18T00:00:00.000,Close,15638,BEACH 19 STREET,120,2018-01-22T00:00:00.000,VIOLATION CLOSED,14.0,N,
10559244,22902.0,1654,2015-05-23T00:00:00.000,10457,2015-02-12T00:00:00.000,Close,2791,MONROE AVENUE,1654,2015-02-17T00:00:00.000,VIOLATION CLOSED,4.0,N,
10038792,175.0,1076,2013-12-25T00:00:00.000,10456,2013-11-15T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2013-11-20T00:00:00.000,VIOLATION CLOSED,4.0,N,
10016905,145.0,229,2013-11-22T00:00:00.000,11232,2013-10-22T00:00:00.000,Open,646,23 STREET,229,2013-10-25T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,7.0,N,
10191586,39901.0,2567,2014-04-30T00:00:00.000,10458,2014-03-31T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-04-02T00:00:00.000,VIOLATION DISMISSED,7.0,N,
10188774,391.0,2350,2014-03-28T00:00:00.000,10458,2014-03-27T00:00:00.000,Close,3103,BEAUMONT AVENUE,2350,2014-03-31T00:00:00.000,VIOLATION CLOSED,6.0,N,
10298553,39901.0,2567,2014-08-13T00:00:00.000,10458,2014-07-03T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-07-09T00:00:00.000,VIOLATION CLOSED,7.0,N,
10563090,216.0,1807,2015-03-25T00:00:00.000,10026,2015-02-12T00:00:00.000,Close,1820,ADAM C POWELL BOULEVARD,1809,2015-02-18T00:00:00.000,VIOLATION CLOSED,10.0,N,
13097969,376.0,3331,2019-09-06T00:00:00.000,10467,2019-05-30T00:00:00.000,Close,4623,OLINVILLE AVENUE,3331,2019-06-03T00:00:00.000,VIOLATION CLOSED,12.0,N,
10263736,39.0,513,2014-07-09T00:00:00.000,10454,2014-06-02T00:00:00.000,Open,2266,EAST 138 STREET,513,2014-06-04T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,1.0,N,
10026324,175.0,1076,2013-12-13T00:00:00.000,10456,2013-11-02T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2013-11-08T00:00:00.000,VIOLATION CLOSED,4.0,Y,
10049471,22902.0,1654,2014-01-06T00:00:00.000,10457,2013-11-27T00:00:00.000,Close,2791,MONROE AVENUE,1654,2013-12-02T00:00:00.000,VIOLATION CLOSED,4.0,N,
10151166,175.0,1076,2014-04-04T00:00:00.000,10456,2014-02-25T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2014-02-28T00:00:00.000,VIOLATION CLOSED,4.0,N,
10145745,540.0,106-15,2014-05-30T00:00:00.000,11429,2014-02-19T00:00:00.000,Close,11104,217 STREET,106-15,2014-02-24T00:00:00.000,VIOLATION CLOSED,13.0,N,
10050697,1126.0,565,2014-03-10T00:00:00.000,11207,2013-11-29T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2013-12-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10149694,36501.0,2016,2014-04-02T00:00:00.000,10460,2014-02-24T00:00:00.000,Close,3117,MARMION AVENUE,2016,2014-02-26T00:00:00.000,VIOLATION CLOSED,6.0,N,
10458529,51602.0,2201,2015-03-03T00:00:00.000,11226,2014-11-25T00:00:00.000,Close,5186,DITMAS AVENUE,2211,2014-11-28T00:00:00.000,VIOLATION DISMISSED,14.0,N,
10250923,22302.0,3333C,2014-08-26T00:00:00.000,10031,2014-05-20T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-23T00:00:00.000,VIOLATION DISMISSED,9.0,N,
14203229,486.0,277,2021-05-09T00:00:00.000,11218,2021-04-11T00:00:00.000,Close,5352,DAHILL ROAD,277,2021-04-13T00:00:00.000,VIOLATION CLOSED,12.0,N,
1079047,276.0,1780,2009-09-09T00:00:00.000,11214,1998-06-20T00:00:00.000,Close,6248,77 STREET,1780,2009-09-03T00:00:00.000,VIOLATION CLOSED,11.0,N,
10292032,233.0,718,2014-10-04T00:00:00.000,10031,2014-06-27T00:00:00.000,Close,2096,RIVERSIDE DRIVE,720,2014-07-01T00:00:00.000,VIOLATION CLOSED,9.0,N,
10529550,1126.0,565,,11207,2015-02-02T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,,VIOLATION DISMISSED,5.0,N,
10555101,22902.0,1654,2015-03-24T00:00:00.000,10457,2015-02-12T00:00:00.000,Close,2791,MONROE AVENUE,1654,2015-02-17T00:00:00.000,VIOLATION CLOSED,4.0,N,
10566883,297.0,268,,11233,2015-02-18T00:00:00.000,Close,1680,DECATUR STREET,268,,VIOLATION DISMISSED,3.0,N,
10050696,1126.0,565,2014-01-09T00:00:00.000,11207,2013-11-29T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2013-12-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10111919,391.0,2350,2014-03-05T00:00:00.000,10458,2014-01-27T00:00:00.000,Close,3103,BEAUMONT AVENUE,2350,2014-01-29T00:00:00.000,VIOLATION CLOSED,6.0,N,
10134680,424.0,1710,2014-03-25T00:00:00.000,11223,2014-02-12T00:00:00.000,Close,6652,WEST 4 STREET,1710,2014-02-18T00:00:00.000,VIOLATION CLOSED,11.0,N,
10346388,39901.0,2567,2014-09-22T00:00:00.000,10458,2014-08-10T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-08-18T00:00:00.000,VIOLATION CLOSED,7.0,N,
10183459,391.0,2350,2014-04-29T00:00:00.000,10458,2014-03-21T00:00:00.000,Close,3103,BEAUMONT AVENUE,2350,2014-03-25T00:00:00.000,VIOLATION CLOSED,6.0,N,
10097947,916.0,774,2014-02-18T00:00:00.000,11212,2014-01-15T00:00:00.000,Close,3602,ROCKAWAY AVENUE,774,2014-01-21T00:00:00.000,VIOLATION DISMISSED,16.0,N,
10259562,22302.0,3333D,2014-09-06T00:00:00.000,10031,2014-05-29T00:00:00.000,Close,2001,BROADWAY,3333D,2014-06-03T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10021442,22302.0,3333D,2013-12-06T00:00:00.000,10031,2013-10-29T00:00:00.000,Close,2001,BROADWAY,3333D,2013-11-01T00:00:00.000,VIOLATION CLOSED,9.0,Y,
10467944,21.0,101,2015-03-14T00:00:00.000,10304,2014-12-05T00:00:00.000,Close,521,WRIGHT STREET,101,2014-12-09T00:00:00.000,VIOLATION CLOSED,1.0,N,
10278712,251.0,41-28,2014-07-25T00:00:00.000,11377,2014-06-15T00:00:00.000,Close,1323,55 STREET,41-28,2014-06-20T00:00:00.000,VIOLATION CLOSED,2.0,Y,
10568798,5301.0,151,2015-02-28T00:00:00.000,11231,2015-02-18T00:00:00.000,Close,565,CONOVER STREET,151,2015-02-20T00:00:00.000,VIOLATION CLOSED,6.0,N,
