dbn,school_name,phone_number,website,partner_hospital,priority01,partner_cbo,school_sports,priority04,addtl_info2,ell_programs,online_language_courses,priority05,partner_cultural,school_accessibility_description,partner_highered
08X332,Holcombe L. Rucker School of Community Research,718-860-1053,www.holcombelrucker.com,Morris Heights Health Center,Priority to New York City residents who attend an information session,"Children's Aid Society, Community Baseball League","Track & Field, Boys Baseball",,,ESL,,,Early Stages Live Theater Program,Not Functionally Accessible,"Hostos Community College (College Now Program), Gotta Go Tours (College Tours)"
02M600,The High School of Fashion Industries,212-255-1235,www.fashionhighschool.net,,Open to New York City residents,School Based Health Center: Institute for Family Health,"Competitive Cheerleading Team, Hip-Hop Reggae Dance Team, Step Team",,Extended Day Program,ESL,,,"ArtsConnection, International Center of Photography, Roundabout Theater, Lincoln Center Stages, National Arts Club, Manhattan Theater Company, Atlantic Theater Company, Handweavers Guild, Manhattan Graphics Center",Functionally Accessible,"Hunter College, City College, Fashion Institute of Technology (FIT), Monroe College, LIM College"
02M298,Pace High School,212-334-4663,http://schools.nyc.gov/schoolportals/02/M298,,Priority to New York City residents who attend an information session,"Minds Matter, New York Cares, Chinatown Young Men’s Christian Association (YMCA), Center for Urban Education, Charles B. Wang Teen Resource Center","Basketball, Bridge Running, Flag Football, Handball, Soccer",,,ESL,,,"Lincoln Center for the Arts, Working Playgrounds, Museum of Chinese in the Americas (MoCA), Arts in General, Arts, Inc.",Functionally Accessible,Pace University
21K572,Expeditionary Learning School for Community Leaders,718-333-7700,www.leadersschool.net,,Priority to New York City residents who attend an information session,"Good Shepherd Services, CAMBA","Cross Country, Rock Climbing, Yoga; other clubs based on student interest",,"Community Service Requirement, Dress Code Required, Extended Day Program, Summer Internship Program offered",ESL,,,,Functionally Accessible,Kingsborough Community College
07X520,Foreign Language Academy of Global Studies,718-585-4024,http://schools.nyc.gov/schoolportals/07/X520,,Priority to Bronx students or residents,Wediko Children's Services,Please contact the school for more information,,,ESL,,,,Functionally Accessible,Hostos Community College
13K499,ACORN Community High School,718-789-2258,www.acornchs.org,"Interfaith Medical Center, MIC Women's Health Services",Priority to Brooklyn students or residents,,"Basketball, Bowling, Dance, Soccer, Step",,"Community Service Requirement, Student Summer Orientation",ESL,,,"Brooklyn Public Library, Shambhala Yoga and Dance Center",Functionally Accessible,"Medgar Evers College, New York University (NYU) Best Opportunities Program, New York City College of Technology, Columbia University School of Social Work"
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-5671,www.wagnerartsandtech.org,,Priority to continuing 8th graders,YMCA on-site after school programming (middle school only),"We are a small school, but we boast the athletic team offerings of a big school! We have a dozen teams for boys and girls that compete every season of the year. Our athletes join International High School at LaGuardia Community College and Middle College High School at LaGuardia Community College, as the Panthers, to compete in the Public Schools Athletic League (PSAL).",,"Community Service Requirement, Extended Day Program",ESL,,,"Chess-in-Schools, Town Hall Theater Productions",Functionally Accessible,LaGuardia Community College
09X231,Eagle Academy for Young Men,718-466-8000,http://www.eaglebronx.org/,,Open only to male students,"One Hundred Black Men of New York, Inc., Sponsors for Educational Opportunity (SEO), Summer Search, Global Glimpse, Expanded Success Initiative (ESI),",Baseball,Then to Bronx students or residents,,ESL,,Then to New York City residents,"American Museum of Natural History, Museum of Tolerance: A Simon Wiesenthal Center Museum, Schomburg Center for Research in Black Culture",Not Functionally Accessible,"In addition to partnerships with many New York and local colleges and universities, a key component of preparing our scholars for life after high school is to invite many admissions officers and college representatives into our classrooms, so that our young men are exposed to the world of higher education. In addition, we offer a full menu of tours and visits to many colleges and universities, further expanding our young men's experiences and opportunities to explore their interests, passions and possible careers. Our young men have met with representatives from and have visited the campuses of many colleges and universities, including Howard University, Syracuse University, Carnegie Mellon University, Morehouse College, University of Pennsylvania, Lehman College, Fordham University, Baruch College and New York University."
03M415,Wadleigh Secondary School for the Performing & Visual Arts,212-749-5800,www.wadleigharts.org,St. Luke's Family Clinic (on-site),Priority to continuing 8th graders,"Police Athletic League (PAL), New York City Mission Society-Beacon Program, The 21st Century Leadership Program, Apollo Theater Educational Academy, Beacon Preventive/Outreach Services, Greenwich House Music","Cheerleading, Volleyball","For M26W only: a. Priority to continuing 8th graders b. Then to Districts 3, 5, and 6 students or residents who attend an information session c. Then to New York City residents who attend an information session d. Then to Districts 3, 5, and 6 students or residents e. Then to New York City residents",,ESL,,,"The Cooper Union for the Advancement of Science and Art, The Metropolitan Museum, Apollo Theater, The Joyce Theater, Museum for African Art, The Brooklyn Academy of Music, International Center for Photography, The Moth, Children's Museum of Manhattan, The Juilliard School, Carnegie Hall, Global Campaign for Education, Artfully AWARE, Project Arts",Functionally Accessible,"Columbia University, Barnard College, Fordham University, Hunter College, Marist College, University of Vermont, St. Joseph's College"
28Q325,Hillside Arts & Letters Academy,718-658-1249,http://schools.nyc.gov/schoolportals/28/Q325,,Priority to Queens students or residents who attend an information session,Queens Community House,"Cheerleading, Cricket",Then to New York City residents,Student Summer Orientation,ESL,,,Jamaica Center for Arts and Learning,Not Functionally Accessible,
18K633,High School for Medical Professions,718-290-8700,www.hsmp.us,"Brookdale Medical Center, Maimonides Medical Center, Kingsbrook Jewish Medical Center, Wyckoff Medical Center, Kings County Medical Center, Lutheran Medical Center, (SUNY) Downstate Medical Center, Brooklyn Hospital,New York-Presbyterian Hospital,Four Seasons nursing home, Augustana Lutheran Nursing, Brooklyn United nursing, Crown Nursing, St. Joachim & Ann nursing and Sunrise Nursing and Rehabilitation Center, Beth Israel Medical Center, CNR Nursing, Coney Island Medical Center, Infant and Child Learning Center, Jamaica Medical Center, Bellevue Medical Center, Long Island College Hospital (LICH), Boro Park Nursing, Ruby Western, Sephardic and Shoreview Nursing, VA Hospitals",Priority to New York City residents who attend an information session,"Federation of Italian-American Organizations, Global Kids, Urban Arts Partnerships, Pencil.org.",,,,ESL,,,Urban Arts Partnerships,Not Functionally Accessible,Brooklyn College
09X404,School for Excellence,718-860-1385,www.sfe-morriscampus.org,,Priority to Bronx students or residents who attend an information session,"The Institute For Student Achievement, Martin Luther King Jr. Community Resource Center, Commission on Human Rights, Peer Health Exchange Program, Community Garden","Intramural Basketball, Soccer, Volleyball",Then to New York City residents,Weekend Program offered,ESL,,,"Pathway through the ARTS, New York Historical Society, Metropolitan Opera Guild, Global Classroom, Global Theater Program",Functionally Accessible,"College Summit, College Now, Lehman College, Hostos Community College, CUNY at Home in College, Fordham University, Columbia University"
06M423,High School for Excellence and Innovation,212-569-1022,http://schools.nyc.gov/schoolportals/06/M423,New York-Presbyterian Hospital - Center for Community Health and Education,Open only to 15-16-year-old students entering high school for the first time; students must have a record of being held back two times in elementary and/or middle school; students must attend an Open House and personalized intake meeting,"East Side House (ESH) (provides comprehensive services for students in Advisory, Counseling, Youth Leadership Development, Parent/Community Engagement, After-school and Saturday programs)","Boys: Baseball, Basketball, Flag Football, Track, Volleyball; Girls: Basketball, Softball; Co-ed: Outdoor Track; Student vs. Faculty Games",,"Extended Day Program, Student Summer Orientation",ESL,,,"Educational Video Center, New York City Historical Society, Urban Arts Partnership.",Not Functionally Accessible,"Columbia University Medical Center, Hostos Community College, New York University, Teachers College Inclusive Project."
04M409,Coalition School for Social Change,212-831-5153,http://schools.nyc.gov/schoolportals/04/M409,,Priority to Manhattan and Bronx students or residents,"The Beacon Program, Reach For the Stars, Urban Dove, Big Brother Big Sisters, Early Stages, Harlem Children Zone, Mt. Sinai teen and adolescent Program, The Young Peoples' Chorus, Partenership With Children",Harlem Pride Sports,,"Community Service Requirement, Extended Day Program, Weekend Program offered",ESL,,,"Midori and Friends, Early Stages, Amas Musical Theatre, Carnegie Hall Global Encounters, The Young Peoples' Chorus",Functionally Accessible,"John Jay College, Columbia University, Fordham University, The City College of New York, The State University of New York (SUNY)"
31R445,Port Richmond High School,718-420-2100,http://schools.nyc.gov/schoolportals/31/R445,,Priority to Staten Island students or residents,"Port Authority of New York and New Jersey, New York Center for Interpersonal Development, Northfield Community Local Development Corporation, Project Hospitality, Junior Tennis League, New Visions for Public Schools, United Activities Unlimited (UAU), Staten Island Education Continuum, Liberty Parnership, Catholic Youth Organization (CYO)",Cheerleading,,Extended Day Program,ESL,,,"Historic Richmondtown, Museum of Modern Art (MoMA)",Functionally Accessible,"College of Staten Island Discovery Institute, Kingsborough Community College, Wagner College, St. John's University, Baruch College, Borough of Manhattan Community College"
26Q315,Business Technology Early College High School,718-935-3651,,,Priority to Queens students or residents who attend an information session,,,Then to New York City residents  ,Academic Portfolio Required; Community Service Required; Extended Day Offered; Extended Year Offered; Internship Required; Summer Session Offered; Weekend Program Offered,ESL,,,,Not Functionally Accessible,
10X243,West Bronx Academy for the Future,718-563-7139,www.westbronxacademy.org,Montefiore Medical Center Clinic (on-site),Priority to continuing 8th graders,"Teaching Matters Incorporated (TMI), Career Visions, Hip-Hop Organization","Basketball, Flag Football, Swimming, Volleyball",Then to Bronx students or residents,,ESL,,Then to New York City residents,"Hip Hop Organization, Career Visions",Functionally Accessible,"Lehman College - Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP), Bronx Community College (College Now), Fordham University (Plato)"
18K642,Urban Action Academy,718-290-8720,www.urbanactionacademy.com,,Priority to New York City residents who attend an information session,"21st Century, PENCIL, Dance4Peace, NY Historical Society, Jewish Museum, Brookdale Hospital, NYU school of social work, Generation Citizen, Lincoln Center, MathforAmerica, Law Firm: McDermott, Will, and Emery","Baseball, Basketball",,"Community Service Requirement, Extended Day Program, Internship Requirement, Our school requires an Academic Portfolio for graduation, Weekend Program offered",ESL,,,"Urban Arts Partnership, Radio Rootz, American Museum of Natural History, Brooklyn Museum, Brooklyn Public Library, The Metropolitan Museum of Art, Museo del Barrio, The PEN/Faulkner Foundation",Not Functionally Accessible,"The City College of New York (CCNY), Columbia University, NYU"
10X438,Fordham Leadership Academy for Business and Technology,718-733-5024,http://schools.nyc.gov/schoolportals/10/X438,,Priority to Bronx students or residents,,"Volleyball, Bowling Team, Intramural Basketball, Swimming, Fencing",,,ESL,,,,Functionally Accessible,"Monroe College, Bronx Community College, Baruch College, Lehman College"
24Q520,Middle College High School at LaGuardia Community College,718-392-3330,www.mchslic.com,Western Queens Consultation Center,Priority to Districts 24 and 30 students or residents,"LaGuardia Community College, Long Island City YMCA",,,,ESL,,,,Functionally Accessible,LaGuardia Community College
27Q334,Epic High School – North,718-935-3597,epicschoolsnyc.org,,Priority to Queens students or residents who attend an information session  ,,,Then to New York City residents  ,,ESL,Based on student interest.,,,Not Functionally Accessible,
09X403,Bronx International High School,718-620-1053,www.BronxInternationalHS.com,,Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,,,,ESL,,,"Bronx Art Ensemble, Dream Yard, GrowNYC",Functionally Accessible,"Hostos Community College, Bronx Community College, Bard College, LIU Brooklyn"
08X349,Bronx River High School,718-904-4210,bronxriverhighschool.org,,Priority to Bronx students or residents who attend an information session,,,Then to New York City residents,,ESL,,,,Functionally Accessible,
21K690,Brooklyn Studio Secondary School,718-266-5032,www.brooklynstudio.org,Coney Island Hospital,Priority to continuing 8th graders,"The Anti-Defamation League, Coney Island Hospital, Federation of Italian American Organizations (FIAO), Jewish Student Union, Ft. Hamilton Army Base, Ft. Hamilton Army Base Dog House, New York Blood Center, Leukemia Society.",,Then to New York City residents,,ESL,,,"Alvin Alley Dance Company, VH1 Save the Music Program",Not Functionally Accessible,"Brooklyn College, Kingsborough Community College, Long Island University, St. Francis College"
25Q425,John Bowne High School,718-263-1919,www.johnbowne.org,,Open to New York City residents,"Child Center of NY, Outward Bound, RAPP, Central Queens Y",Equestrian Team,,,"ESL; Transitional Bilingual Program: Chinese, Spanish",,,,Functionally Accessible,"Cornell University, LaGuardia Community College, Queensborough Community College, Queens College, State University of New York (SUNY) Cobleskill, SUNY Morrisville"
17K533,School for Democracy and Leadership,718-771-4865,http://schools.nyc.gov/schoolportals/17/K533,,Priority to continuing 8th graders,"CAMBA, Teen Rapp, Global Kids, Build On, Coro Leadership Program, Operation Breaking Stereotypes, Global Glimpse.",Team Sports,,Our school requires an Academic Portfolio for graduation,ESL,,,Digital Arts Alliance,Not Functionally Accessible,Brooklyn College
29Q313,Benjamin Franklin High School for Finance & Information Technology,718-935-3645,,,Priority to Queens students or residents who attend an information session,,,Then to New York City residents,Community Service Required; Extended Day Offered; Summer Session Offered; Uniform Dress Code Required,ESL,N/A (Expected: Spanish Native Language Arts)  ,,,Functionally Accessible,
11X508,Bronxdale High School,718-944-3655,www.bronxdalehs.org,,Priority to Bronx students or residents who attend an information session,"Institute for Student Achievement, Neighborhood Initiative Development Corp.",Boys Wrestling,Then to New York City residents,"Community Service Requirement, Extended Day Program, Student Summer Orientation",ESL,"Spanish, Spanish Native Language Arts",,"Vital Theatre Company, Lincoln Center, Lehman Art Gallery, ENACT, Tribeca Youth Screening Series",Functionally Accessible,"Lehman College, CUNY's College Now"
25Q241,Queens High School for Language Studies,718-888-7530,www.qhsls.org,,Fifty percent (50%) of the incoming 9th graders will be English Proficient students and fifty percent (50%) Chinese (Mandarin)-speaking English Language Learners as per New York City Department of Education guidelines; a. Priority to Queens students or residents; b. Then to New York City residents,"GPS Academy, Apex for Youth, Asian Americans for Equality, Chinese Planning Council","Intramural: basketball, badminton, volleyball, yoga",,,ESL; Transitional Bilingual Program: Chinese,,,"Spotlight Korea, Flushing Town Hall",Not Functionally Accessible,CUNY network institutions
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,212-225-0998,www.MatherHSNYC.org,,Priority to Manhattan students or residents who attend an information session,"National Park Service (NPS), which manages 400+ national parks, historic sites and monuments nationwide.","Soccer, intramural basketball, flag football, weightlifting & aerobic training",Then to New York City residents,"Community Service Requirement, Extended Day Program, Internship Requirement, Student Summer Orientation, Weekend Program offered",ESL,"Arabic, French, Spanish",,The Engaging Educator (Improv),Functionally Accessible,CUNY; American College of the Building Arts
07X547,New Explorers High School,718-292-4150,www.myNEHS.info,Montefiore Medical Center (Clinic),Priority to New York City residents who attend an information session,East Side House Settlement,Our athletes join with students from Mott Haven Educational Campus to compete in the Public Schools Athletic League (PSAL) program; Campus-wide Cheerleading Team,,Weekend Program offered,ESL,French,,Theater for New Audience Theater Development Fund Playwright Program DOE Arts Liaison,Functionally Accessible,"CUNY schools, including Hostos Community College"
19K660,W. H. Maxwell Career and Technical Education High School,718-345-9100,www.maxwellhs.org,"Brookdale University Hospital and Medical Center, Jamaica Hospital and Long Island College Hospital.",Open to New York City residents,"Brooklyn Community Service Center, Partnership With Children, Leadership Program, New York University Creative Arts Team, National Conference for Community and Justice, Nation Foundation for Teaching Entrepreneurship (NFTE) and Children Achieving Results Effectively(CARE).",,,"Community Service Requirement, Student Summer Orientation",ESL,,,"Brooklyn Arts Council, Graphic Arts Educational Advisory Commission, Art Directors Students League, Brooklyn Museum of Art (Digital Photography Program), Summer Arts Institute",Functionally Accessible,"Fashion Institute of Technology (FIT), New York City College of Technology, Kingsborough Community College, Medgar Evers College, The Art Institute, Pratt Institute, Tour College, Technical Career Institute (TCI), Brooklyn College, Work Based Learning."
03M541,Manhattan / Hunter Science High School,212-501-1235,http://schools.nyc.gov/schoolportals/03/M541,,Open to New York City residents,,,,,ESL,,,,Functionally Accessible,"Hunter College, Rockefeller University"
08X269,Bronx Studio School for Writers and Artists,718-893-5158,http://schools.nyc.gov/schoolportals/08/X269,,Priority to continuing 8th graders,"Casita Maria, Inc., F.E.G.S., UNITAS",Boys Basketball Team and Intramural 3-on-3 Basketball,,,ESL,,,Afro-Latin Jazz Aliance,Not Functionally Accessible,
27Q260,Frederick Douglass Academy VI High School,718-471-2154,http://schools.nyc.gov/schoolportals/27/Q260,"Jamaica Hospital Medical Center, Peninsula Hospital Center",Priority to Queens students or residents who attend an information session,,"Step Team, Modern Dance, Hip Hop Dance",Then to New York City residents,"Extended Day Program, Student Summer Orientation, Summer Internship Program offered, Weekend Program offered",ESL,"French, Spanish",,,Not Functionally Accessible,"York College, Brooklyn College, St. John's College"
