school_name,total_students,expgrade_span_max,campus_name,subway,start_time,psal_sports_girls,priority10,grade_span_min
Repertory Company High School for Theatre Arts,236.0,,,"1, 2, 3, G, N, Q, R, S to Times Square-42nd St ; 4, 5, 6 to Grand Central - 42nd St ; 7, B, D, F, M to 42nd St-Bryant Park ; A, C, E to 42nd St-Port Authority Bus Terminal",8:15 AM,,,9.0
"Metropolitan High School, The",313.0,,,"2, 5 to Simpson St",8:00 AM,"Basketball & JV Basketball, JV Softball",,9.0
Leadership and Public Service High School,685.0,,,"1, R to Rector St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5 to Wall St ; 6 to Brooklyn Bridge - City Hall ; E to World Trade Center ; J, Z to Broad St",8:30 AM,"Basketball, Softball",,9.0
Origins High School,85.0,12.0,Sheepshead Bay Educational Campus,,8:45 AM,"Basketball & JV Basketball, Bowling, Cross Country, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",,9.0
International High School for Health Sciences,50.0,12.0,Newtown Educational Campus,"M, R to Grand Ave - Newtown",8:30 AM,"Basketball, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",,9.0
Queens Collegiate: A College Board School,647.0,,Jamaica Educational Campus,F to 169th St,8:15 AM,"Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,6.0
Stuyvesant High School,3292.0,,,"1, 2, 3, A, C, E to Chambers St ; R to City Hall",8:00 AM,"Basketball, Bowling, Cross Country, Fencing, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball & JV Volleyball",,9.0
In-Tech Academy (M.S. / High School 368),1036.0,,,1 to Marble Hill - 225th St,8:30 AM,"Basketball, Softball, Volleyball",,6.0
Brooklyn Generation School,297.0,,South Shore Educational Campus,,8:30 AM,"Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball",,9.0
Brooklyn Secondary School for Collaborative Studies,670.0,,,"F, G to Carroll St",8:30 AM,"Basketball, Softball, Volleyball",,6.0
Queens Gateway to Health Sciences Secondary School,811.0,,,,8:00 AM,"Cross Country, Outdoor Track",,6.0
