website,bbl,location_1,primary_address_line_1,partner_corporate,grade_span_max,bus,online_ap_courses,building_code,census_tract,se_services
www.Renaissancemtt.org,2053680001.0,"{'latitude': '40.840513977', 'longitude': '-73.83812096', 'human_address': '{""address"": ""3000 East Tremont Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10461""}'}",3000 East Tremont Avenue,,12,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,X405,194.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/29/Q272,4130570056.0,"{'latitude': '40.668232288', 'longitude': '-73.756839894', 'human_address': '{""address"": ""143 10 Springfield Boulevard Springfield Gardens"", ""city"": ""NY"", ""state"": """", ""zip"": ""11413""}'}",143-10 Springfield Boulevard,,12,"Q3, Q77, Q85",,Q420,330.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/10/X437,2030590001.0,"{'latitude': '40.860012221', 'longitude': '-73.888229604', 'human_address': '{""address"": ""500 East Fordham Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10458""}'}",500 East Fordham Road,"Solomon R. Guggenheim Museum, Grammy Foundation; The Weill Music Institute at Carnegie Hall; Vital Theatre",12,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx9","Biology, Computer Science A, English Language and Composition, English Literature and Composition, Music Theory, United States Government and Politics, United States History",X435,387.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.bths.edu,3020980013.0,"{'latitude': '40.688107423', 'longitude': '-73.976745072', 'human_address': '{""address"": ""29 Ft Greene Place"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11217""}'}",29 Ft Greene Place,"Con Edison, National Grid, Mancini-Duffy Architects, Pennoni Associates Engineering",12,"B103, B25, B38, B41, B45, B52, B54, B62, B63, B65, B69","Microeconomics, Physics B",K430,33.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/09/X276,2029300001.0,"{'latitude': '40.841270878001', 'longitude': '-73.897978677', 'human_address': '{""address"": ""1701 Fulton Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",1701 Fulton Avenue,,12,"Bx11, Bx15, Bx17, Bx21, Bx40, Bx41, Bx41-SBS, Bx42",,X004,165.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.RockawayParkHS.com,4161670099.0,"{'latitude': '40.586007187', 'longitude': '-73.823089444', 'human_address': '{""address"": ""100 00 Beach Channel Drive Rockaway Park"", ""city"": ""NY"", ""state"": """", ""zip"": ""11694""}'}",100-00 Beach Channel Drive,,12,"Q22, Q53",,Q410,94201.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/10/X342,2032470070.0,"{'latitude': '40.870377467', 'longitude': '-73.898162952', 'human_address': '{""address"": ""2780 Reservoir Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10468""}'}",2780 Reservoir Avenue,,12,"Bx1, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9",,X430,409.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.KECSS.info,3068830001.0,"{'latitude': '40.593593811', 'longitude': '-73.984729232', 'human_address': '{""address"": ""2630 Benson Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",2630 Benson Avenue,Merrill Lynch,12,"B1, B3, B4, B6, B64, B82",,K400,306.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.sljhs.org,3001400010.0,"{'latitude': '40.694620119', 'longitude': '-73.988623945', 'human_address': '{""address"": ""283 Adams Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",283 Adams Street,"Cravath, Swaine & Moore LLP",12,"B103, B25, B26, B38, B41, B45, B54, B57, B61, B62, B63, B65, B67, B69",,K313,11.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.energytechschool.org,4003430001.0,"{'latitude': '40.757097156001', 'longitude': '-73.932618401', 'human_address': '{""address"": ""36 41 28 Street"", ""city"": ""Astoria"", ""state"": ""NY"", ""zip"": ""11106""}'}",36-41 28 Street,"Con Edison, National Grid",11,"Q101, Q102, Q104, Q66, Q69",,Q204,51.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.47aslhs.org,,"{'latitude': '40.738599087', 'longitude': '-73.982511911', 'human_address': '{""address"": ""223 East 23 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",223 East 23 Street,PENCIL,12,"M101, M102, M14A, M14D, M15, M15-SBS, M2, M23, M34A-SBS, M5, M9",,M047,64.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.iceschool.net,1009220008.0,"{'latitude': '40.732485378', 'longitude': '-73.983053388', 'human_address': '{""address"": ""345 East 15Th Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10003""}'}",345 East 15Th Street,,12,"M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M8, M9",,M475,48.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.richmondhillhs.org,4093210001.0,"{'latitude': '40.695649222001', 'longitude': '-73.833584805', 'human_address': '{""address"": ""89 30 114 Street Richmond Hill"", ""city"": ""NY"", ""state"": """", ""zip"": ""11418""}'}",89-30 114 Street,"American Express, Rand PC, Summit Erectors, Paragon Corp.,Cooper Union, Westerman Construction, Deloi HC.",12,"Q10, Q24, Q37, Q55, Q56, Q8",,Q475,124.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.cssjbronx.org,2023440096.0,"{'latitude': '40.816084481', 'longitude': '-73.930323839', 'human_address': '{""address"": ""350 Gerard Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",350 Gerard Avenue,Deloitte LLP - Deloitte Academy,12,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx32, Bx33, M1, M102, M7",,X884,63.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
uamaker.org,,"{'latitude': '40.709336073', 'longitude': '-74.005299345', 'human_address': '{""address"": ""411 Peal Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",411 Peal Street,,10,"M103, M15, M22, M5, M9",Expected as the school grows,M520,,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.vanguardnyc.net,1014420001.0,"{'latitude': '40.765445402', 'longitude': '-73.960213786', 'human_address': '{""address"": ""317 East 67 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10065""}'}",317 East 67 Street,Cantor Fitzgerald,12,"M101, M102, M15, M2, M31, M57, M66, M72, M98, Q101, Q32, Q60",,M480,118.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/08/X530,2027100001.0,"{'latitude': '40.817439446', 'longitude': '-73.898049206', 'human_address': '{""address"": ""965 Longwood Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10459""}'}",965 Longwood Avenue,"Time Warner, Inc., GoGirl, Port Morris Tile and Marble Corporation",12,"Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6",,X039,87.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.nycacademy.org,4104430001.0,"{'latitude': '40.71181822', 'longitude': '-73.771191876', 'human_address': '{""address"": ""188 04 91St Avenue"", ""city"": ""Hollis"", ""state"": ""NY"", ""zip"": ""11423""}'}",188-04 91St Avenue,,12,"Q110, Q17, Q2, Q3, Q36, Q76",Calculus AB,Q799,480.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.btahs.org,3079980005.0,"{'latitude': '40.63262743', 'longitude': '-73.917797989', 'human_address': '{""address"": ""6565 Flatlands Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",6565 Flatlands Avenue,,12,"B103, B47, B6, B82",,K515,950.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.aoiths.org,3040940001.0,"{'latitude': '40.691143962', 'longitude': '-73.868426057', 'human_address': '{""address"": ""999 Jamaica Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",999 Jamaica Avenue,"Accenture, Cisco Systems, Inc., Bloomberg LLC, iMentor",12,"B13, Q56",,K420,1180.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/15/K462,3010820001.0,"{'latitude': '40.669598175', 'longitude': '-73.979255522', 'human_address': '{""address"": ""237 7 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",237 7 Avenue,Paul Hastings LLP,12,"B61, B63, B67",,K460,155.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.wagnerhigh.net,5009550100.0,"{'latitude': '40.598652386', 'longitude': '-74.123104759', 'human_address': '{""address"": ""1200 Manor Road Staten Island"", ""city"": ""NY"", ""state"": """", ""zip"": ""10314""}'}",1200 Manor Road,"JC Penney, TJ Maxx, National Academy Foundation, Virtual Enterprise International",12,"S54, S57, S61",,R460,181.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.newyorkharborschool.org,,"{'latitude': '40.690787629', 'longitude': '-74.019757326', 'human_address': '{""address"": ""550 Wheeler Avenue"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": ""10004""}'}",550 Wheeler Avenue,"Fishers Island Oysters, Kirby Marine, GMD Shipyard Lockheed Martin, SERAS, McAllister Towing, Sandy Hook Pilots, SanSail, Thomson Reuters",12,,,M877,,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.csihighschool.org,5024500320.0,"{'latitude': '40.582022026', 'longitude': '-74.157848419', 'human_address': '{""address"": ""100 Essex Drive Staten Island"", ""city"": ""NY"", ""state"": """", ""zip"": ""10314""}'}",100 Essex Drive,,12,"S44, S56, S61, S79-SBS, S89",,R043,27702.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.bronxbridges.org,2036040039.0,"{'latitude': '40.822303765', 'longitude': '-73.85596139', 'human_address': '{""address"": ""1980 Lafayette Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10473""}'}",1980 Lafayette Avenue,Ernst & Young Mentoring Program,12,"Bx22, Bx27, Bx36, Bx39, Bx5","French Language and Culture, French Literature",X450,16.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
