bronx_cooperatives_comparable_properties_boro_block_lot,bronx_cooperatives_comparable_properties_address,latitude,longitude,comparable_rental_3_building_classification,comparable_rental_1_net_operating_income,comparable_rental_2_full_market_value,bronx_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_2_address,bronx_cooperatives_comparable_properties_gross_sqft,bronx_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_1_expense_per_sqft,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_2_gross_income_per_sqft,bronx_cooperatives_comparable_properties_market_value_per_sqft,bronx_cooperatives_comparable_properties_full_market_value,comparable_rental_2_estimated_expense,community_council,comparable_rental_1_total_units,comparable_rental_3_distance_from_coop_in_miles
2-05799-0073,"{'latitude': '40.886696758224', 'longitude': '-73.909690411599', 'human_address': '{""address"": ""3601 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.886839,-73.909625,D1-ELEVATOR,553390,1969000,11.75,"{'latitude': '40.886372374526', 'longitude': '-73.910726409353', 'human_address': '{""address"": ""3555 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",115597,1358265,4.63,0.13,11.75,36.64,4235000,298924,11.0,57,0.32
2-02992-0073,"{'latitude': '40.839548757803', 'longitude': '-73.883935022104', 'human_address': '{""address"": ""1883 VYSE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.839785,-73.883715,C1-WALK-UP,163215,1295000,16.43,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2392 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",15840,260251,5.51,1.12,20.1,57.83,916000,135799,17.0,16,3.47
2-03173-0001,"{'latitude': '40.860322383643', 'longitude': '-73.900545839575', 'human_address': '{""address"": ""2386 MORRIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.860565,-73.900475, ,305707,1370000,10.77,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2010 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",30886,332642,6.83,0.36,9.25,27.81,859000,235745,14.0,47, 
2-03263-0085,"{'latitude': '40.885139255638', 'longitude': '-73.896235152543', 'human_address': '{""address"": ""3900 BAILEY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.885301,-73.8954, ,938897,10760000,11.86,"{'latitude': '40.890261642548', 'longitude': '-73.911362719053', 'human_address': '{""address"": ""3950 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",247530,2935706,6.09,4.47,13.05,34.09,8438000,1477491,11.0,209, 
2-05920-0510,"{'latitude': '40.88988744006', 'longitude': '-73.914311278005', 'human_address': '{""address"": ""679 239 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D1-ELEVATOR,650595,3531000,13.05,"{'latitude': '40.886549999277', 'longitude': '-73.908922599141', 'human_address': '{""address"": ""545 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",125526,1638114,7.16,0.39,12.64,45.42,5702000,554033,,77,0.42
2-02293-0041,"{'latitude': '40.815586003475', 'longitude': '-73.916589132247', 'human_address': '{""address"": ""426 149 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,C1-WALK-UP,52977,493000,9.78,"{'latitude': '40.809904619543', 'longitude': '-73.920675358185', 'human_address': '{""address"": ""461 140 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",10845,106064,5.79,0.35,13.53,21.95,238000,104499,,21,0.56
2-02968-0035,"{'latitude': '40.830850271595', 'longitude': '-73.898447463132', 'human_address': '{""address"": ""810 RITTER PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.830906,-73.898, ,65145,423000,10.98,"{'latitude': '40.823692010096', 'longitude': '-73.890420284592', 'human_address': '{""address"": ""1018 HOE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",17520,192420,6.07,0.94,11.73,26.2,459000,103374,17.0,31, 
2-03313-0069,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3184 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D1-ELEVATOR,429532,2156000,10.06,"{'latitude': '40.877593503188', 'longitude': '-73.88222192812', 'human_address': '{""address"": ""100 MOSHOLU PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",80811,812959,4.47,0.07,10.02,34.88,2819000,406688,,67,0.07
2-02510-0050,"{'latitude': '40.836513502873', 'longitude': '-73.923948816258', 'human_address': '{""address"": ""1177 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.836553,-73.923899,D1-ELEVATOR,433215,1377000,12.0,"{'latitude': '40.835642548854', 'longitude': '-73.925650004979', 'human_address': '{""address"": ""1140 WOODYCREST AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",106386,1276632,7.32,0.22,12.28,29.81,3171000,299884,16.0,79,0.23
2-03353-0033,"{'latitude': '40.873158293429', 'longitude': '-73.876088342626', 'human_address': '{""address"": ""3176 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.873032,-73.876259,D1-ELEVATOR,334620,2145000,11.62,"{'latitude': '40.869575835091', 'longitude': '-73.883264102385', 'human_address': '{""address"": ""2976 MARION AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",59000,685580,6.62,1.34,11.02,32.03,1890000,376775,11.0,62,0.63
2-05736-0006,"{'latitude': '40.882630194345', 'longitude': '-73.914556792386', 'human_address': '{""address"": ""3050 FAIRFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.882723,-73.914509,D1-ELEVATOR,806632,2156000,11.78,"{'latitude': '40.88038240123', 'longitude': '-73.904333150882', 'human_address': '{""address"": ""225 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",111000,1307580,5.03,0.23,11.78,41.22,4575000,466325,11.0,85,0.11
2-02850-0040,"{'latitude': '40.847784728295', 'longitude': '-73.911105568787', 'human_address': '{""address"": ""1770 TOWNSEND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.84781,-73.911109,C1-WALK-UP,194120,967000,11.23,"{'latitude': '40.844230629079', 'longitude': '-73.905852752565', 'human_address': '{""address"": ""1707 TOPPING AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",44440,499061,4.88,0.31,11.23,31.57,1403000,194058,14.0,51,0.4
2-05739-0257,"{'latitude': '40.883055378383', 'longitude': '-73.910646098354', 'human_address': '{""address"": ""3135 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.882613,-73.910806, ,415262,3432000,11.52,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2700 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",141721,1632626,4.92,0.23,11.29,37.1,5258000,539876,11.0,55, 
2-02608-0022,"{'latitude': '40.827948227628', 'longitude': '-73.906223709357', 'human_address': '{""address"": ""1103 FRANKLIN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.827713,-73.90645, ,79888,150000,11.0,"{'latitude': '40.829660455318', 'longitude': '-73.909379537762', 'human_address': '{""address"": ""3428 PARK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",24750,272250,7.44,0.0,10.81,27.92,691000,37792,16.0,26, 
2-05803-0960,"{'latitude': '40.89149480591', 'longitude': '-73.899186749286', 'human_address': '{""address"": ""4410 CAYUGA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.891743,-73.899177,D1-ELEVATOR,427925,4599000,11.25,"{'latitude': '40.88950389842', 'longitude': '-73.904451506606', 'human_address': '{""address"": ""3900 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",59000,663750,7.5,0.33,11.25,34.14,2014000,801013,11.0,72,0.39
2-02966-0017,"{'latitude': '40.834951561901', 'longitude': '-73.894045951257', 'human_address': '{""address"": ""1500 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834973,-73.894052, ,77725,981000,10.93,"{'latitude': '40.837896997441', 'longitude': '-73.845761558019', 'human_address': '{""address"": ""1410 ROWLAND STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",30000,327900,5.57,1.58,11.01,30.23,907000,193600,17.0,41, 
2-03627-0050,"{'latitude': '40.82137389584', 'longitude': '-73.87649936558', 'human_address': '{""address"": ""880 BOYNTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.821314,-73.876507,D7-ELEVATOR,139237,3592000,10.76,"{'latitude': '40.821021276082', 'longitude': '-73.89565834556', 'human_address': '{""address"": ""955 163 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",256750,2762630,7.03,1.03,10.76,24.1,6188000,1022326,17.0,25,1.03
2-05716-0500,"{'latitude': '40.877230807923', 'longitude': '-73.917899032971', 'human_address': '{""address"": ""2500 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.877162,-73.917861, ,511815,2533000,12.81,"{'latitude': '40.879285259289', 'longitude': '-73.905927434245', 'human_address': '{""address"": ""3063 GODWIN TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",466400,5974584,5.37,0.77,12.79,46.7,21780000,445626,11.0,74, 
2-02717-0070,"{'latitude': '40.823975791037', 'longitude': '-73.894832946697', 'human_address': '{""address"": ""1020 TIFFANY STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.824283,-73.894856,C7-WALK-UP,76291,378000,14.74,"{'latitude': '40.822659392538', 'longitude': '-73.900329907402', 'human_address': '{""address"": ""954 PROSPECT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",10055,148211,8.99,0.97,14.5,39.58,398000,103718,17.0,18,1.1
2-03716-0001,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1569 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.824151,-73.875786,D7-ELEVATOR,588433,3592000,10.76,"{'latitude': '40.821021276082', 'longitude': '-73.89565834556', 'human_address': '{""address"": ""955 163 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",124778,1342611,6.97,0.53,10.76,24.11,3008000,1022326,18.0,129,1.02
2-05745-0290,"{'latitude': '40.880534961738', 'longitude': '-73.922380747459', 'human_address': '{""address"": ""2501 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.880848,-73.922196, ,116959,3127000,15.65,"{'latitude': '40.881127695463', 'longitude': '-73.903922502332', 'human_address': '{""address"": ""233 233 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",28536,446588,9.87,1.04,14.21,52.14,1488000,348122,11.0,25, 
2-03213-0033,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2471 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.863481,-73.902773, ,194387,1639000,11.77,"{'latitude': '40.860571338125', 'longitude': '-73.908177710192', 'human_address': '{""address"": ""2277 ANDREWS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",43000,506103,6.54,0.07,11.46,31.21,1342000,294936,14.0,42, 
2-02746-0021,"{'latitude': '40.82202729051', 'longitude': '-73.890285105798', 'human_address': '{""address"": ""946 HOE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.822031,-73.890311,C7-WALK-UP,68783,302000,9.96,"{'latitude': '40.825628132388', 'longitude': '-73.895806455721', 'human_address': '{""address"": ""1086 KELLY STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",17550,174798,7.62,0.35,9.96,20.28,356000,100095,17.0,15,0.39
2-05743-0198,"{'latitude': '40.879982832359', 'longitude': '-73.921938115916', 'human_address': '{""address"": ""2390 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879395,-73.920791,D1-ELEVATOR,806632,2156000,11.78,"{'latitude': '40.88038240123', 'longitude': '-73.904333150882', 'human_address': '{""address"": ""225 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",80214,944921,5.03,0.57,11.78,37.03,2970000,466325,11.0,85,0.23
2-03237-0067,"{'latitude': '40.870113985558', 'longitude': '-73.905599851942', 'human_address': '{""address"": ""2630 KINGSBRIDGE TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.869871,-73.905985,D1-ELEVATOR,483986,2112000,10.93,"{'latitude': '40.867666855785', 'longitude': '-73.907334982504', 'human_address': '{""address"": ""2559 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",200000,2186000,5.3,0.0,11.51,30.64,6127000,353847,14.0,86,0.12
2-02508-0026,"{'latitude': '40.833331107414', 'longitude': '-73.926384858934', 'human_address': '{""address"": ""1045 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.833453,-73.926292,D1-ELEVATOR,244623,2759000,12.0,"{'latitude': '40.834545378997', 'longitude': '-73.924395139481', 'human_address': '{""address"": ""1105 JEROME AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",54180,650160,7.5,0.11,12.0,29.81,1615000,677568,8.0,54,0.2
2-02872-0001,"{'latitude': '40.841543381237', 'longitude': '-73.92154367928', 'human_address': '{""address"": ""1372 SHAKESPEARE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.841313,-73.921736,C1-WALK-UP,135790,1157000,6.93,"{'latitude': '40.835836233179', 'longitude': '-73.915014781989', 'human_address': '{""address"": ""1279 SHERIDAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",39745,275433,5.54,0.39,12.45,11.95,475000,210872,16.0,45,0.55
2-05919-0448,"{'latitude': '40.888557878984', 'longitude': '-73.915598599857', 'human_address': '{""address"": ""3750 HUDSON MANOR TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.888713,-73.915597,D1-ELEVATOR,650595,3531000,12.64,"{'latitude': '40.886549999277', 'longitude': '-73.908922599141', 'human_address': '{""address"": ""545 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",163944,2072252,7.16,0.33,12.64,37.37,6127000,554033,11.0,77,0.34
2-02717-0048,"{'latitude': '40.825028970409', 'longitude': '-73.893927209844', 'human_address': '{""address"": ""1049 FOX STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.825105,-73.893894,D7-ELEVATOR,139237,1653000,11.25,"{'latitude': '40.820005865892', 'longitude': '-73.89487849139', 'human_address': '{""address"": ""940 TIFFANY STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",42000,472500,7.03,0.36,12.53,27.17,1141000,394715,17.0,25,0.36
2-02962-0044,"{'latitude': '40.832306534799', 'longitude': '-73.896661017471', 'human_address': '{""address"": ""1409 PROSPECT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.832348,-73.896625, ,77994,298000,11.65,"{'latitude': '40.869164531836', 'longitude': '-73.905129127229', 'human_address': '{""address"": ""2635 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",14175,165139,6.38,1.01,9.82,28.08,398000,84052,16.0,12, 
2-05779-0815,"{'latitude': '40.888278067491', 'longitude': '-73.904940414837', 'human_address': '{""address"": ""3810 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.887716,-73.905175, ,427925,825000,11.19,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4660 MANHATTAN COLLEGE PK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",41068,459551,7.5,0.24,7.99,28.88,1186000,213556,11.0,72, 
2-04287-0001,"{'latitude': '40.852735322643', 'longitude': '-73.866782298936', 'human_address': '{""address"": ""2081 CRUGER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.85281,-73.866757,D1-ELEVATOR,309290,1331000,11.5,"{'latitude': '40.853158654271', 'longitude': '-73.866768643077', 'human_address': '{""address"": ""2095 CRUGER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",87924,1011126,5.85,0.1,10.05,38.57,3391000,276307,13.0,73,0.06
