jun_18,mar_18,apr_12,jan_11,jan_18,apr_13,may_15,jul_14,geographic_unit,jun_14,feb_16,oct_10,agency,jun_15,dec_16,dec_15,nov_18,aug_18,nov_10,jan_14,oct_11,sep_12,apr_16,jul_13,dec_12
15.84,13.98,10.60,10.12,14.75,10.11,11.62,12.00,Community District,12.56,15.25,10.94,DSNY,13.29,14.27,13.88,15.16,15.65,10.08,11.99,10.26,10.50,13.83,12.14,9.92
22.91,19.02,14.37,15.85,19.92,14.93,16.84,17.68,Community District,18.16,20.33,14.73,DSNY,18.98,19.25,19.07,21.48,22.36,13.78,16.59,14.65,13.76,18.81,17.21,14.84
0,0,0,0,0,1,0,0,Precinct,0,0,0,NYPD,0,1,0,0.0,0,0,0,0,0,0,0,0
1,2,1,2,2,1,1,2,Precinct,3,0,5,NYPD,1,2,1,0.0,1,4,1,1,0,1,3,2
95.24,88.81,98.20,71.00,94.93,96.90,90.07,88.30,Community District,93.70,87.53,97.50,DSNY,84.82,89.92,91.28,,87.07,92.20,90.20,97.50,95.60,93.88,88.10,90.10
2.64,-,-,-,-,-,0.57,-,Community District,-,-,-,DSNY,0.57,-,-,,0.29,-,-,-,-,-,-,0.60
-,-,-,-,-,-,-,-,Community District,-,-,-,DSNY,-,-,-,,-,-,-,1.30,-,-,-,-
83,91,132,127,88,111,115,132,Precinct,116,84,141,NYPD,125,116,111,114.0,127,143,134,156,134,110,141,143
21,10,9,14,7,13,16,12,Precinct,18,21,12,NYPD,23,14,19,29.0,24,24,24,22,10,14,28,23
8,4,15,5,6,15,6,13,Precinct,15,9,15,NYPD,10,7,15,11.0,12,21,20,11,12,5,12,7
26.05,33.85,30.32,25.52,25.70,26.86,24.73,21.19,Community District,28.15,31.56,25.87,DSNY,30.03,28.93,30.52,27.39,22.58,23.83,26.66,24.84,28.22,33.06,20.71,28.58
-,0.15,-,1.40,1.57,-,-,-,Community District,-,-,-,DSNY,-,-,-,,-,0.40,2.10,0.20,0.20,0.98,0.70,1.00
17,16,13,10,26,11,18,19,Precinct,24,13,13,NYPD,21,25,15,32.0,34,6,9,12,23,17,17,8
99.05,96.58,99.00,100.00,98.88,100.00,100.00,100.00,Community District,98.80,100.00,98.50,DSNY,98.97,97.94,97.95,,100.00,100.00,98.90,99.00,100.00,99.52,99.50,95.90
33.85,30.91,31.73,36.77,32.58,31.61,30.68,31.98,Community District,36.76,34.53,37.44,DSNY,36.12,40.30,40.60,34.27,29.92,35.34,37.14,35.51,33.51,29.87,31.61,41.68
10,9,10,16,18,4,6,8,Precinct,8,4,15,NYPD,9,13,8,11.0,13,9,10,5,14,4,13,11
75,63,55,69,88,65,79,65,Precinct,75,60,77,NYPD,82,79,75,77.0,68,88,82,72,92,65,91,109
21,30,33,15,38,23,26,31,Precinct,26,28,14,NYPD,29,19,30,21.0,24,24,28,18,24,38,43,31
96,100,111,124,116,142,137,152,Precinct,105,82,136,NYPD,128,130,120,77.0,126,120,112,141,190,96,141,125
-,0.24,-,-,-,-,-,-,Community District,0.40,0.31,1.10,DSNY,-,-,-,,-,0.30,-,-,-,-,-,0.40
-,-,0.40,-,0.88,0.40,0.55,-,Community District,0.40,0.83,-,DSNY,0.84,-,-,,-,-,-,0.80,-,-,1.90,-
5.82,5.38,5.21,4.37,5.58,4.96,5.42,5.24,Community District,5.86,5.11,5.61,DSNY,5.91,6.26,6.14,6.28,5.21,5.57,5.27,5.53,5.42,5.40,5.00,5.87
132,128,166,116,102,108,144,161,Precinct,143,101,161,NYPD,140,138,137,129.0,151,142,120,186,160,111,163,144
-,-,-,-,-,-,-,-,Community District,0.50,-,-,DSNY,-,-,-,,-,-,-,-,-,-,-,-
-,-,0.60,-,-,-,0.57,-,Community District,0.60,0.72,-,DSNY,1.15,-,0.29,,0.59,0.60,-,0.30,0.30,-,1.20,0.30
0,0,0,1,0,1,0,1,Precinct,0,0,1,NYPD,2,0,0,0.0,1,0,0,1,1,0,0,0
16,24,20,17,8,15,13,20,Precinct,13,2,21,NYPD,9,19,7,8.0,10,22,14,18,29,11,18,17
10.08,10.11,10.41,11.45,9.75,10.15,10.35,10.83,Community District,10.52,10.19,11.00,DSNY,10.56,9.98,10.07,10.86,10.16,11.94,10.58,11.11,11.32,9.62,10.99,10.98
13.33,11.61,10.50,9.73,11.80,10.66,10.30,11.44,Community District,13.11,12.30,10.79,DSNY,14.49,13.64,13.55,12.25,11.29,9.92,11.21,10.71,12.00,10.85,11.07,12.11
15,10,14,18,21,9,9,18,Precinct,13,12,25,NYPD,23,20,28,10.0,20,11,22,19,14,18,12,16
12.68,11.25,11.67,10.96,11.26,11.50,12.19,12.34,Community District,12.24,11.28,12.03,DSNY,12.74,12.08,12.52,12.59,12.42,11.91,11.45,12.07,11.87,11.68,12.11,11.79
27,28,28,18,40,40,38,46,Precinct,39,30,45,NYPD,28,27,29,41.0,31,35,49,31,23,17,44,31
-,0.65,0.40,-,-,-,-,-,Community District,-,-,0.70,DSNY,-,-,-,,-,0.50,-,-,-,-,-,-
71,112,94,95,81,120,130,152,Precinct,163,94,117,NYPD,117,113,152,91.0,101,109,214,113,157,119,162,129
9.89,9.57,9.59,9.78,9.23,9.40,9.80,10.00,Community District,10.06,9.30,10.09,DSNY,10.04,9.55,9.81,10.13,9.90,10.54,9.71,9.85,10.21,9.45,9.95,9.77
6,1,9,26,5,9,10,27,Precinct,9,6,24,NYPD,23,4,7,4.0,12,12,16,20,7,10,13,9
80,76,85,97,71,59,60,80,Precinct,85,82,96,NYPD,74,97,112,86.0,84,75,72,93,75,61,95,94
60,37,37,38,22,40,24,33,Precinct,30,26,38,NYPD,25,26,41,28.0,34,28,53,37,52,23,39,55
100.00,97.84,96.00,95.60,96.14,94.60,89.16,93.80,Community District,89.60,90.68,92.40,DSNY,91.81,94.23,95.97,,94.86,95.90,85.30,95.30,96.40,93.72,92.10,96.00
11.60,11.12,12.04,13.52,10.60,12.35,12.10,12.52,Community District,12.39,11.77,13.30,DSNY,12.44,12.11,12.23,11.74,11.63,13.57,11.48,12.91,12.68,11.44,12.43,13.21
86,60,98,86,60,80,69,82,Precinct,97,69,139,NYPD,59,77,67,78.0,76,95,84,102,124,63,114,91
8,4,12,22,7,8,21,16,Precinct,11,9,18,NYPD,10,9,11,6.0,10,17,8,17,17,7,7,18
16.16,15.68,13.13,18.40,16.46,13.32,14.92,13.36,Community District,13.98,16.94,16.54,DSNY,14.94,16.19,16.10,16.19,14.80,15.40,15.23,13.57,13.15,16.45,12.70,14.43
18,38,31,14,21,29,37,30,Precinct,35,18,29,NYPD,28,31,21,32.0,22,26,28,15,25,20,33,22
-,-,-,0.70,1.53,-,-,-,Community District,-,0.68,0.40,DSNY,-,-,0.36,,-,0.70,-,-,1.00,-,-,-
95.50,98.57,93.40,99.00,97.93,95.80,95.60,93.30,Community District,99.00,90.98,94.10,DSNY,95.24,95.84,87.12,,90.81,88.70,94.00,98.60,98.30,98.03,93.40,95.70
-,-,-,-,-,-,-,-,Community District,-,-,-,DSNY,-,-,-,,-,-,-,-,-,-,-,2.10
1,2,1,4,4,3,2,2,Precinct,2,0,3,NYPD,0,1,0,1.0,3,2,0,2,2,3,1,3
44,41,37,42,31,34,38,42,Precinct,40,44,52,NYPD,32,33,48,42.0,33,49,59,35,47,36,50,46
8.13,6.96,7.87,7.49,7.11,8.14,8.15,8.54,Community District,8.47,7.00,8.66,DSNY,8.10,7.95,8.11,8.54,8.25,9.18,7.13,8.72,8.41,7.49,8.52,8.11
7,11,17,11,4,8,13,13,Precinct,7,11,9,NYPD,7,7,8,6.0,10,15,11,8,9,9,15,11
11,5,23,19,11,10,27,19,Precinct,14,8,31,NYPD,30,10,20,6.0,6,21,22,13,19,9,14,18
0,0,0,0,0,0,0,0,Precinct,0,0,0,NYPD,0,0,0,0.0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,Precinct,0,1,0,NYPD,0,0,0,0.0,0,0,0,0,0,0,0,0
13,11,7,14,8,16,8,12,Precinct,12,4,14,NYPD,9,13,13,15.0,16,19,14,17,18,9,13,14
180,173,178,158,182,158,177,216,Precinct,158,127,208,NYPD,170,240,184,158.0,185,177,169,163,176,151,190,194
44,53,58,44,43,51,53,82,Precinct,65,32,47,NYPD,56,54,54,50.0,49,37,70,50,68,56,65,62
92.94,97.03,95.90,98.90,92.16,90.90,89.18,91.20,Community District,91.60,87.98,94.70,DSNY,90.51,90.84,87.70,,81.87,94.70,99.20,96.00,89.70,87.34,90.90,86.10
9,19,33,40,27,36,30,32,Precinct,25,19,47,NYPD,27,26,38,24.0,16,39,20,53,51,39,34,48
5,1,2,1,0,5,2,3,Precinct,5,0,3,NYPD,4,1,1,3.0,2,1,2,4,5,5,6,2
9.02,8.89,9.66,9.61,8.43,9.65,9.21,9.58,Community District,9.61,8.57,9.99,DSNY,9.60,8.85,9.10,9.4,9.25,9.85,8.98,9.64,9.75,8.62,9.82,9.73
43,47,48,25,41,29,40,40,Precinct,44,38,44,NYPD,26,52,49,37.0,53,48,54,41,48,46,50,53
99.47,98.49,92.30,61.20,85.31,97.10,93.66,91.60,Community District,85.40,87.45,88.10,DSNY,82.02,91.45,92.46,,93.73,96.30,90.90,90.90,94.50,97.40,82.50,88.20
24.91,22.17,24.05,23.53,22.56,24.20,21.63,22.56,Community District,25.91,25.38,25.34,DSNY,25.95,28.36,28.48,24.35,21.98,23.64,22.90,24.02,24.21,22.44,22.76,27.93
69,52,67,60,60,51,62,69,Precinct,71,46,67,NYPD,59,63,49,52.0,53,54,54,63,65,63,70,59
3,7,0,7,1,4,2,6,Precinct,4,7,14,NYPD,2,3,2,7.0,3,9,2,15,9,12,3,3
-,0.39,-,1.40,-,1.10,-,-,Community District,-,0.21,0.40,DSNY,-,-,-,,1.03,0.40,-,-,0.50,-,-,1.10
100.00,96.72,96.70,100.00,92.04,98.60,97.43,98.00,Community District,97.10,95.03,98.40,DSNY,96.05,99.07,97.58,,96.02,97.50,98.10,98.00,98.50,96.34,96.10,96.00
