jun_19,may_12,mar_12,may_19,oct_13,aug_17,sep_17,oct_12,indicator,aug_15,jan_16,nov_15,nov_14,mar_15,aug_11,oct_16,jul_16,apr_11,aug_16,dec_10,may_13,jul_15,feb_17,jul_18,nov_12,jan_17,mar_16,mar_13
13.0,9,17,9.0,7,14,5,9,Burglary,12,7,12,7,8,13,10,21,14,12,5,7,12,7,11,13,5,12,5
26.2,17.92,16.52,24.41,16.41,22.15,22.14,13.81,"Curbside and containerized metal, glass and plastic recycled tons per day",19.72,16.79,17.48,16.59,18.27,18.57,20.75,22.55,19.03,21.77,14.84,16.56,21.02,19.20,23.59,18.91,21.99,19.26,15.78
,-,-,,-,-,-,-,Streets rated filthy (%),-,-,-,-,-,-,0.46,-,-,,-,-,-,-,-,-,-,-,-
44.0,29,29,33.0,39,32,38,39,Grand larceny,28,18,35,37,19,45,50,45,41,41,54,37,27,16,35,21,33,24,35
5.0,21,22,10.0,21,14,8,15,Grand larceny auto,12,13,17,15,8,23,23,17,22,16,20,17,18,16,16,16,7,13,11
23.29,16.96,16.09,21.74,17.74,17.90,19.89,16.11,Curbside and containerized mixed paper recycled tons per day,17.56,19.29,19.59,18.75,18.05,17.59,20.89,18.14,19.12,18.18,17.87,18.33,17.32,18.15,20.00,25.40,20.08,18.87,17.95
7.0,12,9,8.0,11,10,3,8,Grand larceny auto,15,8,4,5,7,10,13,13,10,13,17,13,7,6,8,12,3,7,7
15.04,9.34,9.08,13.84,9.80,12.91,13.09,7.46,"Curbside and containerized metal, glass and plastic recycled tons per day",11.77,10.90,11.86,10.53,11.91,8.90,12.90,12.92,9.36,12.87,7.87,9.62,11.96,12.52,13.94,11.86,14.32,12.86,9.69
2.0,14,8,3.0,17,3,5,12,Burglary,13,16,8,5,10,13,2,6,14,2,20,13,7,8,4,21,7,10,14
,-,-,,-,-,-,-,Streets rated filthy (%),-,-,0.38,0.37,0.86,-,-,-,-,,0.40,1.00,-,-,1.33,-,-,-,-
,97.20,100.00,,89.60,93.75,98.96,92.30,Streets rated acceptably clean (%),96.05,92.00,92.73,97.04,100.00,93.80,94.53,93.16,99.10,,96.90,94.00,96.96,96.82,93.25,,98.96,94.83,96.00
,92.60,89.20,,92.80,91.88,91.67,92.00,Streets rated acceptably clean (%),94.41,95.56,87.58,79.16,62.73,87.30,97.13,99.04,90.60,,90.40,90.40,88.90,96.73,95.38,73.10,94.66,92.89,90.00
61.0,44,58,36.0,10,67,46,60,Grand larceny,61,39,55,53,33,43,75,71,46,59,52,63,57,32,59,62,37,52,52
,-,-,,0.60,-,-,-,Sidewalks rated filthy (%),-,-,-,-,-,-,-,-,0.90,,-,-,-,-,-,,-,-,-
9.55,8.96,8.58,9.59,9.18,9.16,9.32,9.28,Recycling tons per truckshift,9.15,9.17,9.70,9.84,8.79,9.26,10.06,9.28,9.68,9.44,10.98,9.42,8.69,8.96,9.28,9.27,9.42,9.13,9.21
,1.00,0.20,,-,-,1.38,-,Streets rated filthy (%),-,-,-,0.75,3.11,-,-,-,0.30,,0.90,-,-,-,-,,-,-,-
17.0,34,34,30.0,42,34,24,33,Burglary,17,34,18,23,20,46,32,18,29,29,32,28,32,32,39,19,22,27,27
,100.00,100.00,,100.00,100.00,96.88,100.00,Sidewalks rated acceptably clean (%),98.43,98.53,100.00,96.72,96.92,100.00,100.00,100.00,100.00,,100.00,99.40,100.00,100.00,100.00,96.50,100.00,100.00,100.00
,-,-,,-,-,-,-,Sidewalks rated filthy (%),-,-,0.66,-,-,-,-,-,-,,0.90,0.50,-,-,-,-,-,0.44,-
11.0,27,25,12.0,24,13,16,41,Burglary,16,19,12,28,16,30,16,16,26,12,31,35,21,14,10,37,27,23,27
6.2,4.93,4.47,5.86,4.80,5.42,5.55,4.86,Recycling tons per truckshift,5.03,5.78,5.56,5.36,5.02,4.78,5.65,5.65,4.83,5.43,5.36,4.93,5.36,5.12,5.79,5.91,6.10,5.27,4.64
28.29,22.44,23.92,25.92,22.22,23.91,25.65,21.48,Curbside and Containerized Recycling Diversion Rate,22.35,24.27,23.96,23.94,24.52,23.14,25.99,24.37,25.91,23.81,28.12,23.44,21.99,25.22,24.62,24.48,28.59,25.76,25.09
41.0,34,37,27.0,17,34,28,38,Grand larceny,37,32,48,31,23,34,40,34,30,42,29,34,34,30,48,26,56,39,32
18.0,21,15,9.0,20,12,10,17,Grand larceny auto,15,10,11,18,14,25,12,20,10,26,28,13,20,13,10,16,13,14,13
6.72,5.89,5.88,6.61,6.30,6.65,7.10,6.37,Recycling tons per truckshift,6.44,6.76,7.50,6.86,6.30,6.10,7.26,6.50,6.55,6.58,7.11,5.97,6.39,6.35,6.23,7.22,7.04,6.84,5.80
7.0,6,0,8.0,1,4,4,3,Grand larceny auto,0,1,1,3,2,3,3,3,3,6,4,7,5,2,6,8,1,2,3
,-,-,,-,-,1.57,-,Streets rated filthy (%),-,-,-,-,0.91,-,-,-,-,,-,-,-,-,-,-,-,-,-
66.0,89,74,62.0,87,85,78,70,Major felony crime,99,87,83,87,86,81,81,68,61,69,63,89,82,50,82,68,74,66,67
7.0,9,14,6.0,10,10,10,21,Burglary,6,4,19,4,7,14,8,5,4,4,4,10,6,5,5,8,10,5,4
,96.40,93.70,,91.80,96.10,97.03,95.80,Sidewalks rated acceptably clean (%),94.34,91.44,94.69,96.21,94.09,94.70,97.83,79.69,96.00,,96.60,97.00,95.99,94.37,96.77,97.90,93.92,97.57,97.50
,-,-,,-,-,-,-,Sidewalks rated filthy (%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,90.00,84.70,,85.50,84.75,83.85,87.00,Sidewalks rated acceptably clean (%),93.55,83.73,93.52,94.14,85.21,89.80,84.71,90.38,94.70,94.84,85.20,92.60,84.77,96.68,92.29,88.20,85.07,90.74,85.90
,92.00,93.40,,84.30,95.38,84.70,93.90,Streets rated acceptably clean (%),86.97,94.46,88.79,86.15,92.74,90.30,94.85,91.89,89.30,,95.90,89.10,92.95,93.27,89.44,78.30,95.01,94.24,88.00
24.0,,,29.0,4,34,38,24,Grand larceny,54,22,38,29,28,,45,28,,38,,27,33,20,18,29,34,27,22
,-,-,,-,-,0.49,-,Streets rated filthy (%),-,0.71,1.38,0.85,1.47,-,-,-,-,-,-,0.30,0.51,0.97,0.35,-,1.42,-,-
9.86,5.37,5.18,9.9,5.34,7.52,7.69,4.08,"Curbside and containerized metal, glass and plastic recycled tons per day",6.30,5.40,6.49,5.50,6.09,5.07,7.54,7.57,5.21,7.56,4.24,5.74,6.13,7.83,7.50,8.23,7.84,7.34,5.44
4.0,5,3,1.0,4,1,4,2,Grand larceny auto,5,1,2,2,1,3,3,2,7,1,5,4,2,1,7,3,1,5,2
56.0,33,34,57.0,28,55,51,31,Grand larceny,43,39,37,25,45,33,53,57,18,52,34,41,47,48,48,33,55,47,33
,96.50,97.40,,98.20,95.40,90.71,99.00,Sidewalks rated acceptably clean (%),96.32,94.73,94.33,90.57,86.00,91.70,88.41,98.99,92.60,97.96,98.20,93.90,93.94,97.24,95.18,96.90,97.41,94.39,95.60
1.0,0,0,0.0,0,1,0,0,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,27,30,23.0,37,20,31,29,Grand larceny,31,23,27,30,22,25,25,25,21,26,22,26,21,17,24,24,28,23,33
,100.00,99.40,,99.00,98.23,99.49,98.80,Sidewalks rated acceptably clean (%),99.30,95.00,94.68,89.42,100.00,98.10,97.98,100.00,97.10,,96.80,97.90,98.11,96.58,98.70,96.30,99.49,97.90,96.20
73.0,72,46,78.0,63,88,71,68,Major felony crime,90,73,71,53,45,65,77,86,47,85,44,54,65,58,78,63,75,65,55
0.0,0,0,0.0,0,0,0,1,Murder and non-negligent manslaughter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.0,16,17,10.0,35,20,16,14,Burglary,20,14,16,29,9,14,14,18,13,22,24,22,22,14,21,20,16,15,16
4.0,4,5,7.0,1,5,5,1,Grand larceny auto,7,5,7,3,0,11,3,5,4,4,5,5,7,0,2,8,3,4,3
0.0,0,0,0.0,0,1,0,0,Murder and non-negligent manslaughter,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0.0,0,0,0,0,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,7,7,6.0,5,11,5,12,Grand larceny auto,12,10,8,4,4,17,8,8,8,10,11,4,6,9,9,8,6,8,7
0.0,0,0,0.0,0,0,0,0,Forcible rape,1,5,3,2,1,1,1,1,1,1,0,2,3,2,2,0,1,1,1
20.0,25,19,13.0,20,17,22,12,Burglary,16,17,18,16,8,20,25,19,37,17,10,15,23,16,19,19,15,13,10
9.54,9.81,9.28,9.52,9.10,9.04,9.04,9.34,Refuse tons per truckshift,9.10,9.00,9.64,9.61,8.33,10.09,9.10,8.95,9.53,8.96,9.61,9.57,9.28,8.68,9.02,9.81,9.27,8.96,9.04
0.0,0,0,0.0,0,0,0,0,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,100.00,99.00,,100.00,99.37,100.00,99.50,Sidewalks rated acceptably clean (%),100.00,100.00,99.65,100.00,100.00,99.70,100.00,100.00,99.40,100.00,99.00,99.60,100.00,100.00,98.65,100.00,98.17,99.62,99.40
8.8,9.21,8.47,8.54,9.12,7.76,8.66,10.25,Refuse tons per truckshift,8.41,8.33,9.46,9.24,8.33,9.15,9.60,8.80,8.93,8.54,8.49,9.58,8.83,8.23,7.80,9.31,8.27,8.55,8.76
24.61,21.68,20.92,21.59,21.79,20.63,23.87,18.53,Curbside and containerized mixed paper recycled tons per day,19.59,19.83,23.14,22.55,21.90,21.15,22.96,19.92,24.16,20.18,20.43,21.06,20.26,20.75,20.33,26.44,24.80,21.58,20.54
0.0,0,0,0.0,0,0,1,0,Murder and non-negligent manslaughter,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19.0,18,11,13.0,3,19,17,12,Grand larceny,17,10,13,11,13,12,13,46,12,24,7,8,33,11,12,8,10,15,9
9.0,2,10,8.0,10,9,11,8,Felonious assault,9,3,8,10,12,15,6,11,10,7,14,10,9,5,10,8,4,10,5
10.39,9.75,9.02,10.12,9.13,9.85,9.66,9.41,Refuse tons per truckshift,9.47,9.37,9.83,9.40,9.05,10.13,9.77,10.01,9.61,9.67,9.42,9.67,9.84,9.31,9.96,9.24,9.70,9.45,8.87
3.0,8,3,6.0,14,5,6,9,Grand larceny auto,6,6,5,5,12,17,4,7,5,4,10,2,6,2,4,4,5,6,2
3.0,1,2,2.0,0,1,0,2,Forcible rape,1,0,1,0,2,2,1,1,0,1,2,1,1,1,1,0,0,1,3
63.0,,,63.0,105,70,84,84,Major felony crime,96,60,103,87,72,,88,72,,86,,75,87,58,56,75,81,71,63
,92.00,96.00,,90.70,92.16,93.98,94.90,Sidewalks rated acceptably clean (%),93.63,96.06,92.43,88.10,98.54,91.50,99.68,91.94,92.40,,90.70,95.30,95.14,96.65,95.10,86.10,97.64,97.09,86.50
,93.60,94.80,,88.40,83.98,92.15,94.00,Streets rated acceptably clean (%),89.37,96.81,91.60,88.25,73.66,93.60,90.33,94.05,98.10,,97.80,80.90,93.52,83.17,87.76,92.00,100.00,93.53,90.20
20.45,14.41,14.11,19.79,14.08,16.03,18.22,11.99,"Curbside and containerized metal, glass and plastic recycled tons per day",15.04,13.99,15.56,14.19,16.30,14.53,18.01,16.83,16.98,16.28,11.78,13.86,15.92,16.55,17.32,15.27,18.36,17.32,14.35
,98.10,93.20,,86.60,83.42,89.10,94.20,Streets rated acceptably clean (%),95.68,90.44,92.91,90.08,81.94,97.10,93.42,91.27,96.10,92.52,97.70,95.70,95.51,96.03,92.54,97.20,83.68,92.80,95.90
2.0,4,3,3.0,0,3,4,1,Forcible rape,3,2,2,0,2,3,1,3,2,4,0,0,2,2,1,2,1,2,0
7.18,5.80,5.77,6.86,5.58,6.45,6.34,5.40,Recycling tons per truckshift,7.22,6.49,6.86,5.93,6.98,5.59,6.28,6.75,5.78,6.50,6.03,6.04,7.51,6.20,7.25,6.19,6.87,6.50,6.34
106.0,159,119,125.0,166,151,132,157,Major felony crime,200,138,151,172,123,145,131,129,107,147,122,159,183,126,114,144,141,105,128
18.82,12.31,11.61,18.29,12.34,15.75,15.63,9.79,"Curbside and containerized metal, glass and plastic recycled tons per day",14.50,13.68,14.42,12.90,14.26,12.65,15.09,15.88,12.86,15.01,10.38,12.87,15.03,14.46,16.50,16.35,16.53,15.94,11.89
0.0,0,0,0.0,0,0,0,0,Murder and non-negligent manslaughter,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0
0.0,0,0,1.0,0,0,1,0,Forcible rape,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
8.0,16,8,7.0,12,9,9,8,Grand larceny auto,6,8,7,7,14,9,8,10,10,13,10,11,4,8,11,7,6,2,11
,-,-,,-,-,-,-,Streets rated filthy (%),-,-,-,0.28,8.21,0.60,-,-,0.60,,-,0.30,-,-,-,-,-,-,-
141.0,153,123,126.0,141,149,138,128,Major felony crime,160,126,124,143,116,135,125,128,115,128,113,150,156,98,137,120,113,110,140
14.6,9.12,8.97,13.76,9.20,12.02,12.03,7.06,"Curbside and containerized metal, glass and plastic recycled tons per day",10.71,9.88,9.93,9.58,10.34,9.66,11.57,11.72,9.48,11.60,7.96,9.16,11.06,10.85,13.05,10.37,12.49,11.18,8.87
22.74,15.13,16.42,21.4,15.93,17.74,18.00,12.84,Curbside and Containerized Recycling Diversion Rate,17.11,19.46,16.64,16.34,18.07,15.09,18.41,18.02,16.37,17.98,17.85,14.88,17.00,19.14,21.25,18.09,21.74,19.08,17.08
15.26,13.78,14.18,15.72,13.80,15.88,16.19,11.28,Curbside and Containerized Recycling Diversion Rate,14.63,12.66,13.43,14.22,15.91,14.07,14.16,14.69,14.27,14.57,15.63,13.43,14.08,14.41,15.47,16.42,15.61,14.90,14.24
21.56,18.24,19.04,18.51,17.01,16.92,19.09,14.41,Curbside and containerized mixed paper recycled tons per day,15.80,13.88,17.82,18.13,19.98,16.94,17.41,17.27,21.47,16.57,15.89,16.58,16.55,16.74,18.13,21.14,19.99,18.65,19.25
28.04,22.17,22.15,26.81,22.47,25.19,26.76,20.76,Curbside and Containerized Recycling Diversion Rate,24.41,26.34,25.70,24.59,25.22,22.43,26.78,25.61,24.42,25.85,27.38,22.92,23.89,26.43,26.22,33.90,28.78,27.15,23.07
9.0,11,5,7.0,4,15,6,16,Grand larceny auto,13,7,7,12,9,14,7,10,7,12,11,7,9,3,8,7,8,7,11
,-,0.30,,1.80,0.69,-,0.70,Sidewalks rated filthy (%),2.86,0.56,-,0.73,0.75,0.30,-,-,-,-,0.70,-,0.28,-,0.37,0.70,-,0.70,0.30
,-,-,,0.60,-,-,-,Streets rated filthy (%),-,-,-,-,2.01,-,0.67,-,-,-,-,1.30,-,-,0.70,-,2.09,0.66,-
,96.60,100.00,,100.00,94.57,97.39,96.90,Sidewalks rated acceptably clean (%),99.17,95.51,98.46,99.15,93.01,99.20,96.50,100.00,99.20,,97.60,97.70,99.15,93.58,100.00,100.00,98.46,98.78,97.50
