centername,inspectionsummaryresult,programtype,facilitytype,regulationsummary,total,count,average
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,All teachers have Not received training in infectious disease control and reporting.,0.0,2,0.0
HAWTHORNE CORNERS DAY CARE CENTER INC.,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,0.0,4,0.0
BRONX STARBRIGHT DAYCARE,,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
"BOOKS & RATTLES, INC.",,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
"A TO Z CENTER TOO, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,0.0,6,0.0
EVERBROOK ACADEMY,Initial Annual Inspection - Passed inspection with no violations,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,4,0.0
ST. HELENA SCHOOL,Initial Annual Inspection - Reinspection Required,PRESCHOOL,SBCC,Teaching and supervisory staff trained in abuse/maltreatment identification and reporting. 2 hours of training received every 24 months. Training provided by OCFS approved trainer. New staff trained within 3 months of hire,0.0,2304,0.0
"TUTOR TIME LEARNING CENTER, LLC",Initial Annual Inspection - Passed inspection with no violations,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
JHELC INC.,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
EVERBROOK ACADEMY,Monitoring Inspection Non-Routine - Passed inspection with no violations,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,4,0.0
"NEW YORK CHILD RESOURCE CENTER, INC.",Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,0.0,8,0.0
"BEGINNINGS NURSERY SCHOOL, INC.",Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,PRESCHOOL,GDC,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate the potential for exposure to choking hazards by children.,0.0,2,0.0
"IRA'S BRIARWOOD DAY CARE & PRESCHOOL,INC.",Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,PRESCHOOL,GDC,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,0.0,1,0.0
EVERBROOK ACADEMY,Monitoring Inspection Non-Routine - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,4,0.0
WE R EXPLORERS LLC,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
"BILINGUAL NEST, LLC",Monitoring Inspection Non-Routine - Reinspection Not Required,PRESCHOOL,GDC,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",0.0,1,0.0
