pivot-metric,pivot-value,time_first_observed,days_parking_in_effect,violation_precinct,date_first_observed,house_number,from_hours_in_effect,meter_number,violation_post_code
plate_id,739,1121A,YYYYY,70,0,1212,0800A,305-3020,02
plate_id,62831JL,,YYYYYYY,1,0,W,,,027
unregistered_vehicle,,,YYYYYYY,61,0,N,,,19
unregistered_vehicle,,,YYYYYYY,28,0,236,,,N
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,Y  Y,19,0,370,0900A,,08
unregistered_vehicle,,,Y,62,0,2065,0830A,,W
unregistered_vehicle,,,YYYYYYY,68,0,6930,,,G
unregistered_vehicle,,,YYYYYYY,109,0,49-15,,,A-AM
plate_id,68460JT,,,34,0,217,,,01 7
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,13,0,S,1100P,,C
unregistered_vehicle,,,,30,0,760,,,CCC
plate_id,42244JW,,Y,10,0,407,0700A,,03 6
plate_id,GPC4709,,,0,0,,,,
unregistered_vehicle,0.0,,BBYBBBB,72,0,278,0930A,-,
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,0.0,,BBBBBBB,84,0,183,ALL,-,
unregistered_vehicle,,0405P,Y,62,0,7,0900A,307-1345,06
unregistered_vehicle,,,YYYYYYY,14,0,229,,,01
unregistered_vehicle,,,YYYYYYY,43,0,2262,0900P,,A
plate_id,21475MG,,Y,13,0,167,0700A,,12
unregistered_vehicle,,,Y  Y,67,0,111,0830A,,11
unregistered_vehicle,,,,0,0,,,,
plate_id,FEC9707,,BBBBBBB,84,0,183,ALL,-,
plate_id,FTW5455,,,61,0,1231,,,34 3
unregistered_vehicle,,,,0,0,,,,
plate_id,75472MC,,Y,13,0,12,0700A,,99 6
unregistered_vehicle,,1214P,Y,114,0,29-24,0900A,423-3126,29 4
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,0.0,,BBBBBBB,34,0,452,ALL,-,
unregistered_vehicle,0.0,,BBBBBBB,109,0,142-38,ALL,-,
unregistered_vehicle,,,,84,0,W,,,01 3
plate_id,P23HEE,,Y,62,0,2065,0830A,,W
unregistered_vehicle,,,,0,0,,,,
plate_id,HJR6157,,Y  Y,83,0,2,0800A,,V
unregistered_vehicle,,,,0,0,,,,
plate_id,58HG123,,,43,0,2158,,,14
unregistered_vehicle,,,YYYYYYY,46,0,52,,,K
plate_id,ENB5559,,Y  Y,90,0,277,1100A,,14 3
plate_id,ENP2228,,YYYYYYY,103,0,89-12,,,02 6
unregistered_vehicle,,,YYYYY,13,0,297,0800A,,A
unregistered_vehicle,,,,61,0,1231,,,34 3
plate_id,EHN4993,,,0,0,,,,
plate_id,93306MC,,Y,19,0,1523,0800A,,56 7
plate_id,42816JM,1225P,Y,20,20161222,685,0900A,103-8125,49 7
plate_id,HHC7517,,Y,63,0,1942,0900A,,20
unregistered_vehicle,,1001A,Y,112,0,89-08,0900A,417-3002,03
plate_id,MGL06,,,14,0,,,,99 6
unregistered_vehicle,,,YYYYY,107,0,161-51,0700A,,G 42
unregistered_vehicle,,,YYYYY,1,0,E,0800A,,060
plate_id,HSF1446,,Y  Y,52,0,3544,0830A,,08
unregistered_vehicle,,,Y,112,0,93-54,0830A,,03 4
unregistered_vehicle,,,,70,0,S,,,05 3
plate_id,EDK1124,,,0,0,,,,
plate_id,HMN7605,,,0,0,,,,
plate_id,GMW1054,,,0,0,,,,
plate_id,GXG2953,,,0,0,,,,
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,61,0,1303,,,46 3
plate_id,HAC2589,,,0,0,,,,
plate_id,70229JY,,,114,0,N,,,35 4
plate_id,31908MG,,YYYYYYY,14,0,523,,,17
unregistered_vehicle,,,,0,0,,,,
plate_id,RDI1400,,BBBBBBB,48,0,990,ALL,-,
unregistered_vehicle,,,YYYYYYY,73,0,2034,,,L
unregistered_vehicle,,,YYYYYYY,7,0,265,,,95
plate_id,49279KA,,YYYYYYY,19,0,1481,,,C 77
unregistered_vehicle,,0130P,Y,46,0,2423,0900A,201-3011,44
unregistered_vehicle,,0944A,Y,19,20170331,878,0830A,118-3019,25
unregistered_vehicle,,,,23,0,445,,,CC1
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,0.0,,BBBBBBB,24,0,155,ALL,-,
unregistered_vehicle,,1121A,YYYYY,70,0,1212,0800A,305-3020,02
plate_id,GMZ5887,,YYYYYYY,52,0,3300,,,L 21
unregistered_vehicle,,,,0,0,,,,
plate_id,11636MK,,YYYYYYY,73,0,2034,,,L
plate_id,HMU1426,,,0,0,,,,
plate_id,WVZ5904,,,0,0,,,,
plate_id,BBP5586,,,0,0,,,,
unregistered_vehicle,,,,114,0,N,,,35 4
plate_id,GUJ9172,1200P,YYYYYYY,14,0,34,,,99 6
unregistered_vehicle,,,Y,5,0,105,1000A,,057
plate_id,EJG2502,0234P,Y,94,0,799,0830A,322-3005,17
plate_id,GYD5364,,YYYYYYY,83,0,1342,,,W 31
unregistered_vehicle,0.0,,BBBBYBB,40,0,809,1200A,-,
plate_id,J75FAM,,YYYYY,5,0,35,0900A,,29
plate_id,FG3FJK,,BBBBBBB,18,0,313,ALL,-,
unregistered_vehicle,,,,0,0,,,,
plate_id,HFV5567,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,61,0,2347,,,33
plate_id,FWS9522,,Y  Y,23,0,W,0830A,,56
plate_id,DXG7211,,YYYYYYY,45,0,1635,,,06 2
plate_id,HDV1961,,,0,0,,,,
unregistered_vehicle,,,Y,47,0,725,0730A,,G 22
plate_id,Z72AZV,,YYYYY,1,0,E,0800A,,060
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,14,0,N,0600P,,07
unregistered_vehicle,,,YYYYYYY,44,0,N,,,37 2
unregistered_vehicle,,,,121,0,64,,,A-AM
unregistered_vehicle,,,,43,0,2158,,,14
unregistered_vehicle,,,Y,84,0,306,0830A,,05
plate_id,AF939E,,,14,0,112,,,12 6
plate_id,BVW9093,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,114,0,23-05,,,34
plate_id,AP906Z,,Y,18,0,580,0700A,,01 6
unregistered_vehicle,,,,106,0,114-06,,,T
plate_id,GZX5094,,YYYYYYY,43,0,1560,,,A 22
plate_id,AJKF11,,BBBBBBB,49,0,2181,ALL,-,
plate_id,FYW7302,,YYYYY,114,0,13-07,0600A,,M 41
plate_id,J18GTJ,,YYYYYYY,33,0,N,,,01
unregistered_vehicle,,,YYYYYYY,115,0,39-21,,,51-A
plate_id,HJE9067,,YYYYYYY,63,0,3838,,,A 31
plate_id,FXV8878,,YYYYYYY,104,0,67-08,,,C 42
plate_id,EFC1126,,YYYYYYY,103,0,,,,01
unregistered_vehicle,,,YYYYYYY,90,0,263,,,16
plate_id,CZN4270,,YYYYY,107,0,S,0800A,,42
plate_id,9N12H,,,0,0,,,,
plate_id,GWM1292,,BBYBBBB,72,0,278,0930A,-,
unregistered_vehicle,0.0,1150A,BBBBYBB,70,0,3543,1130A,-,
unregistered_vehicle,,,,19,0,1352,,,58 7
plate_id,GZP7443,,,0,0,,,,
unregistered_vehicle,,,Y,61,0,4615,0930A,,40 3
plate_id,FYA7874,,Y,61,0,620,0830A,,33 3
plate_id,1R63H,,YYYYYYY,28,0,236,,,N
unregistered_vehicle,0.0,,BBBBBBB,48,0,,ALL,-,
plate_id,HCK9732,,YYYYYYY,52,0,2543,,,31
unregistered_vehicle,,,Y,5,0,125,0800A,,022
unregistered_vehicle,,,YYYYY,107,0,S,0800A,,42
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,Y,19,0,1523,0800A,,56 7
unregistered_vehicle,,,Y,103,0,89-09,0900A,,12 4
unregistered_vehicle,,0234P,Y,94,0,799,0830A,322-3005,17
unregistered_vehicle,0.0,,BBBBBBB,70,0,708,ALL,-,
unregistered_vehicle,,,YYYYYYY,61,0,1823,,,03 3
plate_id,DFSN38,,,0,0,,,,
