property_name,refrigerated_warehouse_gross,courthouse_gross_floor_area,distribution_center_gross,weather_normalized_site_eui,hospital_general_medical_3,hospital_general_medical_4,largest_property_use_type_1,medical_office_percent_that_1,water_use_all_water_sources,electricity_use_grid_purchase,egrid_output_emissions_rate,fitness_center_health_club,hospital_general_medical_12,indoor_water_use_all_water,difference_from_national_1,nta,estimated_data_flag_1,property_gfa_calculated_2,energy_star_certification_2,district_hot_water_use_kbtu,propane_use_kbtu,avoided_emissions_onsite,multifamily_housing_percent_1,borough,data_center_cooling_equipment,electricity_use_generated_3,site_eui_kbtu_ft,electricity_use_generated_1,financial_office_gross_floor,green_power_onsite_and_offsite,address_2,senior_care_community_gross,energy_star_certification_1,_2nd_largest_property_use_1,alert_energy_meter_has_less,residence_hall_dormitory,multifamily_housing_resident,hospital_general_medical_1,property_gfa_self_reported,financial_office_number_of,office_percent_that_can_be_1,national_median_energy_star,multifamily_housing_number_6,third_party_certification_1,multifamily_housing_number_5,multifamily_housing_number_4,estimated_data_flag,green_power_offsite_kwh,indoor_water_use_intensity,energy_star_certification,alert_energy_meter_has_gaps,multifamily_housing_number,green_power_onsite_kwh,nyc_building_identification,food_service_gross_floor
X087-0200127,Not Available,Not Available,Not Available,71.7,Not Available,Not Available,58260.0,Not Available,4616.6,1161171.9,79.5,Not Available,Not Available,4616.6,-12.5,Woodlawn-Wakefield,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,71.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,58260,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,79.24,Not Available,Ok,Not Available,Not Available,2069061,Not Available
200,Not Available,Not Available,Not Available,93.7,Not Available,Not Available,366528.0,Not Available,7310.6,17555048.6,84.7,Not Available,Not Available,7310.6,-22.6,Turtle Bay-East Midtown,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,95.2,Not Available,Not Available,0,Not Available,Not Available,07/02/2018,15789,Ok,Not Available,Not Available,Not Available,384432,Not Available,100,50,Not Available,Not Available,Not Available,Not Available,No,0,19.02,"2018, 2017, 2015, 2010, 2008, 2001",Ok,Not Available,Not Available,1037545,Not Available
M140-0100125,Not Available,Not Available,Not Available,44.9,Not Available,Not Available,99481.0,Not Available,6686.4,1543315.8,79.5,Not Available,Not Available,6686.4,-25.7,Lower East Side,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,44.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,99481,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,67.21,Not Available,Ok,Not Available,Not Available,1004091,Not Available
X127-0200170,Not Available,Not Available,Not Available,81.3,Not Available,Not Available,153725.0,Not Available,1970.1,2655354.8,84.7,Not Available,Not Available,1970.1,-4.5,Parkchester,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,81.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,153725,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,12.82,Not Available,Ok,Not Available,Not Available,2041247,Not Available
K232-0300236,Not Available,Not Available,Not Available,70.1,Not Available,Not Available,146400.0,Not Available,Not Available,3072164.8,79.5,Not Available,Not Available,Not Available,-15.3,Prospect Lefferts Gardens-Wingate,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,70.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,146400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3099733,Not Available
Q097-0400089,Not Available,Not Available,Not Available,60.9,Not Available,Not Available,90665.0,Not Available,933.4,1644584,79.5,Not Available,Not Available,933.4,-2.6,Woodhaven,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,61.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,90665,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,10.29,Not Available,Ok,Not Available,Not Available,4181565,Not Available
Q154-0400141,Not Available,Not Available,Not Available,64.2,Not Available,Not Available,91260.0,Not Available,5482.5,1497458.5,84.7,Not Available,Not Available,5482.5,-14.5,Kew Gardens Hills,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,64.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,91260,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,60.08,Not Available,Ok,Not Available,Not Available,4148003,Not Available
Q112-0400099,Not Available,Not Available,Not Available,78.3,Not Available,Not Available,79325.0,Not Available,15606.5,1252886.4,79.5,Not Available,Not Available,15606.5,-5.7,Queensbridge-Ravenswood-Long Island City,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,78.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,79325,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,196.74,Not Available,Ok,Not Available,Not Available,4004170,Not Available
10167 - 55 East 59th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,285562.0,Not Available,3810.3,14291873.8,84.7,Not Available,Not Available,3810.3,-26.7,Upper East Side-Carnegie Hill,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,53.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,5200,Ok,Not Available,Not Available,Not Available,295782,Not Available,100,50,Not Available,Not Available,Not Available,Not Available,No,0,12.88,Not Available,Ok,Not Available,Not Available,1040766,Not Available
K003-0300031,Not Available,Not Available,Not Available,66.6,Not Available,Not Available,100800.0,Not Available,Not Available,1173455,79.5,Not Available,Not Available,Not Available,-18.7,Clinton Hill,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,65.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,100800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3057406,Not Available
Q445-0400212,Not Available,Not Available,Not Available,77,Not Available,Not Available,334220.0,Not Available,20519.8,3565622,79.5,Not Available,Not Available,20519.8,-17.2,Astoria,Not Available,Not Available,No,Not Available,Not Available,89.3,Not Available,QUEENS,Not Available,36796.1,77.2,184158,Not Available,184158,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,334220,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,61.4,Not Available,Ok,Not Available,184158,4013655,Not Available
731 Lexington Avenue,Not Available,Not Available,Not Available,138.9,Not Available,Not Available,940848.0,Not Available,34419.2,154452217.4,84.7,Not Available,Not Available,34419.2,-14.6,Turtle Bay-East Midtown,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,MANHATTAN,2N,Not Available,139.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,247991,Ok,Not Available,No specific resident population,Not Available,1339563,Not Available,100,50,0,Not Available,0.4234,105,No,0,25.69,Not Available,Ok,264,Not Available,1086160;1037168;1037169;1037171,Not Available
