property_id,property_name,estimated_data_flag_fuel_1,parking_gross_floor_area,non_refrigerated_warehouse,multifamily_housing_government,parking_open_parking_lot,year_built,k_12_school_gross_floor_area,percent_of_total_electricity,last_modified_date_non,medical_office_number_of_1,national_median_reference,source_energy_use_kbtu,office_gross_floor_area_ft,laboratory_gross_floor_area,office_number_of_computers,weather_normalized_site_2,data_center_ups_output_meter,kerosene_use_kbtu,supermarket_grocery_number,avoided_emissions_onsite_1,retail_store_gross_floor,ambulatory_surgical_center,district_steam_use_kbtu,census_tract,natural_gas_use_therms,metered_areas_water,total_ghg_emissions_intensity,data_center_pdu_output_meter,weather_normalized_source_1,weather_normalized_source,weather_normalized_site_energy,restaurant_worker_density,alert_data_center_issue_with,office_weekly_operating_hours,diesel_2_use_kbtu,hospital_general_medical,data_center_it_source_energy,estimated_data_flag_district,restaurant_gross_floor_area,worship_facility_gross_floor,movie_theater_gross_floor,electricity_use_generated
1634564,Q230-0401421,No,Not Available,Not Available,Not Available,Not Available,1998,100880,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,15107438,Not Available,Not Available,Not Available,24815.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,289.0,24850.00052,Not Available,5.2,Not Available,15073399.5,149.4,7446033,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634038,Q063-0400056,No,Not Available,Not Available,Not Available,Not Available,1926,118965,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13657369.6,Not Available,Not Available,Not Available,56148.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,54.0,56619.00054,Not Available,4.8,Not Available,13607973.7,114.4,9066339.8,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634556,Q876-0401217,Not Available,Not Available,Not Available,Not Available,Not Available,1945,16160,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,2946379,Not Available,Not Available,Not Available,11077.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,553.0,11079.00023,Not Available,6.8,Not Available,2934556.4,181.6,1740378.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633715,M506-0100152,Not Available,Not Available,Not Available,Not Available,Not Available,1998,102100,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,12962899.6,Not Available,Not Available,Not Available,30008.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,189.0,30576.99978,Not Available,4.3,Not Available,12781972.3,125.2,6440544.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633157,K305-0300300,No,Not Available,Not Available,Not Available,Not Available,1962,106800,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,7483241.3,Not Available,Not Available,Not Available,31903.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,265.0,32024.00512,Not Available,3.2,Not Available,7470585.1,69.9,5297492.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633798,K226-0300231,No,Not Available,Not Available,Not Available,Not Available,1931,112800,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,11507571.6,Not Available,Not Available,Not Available,62295.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,446.0,59985.99582,Not Available,4.2,Not Available,11750043.1,104.2,8222229.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633203,Q007-0401218,No,Not Available,Not Available,Not Available,Not Available,1994,150175,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,22475121.8,Not Available,Not Available,Not Available,58893.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,485.0,58659.99915,Not Available,5.5,Not Available,22499629.6,149.8,12407105.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634612,M101-0100096,No,Not Available,Not Available,Not Available,Not Available,1926,142925,Not Available,08/03/2018 12:06 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13157604.8,Not Available,Not Available,Not Available,68056.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,172.0,67443.00103,Not Available,3.7,Not Available,13222009.4,92.5,8975669.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634753,Q451-0400221,Not Available,Not Available,Not Available,Not Available,Not Available,1929,12710,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,1306698.1,Not Available,Not Available,Not Available,5792.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,33.0,5920.999996,Not Available,4,Not Available,1293211.1,101.7,823895.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634155,X650-0200210,No,Not Available,Not Available,Not Available,Not Available,1937,158875,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,16834217.7,Not Available,Not Available,Not Available,69668.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,133.0,70185.99939,Not Available,4.2,Not Available,16779901.1,105.6,10806043.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633984,K184-0300186,No,Not Available,Not Available,Not Available,Not Available,1930,94800,Not Available,04/14/2020 02:38 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13632868.4,Not Available,Not Available,Not Available,90839,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,918.0,90839.00103,Not Available,6.9,Not Available,13632868.4,143.8,11365631.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633370,K261-0300265,Not Available,Not Available,Not Available,Not Available,Not Available,1957,109200,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,8694928,Not Available,Not Available,Not Available,614.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,43.0,622.0000198,Not Available,3.9,Not Available,8715374.2,79.8,5594331.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634751,Q232-0400191,No,Not Available,Not Available,Not Available,Not Available,1962,102405,Not Available,04/20/2020 04:51 PM EDT,Not Available,CBECS - Elementary/Middle & High School,6202598.1,Not Available,Not Available,Not Available,2673.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,6202.0,2668.000014,Not Available,3.2,Not Available,6207709.4,60.6,4310947.8,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1461767,1290 Ave of Americas,Not Available,Not Available,Not Available,Not Available,Not Available,1963,Not Available,Not Available,07/23/2020 06:01 PM EDT,30,CBECS - Office & Bank/Financial,449562410.9,1927376,Not Available,7600,15301.8,100298.3,Not Available,Not Available,0,Not Available,Not Available,109201597.2,104.0,15301.83877,Whole Property,8,0,449562410.9,212.4,223796677,6.02617,Ok,67.06,Not Available,Not Available,958209.4,No,5808,Not Available,Not Available,Not Available
1439975,19 East 57th Street,Not Available,Not Available,Not Available,Not Available,Not Available,2001,Not Available,Not Available,03/18/2020 09:37 AM EDT,Not Available,CBECS - Office & Bank/Financial,23784643.3,97821,Not Available,298,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,3019843.6,11202.0,Not Available,Whole Property,8,Not Available,23766967.2,235.3,10202167.6,Not Available,Ok,56.96,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1633146,K250-0300253,Not Available,Not Available,Not Available,Not Available,Not Available,1964,102000,Not Available,04/14/2020 02:38 PM EDT,Not Available,CBECS - Elementary/Middle & High School,7249555.6,Not Available,Not Available,Not Available,2422,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,505.0,2421.999971,Not Available,3.9,Not Available,7183063.3,70.4,5306055.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1160893,"BRONX, NY-2718",Not Available,Not Available,Not Available,Not Available,Not Available,1997,Not Available,Not Available,Not Available,Not Available,CBECS - Retail Store,26852898.1,Not Available,Not Available,Not Available,23565.5,Not Available,Not Available,Not Available,0,166320,Not Available,Not Available,46201.0,24428.30866,Whole Property,5.2,Not Available,26423186.2,158.9,10909695.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634696,K253-0300256,No,Not Available,Not Available,Not Available,Not Available,1937,84000,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,11297552.8,Not Available,Not Available,Not Available,45229.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,364.0,45520.99816,Not Available,5.1,Not Available,11266937.6,134.1,6850745.4,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633265,X005-0200043,Not Available,Not Available,Not Available,Not Available,Not Available,1960,103280,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,8882526.7,Not Available,Not Available,Not Available,396,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,73.0,396.0000104,Not Available,4.4,Not Available,8907868.3,86.2,6026181,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633746,K005-0300033,Not Available,Not Available,Not Available,Not Available,Not Available,1965,108000,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,12046016.6,Not Available,Not Available,Not Available,4689,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,377.0,4688.999997,Not Available,6.3,Not Available,12002830.9,111.1,9045165.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11809,Conde Nast Building,Not Available,Not Available,Not Available,Not Available,Not Available,1999,Not Available,Not Available,05/18/2020 05:53 AM EDT,Not Available,CBECS - Office & Bank/Financial,364574864,1539113,Not Available,4008,377952.2,Not Available,Not Available,Not Available,0,62864,Not Available,11624187.2,119.0,379427.409,Not Available,7.6,Not Available,364396738.1,227.5,160382459.6,Not Available,Ok,78.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1634083,R046-0500069,No,Not Available,Not Available,Not Available,Not Available,1931,87660,Not Available,04/17/2020 12:53 PM EDT,Not Available,CBECS - Elementary/Middle & High School,4871964.6,Not Available,Not Available,Not Available,22275,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,64.0,21463.99868,Not Available,2.4,Not Available,4974038.2,56.7,3498663.4,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633832,Q148-0400135,No,Not Available,Not Available,Not Available,Not Available,1928,110525,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,9815315.1,Not Available,Not Available,Not Available,42922.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,339.0,43092.99626,Not Available,3.8,Not Available,9797393.9,88.6,6711042.7,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634470,Q107-0400095,Not Available,Not Available,Not Available,Not Available,Not Available,1924,132060,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,12543630.9,Not Available,Not Available,Not Available,10139.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1195.0,10389.00001,Not Available,5.1,Not Available,12364709.1,93.6,9018982.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633322,K090-0300101,No,Not Available,Not Available,Not Available,Not Available,1964,88800,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,7488618,Not Available,Not Available,Not Available,39746.1,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,350.0,38382.99725,Not Available,3.4,Not Available,7631742.8,85.9,5209753.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633018,X140-0200184,No,Not Available,Not Available,Not Available,Not Available,1957,111600,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,8104971.6,Not Available,Not Available,Not Available,41258.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,185.0,40912.00052,Not Available,2.9,Not Available,8141362.2,73,5486290.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634379,M190-0100159,Not Available,Not Available,Not Available,Not Available,Not Available,1902,50700,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,5050424.4,Not Available,Not Available,Not Available,25312.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,138.0,25376.99743,Not Available,4,Not Available,5043660.2,99.5,3383343.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1295925,10769-Fresh Meadows,Not Available,Not Available,Not Available,Not Available,Not Available,2004,Not Available,Not Available,03/23/2020 04:01 PM EDT,Not Available,CBECS - Retail Store,13685985.6,Not Available,Not Available,Not Available,754,Not Available,Not Available,Not Available,0,143975,Not Available,668962.4,1347.0,753.9999976,Whole Property,Not Available,Not Available,13647036.4,94.8,6558409.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1633510,X033-0200071,No,Not Available,Not Available,Not Available,Not Available,1900,84080,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,10303953,Not Available,Not Available,Not Available,54765,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,239.0,54765.0003,Not Available,5,Not Available,10303953,122.5,7102795.7,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634024,K345-0300317,No,Not Available,Not Available,Not Available,Not Available,1966,108000,Not Available,04/20/2020 02:58 PM EDT,Not Available,CBECS - Elementary/Middle & High School,8965453.5,Not Available,Not Available,Not Available,2617,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1192.0,2616.999842,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634227,Q247-0400114,Not Available,Not Available,Not Available,Not Available,Not Available,2009,74400,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,23710296.8,Not Available,Not Available,Not Available,49847,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,659.0,49371.00168,Not Available,10.6,Not Available,23356984.4,313.9,11457215.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634252,K480-0300347,No,Not Available,Not Available,Not Available,Not Available,1910,242400,Not Available,04/14/2020 02:38 PM EDT,Not Available,CBECS - Elementary/Middle & High School,28530602.8,Not Available,Not Available,Not Available,123015.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,435.0,123338.0023,Not Available,4.9,Not Available,28496781.7,117.6,18765774.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634435,K009-0300036,Not Available,Not Available,Not Available,Not Available,Not Available,1956,139200,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,10788068.7,Not Available,Not Available,Not Available,688,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,205.0,683.0000158,Not Available,4.2,Not Available,10763021.2,77.3,7760842.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633553,K874-0300120,No,Not Available,Not Available,Not Available,Not Available,1937,25715,Not Available,04/17/2020 10:28 AM EDT,Not Available,CBECS - Elementary/Middle & High School,3872503.1,Not Available,Not Available,Not Available,15182.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,163.0,15253.0005,Not Available,6,Not Available,3865104.4,150.3,2452813,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634260,K405-0300370,Not Available,Not Available,Not Available,Not Available,Not Available,1940,231000,Not Available,05/29/2020 09:07 AM EDT,Not Available,CBECS - Elementary/Middle & High School,16195862.6,Not Available,Not Available,Not Available,1483,Not Available,Not Available,Not Available,0,Not Available,Not Available,2362221.3,772.0,1482.999996,Not Available,2.3,Not Available,16111660.2,69.7,7154208,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available
1634395,X002-0200040,No,Not Available,Not Available,Not Available,Not Available,1956,91300,Not Available,04/10/2020 05:34 PM EDT,Not Available,CBECS - Elementary/Middle & High School,6824708.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,14701.0,0,Not Available,3.5,Not Available,6839201.4,74.9,4216262,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1771506,NYU Langone Orthopedic Hospital,Not Available,Not Available,Not Available,Not Available,Not Available,1979,Not Available,Not Available,04/09/2020 02:34 PM EDT,Not Available,ASHE Survey,160761135.7,Not Available,Not Available,Not Available,7226.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,49640920.7,48.0,7226.85963,Whole Property,18.8,Not Available,159673858.3,471.8,85738744.2,Not Available,Ok,Not Available,Not Available,1375,Not Available,No,Not Available,Not Available,Not Available,Not Available
1633685,X129-0200172,Not Available,Not Available,Not Available,Not Available,Not Available,1971,148475,Not Available,04/10/2020 05:34 PM EDT,Not Available,CBECS - Elementary/Middle & High School,17379396.3,Not Available,Not Available,Not Available,1297.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,371.0,1291.999981,Not Available,5.9,Not Available,17437872.2,117.4,11402292.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634111,X143-0200187,No,Not Available,Not Available,Not Available,Not Available,1957,159775,Not Available,04/10/2020 05:34 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13423262.1,Not Available,Not Available,Not Available,504,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,273.0,503.9999921,Not Available,4,Not Available,13407593.2,83.9,8403796.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1025339,425 Lexington Avenue,Not Available,10876,Not Available,Not Available,0,1987,Not Available,Not Available,08/07/2020 01:17 PM EDT,Not Available,CBECS - Office & Bank/Financial,110991675.6,577266,Not Available,1988,9695.7,815212,Not Available,Not Available,0,Not Available,Not Available,14982073.5,92.0,9695.7001,Whole Property,5.4,0,110537103.6,163.7,48492323.3,Not Available,Ok,70.77,Not Available,Not Available,7788209.4,No,Not Available,Not Available,Not Available,Not Available
1633120,Q142-0400128,No,Not Available,Not Available,Not Available,Not Available,1939,145375,Not Available,04/17/2020 12:53 PM EDT,Not Available,CBECS - Elementary/Middle & High School,16672678.9,Not Available,Not Available,Not Available,85958.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,192.0,86544.00091,Not Available,4.6,Not Available,16529053.4,113.7,11275652.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633679,X096-0200138,No,Not Available,Not Available,Not Available,Not Available,1929,148666,Not Available,04/10/2020 05:34 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13021163.9,Not Available,Not Available,Not Available,12683,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,33201.0,12683.0013,Not Available,2.9,Not Available,13021163.9,87.6,5972608.4,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633024,X150-0200194,Not Available,Not Available,Not Available,Not Available,Not Available,1958,114175,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,8463911.1,Not Available,Not Available,Not Available,548,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,12701.0,547.9999402,Not Available,3.6,Not Available,8405904.9,73.6,5266767.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633450,R026-0500049,No,Not Available,Not Available,Not Available,Not Available,1940,33660,Not Available,04/17/2020 12:53 PM EDT,Not Available,CBECS - Elementary/Middle & High School,3302620.2,Not Available,Not Available,Not Available,10431.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,29102.0,10030.99986,Not Available,3.8,Not Available,3344641.2,99.4,1992118.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633185,Q152-0400139,Not Available,Not Available,Not Available,Not Available,Not Available,1937,116431,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,14166470.2,Not Available,Not Available,Not Available,10742.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,293.0,10772.00018,Not Available,6.2,Not Available,13917642.5,119.5,9466251,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633468,M057-0100068,No,Not Available,Not Available,Not Available,Not Available,1964,109300,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,12587675.2,Not Available,Not Available,Not Available,52407.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,182.0,53152.99908,Not Available,4.4,Not Available,12509401.9,114.5,7743114.7,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634185,K092-0300103,No,Not Available,Not Available,Not Available,Not Available,1906,134400,Not Available,04/17/2020 10:28 AM EDT,Not Available,CBECS - Elementary/Middle & High School,12745301.1,Not Available,Not Available,Not Available,60800.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,802.0,61053.00003,Not Available,3.9,Not Available,12842602.4,95.6,8810167.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633352,Q113-0400100,No,Not Available,Not Available,Not Available,Not Available,1928,97200,Not Available,04/13/2020 03:27 PM EDT,Not Available,CBECS - Elementary/Middle & High School,18266938.1,Not Available,Not Available,Not Available,33005.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,637.0,33148.99952,Not Available,6.3,Not Available,18251888.8,187.8,8749007,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634303,Q195-0400171,No,Not Available,Not Available,Not Available,Not Available,1965,110417,Not Available,04/17/2020 12:53 PM EDT,Not Available,CBECS - Elementary/Middle & High School,9795741.7,Not Available,Not Available,Not Available,34401,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,664.0,34478.99629,Not Available,3.2,Not Available,9787551.2,88.6,5645616,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634000,K244-0300248,No,Not Available,Not Available,Not Available,Not Available,1939,154800,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,15852644.5,Not Available,Not Available,Not Available,58091.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,946.0,58581.9998,Not Available,4,Not Available,15801171.1,102.1,9803516.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633687,X136-0200180,No,Not Available,Not Available,Not Available,Not Available,1961,178975,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,14204966.5,Not Available,Not Available,Not Available,4341,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,151.0,4340.999856,Not Available,3.7,Not Available,14003758.3,78.2,8625632.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1603493,522 Fifth Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,1896,Not Available,Not Available,08/03/2020 09:23 AM EDT,Not Available,CBECS - Office & Bank/Financial,77124236.8,Not Available,Not Available,Not Available,5107.3,815388,Not Available,Not Available,0,Not Available,Not Available,6816784.7,96.0,5107.317698,Whole Property,4.5,0,76872052.4,141.9,31644581.7,Not Available,Ok,Not Available,Not Available,Not Available,7789890.9,No,Not Available,Not Available,Not Available,Not Available
28404,The Allen Hospital,No,Not Available,Not Available,Not Available,Not Available,1991,Not Available,Not Available,02/26/2020 05:49 PM EST,Not Available,ASHE Survey,146188034.2,Not Available,Not Available,Not Available,500210.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,297.0,500210.7874,Whole Property,17.2,Not Available,145055341,469.8,83068653.2,Not Available,Ok,Not Available,Not Available,800,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633964,K072-0300089,Not Available,Not Available,Not Available,Not Available,Not Available,1974,148800,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13688763.1,Not Available,Not Available,Not Available,1018,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,,1018.000034,Not Available,4.9,Not Available,13624959.9,91.6,9600126.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633597,K332-0300314,Not Available,Not Available,Not Available,Not Available,Not Available,1967,114000,Not Available,04/14/2020 02:38 PM EDT,Not Available,CBECS - Elementary/Middle & High School,12383032,Not Available,Not Available,Not Available,797,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,908.0,796.9999752,Not Available,6.2,Not Available,12133335.5,106.4,9121995.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1802367,"250 Hudson Street, LLC",No,Not Available,Not Available,Not Available,Not Available,1929,Not Available,Not Available,03/06/2020 09:12 AM EST,Not Available,CBECS - Office & Bank/Financial,52112616.1,323600,Not Available,1700,99399.1,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,37.0,99895.0663,Whole Property,5.4,Not Available,51808716.3,155.6,24715556.5,Not Available,Ok,118.43,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1261475,250 Vesey Street,Not Available,143982,Not Available,Not Available,0,1986,Not Available,Not Available,04/14/2020 11:07 AM EDT,Not Available,CBECS - Office & Bank/Financial,376481269,2015588,Not Available,7537,Not Available,4449441.9,Not Available,Not Available,0,Not Available,Not Available,52808265.4,31703.0,Not Available,Not Available,6.4,0,375665558.4,185.5,164169829.9,Not Available,Ok,65.34,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1634763,R014-0500039,No,Not Available,Not Available,Not Available,Not Available,1957,96327,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,10257635.4,Not Available,Not Available,Not Available,40129.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,29.0,38672.00141,Not Available,4.3,Not Available,10410703.9,108.1,6535004.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
