property_id,property_name,non_refrigerated_warehouse_3,k_12_school_computer_density,parking_gross_floor_area,retail_store_open_or_closed,supermarket_grocery_number_2,onsite_renewable_system,retail_store_walk_in,parking_open_parking_lot,generation_date,council_district,retail_store_cash_register,bin,address_2,senior_care_community_number_4,data_center_it_energy,electricity_onsite_renewable,senior_care_community_number_5,latitude,green_power_offsite_kwh,retail_store_percent_that,hospital_general_medical_6,k_12_school_percent_that,national_median_source_eui,water_alerts,percent_better_than_national_1,residence_hall_dormitory_2,date_property_last_modified,diesel_2_use_kbtu,k_12_school_high_school,medical_office_weekly,non_refrigerated_warehouse_2,metered_areas_energy,residence_hall_dormitory_1,energy_star_score,district_chilled_water_use,indoor_water_intensity_all,estimated_data_flag_fuel_2,energy_star_certification_3,hotel_gross_floor_area_ft,onsite_renewable_system_1,senior_care_community_number_6,hotel_percent_that_can_be,weather_normalized_site_eui,hospital_general_medical_2,hospital_general_medical_1
1230053,Random House NY,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-31T09:09:20.000,3.0,Not Available,1086135.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.765298,Not Available,Not Available,Not Available,Not Available,271.4,Not Available,-27.1,Not Available,21-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,75,0,1096.61,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,67.3,Not Available,Not Available
2556860,153RD STREET APT. LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-02-28T13:26:35.000,7.0,Not Available,1061660.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.829724,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11-FEB-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.1,Not Available,Not Available
2563011,"1350 Grand Concourse Realty, L.L.C.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-21T13:51:51.000,13.0,Not Available,2048553.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.852799,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,08-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,94.8,Not Available,Not Available
2598081,510 Fifth Avenue,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-05-28T09:53:26.000,4.0,0.65,1034200.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.753973,Not Available,78.13,Not Available,Not Available,356.4,Not Available,60.1,Not Available,27-FEB-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,14,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,161.5,Not Available,Not Available
1241674,0575 Merrick,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,Not Available,2013-05-15T10:33:11.000,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,568,Not Available,122.5,Not Available,26-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,430.2,Not Available,Not Available
1231058,520 Madison Avenue,Not Available,Not Available,Not Available,0.13,Not Available,Not Available,0,Not Available,2013-04-26T11:58:28.000,4.0,0.65,1035727.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.760107,Not Available,100,Not Available,Not Available,407.6,Not Available,-35.5,Not Available,25-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,91,0,20.75,Not Available,"2007, 2008, 2010",Not Available,Not Available,Not Available,Not Available,90.5,Not Available,Not Available
2605878,17 State Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-29T12:45:55.000,1.0,Not Available,1000020.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.702798,Not Available,Not Available,Not Available,Not Available,312.1,Not Available,-33.1,Not Available,28-MAY-13,7768034.1,Not Available,Not Available,Not Available,No Selection Made,Not Available,82,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80.4,Not Available,Not Available
2518219,145 E 57th St,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-22T13:25:49.000,4.0,0.16,1036908.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.760789,Not Available,100,Not Available,Not Available,290.7,Not Available,-39,Not Available,11-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,85,0,9.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73.9,Not Available,Not Available
2590018,19 W 24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-07T16:32:56.000,3.0,Not Available,1015598.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.742633,Not Available,Not Available,Not Available,Not Available,208.3,Not Available,-52.4,Not Available,16-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,94,0,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,54.9,Not Available,Not Available
1958459,Hotel Pennsylvania,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-28T09:53:26.000,3.0,Not Available,1015191.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.749794,Not Available,Not Available,Not Available,Not Available,216.3,Not Available,-18.3,Not Available,19-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,70,0,88.43,Not Available,Not Available,1412862,Not Available,Not Available,100,110.9,Not Available,Not Available
2604384,The Albert Apartment Corp,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-05-10T09:43:41.000,2.0,0.13,1082677.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.732687,Not Available,89.27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.4,Not Available,Not Available
2535080,270 Convent Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-31T19:47:41.000,9.0,Not Available,1061204.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.821896,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-MAY-13,Not Available,Not Available,Not Available,Not Available,Tenant Heating; Tenant Hot Water; Common Area Heating; Common Area Hot Water,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2381312,ATCO- 630 Third Avenue,Not Available,Not Available,Not Available,0.98,Not Available,Not Available,0,Not Available,2013-04-26T15:36:06.000,4.0,1.12,1036149.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.749798,Not Available,100,Not Available,Not Available,251.7,Not Available,-33.8,Not Available,10-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,81,0,Not Available,Not Available,"2010, 2011",Not Available,Not Available,Not Available,Not Available,54,Not Available,Not Available
