property_id,address_1,parking_partially_enclosed,hotel_cooking_facilities,parking_completely_enclosed,worship_facility_weekly,multifamily_housing_percent_1,direct_ghg_emissions_mtco2e,indoor_water_use_all_water,senior_care_community_number,data_center_pue,indirect_ghg_emissions_mtco2e,non_refrigerated_warehouse_1,year_ending,fuel_oil_5_6_use_kbtu,estimated_data_flag_district,other_use_kbtu,bank_branch_computer_density,retail_store_weekly_operating,data_center_it_source_energy,bank_branch_gross_floor_area,postcode,source_eui_kbtu_ft,senior_care_community_average,electricity_use_grid_purchase,target_energy_star_score,senior_care_community_percent,energy_star_certification_1,office_weekly_operating_hours,estimated_data_flag_district_1,medical_office_gross_floor,refrigerated_warehouse_worker,water_current_date,primary_property_type_self,estimated_data_flag_1,community_board,site_eui_kbtu_ft,estimated_data_flag_fuel,egrid_output_emissions_rate,service_and_product_provider,hotel_type_of_laundry_facility,office_worker_density_number,data_center_ups_output_site,multifamily_housing_resident,retail_store_computer_density,k_12_school_gross_floor_area
2549498,1500 Noble Ave.,Not Available,Not Available,Not Available,Not Available,15,1535.76,20505.2,Not Available,Not Available,428.57,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10460,138.4,Not Available,4564727.69,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,209.0,97.2,Not Available,Not Available,"DSM Engineering Associates, PC",Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2590029,142 West 24th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.14,0,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10011,3.3,Not Available,65446.36,0,Not Available,Not Eligible: Current period ending over 120 days,Not Available,Not Available,Not Available,Not Available,31-DEC-10,Warehouse (Unrefrigerated),Not Available,104.0,1,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2383984,25 East 83rd Street,Not Available,Not Available,Not Available,Not Available,2,155.34,0,Not Available,Not Available,268.32,Not Available,2012-12-31T00:00:00.000,1904406.57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10028,123.9,Not Available,2857889.26,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,108.0,52,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2564412,56 Pine Street,Not Available,Not Available,Not Available,Not Available,32,52,10795.5,Not Available,Not Available,667.34,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10005,219.1,Not Available,4089141.72,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,101.0,99.7,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2598266,333 East 66th Street,0,Not Available,5819,Not Available,14,887.99,Not Available,Not Available,Not Available,338.2,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10065,161.1,Not Available,3602218.69,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,108.0,104.4,Not Available,Not Available,Energy Investment Systems,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2612578,162-15 HIGHLAND AVE ENTM,Not Available,Not Available,Not Available,Not Available,Not Available,408.14,0,Not Available,Not Available,181.92,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11432,146,Not Available,1937607.89,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,408.0,96.7,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2386549,15 West 72nd Street,0,Not Available,42000,Not Available,25,2422.68,20489.2,Not Available,Not Available,1164.88,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10023,148.2,Not Available,12407218.06,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,10000,Not Available,31-DEC-12,Multifamily Housing,Not Available,107.0,95.4,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2598237,605 Park Avenue,Not Available,Not Available,Not Available,Not Available,11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,3000,Not Available,01-JAN-00,Multifamily Housing,Not Available,108.0,Not Available,Not Available,Not Available,Energy Investment Systems,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2606040,2001 University Avenue,Not Available,Not Available,Not Available,Not Available,30,254.36,5215.7,Not Available,Not Available,154.03,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10453,143.9,Not Available,1640605.06,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,28-FEB-13,Multifamily Housing,Not Available,205.0,88.1,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1719778,24-01 44th Road,Not Available,Not Available,Not Available,Not Available,Not Available,296.99,3932.3,Not Available,Not Available,1688.81,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11101,239.5,Not Available,17987585.72,0,Not Available,Eligible,68,Not Available,Not Available,Not Available,31-MAR-13,Office,Not Available,402.0,85.6,Not Available,Not Available,,Not Available,3.16,Not Available,Not Available,Not Available,Not Available
2364194,1334 York Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5879.6,Not Available,Not Available,Not Available,100,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,50,Not Available,Not Available,10021,Not Available,Not Available,Not Available,Not Available,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-JAN-13,Other,Not Available,108.0,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,0.05,Not Available
2606792,2121 Shore Parkway,Not Available,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11214,Not Available,Not Available,Not Available,Not Available,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-OCT-12,Multifamily Housing,Not Available,313.0,Not Available,Not Available,Not Available,2121 Shore Condominium,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2606074,1472 Montgomery Avenue,Not Available,Not Available,Not Available,Not Available,30,95.24,4202.4,Not Available,Not Available,79.83,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10453,94.3,Not Available,850270.4,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-MAR-13,Multifamily Housing,Not Available,205.0,52.8,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2540632,925 Prospect Place,Not Available,Not Available,Not Available,Not Available,30,289.58,6929.1,Not Available,Not Available,151.24,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11213,94.4,Not Available,1610814.66,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,308.0,60.1,No,Not Available,,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
1143934,388 GREENWICH STREET,Not Available,Not Available,Not Available,Not Available,Not Available,188.96,46601.9,Not Available,Not Available,12089.42,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10013,209.6,Not Available,106887082.5,0,Not Available,Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.,68,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,101.0,72.8,No,Not Available,,Not Available,2.89,Not Available,Not Available,Not Available,Not Available
2591375,160 BROADWAY,Not Available,Not Available,Not Available,Not Available,Not Available,541.47,Not Available,Not Available,Not Available,743.28,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10038,235.6,Not Available,7916754.14,0,Not Available,Not Eligible: Rating must be 75 or above,55,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,101.0,107.1,Not Available,Not Available,,Not Available,5,Not Available,Not Available,Not Available,Not Available
2364064,1230 6th Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5521.21,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,70,Not Available,Not Available,10111,249,Not Available,38974349.7,0,Not Available,Not Eligible: Rating must be 75 or above,65,Not Available,Not Available,Not Available,01-JAN-00,Office,Not Available,105.0,117.8,Not Available,Not Available,,Not Available,2.57,Not Available,Not Available,0.2,Not Available
2564688,838 Fifth Avenue,Not Available,Not Available,Not Available,Not Available,20,6.81,0,Not Available,Not Available,623.7,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10065,286.6,Not Available,4376056.86,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,108.0,114.5,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2587768,510-520 West 21st street,Not Available,Not Available,Not Available,Not Available,Not Available,51.99,66.6,Not Available,Not Available,65.69,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10011,26.5,Not Available,699714.76,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Self-Storage,Not Available,104.0,12.2,No,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2604541,603 West 148th Street,Not Available,Not Available,Not Available,33,3.3,32.61,Not Available,Not Available,Not Available,131.91,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10031,81,Not Available,1405029.4,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,109.0,30.6,Not Available,Not Available,Energy Investment Systems,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2587913,5020-5030 Broadway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,645.2,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,10034,Not Available,Not Available,Not Available,Not Available,Not Available,Not Eligible: Rating must be 75 or above,85,Not Available,Not Available,Not Available,31-DEC-12,Self-Storage,Not Available,112.0,Not Available,No,Not Available,,Not Available,3.33,Not Available,Not Available,0.07,Not Available
1241726,6734 Route 9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,824.03,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12572,442,Not Available,9027392.44,75,Not Available,Eligible,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Supermarket/Grocery,Not Available,,132.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2558870,498 7th Ave,Not Available,Not Available,Not Available,Not Available,Not Available,865.35,15971.1,Not Available,Not Available,4815.15,Not Available,2012-12-31T00:00:00.000,10922346.96,Not Available,Not Available,4.86,Not Available,Not Available,3496,10018,194.8,Not Available,51286338.87,90,Not Available,Eligible,60,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,105.0,66.5,Not Available,Not Available,"CodeGreen Solutions, Inc.",Not Available,3.16,Not Available,Not Available,Not Available,Not Available
2610233,55 WASHINGTON AVENUE,Not Available,Not Available,Not Available,Not Available,Not Available,27.27,44.5,Not Available,Not Available,150.69,10,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11205,56.7,Not Available,1605035.62,0,Not Available,Not Eligible: Current period ending over 120 days,Not Available,Not Available,Not Available,1,28-FEB-13,Warehouse (Unrefrigerated),Not Available,302.0,20.4,Not Available,Not Available,"National Refunds, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2556696,65-75 West 96th Street,Not Available,Not Available,Not Available,Not Available,25,45.41,Not Available,Not Available,Not Available,1565.99,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,60,Not Available,Not Available,10025,118.3,Not Available,5795469.11,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,107.0,64.5,Not Available,Not Available,"DSM Engineering Associates, PC",Not Available,Not Available,Not Available,No specific resident population,0.15,Not Available
2560562,666 GREENWICH STREET,0,Not Available,13513,Not Available,Not Available,790.12,Not Available,Not Available,Not Available,2252.2,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10014,147.7,Not Available,23988307.21,0,Not Available,Not Eligible: Rating must be 75 or above,72,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,102.0,60,No,Not Available,,Not Available,2.55,Not Available,Not Available,Not Available,Not Available
1578383,1325 Avenue of the Americas,Not Available,Not Available,Not Available,Not Available,Not Available,114.12,8262.6,Not Available,Not Available,5052.58,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,91,Not Available,Not Available,10019,189,Not Available,47437060.29,93,Not Available,Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.,60,Not Available,Not Available,Not Available,31-MAR-13,Office,Not Available,105.0,63.6,Not Available,Not Available,,Not Available,2.05,Not Available,Not Available,0.77,Not Available
203837700.00%,9605 QUEENS BLVD,Not Available,Not Available,Not Available,Not Available,Not Available,31.56,Not Available,Not Available,Not Available,905.7,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,84,Not Available,Not Available,11374,166.2,Not Available,9646641.83,75,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Retail,Not Available,406.0,51.8,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,0.25,Not Available
1241725,8101 Jericho Tpk,Not Available,Not Available,Not Available,Not Available,Not Available,251.69,Not Available,Not Available,Not Available,1758.58,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11797,589.4,Not Available,9286018.92,75,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Supermarket/Grocery,Not Available,,229.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2602873,3015 West 29th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11224,Not Available,350,Not Available,Not Available,100,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Senior Care Facility,Not Available,313.0,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1276621,731 Lexington Ave,Not Available,Not Available,Not Available,Not Available,15,176.89,46658.7,Not Available,Not Available,20019.54,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,163,Not Available,Not Available,10022,453.2,Not Available,186209388.5,0,Not Available,Not Eligible: Rating must be 75 or above,168,Not Available,Not Available,Not Available,30-APR-13,Office,Not Available,106.0,151.2,Not Available,Not Available,,Not Available,7.83,Not Available,No specific resident population,0.24,Not Available
1385345,1619 Broadway,Not Available,Not Available,Not Available,Not Available,Not Available,385.61,Not Available,Not Available,Not Available,925.81,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10019,260.1,Not Available,9860846.35,0,Not Available,Not Eligible: Rating must be 75 or above,74,Not Available,Not Available,Not Available,31-JUL-12,Office,Not Available,105.0,109.8,Not Available,Not Available,,Not Available,2.23,Not Available,Not Available,Not Available,Not Available
2606050,1647-55 Macombs Road,Not Available,Not Available,Not Available,Not Available,30,185.52,5007.2,Not Available,Not Available,118.87,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10453,118.3,Not Available,1266066.8,0,Not Available,Not Eligible: Rating must be 75 or above,44,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,205.0,71.4,Not Available,Not Available,,Not Available,4.05,Not Available,Not Available,Not Available,Not Available
2388616,120 East 36th Street,Not Available,Not Available,Not Available,Not Available,10,394.23,3378.2,Not Available,Not Available,158.12,Not Available,2012-12-31T00:00:00.000,2769972.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10016,130.5,Not Available,1684138.2,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,106.0,82.4,No,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2614691,40 East 66th Street,Not Available,Not Available,Not Available,Not Available,10,1.71,3208.9,Not Available,Not Available,677.19,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,110,Not Available,Not Available,10065,165.3,Not Available,4191270.05,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,108.0,70.3,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,0.16,Not Available
2614196,323 W 39th Street,Not Available,Not Available,Not Available,Not Available,Not Available,103.06,0,Not Available,Not Available,109.13,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10018,100.8,Not Available,1162363.11,0,Not Available,Not Eligible: Default space values used,65,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,104.0,48.8,No,Not Available,,Not Available,3.86,Not Available,Not Available,Not Available,Not Available
1557451,60 Broad Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,7731.98,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10004,201.2,Not Available,50626164.16,0,Not Available,Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.,70,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,101.0,82.8,Not Available,Not Available,"Piedmont Office Realty Trust, Inc",Not Available,3.67,Not Available,Not Available,Not Available,Not Available
2553898,530 West End Avenue,Not Available,Not Available,Not Available,Not Available,10,381.31,2101.5,Not Available,Not Available,120.48,Not Available,2012-12-31T00:00:00.000,4388243.22,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10024,108.5,Not Available,1283224.03,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,107.0,72.9,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2564765,330 East 72nd Street,Not Available,Not Available,Not Available,Not Available,20,65.16,0,Not Available,Not Available,10874.88,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10021,10640.1,Not Available,115828829.3,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,108.0,3208.7,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
1753830,99901 Montauk Hwy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1315.05,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11967,445.7,Not Available,6943997.63,75,Not Available,Eligible,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Supermarket/Grocery,Not Available,,133.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1241659,2450 Jerusalem Ave.,Not Available,Not Available,Not Available,Not Available,Not Available,316.18,Not Available,Not Available,Not Available,1416.1,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11710,767.8,Not Available,7477605.94,75,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Supermarket/Grocery,Not Available,,330.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2533064,535 West End Avenue,Not Available,Not Available,Not Available,Not Available,20,173.47,0,Not Available,Not Available,205.2,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10028,50.4,Not Available,2185614.38,0,Not Available,Not Eligible: Rating must be 75 or above,0,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,107.0,25.6,Not Available,Not Available,Greenwich Energy Solutions,Not Available,0,Not Available,No specific resident population,Not Available,Not Available
2563051,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,223.07,Not Available,Not Available,Not Available,117.31,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,165.4,Not Available,1249428.17,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,865,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,104.8,No,Not Available,,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
256302100.00%,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,508.61,Not Available,Not Available,Not Available,115.13,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,183.8,Not Available,1226204.45,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,135.1,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2558903,2121 Cedar Avenue,Not Available,Not Available,Not Available,Not Available,10,243.14,4646.4,Not Available,Not Available,103.84,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10468,120.4,Not Available,1105982.88,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,207.0,80.6,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2430795,75 Varick St,Not Available,Not Available,Not Available,Not Available,Not Available,1283.31,0,Not Available,Not Available,5296.84,0,2012-12-31T00:00:00.000,15584289.84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10013,208.5,Not Available,56416902.59,0,Not Available,Eligible,60,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,102.0,74.1,Not Available,Not Available,"CodeGreen Solutions, Inc.",Not Available,2.77,Not Available,Not Available,Not Available,Not Available
2563011,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,288,Not Available,Not Available,Not Available,82.1,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,136,Not Available,874464.89,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,94.8,No,Not Available,,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2386803,30 East 9th Street,Not Available,Not Available,Not Available,Not Available,20,796.98,9699.1,Not Available,Not Available,507.51,Not Available,2012-12-31T00:00:00.000,9798363.64,Not Available,Not Available,2.21,65,Not Available,7700,10003,121.8,Not Available,5405525.74,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,102.0,67,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,0,Not Available
2604109,42-41 201st Street,Not Available,Not Available,Not Available,Not Available,Not Available,2466.64,15235.8,19,Not Available,1444.8,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11361,338.6,432,15388627.25,0,90,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Senior Care Facility,Not Available,411.0,209.2,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2608474,280 Fort Washington Ave,Not Available,Not Available,Not Available,Not Available,20,155.7,2573.1,Not Available,Not Available,54.22,Not Available,2012-12-31T00:00:00.000,1885202.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10032,153.8,Not Available,577479.02,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,112.0,100.3,Not Available,Not Available,Heat Watch LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2606280,390 Park Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3474.11,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,93,Not Available,Not Available,10022,377.4,Not Available,27569894.89,0,Not Available,Not Eligible: Rating must be 75 or above,65,Not Available,Not Available,Not Available,01-JAN-00,Office,Not Available,105.0,138.5,Not Available,Not Available,,Not Available,1.66,Not Available,Not Available,0.21,Not Available
2388674,44 West 62nd Street,0,Not Available,33380,Not Available,10,21.25,6083.9,Not Available,Not Available,1511.27,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,65,Not Available,Not Available,10023,162.5,Not Available,5867670.33,0,Not Available,Not Eligible: Rating must be 75 or above,65,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,107.0,86.2,Not Available,Not Available,Greenwich Energy Solutions,Not Available,2.2,Not Available,No specific resident population,0,Not Available
1230818,430 E 67 St,0,Not Available,67864,Not Available,Not Available,Not Available,43039.3,Not Available,Not Available,6737.16,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10021,730.7,Not Available,71757772,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Other,Not Available,108.0,218.8,Not Available,Not Available,Memorial Sloan Kettering Cancer Center,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1427700,33 Maiden Lane,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10962.7,Not Available,Not Available,3017.49,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10038,162,Not Available,28266654.46,0,Not Available,ENERGY STAR Application In Process,54,Not Available,Not Available,Not Available,31-JAN-13,Office,Not Available,101.0,53.2,Not Available,Not Available,,Not Available,2.43,Not Available,Not Available,Not Available,Not Available
