brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_3_gross_income_per_sqft,comparable_rental_1_building_classification,comparable_rental_3_year_built,comparable_rental_3_address,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,comparable_rental_1_total_units,brooklyn_cooperatives_comparable_properties_neighborhood,bbl,comparable_rental_3_market_value_per_sqft,comparable_rental_1_estimated_gross_income
3-07433-0040,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1213 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.29,14.18,D1-ELEVATOR,1963,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1245 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.31,7.42,3-07397-0034,SHEEPSHEAD BAY,14.02,36.87,7.16,6.84,1071351.0,14.02,1960,121,SHEEPSHEAD BAY,,46.6,1602166
3-00292-0016,"{'latitude': '40.689296088897', 'longitude': '-73.993735428028', 'human_address': '{""address"": ""174 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,19.38,C7-WALK-UP,1900,"{'latitude': '40.687155816231', 'longitude': '-73.993631782919', 'human_address': '{""address"": ""196 COURT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,5.97,3-00302-0039,COBBLE HILL,21.92,96.15,9.04,9.28,114852.0,21.6,1901,16,COBBLE HILL,3002920016.0,96.15,198836
3-01442-0066,"{'latitude': '40.674650927448', 'longitude': '-73.908574518503', 'human_address': '{""address"": ""2381 DEAN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.23,9.16,C7-WALK-UP,1909,"{'latitude': '40.683046868022', 'longitude': '-73.906869439881', 'human_address': '{""address"": ""1492 BUSHWICK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.52,6.23,3-03461-0032,OCEAN HILL,19.22,22.61,4.03,11.57,82098.0,9.07,1910,35,OCEAN HILL,3014420066.0,17.44,317925
3-03886-0010,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""224 HIGHLAND BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,14.16,D1-ELEVATOR,1929,"{'latitude': '40.679714510072', 'longitude': '-73.892092514956', 'human_address': '{""address"": ""74 ARLINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.23,7.15,3-03933-0016,CYPRESS HILLS,12.99,32.13,5.86,6.93,278310.0,6.9,1940,66,CYPRESS HILLS,3038860010.0,38.37,672824
3-05848-0040,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""6702 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.5, ,D1-ELEVATOR, ,, , ,,BAY RIDGE,14.27,42.55,7.3,7.94,879434.0,14.01,1936,59,BAY RIDGE,3058480040.0, ,719307
3-01080-0041,"{'latitude': '40.669292850963', 'longitude': '-73.976308391816', 'human_address': '{""address"": ""314 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.6, ,C7-WALK-UP, ,, , ,,PARK SLOPE,33.66,98.1,7.45,10.23,183063.0,19.12,1920,16,PARK SLOPE,3010800041.0, ,391617
3-07579-0029,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3310 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.41, ,D1-ELEVATOR, ,, , ,,FLATBUSH-EAST,11.88,26.83,6.97,7.16,396077.0,11.38,1950,178,FLATBUSH-EAST,, ,2433941
3-07422-0040,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2939 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,9.62,D1-ELEVATOR,1929,"{'latitude': '40.592695469092', 'longitude': '-73.950057936405', 'human_address': '{""address"": ""2813 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.5,5.37,3-07422-0101,SHEEPSHEAD BAY,12.28,36.68,7.5,6.93,195507.0,12.28,1960,113,SHEEPSHEAD BAY,,25.18,1443094
3-01902-0022,"{'latitude': '40.692953760517', 'longitude': '-73.968733817438', 'human_address': '{""address"": ""165 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14, ,D3-ELEVATOR, ,, , ,,FORT GREENE,15.04,58.11,9.43,8.06,283257.0,16.26,1954,114,CLINTON HILL,3019020022.0, ,1584511
3-01164-0042,"{'latitude': '40.6769761128', 'longitude': '-73.970279360966', 'human_address': '{""address"": ""230 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,12.64,D1-ELEVATOR,1985,"{'latitude': '40.677405967411', 'longitude': '-73.967527140309', 'human_address': '{""address"": ""269 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,7.11,3-01152-0078,PROSPECT HEIGHTS,15.68,44.35,7.62,6.71,215605.0,14.57,1937,82,PROSPECT HEIGHTS,3011640042.0,37.05,1456913
3-00212-0001,"{'latitude': '40.69970465811', 'longitude': '-73.989823072825', 'human_address': '{""address"": ""140 CADMAN PLAZA"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.49,13.5,D9-ELEVATOR,1975,"{'latitude': '40.705035857796', 'longitude': '-73.966460893803', 'human_address': '{""address"": ""555 WYTHE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.53,7.37,3-02186-0001,WILLIAMSBURG-SOUTH,22.07,41.15,6.98,8.9,381614.0,14.06,1967,101,BROOKLYN HEIGHTS,,40.56,1601357
3-05357-0030,"{'latitude': '40.642039868039', 'longitude': '-73.974168121845', 'human_address': '{""address"": ""300 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,9.78,D1-ELEVATOR,1937,"{'latitude': '40.639370629781', 'longitude': '-73.973651251162', 'human_address': '{""address"": ""390 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,5.62,3-05374-0034,OCEAN PARKWAY-NORTH,8.61,26.47,5.87,4.32,247810.0,9.78,1941,48,OCEAN PARKWAY-NORTH,3053570030.0,24.62,452189
3-05268-0002,"{'latitude': '40.654565837348', 'longitude': '-73.976265416205', 'human_address': '{""address"": ""166 SEELEY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.44, ,D1-ELEVATOR, ,, , ,, ,13.3,,,7.7,,13.3,1938,83,WINDSOR TERRACE,3052680002.0, ,1020724
3-00235-0028,"{'latitude': '40.697783609831', 'longitude': '-73.99558124181', 'human_address': '{""address"": ""115 WILLOW STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,18.63,77.32,7.87,7.87,107298.0,18.0,1927,41,BROOKLYN HEIGHTS,3002350028.0, ,748577
3-00919-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""4015 7 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.18, ,C1-WALK-UP, ,, , ,,SUNSET PARK,16.37,64.09,5.51,8.24,123108.0,15.62,1916,47,SUNSET PARK,3009190001.0, ,511260
3-00264-0017,"{'latitude': '40.692638677843', 'longitude': '-73.993244194961', 'human_address': '{""address"": ""130 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.08, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,18.32,77.32,7.87,8.88,107298.0,16.93,1926,43,BROOKLYN HEIGHTS,3002640017.0, ,1158493
3-08771-0135,"{'latitude': '40.583355797324', 'longitude': '-73.952216786787', 'human_address': '{""address"": ""1625 EMMONS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.29,14.3,D1-ELEVATOR,1955,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3255 SHORE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.29,7.72,3-07458-0036,SHEEPSHEAD BAY,15.55,55.42,6.74,7.94,847262.0,14.78,1962,64,SHEEPSHEAD BAY,3087710135.0,45.59,950461
3-05162-0046,"{'latitude': '40.64098846809', 'longitude': '-73.960486844855', 'human_address': '{""address"": ""1901 DORCHESTER ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.72, ,D1-ELEVATOR, ,, , ,,FLATBUSH-CENTRAL,14.54,54.17,4.62,7.32,307169.0,12.78,1956,59,FLATBUSH-CENTRAL,3051620046.0, ,689416
3-00258-0106,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""65 ATLANTIC AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.36,32.72,C1-WALK-UP,1840,"{'latitude': '40.698523237732', 'longitude': '-73.994332858287', 'human_address': '{""address"": ""104 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.47,11.76,3-00230-0011,BROOKLYN HEIGHTS,26.13,154.45,10.33,9.66,131174.0,23.35,1900,14,BROOKLYN HEIGHTS,3002580106.0,155.85,187723
3-05337-0076,"{'latitude': '40.643089844098', 'longitude': '-73.976244757666', 'human_address': '{""address"": ""415 BEVERLY ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2, ,D1-ELEVATOR, ,, , ,, ,13.11,,,6.99,,13.11,1963,58,KENSINGTON,3053370076.0, ,668689
3-01261-0055,"{'latitude': '40.670215324554', 'longitude': '-73.952664365787', 'human_address': '{""address"": ""469 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,12.8,C1-WALK-UP,1920,"{'latitude': '40.670183802988', 'longitude': '-73.952044909129', 'human_address': '{""address"": ""489 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0,7.8,3-01261-0048,CROWN HEIGHTS,11.16,25.11,6.32,6.89,66850.0,11.54,1915,16,CROWN HEIGHTS,3012610055.0,25.31,171484
3-06126-0052,"{'latitude': '40.614802965368', 'longitude': '-74.034167114439', 'human_address': '{""address"": ""325 MARINE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.06,13.35,C7-WALK-UP,1926,"{'latitude': '40.613940146872', 'longitude': '-74.032561716', 'human_address': '{""address"": ""402 MARINE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.13,6.7,3-06131-0024,BAY RIDGE,10.53,29.94,5.97,6.11,72782.0,9.66,1926,43,BAY RIDGE,3061260052.0,44.07,377859
3-05241-0031,"{'latitude': '40.635302054071', 'longitude': '-73.958154328978', 'human_address': '{""address"": ""1111 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.07,12.55,D1-ELEVATOR,1968,"{'latitude': '40.633684572562', 'longitude': '-73.957996642804', 'human_address': '{""address"": ""1176 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.07,7.27,3-05240-0011,FLATBUSH-CENTRAL,10.19,30.4,6.98,6.45,472924.0,4.73,1954,96,FLATBUSH-CENTRAL,3052410031.0,30.51,1153386
3-00918-0036,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""4002 7 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14, ,C7-WALK-UP, ,, , ,,SUNSET PARK,18.2,57.0,7.4,9.54,115041.0,16.39,1925,14,SUNSET PARK,3009180036.0, ,181963
3-00757-0039,"{'latitude': '40.645948773651', 'longitude': '-74.005903776811', 'human_address': '{""address"": ""4612 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.27, ,C1-WALK-UP, ,, , ,,SUNSET PARK,16.1,57.36,7.07,8.18,78976.0,16.05,1928,12,SUNSET PARK,3007570039.0, ,96578
3-01106-0021,"{'latitude': '40.700713516908', 'longitude': '-73.989886078466', 'human_address': '{""address"": ""16 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14,17.81,C1-WALK-UP,1920,"{'latitude': '40.70056399743', 'longitude': '-73.984842947381', 'human_address': '{""address"": ""196 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,3.63,3-01105-0036,PARK SLOPE SOUTH,20.45,132.22,6.76,8.22,215573.0,20.45,1920,20,WINDSOR TERRACE,3011170001.0,61.64,310764
3-02787-0019,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""654 GRAND STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.55,9.19,C1-WALK-UP,1997,"{'latitude': '40.69014315771', 'longitude': '-73.942330928654', 'human_address': '{""address"": ""383 THROOP AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.48,4.48,3-01796-0001,WILLIAMSBURG-EAST,8.78,21.42,7.21,5.67,34781.0,9.19,1920,12,WILLIAMSBURG-EAST,3027870019.0,28.04,105128
3-01072-0040,"{'latitude': '40.700755302145', 'longitude': '-73.989732013112', 'human_address': '{""address"": ""27 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.19,21.97,D1-ELEVATOR,1920,"{'latitude': '40.700610222719', 'longitude': '-73.987290136408', 'human_address': '{""address"": ""78 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.24,7.73,3-01081-0043,PARK SLOPE,11.47,53.26,9.29,6.47,288903.0,16.65,1928,36,PARK SLOPE,3011170001.0,104.27,371490
3-06795-0015,"{'latitude': '40.604659990445', 'longitude': '-73.985785843941', 'human_address': '{""address"": ""1720 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,D1-ELEVATOR, ,, , ,,MADISON,12.39,35.53,7.46,6.93,563870.0,12.59,1959,65,MADISON,, ,867221
3-07381-0006,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2020 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17, ,D1-ELEVATOR, ,, , ,,SHEEPSHEAD BAY,14.32,35.72,8.11,7.83,310594.0,13.92,1961,67,SHEEPSHEAD BAY,, ,797419
3-08819-0011,"{'latitude': '40.601696062653', 'longitude': '-73.932500404756', 'human_address': '{""address"": ""2220 BURNETT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.76,13.43,D1-ELEVATOR,1949,"{'latitude': '40.59216247823', 'longitude': '-73.949955874325', 'human_address': '{""address"": ""2835 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.1,7.51,3-07422-0146,MADISON,15.6,45.97,7.92,8.05,425752.0,14.57,1952,83,MARINE PARK,3088190011.0,39.19,1170238
3-03097-0011,"{'latitude': '40.704482124965', 'longitude': '-73.942200471866', 'human_address': '{""address"": ""108 SEIGEL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.3, ,C1-WALK-UP, ,, , ,,WILLIAMSBURG-EAST,23.34,76.65,8.6,9.27,138926.0,17.45,1958,39,WILLIAMSBURG-EAST,3030970011.0, ,402332
3-07380-0024,"{'latitude': '40.59619098492', 'longitude': '-73.950906783377', 'human_address': '{""address"": ""2678 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.07,9.83,D1-ELEVATOR,1933,"{'latitude': '40.600235763089', 'longitude': '-73.953793045586', 'human_address': '{""address"": ""2050 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.35,5.31,3-07322-0027,SHEEPSHEAD BAY,8.0,24.81,6.28,4.22,160008.0,9.83,1963,77,SHEEPSHEAD BAY,3073800024.0,25.22,633339
3-06494-0051,"{'latitude': '40.62992320214', 'longitude': '-73.971248160371', 'human_address': '{""address"": ""763 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,10.54,D1-ELEVATOR,1938,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""800 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,5.74,3-06511-0001,OCEAN PARKWAY-NORTH,13.47,32.0,6.49,7.33,380056.0,10.54,1937,60,OCEAN PARKWAY-NORTH,3064940051.0,27.29,841459
3-01777-0015,"{'latitude': '40.693204675912', 'longitude': '-73.94171156903', 'human_address': '{""address"": ""250 PULASKI STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.4, ,D1-ELEVATOR, ,, , ,,BEDFORD STUYVESANT,17.55,12.04,4.24,9.66,1028020.0,12.66,1975,84,BEDFORD STUYVESANT,3017770015.0, ,1261861
3-01952-0033,"{'latitude': '40.688080665598', 'longitude': '-73.960192687833', 'human_address': '{""address"": ""110 CLIFTON PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.38, ,D1-ELEVATOR, ,, , ,,CLINTON HILL,14.94,111.31,8.25,7.13,546753.0,14.49,1922,62,CLINTON HILL,3019520033.0, ,706875
3-07109-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""602 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,10.42,D1-ELEVATOR,1938,"{'latitude': '40.603601477319', 'longitude': '-73.966882440011', 'human_address': '{""address"": ""1850 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.34,4.5,3-06681-0440,MADISON,10.3,30.83,6.91,3.93,457516.0,10.51,1938,60,OCEAN PARKWAY-SOUTH,,26.37,735488
3-05358-0063,"{'latitude': '40.641659545529', 'longitude': '-73.97347087335', 'human_address': '{""address"": ""315 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,13.11,D1-ELEVATOR,1960,"{'latitude': '40.67085553875', 'longitude': '-73.988072500187', 'human_address': '{""address"": ""214 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,6.95,3-05340-0022,OCEAN PARKWAY-NORTH,11.81,26.47,5.87,6.49,247810.0,11.64,1961,60,OCEAN PARKWAY-NORTH,3053580063.0,37.48,736913
3-02430-0019,"{'latitude': '40.712561151665', 'longitude': '-73.962579274322', 'human_address': '{""address"": ""344 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,7.46,C1-WALK-UP,1920,"{'latitude': '40.70904276216', 'longitude': '-73.940322358309', 'human_address': '{""address"": ""214 SCHOLES STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.21,3.82,3-03045-0015,WILLIAMSBURG-EAST,12.96,30.94,6.13,6.05,43809.0,11.15,1910,36,WILLIAMSBURG-SOUTH,,21.58,404352
3-06138-9001,"{'latitude': '40.61227060517', 'longitude': '-74.034106535728', 'human_address': '{""address"": ""10031 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.33,16.14,D1-ELEVATOR,1963,"{'latitude': '40.61638760288', 'longitude': '-74.036565830107', 'human_address': '{""address"": ""125 96 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.38,7.75,3-06120-0046,BAY RIDGE,20.32,70.42,9.06,9.14,470400.0,20.32,1985,50,BAY RIDGE,3061380001.0,46.87,822960
3-05338-0070,"{'latitude': '40.644353791076', 'longitude': '-73.974606738743', 'human_address': '{""address"": ""230 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.31, ,D1-ELEVATOR, ,, , ,,KENSINGTON,11.44,37.48,6.95,4.65,456125.0,12.28,1926,62,KENSINGTON,3053380070.0, ,670284
3-00965-0038,"{'latitude': '40.673285081549', 'longitude': '-73.979593436383', 'human_address': '{""address"": ""264 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.31,16.47,D1-ELEVATOR,1920,"{'latitude': '40.700642038029', 'longitude': '-73.987868812094', 'human_address': '{""address"": ""70 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.45,7.15,3-01079-0040,PARK SLOPE,16.65,76.52,9.26,9.29,377704.0,14.04,1921,47,PARK SLOPE,3009650038.0,67.45,653750
3-00232-0001,"{'latitude': '40.697469943764', 'longitude': '-73.992971815924', 'human_address': '{""address"": ""79 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,43.28,D7-ELEVATOR,1999,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""182 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.27,12.71,3-00250-0030,BROOKLYN HEIGHTS,18.44,98.97,9.06,13.33,1473131.0,18.44,1971,191,BROOKLYN HEIGHTS,3002320001.0,230.35,2896321
3-06933-0046,"{'latitude': '40.581338573306', 'longitude': '-73.985731991852', 'human_address': '{""address"": ""2606 CROPSEY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.88, ,C1-WALK-UP, ,, , ,,GRAVESEND,15.21,31.84,5.62,7.75,69693.0,14.45,1975,12,GRAVESEND,3069330046.0, ,131354
3-01171-0019,"{'latitude': '40.673100442771', 'longitude': '-73.971175192491', 'human_address': '{""address"": ""60 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.21, ,D1-ELEVATOR, ,, , ,,PROSPECT HEIGHTS,15.68,26.61,6.42,6.71,218840.0,13.42,1940,82,PROSPECT HEIGHTS,3011710019.0, ,1456913
3-05240-0025,"{'latitude': '40.634330553311', 'longitude': '-73.958114581198', 'human_address': '{""address"": ""1150 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16,11.73,D1-ELEVATOR,1964,"{'latitude': '40.633843683499', 'longitude': '-73.957811078397', 'human_address': '{""address"": ""1169 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.07,6.98,3-05241-0018,FLATBUSH-CENTRAL,10.88,23.31,6.45,7.05,423323.0,6.34,1931,71,FLATBUSH-CENTRAL,3052400025.0,30.4,818293
3-00918-0044,"{'latitude': '40.647881008116', 'longitude': '-74.001252341897', 'human_address': '{""address"": ""673 41 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14, ,C7-WALK-UP, ,, , ,,SUNSET PARK,18.2,57.0,7.4,9.54,115041.0,16.39,1924,14,SUNSET PARK,, ,181963
3-00231-0030,"{'latitude': '40.698371498488', 'longitude': '-73.993813628665', 'human_address': '{""address"": ""60 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.12,18.63,D1-ELEVATOR,1923,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""63 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.22,7.87,3-00241-0011,BROOKLYN HEIGHTS,15.79,39.98,7.85,8.33,104327.0,15.54,1899,48,BROOKLYN HEIGHTS,3002310030.0,77.32,744258
3-00385-0060,"{'latitude': '40.68576076322', 'longitude': '-73.98999898871', 'human_address': '{""address"": ""95 WYCKOFF STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,22.17,C1-WALK-UP,1931,"{'latitude': '40.683119895232', 'longitude': '-73.98124650338', 'human_address': '{""address"": ""322 BERGEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.5,10.1,3-00389-0013,BOERUM HILL,19.33,90.36,11.44,7.84,136508.0,22.17,1931,14,BOERUM HILL,3003850060.0,88.33,162348
3-00238-0035,"{'latitude': '40.696100473904', 'longitude': '-73.991588611593', 'human_address': '{""address"": ""10 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.13, ,D7-ELEVATOR, ,, , ,,WILLIAMSBURG-CENTRAL,18.44,40.56,7.37,13.33,4584756.0,15.78,1971,191,BROOKLYN HEIGHTS,3002380035.0, ,2896321
3-02431-0005,"{'latitude': '40.712241498277', 'longitude': '-73.962716175382', 'human_address': '{""address"": ""341 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1,7.46,C1-WALK-UP,1920,"{'latitude': '40.70904276216', 'longitude': '-73.940322358309', 'human_address': '{""address"": ""214 SCHOLES STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.12,3.82,3-03045-0015,WILLIAMSBURG-EAST,12.96,30.94,6.13,6.05,43809.0,11.15,1913,36,WILLIAMSBURG-SOUTH,3024310005.0,21.58,404352
3-05147-0004,"{'latitude': '40.644402970818', 'longitude': '-73.963890872151', 'human_address': '{""address"": ""1616 BEVERLY ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.18,10.14,D1-ELEVATOR,1931,"{'latitude': '40.602971913709', 'longitude': '-74.006197338912', 'human_address': '{""address"": ""200 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,6.21,3-05149-0008,FLATBUSH-CENTRAL,12.08,24.68,6.5,7.67,180948.0,9.08,1935,47,FLATBUSH-CENTRAL,3051470004.0,24.54,573167
