brooklyn_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_estimated_gross_income,brooklyn_cooperatives_comparable_properties_full_market_value,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_2_estimated_expense,census_tract,comparable_rental_2_building_classification,comparable_rental_2_gross_sqft,comparable_rental_3_total_units,brooklyn_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_net_operating_income,community_board,comparable_rental_2_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,borough,comparable_rental_2_full_market_value,comparable_rental_1_year_built,comparable_rental_2_total_units,brooklyn_cooperatives_comparable_properties_total_units,brooklyn_cooperatives_comparable_properties_gross_sqft
3-05257-0045,927400.0,1430000,"201,105","46,576",44.73,421755.0,177.0,D1-ELEVATOR,67500.0,54,632731,0.3,373760,55.0,13.74,14.61,3,3337000.0,1935,63.0,87,97884
3-05853-0001,1179282.0,5320000, , ,43.79,621071.0,70.0,D1-ELEVATOR,89628.0, ,1611136,0.41,127448,10.0,13.16,44.11,3,3421000.0,1928,84.0,108,120594
3-05889-0003,719307.0,7695000, , ,56.05,399964.0,36.0,D1-ELEVATOR,50400.0, ,2096069,0.2,220572,10.0,14.27,54.04,3,2213000.0,1961,59.0,119,142396
3-00235-0044,500969.0,2137000, , ,110.65,230440.0,301.0,D9-ELEVATOR,24528.0, ,497770,0.12,734254,2.0,20.42,93.93,3,1932000.0,1920,19.0,40,22750
3-06614-0017,683775.0,4022000,"798,718","109,200",31.12,328623.0,,D1-ELEVATOR,55000.0,123,1223323,0.15,605711,,12.43,40.87,3,1738000.0,1940,60.0,91,98417
3-05998-0001,444600.0,3353000,"572,620","68,088",60.16,213513.0,138.0,D7-ELEVATOR,23750.0,75,943132,0.21,640640,10.0,18.72,66.55,3,1661000.0,1925,41.0,66,50381
3-02398-0015,257246.0,1143000,"188,666","31,200",51.85,94562.0,513.0,C1-WALK-UP,18061.0,36,260848,0.35,204120,1.0,14.24,62.4,3,1128000.0,1913,20.0,28,18318
3-07584-0035,374723.0,7165000, , ,23.62,186142.0,762.0,D1-ELEVATOR,42000.0, ,2297809,0.28,354342,14.0,8.92,29.34,3,1009000.0,1922,35.0,189,244188
3-00942-0058,394036.0,1765000,"622,975","92,902",53.26,183642.0,161.0,D1-ELEVATOR,24000.0,82,456476,0.57,288903,6.0,16.42,63.49,3,1452000.0,1920,36.0,19,27800
3-01075-0039,252911.0,4132000, , ,53.26,132706.0,177.0,D7-ELEVATOR,13021.0, ,1095822,0.49,288903,55.0,19.42,68.02,3,862000.0,1920,23.0,55,60744
3-07656-0042,1148198.0,3771000, , ,56.16,569159.0,758.0,D1-ELEVATOR,81720.0, ,1001591,0.12,219336,14.0,14.05,53.2,3,3808000.0,1931,88.0,92,70884
3-07682-0016,1056385.0,2295000, , ,26.77,636228.0,756.0,D1-ELEVATOR,104348.0, ,711985,0.31,483593,14.0,10.12,35.04,3,2621000.0,1937,96.0,84,65500
3-03060-0075,277459.0,16739000, , ,35.46,170514.0,505.0,D1-ELEVATOR,25520.0, ,5618790,0.86,735489,1.0,10.87,37.45,3,662000.0,1974,29.0,387,447000
3-00231-0030,239136.0,5017000,"78,480","9,972",51.02,134809.0,501.0,D1-ELEVATOR,17184.0,12,1778475,0.15,351765,2.0,13.92,43.84,3,687000.0,1924,12.0,74,114445
3-06316-0006,701111.0,1760000,"303,646","46,200",30.65,362799.0,284.0,D1-ELEVATOR,54600.0,53,493365,0.18,249984,11.0,12.84,32.59,3,2057000.0,1938,59.0,60,54000
3-07681-0010,619530.0,4368000, , ,46.2,319727.0,756.0,D1-ELEVATOR,54000.0, ,1090112,0.23,323077,14.0,11.47,51.29,3,1749000.0,1963,47.0,108,85165
3-06779-0004,483361.0,3199000,"265,726","53,500",25.1,240562.0,,D1-ELEVATOR,54300.0,54,1068000,0.14,219308,,8.9,26.66,3,1298000.0,1931,55.0,100,120000
3-01296-0064,1363947.0,1705000,"655,610","99,822",26.04,886566.0,321.0,D1-ELEVATOR,127950.0,94,1126496,1.05,612295,9.0,10.66,16.13,3,2962000.0,1927,124.0,102,105675
3-06935-0001,1877111.0,12246000,"455,402","58,535",51.5,939160.0,314.0,D7-ELEVATOR,120870.0,69,2931567,0.49,670860,13.0,15.53,64.87,3,6425000.0,1964,126.0,161,188768
3-05218-0026,626949.0,1009000,"529,990","75,221",26.23,406249.0,518.0,D1-ELEVATOR,57624.0,71,424310,0.06,256825,14.0,10.88,16.74,3,1364000.0,1931,61.0,54,60282
3-00236-0078,500969.0,1719000, , ,110.65,230440.0,501.0,D9-ELEVATOR,24528.0, ,400404,0.11,734254,2.0,20.42,93.93,3,1932000.0,1920,19.0,24,18300
3-05929-0058,410168.0,1768000,"319,795","50,400",69.94,189596.0,66.0,D1-ELEVATOR,27048.0,49,534845,0.0,231087,10.0,15.16,50.11,3,1516000.0,1921,43.0,59,35280
3-06299-0043,701111.0,3257000,"294,240","48,000",29.62,362799.0,290.0,D1-ELEVATOR,54600.0,48,1010303,0.15,403104,11.0,12.84,41.39,3,2057000.0,1927,59.0,88,78684
3-01152-0071,204237.0,2074000, , ,106.04,82879.0,205.0,C1-WALK-UP,8580.0, ,452320,0.0,248655,8.0,23.8,106.01,3,884000.0,1931,12.0,23,19564
3-06836-0064,1372557.0,4817000, , ,24.12,888964.0,564.0,D1-ELEVATOR,113820.0, ,1222180,0.52,435380,15.0,12.06,41.78,3,3047000.0,1931,107.0,108,115300
3-07441-0231,740963.0,2025000,"237,359","37,800",25.18,341055.0,,D1-ELEVATOR,61000.0,42,576484,0.16,237652,,12.15,38.67,3,1947000.0,1929,69.0,63,52360
3-05156-0048,2140328.0,3333000,"1,236,817","176,680",40.45,1090959.0,520.0,D1-ELEVATOR,153424.0,138,885283,0.05,472322,14.0,13.95,30.2,3,6909000.0,1959,138.0,114,110377
3-05154-0035,315693.0,785000,"117,472","13,925",33.58,151578.0,526.0,C1-WALK-UP,22752.0,25,229020,0.16,99553,14.0,13.88,47.58,3,1081000.0,1910,31.0,28,16500
3-01166-0001,156975.0,671000,"103,509","8,678",106.04,25688.0,207.0,C7-WALK-UP,8372.0,16,196560,0.06,248655,8.0,18.75,76.81,3,1491000.0,1931,8.0,15,8736
3-05197-0040,2159681.0,2904000,"533,741","86,319",26.32,1236817.0,526.0,D1-ELEVATOR,176680.0,84,1392246,0.31,931990,14.0,12.22,13.08,3,5753000.0,1964,138.0,192,222000
3-00242-0012,1261698.0,3534000, , ,101.0,662715.0,501.0,D3-ELEVATOR,54640.0, ,924426,0.1,444733,2.0,23.09,91.18,3,4356000.0,1902,59.0,26,38760
3-05339-0061,668689.0,1089000,"405,225","62,400",37.48,356587.0,494.0,D1-ELEVATOR,51000.0,60,495598,0.06,456125,12.0,13.11,17.59,3,1837000.0,1960,58.0,75,61920
3-06532-0057,1080904.0,1923000,"191,826","37,941",37.02,611422.0,452.0,D1-ELEVATOR,108000.0,36,708708,0.41,771065,12.0,10.01,27.16,3,2695000.0,1942,96.0,65,70800
3-01064-0018,653750.0,4731000,"478,674","52,140",80.82,364847.0,159.0,D1-ELEVATOR,39261.0,72,1256450,0.35,854135,6.0,16.65,72.78,3,2091000.0,1926,47.0,38,65000
3-00235-0020,748577.0,7071000,"78,480","9,972",88.04,316121.0,301.0,D1-ELEVATOR,40178.0,12,1703080,0.1,309980,2.0,18.63,77.35,3,3109000.0,1925,41.0,112,91416
3-01249-0007,737966.0,1685000, , ,22.21,459849.0,339.0,D7-ELEVATOR,95671.0, ,771164,0.29,620791,8.0,7.71,18.18,3,1645000.0,1905,84.0,79,92688
3-05925-0053,1461596.0,5269000, , ,42.55,647031.0,38.0,D1-ELEVATOR,92224.0, ,1454899,0.59,879434,10.0,15.85,53.6,3,5567000.0,1955,118.0,73,98304
3-05453-0018,797712.0,2178000,"417,330","71,288",31.74,427352.0,236.0,D1-ELEVATOR,71860.0,66,771862,0.3,343440,12.0,11.1,30.76,3,1903000.0,1939,82.0,64,70800
3-07182-0046,607314.0,2587000,"403,654","67,620",42.89,280614.0,390.0,D1-ELEVATOR,43974.0,74,729168,0.24,397121,15.0,13.81,49.0,3,2154000.0,1958,45.0,63,52800
3-00247-0027,371988.0,1033000,"111,167","14,608",161.23,122304.0,301.0,C1-WALK-UP,11160.0,17,265433,0.22,250286,2.0,33.33,87.91,3,1855000.0,1900,20.0,11,11750
3-06818-0074,867221.0,3149000, , ,33.0,485438.0,,D1-ELEVATOR,70000.0, ,1074600,0.17,454408,,12.39,34.99,3,2417000.0,1962,65.0,87,90000
3-00259-0047,276265.0,1749000, , ,122.22,91761.0,7.0,C1-WALK-UP,9504.0, ,391929,0.13,166167,2.0,29.07,125.6,3,1385000.0,1900,14.0,15,13925
3-00385-0060,262297.0,788000,"72,720","7,200",78.57,125789.0,69.0,C1-WALK-UP,11000.0,12,194697,0.51,96518,2.0,23.85,89.73,3,994000.0,1900,11.0,12,8782
3-05357-0005,706841.0,1485000, , ,25.63,381105.0,494.0,D1-ELEVATOR,72600.0, ,819031,0.33,225105,12.0,9.74,17.08,3,1771000.0,1929,72.0,77,86946
3-01165-0001,451795.0,1969000,"219,733","33,960",80.82,236190.0,207.0,D1-ELEVATOR,31000.0,36,597370,0.15,854135,8.0,14.57,48.02,3,1375000.0,1926,35.0,21,41000
3-06125-0001,622573.0,3369000,"401,811","60,822",33.89,318529.0,5601.0,D7-ELEVATOR,52020.0,48,710483,0.16,237260,10.0,11.97,64.61,3,1937000.0,1930,76.0,58,52140
3-08782-0007,1557995.0,6059000,"498,712","64,600",51.97,710733.0,600.0,D3-ELEVATOR,105440.0,76,1614833,0.0,552698,15.0,14.78,55.46,3,5844000.0,1961,112.0,105,109258
3-06480-0006,218916.0,1188000,"161,109","24,710",26.33,113830.0,168.0,C1-WALK-UP,16192.0,32,511226,0.52,190165,11.0,13.52,25.42,3,696000.0,1926,16.0,54,46730
3-00750-0005,488071.0,2246000,"75,804","11,000",63.11,232229.0,,C1-WALK-UP,32440.0,16,501150,0.15,215977,,15.05,62.39,3,1760000.0,1927,41.0,40,36000
3-04853-0028,940891.0,4410000,"403,226","94,667",29.48,403226.0,818.0,D1-ELEVATOR,94668.0,80,1235681,0.0,585842,17.0,9.94,35.47,3,3225000.0,1965,80.0,131,124314
