dbn,school_name,q3_i_feel_well_informed_by_1,q34_if_you_are_a_parent_1,q16_my_child_s_school_will_1,q20_the_principal_school,q5_staff_at_this_school_work,q24_how_satisfied_are_you_1,q43_if_you_are_a_parent,q37_if_you_are_a_parent,q17_at_this_school_my_child,q16_my_child_s_school_will,q26_how_satisfied_are_you_1,q25_how_satisfied_are_you_1,q17_at_this_school_my_child_1,q21_since_the_beginning_of_1,q35_if_you_are_a_parent,q40_if_you_are_a_parent,q38_if_you_are_a_parent,q43_if_you_are_a_parent_1,q22_since_the_beginning_of_1,q29_during_the_school_year,q39_if_you_are_a_parent_1,q30_during_the_school_year,q2_teachers_work_closely_1,q14_the_principal_school,q3_i_feel_well_informed_by,q7_my_child_s_school_1,q38_if_you_are_a_parent_1,q33_if_you_are_a_parent,q5_staff_at_this_school_work_1,q12_the_principal_school_1,q12_the_principal_school,q13_my_child_s_teachers_think_1,q31_which_of_the_following_1,total_parent_response_rate,q9_my_child_s_race_ethnicity,q31_which_of_the_following
18K268,P.S. 268 Emma Lazarus,7%,0%,0%,100%,98%,4%,,81%,95%,100%,2%,9%,5%,8%,0%,,76%,,10%,75%,,84%,7%,100%,93%,0%,24%,91%,2%,4%,96%,2%,,0.22,100%,
08X048,P.S. 048 Joseph R. Drake,12%,0%,4%,91%,93%,4%,100%,94%,99%,96%,7%,10%,1%,7%,0%,100%,100%,0%,7%,75%,0%,82%,14%,91%,88%,1%,0%,95%,7%,10%,90%,3%,,0.13,93%,
10X032,P.S. 032 Belmont,7%,0%,0%,100%,93%,0%,,,100%,100%,0%,7%,0%,0%,0%,,,,0%,100%,,100%,14%,100%,93%,7%,,100%,7%,7%,93%,0%,,0.02,93%,
18K567,Brooklyn Theatre Arts High School,6%,2%,1%,99%,95%,1%,0%,100%,99%,99%,1%,7%,1%,4%,96%,0%,100%,0%,14%,31%,0%,49%,4%,99%,94%,0%,0%,0%,5%,4%,96%,0%,,0.56,99%,
07X025,P.S. 025 Bilingual School,8%,0%,7%,95%,94%,6%,85%,89%,95%,93%,4%,4%,5%,1%,0%,95%,82%,15%,2%,83%,5%,91%,6%,94%,92%,3%,18%,95%,6%,8%,92%,3%,,0.31,98%,
21K188,P.S. 188 Michael E. Berdy,4%,0%,12%,93%,93%,4%,,100%,89%,88%,2%,7%,11%,4%,0%,,91%,,2%,95%,,89%,4%,87%,96%,4%,9%,88%,7%,5%,95%,5%,,0.15,93%,
06M115,P.S. 115 Alexander Humboldt,6%,0%,3%,96%,95%,3%,88%,97%,96%,97%,3%,5%,4%,2%,0%,100%,93%,12%,2%,79%,0%,90%,5%,96%,94%,2%,7%,97%,5%,4%,96%,3%,,0.88,97%,
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,8%,0%,6%,96%,94%,3%,0%,91%,98%,94%,3%,7%,2%,7%,0%,0%,87%,0%,7%,76%,0%,92%,6%,91%,92%,3%,13%,96%,6%,8%,92%,4%,,0.81,98%,
02M420,High School For Health Professions And Human Services,13%,11%,14%,94%,84%,9%,0%,95%,95%,86%,10%,16%,5%,45%,89%,0%,84%,0%,18%,44%,0%,42%,20%,89%,87%,6%,16%,0%,16%,8%,92%,5%,,0.13,96%,
17K189,P.S. 189 The Bilingual Center,6%,0%,5%,96%,92%,5%,0%,95%,96%,95%,1%,5%,4%,3%,0%,0%,91%,0%,4%,96%,0%,94%,4%,96%,94%,4%,9%,94%,8%,4%,96%,3%,,0.12,96%,
19K663,School Of The Future Brooklyn,14%,0%,10%,88%,91%,10%,0%,91%,89%,90%,10%,10%,11%,10%,0%,0%,91%,0%,11%,53%,0%,70%,14%,85%,86%,9%,9%,0%,9%,15%,85%,10%,,0.77,86%,
03M191,The Riverside School For Makers And Artists,3%,0%,2%,99%,95%,2%,62%,99%,99%,98%,3%,7%,1%,2%,0%,83%,97%,38%,5%,72%,17%,98%,4%,98%,97%,1%,3%,96%,5%,1%,99%,2%,,0.41,99%,
10X546,Bronx Theatre High School,10%,8%,6%,97%,82%,6%,0%,,100%,94%,8%,8%,0%,28%,87%,0%,,0%,23%,51%,0%,56%,18%,90%,90%,0%,,0%,18%,3%,97%,3%,,0.15,97%,
04M825,Isaac Newton Middle School For Math & Science,1%,0%,5%,99%,97%,1%,0%,91%,97%,95%,2%,5%,3%,6%,0%,0%,96%,0%,9%,71%,0%,98%,3%,97%,99%,5%,4%,0%,3%,1%,99%,4%,,0.27,98%,
13K054,P.S. 054 Samuel C. Barnes,,0%,,,,,0%,,,,,,,,0%,0%,,0%,,,0%,,,,,,,,,,,,,0.01,,
16K627,Brighter Choice Community School,4%,0%,2%,100%,99%,0%,75%,100%,99%,98%,2%,4%,1%,5%,0%,88%,92%,25%,3%,81%,0%,98%,4%,99%,96%,2%,8%,98%,1%,1%,99%,0%,,0.39,100%,
10X003,P.S. 3 Raul Julia Micro Society,9%,0%,5%,98%,94%,1%,83%,90%,97%,95%,7%,13%,3%,5%,0%,83%,94%,17%,8%,67%,17%,84%,12%,95%,91%,5%,6%,95%,6%,3%,97%,7%,,0.53,97%,
17K249,P.S. 249 The Caton,4%,0%,5%,95%,93%,7%,86%,90%,98%,95%,3%,7%,2%,6%,0%,95%,86%,14%,5%,89%,0%,97%,6%,92%,96%,4%,14%,94%,7%,5%,95%,3%,,0.37,97%,
02M114,East Side Middle School,5%,0%,4%,98%,94%,4%,0%,91%,99%,96%,4%,6%,1%,17%,0%,0%,82%,0%,12%,91%,0%,97%,12%,96%,95%,2%,18%,0%,6%,1%,99%,7%,,0.23,98%,
02M294,Essex Street Academy,3%,4%,4%,100%,99%,0%,0%,85%,100%,96%,0%,3%,0%,19%,95%,0%,80%,0%,23%,88%,0%,91%,8%,97%,97%,0%,20%,0%,1%,0%,100%,3%,,0.2,96%,
11X532,Baychester Middle School,12%,0%,0%,100%,88%,0%,0%,,100%,100%,0%,0%,0%,25%,0%,0%,,0%,12%,75%,0%,88%,12%,100%,88%,0%,,0%,12%,12%,88%,0%,,0.03,100%,
08X301,M.S. 301 Paul L. Dunbar,1%,0%,1%,100%,99%,0%,0%,100%,100%,99%,1%,0%,0%,2%,0%,0%,100%,0%,2%,97%,0%,97%,1%,100%,99%,0%,0%,0%,1%,0%,100%,0%,,0.7,100%,
11X096,P.S. 096 Richard Rodgers,6%,0%,5%,94%,92%,4%,100%,91%,95%,95%,3%,9%,5%,3%,0%,100%,96%,0%,6%,77%,0%,91%,7%,94%,94%,6%,4%,93%,8%,6%,94%,4%,,0.36,94%,
18K566,Brooklyn Community High School For Excellence And Equity,6%,0%,7%,92%,87%,7%,0%,,100%,93%,7%,6%,0%,6%,94%,0%,,0%,6%,94%,0%,69%,12%,86%,94%,6%,,0%,13%,6%,94%,7%,,0.08,100%,
20K104,P.S./I.S. 104 The Fort Hamilton School,10%,0%,17%,90%,84%,9%,0%,100%,95%,83%,12%,26%,5%,17%,0%,0%,86%,0%,11%,81%,0%,91%,15%,89%,90%,4%,14%,90%,16%,7%,93%,6%,,0.08,92%,
02M313,"James Baldwin School, The: A School For Expeditionary Learning",0%,0%,0%,,100%,0%,0%,,100%,100%,0%,0%,0%,0%,100%,0%,,0%,17%,100%,0%,83%,0%,,100%,0%,,0%,0%,0%,100%,0%,,0.04,100%,
19K507,Performing Arts And Technology High School,6%,11%,7%,93%,92%,5%,0%,82%,93%,93%,5%,11%,7%,15%,86%,0%,82%,0%,22%,63%,0%,63%,13%,93%,94%,6%,18%,0%,8%,7%,93%,7%,,0.55,93%,
03M333,P.S. 333 Manhattan School For Children,19%,0%,22%,73%,78%,21%,0%,75%,93%,78%,11%,27%,7%,11%,0%,0%,74%,0%,15%,93%,0%,96%,16%,55%,81%,7%,26%,76%,22%,45%,55%,11%,,0.33,82%,
02M280,Manhattan Early College School For Advertising,29%,14%,0%,100%,86%,14%,0%,,100%,100%,8%,21%,0%,21%,79%,0%,,0%,29%,100%,0%,93%,29%,100%,71%,0%,,0%,14%,0%,100%,9%,,0.03,100%,
05M517,Teachers College Community School,10%,0%,11%,85%,90%,11%,,100%,96%,89%,4%,14%,4%,3%,0%,,75%,,3%,93%,,93%,14%,82%,90%,0%,25%,92%,10%,3%,97%,7%,,0.08,97%,
11X103,P.S. 103 Hector Fontanez,4%,0%,3%,97%,95%,3%,90%,94%,96%,97%,2%,5%,4%,4%,0%,100%,91%,10%,5%,82%,0%,92%,5%,96%,96%,2%,9%,94%,5%,3%,97%,4%,,0.48,97%,
15K698,South Brooklyn Community High School,3%,3%,3%,97%,100%,0%,0%,100%,97%,97%,0%,0%,3%,6%,100%,0%,100%,0%,9%,76%,0%,68%,3%,94%,97%,0%,0%,0%,0%,0%,100%,0%,,0.19,100%,
03M492,"High School For Law, Advocacy And Community Justice",8%,8%,10%,90%,92%,8%,0%,,100%,90%,8%,17%,0%,38%,85%,0%,,0%,0%,62%,0%,69%,8%,78%,92%,0%,,0%,8%,25%,75%,0%,,0.04,92%,
12X521,The Metropolitan Soundview High School,12%,2%,9%,97%,84%,3%,0%,90%,100%,91%,2%,7%,0%,22%,93%,0%,90%,0%,27%,52%,0%,45%,16%,90%,88%,0%,10%,0%,16%,0%,100%,8%,,0.1,100%,
15K519,Cobble Hill School Of American Studies,10%,0%,10%,90%,90%,10%,0%,,94%,90%,5%,15%,6%,19%,100%,0%,,0%,29%,71%,0%,71%,10%,90%,90%,5%,,0%,10%,14%,86%,10%,,0.05,100%,
09X070,P.S. 070 Max Schoenfeld,4%,0%,3%,99%,96%,2%,100%,98%,98%,97%,1%,4%,2%,7%,0%,100%,95%,0%,5%,71%,0%,84%,5%,98%,96%,4%,5%,98%,4%,2%,98%,3%,,0.28,97%,
12X316,Kappa Iii,7%,0%,5%,96%,91%,4%,0%,100%,95%,95%,3%,3%,5%,11%,0%,0%,97%,0%,15%,72%,0%,80%,10%,91%,93%,4%,3%,0%,9%,6%,94%,7%,,0.39,96%,
07X223,The Laboratory School Of Finance And Technology: X223,13%,6%,17%,97%,90%,8%,0%,86%,100%,83%,8%,9%,0%,25%,100%,0%,83%,0%,19%,69%,0%,84%,25%,90%,87%,1%,17%,0%,10%,5%,95%,18%,,0.1,94%,
13K008,P.S. 008 Robert Fulton,11%,0%,11%,90%,86%,7%,0%,100%,99%,89%,11%,16%,1%,15%,0%,0%,100%,0%,20%,91%,0%,97%,15%,87%,89%,3%,0%,99%,14%,7%,93%,13%,,0.13,93%,
10X023,P.S. 023 The New Children'S School,11%,0%,11%,88%,89%,5%,75%,100%,98%,89%,5%,7%,2%,4%,0%,88%,96%,25%,7%,70%,12%,100%,7%,85%,89%,2%,4%,94%,11%,18%,82%,2%,,0.11,91%,
07X500,Hostos-Lincoln Academy Of Science,18%,6%,12%,92%,86%,8%,0%,,93%,88%,15%,25%,7%,27%,91%,0%,,0%,26%,69%,0%,57%,18%,87%,82%,10%,,0%,14%,12%,88%,17%,,0.09,94%,
12X242,Mott Hall V,1%,2%,3%,98%,94%,1%,0%,90%,99%,97%,1%,4%,1%,14%,96%,0%,93%,0%,11%,82%,0%,85%,6%,98%,99%,1%,7%,0%,6%,1%,99%,10%,,0.16,99%,
02M002,P.S. 002 Meyer London,0%,0%,2%,100%,99%,1%,62%,100%,98%,98%,1%,3%,2%,12%,0%,100%,96%,38%,6%,83%,0%,95%,1%,99%,100%,0%,4%,98%,1%,0%,100%,0%,,0.27,100%,
02M198,P.S. 198 Isador E. Ida Straus,5%,0%,11%,95%,93%,9%,80%,90%,94%,89%,9%,13%,6%,5%,0%,80%,90%,20%,12%,96%,0%,97%,11%,95%,95%,7%,10%,96%,7%,5%,95%,5%,,0.13,95%,
15K896,The School Of Creativity And Innovation,5%,0%,4%,95%,98%,0%,58%,95%,99%,96%,1%,9%,1%,7%,0%,100%,95%,42%,7%,80%,8%,94%,2%,100%,95%,2%,5%,97%,2%,4%,96%,2%,,0.82,98%,
17K547,Brooklyn Academy Of Science And The Environment,7%,5%,10%,96%,92%,7%,0%,89%,95%,90%,7%,11%,5%,18%,89%,0%,89%,0%,12%,86%,0%,76%,17%,90%,93%,1%,11%,0%,8%,8%,92%,10%,,0.24,96%,
07X001,P.S. 001 Courtlandt School,8%,0%,0%,100%,92%,4%,,100%,95%,100%,0%,4%,5%,4%,0%,,100%,,0%,67%,,83%,0%,95%,92%,4%,0%,89%,8%,4%,96%,0%,,0.04,100%,
03M417,Frank Mccourt High School,6%,8%,4%,98%,93%,6%,0%,94%,97%,96%,5%,13%,3%,22%,91%,0%,94%,0%,22%,84%,0%,95%,15%,96%,94%,1%,6%,0%,7%,4%,96%,5%,,0.33,98%,
19K218,J.H.S. 218 James P. Sinnott,18%,0%,11%,90%,85%,10%,0%,87%,93%,89%,9%,13%,7%,19%,0%,0%,80%,0%,14%,54%,0%,77%,16%,90%,82%,11%,20%,0%,15%,12%,88%,15%,,0.37,89%,
05M030,P.S. 030 Hernandez/Hughes,6%,0%,2%,100%,98%,0%,100%,100%,98%,98%,2%,6%,2%,4%,0%,100%,91%,0%,4%,69%,0%,88%,4%,98%,94%,0%,9%,90%,2%,0%,100%,4%,,0.25,98%,
08X405,Herbert H. Lehman High School,10%,11%,8%,91%,88%,8%,0%,89%,95%,92%,6%,14%,5%,12%,86%,0%,89%,0%,20%,64%,0%,68%,12%,87%,90%,3%,11%,0%,12%,8%,92%,11%,,0.09,93%,
02M397,Spruce Street School,11%,0%,4%,87%,95%,4%,,89%,98%,96%,4%,19%,2%,17%,0%,,85%,,22%,80%,,96%,19%,87%,89%,2%,15%,94%,5%,8%,92%,6%,,0.36,94%,
10X524,Crotona International High School,0%,1%,0%,100%,100%,0%,0%,100%,100%,100%,0%,0%,0%,0%,99%,0%,100%,0%,0%,99%,0%,99%,0%,100%,100%,0%,0%,0%,0%,0%,100%,0%,,0.9,100%,
11X455,Harry S Truman High School,12%,12%,8%,94%,88%,8%,0%,91%,94%,92%,6%,11%,6%,27%,83%,0%,86%,0%,17%,45%,0%,61%,21%,93%,88%,6%,14%,0%,12%,4%,96%,6%,,0.04,94%,
03M075,P.S. 075 Emily Dickinson,14%,0%,4%,94%,95%,4%,0%,98%,97%,96%,4%,12%,3%,6%,0%,0%,95%,0%,10%,87%,0%,97%,9%,92%,86%,2%,5%,89%,5%,7%,93%,2%,,0.23,97%,
21K225,P.S. K225 - The Eileen E. Zaglin,11%,0%,10%,95%,88%,5%,0%,75%,95%,90%,12%,20%,5%,13%,0%,0%,75%,0%,12%,80%,0%,93%,14%,94%,89%,4%,25%,89%,12%,7%,93%,2%,,0.08,95%,
07X029,P.S./M.S. 029 Melrose School,6%,0%,4%,94%,93%,4%,67%,95%,92%,96%,4%,9%,8%,4%,0%,100%,91%,33%,8%,67%,0%,86%,6%,94%,94%,2%,9%,92%,7%,6%,94%,3%,,0.22,98%,
10X254,I.S. 254,14%,0%,7%,92%,83%,10%,0%,91%,96%,93%,7%,11%,4%,7%,0%,0%,91%,0%,21%,55%,0%,62%,14%,92%,86%,10%,9%,0%,17%,10%,90%,8%,,0.06,97%,
10X246,P.S. 246 Poe Center,7%,0%,6%,96%,94%,6%,0%,96%,96%,94%,1%,2%,4%,6%,0%,0%,96%,0%,6%,91%,0%,94%,6%,96%,93%,2%,4%,98%,6%,3%,97%,4%,,0.19,98%,
09X199,P.S. 199X - The Shakespeare School,4%,0%,2%,98%,96%,3%,87%,96%,99%,98%,5%,8%,1%,11%,0%,100%,91%,13%,15%,73%,0%,88%,8%,97%,96%,2%,9%,96%,4%,4%,96%,4%,,0.42,97%,
02M630,Art And Design High School,6%,6%,8%,97%,91%,6%,0%,89%,97%,92%,3%,10%,3%,14%,92%,0%,87%,0%,11%,76%,0%,76%,15%,95%,94%,3%,13%,0%,9%,3%,97%,6%,,0.3,97%,
03M149,P.S. 149 Sojourner Truth,8%,0%,8%,100%,92%,0%,0%,,75%,92%,0%,0%,25%,15%,0%,0%,,0%,8%,92%,0%,100%,8%,100%,92%,0%,,,8%,0%,100%,0%,,0.07,92%,
06M028,P.S. 028 Wright Brothers,5%,0%,1%,95%,93%,4%,93%,88%,96%,99%,3%,6%,4%,7%,0%,100%,83%,7%,5%,84%,0%,96%,7%,95%,95%,4%,17%,93%,7%,3%,97%,3%,,0.37,97%,
02M425,Leadership And Public Service High School,6%,0%,7%,88%,94%,0%,0%,,100%,93%,6%,18%,0%,17%,94%,0%,,0%,6%,78%,0%,78%,6%,88%,94%,0%,,0%,6%,0%,100%,0%,,0.06,94%,
15K448,Brooklyn Collaborative Studies,2%,8%,10%,98%,95%,2%,0%,95%,96%,90%,4%,16%,4%,19%,90%,0%,95%,0%,20%,87%,0%,95%,17%,97%,98%,1%,5%,0%,5%,2%,98%,10%,,0.19,98%,
13K266,M.S. K266 - Park Place Community Middle School,9%,0%,10%,100%,91%,0%,0%,,91%,90%,0%,10%,9%,9%,0%,0%,,0%,9%,91%,0%,91%,9%,100%,91%,0%,,0%,9%,0%,100%,0%,,0.07,100%,
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),4%,8%,8%,98%,92%,4%,0%,90%,98%,92%,5%,14%,2%,20%,89%,0%,90%,0%,17%,86%,0%,79%,16%,97%,96%,3%,10%,0%,8%,3%,97%,5%,,0.11,99%,
02M500,Unity Center For Urban Technologies,0%,1%,0%,99%,97%,2%,0%,100%,99%,100%,1%,0%,1%,34%,99%,0%,98%,0%,32%,43%,0%,84%,10%,94%,100%,1%,2%,0%,3%,0%,100%,3%,,0.93,100%,
18K219,P.S. 219 Kennedy-King,12%,0%,6%,94%,91%,11%,80%,90%,94%,94%,10%,10%,6%,7%,0%,100%,90%,20%,13%,72%,0%,92%,13%,91%,88%,7%,10%,84%,9%,5%,95%,13%,,0.25,93%,
10X051,The Bronx Stem And Arts Academy,6%,0%,3%,97%,94%,1%,91%,95%,95%,97%,0%,6%,5%,1%,0%,100%,90%,9%,3%,88%,0%,94%,6%,92%,94%,4%,10%,95%,6%,4%,96%,1%,,0.45,95%,
15K418,P.S. 372 -The Children'S School,4%,0%,8%,94%,94%,2%,,90%,97%,92%,6%,5%,3%,8%,0%,,70%,,4%,83%,,99%,4%,89%,96%,1%,30%,91%,6%,6%,94%,6%,,0.31,95%,
09X053,P.S. 053 Basheer Quisim,9%,0%,8%,91%,91%,8%,81%,91%,96%,92%,5%,10%,4%,8%,0%,95%,92%,19%,10%,67%,9%,84%,6%,91%,91%,4%,8%,89%,9%,9%,91%,4%,,0.29,96%,
19K683,School For Classics High School,0%,3%,6%,97%,97%,6%,0%,100%,94%,94%,0%,3%,6%,13%,95%,0%,100%,0%,11%,66%,0%,73%,3%,97%,100%,0%,0%,0%,3%,0%,100%,4%,,0.17,100%,
12X061,P.S. 061 Francisco Oller,6%,0%,4%,100%,96%,4%,,86%,100%,96%,4%,8%,0%,10%,0%,100%,77%,,10%,85%,0%,92%,10%,98%,94%,6%,23%,96%,4%,2%,98%,2%,,0.21,100%,
08X559,School For Tourism And Hospitality,,,,,,,0%,,,,,,,,,0%,,0%,,,0%,,,,,,,0%,,,,,,0.03,,
02M545,High School For Dual Language And Asian Studies,14%,6%,18%,90%,88%,15%,0%,,93%,82%,12%,12%,7%,30%,92%,0%,,0%,20%,67%,0%,73%,12%,82%,86%,8%,,0%,12%,8%,92%,17%,,0.12,90%,
15K001,P.S. 001 The Bergen,7%,0%,7%,95%,91%,6%,100%,97%,97%,93%,4%,8%,3%,10%,0%,100%,94%,0%,10%,72%,0%,94%,9%,96%,93%,4%,6%,94%,9%,5%,95%,6%,,0.19,98%,
20K112,P.S. 112 Lefferts Park,4%,0%,4%,97%,96%,3%,57%,91%,98%,96%,5%,9%,2%,11%,0%,86%,91%,43%,4%,71%,14%,89%,6%,95%,96%,3%,9%,95%,4%,3%,97%,4%,,0.3,95%,
10X020,"Ps/Ms 20 P.O.George J. Werdann, Iii",5%,0%,5%,98%,91%,5%,,95%,98%,95%,4%,8%,2%,7%,0%,,95%,,8%,78%,,91%,11%,94%,95%,2%,5%,94%,9%,5%,95%,1%,,0.11,97%,
10X081,P.S. 081 Robert J. Christen,3%,0%,5%,95%,96%,4%,0%,96%,99%,95%,3%,7%,1%,2%,0%,0%,92%,0%,3%,78%,0%,96%,3%,93%,97%,1%,8%,97%,4%,4%,96%,4%,,0.71,96%,
03M860,Frederick Douglass Academy Ii Secondary School,5%,0%,0%,98%,98%,0%,0%,92%,96%,100%,4%,8%,4%,13%,97%,0%,92%,0%,13%,88%,0%,89%,10%,100%,95%,2%,8%,0%,2%,0%,100%,2%,,0.19,100%,
06M018,P.S. 018 Park Terrace,3%,0%,3%,98%,97%,3%,0%,100%,100%,97%,4%,7%,0%,10%,0%,0%,92%,0%,6%,81%,0%,84%,4%,95%,97%,4%,8%,92%,3%,3%,97%,5%,,0.22,97%,
14K380,P.S. 380 John Wayne Elementary,2%,0%,3%,96%,97%,2%,,99%,98%,97%,2%,5%,2%,1%,0%,,98%,,1%,61%,,95%,2%,95%,98%,0%,2%,98%,3%,2%,98%,2%,,0.43,98%,
21K329,P.S. 329 Surfside,6%,0%,5%,99%,92%,5%,83%,98%,96%,95%,7%,15%,4%,12%,0%,83%,88%,17%,13%,65%,17%,90%,8%,93%,94%,5%,12%,88%,8%,8%,92%,5%,,0.41,97%,
17K138,P.S. 138 Brooklyn,12%,0%,17%,91%,76%,9%,0%,,100%,83%,4%,9%,0%,8%,0%,0%,,0%,4%,84%,0%,92%,16%,82%,88%,8%,,100%,24%,12%,88%,0%,,0.05,96%,
02M296,High School Of Hospitality Management,0%,11%,11%,100%,89%,0%,0%,,100%,89%,11%,11%,0%,56%,89%,0%,,0%,44%,44%,0%,67%,22%,100%,100%,0%,,0%,11%,11%,89%,11%,,0.03,100%,
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",3%,0%,3%,97%,97%,1%,0%,100%,98%,97%,1%,1%,2%,2%,0%,0%,100%,0%,2%,95%,0%,97%,3%,98%,97%,2%,0%,100%,3%,2%,98%,2%,,0.2,99%,
06M132,P.S. 132 Juan Pablo Duarte,1%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,0%,1%,99%,0%,99%,1%,100%,99%,1%,0%,100%,0%,0%,100%,0%,,0.99,100%,
04M037,River East Elementary,0%,0%,6%,94%,100%,0%,57%,83%,96%,94%,6%,10%,4%,6%,0%,100%,67%,43%,12%,91%,14%,100%,0%,100%,100%,0%,33%,96%,0%,3%,97%,4%,,0.12,97%,
13K595,Bedford Academy High School,5%,4%,6%,100%,97%,9%,0%,90%,98%,94%,9%,5%,2%,9%,95%,0%,80%,0%,7%,95%,0%,88%,10%,98%,95%,3%,20%,0%,3%,3%,97%,6%,,0.15,100%,
02M575,Manhattan Comprehensive Night And Day High School,,,,,,,0%,,,,,,,,,0%,,0%,,,0%,,,,,,,0%,,,,,,0.0,,
19K504,High School For Civil Rights,8%,8%,0%,95%,96%,4%,0%,100%,100%,100%,4%,4%,0%,21%,88%,0%,100%,0%,4%,62%,0%,71%,8%,100%,92%,8%,0%,0%,4%,4%,96%,5%,,0.14,96%,
16K267,"M.S. 267 Math, Science & Technology",1%,0%,1%,100%,99%,1%,0%,98%,100%,99%,1%,1%,0%,2%,0%,0%,100%,0%,3%,93%,0%,98%,1%,99%,99%,1%,0%,0%,1%,1%,99%,1%,,0.95,100%,
12X271,East Bronx Academy For The Future,22%,17%,18%,88%,89%,17%,0%,,75%,82%,18%,17%,25%,28%,83%,0%,,0%,11%,61%,0%,82%,33%,100%,78%,0%,,0%,11%,11%,89%,8%,,0.03,88%,
08X140,P.S. X140 The Eagle School,13%,0%,12%,94%,86%,10%,80%,78%,94%,88%,5%,13%,6%,8%,0%,95%,72%,20%,8%,68%,5%,85%,15%,87%,87%,4%,28%,85%,14%,10%,90%,7%,,0.55,96%,
14K110,P.S. 110 The Monitor,7%,0%,12%,91%,94%,7%,76%,100%,96%,88%,6%,11%,4%,12%,0%,94%,88%,24%,6%,78%,0%,94%,11%,85%,93%,2%,12%,95%,6%,13%,87%,5%,,0.43,96%,
06M423,High School For Excellence And Innovation,1%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,1%,0%,0%,100%,0%,91%,0%,10%,87%,0%,89%,0%,100%,99%,0%,9%,0%,0%,0%,100%,0%,,0.6,100%,
10X391,The Angelo Patri Middle School,2%,0%,5%,96%,97%,3%,0%,97%,97%,95%,3%,4%,3%,15%,0%,0%,97%,0%,16%,56%,0%,68%,6%,95%,98%,1%,3%,0%,3%,3%,97%,8%,,0.27,99%,
11X509,High School Of Language And Innovation,3%,4%,2%,97%,94%,1%,0%,88%,97%,98%,1%,1%,3%,12%,94%,0%,89%,0%,15%,66%,0%,77%,6%,99%,97%,3%,11%,0%,6%,2%,98%,3%,,0.46,97%,
21K281,I.S. 281 Joseph B Cavallaro,8%,0%,8%,95%,89%,5%,0%,95%,96%,92%,4%,13%,4%,27%,0%,0%,90%,0%,13%,66%,0%,70%,13%,94%,92%,3%,10%,0%,11%,5%,95%,4%,,0.13,98%,
13K307,P.S. 307 Daniel Hale Williams,5%,0%,5%,97%,95%,5%,100%,100%,97%,95%,2%,5%,3%,5%,0%,100%,100%,0%,5%,80%,0%,96%,2%,97%,95%,5%,0%,97%,5%,12%,88%,0%,,0.14,100%,
06M005,P.S. 005 Ellen Lurie,6%,0%,3%,96%,94%,2%,76%,93%,97%,97%,3%,5%,3%,6%,0%,94%,90%,24%,4%,82%,6%,90%,7%,95%,94%,3%,10%,97%,6%,4%,96%,3%,,0.79,96%,
02M260,The Clinton School,8%,11%,5%,95%,92%,9%,0%,90%,100%,95%,6%,19%,0%,20%,90%,0%,90%,0%,23%,87%,0%,93%,17%,92%,92%,2%,10%,0%,8%,8%,92%,8%,,0.16,95%,
09X443,The Family School,1%,0%,1%,99%,99%,0%,100%,99%,100%,99%,1%,3%,0%,2%,0%,100%,99%,0%,2%,93%,0%,98%,2%,99%,99%,1%,1%,100%,1%,1%,99%,1%,,0.52,99%,
19K158,P.S. 158 Warwick,11%,0%,11%,86%,87%,14%,58%,92%,92%,89%,7%,13%,8%,8%,0%,95%,67%,42%,3%,79%,0%,94%,11%,84%,89%,9%,33%,88%,13%,12%,88%,12%,,0.18,92%,
08X583,P.S. 583,8%,0%,0%,90%,92%,0%,,100%,100%,100%,8%,9%,0%,8%,0%,,71%,,0%,83%,,100%,0%,91%,92%,0%,29%,100%,8%,0%,100%,0%,,0.04,100%,
17K543,"Science, Technology And Research Early College High School At Erasmus",12%,8%,9%,95%,88%,6%,0%,,96%,91%,4%,11%,4%,19%,92%,0%,,0%,12%,68%,0%,79%,18%,94%,88%,4%,,0%,12%,4%,96%,6%,,0.09,98%,
08X101,M.S. X101 Edward R. Byrne,7%,0%,7%,97%,94%,2%,0%,95%,99%,93%,3%,8%,1%,20%,0%,0%,90%,0%,13%,84%,0%,78%,13%,95%,93%,5%,10%,0%,6%,2%,98%,6%,,0.3,95%,
14K017,P.S. 017 Henry D. Woodworth,5%,0%,7%,95%,93%,3%,75%,95%,97%,93%,7%,7%,3%,0%,0%,100%,90%,25%,1%,86%,0%,94%,4%,90%,95%,1%,10%,94%,7%,8%,92%,4%,,0.5,98%,
14K071,Juan Morel Campos Secondary School,7%,2%,2%,98%,95%,1%,0%,100%,100%,98%,1%,2%,0%,3%,98%,0%,98%,0%,3%,66%,0%,95%,10%,97%,93%,1%,2%,0%,5%,2%,98%,3%,,0.52,98%,
03M054,J.H.S. 054 Booker T. Washington,4%,0%,10%,97%,92%,6%,0%,78%,99%,90%,4%,13%,1%,15%,0%,0%,78%,0%,17%,97%,0%,96%,14%,93%,96%,2%,22%,0%,8%,3%,97%,8%,,0.31,98%,
