address,st_senate,inf_shoes,y_sp,longitude,bin,wire_other,inf_lights,wire_htap,horz_other,cncldist,boroname,tree_dbh,nta_name,pit_type,soil_lvl,boro_ct
1481 EAST   63 STREET,19,No,164610,-73.9158994,3321594.0,No,No,No,No,46,Brooklyn,11,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lawn,Level,3069800.0
101 BARCLAY STREET,26,No,199320,-74.01191818,1001416.0,No,No,No,No,1,Manhattan,7,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Level,1002100.0
428 EAST  117 STREET,29,No,229413,-73.93413033,1079400.0,No,No,No,No,8,Manhattan,2,East Harlem North,Sidewalk Pit,Level,1017800.0
425 EAST  114 STREET,29,No,228658,-73.93530614,1053013.0,No,No,No,No,8,Manhattan,6,East Harlem North,Sidewalk Pit,Below,1017800.0
13 HUDSON STREET,26,No,200257,-74.00919871,1001511.0,No,No,No,No,1,Manhattan,16,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Level,1003900.0
420 EAST  111 STREET,30,No,227925,-73.93653237,1083956.0,No,No,No,No,8,Manhattan,11,East Harlem South,Sidewalk Pit,Level,1016200.0
55 WEST   92 STREET,30,No,227006,-73.96806876,1031632.0,No,No,No,No,6,Manhattan,19,Upper West Side,Sidewalk Pit,Level,1017700.0
300 CENTRAL PARK WEST,30,No,226391,-73.96731483,1031607.0,No,No,No,No,6,Manhattan,15,Upper West Side,Sidewalk Pit,Level,1017700.0
101 MURRAY STREET,26,No,199796,-74.0122611,1001542.0,No,No,No,No,1,Manhattan,6,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Level,1002100.0
2299 BROADWAY,31,No,225760,-73.97814545,1032755.0,No,No,No,No,6,Manhattan,3,Upper West Side,Continuous Pit,Level,1017100.0
143 CHRISTOPHER STREET,27,No,206266,-74.00769274,1078233.0,No,No,No,No,3,Manhattan,9,West Village,Sidewalk Pit,Level,1007500.0
211 EAST    4 STREET,27,No,202970,-73.98367498,1005035.0,No,No,No,No,2,Manhattan,0,East Village,Sidewalk Pit,Level,1003200.0
147 CHAMBERS STREET,26,No,200068,-74.00986959,1085521.0,No,No,No,No,1,Manhattan,5,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Below,1002100.0
450 EAST  115 STREET,29,No,228862,-73.93476747,1000000.0,No,No,No,No,8,Manhattan,3,East Harlem North,Sidewalk Pit,Level,1017800.0
159 1 AVENUE,27,No,204740,-73.98456497,1006417.0,No,No,No,No,2,Manhattan,3,East Village,Sidewalk Pit,Level,1004000.0
295 GREENWICH STREET,26,No,200138,-74.01101314,1066187.0,No,No,No,No,1,Manhattan,9,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Level,1002100.0
295 CENTRAL PARK WEST,30,No,226244,-73.96761114,1031569.0,No,No,No,No,6,Manhattan,13,Upper West Side,Sidewalk Pit,Level,1017300.0
174 1 AVENUE,27,No,204918,-73.9841824,1082526.0,No,No,No,No,2,Manhattan,9,East Village,Sidewalk Pit,Level,1004000.0
1901 1 AVENUE,29,No,225117,-73.94377984,1083929.0,No,No,No,No,8,Manhattan,16,East Harlem South,Sidewalk Pit,Level,1015602.0
600 WEST  157 STREET,31,No,243266,-73.94560605,1063255.0,No,No,No,No,7,Manhattan,3,Washington Heights South,Sidewalk Pit,Below,1024100.0
178 1 AVENUE,27,No,204956,-73.98410661,1005933.0,No,No,No,No,2,Manhattan,15,East Village,Sidewalk Pit,Level,1004000.0
300 CENTRAL PARK WEST,30,No,226391,-73.96731483,1031607.0,No,No,No,No,6,Manhattan,5,Upper West Side,Sidewalk Pit,Level,1017700.0
420 EAST  111 STREET,30,No,227925,-73.93653237,1083956.0,No,No,No,No,8,Manhattan,12,East Harlem South,Sidewalk Pit,Level,1016200.0
223 EAST    4 STREET,27,No,202916,-73.98332868,1005031.0,No,No,No,No,2,Manhattan,6,East Village,Sidewalk Pit,Level,1003200.0
100 BEDFORD STREET,27,No,206199,-74.00556387,1010058.0,No,No,No,No,3,Manhattan,8,West Village,Sidewalk Pit,Level,1007300.0
320 CENTRAL PARK WEST,30,No,226738,-73.96663183,1031626.0,No,No,No,No,6,Manhattan,8,Upper West Side,Sidewalk Pit,Level,1017700.0
633 COLUMBUS AVENUE,30,No,226907,-73.96997927,1031595.0,No,No,No,No,6,Manhattan,13,Upper West Side,Sidewalk Pit,Level,1017700.0
217 EAST    4 STREET,27,No,202943,-73.98350183,1005033.0,No,No,No,No,2,Manhattan,8,East Village,Sidewalk Pit,Level,1003200.0
1930 1 AVENUE,29,No,225626,-73.94273505,1000000.0,No,No,No,No,8,Manhattan,4,East Harlem South,Sidewalk Pit,Level,1016200.0
665 11 AVENUE,31,No,217904,-73.99545145,1080992.0,Yes,No,No,No,3,Manhattan,5,Clinton,Sidewalk Pit,Level,1012900.0
1918 1 AVENUE,29,No,225273,-73.94344365,1052997.0,No,No,No,No,8,Manhattan,18,East Harlem South,Sidewalk Pit,Level,1016200.0
6 WEST   90 STREET,30,No,226392,-73.96796485,1031590.0,No,No,No,No,6,Manhattan,14,Upper West Side,Sidewalk Pit,Level,1017300.0
2076 EAST   63 STREET,19,No,163403,-73.91225129,3236927.0,No,No,No,No,46,Brooklyn,26,Georgetown-Marine Park-Bergen Beach-Mill Basin,Sidewalk Pit,Level,3069800.0
248 EAST    2 STREET,26,No,202074,-73.98176716,1004601.0,No,No,No,No,2,Manhattan,7,Lower East Side,Sidewalk Pit,Level,1002202.0
1999 1 AVENUE,29,No,226210,-73.94158892,1086440.0,No,No,No,No,8,Manhattan,3,East Harlem South,Sidewalk Pit,Level,1016400.0
2299 BROADWAY,31,No,225760,-73.97814545,1032755.0,No,No,No,No,6,Manhattan,1,Upper West Side,Continuous Pit,Level,1017100.0
441 EAST  118 STREET,30,No,229617,-73.93346523,1054819.0,No,No,No,No,8,Manhattan,7,East Harlem North,Sidewalk Pit,Level,1017800.0
800 RIVERSIDE DRIVE,31,No,243492,-73.94674749,1063275.0,No,No,No,No,7,Manhattan,14,Washington Heights South,Sidewalk Pit,Level,1024100.0
2130 1 AVENUE,30,No,227802,-73.93837091,1083955.0,No,No,No,No,8,Manhattan,4,East Harlem South,Sidewalk Pit,Level,1016200.0
336 WEST END AVENUE,29,No,224270,-73.9826857,1030848.0,No,No,No,No,6,Manhattan,11,Upper West Side,Sidewalk Pit,Level,1016300.0
214 EAST    2 STREET,26,No,202246,-73.982889,1004609.0,No,No,No,No,2,Manhattan,8,Lower East Side,Sidewalk Pit,Level,1002202.0
29 BROADWAY,26,No,196495,-74.01315031,1000802.0,No,No,No,No,1,Manhattan,7,Battery Park City-Lower Manhattan,Sidewalk Pit,Level,1001300.0
102 BEDFORD STREET,27,No,206215,-74.00558913,1010032.0,No,No,No,No,3,Manhattan,7,West Village,Sidewalk Pit,Level,1007300.0
1139 57 STREET,17,No,169769,-74.00024499,3140038.0,No,No,No,No,44,Brooklyn,6,Borough Park,Sidewalk Pit,Level,3021600.0
1198 1 AVENUE,28,No,217340,-73.95933476,1083904.0,No,No,No,No,5,Manhattan,12,Lenox Hill-Roosevelt Island,Sidewalk Pit,Below,1011600.0
401 EAST   96 STREET,29,No,224627,-73.94461511,1000000.0,No,No,No,No,8,Manhattan,13,East Harlem South,Continuous Pit,Level,1016200.0
185 1 AVENUE,27,No,205108,-73.98382508,1006478.0,No,No,No,No,2,Manhattan,3,East Village,Sidewalk Pit,Level,1004000.0
229 EAST    4 STREET,27,No,202889,-73.98315552,1005029.0,No,No,No,No,2,Manhattan,4,East Village,Sidewalk Pit,Above,1003200.0
609 COLUMBUS AVENUE,30,No,226644,-73.97050323,1031543.0,No,No,No,No,6,Manhattan,6,Upper West Side,Sidewalk Pit,Level,1017300.0
533 WEST   57 STREET,27,No,219698,-73.98990942,1027073.0,No,Yes,No,No,6,Manhattan,4,Clinton,Sidewalk Pit,Level,1013500.0
35 WEST   90 STREET,30,No,226490,-73.96856418,1031605.0,No,No,No,No,6,Manhattan,4,Upper West Side,Sidewalk Pit,Level,1017700.0
1966 1 AVENUE,29,No,225889,-73.94221081,1083931.0,No,No,No,No,8,Manhattan,13,East Harlem South,Sidewalk Pit,Below,1016400.0
430 EAST  118 STREET,29,No,229636,-73.93363853,1079410.0,No,No,No,No,8,Manhattan,5,East Harlem North,Sidewalk Pit,Level,1017800.0
295 PLEASANT AVENUE,29,No,228870,-73.93331559,1053053.0,No,No,No,No,8,Manhattan,5,East Harlem North,Sidewalk Pit,Below,1017800.0
524-528 WEST   57 STREET,27,No,219641,-73.98958813,1027069.0,No,No,No,No,6,Manhattan,9,Clinton,Sidewalk Pit,Level,1013500.0
1930 1 AVENUE,29,No,225626,-73.94273505,1000000.0,No,No,No,No,8,Manhattan,5,East Harlem South,Sidewalk Pit,Level,1016200.0
280 PLEASANT AVENUE,29,No,228733,-73.93356516,1053152.0,No,No,No,No,8,Manhattan,16,East Harlem North,Sidewalk Pit,Level,1017800.0
434 EAST  116 STREET,29,No,229151,-73.93452832,1053056.0,No,No,No,No,8,Manhattan,7,East Harlem North,Sidewalk Pit,Level,1017800.0
306 PLEASANT AVENUE,29,No,229023,-73.93298651,1053156.0,No,No,No,No,8,Manhattan,5,East Harlem North,Sidewalk Pit,Level,1017800.0
125 BARCLAY STREET,26,No,199480,-74.01289581,1001417.0,No,No,No,No,1,Manhattan,4,SoHo-TriBeCa-Civic Center-Little Italy,Continuous Pit,Level,1002100.0
2289-91 BROADWAY,31,No,225669,-73.9783297,1032755.0,No,No,No,No,6,Manhattan,11,Upper West Side,Continuous Pit,Level,1017100.0
69 WEST   92 STREET,30,No,227049,-73.96835039,1031629.0,No,No,No,No,6,Manhattan,7,Upper West Side,Sidewalk Pit,Level,1017700.0
2100 1 AVENUE,30,No,227507,-73.93896393,1083954.0,No,No,No,No,8,Manhattan,11,East Harlem South,Sidewalk Pit,Above,1016200.0
47 WEST   90 STREET,30,No,226528,-73.96880609,1031601.0,No,No,No,No,6,Manhattan,15,Upper West Side,Sidewalk Pit,Level,1017700.0
8 WEST   90 STREET,30,No,226399,-73.96800456,1031572.0,No,No,No,No,6,Manhattan,14,Upper West Side,Sidewalk Pit,Level,1017300.0
420 EAST  111 STREET,30,No,227925,-73.93653237,1083956.0,No,No,No,No,8,Manhattan,11,East Harlem South,Sidewalk Pit,Level,1016200.0
500 AMSTERDAM AVENUE,31,No,225825,-73.97588121,1033109.0,No,No,No,No,6,Manhattan,8,Upper West Side,Sidewalk Pit,Level,1017100.0
249 EAST    2 STREET,26,No,202057,-73.98169863,1004585.0,No,No,No,No,2,Manhattan,5,Lower East Side,Sidewalk Pit,Level,1002202.0
345 EAST  101 STREET,29,No,226001,-73.94366223,1079340.0,No,No,No,No,8,Manhattan,4,East Harlem South,Sidewalk Pit,Below,1016400.0
600 west 59th street,27,No,220459,-73.99088389,1027178.0,No,No,No,No,6,Manhattan,8,Lincoln Square,Sidewalk Pit,Level,1015100.0
617 WEST  155 STREET,31,No,242787,-73.94652499,1063245.0,No,No,No,No,7,Manhattan,13,Hamilton Heights,Sidewalk Pit,Level,1023700.0
110 BEDFORD STREET,27,No,206280,-74.00569379,1010034.0,No,No,No,No,3,Manhattan,9,West Village,Sidewalk Pit,Level,1007300.0
1999 1 AVENUE,29,No,226210,-73.94158892,1086440.0,No,No,No,No,8,Manhattan,4,East Harlem South,Sidewalk Pit,Level,1016400.0
