dbn,school_name,n_chronic_absent_ems_allew,n_prof_pct_watn5_mthlevel2,survey_pp_ri,qr_1_4,teacher_ethnicity_asian_pct,val_chronic_absent_ems_allei,n_prof_pct_watn5_mthlevel34,val_chronic_absent_ems_allew,n_prof_pct_watn3_elalevel2,val_pct_core_ela_all,rr_t,val_chronic_absent_ems_all,val_lre_all,n_chronic_absent_ems_allgm,val_pct_accel_try_all,survey_pp_tr,val_prof_2plus_watn5_mthlevel1,n_pct_accel_try_mth_all,n_prof_pct_watn5_elalevel34,gender_male_pct,school_type,n_prof_2plus_watn3_mthlevel1,val_pct_core_sci_all,val_prof_pct_watn3_mthlevel34,survey_pp_sf,qr_1_1,qr_3_4,n_pct_accel_try_lote_all,val_chronic_absent_ems_allgm,qr_4_2,val_prof_pct_watn5_mthlevel34,n_chronic_absent_ems_allea,n_prof_pct_watn3_elalevel34,n_lre_all,n_chronic_absent_ems_alleb,ell,n_pct_accel_p_mth_all,val_chronic_absent_ems_allgf,val_prof_pct_watn5_mthlevel2,val_chronic_absent_ems_allep,principal_experience,n_pct_accel_lote_all
05M499,Frederick Douglass Academy,2,26,0.78,Developing,0.061,No Data,23,No Data,No Data,0.961,34%,0.272,0.34,129,0.772,0.86,0.146,79,14,0.528,Middle,No Data,0.877,No Data,0.85,Developing,Developing,79,0.713,Developing,0.348,No Data,No Data,64,159,0.085,19,0.746,0.077,No Data,3,79
12X134,P.S. 134 George F. Bristow,13,No Data,0.58,Proficient,No Data,No Data,No Data,No Data,33,No Data,90%,0.352,0.32,300,No Data,0.87,No Data,No Data,No Data,0.529,Elementary,35,No Data,0.684,0.93,Proficient,Well Developed,No Data,0.643,Well Developed,No Data,6,27,93,218,0.189,No Data,0.653,No Data,No Data,1.9,No Data
20K223,J.H.S. 223 The Montauk,118,59,0.78,Proficient,0.072,No Data,169,0.831,No Data,0.942,94%,0.111,0.27,515,0.284,0.91,0.522,292,68,0.558,Middle,No Data,0.983,No Data,0.87,Proficient,Developing,292,0.893,Proficient,0.888,484,No Data,157,25,0.252,83,0.883,0.424,No Data,10.9,292
05M092,P.S. 092 Mary McLeod Bethune,4,No Data,0.83,Proficient,No Data,No Data,No Data,No Data,11,No Data,70%,0.448,0.16,128,No Data,0.88,No Data,No Data,No Data,0.531,Elementary,9,No Data,0.647,0.94,Proficient,Well Developed,No Data,0.508,Proficient,No Data,1,27,76,135,0.066,No Data,0.604,No Data,No Data,17.4,No Data
10X447,Creston Academy,2,39,0.87,No Data,No Data,No Data,39,No Data,No Data,0.998,54%,0.179,0.55,221,0.247,0.88,0.614,158,17,0.481,Middle,No Data,0.998,No Data,0.96,Proficient,Well Developed,158,0.814,Well Developed,0.872,3,No Data,95,67,0.259,29,0.826,0.538,No Data,5.1,158
09X042,P.S. 042 Claremont,4,No Data,0.79,Proficient,No Data,No Data,No Data,No Data,22,No Data,97%,0.202,0.23,183,No Data,0.94,No Data,No Data,No Data,0.496,Elementary,11,No Data,0.524,0.97,Proficient,Well Developed,No Data,0.792,Well Developed,No Data,No Data,19,84,154,0.115,No Data,0.803,No Data,No Data,7.4,No Data
22K139,P.S. 139 Alexine A. Fenty,94,No Data,0.68,Proficient,0.1,No Data,No Data,0.84,60,No Data,25%,0.214,0.35,446,No Data,0.93,No Data,No Data,No Data,0.525,Elementary,46,No Data,0.685,0.95,Proficient,Well Developed,No Data,0.767,Proficient,No Data,148,50,125,205,0.149,No Data,0.806,No Data,No Data,16.9,No Data
02M343,The Peck Slip School,215,No Data,0.88,Well Developed,No Data,No Data,No Data,0.916,13,No Data,59%,0.086,0.23,198,No Data,0.93,No Data,No Data,No Data,0.459,Elementary,2,No Data,0.718,0.96,Well Developed,Well Developed,No Data,0.924,Well Developed,No Data,73,36,69,29,0.019,No Data,0.906,No Data,No Data,8.1,No Data
28Q139,P.S. 139 Rego Park,289,No Data,0.7,Well Developed,No Data,No Data,No Data,0.813,40,No Data,98%,0.163,0.21,375,No Data,0.76,No Data,No Data,No Data,0.514,Elementary,16,No Data,0.868,0.94,Proficient,Well Developed,No Data,0.813,Well Developed,No Data,181,62,94,18,0.223,No Data,0.861,No Data,No Data,0.6,No Data
20K200,P.S. 200 Benson School,583,No Data,0.8,Proficient,No Data,No Data,No Data,0.768,59,No Data,70%,0.21,0.24,716,No Data,0.86,No Data,No Data,No Data,0.525,Elementary,14,No Data,0.81,0.92,Proficient,Proficient,No Data,0.796,Proficient,No Data,470,86,147,5,0.264,No Data,0.784,No Data,No Data,12,No Data
12X044,P.S. 044 David C. Farragut,4,No Data,0.78,Developing,0,No Data,No Data,No Data,10,No Data,68%,0.407,0.69,137,No Data,0.87,No Data,No Data,No Data,0.498,Elementary,7,No Data,0.5,0.99,Developing,Proficient,No Data,0.577,Proficient,No Data,No Data,13,39,86,0.223,No Data,0.609,No Data,No Data,8.7,No Data
84K746,Hebrew Language Academy Charter School,164,16,0.64,No Data,No Data,No Data,27,0.634,No Data,No Data,82%,0.257,0.34,321,0.02,0.81,No Data,51,21,0.477,K-8,No Data,No Data,No Data,0.88,No Data,No Data,51,0.738,No Data,0.741,12,No Data,95,439,0.078,1,0.748,0.125,No Data,1,51
01M378,School for Global Leaders,12,26,0.86,Proficient,0.192,No Data,23,No Data,No Data,0.995,46%,0.321,0.57,120,0,0.98,0.118,85,18,0.564,Middle,No Data,0.995,No Data,0.95,Well Developed,Well Developed,85,0.7,Proficient,0.609,17,No Data,86,51,0.083,No Data,0.652,0.115,No Data,4.1,85
03M191,The Riverside School for Makers and Artists,35,7,0.72,Proficient,0.1,No Data,6,0.829,No Data,1,91%,0.337,0.31,247,0.852,0.95,0.303,54,8,0.533,K-8,No Data,1,No Data,0.97,Proficient,Proficient,54,0.692,Proficient,No Data,23,No Data,121,164,0.052,46,0.631,No Data,No Data,0.8,54
02M198,P.S. 198 Isador E. Ida Straus,207,No Data,0.78,Proficient,0.122,No Data,No Data,0.874,12,No Data,36%,0.164,0.16,227,No Data,0.98,No Data,No Data,No Data,0.503,Elementary,4,No Data,0.822,0.99,Proficient,Proficient,No Data,0.833,Proficient,No Data,79,40,64,40,0.066,No Data,0.839,No Data,No Data,3.9,No Data
25Q379,College Point Collaborative,47,No Data,0.78,Well Developed,0.261,No Data,No Data,0.894,No Data,1,96%,0.115,0.37,184,No Data,0.95,No Data,No Data,No Data,0.531,Middle,No Data,1,No Data,0.97,Proficient,Proficient,No Data,0.886,Well Developed,No Data,53,No Data,62,2,0.124,No Data,0.885,No Data,No Data,2.1,No Data
24Q088,P.S. 088 Seneca,288,No Data,0.72,Well Developed,No Data,No Data,No Data,0.823,55,No Data,82%,0.225,0.31,413,No Data,0.91,No Data,No Data,No Data,0.535,Elementary,31,No Data,0.662,0.95,Proficient,Well Developed,No Data,0.78,Proficient,No Data,61,66,128,17,0.119,No Data,0.771,No Data,No Data,1.9,No Data
23K323,P.S./I.S. 323,7,14,0.78,Proficient,No Data,No Data,5,No Data,No Data,0.99,57%,0.43,0.47,253,0,0.85,0.415,64,3,0.485,K-8,No Data,0.98,No Data,0.96,Proficient,Proficient,64,0.577,Proficient,No Data,6,No Data,90,392,0.061,No Data,0.563,No Data,No Data,16.4,64
24Q125,I.S. 125 Thom J. McCann Woodside,80,124,0.84,Well Developed,No Data,No Data,273,0.888,No Data,0.983,66%,0.114,0.44,720,0.746,0.88,0.535,560,209,0.487,Middle,No Data,0.904,No Data,0.88,Well Developed,Well Developed,560,0.879,Well Developed,0.919,537,No Data,254,29,0.155,418,0.892,0.581,0.944,17.9,560
02M011,P.S. 011 William T. Harris,394,No Data,0.85,Well Developed,No Data,No Data,No Data,0.914,22,No Data,79%,0.165,0.23,466,No Data,0.94,No Data,No Data,No Data,0.517,Elementary,13,No Data,0.92,0.98,Well Developed,Well Developed,No Data,0.82,Well Developed,No Data,141,105,102,67,0.027,No Data,0.852,No Data,No Data,15.1,No Data
09X163,P.S. 163 Arthur A. Schomburg,4,No Data,0.56,Proficient,0,No Data,No Data,No Data,30,No Data,48%,0.21,0.29,210,No Data,0.76,No Data,No Data,No Data,0.498,Elementary,31,No Data,0.5,0.93,Well Developed,Proficient,No Data,0.762,Proficient,No Data,3,25,97,160,0.322,No Data,0.817,No Data,No Data,1.9,No Data
13K915,I.S. 915,85,No Data,0.75,No Data,No Data,No Data,No Data,0.965,No Data,0.982,19%,0.13,0.62,158,0.771,0.93,No Data,70,No Data,0.554,Middle,No Data,0.915,No Data,0.91,No Data,No Data,70,0.854,No Data,No Data,8,No Data,50,117,0.022,50,0.89,No Data,No Data,1.1,70
13K056,P.S. 056 Lewis H. Latimer,56,No Data,0.78,Proficient,0,No Data,No Data,0.857,10,No Data,50%,0.267,0.37,144,No Data,0.95,No Data,No Data,No Data,0.566,Elementary,10,No Data,No Data,0.97,Developing,Proficient,No Data,0.75,Proficient,No Data,5,15,46,139,0.07,No Data,0.712,No Data,No Data,4.2,No Data
22K197,P.S. 197 - The Kings Highway Academy,476,No Data,0.86,Proficient,0.083,No Data,No Data,0.721,29,No Data,50%,0.266,0.38,394,No Data,0.97,No Data,No Data,No Data,0.492,Elementary,7,No Data,0.714,0.96,Well Developed,Proficient,No Data,0.703,Proficient,No Data,168,50,97,68,0.348,No Data,0.763,No Data,No Data,15.1,No Data
16K021,P.S. 021 Crispus Attucks,10,No Data,0.84,Proficient,No Data,No Data,No Data,No Data,31,No Data,26%,0.316,0.15,229,No Data,0.98,No Data,No Data,No Data,0.483,Elementary,11,No Data,0.667,0.98,Proficient,Proficient,No Data,0.703,Developing,No Data,2,37,101,409,0.024,No Data,0.667,No Data,No Data,7.6,No Data
27Q105,P.S. 105 The Bay School,6,23,No Data,Proficient,0,No Data,15,No Data,No Data,0.992,0%,0.406,0.3,428,0.179,0.97,0.242,78,11,0.525,K-8,No Data,0.992,No Data,0.94,Proficient,Proficient,78,0.591,Proficient,0.4,17,No Data,204,492,0.043,14,0.596,0.087,No Data,21.9,78
29Q327,Eagle Academy for Young Men III,3,22,0.72,Proficient,0,No Data,17,No Data,No Data,0.719,91%,0.204,0.63,201,0.738,0.84,0.656,65,17,1.0,Middle,No Data,0.659,No Data,0.94,Proficient,Proficient,65,0.796,Developing,0.529,No Data,No Data,56,182,0.015,44,No Data,0.227,No Data,2.9,65
22K236,P.S. 236 Mill Basin,302,No Data,0.92,No Data,0,No Data,No Data,0.798,7,No Data,64%,0.179,0.22,273,No Data,0.98,No Data,No Data,No Data,0.49,Elementary,5,No Data,0.746,0.97,Proficient,Well Developed,No Data,0.835,Well Developed,No Data,65,62,67,98,0.068,No Data,0.808,No Data,No Data,6.7,No Data
09X109,P.S. 109 Sedgwick,7,No Data,0.58,Well Developed,0,No Data,No Data,No Data,28,No Data,63%,0.378,0.21,273,No Data,0.73,No Data,No Data,No Data,0.526,Elementary,17,No Data,0.472,0.91,Proficient,Well Developed,No Data,0.564,Proficient,No Data,2,35,107,113,0.236,No Data,0.687,No Data,No Data,8.1,No Data
03M180,P.S. 180 Hugo Newman,48,17,0.66,Proficient,No Data,No Data,11,0.792,No Data,1,53%,0.297,0.34,241,1,0.78,0.217,44,18,0.536,K-8,No Data,1,No Data,0.92,Proficient,Proficient,44,0.676,Proficient,No Data,10,No Data,91,226,0.117,No Data,0.734,0,No Data,2.9,44
28Q190,J.H.S. 190 Russell Sage,308,48,0.81,Developing,0.123,No Data,175,0.825,No Data,0.985,35%,0.175,0.55,577,0.997,0.86,0.657,382,136,0.505,Middle,No Data,0.934,No Data,0.88,Proficient,Proficient,382,0.806,Proficient,0.903,374,No Data,164,84,0.096,380,0.845,0.458,No Data,3.5,382
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",No Data,No Data,0.47,Proficient,No Data,No Data,No Data,No Data,15,No Data,25%,0.355,0.29,117,No Data,0.85,No Data,No Data,No Data,0.491,Elementary,19,No Data,No Data,0.97,Proficient,Proficient,No Data,0.684,Proficient,No Data,No Data,15,49,154,0.105,No Data,0.608,No Data,No Data,8.2,No Data
06M115,P.S. 115 Alexander Humboldt,10,No Data,0.75,Proficient,0,No Data,No Data,No Data,25,No Data,94%,0.346,0.16,224,No Data,0.89,No Data,No Data,No Data,0.508,Elementary,19,No Data,0.947,0.97,Proficient,Proficient,No Data,0.643,Proficient,No Data,4,18,76,4,0.288,No Data,0.665,No Data,No Data,6.9,No Data
10X360,P.S. 360,7,No Data,No Data,Proficient,0,No Data,No Data,No Data,16,No Data,0%,0.336,0.38,186,No Data,1,No Data,No Data,No Data,0.525,Elementary,25,No Data,No Data,0.96,Proficient,Proficient,No Data,0.651,Proficient,No Data,4,25,73,43,0.214,No Data,0.678,No Data,No Data,5.9,No Data
09X568,Young Women's Leadership School of the Bronx,4,18,0.72,Well Developed,No Data,No Data,36,No Data,No Data,0.996,60%,0.19,0.43,No Data,1,0.9,0.375,80,29,0.0,Middle,No Data,0.996,No Data,0.89,Well Developed,Proficient,80,No Data,Well Developed,0.667,6,No Data,46,69,0.036,21,0.81,0.389,No Data,1.1,80
05M133,P.S. 133 Fred R Moore,5,No Data,0.67,Proficient,No Data,No Data,No Data,No Data,15,No Data,94%,0.311,0.23,129,No Data,0.89,No Data,No Data,No Data,0.624,Elementary,13,No Data,No Data,0.93,Developing,Proficient,No Data,0.736,Proficient,No Data,7,7,79,88,0.112,No Data,0.61,No Data,No Data,1.9,No Data
09X594,M.S. 594,1,6,0.87,Well Developed,No Data,No Data,2,No Data,No Data,0.996,95%,0.346,0.72,144,0,0.87,0.278,75,3,0.548,Middle,No Data,0.962,No Data,0.92,Well Developed,Proficient,75,0.639,Proficient,No Data,2,No Data,68,69,0.31,No Data,0.672,No Data,No Data,2.1,75
06M152,P.S. 152 Dyckman Valley,3,No Data,0.88,Well Developed,No Data,No Data,No Data,No Data,26,No Data,93%,0.226,0.21,267,No Data,0.95,No Data,No Data,No Data,0.545,Elementary,20,No Data,0.519,0.98,Proficient,Well Developed,No Data,0.772,Proficient,No Data,1,23,94,14,0.3,No Data,0.777,No Data,No Data,15.1,No Data
19K158,P.S. 158 Warwick,8,No Data,0.66,Well Developed,No Data,No Data,No Data,No Data,31,No Data,30%,0.304,0.64,202,No Data,0.7,No Data,No Data,No Data,0.461,Elementary,28,No Data,0.5,0.95,Proficient,Proficient,No Data,0.688,Proficient,No Data,7,23,73,206,0.077,No Data,0.703,No Data,No Data,2.1,No Data
23K522,Mott Hall IV,1,12,0.68,Proficient,0,No Data,11,No Data,No Data,0.774,75%,0.172,0.7,76,0.979,0.89,0.08,48,8,0.503,Middle,No Data,0.966,No Data,0.95,Proficient,Proficient,48,0.763,Developing,No Data,1,No Data,46,117,0.0,47,0.893,No Data,No Data,2,48
23K664,Brooklyn Environmental Exploration School (BEES),1,6,0.8,Well Developed,No Data,No Data,2,No Data,No Data,0.97,100%,0.362,0.82,99,0.393,0.93,0.267,61,2,0.531,Middle,No Data,0.988,No Data,0.99,Proficient,Well Developed,61,0.606,Proficient,No Data,No Data,No Data,72,136,0.056,24,0.674,No Data,No Data,6.8,61
04M083,P.S. 083 Luis Munoz Rivera,4,No Data,0.83,Well Developed,No Data,No Data,No Data,No Data,20,No Data,91%,0.243,0.14,168,No Data,0.94,No Data,No Data,No Data,0.484,Elementary,11,No Data,0.689,0.96,Proficient,Well Developed,No Data,0.75,Well Developed,No Data,37,42,72,61,0.074,No Data,0.764,No Data,No Data,16.9,No Data
11X153,P.S. 153 Helen Keller,16,No Data,0.82,Well Developed,No Data,No Data,No Data,0.875,21,No Data,26%,0.133,0.43,296,No Data,0.89,No Data,No Data,No Data,0.488,Elementary,10,No Data,0.672,0.94,Well Developed,Well Developed,No Data,0.855,Proficient,No Data,90,67,63,340,0.017,No Data,0.879,No Data,No Data,5.9,No Data
17K061,M.S. 061 Dr. Gladstone H. Atwell,10,56,0.76,Proficient,No Data,No Data,86,No Data,No Data,0.807,45%,0.251,0.45,284,0.983,0.8,0.289,175,80,0.49,Middle,No Data,0.989,No Data,0.91,Well Developed,Well Developed,175,0.732,Developing,0.651,6,No Data,110,482,0.041,105,0.766,0.125,No Data,3.7,175
25Q020,P.S. 020 John Bowne,32,No Data,0.8,No Data,0.202,No Data,No Data,0.688,43,No Data,28%,0.165,0.29,589,No Data,0.98,No Data,No Data,No Data,0.514,Elementary,13,No Data,0.939,0.95,Proficient,Well Developed,No Data,0.835,Proficient,No Data,809,96,138,46,0.351,No Data,0.835,No Data,No Data,11.9,No Data
12X067,P.S. 067 Mohegan School,1,No Data,0.75,Well Developed,No Data,No Data,No Data,No Data,22,No Data,89%,0.357,0.2,219,No Data,0.86,No Data,No Data,No Data,0.509,Elementary,14,No Data,0.774,0.94,Proficient,Proficient,No Data,0.63,Proficient,No Data,No Data,35,83,112,0.151,No Data,0.657,No Data,No Data,7.9,No Data
09X555,Mount Eden Children's Academy,2,No Data,0.87,Well Developed,0,No Data,No Data,No Data,18,No Data,83%,0.139,0.46,196,No Data,0.98,No Data,No Data,No Data,0.516,Elementary,1,No Data,0.758,0.96,Well Developed,Well Developed,No Data,0.847,Well Developed,No Data,No Data,33,46,72,0.202,No Data,0.875,No Data,No Data,3.6,No Data
03M054,J.H.S. 054 Booker T. Washington,444,7,0.8,Well Developed,No Data,No Data,232,0.982,No Data,0.995,93%,0.068,0.23,401,0.789,0.9,0.2,242,206,0.484,Middle,No Data,0.998,No Data,0.94,Well Developed,Well Developed,242,0.91,Well Developed,0.966,85,No Data,122,75,0.017,184,0.953,No Data,No Data,15.4,242
19K678,East New York Middle School of Excellence,7,19,0.8,No Data,0,No Data,17,No Data,No Data,No Data,91%,0.247,0.9,143,1,0.89,0.071,73,12,0.546,Middle,No Data,1,No Data,0.98,Proficient,Proficient,73,0.72,Proficient,0.235,7,No Data,71,136,0.115,13,0.792,0.053,No Data,8,73
26Q162,P.S. 162 John Golden,84,No Data,0.68,Well Developed,0.186,No Data,No Data,0.917,26,No Data,54%,0.084,0.18,331,No Data,0.76,No Data,No Data,No Data,0.523,Elementary,3,No Data,0.837,0.95,Proficient,Proficient,No Data,0.927,Proficient,No Data,468,75,84,11,0.255,No Data,0.904,No Data,No Data,5,No Data
28Q048,P.S. 048 William Wordsworth,6,No Data,0.63,Well Developed,0.125,0.5,No Data,No Data,32,No Data,20%,0.257,0.14,265,No Data,0.78,No Data,No Data,No Data,0.511,Elementary,15,No Data,0.688,0.93,Proficient,Well Developed,No Data,0.77,Proficient,No Data,111,33,102,259,0.094,No Data,0.715,No Data,No Data,13.6,No Data
08X367,"Archimedes Academy for Math, Science and Technolog",5,24,No Data,Well Developed,No Data,No Data,30,No Data,No Data,0.938,,0.224,0.33,156,0.419,No Data,0.19,93,21,0.561,Middle,No Data,0.969,No Data,No Data,Proficient,Proficient,93,0.821,Developing,0.6,31,No Data,69,80,0.077,16,0.719,0.167,No Data,13.1,93
08X093,P.S. 093 Albert G. Oliver,2,No Data,0.84,Proficient,No Data,No Data,No Data,No Data,20,No Data,21%,0.364,0.17,145,No Data,0.98,No Data,No Data,No Data,0.544,Elementary,13,No Data,No Data,0.97,Proficient,Well Developed,No Data,0.621,Well Developed,No Data,3,10,52,123,0.084,No Data,0.652,No Data,No Data,7.9,No Data
08X130,P.S. 130 Abram Stevens Hewitt,7,No Data,0.8,Well Developed,No Data,No Data,No Data,No Data,28,No Data,83%,0.307,0.33,194,No Data,0.87,No Data,No Data,No Data,0.536,Elementary,46,No Data,0.933,0.96,Developing,Well Developed,No Data,0.68,Proficient,No Data,3,18,92,84,0.256,No Data,0.706,No Data,No Data,13.5,No Data
28Q680,Queens Gateway to Health Sciences Secondary School,10,5,0.74,Proficient,No Data,1,81,No Data,No Data,1,26%,0.014,0.14,143,1,0.7,No Data,94,77,0.52,Middle,No Data,0.989,No Data,0.77,Well Developed,Well Developed,94,0.986,Proficient,0.988,150,No Data,37,60,0.007,88,0.985,No Data,No Data,8.2,94
13K307,P.S. 307 Daniel Hale Williams,28,No Data,0.57,Proficient,0.102,No Data,No Data,0.857,21,No Data,30%,0.387,0.22,167,No Data,0.77,No Data,No Data,No Data,0.55,Elementary,13,No Data,0.667,0.98,Proficient,Proficient,No Data,0.665,Well Developed,No Data,7,16,109,163,0.037,No Data,0.552,No Data,No Data,5.1,No Data
09X011,P.S. 011 Highbridge,6,No Data,0.78,Well Developed,0,No Data,No Data,No Data,45,No Data,16%,0.386,0.32,255,No Data,0.77,No Data,No Data,No Data,0.481,Elementary,23,No Data,0.364,0.93,Well Developed,Well Developed,No Data,0.627,Well Developed,No Data,No Data,23,116,150,0.238,No Data,0.601,No Data,No Data,8.4,No Data
12X098,J.H.S. 098 Herman Ridder,4,10,0.62,Developing,No Data,No Data,13,No Data,No Data,0.957,54%,0.49,0.6,127,0.194,0.76,0.238,103,10,0.478,Middle,No Data,0.97,No Data,0.65,Developing,Proficient,103,0.488,Developing,No Data,3,No Data,55,67,0.39,20,0.529,No Data,No Data,0.9,103
24Q102,P.S. 102 Bayview,34,16,0.76,Proficient,0.125,No Data,92,0.853,No Data,1,73%,0.129,0.25,661,0.218,0.92,0.259,142,62,0.515,K-8,No Data,1,No Data,0.93,Well Developed,Well Developed,142,0.88,Proficient,0.88,735,No Data,146,46,0.151,31,0.861,0.563,0.949,2.4,142
27Q100,P.S. 100 Glen Morris,28,No Data,0.82,Well Developed,No Data,0.788,No Data,0.786,45,No Data,47%,0.217,0.22,411,No Data,0.94,No Data,No Data,No Data,0.498,Elementary,7,No Data,0.802,0.97,Well Developed,Well Developed,No Data,0.781,Well Developed,No Data,230,83,142,46,0.102,No Data,0.785,No Data,0.688,10.2,No Data
27Q042,P.S./M.S 042 R. Vernam,11,18,0.81,Proficient,0.093,No Data,3,No Data,No Data,No Data,88%,0.484,0.52,308,1,0.86,0.345,48,6,0.511,K-8,No Data,1,No Data,0.94,Proficient,Proficient,48,0.503,Proficient,No Data,16,No Data,177,406,0.036,48,0.529,0.222,No Data,8.9,48
18K219,P.S. 219 Kennedy-King,10,No Data,0.76,Proficient,0,No Data,No Data,No Data,16,No Data,23%,0.366,0.45,189,No Data,0.93,No Data,No Data,No Data,0.529,Elementary,12,No Data,0.591,0.94,Proficient,Proficient,No Data,0.619,Proficient,No Data,2,19,82,291,0.135,No Data,0.651,No Data,No Data,18.5,No Data
25Q214,P.S. 214 Cadwallader Colden,7,No Data,No Data,Well Developed,0.188,No Data,No Data,No Data,18,No Data,0%,0.091,0.13,193,No Data,0.95,No Data,No Data,No Data,0.488,Elementary,4,No Data,0.897,0.93,Well Developed,Well Developed,No Data,0.896,Proficient,No Data,248,78,55,28,0.226,No Data,0.921,No Data,No Data,10.4,No Data
24Q071,P.S. 071 Forest,211,No Data,0.96,No Data,No Data,0.7,No Data,0.744,40,No Data,52%,0.285,0.41,328,No Data,0.94,No Data,No Data,No Data,0.523,Elementary,26,No Data,0.86,0.95,Well Developed,Well Developed,No Data,0.698,Well Developed,No Data,24,58,102,6,0.185,No Data,0.734,No Data,0.867,6.9,No Data
18K272,P.S. 272 Curtis Estabrook,17,No Data,No Data,Proficient,No Data,No Data,No Data,0.471,23,No Data,2%,0.467,0.33,214,No Data,0.94,No Data,No Data,No Data,0.509,Elementary,21,No Data,No Data,0.94,Proficient,Proficient,No Data,0.481,Proficient,No Data,4,13,129,306,0.064,No Data,0.588,No Data,No Data,14.4,No Data
20K205,P.S. 205 Clarion,226,No Data,0.81,Well Developed,0.083,No Data,No Data,0.788,37,No Data,55%,0.137,0.22,618,No Data,0.95,No Data,No Data,No Data,0.485,Elementary,16,No Data,0.967,0.96,Proficient,Proficient,No Data,0.885,Proficient,No Data,742,106,199,23,0.19,No Data,0.841,No Data,No Data,2.1,No Data
01M332,University Neighborhood Middle School,21,18,No Data,Proficient,0.2,No Data,12,0.81,No Data,No Data,,0.27,0.16,138,0.714,No Data,0.154,70,8,0.624,Middle,No Data,0.881,No Data,No Data,Proficient,Proficient,70,0.717,Proficient,No Data,15,No Data,85,44,0.05,47,0.75,0.056,No Data,11.8,70
21K098,I.S. 98 Bay Academy,885,42,0.9,No Data,No Data,No Data,416,0.928,No Data,1,92%,0.066,0.48,756,0.455,0.95,No Data,505,342,0.47,Middle,No Data,1,No Data,0.89,Well Developed,Well Developed,505,0.93,Well Developed,0.94,457,No Data,151,40,0.009,205,0.938,0.667,No Data,10.9,505
10X023,P.S. 023 The New Children's School,4,No Data,0.75,Proficient,0,No Data,No Data,No Data,34,No Data,62%,0.359,0.34,207,No Data,0.96,No Data,No Data,No Data,0.518,Elementary,29,No Data,0.5,0.98,Proficient,Proficient,No Data,0.662,Proficient,No Data,4,19,99,127,0.223,No Data,0.62,No Data,No Data,10.9,No Data
19K159,P.S. 159 Isaac Pitkin,11,No Data,0.91,Well Developed,0.093,0.706,No Data,No Data,40,No Data,93%,0.333,0.65,384,No Data,0.97,No Data,No Data,No Data,0.507,Elementary,44,No Data,0.667,0.95,Well Developed,Well Developed,No Data,0.672,Proficient,No Data,328,43,100,208,0.152,No Data,0.661,No Data,No Data,14.1,No Data
06M132,P.S. 132 Juan Pablo Duarte,5,No Data,0.71,Proficient,No Data,No Data,No Data,No Data,13,No Data,72%,0.181,0.24,116,No Data,0.88,No Data,No Data,No Data,0.537,Elementary,23,No Data,No Data,0.97,Proficient,Proficient,No Data,0.853,Proficient,No Data,No Data,14,49,7,0.439,No Data,0.78,No Data,No Data,0.9,No Data
23K392,I.S. 392,6,17,0.96,No Data,0,No Data,48,No Data,No Data,0.658,87%,0.172,0.5,142,0.962,0.98,No Data,104,44,0.436,Middle,No Data,1,No Data,0.94,Proficient,Well Developed,104,0.824,Proficient,0.771,6,No Data,60,252,0.009,100,0.832,0.471,No Data,7.2,104
09X073,P.S. 073 Bronx,6,No Data,No Data,Proficient,No Data,No Data,No Data,No Data,38,No Data,0%,0.429,0.48,284,No Data,0.94,No Data,No Data,No Data,0.538,Elementary,58,No Data,No Data,0.93,Developing,Proficient,No Data,0.56,Proficient,No Data,No Data,15,95,144,0.253,No Data,0.583,No Data,No Data,7.9,No Data
21K226,P.S. 226 Alfred De B. Mason,371,24,No Data,Well Developed,No Data,No Data,56,0.765,No Data,0.972,0%,0.175,0.18,522,0.462,0.98,No Data,130,34,0.527,K-8,No Data,1,No Data,0.95,Well Developed,Well Developed,130,0.841,Proficient,0.821,288,No Data,162,16,0.279,60,0.806,0.5,No Data,4.1,130
18K244,P.S. 244 Richard R. Green,7,No Data,0.77,Proficient,No Data,No Data,No Data,No Data,15,No Data,56%,0.23,0.36,233,No Data,0.76,No Data,No Data,No Data,0.585,Elementary,19,No Data,0.73,0.94,Proficient,Proficient,No Data,0.794,Proficient,No Data,7,41,88,354,0.038,No Data,0.737,No Data,No Data,6.9,No Data
12X212,P.S. 212,2,No Data,0.97,Developing,No Data,No Data,No Data,No Data,12,No Data,38%,0.368,0.1,69,No Data,0.76,No Data,No Data,No Data,0.452,Elementary,12,No Data,No Data,0.92,Developing,Developing,No Data,0.652,Developing,No Data,No Data,4,21,43,0.253,No Data,0.614,No Data,No Data,0.5,No Data
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,No Data,14,0.79,No Data,0,No Data,26,No Data,No Data,1,90%,0.245,0.2,209,1,0.92,No Data,48,10,0.499,K-8,No Data,1,No Data,0.95,Well Developed,Well Developed,48,0.746,Proficient,0.346,No Data,No Data,91,5,0.351,48,0.763,No Data,No Data,16.1,48
11X097,P.S. 097 Bronx,81,No Data,0.84,Well Developed,No Data,No Data,No Data,0.877,33,No Data,33%,0.184,0.25,291,No Data,0.83,No Data,No Data,No Data,0.49,Elementary,16,No Data,0.628,0.95,Well Developed,Well Developed,No Data,0.804,Well Developed,No Data,106,48,111,164,0.078,No Data,0.828,No Data,No Data,13.9,No Data
