program_code,location_1,location_2,enrollment,meals,early_drop_off_available,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available
17K221,791 Empire Boulevard,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",31.0,Breakfast/Lunch,No,1.0,3.0,No
32KBGU,295 Woodbine Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",59.0,Breakfast/Lunch/Snack(s),Yes,0.97,4.0,Yes
04M964,19 East 103rd Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",18.0,Breakfast/Lunch/Snack(s),No,0.97,1.0,No
24Q088,60-85 Catalpa Avenue,"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",34.0,Breakfast/Lunch/Snack(s),No,0.86,4.0,No
24Q305,378 Seneca Avenue,"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",32.0,Breakfast/Lunch,Yes,0.95,4.0,No
11X078,1400 Needham Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10469""}'}",36.0,Breakfast/Lunch,No,1.0,3.0,No
02M011,320 West 21st Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",18.0,Breakfast/Lunch/Snack(s),No,1.0,3.0,No
20KBQB,762 59th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",43.0,Breakfast/Lunch/Snack(s),Yes,1.0,4.0,Yes
29Q037,179-37 137th Avenue,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11434""}'}",44.0,Breakfast/Lunch/Snack(s),No,0.88,3.0,No
06M008,465 West 167th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10032""}'}",46.0,Breakfast/Lunch,No,1.0,3.0,No
21KBAE,133 27 Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",,,,,,
20K112,7115 15th Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11228""}'}",17.0,Breakfast/Lunch/Snack(s),Yes,0.81,4.0,No
03M145,150 West 105th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10025""}'}",51.0,Breakfast/Lunch,No,0.95,2.0,No
28Q349,88-08 164th Street,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11432""}'}",35.0,Contact program directly for details,No,0.92,4.0,No
22K203,5101 Avenue M,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",84.0,Breakfast/Lunch,No,0.96,3.0,No
20K200,1940 Benson Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",40.0,Breakfast/Lunch,Yes,0.98,3.0,Yes
23K327,111 Bristol Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",25.0,Breakfast/Lunch,No,0.88,3.0,No
20KBPS,1681 49th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",37.0,Breakfast/Lunch/Snack(s),Yes,0.92,3.0,Yes
18KAVQ,9502 Seaview Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",64.0,Breakfast/Lunch/Snack(s),Yes,0.99,3.0,Yes
27Q316,90-07 101st Avenue,"{'human_address': '{""address"": """", ""city"": ""OZONE PARK"", ""state"": ""NY"", ""zip"": ""11416""}'}",144.0,Breakfast/Lunch,No,1.0,3.0,No
21KAOV,1102 Avenue L,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11230""}'}",27.0,Contact program directly for details,No,1.0,4.0,No
01M015,333 East 4th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10009""}'}",17.0,Breakfast/Lunch,No,0.94,2.0,No
31R003,80 South Goff Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10309""}'}",36.0,Breakfast/Lunch,Yes,0.99,3.0,Yes
17K705,443 St Marks Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11238""}'}",53.0,Breakfast/Lunch,Yes,0.99,3.0,Yes
27Q253,1307 Central Avenue,"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",32.0,Breakfast/Lunch/Snack(s),No,0.89,1.0,No
08X304,2750 Lafayette Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10465""}'}",35.0,Breakfast/Lunch,No,1.0,3.0,No
07XASK,170 Brown Place,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",,,,,3.0,
32K274,800 Bushwick Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",27.0,Breakfast/Lunch,Yes,1.0,3.0,No
02M212,328 West 48th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",36.0,Breakfast/Lunch/Snack(s),No,0.95,3.0,Yes
04MATB,1724-26 Madison Avenue,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",20.0,Breakfast/Lunch/Snack(s),No,0.95,3.0,Yes
17K770,60 East 94th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",34.0,Breakfast/Lunch,No,1.0,4.0,Yes
12X067,2024 Mohegan Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",44.0,Breakfast/Lunch,No,0.9,3.0,No
09X199,1449 Shakespeare Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10452""}'}",41.0,Lunch/Snack(s),No,1.0,3.0,No
20KBJO,1349/53 50th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",27.0,Breakfast/Lunch/Snack(s),No,1.0,4.0,No
18K268,133 East 53rd Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",32.0,Breakfast/Lunch,Yes,1.0,1.0,No
22KATR,2953 Avenue X,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",,,,,,
19K677,605 Shepherd Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",28.0,Breakfast/Lunch/Snack(s),No,,4.0,No
31RAAN,200 Boscombe Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10309""}'}",17.0,Lunch/Snack(s),Yes,0.98,4.0,Yes
30Q222,86-15 37th Avenue,"{'human_address': '{""address"": """", ""city"": ""JACKSON HEIGHTS"", ""state"": ""NY"", ""zip"": ""11372""}'}",40.0,Contact program directly for details,Yes,0.94,4.0,Yes
22KAOQ,2611 Avenue Z,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",7.0,Breakfast,Yes,,4.0,Yes
30Q111,37-15 13th Street,"{'human_address': '{""address"": """", ""city"": ""LONG ISLAND CITY"", ""state"": ""NY"", ""zip"": ""11101""}'}",20.0,Breakfast/Lunch,No,0.78,4.0,Yes
27Q155,130-02 115th Avenue,"{'human_address': '{""address"": """", ""city"": ""SOUTH OZONE PARK"", ""state"": ""NY"", ""zip"": ""11420""}'}",54.0,Breakfast/Lunch/Snack(s),No,1.0,4.0,No
32KBRA,600 Hart Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",62.0,Breakfast/Lunch/Snack(s),Yes,0.97,1.0,Yes
19KBJQ,921 Hegeman Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",50.0,Breakfast/Lunch/Snack(s),Yes,0.98,4.0,Yes
30Q017,28-37 29th Street,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11102""}'}",44.0,Breakfast/Lunch,No,0.99,3.0,Yes
26QASH,64-41 Utopia Parkway,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11365""}'}",32.0,Breakfast/Lunch/Snack(s),Yes,0.88,3.0,Yes
17KAFB,721 Lincoln Place,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",14.0,Lunch/Snack(s),No,1.0,3.0,No
30Q228,32-63 93rd Street,"{'human_address': '{""address"": """", ""city"": ""EAST ELMHURST"", ""state"": ""NY"", ""zip"": ""11369""}'}",33.0,Breakfast/Lunch,No,1.0,3.0,No
27Q254,84-40 101st Street,"{'human_address': '{""address"": """", ""city"": ""RICHMOND HILL"", ""state"": ""NY"", ""zip"": ""11418""}'}",34.0,Breakfast/Lunch/Snack(s),No,1.0,4.0,No
17K394,188 Rochester Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",60.0,Breakfast/Lunch,Yes,0.8,3.0,No
18KBOW,141 East 40th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",25.0,Contact program directly for details,Yes,0.94,3.0,No
25Q242,29-66 137th Street,"{'human_address': '{""address"": """", ""city"": ""FLUSHING"", ""state"": ""NY"", ""zip"": ""11354""}'}",36.0,Breakfast/Lunch,No,0.98,3.0,No
14K018,101 Maujer Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",16.0,Breakfast/Lunch,Yes,0.92,3.0,No
23K156,104 Sutter Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",35.0,Breakfast/Lunch,No,1.0,4.0,No
32KAJI,438 Grove Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",17.0,Breakfast/Lunch,No,1.0,3.0,Yes
06M210,501-503 West 152nd Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10031""}'}",18.0,Breakfast/Lunch,No,0.87,4.0,No
21KBWQ,2960 West 27th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11224""}'}",28.0,Breakfast/Lunch/Snack(s),Yes,,3.0,No
16KBNN,971 Dekalb Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",,,,,,
22KAMW,555 Ocean Parkway,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11218""}'}",27.0,Contact program directly for details,No,,,No
24Q199,39-20 48th Avenue,"{'human_address': '{""address"": """", ""city"": ""SUNNYSIDE"", ""state"": ""NY"", ""zip"": ""11104""}'}",52.0,Contact program directly for details,No,0.99,4.0,No
31R022,1860 Forest Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10303""}'}",18.0,Breakfast/Lunch/Snack(s),No,,3.0,No
17KBLJ,60 East 93rd Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",47.0,Breakfast/Lunch/Snack(s),No,0.89,3.0,No
20KAHX,257 Bay Ridge Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",144.0,Breakfast/Lunch/Snack(s),Yes,0.99,4.0,Yes
08X069,560 Thieriot Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10473""}'}",54.0,Breakfast/Lunch,No,0.95,3.0,No
31R009,1055 Targee Street,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10304""}'}",36.0,Breakfast/Lunch,No,0.96,4.0,Yes
20KBIZ,1363 50th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",60.0,Breakfast/Lunch/Snack(s),No,1.0,4.0,No
28Q048,108-29 155th Street,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11433""}'}",53.0,Breakfast/Lunch,No,0.94,3.0,No
15KBEP,713 43rd Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11232""}'}",72.0,Breakfast/Lunch/Snack(s),No,0.94,3.0,No
01M064,600 East 6th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10009""}'}",21.0,Breakfast/Lunch/Snack(s),No,,1.0,Yes
