code_prog1,selectioncriteria7_prog2,swdapps_prog15,eligibility_prog11,selectioncriteria3_prog4,eligibility_prog9,geseats_prog1,code_prog9,swdapps_prog4,code_prog14,priority2_prog4,gefilled_prog8,swdseats_prog14,selectioncriteria3_prog9,selectioncriteria1_prog1,code_prog8,priority2_prog2,bus,geappsperseat_prog8,postcode,selectioncriteria4_prog4,code_prog5,swdapps_prog5,priority1_prog4,gefilled_prog15,swdappsperseat_prog15,swdapps_prog13,name_prog1,totalstudents,admissionsmethod_prog1,coursepassrate,swdfilled_prog13,selectioncriteria7_prog8,geappsperseat_prog4,priority1_prog1,selectioncriteria5_prog8,code_prog2,priority4_prog1,address,geapps_prog1,swdapps_prog10,selectioncriteria1_prog9,priority4_prog2,independentwebsite,selectioncriteria3_prog1,overview,census_tract,eligibility_prog8,geseats_prog6,priority7_prog1,surveysafety,name_prog15,geapps_prog10,swdseats_prog11,priority5_prog1
M114M,,,,,,123.0,,,,,,,,4th Grade New York State ELA and Math Exams,,,"BxM1, BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M15, M15-SBS, M31, M86-SBS, M96, M98",,10128.0,,,,,,,,East Side Middle School,451.0,Screened,100.0,,,,,,,,"331 EAST 91ST STREET, MANHATTAN NY 10128",872.0,,,,www.esms.org,Attendance,"Being a member of East Side Middle School is being a member of a community that values each student's talents and ambitions. We also value the opportunities and responsibilities of each student to develop the leadership skills that they can apply to enhance whatever communities they join.  An academically rigorous program, we strongly value the arts and have a great dance and visual arts program.  We also value the emotional and mental well being of our students as much as their academic success. All students at ESMS take courses in anti bullying, implicit bias, resilience,  healthy relationships, social and emotional literacy,  and sexual health. Our after school program offers programs in all team sports, the arts, including theater, STEAM programs, debate and Model UN.   We have a vibrant LGBTQ community, and a great GSA. Our student council has worked on anti hunger projects, no-naming calling weeks, international night and helped draft legislation that was signed into law in New York City.  In our electives program, last period on Fridays, we offers classes in the arts, athletics and academics. Often, these classes are designed by and taught by our students.  If a student wants to contribute to our community, it will happen.",154.0,,,,96.0,,,,
Q093E,,,,,,,,54.0,,,,,,,,,"B13, B20, B38, Q38, Q39, Q54, Q55, Q58, Q67, QM24, QM25, QM34",,11385.0,,,,,,,,I.S. 093 Ridgewood D75 Inclusion Program,1124.0,D75 Special Education Inclusive Services,95.0,,,1.0,,,Q093M,,"66-56 FOREST AVENUE, QUEENS NY 11385",,,,,www.is93.org,,"There is something for everyone at I.S. 93:  academics, sports, arts, clubs, and events.  Students choose from art, drama, music, and stem programs.  Students participate in cheerleading, basketball, volleyball, badminton, soccer, and handball.  Students are involved in National Junior Honor Society and community service projects.  Some students enroll in our U.S. Navy Cadets Program, and other students are in our 3-year Spanish Dual Language Honors Program.  Every year for the past ten years, our student Stock Market Team has finished victorious, and our Cheer Team has gone to national competitions at Disney World and Virginia Beach the past three years.  Students can learn to be Peer Mediators.  They can also be a part of our Student Council (aka Student Voice).  Some events include our College Pep Rally, school dances, Annual Science Expo, Annual Art Exhibit, two drama productions, Annual Beacon Show, which includes our Step Team, and our Annual Talent Show.  8th graders have the chance to earn Regents credit in Algebra and Earth Science.  This list of learning opportunities continues.",589.0,,,,82.0,,,,
K266E,,,,,,,,,,,,,,,,,"B103, B37, B41, B45, B63, B65, B67, B69",,11217.0,,,,,,,,M.S. K266 - Park Place Community Middle School D75 Inclusion Program,160.0,D75 Special Education Inclusive Services,81.0,,,,,,K266S,,"62 PARK PLACE, BROOKLYN NY 11217",,,,,,,"At Park Place Community School (M.S. 266), our mission is to create an environment that promotes respect for racial and cultural diversity, to deliver a rigorous academic curriculum, to utilize best practices for middle school education, to utilize community and technological resources to increase opportunities for intellectual and social development, and to develop well-rounded students through participation in the arts. All students learn to play a musical instrument thanks to funding from the VH1 Save the Music Foundation. All of our students receive an opportunity to graduate with high school Regents credits in math, science, and foreign language. They also have a personal planner, access to online Jupiter Gradebook to monitor academic progress, a school email address, and opportunities to learn chess and to travel out of the state of New York. In 2013, our students traveled to Washington, DC to witness the presidential inauguration. Our students also travel to Vermont every school year to participate in Farms for City Kids. We offer three distinct programs for our students: STEM Institute, Liberal Arts Institute, and Arts Institute. Our official extended day afterschool program is facilitated by ArtsConnection.",12902.0,,,,88.0,,,,
M289S,,,,,,77.0,,,,,,,,Academic and Personal Behavior Scores,,,"BM1, BM2, BM3, BM4, BxM18, M103, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X15, X17, X17A, X19, X27, X28, X3, X4, X7, X8, X9",,10282.0,,,,,,,,Hudson River Middle School (I.S. 289),284.0,Screened,91.0,,,,,,,,"201 WARREN STREET, MANHATTAN NY 10282",478.0,,,,,Final 4th Grade Report Card,"At I.S. 289, students engage in many interdisciplinary and collaborative projects. Additionally, I.S. 289 has an exciting and enriching after-school program on-site that includes sports, academic support, arts, and technology classes. Parents appreciate the small size of the school and easy access to staff. The school has high expectations for all students, accompanied by high levels of support.",31703.0,,,,88.0,,,,
M378L,,,,,,75.0,,,,,,,,,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M8, M9",,10002.0,,,,,,,,School For Global Leaders,250.0,Limited Unscreened,83.0,,,,Priority to District 1 students and residents who sign in at an event,,M378M,,"145 STANTON STREET, MANHATTAN NY 10002",127.0,,,,,,"The School for Global Leaders is an innovative middle school known for providing students with rigorous academic, creative, and leadership opportunities. Families love our small class sizes, dynamic teaching team, and warm, flexible classroom environments. We make learning relevant to the real world, encouraging collaborative work and problem solving as students explore community and world issues. Twice a year Global Leaders self select Integrated Projects courses in which they work collaboratively on meaningful service-learning projects. Alongside a challenging and engaging core curriculum, we offer a robust Arts and elective program; students select at least one elective course a year from the following options: Coding, Integrated Algebra, Culinary, Gardening and Ecology, Weight Training, Dance, School Newspaper, Comic and Graphic Novel Arts, Chorus, Theatre, and Advance Visual Arts (HS Portfolio Intensive). In addition, partnerships with Lincoln Center Education and Broadway Junior help us provide high quality Arts education throughout the entire year to every child. Global Leaders is not only a school-we are a family who learns together, plays together, grows together and supports one another.",3001.0,,,,89.0,,,,
K349U,,,,,,74.0,,,,,,,,,,,"B13, B38, B46, B47, B54, B57, B60",,11221.0,,,,,,,,"Math, Science & Technology Magnet Program",328.0,Open,94.0,,,,Priority to District 32 students and residents,,K349Z,,"35 STARR STREET, BROOKLYN NY 11221",382.0,,,,,,"IS 349 is a small middle school located in the heart of bushwick.  Our focus is Science, Math, and Technology. Every classroom has smart boards. We're have new science labs for our students and new computers coming into our school yearly. We work closely with our Community Based Organizations  to provide trips, events, dance recitals, positive reinforcements, etc.",423.0,,,,77.0,,,,
Q005E,,,,,,,,53.0,,,,,,,,,"Q18, Q47, Q53, Q58, Q59, Q60",,11373.0,,,,,,,,I.S. 5 - The Walter Crowley Intermediate School D75 Inclusion Program,1788.0,D75 Special Education Inclusive Services,93.0,,,1.0,,,Q005M,,"50-40 JACOBUS STREET, QUEENS NY 11373",,,,,,,"At I.S. 5, We Talk Like Scholars, Write Like Experts, Think Like Innovators, and Live Like Leaders! Students appreciate that I.S. 5 provides them with a nurturing learning environment which is focused on developing their academic and emotional needs to prepare every student for high school and beyond. In order to foster connections between staff and students in a large middle school setting, I.S. 5 consists of four learning communities commonly referred to as Community of Scholars, Community of Experts, Community of Innovators, and Community of Leaders. Our school community is currently engaging in opportunities for project-based learning, with hands-on projects that highlight the importance of global citizenship and the legacies of our contributions in the community at large. We are continuing to build student socio- emotional growth through the incorporation of Leader in Me and a tiered approach to Next Level Readiness support through Grade Six Advisories, Grade Seven College Access for All, and Grade Eight Research and Media Studies. We pride ourselves on engaging students to build autonomous learners that will be successful members of the 21st century and communicating and celebrating student growth with our parents and families.",489.0,,,,85.0,,,,
X454L,,,,,,81.0,,,,,,,,,,,"Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, BxM4",,10456.0,,,,,,,,Science and Technology Academy: A Mott Hall School,450.0,Limited Unscreened,98.0,,,,Priority to residents of the middle school zone who sign in at an event,,,Then to District 9 students and residents,"250 EAST 164 STREET, BRONX NY 10456",595.0,,,,www.motthallsta.org,,"Instructional Focus We provide courses of study designed to meet the educational requirements of students in the middle school via a commitment to preparing our youngsters for the changing demands of the 21st century. Students understand the literacy and numeracy competencies required to thrive now and in the future, such as capacity for life-long learning, expert thinking, effective communication and problem solving in diverse human groups. Finally, our students have the opportunity to take nine Regents credits in Earth Science, Algebra and Living Environment at graduation.  Area of celebration --International Baccalaureate Middle Year Program authorized.  --Highly Qualified AVID (Advancement in  Individual Determination) certified status. --100% Pass rate in Algebra Regents and 93% pass rate in Earth Science Regents.  Partnerships --Organization of International Baccalaureate Schools  --	Sports and Arts in School Foundation --Manhattan Girls Club --	Arthur Miller Foundation.",18302.0,,,,95.0,,,,Then to Bronx students and residents who sign in at an event
Q074A,,,,,,60.0,,24.0,,,,,,4th Grade New York State ELA Exam: 22.5%,,,"Q30, Q76, Q88, QM35, QM5, QM8",,11364.0,,,,,,,,J.H.S. 74 Nathaniel Hawthorne Gifted & Talented Program,1158.0,Composite Score,99.0,,,1.0,,,Q074X,,"61-15 OCEANIA STREET, QUEENS NY 11364",634.0,,,,www.MS74.com,Academic and Personal Behaviors: 5%,"At the Nathaniel Hawthorne Middle School, TEAM74, we believe that Together, Everyone Achieves More!  This is realized through all avenues within our Respect For ALL school; students, staff and families are equally valued.  Our collective contributions are evident in our all that we do, including our offerings of over 30 before and after-school activities, annual spring musical, concerts, sports teams Family Nights and more.",1367.0,,,,79.0,,,,
M349M,,,,,,55.0,,,,,,,,ELL Status,,,"Bx11, Bx13, Bx3, Bx35, Bx36, Bx7, M100, M101, M2, M3, M4, M5, M98",,10033.0,,,,,,,,Harbor Heights Transitional Bilingual Education Program (Spanish),129.0,Screened: Language,93.0,,,,,,,,"306 FORT WASHINGTON AVENUE, MANHATTAN NY 10033",114.0,,,,www.facebook.com/harborheightsmiddleschoolnyc,,"The Harbor Heights Middle School Family graduates successful and caring citizens of the world.  We engage immigrant students in the development of academic, linguistic and cross-cultural skills necessary for achievement in high school and beyond.  We value academic strengths and social experiences our students bring to Harbor Heights and build upon them as we  guide students to master the New York State core curriculum and life-long learning skills at the same time they are learning academic English.  We recognize and promote active engagement of school staff, families and diverse communities in order to reach our goals.  We offer reduced class sizes and multiple opportunities for success in our expanded learning programs that include a free three-hour after school academic and extracurricular program five days a week in our building, for all students in partnership with the Y & YMHA of Washington Heights/Inwood. Our 6th graders attend six entire operas at the New York Metropolitan Opera House as part of an opera class taught by our principal; our 7th graders spend three days and two nights in an Environmental Education Camp experience and our 8th graders benefit from a ten week ballroom dance residency program.",263.0,,,,90.0,,,,
Q309L,,,,,,71.0,,,,,,,,,,,"Q114, Q22, QM17",,11691.0,,,,,,,,Academy of Medical Technology,626.0,Limited Unscreened,92.0,,,,Priority to District 27 students and residents who sign in at an event,,,,"8-21 BAY 25 STREET, QUEENS NY 11691",340.0,,,,www.AMTNYC.org,,"Our mission is to provide students with a rich education through the lens of the healthcare professions. We strive to fulfill the societal need for quality clinicians, nurses, and doctors. Students gain the knowledge and skills necessary to become members of a health care team. We stress a hands on approach to the sciences and STEM education. Our focus on college and career readiness starts in the middle school with trips to visit local colleges to give students strong, realistic goals. Our partnership with Plaza College and St. John's Hospital provides our students with the leadership and communications skills they need to be college- and career-ready. Our school community, made up of dedicated staff and parents, supports all students and provides a solid foundation for their success.",100802.0,,,,84.0,,,,
Q190E,,,,,,,,,,,,,,,,Then to District 28 students and residents,"Q23, Q60, Q64, QM11, QM12, QM18, QM4, QM42, QM44",,11375.0,,,,,,,,J.H.S. 190 Russell Sage D75 Inclusion Program,1082.0,D75 Special Education Inclusive Services,97.0,,,,,,Q190U,,"68-17 AUSTIN STREET, QUEENS NY 11375",,,,,www.russellsagems.org,,"Students like our diverse, collaborative school community dedicated to achieving academic excellence for all students. Our nurturing environment fosters a family of lifelong learners. We pride ourselves on delivering challenging and engaging lessons as well as offering a multitude of activities to develop a well-rounded child. We offer Regents courses, Multiple Foreign Language courses, a full talent program which includes Fine Arts, Band, String and Dance courses. Students as well as parents appreciate the extra help and support available. We embrace our multicultural student body where we have a 100% respect for 100% of people, 100% of the time philosophy.  In addition, students have the opportunity to be inducted into the National Junior Honor Society (NJHS) and participate in the Mathcounts Competition and Urban Advantage Science Program. We have a state-of-the-art science lab, a newly renovated student-friendly library, two computer labs, multiple computer carts, and a fully-furnished dance studio. We have an active Parent Association whose members work tirelessly for the good of our school and support varieties of extra curriculums.",71305.0,,,,73.0,,,,
Q238U,,,,,,446.0,,,,,,,,,,,"Q1, Q110, Q17, Q2, Q3, Q36, Q43, Q76, Q77, Q83, X68",,11423.0,,,,,,,,Susan B. Anthony (I.S. 238),1301.0,Open,89.0,,,,Priority to residents of the middle school zone,,,,"88-15 182 STREET, QUEENS NY 11423",422.0,,,,,,"I.S. 238 ""The Susan B. Anthony Academy"" offers students of all abilities and learning styles the opportunity to succeed in a climate of respect for all members of the school community. All eighth-grade students take Integrated Algebra I Regents and Living Environment Regents. We are part of the Middle School Quality Initiative (MSQI) and the Art as Text Partnership through Lincoln Center. Our teachers frequently attend professional development sessions focused on student engagement and collaboration. Almost every classroom has interactive SMART Board technology, Promethean Flat Panel Systems, and we also have SMART Board Presentation Systems, wireless computer carts, and iPad carts. Additionally, we have an Apple iMac lab, graphic arts courses, chorus courses, and dance courses. We value our students and make their educational needs our priority.",470.0,,,,69.0,,,,
K690E,,,,,,,,,,,,,,,,Then to District 21 students and residents,"B1, B4, B6, B64, B8, B82",,11214.0,,,,,,,,Brooklyn Studio Secondary School D75 Inclusion Program,929.0,D75 Special Education Inclusive Services,96.0,,,,,,K690L,,"8310 21ST AVENUE, BROOKLYN NY 11214",,,,,,,"At Brooklyn Studio Secondary School, the needs of all learners are addressed in a fully inclusive setting which encourages each student to be an active participant in setting, monitoring, and meeting challenging academic goals. Curriculum is aligned to the Common Core learning standards and is enhanced through the most current technologies and web programs. Our small setting allows students to feel secure and supported in their relationships with their teachers. Parents appreciate the small size of our school and the supportive environment that it provides their children. Our students are exposed to a variety of arts experiences throughout the day, and continue their studies in instrumental music, digital communication in our high school. Another important factor for parents is that students from our middle school are given priority to attend our high school.",288.0,,,,83.0,,,,
K099Z,,,,,,57.0,,,,,,,,,,,"B11, B6, B68, B9",,11230.0,,,,,,,,Isaac Asimov (P.S. 99),861.0,Zoned,95.0,,,,Priority to continuing students,,,,"1120 EAST 10 STREET, BROOKLYN NY 11230",58.0,,,,,,"P.S. 99, located in the Midwood Section of Brooklyn, is a prekindergarten to eighth-grade school which serves a population of students from culturally diverse backgrounds. We are a collaborative school community dedicated to achieving high standards of academic excellence for all of our students. We work together to address the academic and social needs of our children. Citizenship is promoted and a love for learning is perpetuated. Through high quality standard-driven instruction, a nurturing environment, and the development of civic, social, and technological skills necessary to function productively in the world community, we create a community of lifelong learners. We have created building-wide wireless internet access and are proud that each student is provided with a personal tablet. All students utilize interactive digital curriculum throughout their courses. We have a computer lab that utilizes the latest technology available to us and each classroom has access to SMART Board technology.",454.0,,,,95.0,,,,
K136M,,,,,,,,,,,,,,,,,"B11, B35, B37, B63, B70",,11232.0,,,,,,,,Spanish Dual Language Program,506.0,Open,94.0,,,,Priority to Students and Residents of District 15,,K136N,,"4004 4 AVENUE, BROOKLYN NY 11232",,,,,www.ms136brooklyn.com,,"At Charles O. Dewey, students have their normal Common Core curriculum infused with technology , career readiness and the Seven Habits from the ""Leader in Me"" program. We are very successful with several shows through out the year, where we showcase mutlimedia artwork and performances created from our student body, and through our partnerships that was formed with NurtureArt, Aperture, Residency Unlimited, NYSSAA, Groundswell, Leader in Me Foundation, The Pulitzer Center, DiverCity Lens and our in-house CBO Center for Family Life. Through these collaborations, students have participated in art internships around mural execution and curating, art seminars, and workshops that connect them to artists in their community. Opportunities for creativity are limitless through a wide range of extracurricular activities and project-based learning in all content areas using STREAM (science, tech, reading, engineering, art and math).",82.0,,,,83.0,,,,
Q291E,,,,,,,,,,,,,,,,Then to District 30 students and residents,"B32, B43, B62, Q103",,11101.0,,,,,,,,Hunters Point Community Middle School D75 Inclusion Program,427.0,D75 Special Education Inclusive Services,100.0,,,,,,Q291L,,"1-50 51ST AVENUE, QUEENS NY 11101",,,,,www.hunterspointcms.org,,"We believe that each young person has unique talents and points of view that can be fully developed within a rigorous, diverse, and inclusive learning environment. Our mission is to spark young minds through scholarship, creativity, and community. Hunter's Point Community Middle School is located in a new building in an incredible location next to the East River. Through our project based teaching in and outside of the classroom, we consistently ask our students to think critically, to problem solve, to develop a growth mind set, to challenge themselves, and to work collaboratively in order to prepare  them for college and careers. Every student has an advisor that knows them well and our staff consistently communicates with families. In addition to our award winning curriculum (including math and science Regents courses for every student) we offer a strong arts, clubs,  and sports program during  the school day and after school.",1.0,,,,84.0,,,,
Q281U,,,,,,76.0,,,,,,,,,,,"Q17, Q20A, Q20B, Q25, Q27, Q34, Q44-SBS, Q65",,11355.0,,,,,,,,East-West School of International Studies,649.0,Open,95.0,,,,,,Q281Y,,"46-21 COLDEN STREET, QUEENS NY 11355",534.0,,,,www.ewsis.org,,"We focus on college and careers from grade 6. We are a small, inclusive school supporting all students through co-taught classes, many with 1:13 class ratios, allowing significant individual support. Students take three additional periods of Math and ELA per week to support high achievement and college readiness. Students take Japanese, Korean, and Chinese. Our school culture embraces our four pillars: honor, excellence, curiosity, and celebration. We pride ourselves on a positive, safe school environment through our anti-bullying program, Rachel's Challenge, advisory, school clubs, and student government. Our parent coordinator and on-site translators keep parents informed through a newsletter, calendar, and monthly First Fridays (parents are invited into EWSIS classes for the day). Assignments, grades, and attendance are available on Pupilpath. Our college focused 6-12 program has 100% of middle school students taking Regents classes, college trips starting in 6th grade, and a dedicated CBI college counselor who helps 100% of our students get accepted to college. We were a Recognition School in 2018-19 and a Respect for All School in 2017-18. It is expected that students come to EWSIS for a 7-year program, 6th through 12th grade.",845.0,,,,86.0,,,,
M859M,,,,,,0.0,,,,,,,,4th Grade New York State ELA and Math Exams,,,"BxM2, M10, M104, M11, M20, M5, M57, M66, M7, M72",,10023.0,,,,,,,,Special Music School,314.0,Screened,99.0,,,,Priority to continuing students,,,,"129 WEST 67 STREET, MANHATTAN NY 10023",364.0,,,,,Final 4th Grade Report Card,"The mission of the Special Music School is to teach musically gifted children through highly structured instrumental training and a standards-based academic program. The school prepares students for professional music careers while recognizing that not every student will choose such a career. The underlying philosophy of the Special Music School is the belief that music education for gifted pupils requires: 1) extensive opportunities to work one-to-one with an outstanding instrumental faculty; 2) a structured, sequential music curriculum; 3) opportunities to perform before audiences; and 4) interaction between general academics and musical studies. Our goal is to see each child reach his or her academic and musical potential. Our vision is that all students will become lifelong learners and critical thinkers in our caring and respectful learning environment. We encourage parental involvement in all aspects of the school.",153.0,,,,87.0,,,,
K364S,,,,,,80.0,,,,,,,,4th Grade New York State ELA and Math Exams,,,"B103, B13, B17, B82, B83, BM2, BM5",,11239.0,,,,,,,,Gateway Intermediate School 364 Screened,329.0,Screened,94.0,,,,,,K364Z,,"1426 FREEPORT LOOP, BROOKLYN NY 11239",214.0,,,,,Attendance,"Our FALCONS enjoy the personalized attention which they receive in our small, nurturing learning academies.  Our small academies afford us the opportunity to provide an encouraging environment, where students are able to create lasting relationships with the staff.  We strive to cultivate a dynamic environment of advanced thinkers, high achievers, and model citizens.  The staff works to develop an educational program based on the unique needs of each student.  In collaboration with parents, we support the intellectual, emotional, and social growth of students.  We strive for academic excellence by maintaining high expectations.  We believe that every child can and will succeed academically and will be able to develop a strong personal sense of discipline and social responsibility.  Gateway FALCONS are provided with a rich academic curriculum, which is enhanced through the use of SMART Boards and mobile computer labs and differentiated based on student need.  Our open- door policy ensures that parents will have full accessibility and are able to continuously check their child's progress through the use of our computer grading system.",105804.0,,,,83.0,,,,
M347M,,,,,,24.0,,,,,,,,Academic and Personal Behavior Scores,,,"BM1, BM2, BM3, BM4, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,10010.0,,,,,,,,American Sign Language Program,193.0,Screened,97.0,,,,Priority to continuing students,,,,"223 EAST 23 STREET, MANHATTAN NY 10010",79.0,,,,www.ps-347.org,On-Site Assessment,"We are a close-knit of learners who are Deaf, hard-of-hearing, related to Deaf people, and allies of the community. We welcome everyone!  The mission of PS 347 is to provide a joyful learning environment that celebrates the education, growth and difference of each and every student.  An engaging and rigorous curriculum is offered in ASL and Standard English, and supported in small classes that provide children the opportunity to achieve their personal best.  Our staff is committed to inspiring and encouraging curiosity, empathy, and social awareness by developing higher-level thinking skills and exploring real world issues that extend into the community.  By fostering a partnership with families, we can support individual student goals to enable each child to become an independent and responsible life-long learner, preparing for success in the journey to higher education.  ALL SIGNS POINT TO SUCCESS!",64.0,,,,88.0,,,,
K681E,,,,,,,,,,,,,,,,,"B15, B38, B46, B46-SBS, B47, B52, B54, Q24",,11221.0,,,,,,,,Madiba Prep Middle School D75 Inclusion Program,179.0,D75 Special Education Inclusive Services,97.0,,,,,,K681U,,"1014 LAFAYETTE AVENUE, BROOKLYN NY 11221",,,,,,,"Madiba Prep Middle School of Social Justice and Innovation is a District 16 school serving scholars in grades 6-8. We are a learning community where scholars are steeped in the rigorous pursuit of critical thinking skills, communication and technological literacy, self-awareness, and social and character development. Parents and community stakeholders support the development of scholars who are productive, contributing citizens in the local and global contexts. Our learning projects will position scholars to take the information that they have learned and propose a solution to a real-world problem within their local community and make connections to our global community. Our students have access to Theater, Art, Jazz, Tap, Hip-Hop, Digital Music Production, Fabrication Lab, Fencing, Golf, Archery, and a range of clubs and teams, and national travel opportunities. From video game and APP design to boat making, Botany and Space Camp we offer activities that nurture and stimulate scholars. We offer a warm and caring environment with a variety of learning opportunities that include double period Honors English, Algebra, and Living Environment Regents classes. After-school provides an eclectic mix of activities and academic support.",291.0,,,,86.0,,,,
M052U,,,,,,98.0,,,,,,,,,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4",,10034.0,,,,,,,,Harold O. Levy School 52 Apple ConnectED Program,261.0,Open,98.0,,,,,,M052Z,,"650 ACADEMY STREET, MANHATTAN NY 10034",133.0,,,,,,"Harold O. Levy School 52 is the only Apple ConnectED school in District 06. There are only 14 Apple ConnectED Schools in New York City and Harold O. Levy School 52 is honored to be among them. As an Apple ConnectED school, every student is given an iPad, & every classroom has an Apple TV. Students use their devices every day and learn how to create digital documents, track their progress online, and work collaboratively on multiple projects throughout the year. We are also a Computer Science 4 ALL school, providing computer science instruction through hands on project-based units of study. Our school offers art and music and we have the only middle school marching band in Inwood, the Harold O. Levy School 52 Tiger Band! Band students learn how to play instruments, read music, and perform all across New York City. We offer a variety of programs that support students academically and offer enrichment outside the standard subject areas. These programs include: Urban Advantage, CHAMPS Sports, Code.org, Arduino Circuitry, Lego Robotics, Games 4 Change, Video Game Design, Apple Classroom, and more. Harold O. Levy School 52 also offers free one-to-one tutoring programs after school, Saturday academies, & seasonal academies during school breaks for students who require additional support in ELA and Math.",291.0,,,,90.0,,,,
K187A,,,,,,99.0,,,,,,,,4th Grade New York State ELA Exam: 22.5%,,,"B16, B64, B9",,11219.0,,,,,,,,Academy for Scientific Research,953.0,Composite Score,100.0,,,,,,K187B,,"1171 65 STREET, BROOKLYN NY 11219",1305.0,,,,www.is187.com,Attendance: 5%,"Our school is a place of wonder and growth. By providing a small school environment via our academy structure, we foster nurturing and collegial relationships among students and staff. We collaborate with families to help students reach their greatest potential.  A thematic approach offers students experiences that transcend typical curricula and provide exciting opportunities for real-world learning. Our school provides highly specialized educational programs for all students, serving children with severe disabilities who may be appropriate for our ACES program to accelerated and high performing students in our general education programs. Teachers collaborate and design courses incorporating academy themes. Problem-centered learning approaches in conjunction with the teaching of both oracy and social-emotional skills are at the foundation of each course.  Students are accepted into one of three academies and more information is available on our website at IS187.com. Whether your child is learning at an accelerated pace or has a disability requiring intensive intervention, The Christa McAuliffe School is a place where all children are supported, encouraged, and loved.",212.0,,,,97.0,,,,
M209L,,,,,,98.0,,,,,,,,,,,"Bx15, Bx19, Bx33, M10, M100, M101, M104, M11, M3, M4, M5",,10031.0,,,,,,,,Hamilton Grange Middle School,295.0,Limited Unscreened,96.0,,,,Priority to students attending or zoned to PS 192 who sign in at an event,,M209S,Then to District 6 students and residents,"500 WEST 138 STREET, MANHATTAN NY 10031",333.0,,,,www.TheHamiltonGrangeSchool.org,,"At Hamilton Grange success looks different for each of us. For some, it is starring in our 55-piece band, or our school musical. For others, it is painting on one of our famous murals, or participating in a combination of activities that include academic success in our classrooms and competing as members of one of our 12 athletic teams (soccer, basketball, baseball, softball, boxing, track, bouldering, and hiking).   We pride ourselves on providing myriad opportunities to our students through over 28 school day electives like spoken word poetry, debate, engineering, theater, and stand up comedy, and supporting academic success through culturally responsive teaching practices.   We have earned local and national recognition for our students' academic growth and our progressive approach to discipline - we use restorative practices rather than detentions or suspensions. We have been named a NYC Showcase School for School Culture for 2 consecutive years, were NY State's only middle grades Reward School in 2017-18 because our kids made more progress on their state exams than any other students at any other school in NY State, and Teach for America named us 1 of just 4 Schools To Learn From in the United States.  We hope to see you soon!",22301.0,,,,94.0,,,,
X298M,,,,,,23.0,,,,,,,,Attendance,,Then to Bronx students and residents,"Bx13, Bx15, Bx17, Bx19, Bx21, Bx4, Bx46, Bx4A, Bx6",,10456.0,,,,,,,,Spanish Bilingual Program,266.0,Screened: Language,98.0,,,,Priority to District 7 students and residents,,X298U,,"778 FOREST AVENUE, BRONX NY 10456",35.0,,,,,Home Language,"The Academy of Public Relations is a Community in the South Bronx where self-esteem is fostered through Articulate and Thoughtful Communication, Public Speaking, and Reflection. At APR learning is a real world experience where teachers care beyond learning and students develop a purpose. Teachers will create culturally relevant student centered active learning experiences with real world connections, which will lead to more student engagement as well as an increase of academic discourse.  Furthermore, teacher's lessons will include higher order questioning techniques which will lead to greater student led discussions along with continuous assessment throughout the lesson to inform feedback and next steps. Priorities include creating and maintaining an inclusive environment for all students, focusing on Core Beliefs about how students learn best and all students learn in different ways,  improving student attendance, improving teacher effectiveness, improving student achievement through identified standards and increasing parental involvement. APR offers grade specific advisory which incorporates Restorative Practice approaches and culturally relevant issues. Sports and afterschool programs have great variety to include all students.",77.0,,,,81.0,,,,
X206L,,,,,,49.0,,,,,,,,,,Then to District 10 students and residents,"Bx1, Bx12, Bx12-SBS, Bx2, Bx3, Bx32, Bx40, Bx42, BxM3, BxM4",,10468.0,,,,,,,,Ann Mersereau (I.S. 206B),229.0,Limited Unscreened,82.0,,,,Priority to District 10 students and residents who sign in at an event,,X206Z,Then to District 9 students and residents,"2280 AQUEDUCT AVENUE, BRONX NY 10468",178.0,,,,,,"I.S. 206B is a middle school where all students are inspired to be life-long learners in the 21st century and feel safe taking academic risks, delving deeper into learning, collaborating, and being responsible and productive citizens.  At I.S. 206B, students are engaged in rich and meaningful learning experiences, such as coding, drone building, orchestra, dancing, visual arts, Regents courses, debate, volleyball, football, basketball, chess, dance, and many more.  In the supportive learning environment, students are encouraged to challenge, question, and think critically to solve real-world problems while interacting with rigorous curriculum.  All students have access to before, during, and after school academic supports.  Students at I.S. 206B are trained in leadership skills through the LeaderInMe and BrainPower programs.  Students gain extended learning experiences through the partnership with The Good Shepherd's program, a community-based organization.  As a member of the Middle School Quality Initiative (MSQI), all students gain key literacy instruction to build skills necessary for success in high school and college and 21st century careers.",253.0,,,,92.0,,,,Then to Bronx students and residents who sign in at an event
