dbn,location_name,_11_superintendent,_17_removals,_16_principal,_5_expulsions,_19_expulsions,_6_expulsions,_18_superintendent,_15_expulsions,_21_superintendent,_8_expulsions,_7_removals,_12_principal,_21_expulsions,_10_removals,_8_principal,_11_removals,_15_superintendent
11X175,P.S. 175 City Island,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X567,Linden Tree Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K614,Young Women's Leadership School of Brooklyn,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
20K163,P.S. 163 Bath Beach,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X564,Claremont International HS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K683,"The School for Classics: An Academy of Thinkers, W",R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K039,P.S. 039 Henry Bristow,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K345,P.S. 345 Patrolman Robert Bolden,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M007,P.S. 007 Samuel Stern,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X019,P.S. 019 Judith K. Weiss,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X284,Bronx School of Law and Finance,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X035,P.S. 035 Franz Siegel,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K524,International High School at Prospect Heights,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
06M311,Amistad Dual Language School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K328,P.S. 328 Phyllis Wheatley,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K301,Satellite East Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X310,P.S. 310 Marble Hill,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M163,P.S. 163 Alfred E. Smith,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K366,The Science And Medicine Middle School,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R
03M241,STEM Institute of Manhattan,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X547,New Explorers High School,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K204,P.S. 204 Vince Lombardi,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X051,P.S. 051 Bronx New School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X103,P.S. 103 Hector Fontanez,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,7,R
02M150,P.S. 150,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K569,Kurt Hahn Expeditionary Learning School,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K196,P.S. 196 Ten Eyck,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K578,Brooklyn Bridge Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K290,P.S. 290 Juan Morel Campos,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M083,P.S. 083 Luis Munoz Rivera,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X229,I.S. 229 Roland Patterson,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K452,Frederick Douglass Academy VIII Middle School,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R
12X190,E.S.M.T- I.S. 190,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X097,P.S. 097 Bronx,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X180,M.S. 180 Dr. Daniel Hale Williams,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,40,R
09X582,Garden of Learning and Discovery Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M188,P.S. 188 The Island School,R,R,R,R,R,R,R,R,R,R,7,12,R,R,R,R,R
10X319,Providing Urban Learners Success In Education High,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X337,The School for Inquiry and Social Justice,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R
02M896,Lower Manhattan Community Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X342,International School for Liberal Arts,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R
01M140,P.S. 140 Nathan Straus,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X376,Antonia Pantoja Preparatory Academy: A College Boa,R,R,8,R,R,R,R,R,R,R,R,7,R,R,R,R,R
07X527,Bronx Leadership Academy II High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X508,Bronxdale High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X070,P.S. 070 Max Schoenfeld,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X179,P.S. 179,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M859,Special Music School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K501,Franklin K. Lane Campus YABC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X041,P.S. 041 Gun Hill Road,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X153,P.S. 153 Helen Keller,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K224,P.S. 224 Hale A. Woodruff,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M050,P.S. 050 Vito Marcantonio,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M467,High School for Law and Public Service,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X386,School for Environmental Citizenship,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X332,Holcombe L. Rucker School of Community Research,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M495,Park East High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X246,P.S. 246 Poe Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K869,District 13 PRE-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X479,Bronx Career and College Preparatory High School,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M142,P.S. 142 Amalia Castro,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X312,Millennium Art Academy,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X323,Bronx Writing Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X111,P.S. 111 Seton Falls,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X273,Frederick Douglass Academy V. Middle School,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R
11X326,Bronx Green Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M394,Emma Lazarus High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K464,Park Slope Collegiate,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
