job_filing_number,general_liability_company,general_liability_expiration,filing_number,gis_bin,business_name,owner_first_name,license_number,completion_date,lighting_work,_3_wire,removal_of_vio_or_owner,legalization_fee,filing_status,firm_address,category_work_list
B00951394-P2,STILLWATER PROPERTY & CAS,2024-11-10T00:00:00.000,P2,3022174.0,JACKSON PROPERTIES,STEVE,12776,2024-10-01T00:00:00.000,No,7,No,0,Approved,"19-10 HAZEN STREET, STE B",
B01011182-I1-EL,ILLIONOIS UNION INS CO,2024-03-23T00:00:00.000,I1,3002200.0,,janet,11623,2024-02-29T00:00:00.000,No,0,No,0,Complete,1208 NEPTUNE AVENUE,Minor Work
B00588918-I1-EL,UTICA NATIONAL INS COMP,2022-04-24T00:00:00.000,I1,3320628.0,,Rachel,11927,2022-09-01T00:00:00.000,No,0,No,0,Permit Issued,3379 SHORE PKWY,
B00498016-P1,REPUBLIC FRANKLIN INS COM,2022-01-01T00:00:00.000,P1,3131648.0,COUNTYWIDE BUILDERS INC,BRYAN,12302,2021-07-31T00:00:00.000,No,0,No,0,Approved,100 BEARD STREET,
B08050867-I1-EL,UTICA NATIONAL,2023-10-01T00:00:00.000,I1,3081733.0,Laith Developers LLC,LAZAR,12075,2025-12-10T00:00:00.000,Yes,12,No,0,Complete,25 CRESCENT STREET,
B00909938-P1,UTICA MUTUAL INSURANCE,2024-06-02T00:00:00.000,P1,3077554.0,B.P. ELECTRIC CORP.,Abe,12465,2023-12-22T00:00:00.000,No,4,No,0,Approved,1425 37TH STREET,
Q00475364-I1-EL,MERCHANTS MUTUAL INSURANC,2021-08-14T00:00:00.000,I1,4266925.0,,Pattie,12546,2021-09-24T00:00:00.000,No,0,No,0,Complete,70-20 51ST AVENUE,Sustainable Energy Installs
M00366057-I1-EL,FARM FAMILY CASUALTY INS,2021-09-04T00:00:00.000,I1,1031968.0,"NORDIC CUSTOM BUILDERS, INC.",KIMBERLY,11306,2021-02-01T00:00:00.000,No,0,No,0,Complete,1303 BLONDELL AVENUE,
M00408769-P1,TRAVELERS INS COMPANY,2022-01-10T00:00:00.000,P1,1057365.0,Hoffman Managemnt,Olivia,11485,2021-07-10T00:00:00.000,No,0,No,0,Approved,11-07 43RD ROAD,
B00865526-I1-EL,PENN-AMERICA INS COMPANY,2024-04-03T00:00:00.000,I1,3230737.0,,CALVIN,11068,2023-04-27T00:00:00.000,No,1,No,0,Complete,195 7TH AVENUE,
M00438808-P2,TRAVELERS INS COMPANY,2022-06-01T00:00:00.000,P2,1079308.0,ST. Louis,Charter,9600,2020-12-11T00:00:00.000,No,1,No,0,Approved,53-01 VERNON BLVD,
M00821374-P2,Travelers Indemnity Co,2024-06-27T00:00:00.000,P2,1048067.0,"DONNELLEY HOLDINGS, LLC",NAOMI,13226,2024-01-01T00:00:00.000,No,0,No,0,Approved,47-25 27TH STREET,
B00620793-I1-EL,TRAVELERS INDEMNITY CO-22,2023-09-17T00:00:00.000,I1,3048591.0,YESHIVA YESODA HATORAH VETZ CHAI,SAMUEL,9968,2023-05-01T00:00:00.000,No,0,No,0,Complete,"67 WEST STREET, UNIT 321",
B00801259-P1,MERCHANTS MUTAL INS CO,2025-03-14T00:00:00.000,P1,3045413.0,,LUIS,13037,2023-12-19T00:00:00.000,No,4,No,0,Approved,75-01 31ST AVENUE,
B00396990-P2,ILLIONOIS UNION INS CO,2022-03-23T00:00:00.000,P2,3188038.0,,maryann,11623,2021-03-11T00:00:00.000,No,0,No,0,Approved,1208 NEPTUNE AVENUE,Sustainable Energy Installs
M00622012-P1,TRAVELERS CASUALTY INSURA,2022-08-12T00:00:00.000,P1,1008363.0,,SAMUEL,12768,2022-10-18T00:00:00.000,No,19,No,0,Approved,193-02 NORTHERN BLVD,
B00487762-P1,STILLWATER INSURANCE CO,2023-12-27T00:00:00.000,P1,3030512.0,,Nicole,11252,2021-04-01T00:00:00.000,No,4,No,0,Approved,76-18 ROCKAWAY BLVD,
B00621095-I1-EL,STATE FARM FIRE AND CAS,2022-05-21T00:00:00.000,I1,3120907.0,,TROY,11997,2021-11-29T00:00:00.000,No,0,No,0,Complete,200-06 LINDEN BLVD,Sustainable Energy Installs
M00820340-P1,MESA UNDERWRITERS SPECIAL,2024-03-21T00:00:00.000,P1,1028847.0,GEO CREATE SOLUTIONS INC,LASHA,12902,2023-07-31T00:00:00.000,No,0,No,0,Approved,441 LEXINGTON AVE #1401,
Q00539619-P1,THE PHOENIX INSURANCE CO,2021-08-09T00:00:00.000,P1,4012501.0,,ION,12079,2021-10-15T00:00:00.000,No,0,Yes,0,Approved,36-08 9TH STREET,
B00521339-P1,TRAVELERS INS COMPANY,2022-01-10T00:00:00.000,P1,3178722.0,Bais Yisroel of Brooklyn,Bais Yisroel,11485,2021-07-31T00:00:00.000,No,1,No,0,Approved,11-07 43RD ROAD,
X00511451-I1-EL,STILLWATER PROPERTY &amp; CAS,2022-04-25T00:00:00.000,I1,2102025.0,DIRECTOR CAPIT,VINCENT,11905,2021-04-27T00:00:00.000,No,0,No,0,Complete,36-36 34TH STREET,Minor Work
Q00473438-I1-EL,MERCHANTS MUTUAL INS COMP,2021-06-05T00:00:00.000,I1,4617681.0,Brooklyn Harvest Supermarket,Munzir,10377,2022-10-01T00:00:00.000,No,0,No,0,Complete,1562 ATLANTIC  AVENUE,
B08025107-I1-EL,TRAVELERS INS COMPANY,2023-01-10T00:00:00.000,I1,3320892.0,BRG 950 LLC,ALEX,11485,2022-11-22T00:00:00.000,No,0,No,0,Complete,11-07 43RD ROAD,Minor Work
X00511425-I1-EL,STILLWATER PROPERTY &amp; CAS,2022-04-25T00:00:00.000,I1,2102025.0,DIRECTOR CAPIT,VINCENT,11905,2021-04-29T00:00:00.000,No,0,No,0,Complete,36-36 34TH STREET,
B00078342-P1,UTICA NATIONAL INS COMPAN,2024-04-06T00:00:00.000,P1,3334404.0,PSG CONSTRUCTION,PAUL,11561,2021-09-11T00:00:00.000,No,0,No,0,Approved,"279 LAKE STREET, STE 1B",Sidewalk Shed Wiring & Lighting
M00618665-P1,MERCHANTS MUTUAL INSURANC,2021-12-13T00:00:00.000,P1,1070689.0,"TM CONSTRUCTION OF NY, INC",MARIAN,12316,2022-02-25T00:00:00.000,No,0,No,0,Approved,24-16 38TH AVENUE,
B00780247-I1-EL,UTICA FIRST INSURANCE COM,2022-11-09T00:00:00.000,I1,3083114.0,TRI BOROUGH SCAFFOLDING,PO SHENG J,13292,2024-07-23T00:00:00.000,No,0,No,0,Complete,21-03 44TH AVENUE SUITE 201,Sidewalk Shed Wiring & Lighting
M00552352-I1-EL,UTICA NAT'L INS GROUP,2022-06-24T00:00:00.000,I1,1035077.0,1Hotel Central park,FRANK,10379,2021-08-06T00:00:00.000,No,0,No,0,Complete,32-51 56TH STREET,
B00512677-S1-EL,UTICA FIRST INS CO,2022-02-05T00:00:00.000,S1,3004454.0,,MICHAEL,13218,2021-09-28T00:00:00.000,No,2,No,0,Complete,130 WEST 37TH STREET,
M00540110-P1,HARLEYSVILLE INS CO,2021-11-11T00:00:00.000,P1,1000000.0,465 Development Group LLC,Jason,10695,2022-06-14T00:00:00.000,No,0,No,0,Approved,"45-04 162ND STREET, SUITE 205",
X00444918-I1-EL,SELECTIVE INS. CO. OF AME,2022-01-24T00:00:00.000,I1,2022228.0,,Duane,12582,2021-11-01T00:00:00.000,No,2,No,0,Complete,"32 EAST 31ST STREET, 8TH FL",
B00411114-P1,PENN-STAR INSURANCE CO,2021-05-24T00:00:00.000,P1,3132124.0,,HENRY,11509,2022-01-28T00:00:00.000,No,3,No,0,Approved,3601 RIVERDALE AVENUE,
B00485733-I1-EL,HISCOX INSURANCE COMP INC,2022-01-23T00:00:00.000,I1,3249683.0,Frank Court Inc,Tony,12625,2021-12-31T00:00:00.000,No,0,No,0,Complete,6402 8TH AVENUE SUITE 401,
Q00240946-I1-EL,REPUBLIC FRANKLIN INS CO,2021-12-17T00:00:00.000,I1,4000000.0,,Chun Hui,10804,2020-12-31T00:00:00.000,No,2,No,0,Complete,137 CHRYSTIE STREET,
B00978301-P1,State Farm,2024-09-01T00:00:00.000,P1,3085560.0,,horace,10687,2023-12-23T00:00:00.000,No,3,No,0,Approved,439 EAST 77TH STREET,
M00588931-I1-EL,STATE FARM FIRE AND CASUA,2022-02-26T00:00:00.000,I1,1002355.0,,ADAM,12665,2021-11-06T00:00:00.000,No,0,No,0,Complete,"37-31 58TH STREET, SUITE B-1",Fire Alarm Local Law #5
B01088379-P1,UTICA FIRST INS CO,2025-03-13T00:00:00.000,P1,3324739.0,KENT RIVERVIEW LLC,YITZCHOK,10910,2025-01-01T00:00:00.000,No,0,No,0,Approved,72-40 MAIN STREET,
M00479367-P3,SLECTIVE INSURANCE CO OF,2023-05-02T00:00:00.000,P3,1047626.0,148 E 83rd CO-OP,148 E 83rd CO-OP,12940,2023-05-17T00:00:00.000,No,11,No,0,Approved,4601C 1ST AVENUE,
B00658709-P2,TRISURA SPECIALTY INSURAN,2024-06-28T00:00:00.000,P2,3054984.0,,SAM,13184,2023-01-07T00:00:00.000,No,3,No,0,Approved,"116 SKILLMAN STREET,SUITE 002",
M00511076-I1-EL,PENN-STAR INSURANCE CO,2022-05-24T00:00:00.000,I1,1077236.0,,Jennifer,11509,2021-05-23T00:00:00.000,No,0,No,0,Complete,3601 RIVERDALE AVENUE,
B00541615-I1-EL,ACCEPTANCE IND INS CO,2022-04-03T00:00:00.000,I1,3197672.0,,Zhiheng,11068,2021-07-18T00:00:00.000,No,0,No,0,Complete,195 7TH AVENUE,Sustainable Energy Installs
B00151159-I1-EL,HDI-GERLING AMERICA INS,2023-10-01T00:00:00.000,I1,3000000.0,JEMB REALTY,MORRIS,10552,2020-06-02T00:00:00.000,No,0,No,0,Cancel,"519 8TH AVENUE, 6TH FL",Elevators/Escalator/Material Lift
M00380918-I1-EL,UTICA NATIONAL,2022-01-02T00:00:00.000,I1,1086134.0,"FAR PROPERTY MANAGEMENT CO., INC.",FRANK,9774,2021-08-06T00:00:00.000,No,0,No,0,Complete,4347 HYLAN BOULEVARD,
M00306546-P1,UTICA NATIONAL INS,2021-09-07T00:00:00.000,P1,1048101.0,,Julie,12684,2021-01-30T00:00:00.000,No,1,No,0,Approved,32 EAST 31ST STREET-8TH FL,
B00003440-I1-EL,UTICA NATL,2019-09-30T00:00:00.000,I1,3421346.0,Rosedale Development Corp,Isaac,10293,2020-12-04T00:00:00.000,No,1,No,0,Complete,25 CRESCENT STREET,
M00542619-P1,MERCHANTS MUTUAL INS. CO,2022-09-05T00:00:00.000,P1,1083691.0,BPP OWNERS LLC,RICHARD,10482,2021-06-25T00:00:00.000,No,0,No,0,Approved,145 30TH STREET,
B00879131-P2,TRAVELERS INS COMPANY,2024-01-10T00:00:00.000,P2,3179727.0,,SHIMON,11485,2023-10-14T00:00:00.000,No,1,No,0,Approved,11-07 43RD ROAD,
M00679736-I1-EL,TRAVELERS INS COMPANY,2023-01-10T00:00:00.000,I1,1009383.0,,OFFER,11485,2024-02-01T00:00:00.000,No,0,No,0,Complete,11-07 43RD ROAD,Field Sign
M00620689-I1-EL,WESTCHESTER SURPLES LINES,2022-10-10T00:00:00.000,I1,1006125.0,NYC HPD,HPD REP,12959,2021-10-28T00:00:00.000,No,0,No,0,Complete,2568 EAST 17TH STREET SUITE101,Minor Work
B00813033-I1-EL,TWIN CITY FIRE INS COMP,2023-10-10T00:00:00.000,I1,3058088.0,PR,UMRAN,12916,2023-01-16T00:00:00.000,No,0,No,0,Complete,2460 WILLIAMSBRIDGE ROAD.2ND,Minor Work
M00535575-P1,TRAVELERS INS COMPANY,2021-10-26T00:00:00.000,P1,1063656.0,Red Real Estate,SHARONE,12732,2021-07-31T00:00:00.000,No,1,No,0,Approved,"262 WEST 38TH STREET, RM 1202",
B00003835-P1,ACCEPTANCE INS COMPANY,2019-05-24T00:00:00.000,P1,3015147.0,,XIU YAN,11509,2019-01-11T00:00:00.000,Yes,3,No,0,Approved,3601 RIVERDALE AVENUE,
Q00511465-I1-EL,NAVIGATORS SPECIALTY INS,2021-10-01T00:00:00.000,I1,4268742.0,,Wendell,12012,2022-04-27T00:00:00.000,No,0,No,0,Complete,"254 36TH STREET, SUITE B440",Sustainable Energy Installs
B00767964-P2,MIDVALE INDEMNITY COMPANY,2023-09-08T00:00:00.000,P2,3062782.0,,IQBAL,12281,2023-03-31T00:00:00.000,No,4,No,0,Approved,224-02 LINDEN BLVD,
B00553160-I1-EL,HISCOX INS COMPANY,2022-10-19T00:00:00.000,I1,3034310.0,PR,ARSENAL,11545,2022-07-07T00:00:00.000,No,0,No,0,Complete,4347 HYLAN BLVD,Sidewalk Shed Wiring & Lighting
B00536074-I1-EL,SOUTHWEST MARINE & GEN IN,2021-11-15T00:00:00.000,I1,3233489.0,,MICHAEL,12818,2022-06-08T00:00:00.000,No,0,No,0,Complete,"67 WEST STREET, SUITE 211",Sustainable Energy Installs
M00871208-P1,STATE FARM FIRE & CASUAL,2024-09-06T00:00:00.000,P1,1028564.0,,Bill/Carol,11664,2023-06-10T00:00:00.000,No,0,No,0,Approved,"109 LAFAYETTE STREET, RM 203",
B00831147-I1-EL,MERCHANTS MUTUAL INS CO,2023-12-12T00:00:00.000,I1,3224236.0,,WILLIAM,12943,2023-04-17T00:00:00.000,No,0,No,0,Complete,516 INDUSTRIAL LOOP SUITE 201,Sustainable Energy Installs
B00322190-P2,TRAVELERS INDEMNITY CO,2024-01-26T00:00:00.000,P2,3065892.0,PR,STEVEN,12942,2020-10-16T00:00:00.000,No,0,No,0,Approved,219 36TH STREET UNIT 25,
B00779705-P2,STATE FARM INS COMPANY,2024-04-22T00:00:00.000,P2,3337846.0,WARUDE LLC,YUICHI,12569,2023-08-27T00:00:00.000,No,0,No,0,Approved,45-36 37TH STREET,
M00620815-I1-EL,STARSTONE NATIONAL INSURA,2021-11-13T00:00:00.000,I1,1006293.0,125 Second Avenue Realty Corp,Roman,10824,2021-10-28T00:00:00.000,No,0,No,0,Complete,"952 FLUSHING AVENUE, SUITE 3",Minor Work
Q00424552-P1,TWIN CITY FIRE INS COMP,2021-10-10T00:00:00.000,P1,4303856.0,NYC DOE DIVISON OF SCHOOL FACILITIE,STEPHEN,12916,2023-12-31T00:00:00.000,No,0,No,0,Approved,2460 WILLIAMSBRIDGE ROAD.2ND,
X00465557-I1-EL,TRAVELERS INS COMPANY,2021-10-26T00:00:00.000,I1,2008822.0,URBAN MANAGEMENT LLC,JOHN,12732,2021-02-28T00:00:00.000,No,1,No,0,Complete,"262 WEST 38TH STREET, RM 1202",
B00213715-P2,TRAVELERS INS COMPANY,2022-09-27T00:00:00.000,P2,3065098.0,,NAOMI,11372,2021-08-20T00:00:00.000,No,3,No,0,Approved,37-31 58TH STREET,
S00679616-I1-EL,FARMERS INSURANCE,2023-03-12T00:00:00.000,I1,5030269.0,,JOSEPH,12598,2022-03-31T00:00:00.000,No,0,No,0,Complete,65-49 GRAND AVENUE,Sustainable Energy Installs
M00553019-I1-EL,JAMES RIVER INS COMPANY,2022-01-01T00:00:00.000,I1,1009238.0,,WHITNEY,12691,2021-07-31T00:00:00.000,No,0,No,0,Complete,25 EAST 233RD STREET,Minor Work
B00039780-I1-EL,MERCHANTS MUTUAL INS. CO,2022-09-05T00:00:00.000,I1,3339456.0,Airswap co.,ANOTHONY,10482,2018-08-01T00:00:00.000,No,0,No,0,Complete,145 30TH STREET,
B00025579-I1-EL,HARLEYSVILLE INSURANCE CO,2023-02-12T00:00:00.000,I1,3144482.0,NYCSCA,COLIN,11357,2019-07-22T00:00:00.000,Yes,0,No,0,Complete,59-01 39TH AVENUE,
M00515126-I1-EL,TRAVELERS INDEMNITY CO,2021-05-31T00:00:00.000,I1,1003389.0,,VALERIE,10941,2021-05-04T00:00:00.000,No,0,No,0,Complete,46-41 VERNON BLVD.,
M00620733-I1-EL,UTICA NATIONAL ASSURANCE,2022-12-31T00:00:00.000,I1,1087186.0,JRD ELECTRIFC CORP,robert,12194,2022-02-01T00:00:00.000,No,0,No,0,Complete,67-11 79TH STREET,
B00391396-P1,MERCHANTS MUTUAL INS. CO,2024-04-01T00:00:00.000,P1,3246446.0,,Grigoriy,11596,2021-08-03T00:00:00.000,No,0,No,0,Approved,225 WEST 36TH STREET.RM 705,
M00511260-I1-EL,SELECTIVE INS CO OF AMERI,2022-04-01T00:00:00.000,I1,1016134.0,,Dimitri,12209,2023-04-25T00:00:00.000,No,0,No,0,Complete,42 WEST 38TH STREET-STE 501,
B00985598-P1,UTICA FIRST INS,2024-07-22T00:00:00.000,P1,3109420.0,,Joel,9840,2025-04-17T00:00:00.000,No,12,No,0,Approved,1325 FOSTER AVENUE,
B01141597-P1,TRAVELERS INSURANCE,2025-09-09T00:00:00.000,P1,3320627.0,,Svetlana,11756,2025-12-28T00:00:00.000,No,0,No,0,Approved,2802 AVENUE Y,
Q00491081-I1-EL,REPULIC FRANKLIN INS COM,2021-09-01T00:00:00.000,I1,4074523.0,"THORNTON PLACE OWNERS, LLC",ROBERT,11769,2022-03-20T00:00:00.000,No,0,No,0,Complete,33-18 FARRINGTON STREET,
M00447980-P3,SELECTIVE INS CO OF AMERI,2022-04-01T00:00:00.000,P3,1047014.0,Sinh T Ta DDS,Sinh,12209,2022-12-06T00:00:00.000,No,0,No,0,Approved,42 WEST 38TH STREET-STE 501,
M00925478-I1-EL,TRAVELERS INDEMNITYCO,2023-10-23T00:00:00.000,I1,1038660.0,,James,11925,2023-09-08T00:00:00.000,No,0,No,0,Complete,"130 WEST 37TH STREET, FRNT",Minor Work
B00682258-P3,TRAVERLER INDEMNITY CO,2024-06-21T00:00:00.000,P3,3255295.0,G-Net Construction,Joe,11286,2022-07-01T00:00:00.000,No,2,No,0,Approved,360 TARGEE STREET,
M00813030-I1-EL,TWIN CITY FIRE INS COMP,2023-10-10T00:00:00.000,I1,1051584.0,PR,UMRAN,12916,2023-01-16T00:00:00.000,No,0,No,0,Complete,2460 WILLIAMSBRIDGE ROAD.2ND,Minor Work
X00471647-I1-EL,HARLEYSVILLE INSURANCE CO,2021-12-08T00:00:00.000,I1,2075235.0,,Chuenju Fung,11902,2021-06-26T00:00:00.000,No,0,No,0,Complete,143 30TH STREET,Sustainable Energy Installs
X00511668-I1-EL,UTICA FIRST INSURANCE CO,2022-08-04T00:00:00.000,I1,2096705.0,INTERSYSTEMS S/S,JORGE,11444,2022-02-25T00:00:00.000,No,0,No,0,Complete,42 RICHMOND TERRACE,Sidewalk Shed Wiring & Lighting
Q00552945-I1-EL,PHEONIX INS COMPANY,2022-04-20T00:00:00.000,I1,4257073.0,RDJ PROPERTY LLC,NELLIE,11011,2021-08-11T00:00:00.000,No,3,No,0,Complete,124-20 LIBERTY AVENUE,
B00300751-P3,UNITED NATIONAL INS COMPA,2022-06-30T00:00:00.000,P3,3257059.0,NYC EDC,JHaelen,12154,2020-04-30T00:00:00.000,No,0,No,0,Approved,J.F.K BLDNG 141,
B00455165-P1,PENN STAR INSURANCE CO,2021-07-21T00:00:00.000,P1,3058399.0,Smoodie King,Y,9113,2022-01-14T00:00:00.000,No,0,No,0,Approved,94-24 88TH STREET,
M00512006-I1-EL,FEDERATED MUTUAL INS COMP,2023-08-15T00:00:00.000,I1,1000000.0,TISHMAN SPEYER PROPERTIES,PATRICK,11480,2022-07-20T00:00:00.000,No,0,No,0,Complete,530 WEST 50TH STREET,
B00003820-I1-EL,SENTINEL INS COMPANY,2019-06-17T00:00:00.000,I1,3116662.0,A Kelius Management,Kimiya,9851,2018-10-26T00:00:00.000,No,0,No,0,Complete,1749 VICTORY BLVD SUITE 2F,
Q00427448-P1,CENTURY SURETY COMPANY,2021-07-17T00:00:00.000,P1,4000000.0,NYCHAFOREST HILLS MHA HOUSING DV,MICHAEL,12790,2022-11-18T00:00:00.000,No,0,No,0,Approved,"115-08 LEFFERTS BLVD, 1ST FL",Sustainable Energy Installs
M00370797-P2,ROCKINGHAM INS CO,2021-12-20T00:00:00.000,P2,1049854.0,,Ken & Tara,11948,2020-12-30T00:00:00.000,No,0,No,0,Approved,"85 BROAD STREET, FL 16",
M00778724-I1-EL,TWIN CITY FIRE INSURANCE,2022-09-20T00:00:00.000,I1,1041450.0,,Jesse,10687,2022-07-26T00:00:00.000,No,0,No,0,Complete,221 EAST 60TH STREET,Minor Work
B00387077-P1,MERCHANTS INS COMPANY,2022-01-19T00:00:00.000,P1,3062613.0,,Gloria,12078,2021-08-19T00:00:00.000,No,6,No,0,Approved,32 EAST 31ST STREET 8 FL,
S00679749-I1-EL,ACCEPTANCE IND INS CO,2022-04-03T00:00:00.000,I1,5157732.0,,Manny,11068,2022-03-27T00:00:00.000,No,0,No,0,Complete,195 7TH AVENUE,Sustainable Energy Installs
Q00506230-P2,MERCHANTS,2021-09-23T00:00:00.000,P2,4617126.0,2816 LIC,MAHMOUD,12593,2022-04-19T00:00:00.000,No,0,No,0,Approved,1236 JEROME AVENUE,
M00552200-I1-EL,UTICA NATIONAL ASSURANCE,2022-05-25T00:00:00.000,I1,1008086.0,,REINALDO,11395,2022-01-13T00:00:00.000,No,0,No,0,Complete,3435 FULTON STREET,
B00354703-P1,TRISURA SPCIALTY INS COM,2021-06-18T00:00:00.000,P1,3033071.0,brooklyn,ephraim,12312,2021-03-27T00:00:00.000,No,0,No,0,Approved,1046 WINTHROP STREET,
B00675372-P1,UTICA FIRST INS CO,2023-04-13T00:00:00.000,P1,3322054.0,DIXION,JESSE,13246,2022-04-05T00:00:00.000,No,2,No,0,Approved,3525 ROMBOUTS AVE,
M00135473-P1,TRAVELERS CASUALTY INSURA,2022-08-12T00:00:00.000,P1,1033122.0,85d Realty LLC,Kevin,12768,2020-02-26T00:00:00.000,No,0,No,0,Approved,193-02 NORTHERN BLVD,
B08024382-I1-EL,MERCHANTS MUTUAL INS CO,2023-08-30T00:00:00.000,I1,3022086.0,,bogdan,12453,2022-10-20T00:00:00.000,No,0,No,0,Complete,1267 UTICA AVENUE,Minor Work
Q00914810-P1,MERCHANTS MUTUAL,2024-03-21T00:00:00.000,P1,4436583.0,KORA DEVELOPERS,ALEX,13111,2024-04-02T00:00:00.000,No,5,No,0,Approved,2906 SHELL ROAD 1ST FL,
M00507671-P2,TRAVELERS CAS INS CO OF,2021-10-15T00:00:00.000,P2,1020543.0,5504- 301 E 21ST STREET MANHATTAN L,ANDREW,13210,2021-08-25T00:00:00.000,No,0,Yes,0,Approved,4748 BRONX BLVD,
B00511329-I1-EL,TRAVELERS PROPERTY CAS CO,2021-11-09T00:00:00.000,I1,3054996.0,Ichud Hatalmidim,,12910,2021-04-27T00:00:00.000,No,0,No,0,Complete,58-30 64TH STREET,Minor Work
B00528267-P2,NORGUARD INS COMPANY,2023-06-12T00:00:00.000,P2,3085497.0,,Mary,10985,2022-05-24T00:00:00.000,No,5,No,0,Approved,3006 TILDEN AVENUE,
M00410379-P1,MERCHANTS MUTUAL INS CO,2022-03-06T00:00:00.000,P1,1079203.0,"MRD ELECTRICAL SERVICES, INC.",MATTHEW,11995,2021-03-06T00:00:00.000,No,0,No,0,Approved,32 EAST 31ST STREET 8TH FL,
M00383405-I1-EL,UTICA NATIONAL ASSURANCE,2021-06-13T00:00:00.000,I1,1019580.0,,Armand,11132,2021-08-11T00:00:00.000,No,0,No,0,Complete,PIER-63 NO. RIVER,
M00679669-I1-EL,MERCHANTS PERFERRED INS,2022-07-07T00:00:00.000,I1,1082441.0,,Corey,12290,2022-02-15T00:00:00.000,No,0,No,0,Complete,9302 DITMAS AVENUE,Minor Work
Q00295342-P1,PENN-STAR INS COMPANY,2022-06-25T00:00:00.000,P1,4431593.0,roosevelt 98 MMLLC,apoloneo,11511,2020-05-16T00:00:00.000,No,1,No,0,Approved,9602 GLENWOOD ROAD #318,
B01116090-P1,NORGUARD INS CO,2025-06-22T00:00:00.000,P1,3109632.0,,MAREEHA,12637,2024-11-15T00:00:00.000,No,1,No,0,Approved,74-09 37TH AVENUE 2 FLOOR #206,
S00480938-I1-EL,ACCEPTANCE IND INS CO,2022-04-03T00:00:00.000,I1,5031240.0,,Samantha,11068,2021-04-15T00:00:00.000,No,0,No,0,Complete,195 7TH AVENUE,Sustainable Energy Installs
B00725382-P1,UTICA NATIONAL INS COMP,2024-07-23T00:00:00.000,P1,3254390.0,,Albert,11281,2022-07-23T00:00:00.000,No,0,No,0,Approved,2113 WEST 6TH STREET,
B01049415-P1,MERCHANTE MUTUAL INS,2025-08-31T00:00:00.000,P1,3009365.0,182 Minna group llc,NICK,11263,2024-12-03T00:00:00.000,No,4,No,0,Approved,7024 18TH AVENUE,
B00533192-P3,COLONY INSURANCE,2024-08-17T00:00:00.000,P3,3033196.0,,DAISY,11440,2021-07-02T00:00:00.000,No,0,No,0,Approved,122-20 MONTAUK STREET,
X00444918-P2,SELECTIVE INS. CO. OF AME,2022-01-24T00:00:00.000,P2,2022228.0,,Duane,12582,2021-11-01T00:00:00.000,No,2,No,0,Approved,"32 EAST 31ST STREET, 8TH FL",
B00390115-P3,NORTH FIELD INS COMPANY,2021-12-27T00:00:00.000,P3,3038533.0,TRINCHESE CONSTRUCTION INC,LUIGI,11252,2021-11-04T00:00:00.000,No,2,No,0,Approved,76-18 ROCKAWAY BLVD,
B00552211-I1-EL,SENTINEL,2022-01-31T00:00:00.000,I1,3194790.0,PR,JORDAN,12537,2021-11-18T00:00:00.000,No,0,No,0,Complete,135-15 40TH ROAD SUITE 501,
M00512349-I1-EL,STILLWATER PROPERTY &amp; CAS,2022-04-25T00:00:00.000,I1,1027366.0,DIRECTOR CAPIT,VINCENT,11905,2021-04-28T00:00:00.000,No,0,No,0,Complete,36-36 34TH STREET,Minor Work
B00841506-P1,TWIN CITY FIRE INSURANCE,2024-01-01T00:00:00.000,P1,3329269.0,,JESSICA,11007,2023-04-01T00:00:00.000,No,0,No,0,Approved,63-23 METROPOLITAN AVE.,
M00282886-P1,CHARTER OAK FIRE INS CO,2021-06-29T00:00:00.000,P1,1008776.0,Life Time Fitness,Bruce,12086,2020-05-30T00:00:00.000,No,0,No,0,Approved,721 EAST 133RD STREET,
