job_number,total_billable_work_fee,zip,_10_points,temp_construction_svc,filing_type,borough,job_start_date,job_status,auth_rep_owner_relation,coo_related,owner_type,filing_date,block,gis_bbl,worker_comp_policy
M00512260,52.0,11416,0,No,New Job Filing,MANHATTAN,2021-04-28T00:00:00.000,Job is complete,,No,Individual,2021-04-28T00:00:00.000,1466,1014660037.0,Q 2070 112 4
B00004255,160.75,11354,0,No,New Job Filing,BROOKLYN,2017-12-07T00:00:00.000,Job is complete,,No,Individual,2017-12-07T00:00:00.000,6196,3061960030.0,Q 1390 810 8
Q00503902,31.25,11215,0,No,New Job Filing,QUEENS,2021-04-22T00:00:00.000,Job is complete,,No,Individual,2021-04-16T00:00:00.000,3197,4031970006.0,373838530101
M00913736,4.0,11249,0,No,PAA,MANHATTAN,2023-08-02T00:00:00.000,Job in Process,,No,Individual,2023-11-26T00:00:00.000,716,1007167501.0,EIG528162600
M00522917,15.0,11101,0,No,PAA,MANHATTAN,2021-05-17T00:00:00.000,Job in Process,,No,Corporation,2021-07-07T00:00:00.000,2098,1020980036.0,UB5N6668332125D
B00511522,87.25,11215,0,No,New Job Filing,BROOKLYN,2021-04-27T00:00:00.000,Job is complete,,No,Individual,2021-04-27T00:00:00.000,6392,3063920061.0,G1419 580-4
B00853735,858.0,10309,0,No,PAA,BROOKLYN,2023-04-02T00:00:00.000,Job in Process,,No,Corporation,2025-11-07T00:00:00.000,649,3006490040.0,V2112-183-5
B00534064,176.5,11106,0,No,PAA,BROOKLYN,2021-06-04T00:00:00.000,Job in Process,,No,Individual,2021-07-05T00:00:00.000,390,3003900066.0,WC52190
B00865747,23.0,11385,0,No,New Job Filing,BROOKLYN,2023-04-26T00:00:00.000,Job is complete,FA contractor,No,Corporation,2023-04-26T00:00:00.000,2011,3020110027.0,G1218 307 5
B00511092,55.75,11103,0,No,New Job Filing,BROOKLYN,2021-04-28T00:00:00.000,Job is complete,OWNER,No,Individual,2021-04-27T00:00:00.000,1756,3017560056.0,KWC1208795
Q00387833,191.0,11432,0,No,PAA,QUEENS,2020-08-20T00:00:00.000,Job in Process,,Yes,Individual,2021-07-05T00:00:00.000,8228,4082280001.0,K 2198 485 1
B00675063,37.5,11106,0,No,PAA,BROOKLYN,2022-02-04T00:00:00.000,Job in Process,,No,Individual,2022-02-13T00:00:00.000,305,3003050038.0,N9WC240111
B00538578,38.0,11230,0,No,Subsequent Filing,BROOKLYN,2021-07-06T00:00:00.000,Job is complete,,Yes,Corporation,2021-07-06T00:00:00.000,2706,3027060018.0,K2419 328-6
M00511854,0.0,11101,0,No,New Job Filing,MANHATTAN,2021-04-28T00:00:00.000,Job is complete,,No,Other Government,2021-04-28T00:00:00.000,1656,1016560100.0,UB-3K315368
B00355574,43.0,11385,0,No,New Job Filing,BROOKLYN,2020-06-09T00:00:00.000,Job is complete,OWNER,No,Individual,2020-06-08T00:00:00.000,5257,3052570102.0,G1289 812 8
B00862954,327.5,11218,1,No,PAA,BROOKLYN,2023-04-20T00:00:00.000,Job in Process,Owner,No,Individual,2023-09-27T00:00:00.000,7658,3076580035.0,K2592909-2
B00393977,81.75,11222,0,No,Subsequent Filing,BROOKLYN,2021-05-12T00:00:00.000,Job is complete,,No,Corporation,2021-05-12T00:00:00.000,3209,3032090044.0,FRWC290863
B08024696,6.0,11236,0,No,New Job Filing,BROOKLYN,2022-10-20T00:00:00.000,Job is complete,ARCHITECT,No,Individual,2022-10-20T00:00:00.000,1064,3010640014.0,K20048435
B00480570,52.5,10013,0,No,PAA,BROOKLYN,2021-03-05T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,6373,3063730049.0,N9WC1740906
B00005961,405.25,10314,0,No,PAA,BROOKLYN,2017-12-19T00:00:00.000,Job in Process,agent,No,Corporation,2019-04-14T00:00:00.000,668,3006680013.0,ARWC092205
B00003762,0.0,11101,0,No,New Job Filing,BROOKLYN,2018-01-05T00:00:00.000,Job is complete,,No,Other Government,2018-01-05T00:00:00.000,8158,3081580035.0,DTNUB2H38106A
B00891661,429.0,11354,0,No,PAA,BROOKLYN,2023-06-22T00:00:00.000,Job in Process,,No,Individual,2024-03-27T00:00:00.000,267,3002670016.0,92-C3Z-6126
B00726800,112.75,11420,0,No,PAA,BROOKLYN,2022-04-29T00:00:00.000,Job in Process,,No,Partenership,2023-06-28T00:00:00.000,1244,3012440087.0,Q2414 9288
B00772034,21.5,11416,0,No,PAA,BROOKLYN,2022-07-08T00:00:00.000,Job in Process,,No,Individual,2022-09-08T00:00:00.000,4024,3040240026.0,Q 2070 112 4
B00715890,30.0,11385,0,No,New Job Filing,BROOKLYN,2022-04-10T00:00:00.000,Job is complete,,No,Individual,2022-04-09T00:00:00.000,6213,3062130050.0,2021-032127
B00620754,0.0,11220,0,No,New Job Filing,BROOKLYN,2021-10-28T00:00:00.000,Job is complete,,No,Individual,2021-10-28T00:00:00.000,5785,3057850038.0,K 1332 531-1
B00119932,218.25,11235,0,No,PAA,BROOKLYN,2019-01-28T00:00:00.000,Job in Process,,No,Corporation,2021-12-20T00:00:00.000,5692,3056920048.0,LIWC245107
B08051370,61.0,11215,0,No,New Job Filing,BROOKLYN,2022-12-07T00:00:00.000,Job is complete,,No,Individual,2022-12-07T00:00:00.000,5007,3050070021.0,G1419 580-4
B00431100,0.0,10003,0,No,New Job Filing,BROOKLYN,2020-11-20T00:00:00.000,Inspection not complete due to withdrawal,electrician,No,Corporation,2020-11-20T00:00:00.000,968,3009680001.0,W373005
B01026296,148.25,11235,0,No,New Job Filing,BROOKLYN,2024-03-27T00:00:00.000,Job is complete,,No,Individual,2024-03-27T00:00:00.000,6600,3066000068.0,WWC3685647
B00914663,48.75,11377,0,No,PAA,BROOKLYN,2023-08-04T00:00:00.000,Job in Process,,No,Individual,2025-12-11T00:00:00.000,7767,3077670050.0,DEWC433920
M00511270,171.5,11432,0,No,New Job Filing,MANHATTAN,2021-04-27T00:00:00.000,Job is complete,,Yes,Individual,2021-04-27T00:00:00.000,615,1006150024.0,K 2198 485 1
M00546830,234.0,10004,0,No,PAA,MANHATTAN,2021-06-24T00:00:00.000,Job in Process,,No,NYC Agency,2021-07-07T00:00:00.000,955,1009550001.0,K2374398-2
X00573835,96.0,10018,0,No,New Job Filing,BRONX,2021-08-11T00:00:00.000,Job in Process,EXCU DIRECTOR,No,Corporation,2021-08-10T00:00:00.000,3309,2033090039.0,WC9008617
S00552349,45.0,11232,0,No,New Job Filing,STATEN ISLAND,2021-07-06T00:00:00.000,Job is complete,,No,Individual,2021-07-06T00:00:00.000,2445,5024450018.0,WC 6142876-00
B00712970,99.0,11214,0,No,PAA,BROOKLYN,2022-04-06T00:00:00.000,Job in Process,,No,Individual,2022-06-01T00:00:00.000,7083,3070830069.0,K 1457 558-3
B00813050,0.0,10469-4806,0,No,New Job Filing,BROOKLYN,2023-01-16T00:00:00.000,Job is complete,,No,Individual,2023-01-15T00:00:00.000,131,3001310001.0,Z2565 823 5
B00003676,0.0,10301,0,No,New Job Filing,BROOKLYN,2017-12-09T00:00:00.000,Job is complete,,No,HHC,2017-12-05T00:00:00.000,251,3002510052.0,2019-002422
M00512172,0.0,11368,0,No,New Job Filing,MANHATTAN,2021-04-28T00:00:00.000,Job is complete,,No,Individual,2021-04-28T00:00:00.000,631,1006310046.0,G1197 987 9
M00760447,60.25,11103,0,No,PAA,MANHATTAN,2022-07-06T00:00:00.000,Job in Process,,No,Partenership,2024-01-27T00:00:00.000,2097,1020970040.0,Q2355 479-3
M00126845,25.75,11102,0,No,PAA,MANHATTAN,2019-02-05T00:00:00.000,Job in Process,,No,Individual,2021-04-28T00:00:00.000,879,1008790009.0,5038225
B01011176,23.0,11411,0,No,New Job Filing,BROOKLYN,2024-02-27T00:00:00.000,Inspection not complete due to withdrawal,,No,Individual,2024-02-27T00:00:00.000,1045,3010450029.0,Q2453 014-9
B00979264,67.0,11215,0,No,PAA,BROOKLYN,2023-12-19T00:00:00.000,Job in Process,,No,Individual,2024-02-27T00:00:00.000,5256,3052560091.0,Z2570 839-7
B00826281,1026.0,11205,1,No,PAA,BROOKLYN,2025-05-09T00:00:00.000,Job in Process,,No,Partenership,2025-12-11T00:00:00.000,1898,3018980011.0,KWC1401011
B00552436,0.0,11222,0,No,New Job Filing,BROOKLYN,2021-07-06T00:00:00.000,Job is complete,,No,Other Government,2021-07-06T00:00:00.000,3442,3034420001.0,N9WC194280
S00679698,114.0,10309,0,No,New Job Filing,STATEN ISLAND,2022-02-13T00:00:00.000,Job is complete,,No,Individual,2022-02-13T00:00:00.000,3660,5036600018.0,V 757 906-3
B00650029,0.0,11214,0,No,New Job Filing,BROOKLYN,2021-12-17T00:00:00.000,Job is complete,,No,Individual,2021-12-17T00:00:00.000,6940,3069407501.0,JYWC270539
M00552650,24.0,11218,0,No,New Job Filing,MANHATTAN,2021-07-06T00:00:00.000,Job is complete,,No,Individual,2021-07-06T00:00:00.000,816,1008160079.0,ILWC2948077
B00154060,67.5,11209,0,No,PAA,BROOKLYN,2019-04-12T00:00:00.000,Job in Process,,No,Individual,2021-07-07T00:00:00.000,6681,3066810283.0,KWC1225597
M00391748,81.25,11377,0,No,PAA,MANHATTAN,2020-08-28T00:00:00.000,Job in Process,,No,Partenership,2021-04-27T00:00:00.000,1389,1013890056.0,Q2422 661-5
Q00383150,161.5,11226,0,No,New Job Filing,QUEENS,2020-08-11T00:00:00.000,Job is complete,,No,Individual,2020-08-10T00:00:00.000,3469,4034690051.0,WCWC197717
M00064872,979.25,11232,0,No,PAA,MANHATTAN,2018-07-25T00:00:00.000,Job in Process,,No,Corporation,2021-04-27T00:00:00.000,495,1004950038.0,DAWC0185931
B00690548,171.5,11222,0,No,PAA,BROOKLYN,2022-03-21T00:00:00.000,Job in Process,,No,Individual,2023-02-17T00:00:00.000,1043,3010430045.0,Q 1390 810 8
Q00419571,230.5,11432,0,No,PAA,QUEENS,2020-10-27T00:00:00.000,Job in Process,,Yes,Individual,2021-07-05T00:00:00.000,6370,4063700002.0,K 2198 485 1
B00511007,115.5,11208,0,No,New Job Filing,BROOKLYN,2021-04-27T00:00:00.000,Job is complete,,No,Individual,2021-04-27T00:00:00.000,7441,3074410304.0,1811578
B00918511,588.75,10002,0,No,PAA,BROOKLYN,2023-08-14T00:00:00.000,Job in Process,,No,Individual,2025-03-17T00:00:00.000,809,3008090072.0,L 1329 893-0
X00508235,0.0,11378,0,No,New Job Filing,BRONX,2021-04-21T00:00:00.000,Job is complete,,No,Individual,2021-04-21T00:00:00.000,2958,2029580060.0,Q2347 347-3
B00226951,125.0,10018,0,No,New Job Filing,BROOKLYN,2019-09-12T00:00:00.000,Inspection not complete due to withdrawal,,No,Corporation,2019-09-12T00:00:00.000,888,3008880025.0,WLRC67816912
M00664105,67.0,11211,0,No,PAA,MANHATTAN,2022-01-18T00:00:00.000,Job in Process,,No,Corporation,2022-02-12T00:00:00.000,1392,1013920001.0,12WECDR3025
B00868146,199.0,10002,0,No,PAA,BROOKLYN,2023-05-01T00:00:00.000,Job in Process,,No,Individual,2024-04-24T00:00:00.000,1017,3010170034.0,L 1370 408 5
S00483642,123.5,11215,0,No,New Job Filing,STATEN ISLAND,2021-03-10T00:00:00.000,Job is complete,,No,Individual,2021-03-10T00:00:00.000,1974,5019740034.0,G1419 580-4
B00553258,125.0,11413,0,No,PAA,BROOKLYN,2021-07-07T00:00:00.000,Job in Process,,No,Individual,2021-07-07T00:00:00.000,7675,3076750056.0,K 2355 880 2
M00679724,12.0,10454,0,No,New Job Filing,MANHATTAN,2022-02-14T00:00:00.000,Job is complete,,No,Corporation,2022-02-13T00:00:00.000,1449,1014490024.0,2021 075397
B00493792,90.0,10455,0,No,New Job Filing,BROOKLYN,2021-03-27T00:00:00.000,Job is complete,,No,Corporation,2021-03-26T00:00:00.000,4452,3044520565.0,2902W6718
B00514459,161.25,11361,0,No,PAA,BROOKLYN,2021-05-03T00:00:00.000,Job in Process,prop mgr,No,Corporation,2021-07-07T00:00:00.000,7550,3075500019.0,Q 1223 185 8
M00552152,0.0,11379,0,No,New Job Filing,MANHATTAN,2021-07-05T00:00:00.000,Job is complete,,No,Individual,2021-07-05T00:00:00.000,1888,1018887504.0,4713473
B00741114,60.0,11236,0,No,PAA,BROOKLYN,2022-05-18T00:00:00.000,Job in Process,,No,Corporation,2022-06-01T00:00:00.000,5877,3058770001.0,12WECAB8FHS
Q00508314,240.0,10466,0,No,New Job Filing,QUEENS,2021-04-22T00:00:00.000,Job is complete,,No,Corporation,2021-04-21T00:00:00.000,1698,4016980037.0,X2107 571 8
B00690575,462.25,11377,0,No,PAA,BROOKLYN,2022-03-02T00:00:00.000,Job in Process,,No,Partenership,2022-06-01T00:00:00.000,1887,3018870063.0,DEWC390697
B00831435,125.0,11103,0,No,New Job Filing,BROOKLYN,2023-02-17T00:00:00.000,Job is complete,,No,Individual,2023-02-17T00:00:00.000,5975,3059750164.0,UBOK3118012242
B00553342,512.0,11226,0,No,New Job Filing,BROOKLYN,2021-07-07T00:00:00.000,Job is complete,,Yes,Partenership,2021-07-07T00:00:00.000,891,3008910002.0,OTWC3965809
Q00552826,0.0,11106,0,No,New Job Filing,QUEENS,2021-07-06T00:00:00.000,Job is complete,,No,Individual,2021-07-06T00:00:00.000,709,4007090043.0,WC52190
X00684839,287.0,10001,0,No,PAA,BRONX,2022-02-22T00:00:00.000,Job in Process,,No,Individual,2023-01-24T00:00:00.000,2877,2028770408.0,WWC3625050
B00003674,9.75,11101,0,No,New Job Filing,BROOKLYN,2017-12-05T00:00:00.000,Job is complete,President,No,Corporation,2017-12-05T00:00:00.000,265,3002650001.0,Q21145081
B00621378,0.0,11235,0,No,New Job Filing,BROOKLYN,2021-10-29T00:00:00.000,Job is complete,,No,NYC Agency,2021-10-29T00:00:00.000,2100,3021000056.0,AUWC192574
B08025061,0.0,11385,0,No,New Job Filing,BROOKLYN,2022-10-20T00:00:00.000,Job is complete,,No,Corporation,2022-10-20T00:00:00.000,2533,3025330056.0,G1218 307 5
B00182835,477.75,11413,0,No,PAA,BROOKLYN,2019-06-20T00:00:00.000,Job in Process,,Yes,Corporation,2021-12-17T00:00:00.000,1605,3016050017.0,POWC240586
X00508235,0.0,11378,0,No,PAA,BRONX,2021-04-21T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,2958,2029580060.0,Q2347 347-3
B00064757,258.0,10306,1,No,PAA,BROOKLYN,2018-07-24T00:00:00.000,Job in Process,,No,Individual,2018-10-10T00:00:00.000,276,3002760043.0,M2423 050-0
B00936059,353.5,11428,0,No,PAA,BROOKLYN,2023-09-20T00:00:00.000,Job in Process,,No,Corporation,2024-09-23T00:00:00.000,1822,3018220033.0,WWC3558629
Q00679765,244.5,11230,0,No,New Job Filing,QUEENS,2022-02-13T00:00:00.000,Job is complete,,Yes,Individual,2022-02-13T00:00:00.000,6657,4066570045.0,K2419 328-6
M00510790,0.0,10312,0,No,New Job Filing,MANHATTAN,2021-04-28T00:00:00.000,Job is complete,SUBCONTRACTOR,No,Individual,2021-04-28T00:00:00.000,1456,1014560005.0,2020-070125
B08033203,200.0,11385,0,No,PAA,BROOKLYN,2022-11-04T00:00:00.000,Job in Process,,No,Individual,2023-07-29T00:00:00.000,1687,3016870077.0,2022-065590
B00650027,39.75,11215,0,No,New Job Filing,BROOKLYN,2021-12-20T00:00:00.000,Job is complete,,No,Individual,2021-12-17T00:00:00.000,1551,3015510024.0,373838530101
B00359487,202.75,11218,0,No,PAA,BROOKLYN,2020-06-19T00:00:00.000,Job in Process,,No,Partenership,2021-07-07T00:00:00.000,353,3003530020.0,83WECIB2458
B00003983,45.0,11435,0,No,New Job Filing,BROOKLYN,2017-12-16T00:00:00.000,Job is complete,,No,Individual,2017-12-16T00:00:00.000,6640,3066400048.0,2017-053041
B00897159,0.0,11101,0,No,New Job Filing,BROOKLYN,2023-06-28T00:00:00.000,Job is complete,,No,Other Government,2023-06-28T00:00:00.000,2419,3024190001.0,UB-3K315368
B00003675,131.0,11235,0,No,PAA,BROOKLYN,2017-12-07T00:00:00.000,Job in Process,contractor,No,Corporation,2018-03-15T00:00:00.000,2540,3025400001.0,K2390 892-2
M00322047,581.5,11101,0,No,New Job Filing,MANHATTAN,2020-02-25T00:00:00.000,Job is complete,,No,Individual,2020-02-25T00:00:00.000,547,1005470005.0,301
M00136722,3083.25,11101,0,No,Subsequent Filing,MANHATTAN,2022-07-23T00:00:00.000,Job is complete,PROJECT EXEC,No,Corporation,2022-07-23T00:00:00.000,1029,1010297502.0,015
